ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u1	Madam President, Minister, I refer to my written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u12	Mr Vice Prime Minister and Minister of Justice, I would have liked to ask you a question about the Leuven emergency prison. I am getting signals that despite the modifications to the aid prison at the fence between the prison wall and the Nobel Street in the centre of Leuven, a lot of projectiles are still being thrown over. That could be narcotics, stabbing weapons, as well as phones and electronics. Is this true? Do you have any figures on that? Are there any checks carried out by the Leuven police in the streets around the prison? Is there still enough supervision there? Do you have any figures on that? What are the plans? If I understood correctly, the wall was raised, but this would not actually be effective. It is still too low and one simply increases the projectile, so that one can throw further and higher. More and more would be thrown over the wall. Can you explain that? I have also asked written questions about it, and I can see those answers coming.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u13	Colleague, thank you for your questions. First, in 2020, 21 packages were found during the check on the walk, mostly between the wall and the fence. Secondly, searches on the body have had almost no results, because the loot is already distributed on the walk. In 2020, only four of the drugs could be linked to a prisoner after the return of the walk. A disciplinary procedure has always been initiated in these cases. The disciplinary regime of the detainees is governed by Title 7 of the Basic Law. For example, possession of or trade in prohibited articles or substances constitutes a disciplinary infringement of the first category and may be subject to general and special disciplinary sanctions. Thirdly, in 2020, three court investigations were opened to outsiders who threw objects over the wall of the Leuven prison. This is mainly about the transfer of narcotics. A first judicial investigation into facts of May/June 2020 was concluded and was dealt with last Tuesday before the correctional court. In this file, six suspects were identified, three of whom were arrested and appeared before the court. A second trial is still under way. In this file, two suspects were identified for a dozen facts from July to September 2020. Both suspects were arraigned before the investigating judge and are currently in remand. The third judicial investigation has now been completed. Here two minors were identified and for both the juvenile court was requested. Fourthly, recently the fence of the walk was significantly increased to six meters. A further increase, I am told, is technically very difficult. The solution lies not only in additional infrastructure security, but also in good cooperation with police forces and the courts.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u14	Mr Minister, six meters seems high, but for example, a sock with a stone is thrown over it. I understand that it is technically difficult to raise the wall further, but perhaps it is necessary to consider whether there are any alternatives. Because I expect a lot of trouble. You say that 21 packages were intercepted last year, but that undoubtedly means that a multitude of them were thrown over. The chances of getting caught are really not that great. There are two waiting rooms for the guards, but one has been removed, just like that guard room that's close to that wall. Now that that has been removed, supervision is very poor. I also hear there aren't so many patrols left by the local police on the next Nobel Street. Hopefully, the Justice Department will contact the local police to monitor more closely. I also continue to insist on examining possible additional infrastructure adjustments, as this does not lead to much progress. I've even heard it's never been so bad. I will ask you further written questions about it.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u15	Madam Minister, I had already tabled this question last time, but that was just before the deadline and that gave you very little time to get the matter sorted out. That's why I withdrew them and now I've just retabled them. It concerns the use of beacons in cross-border operations in the investigation of human trafficking and the application to the Mawda case. Furthermore, I refer to my written record.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u16	My dear colleague, you asked three clusters of questions. I'll answer it that way, too. Firstly, the use of a beacon implies a technical observation, whether cross-border or otherwise. Both the technical and the international nature of the observation makes it systematic and should therefore be the subject of an authorisation. An authorisation should be granted by the local or federal BOM magistraat, depending on where the file was located and/or depending on whether there is a supervised or controlled delivery of persons. In the latter case, five conditions must be met. In other words, the comprehensive answer I gave you on the theoretical framework of the monitored and controlled delivery in the committee of 3 February 2021 applies here too. Of course, it is always necessary to take into account which elements are known at what point in a specific dossier and to evaluate them ad hocly. For example, it is perfectly possible that, as part of an investigation into human trafficking, a vehicle may be identified which is not, or is not yet, known for what it will serve and by whom it will be used when and for what purpose. These include, for example, the personal transport of suspects, the use of logistics or the transport of persons residing illegally or not. An observation of such a vehicle is not necessarily a monitored or controlled delivery of persons. If there is any evidence in the file, the observation shall be carried out not only on the basis of a beacon, but in combination with other means, such as, for example, a physical observation dispositive. With regard to the procedure for reporting by the foreign police, I would also refer to the replies from the committee on 3 February. A vehicle equipped with a beacon should not be checked or intercepted when crossing the border. Secondly, systematic observation is, by definition, covert and therefore should not be included in the ANG or SIS. However, it may be considered on a case-by-case basis whether it adds value to the file to link a measure to an entity in the file. This can provide additional information and therefore needs to be assessed separately. Different measures exist both in the ANG and in the SIS. In general, some seek to obtain certain information without disturbing the suspect. Others, in turn, aim to detect or intercept persons, vehicles or objects. There are many variants. The most appropriate measure must always be considered carefully. In addition, additional explanations can always be provided in a comment box so that the police officer implementing the measure knows exactly what needs to be done. Until recently, the consultation of those comments required an additional click for the police officer carrying out the check. Since the end of January 2021, the comment field has been replaced by an annotation, which is easier to consult. Indeed, police forces can always act when criminal offences are noted. Thirdly, in the existing directives and training programmes, the correct use of the tools described is always taught. There is no absolute exclusion of isolated cases where directives are not correctly applied. First of all, it is the individual responsibility of each police officer to deal with this correctly. Any manager who finds that that would not be the case should respond to this. With regard to the problem of trafficking in human beings, there was also an investment in a consultation on the respective components of the federal police, including with a view to improving the flow of research services and first-line services. There are no recent cases known to us that are of a nature to feed your fear. With regard to the general question in fine, as I put in my previous answer, the Royal Decree of 9 April 2003 and a letter from the College of Attorneys-General determine the rules on, inter alia, the supervised delivery and delivery.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u17	Mr Minister, I will read your answer carefully. I have already taken a good look at the framework, because you had already replied. I do not think that the current framework is enough. In terms of definitions and so on, things seem to be missing, so I believe that at least there is still room for improvement.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u18	Madam President, Minister, in 2005, Belgium signed the Optional Protocol to the United Nations Convention against Torture (OPCAT). In the report prepared for the last Universal Periodic Review, which dates back to 2016, Belgium indicated that it was making every effort to ratify OPCAT as soon as possible, but that ratification has not yet taken place. However, a bill to that effect had been passed in July 2018, but had still not been published in the Belgian Monitor. Belgium is also in the process of establishing a national preventive mechanism to monitor all places of deprivation of liberty, in accordance with the Paris Principles and the OPCAT. A coalition of associations was formed around the request for the establishment of this national preventive mechanism. After an analysis of the existing bodies, it concluded that it was imperative to establish such a mechanism to enable us to ratify OPCAT and to ensure external, independent and impartial monitoring of all places of deprivation of liberty. The OPCAT coalition highlights a number of principles, including the importance of making this monitoring mission a specific mission, the need for a single body and a fully independent composition of the political power, executive powers and administrative services that depend on it. In particular, the coalition calls for drawing on the model set up at European level, with a permanent secretariat, experts who are members and paid and associate experts who are compensated for their work. Minister, can we hope for ratification of the OPCAT in this Parliament? What steps are currently being taken by the government in this regard? What are the steps taken to create a national preventive mechanism in Belgium? What would be the status of the latter? What would be the decision-making process leading to its establishment and the appointment of its members? What do you think should include the notion of "place of deprivation of liberty" that is at the heart of this body?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u19	Madam President, dear colleague, the previous government has planned to table the instrument of ratification as soon as all the parliamentary assemblies concerned have given their consent – this is the case today – and the constituent elements of this national preventive mechanism have been determined, which has yet to be achieved. In order to determine this mechanism, the administrations of places of deprivation of liberty, the monitoring bodies, the OPCAT coalition and Amnesty International have recently been consulted. The outcome of this consultation should lead to joint recommendations which will be transmitted to me in the spring, accompanied by various technical elements. I will then be able to enter into political discussions within the federal government and with the federated entities. As soon as the mechanism is determined, the instrument of ratification will be deposited and we will work to implement it in collaboration with the federated entities. My objective is that this instrument of ratification be tabled in this Parliament and that the first elements for the establishment of this mechanism be taken into account. According to the Protocol's requirements, this preventive mechanism should include all places of deprivation of liberty, whether under the authority of federal or federal entities, managed by the public or the private. A discussion will have to take place with my colleagues in the federal government and federated entities on the concept of "place of deprivation of liberty". One element seems important to me: ideally, it should be common to the whole territory. However, you will understand that I am not answering your question more precisely. The speed of implementation of this mechanism is inversely proportional to the importance I attach to this issue. Article 15 of our Constitution guarantees the freedom of the person. It is therefore appropriate that exceptions to this rule should be properly controlled.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u20	Minister, thank you for that answer. I am pleased to know that discussions are under way on this national preventive mechanism; this means that very soon we can hope to receive more information on the contours proposed. I am pleased to hear that your objective is to deposit the instrument of ratification OPCAT in this Parliament. I'm glad. I also hear your central interest in the definition of "place of deprivation of liberty". However, I shall return to two points. I have read the recommendations of this OPCAT coalition. Their arguments for a single mechanism, despite our country's federal model, are quite convincing. It is desirable to clearly separate the different missions of the potentially affected agencies (mediation, complaints, monitoring) and to confirm and strengthen them in their respective missions without mixing everything. It also seems to me important, as you stress, that control be carried out in a homogeneous and cross-cutting manner so that coherent lessons can be drawn and conclusions drawn with an overall view of the issues at stake. With regard to the argument of federalism, which I fully understand, according to the figures I have received, there would be no less than 95% of those potentially affected by this control that would, in fact, be under federal control. So it seems to me quite natural that the federal government should have its hands on the matter. The discussions do not seem to me to be an obstacle to a single organization. I will focus on the concept of "place of deprivation of liberty", an important issue in defining the scope of this future mechanism. It is essential that this concept be as inclusive as possible. This concept reminds us of prisons, closed centres, cells in police stations and IPPJs. In my view, it is important to take into account more unexpected places, but they are places that are indeed places of deprivation of liberty in practice, such as, for example, a police car. We know that police violence is committed in vans and not in a cell. Even nursing homes whose residents do not have the codes and therefore cannot get out of their own will can be. Minister, thank you for your interest in this matter. I will remain attentive to his developments. It is crucial for the fundamental rights of the persons concerned who are in situations that are inherently vulnerable.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic389x.u21	Madam President, Deputy Prime Minister, I am questioning you on a matter that I raised in Parliament six to eight weeks ago. The Belgian Government's grant to CCIB of Centre collectif contre l'islamophobie and Belgique was then discussed. The CCIB appears to be a subsidiary of CCIF, which was banned in November 2020 or placed on the banned list of Islamic and extremist organisations by the Minister of the Interior in France. I've questioned you about that. You replied to me at the time that the file was not with you, that you were not competent to do so and that I had to question Mrs Schlitz on this matter. I also questioned Mrs Schlitz here in the plenary, which was a very peculiar experience. At one point, she asked the President to shut me up because she did not like what I said. She's a very strange lady, but I'm sure I'll ask her questions, just for that. It was too amusing. It was able to tell me that CCIF had nothing to do with the CCIB, after which I asked myself why they had exactly the same logo in the same colour and font, as well as the same name and objective in their founding act. That's weird. It can be said that something with four legs, hair and a muzzle barking is not a dog. However, there is a good chance that it is a dog. So it was a remarkable answer. I replicated that I predicted her the following. As we saw with Muslim extremistism in the attacks, it drips in Brussels when it rains in Paris. The CCIF, which was banned in France and then made a great deal of fuss and protested, lifted itself two weeks later, which I found suspicious. I was of the opinion that CCIF had something to hide. Now it seems to be relocating in Brussels, as I had predicted at the time. There is a strong link because of the presence of the same Sunni migrant communities in our country in both Flanders, Belgium, Brussels and France. We saw that in the attacks. This link is proven over and over again. There are many exchanges of imams and mosque operations. The Islamic communities are very compatible. So the radical variants and elements in those communities are also active both in France and Belgium. My question, of course, is what now. France prohibits CCIF. Belgium grants the Belgian variant. The French variant is now being re-established under CCIE, not France but Europe. What are we gonna do with that? I would also like to point out that the CCIB's founding document and the Ecolo board still contain a lot of politicians, which, of course, made the matter even more annoying for Mrs Schlitz. You understand. Maybe that's why she was so nervous when I questioned her about that. Are you aware of the establishment? What will your security services do about it? After all, you can understand that many people do not understand and find that disturbing. The fight against Islamism is and must be a priority, including for the current government.
