ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u1	We'll start work again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u13	Indeed, Minister, the problem remains, partly because a number of people do not allow a test to be carried out. I was just talking about the source research. Our testing policy, noticeable by the infection rates, and our detection policy are completely inadequate. From the outset, the PVDA pointed out that this bureaucratic organisation cannot quickly switch over. In-depth investigation, to find out where a person was infected or to actually test all the contacts of the infected person, does not appear possible. I therefore call for a tracking policy, a tracking policy, which is closer to the population. We need to get rid of that bureaucracy. If necessary, we need to be able to switch quickly. Expert Emmanuel André said two months ago that we should actually go back to seven days. We are now mid-September, but it is still not happening, unless you give me another answer this afternoon. As a general practitioner, I am familiar with the situation on the ground, and so I can see that detection is still as bureaucratic as ever.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u14	Minister, thank you very much for your very comprehensive answers. They are very useful because they highlight the effectiveness of the vaccine, whether in terms of contamination, hospitalization or death, especially in the face of the Delta variant, which, as you said, is today more than predominant, but also and above all much more contagious and virulent. You also mentioned studies of vaccine effectiveness. It was important to hear from you and to make this data available, accessible and readable to the Lambda citizen who does not have to consult these studies. Everything you have told us today must be accessible in one way or another on the Internet as well as on social networks in order to inform the citizen as best as possible and to convince undecided or reluctant people. On the other hand, I am disappointed with the new Mu variant, which is of great concern to the international authorities. I did not get an answer on this. You explained that genomic surveillance is more focused on other variants than the Delta and should therefore be focused on the Mu variant. What lessons can then be drawn from this? Unfortunately, the issue remains open. For the rest, thank you for your answers.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u15	Does Mrs Gijbel still wish to speak?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u16	Minister, the KCE summarized the latest studies on long covid and concluded that not 1 in 10 but 1.5 in 10 people develop long covid. After three months, up to 36% of these people still have complaints and some have been since the first corona wave. On 30 August, in an article in the newspaper Towards the Future, the post-covid patient association claimed that since June 2020, many contacts had taken place, many promises had been made but none had been implemented. On 16 March, Parliament approved a resolution calling on the government to consider how long covid costs could be included in the maximum amount to be charged, and above all – one of its important demands – to make revalidation programs, including physiotherapy, more accessible. She also asked the government to do a statistical assessment with Sciensano of the number of patients with long covid. The patients' associations took matters into their own hands and organized a survey at 30 Flemish hospitals via Icuro. Twenty hospitals say they're offering something to lung covid patients. However, patients are lost today between the different specialists who do not really work together multidisciplinaryly, according to the survey. My questions are clear. Patients who suffer from long covid call for actions to succeed words. Did you hear their alarm cry? What concrete steps have you taken in the wake of the resolution that was approved in Parliament? Have you discussed with the field associations? What new measures will you take in the short term?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u17	Mr President, I would like to clarify something about my earlier reply on the two versus seven days. In the contact search "Who was potentially infected?" We go back two days in time. It's gonna stay that way. The seven days relate to the source detection: "Who infected someone?'. In addition, we go back to seven days. However, this is often not easy. When a person is asked after a positive test what he or she has done in the last seven days, that person cannot always answer immediately. The seven days therefore apply to the source detection, the two days are for the further contact detection.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u18	Thank you for this clarification, which concerns this morning's topical and urgent debate.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u19	Mr President, Minister, if I have targeted physiotherapy, it is because every time I ask you about long covid, you are irritated by saying that I always come back to the same subject. If I come back to the same subject, it's because I've mobilized a lot for these patients. First of all, as well as many parties of the majority, you said that there was no other measure to be taken in addition to the existing measures for all patients. And then things have changed. I moved the lines. A motion for a resolution was adopted. In the debate on this subject, I had asked for the vote – which was not supported by the majority – of an amendment to allow for the management and reimbursement of more physiotherapy sessions for patients with long covids. We must no longer demonstrate how vital it is! The scientific studies and international literature have clearly highlighted this. At the time, some parties had justified their attitude by saying that they would vote against it because that provision would be put in place. Today, six months later, patients still cannot benefit from a larger number of paid physiotherapy sessions. Minister, after some of the statements following the proposal I made, will you allow the long covid to be added to the list of heavy kine-type E pathologies, which allows more sessions for patients with chronic diseases? It is vital to do so for patients with long covids. The faster and better we intervene in revalidation, even for patients who have not been hospitalized or who have not been hospitalized in intensive care, the faster these patients recover. It's positive for both patients and public health.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u20	We are in a topical debate. This gives the other members the opportunity to intervene either in questions or in replies. Does anyone wish to speak?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u21	I just want to point out that we don't know everything about lung covid yet. I think there's some reluctance in her place and we shouldn't label it as a chronic condition right away. This also has other consequences. However, given the existing scientific evidence demonstrating the importance of kinesi therapy for the patients in question, we should at least move towards a regulatory framework, if necessary temporarily. For example, these patients can be prescribed what they need and what will actually help them recover. Minister, where are we with that? When do these patients receive higher benefits for more kinesi therapy?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u22	The resolution adopted in the Chamber on the issue of long covid is an important starting point. It is a list of proposals which we regularly re-examine. This resolution will be used to check the progress made by our policies. First of all, I would like to stress this. It is also important that we try to establish good contact and dialogue with the patients concerned and their interest groups. That also works: last week there was a meeting between representatives of the RIZIV, staff of my policy cell and patient organisations, where many themes have been discussed. A difficult point for everyone, certainly for the patients, but in my view also for the caregivers and in fact for you and me too, is that scientific insight needs to be built up, but it is only gradually growing. This is also important, for example, when it comes to the role of kinesitherapy. I'll get to that in a minute. More generally, scientific insight is growing, albeit gradually. We always have to wait a little bit for that. However, it is better to work on the basis of a good scientific understanding than to make decisions that may be premature. I think that is the same caution with Mrs Gijbels. I have not yet said that she is necessarily in agreement with me, but she also calls for caution and not hasty decisions to be taken, but on the contrary to think carefully on the basis of the data we have at our disposal. I want to remind you that we have an Evidence-Based Practice Network. We started a project on September 1st, in which clinical questions were formulated regarding the correct follow-up and rehabilitation of covidpatents in the first line after discharge from the hospital. I refer to what Mrs Gijbels said about this. One has to look at the whole thing, it is about post-covid with a part long covid. We want to come up with a directive on the follow-up and rehabilitation of these people in the first line after discharge from the hospital. The clinical questions are formulated. The project just started. On 28 October, the guidance committee meets to validate the clinical questions. You know that the Knowledge Centre also continuously brings together all possible elements and publishes them in an assigned section of the Knowledge Centre website. That's important. You know that there is also a study in which patients are questioned. That study is on schedule, but this takes time. I think there was a validation meeting yesterday by experts and today's recommendations will be reviewed with stakeholders, including patient associations and governments. The report will be presented on 19 October on the Board of Directors of the Knowledge Centre. The publication is scheduled for October 25th. There are a number of other things in the pipeline, but I'll pass on that. Then I come to the clinical trials on lung covid. In June we kept five study proposals. A second selection round for clinical trials is scheduled for September 28th. That's a long-term job, but I think we should give science time as well. We also need to look beyond the borders. The patient associations have established a European patient association with a non-profit organisation structure, so that they can also be active within the WHO. We have promised them to use our contacts within the WHO to facilitate their contacts with the WHO and to include them on the European agenda. Based on the approach of patients, the RIZIV is still looking at the adequacy of the maximum invoicing. In principle, the maximum invoice should cover all medically well, but this is still a concern. I dare to conclude that there is often a problem. How does the maximum invoice work? What can one expect from it? This doesn't mean she's working perfectly, but it's being worked on. What is also being worked on is the elaboration of a screening tool and multidisciplinary consultation. Last week there was a first consultation between the RIZIV and the Scientific Association of Flemish General Doctors and the universities. On 6 October they come together again, then the mutualities and patient associations are invited. The employees of the Evidence-Based Practice Network are also involved, because if one wants to set up a screening tool and organise a multidisciplinary consultation, one really has to work on the basis of obviousness. Mrs Fonck, in fact, the answer to your question is somewhat in line with these steps. With regard to the management of kinesitherapy for long covid, my strategic cell and health authorities are examining how the specific care needs of covid patients can be met; in the most appropriate way possible. INAMI has been in contact with KCE, with specialist doctors involved in the rehabilitation of covid patients and with patient associations, and Axxon's proposal, the professional association representative of physiotherapists, has also been taken into account. As a first step, it seems important to me to clearly define who the patients concerned are and their health care needs and the most appropriate therapeutic approach to care to meet these needs. There is already clear evidence that physiotherapy and physical rehabilitation can play an important role in this care, but of course we also need to consider other possibilities. Currently, INAMI, in collaboration with the partners I have indicated, is working on a proposal for a scientifically sound and achievable approach. The extent to which a review of the number of individual physiotherapy sessions reimbursed for home-based patients can be integrated will certainly need to be verified, but it may be necessary to go further and seek a multidisciplinary approach. What about technical implementation, i.e. integration into the health care nomenclature, specific regulations, etc. and the duration of such measures? Is it structural? Or is it still temporary? That remains to be considered. These elements will depend on the approach that has been preferred and agreed upon. By this answer, I can tell you that we are working on it. I know it takes time and I also know that patients don't have time. The problem is that what is being proposed must be scientifically validated in order not to disappoint patients, either because the proposals are not working well, because the expected proposals are not coming, or because they are not sustainable, etc. This is an important subject and we continue to work on it.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u23	Minister, I understand that publication of studies takes time. In the meantime, the patients are here! It is therefore incomprehensible that they should give up the care provided by doctors or physiotherapists. This will result in new disabilities. While waiting to know the best treatment to be applied to a person with long covid, why not take certain measures already? This would make it very simple to increase the number of sessions reimbursed for physiotherapy. You know that, since you had previously reduced them. Most of the people who have been hit by the long covid have seen their lives upset. They don't live anymore! That's why we can't leave them on the tile after so many months of promises. There is a need to speed up the implementation of some of the very specific measures that have already been taken. Finally, in the face of uncertainty, methods should be used which are scientifically evaluated.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u24	A simple decision is not necessarily the right decision from a medical and scientific point of view. I'm not supposed to tell you that, am I, Mrs Merckx?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u25	Minister, I certainly think it's a real demand from patients for more sessions to be reimbursed. They feel better after these sessions. They need it. We've had a lot of testimonials from people who can't go out, etc. The physiotherapist has an essential role. There is no scientific evidence that eighteen sessions are sufficient to cure and can be reimbursed. We can at some point make a simple decision, I think.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u26	Minister, giving time to science is one thing, neglecting the evidence-based approaches already known is in my view unacceptable. Do we know everything about long covid? No! Do we already know a lot of them? Yes! I'm not going to read it to you, I wouldn't have enough time in two minutes, I wouldn't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time, I won't have enough time. I'd like to send you back. Should we also remind you that the World Health Organization has called on all authorities in each country to make long covid a priority since 2020? In Belgium, the months go by and the answers remain the same: we examine, we go see, we work and during that time, the patients wait. There's more and more. I can understand that there is a phase of successive decisions that can be taken, but here we are still at the zero level and we have been there for months. This is totally unacceptable. I think, for example, that if there is a clearly demonstrated point, it is that of kinesitherapy. I think you're not making a decision and you're hanging around to save money on the budget and I think it might cost you a lot more and cost the state a lot more in a second time with much longer disabilities. On a more political level, let me tell you that when sp.a. was outside the government, he made great declarations and promises at zero cost to covid patients. The reality is quite different when the sp.a, now Vooruit, holds the reins of the Ministry of Health. I am telling you again: to postpone decisions that today are evidence-based and that are very concrete and positive for patients and to postpone them again to the end of October is not acceptable, Minister, neither for the patients concerned nor in an effective logic and vision of public health. Thank you, therefore, for paying much more attention to it.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u27	We are leaving the debate on the covid to continue with the topical debate on the floods that took place this summer. Some questions relate to the health aspects of this important issue and, more importantly, to health professionals.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u28	Mr President, Minister, Wallonia was hit hard by deadly floods in July. Today, victims remain exposed to health risks as a result of long exposure to polluted water, hydrocarbons, wet and mould-invading walls, and other injuries. In order to help general practitioners in the affected areas who also lost everything in the floods, the Outbreak Support Team (OST) of Liège Centre-Ouest has created, thanks to the general medical department of l'ULiège and with the support of the CHU, a document supporting the medical consultation of people affected by the floods for general practitioners. This document, in addition to the recommendations of the health authorities, covers the specific problems that may arise under these exceptional conditions (skin symptoms, respiratory symptoms, digestive symptoms). In addition, legionellosis infections occur. Mr Minister, more generally, is there an emergency system in general medicine at the federal level to deal with such disasters with a health impact? Is a health watch organised at the federal level? What steps have been taken to ensure access to this document for all general practitioners in the cut-off areas of the world and for flood victims?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u29	Mr President, Minister, the physical and mental health problems and the social situation of those affected by the floods are still visible and palpable today. It is a real public health problem for the following months or even years. Many general practitioners, pharmacists and health centres have suffered direct damage and their equipment has been destroyed. In this situation, restrictive measures against covid (social dissociation and other measures) are much more difficult to implement. A number of caregivers (of whom I am a member) visited the victims to determine the medical needs on the spot. On the one hand, there is a difficulty in accessing medicines. I guess it's more or less solved. However, there is still a question of the number of caregivers who are still not operational. In addition, I am thinking of those people who, for days, haven't slept because of constant stress and a sense of abandonment. A brochure published by the Public Health FPS made me laugh softly, as it advises victims to eat healthy and try to get enough rest. How can such ridiculous advice be given? We know that their flooded houses are now invaded with mushrooms. Sometimes even these people don't own a chair anymore. When you are not properly housed and your home has been destroyed, you are unable to rest. We also had to see cases of chemical burns caused by the gas oil that had escaped. Minister, in terms of public health, what short- and long-term measures are you busy taking to reduce the impact of floods? What arrangements have been made for caregivers who have been affected? Do you have a clear idea of the number of general practitioners involved? How many caregivers are affected? What measures have you taken with respect to their mental health? Did this affect the vaccination campaign in flooded areas? Should this issue not be dealt with in a more federal way? It appears that, medically, the municipalities and the provinces are unable to solve the many problems.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u30	Minister, two main aspects need to be addressed. First, should public health measures related to floods and their consequences for disaster victims be taken? I am thinking, for example, of the risks of oil pollution. I am also thinking of infectious problems (development of fungi, etc.).). I imagine that these issues were discussed in the Interdepartmental Conference. The second aspect concerns possible support measures for caregivers. Some of them have been devastated. Others find it difficult to practice with patients and families affected and weakened. I am thinking in particular of general practitioners, home nurses, physiotherapists and pharmacists. Have any specific measures been taken? They seem to be all the more essential as autumn and winter arrive.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u31	Mr President, the subject is extremely important in view of the dramatic events that occurred during the floods. I identify three major chapters in the members' questions. The first concerns the inventory of health professionals in disaster-stricken areas. The second is the communication of post-flood health guidelines to health professionals in affected areas. The third is the action taken to help health professionals in disaster-stricken areas. Before I answer these questions, I will remind you of the legal framework. The tasks of discipline 2 (medical, health and psychosocial assistance) are described in article 10 of the Royal Decree on Emergency Planning and Emergency Management. These include the establishment of a medical chain, the provision of medical and psychosocial care to the persons involved, their transportation, the measures to be taken to protect the health of the population, the establishment and management of the necessary infrastructure, including the shelter for victims, the telephone call centre, the data processing centre and the advanced medical post, and the establishment of lists of victims. These tasks are carried out by the services involved in the execution of emergency medical assistance, as well as by the services included in the single-disciplinary intervention plan, including the medical intervention plan and the psychosocial intervention plan. The Operational Directorate of Discipline 2 is the responsibility of the Director of Medical Assistance. The strategic direction of discipline 2 is the responsibility of the discipline manager, the federal health inspector assisted by the psychosocial manager. The tasks of the competent authority during strategic coordination are described in Article 30 of the same Royal Decree on emergency planning and emergency management. The competent authority, depending on the phase, is the mayor, the government or the Minister of the Interior. With regard to the census of affected health professionals, we do not know the exact number of such professionals affected by the floods. I would like to point out that the organisation of front-line medicine is a regional competence. In crisis management, we focused on the needs and rapid recovery of front-line medicine. Nevertheless, a questioning carried out by the two OSTs of the AviQ – which were made available to us as early as 17 July by the cabinet of the Minister of Regional Health, Mrs Morreale, at the request of the Federal Health Inspectorate – shows the following figures: the valley of Vesdre and Hoëgne between Limburg and Pepinster has 24 general practitioners affected. The valley of the Vesdre between Trooz and Liège has 21 general practitioners affected. The Urthe valley between Aywaille and Tilff has 11 general practitioners who have suffered. This represents a total of at least 56 affected general practitioners. The Federal Agency for Drugs and Health Products has conducted a census of the pharmacies affected. I now turn to the actions taken. First, there is the communication of post-flood health guidelines to health professionals in affected areas. Since 15 July 2021 is still in the federal phase, texts with post-flood health guidelines for health professionals and citizens in affected areas were handed over by public health to the Com service of the Crisis Centre. We have worked according to these. As regards the needs assessment, the needs expressed were assessed by the OSTs. In addition, the Federal Health Inspector has commissioned medical directors, members of the Federal Health Inspectorate, the Red Cross, other relief disciplines and volunteers to conduct various recognitions in order to assess the needs and operation of health stations. The OST has thus carried out the following actions in coordination with the Federal Health Inspectorate and the Red Cross, which are acting in a contractual framework here. Primary care equipment was provided for the operation of nursing stations in which general medical services were provided. Containers were provided to some general practitioners for general medical consultations at the request of the federal health inspector. In addition, various practitioners were able to benefit from donations from treating physicians. These donations were coordinated by the Federation of Generalist Associations of the Walloon Region (FAGW). The Belgian Red Cross provided support for the transport of the equipment. Donations to the provincial solidarity unit, including care equipment, were distributed to health stations and OSTs by the provincial authority. Secondly, I can communicate some specific elements concerning the setting up of medical clinics pending the resumption of their activities by the suffering doctors: the creation of a sheet containing the most common diseases related to floods for general practitioners, the dissemination of a guide Prevention of post-traumatic stress to which you refer in your questions and, finally, after 1 August 2021, the establishment of paid clinics for nurses, nurses and front-line psychologists whose mission is mainly to facilitate the reintegration into the fabric of the existing offer. These are a whole series of actions that have been carried out from the OSTs.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u32	As for the actions for the recovery of impetants, we have requested, via the provincial crisis cells, the restoration of electricity and telephone communications, including the internet, as a priority for pharmacies and general medical offices, in particular the restoration of electricity supply for V.Pharma's server in Verviers. The census of affected pharmacies was carried out by the AFMPS. Which brings me to the psychosocial framework. In this context, I would like to refer to the legislation in force. The acute care of psychosocial problems is a federal competence but the organisation of aftercare is a competence of the Länder. It is the psychosocial managers of the Public Health Office who coordinated the reception during the acute phase and identified the needs for aftercare so that the Länder could start work on this basis. The Flemish aftercare coordinator was very quickly involved in the consultation and the transfer was smooth. Two follow-up coordinators were appointed in Wallonia on 23 August. These were immediately involved and the transfer of knowledge, as well as the transfer of management of the psychosocial part, are still ongoing. The psychosocial needs of the population are monitored and identified by the staff responsible for the psychosocial aspects present at the locations where hot meals are distributed. For the aid workers in the broad sense, the internal prevention and protection service at work and occupational health services are strengthened in their psychosocial context. In addition to additional budgets, specific training pathways are provided for the employees of these services. This was an overview of actions that were carried out, always from the perspective of the responsibility of the Public Health Office and within the framework of the applicable legislation. At the end of the federal phase, those responsible for the FPS Health continued to work and contributed to support in the field, in particular participation in actions for affected aid workers and personnel services.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u33	Mr President, Minister, thank you for your answers to the question of federal action in the context of the crisis. Rather, I expected follow-up action by those affected at the federal level; and measures that could be taken by the federal government to assist, in the longer term, general practitioners who have lost everything, who have also had to limit their activities, who also legitimately raise the question of whether they will be able to reach the threshold of activity sufficient to benefit from certain benefits. I am also thinking of all those regions which, as we see now, are facing an increase in covid contamination. For those people who have already lost everything, who face serious psychological problems, it's a bit of a double penalty. It is also known how important electronic health care is now to be able to benefit from care. I can put myself in the place of the person who lost everything, who doesn't even have an identity card to be able to simply have access to a test or a vaccine. I wanted to know a little more about the long-term follow-up of these affected people and the role of the federal government. But this problem will certainly be the subject of further questions.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u34	Minister, thank you. I am personally also quite disappointed with the vagueness of the answer. However, it has been more than two months since the floods took place. The only known figure is that of 56 general practitioners affected. But we do not know if, today, they are all operational and if they manage to treat all their patients. It's kind of disappointing as an approach. On the number of pharmacists, you don't have numbers. With regard to the possible effect on covid vaccination in these regions, we also remain absolutely unanswered. For the rest, we have small rather vague elements on psychological follow-up. But the feedback I have from the ground is that the needs of the population are still very important, whether at the material level - we may not be going to address this - but also at the level of psychological follow-up. There, too, apparently no census is made of the number of currently ill victims and the pathologies from which they suffer. As with covid, we really have no health policy approach. I'm going back to this brochure. When you go to the news section of the Governor of Liège, you find a brochure. I suggest you read it again. For me, it's a real joke. It is certainly not someone who went there to see the conditions under which these people live who wrote the contents. I just saw that it says, "Repose" etc. It's really big shit. Second, it is also put: "Tell your doctor to take sleeping pills". That really asks me at the level of public health. I'm really disappointed with that approach.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u35	Does any other member wish to speak? [[(Non]] [[).]] This concludes our five current debates today.
