ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u1	Mrs Rohonyi, you asked three questions on the same subject.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u12	Ladies and gentlemen, first of all, it is quite understandable that more than a year after the first measures put in place to combat the spread of the virus, the population wants to meet and celebrate. Who doesn't want it? What is unacceptable, on the other hand, is that it is done in circumstances such as we knew them this Saturday at the Bois de la Cambre. Although some of the people in the Bois de la Cambre wanted to meet peacefully, the lack of respect for health measures and the violence that many have shown towards the police services were unacceptable. Some believe that this violence against the police is justified because the police were numerous and in uniform. I cannot accept this rather simplistic argument. Preventive measures were taken in advance and throughout the day. Mrs Goethals, you repeat today that no preventive action has been taken. I'd like to contradict that. This has been done with prior communication. As Mr De Maegd says, the Prime Minister and I have called for them not to go. We have also addressed the parents to monitor this. So it is true that preventive action has taken place. Also on the day itself preventive action was taken in the first instance, both by the administrative authorities, whose communication I spoke about earlier was an example, and by the presence of stewards in the Ter Kamerenbos. There were also equipped police patrols and preventive police patrols of civil agents, without immediately visible uniform, in order to clarify once again to the attendees the seriousness of the need for the corona measures. Moreover, the Ter Kamerenbos has been monitored since Friday evening. There have also been checks on certain configurations. Only on Saturday, after fighting between the participants and projectiles were thrown to the police, did the police intervene to break up participants. This happened, also inspired by this preventive philosophy, not immediately, but after several warnings and messages, including per drone. In doing so, the people were approached, as were the parents who were still present at the time, with the request to leave the place urgently, before proceeding to the actual intervention. A total of 15 participants and 10 police officers were injured. Twelve people were evacuated to the hospital, including four police officers who have since been able to return to their homes. In this context, as always with regard to incidents of this kind, we are examining the possibility of setting our bourgeois party for any act of violence against a member of the federal police. That will be analysed in the next few weeks. The police made 132 arrests, 127 of which were administrative and 5 were judicial. With regard to your possible questions on the latter, I would ask you to address my colleague from the Department of Justice. Damage was also done on police vehicles: participants threw away many objects such as iron bars, bottles, firecrackers, fireworks, etc. The mayor of Brussels explained the reasons for his decision not to close the Bois de la Cambre, namely, on the one hand, the impossibility of making it completely airtight and, on the other hand, to allow the population to enjoy peacefully and in compliance with the health measures of this green area, as it has legitimate right. What happened this Saturday at the Bois de la Cambre is a perfect illustration of the drifts that can lead an ill-intentioned call to gather, launched on social networks. The media auction and the publicity given to this event, for which no authorization had been requested, certainly did not contribute to its peaceful development. In this connection, I would like to point out that a call to gather on social networks does not de facto constitute an application for authorisation for this event or an authorisation per se and, moreover, leads to a great risk of overflow. In this context, both the number and the profile and intentions of the participants are beyond the control of the initiators of the call. This does not mean, however, that the latter will be exempt from liability. I urge my colleague from Justice not to leave the facts unpunished. Collègue Rohonyi, a substantial police mechanism had indeed been put in place to manage all the events of 1 May taking place in the territory of Brussels, on the basis of the risk analyses carried out by the police services for each event of that day. This is also why a single command structure was set up under the coordination of the Chief of Corps of the Brussels-Capital-Ixelles Police Area. This arrangement involved several Brussels police areas as well as the federal police. All of the other claims that this police system simultaneously framed took place without incident. With regard to your question about the differentiation between the people present in the Bois de la Cambre, the police have constantly communicated: preventively and then to use dissuasive methods. One hour before the reactive intervention, the police made several gradual announcements, including using drones to warn the public of its imminent intervention. Thus, everyone was given the opportunity to leave the scene before the police intervened to disperse violent participants. As for an estimate of the proportion of these, it is very difficult to establish from the moment when the people who remained in the country took the side of opposing the intervention of the police. Finally, with regard to the issues relating to the contacts between the L'Abîme collective and my services, I would like to remind you that it is up to the local administrative authority and the local police to consult with the organizers of events in order to take the necessary steps to ensure their smooth running. In response to L'Abîme's e-mail, I therefore invited L'Abîme to consult with these bodies. I received no reaction from the collective. Mrs Goethals, for the record, the people did not make themselves known to me until they had already been summoned by the police. Only then did the identity be announced. We have then referred to the body which is best placed to deal with applications, as far as they are concerned. That's the local government. Mrs Goethals, with regard to your question on extremist groups, I can assure you that my services have followed the event closely and are still monitoring it with a view to the possible presence of extremists or rioters. On extremism, the OCAD draws up the threat assessment and gives a level of threat to such events. This is what the OCAD does, as we know, on the basis of all available information, both from open sources and from information in partner services. When there is disturbing information, the OCAD is responsible for determining the correct level of threat and for providing context. On public order, a similar threat assessment is carried out by the police. Collègue Rohonyi and Mr Platteau, the analysis of the detained persons is under way. Based on the information we have now, the police have not noticed any specific groups during the events. As this analysis is still under way, troublemakers will probably still be identified. Several of the persons already identified are known to the police. But it is still too early to draw general conclusions. Police deployment and police intervention were carried out as part of a risk analysis. This showed that there was a danger to public health, but in particular the risk analysis had shown that violence could be used, particularly with regard to police officers. That turned out to be the case, when after fighting rioters also started throwing projectiles at the police. As a result, more forceful police action became inevitable. The request to remove the event from the Facebook platform was submitted in time and as soon as possible. However, the formalities inherent in this type of application take time. That is why the facts took place as we could see. In the area of communication, various measures have been taken. The City of Brussels has communicated via the media and engaged stewards in order to communicate preventively in the woods. Preventive messages were also placed on the roadway. The police, on the other hand, communicated via traditional and social media. Teams also patrolled the wood to communicate in a preventive and dissuasive manner. Finally, standardized messages were issued by police vehicles and drones above the crowd. They warned of the imminent intervention of the police and instructed the crowd to return home and not stay on the scene. I would like to thank the mayor of Brussels-Ville and all the local and federal police services for their complicated management of the events of 1 May. Since the beginning of the health crisis, the police services have not been spared and are increasingly confronted with public discontent and violence in the face of health measures. I would like to reiterate my support by thanking them. Mr Depoostere, the images you are quoting were analysed internally by the police of the Brussels CITY Ixelles zone and an internal investigation was launched to clarify the facts cited. In this context, yesterday, on Tuesday 4 May 2021, the police area communicated a press release to place the partial images circulating via various social media in the right context. That's why I can't comment on yesterday's press release. At the moment, I can only wait for the results of that investigation. In any case, yesterday it was said that the images are much wider than the images we saw and that it is far too early to make a final judgment based on the images. It goes without saying, I believe, that the facts and images must be properly followed up. In the Brussels Police Zone, the capital city of Ixelles is always involved in riots, regardless of the location or origin of the facts. Colleagues Goethals, Platteau and Demon, as Mr De Maegd has already mentioned, indeed an application for the organisation of La Boum 3 has been submitted to the Mayor of Brussels. The application was submitted without much explanation as to its intentions or its organisers. Based on this limited information, this event announces itself as a protest action rather than as a test event. The application still needs to be analysed, first and foremost by local services. It is therefore too early to discuss the measures to be taken in this regard. With regard to the consultation between my services and the collective l'Abîme, I would point out that it is primarily up to the local administrative authorities to authorise or not to authorise events on its territory, taking into account the rules of the ministerial decision COOVID-19. It is therefore not for me, Mrs Goethals, to replace the latter in this matter, nor to consider the alternatives you have mentioned. The communication we have made on this subject before is that unfortunately today it is not possible to allow all kinds of events with a lot of people. However, there are a number of slopes in the Ministerial Decree that allow an event from 8 May 2021. Initially, these events take place outside for about 50 people. There are also test events, which also have to meet conditions. It is therefore not a question of calling a self-declared test event and thus fulfilling the conditions. That would indeed be an embarrassment for the cultural sector which is now trying to organise activities within the framework we have provided. They adhere to the framework and do not place themselves indifferently outside the regulatory framework. Mrs Rohonyi, it is not currently possible to allow a gathering of 1,000 participants, as foreseen in the request of the organizer of Boum 3. However, I am prepared to explain to the organizers the conditions under which they can do so within the current framework. I will not negotiate, because this is not possible, but I can nevertheless explain to them the provisions of the ministerial decree which offer the possibility for Bona fide organizers to organise events like everyone else, for example, such as the cultural sector. Mr Demon, it is very difficult for me to comment on a specific event as long as there is no specific application. You know that we also have a specific application form for the test events, on which a number of data must be completed, also in order to obtain scientific insights on those test events. On the basis of these applications, a number of pilot and pilot projects can be approved and organised under strict conditions. Nor is it the case that any application that meets certain conditions will be approved, but there will still be a limited number of pilot projects. That's important to keep in mind. We have agreed with all governments that the applications for pilot projects should be addressed to the competent local authorities, after which I can, on the basis of a reasoned opinion from all the relevant authorities, but also from the relevant ministers, for example from Culture or Sport, also from the local government or the Federal Minister of Health, give permission to depart from the rules of the ministerial decision. It may be possible under certain conditions. It is certainly also the case that we continue to work on initiatives to improve the relationship between young people and the police. Many initiatives have already been taken to restore confidence and respect between young people and the police. The current health crisis makes it difficult to carry out these projects as planned because sometimes physical contact is also necessary, which is much more difficult. In addition, we are working on a national campaign called Respect, where, of course, we must not only communicate, but also look at the diversity within the police force so that the police force is representative of society. With regard to local youth gangs in certain Brussels neighbourhoods, it is good that local authorities, together with the police authorities and the public prosecutors, can develop an approach to combating the phenomenon. I'm gonna be a part of that, too, if that's appropriate. My colleague from the Justice Department will certainly be able to provide further information. Ladies and gentlemen of the House, it is important that people continue to make efforts to combat the virus, but above all to maintain the pressure on hospitals. It's heading in the right direction, but there's still about 800 patients in the ICU. I am pleased with you that we will be able to give perspectives to the population from 8 May. That is a step towards more freedom and more social life that we all need. The reopening of the Horeca sector will be subject to prior approval by the local authorities. Events, cultural exhibitions and professional sports competitions can be organised in the open air for a maximum audience of 50 people, starting this Saturday. I hope that these future opportunities will allow everyone to wait for the health situation to improve in order to return as quickly as possible to a normal and social life.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u13	Thank you, Minister, for your more detailed answer. I still have to regret some questions left unanswered. I'll explain it to myself. With regard to the participants in Boum 2, you tell us that investigations are under way and I welcome them. Except some images don't cheat. In addition to peaceful demonstrators, families, there were breakers and members of far-right parties who were clearly there to throw oil on the fire and get rid of them with the forces of law and order. These people were a minority among the participants, but they were clearly there to "break cop" and "break Brussels". As you rightly pointed out, this is unacceptable. I hope that the ongoing investigations will bear fruit and provide us with information on their identities and their provenance. The closure of the Bois de la Cambre, which had even been requested by some party presidents, as we heard from the events, was, as you rightly pointed out, not an option. Indeed, it would have been counterproductive and inapplicable. Counterproductive because it would have had the effect of reinforcing the frustrations of a few participants and therefore moving the violence in the neighbourhoods around the park, but also inapplicable because those who know the Bois de la Cambre know very well that this park is far too large for us to be able to encircle all its entrances. Concerning the organization or not of Boum 3, I am surprised to hear you say that the competence lies with the local authorities, mainly with regard to dialogue. However, you have announced in the media that you are fully prepared to enter into this dialogue with the organizers. You are nevertheless the minister responsible for laying down health measures! This dialogue must take place as a matter of urgency, with the organizers and with the event sector. It is not an automatic test event, but it must be avoided that the Bois de la Cambre becomes a battlefield, every weekend, this wood being the garden of many Brussels. In addition, police officers should be avoided, especially if, in the meantime, the Court of Appeal makes its decision on the illegality of the measures. If the illegality of the measures is confirmed, the participants who contest these health measures will be all the more motivated. On the other hand, this dialogue must take place absolutely with representatives of the event sector in order to finally be able to frame festive events in Bois de la Cambre or elsewhere in Belgium, during which the barrier actions will be respected thanks to the experience of professionals in the sector. They can no longer stand to see young people partying in parks when their establishments have been closed for more than a year. A consultation committee is scheduled for next Tuesday. It should look at cultural and event activities. There is really an opportunity that you need to take advantage of to ensure that events can be organized that can frame the legitimate need of young and old people to feast and return to a more normal life.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u14	Mr President, Minister, I agree with the previous speaker. I also think you have time today to really engage in dialogue with the collective. In my opinion, proactive action is still the best way of working. That must be done more than has been the case so far, because unfortunately that was not enough. I can only hope that at La Boum 3 or at another event, wherever that may be, we do not get a repeat of La Boum 2. However, I fear that this will not be the last event organised by the collective or by someone else. A good and concrete action plan will have to be drawn up for the organisers, but also for the law enforcement services, so that they can work together. I am looking at the example of two weeks ago in Amsterdam, where there was a very big event with a few thousand people and where the police were present massively. It's been quiet there. Apparently, the police have received other orders. I don't know, and I can imagine one event isn't the other, but we have to keep separating the chaff from the chaff. Ask the police to make a distinction between the quiet ones and the rioters. Relaxers can and must be dealt with hard, because they challenge. I repeat my request for an analysis of the current investigations. I hope only one thing today, namely that within a few weeks we should not come here again with the same questions and comments because the same has happened again. You can and must play a major role in this. I asked you the same thing last time. You really have to take responsibility here, even if you cannot make all the decisions yourself. We understand that. After all, there are different levels. However, if you contact the mayor, in this case mayor Close, and the Prime Minister, you will know that you have a shared responsibility there. If you don't have them, you shouldn't contact them either.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u15	Madam Minister, I do not agree at all with the statement that one should just stay at home if a manifestation is forbidden. There must be freedom to show civil disobedience, but I do agree that this must be done in a respectful way. The freedom of speech is, in my view, a fundamental right and must be preserved. Yesterday it was, today it must be, and tomorrow it must be. I do not have to refer to the social struggle of the past, where certain demands were strengthened by demonstrations and what was even translated into action. I should not refer to a long tradition in the Flemish Movement to fight the Flemish battle on the barricades when necessary. There were also many justified demonstrations. I am thinking, for example, of the many demonstrations for the preservation of the Limburg mines. When we find that provocateurs are taking advantage of the situation, I have no problem with these provocateurs being dealt with and arrested by the police. As far as police action is concerned, it is indeed given the task of maintaining a ban on demonstrations. When she does that responsibly, I have no problem with that. That is the risk of taking part in a prohibited manifestation. I have experienced enough in the past and I myself have been hit by a matrak once in a while, that is part of it. I'm sure you won't hear me complain about that. In the meantime, however, we must not forget that those heavily armed law enforcement officers must behave correctly. That is what my question was about in relation to the videos circulating on social media. I am already very interested, like Mr Goethals, in the results of the research.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u16	Mr President, Minister, you indicated it. The word around which everything revolves is respect. Respect for the young people who are struggling, who want to come together and party. We can warn as much as we want, we can try to put everything into rules, the young people have had it, just like many other people. We must take this into account. Those young people who want to get together is something other than the amokmakers who don't belong there. A previous speaker referred to the Netherlands. The government may have managed to keep the amokmakers at home. In future initiatives, we will have to take this into account and find the middle ground. Violence from and against the police is absolutely unacceptable. In your reply, however, you have shown that you have worked preventively with the Brussels zones and that there have been several warnings via drones or other means, to make it clear to the people on the ground that it had been enough, that the situation began to escalate and to ask them to go home, including to the parents who were there with their younger family members. So that message has been given. There was no immediate exponential violence and the horses were not immediately hunted into the masses. Let us be clear about that. There's been a lot of preemptive work for La Boum 2. Like the previous speakers, I wish to point out that it is too early to speak out about films that are now going around. We need to look at violence in a full context to know whether it was justified. I do not want to do anything about this, as I mentioned earlier in my question. I understand that you will not be able to express your views on this matter. The zero tolerance for violence against the police is a competence of the Minister of Justice, but it is important and concerns us all. That is why, in my view, it is very important that you continue to monitor the matter and urge the Minister of Justice to ensure that the zero tolerance, which was mentioned a few months ago, is effectively translated into action.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u17	Madam Secretary, thank you for the context outlined for what happened on Saturday. I can assume that it is not an easy task for the police, nor is it an assessment of the amount of men needed. At such events, many people on social media indicate that they will be present, but who actually shows up is hard to predict. Colleagues have asked pertinent questions, including how this can be avoided? How do we deal with any La Boum 3? We have not yet received any clear answers. However, Madam Minister, you have presented a clear picture of a new type of security risk that we are facing. These are events or meetings that "organisers" call widely through social media, but do not assume any responsibility for what will happen. We need to look at how we deal with this in our society. You also mentioned the communication with the organizers and the participants and gave examples such as the distress to go to Ter Kamenbos and the warning via drones to clear the site before intervention was taken. So the people knew the park would be evacuated. I cannot therefore understand those who deliberately ignored the appeals of the government and the police and sought confrontation with the police. I have even less sympathy for the people who were present with the intention of fighting. I also remember you saying that 12 people were taken to the hospital, which is regrettable in the midst of a health crisis. In Kamerenbos is a public space, and it was indeed difficult to close that Saturday to the general public, as there were many other people and families who simply came to enjoy the park in their own bubble. It is a pity that these people have had to go home and, in a way, have been the victims of the irresponsible behaviour of the people who organised the event. With regard to the images on social media about the police violence that has also taken place, it is a good thing that an internal investigation should be carried out to better understand exactly what has happened. As far as La Boum 3 is concerned, for which an application has been submitted to the city of Brussels, it is clear from your answers that it is again about a protest action, in which one is not interested to discuss it or intends to submit a dossier as a test event. As far as these test events are concerned, I would argue that priority should be given to the regular event sector in order to be able to organise them. What if La Boum 3 would go on? That remains the question. I hope that the reopening of the catering industry and any other relaxations will allow more social contact so that people can partly regain their freedom. After all, these protests indicate that people are no longer able, it is too much for everyone and we all crave our ordinary, old lives.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u18	Minister, thank you for your detailed answer. You said investigations are under way, which makes me happy. I hope these will bear fruit. As far as Boum 3 is concerned, I am quite surprised that the dialogue is going back to the local authorities. I think you must be in it and this one is important. This will allow you to show a strong signal to organizers and citizens who can't. Some colleagues have already mentioned this. The Bois de la Cambre must no longer experience new episodes worthy of a battlefield. In my view, this type of demonstration needs to be better framed. The proactive approach is the best in my view, as the escalation of violence is not an answer. There are different ways to manage an event. The one used in Boum 1 and 2 does not seem to be the best. My colleague mentioned an event in the Netherlands. I've told you about events in Liege. It seems to me that consideration must also be given to the management and management of this type of event in view of the current situation. I count on you to play a more important role, a kind of strong link between the different levels concerned. As you said, you are not the only one who can and must make decisions. However, I believe that you can be a pillar of dialogue and decision-making. I count on you to take part and be a strong personality of the Boum 3 event. I hope that you will do what is necessary and that you will continue this prevention campaign, as conducted at this event last Saturday, as the difficulty of understanding this kind of event is great. Thank you for the energy you will be willing to devote to it.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u19	Madam Minister, people may gather in the parks, but that must be done in a peaceful way, with respect for everyone present there. In these times, of course, we must continue to follow the COOVID-19 rules. Anyone who pleads for the closure of the Ter Kamerenbos, who doesn't know what that park is like. It's actually an outskirts of the Sunny Forest that starts in Hoeilaart and flows through Uccle and Saint Genesius-Rode into the Ter Kamerenbos. It's just not possible to shut down all that forest. What we always see at demonstrations, not only at La Boum, but also at other demonstrations, for example last year in Poelaertplein, is that there is always a small group of rioters present who spoil it for everyone. If they also bring weapons to beat the police with them or if they force the police to intervene, then that is a big problem. Those people absolutely need to be identified. I have said here several times that it is time to equip the police with the existing technology. The police are asking party to wear bodycams and also the drones with facial recognition are interesting. This needs to be a testing ground to easily deploy facial recognition technologies and identify those people. They must be brought to justice quickly, not only after days or weeks but within 48 hours. Rapid justice must be applied on the ground so that these youth gangs can be tackled. These are not only youth gangs from Brussels, they are also from Hainaut, Antwerp and Limburg. Those people only come here to make a riot, so they need to be dealt with strictly. After all, they spoiled everything for the 99% of our society that means well.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u20	Minister, I'm puzzled. Yes, the number of police officers and stewards had been significantly increased, but as I told you in plenary, it is really the intervention strategy that needs to be changed. Again, I feel sorry for our police officers for being so misled by the local authorities. Managing a crisis situation with firmness and common sense is not to let 2,000 people agglutinate in disregard of health rules, look at them for two hours and suddenly decide, when it derails – allow me the expression – to go into the pile. This is not firmness, it is a blind and disproportionate reaction. In two hours of time, there was a way to identify and exfiltrate the thirty breakers that set the powders on fire. I repeat to my colleagues, the momentary closure of this part of the Bois de la Cambre where the Boum takes place is quite possible. It is a matter of political will. I grew up in the Bois de la Cambre. From my youth to today, I spend most of my spare time there. I know all the corners of the Bois de la Cambre and I see very well how this part of the wood is located. There is, of course, a way to close this circumscribed part. It's just a matter of political will. That being said, I appeal to everyone to be responsible. I have three teenagers at home who spend a lot of time in the parks of Brussels, in the Bois de la Cambre as well. But on that day, they didn't go to the Bois de la Cambre. They didn't go into the wolf's mouth because they knew there would be incidents. I call for the responsibility of the organizers, who, as soon as this derails, wash their hands and specify in the press that they are not organizers, but "initiators of an awareness". The good joke! It's the arson fireman's tactic. It seems that the collective bears its name by propelling so many people to the abyss, followed in this by the leaders of other collectives who are then surprised, in the media, to be trapped in tear gas despite repeated warnings. It's at the best of unconsciousness, at the worst of irresponsibility. Dialogue with young people, yes! Three times yes! A thousand times yes! Organize a demonstration for our freedoms, yes. Three times yes! A thousand times yes! This is fundamental in our democracy. Others went on – I would say again – on the same day, in Brussels, Liège or elsewhere. But it's nothing other than organizing chaos. It is high time that everyone in their role could come together again. It will not be with a Boum 3, 4, 5 that dialogue and social cohesion will be ensured. Respect must be restored: respect for citizens, respect for young people, but also for the authorities and the police, who are under severe strain. We are, until proven otherwise, in a rule of law. Anarchy is not my model.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u21	Mr. President, Minister, the financing of the pre-pension non-activity mechanism (NAPAP) for former gendarmes is a matter of great attention for local authorities and police areas. For these authorities, it is a matter of not weighing the additional costs of this federal decision on the shoulders of the municipalities, whether through the financing of the areas or through a drain on the solidarized fund of the provincial and local administrations (APL). You have on various occasions been able to respond to the concerns of local authorities in this area by ensuring that a solution is sought within the framework of budgetary control. I believe that we are coming to the end of this exercise. Minister, can you tell us what is the status of the case? You announced in the press that resources had been found. Can you tell us exactly when these will be available for the areas?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u22	Mr. President, Minister, federal NAPAP funding for police areas is essential, if not indispensable, for the proper functioning of the local police force. I will not go back to the history of this issue, but I will just recall that, at the end of 2019, I tabled a bill to ensure full funding of the NAPAP system and its incremental costs for 2020, which had allowed the system to be funded by the previous government in an emergency. For 2020, in addition, the potential additional cost (beyond 46 million) had been met by the federal police through adjustments to its appropriations. When you took up your duties, I asked you about this. In February, you told me that you were planning this funding as part of the budget changes, which was not very reassuring given your first responses last year. Minister, can you confirm to me that this federal funding, with its additional costs, is now planned for 2021? How much was specifically allocated in 2020, taking into account the additional costs? What amount is committed in the budget for 2021? On the basis of what criteria has this amount been determined? Has any communication been made to the financial directorates of the areas of the country? What is the source of this funding? What structural measures are currently under consideration to anticipate the coming years, as part of a sustainable system of financing this end-of-care adjustment for our police officers?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u23	Colleagues Taquin and Senesael, I have recently given a reply on this subject to colleague Joy Donné. The federal funding of NAPAP to police areas was indeed discussed in the context of the budgetary control of 2021. The government has decided to maintain the grant to the local authorities and to provide funding of €32.9 million for 2021. These funds will be made available as soon as the Court approves the budget control. A grant decision is being prepared in which, as in recent years, a grant can be applied for by local police areas on a quarterly basis. In view of the timing of budgetary control, the first two quarters will of course be dealt with together. Today, it is a federal government funding the actual additional cost to local police areas, namely the payment of waiting treatment to effectively resuming non-activity. However, unlike previous years, this is directly funded by the federal Treasury. There is therefore no transfer of the local pension fund, therefore no indirect financing by the local authorities. In 2020, €77.6 million was paid to local police areas, of which €46.1 million was financed by the local pension fund. This means a net funding of 31.5 million euros from the Federal Treasury. Mr Vandenput, as has been said, more is being transferred from the federal level to the local authorities in 2021 than last year. In 2021, the net transfer of the federal level will be 32.9 million euros. In 2020 this transfer amounted to 31.5 million euros and in the years 2016 to 2019 it amounted to 0 euros each year. In those years, the federal minister supported local authorities by transferring money from the local government pension fund. The budgetary transfers thus remained within the so-called entity II, which, of course, only strengthened the precarious budgetary situation of the pension fund, with all the consequences for the contributions of local authorities. An additional problem was the underlying subsidy scheme. Anyone who was entitled to the NAVAP was subsidised, regardless of whether the person actually took it. This meant that the federal government, by transferring from the pension fund of the local governments, was subsidising the salary costs of active staff. As the subsidy amount was too limited, not all police areas could be subsidised from the third quarter onwards. This is why the adadium first come first served was used. The federal government wants to put an end to this illogical subsidy scheme. The subsidy for local authorities is limited to the waiting money and effective to the persons taking up the non-activity. Local authorities no longer finance the non-activity of their staff themselves, as the federal government developed this non-activity scheme in 2015. As far as your second question is concerned, on 31 December 2020, 595 people were effectively present in the NAVAP set, 664 people who were eligible for the NAVAP system were still working at that time. Of course, this number varies every month. Non-active persons disappear from the scheme when effectively taking up their pension and the NAVAP rights holders may still take up effective non-activity at a later date. Over the years, it has been established that on average 47% of rightholders took up non-activity. This means that 53 % remained active, although they could be covered by the system. Last year, a strict grant control was applied by the federal police services. This has resulted in a limited number of corrections to the subsidies applied for. As far as your last question is concerned, a budget forecast was drawn up until 2024. In the case of the same grant and NAVAP scheme, the subsidy cost evolves to around 41.5 million in 2024. On the basis of the current rules, any staff member entitled to a preferential pension on 30 April 1999 may take up NAVAP. The scheme should therefore have been developed by approximately 2039.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u24	Madam Minister, I hear that the resources that have been made available help to preserve the solidarized pension fund for local agents, which is an excellent thing, and I welcome it. However, I would like to draw your attention to the fact that the municipalities in the country remain cautious about possible additional costs that would remain at their expense. As our group has stated on many occasions, the financing of police areas is a heavy burden in local finances. It does not seem normal to us to make the municipalities bear the financial burden of decisions on which they do not have to take decisions. These amounts are therefore, of course, welcome. But, subject to further analysis, there may be additional efforts to be made. In any event, we will remain attentive to the structural answers that you will propose to the NAPAP question, even if I mean that financial resources are programmed and planned until 2024. Indeed, police areas and local authorities need clarity in establishing budgets for a service essential to the population.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u25	Minister, thank you for your answers. I hear the budget is limited. I also hear that the source of funding is different and will be able to relieve local authorities, which I welcome. But I remain concerned about the additional costs and I fear that if the federal government does not intervene to cover the full cost of NAPAPs, the municipalities must intervene at some point.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u26	Madam Minister, I am very pleased that progress has been made on this dossier, not just paying NAVAP to the local police areas, but above all that two things are being corrected. Firstly, the zones with people who are on NAVAP, but still work on the ground, should not have NAVAP. They can pay for it themselves. That's finally come out. Secondly, there is no transfer from the local pension fund. After all, it was the municipalities that financed it. That's solved, too. We have already gone from a bad arrangement to a better one. Hopefully these matters will be taken further into account in a definitive solution in the future.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u27	Mr President, Madam Minister, on Wednesday 21 April, ARTE released a documentary fiction about the disappearance of Luxembourg, entitled An Zero, how Luxembourg disappeared. The aim of this documentary is to imagine the impact of a major nuclear accident at the Cattenom nuclear power plant in France, located 25 kilometres from Luxembourg City but also 35 kilometres from Arlon. The documentary starts on a background of controversy, since the co-director, Myriam Tonelotto, withdrew from the project by denouncing the catastrophist tour taken by the film and the choices that are moving away from the original project, which was as much intended to promote Luxembourg as to draw attention to the risks associated with the plants. Of course, the impact of such an incident on the country would be considerable and it can reasonably be assumed that the entire country would not recover from it. As the documentary fiction points out, it is in this area of possible exclusion that the majority of the Luxembourg population resides and that the institutions and the majority of enterprises are located. Beyond the many improbabilities noted in the film, this documentary-fiction allows me to take a reasonable look at how the province of Luxembourg is prepared for this kind of event. Minister, what is the evaluation of the Federal Nuclear Control Agency (FCCA) regarding nuclear safety at the Cattenom site? Have you or your predecessor already shared any critical observations with the French Government or the French Nuclear Safety Authority (NSA) regarding the nuclear safety of this plant? Could Belgium join Luxembourg's request to call for the shutdown of the Cattenom nuclear power plant for failing safety reasons? Can you assure us that the province of Luxembourg has a specific emergency and operational response plan, including in the event of a nuclear accident in Cattenom? Are PPU officials in operation in this province specially trained for a nuclear accident? What is the risk zone in Belgium for the Cattenom power plant? What is the percentage of Iodine tablets removed from the pharmacy in this Belgian area near Cattenom? How many decontamination devices for vehicles and persons leaving this area do we have in the province of Luxembourg? Finally, in the event of an evacuation following a nuclear accident in Cattenom, where would the reception capacity in the province of Luxembourg be provided?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u28	Madam Minister, in 1979 I was fighting with young people from the Grand Duchy of Luxembourg and Belgian Luxembourg against the construction of this nuclear power plant. We didn't win the battle and the power plant was built. ARTE recently released a very interesting but far too catastrophic documentary in my opinion. When I saw how the Grand Duchy of Luxembourg would disappear from the map, I thought that Belgian Luxembourg would also disappear. Arlon is located 40 kilometres from the Cattenom power station. When I was a Walloon Member of Parliament, I had asked the Belgian representatives of the Greater Region to support the request of the Luxembourg Government, which asked the French authorities to close this plant. Our greatest wish is for this plant to be firm, but I know it's not that obvious. The fear of the Luxembourg Prime Minister is fuelled by objective elements, including reports from experts who fear that France has not learned the lessons of the Chernobyl and Fukushima events and that Cattenom has major safety deficiencies. Luxembourg would even be prepared to contribute financially to the closure of this plant. Minister, are you aware of this file? Did you have it evaluated by the AFCN? Have you ever talked about this within the government or with representatives of the French and Luxembourg governments? Have any decisions been or will be taken on this matter today? Had the file been reviewed by your predecessor? Had any initiatives been taken by him? Do you think you can support the Grand Duchy of Luxembourg in its wish to see the plant at Cattenom closed? Is a disaster plan now ready in Belgium to intervene in the province of Luxembourg in the event of a nuclear accident in Cattenom? If not, do you plan to prepare one? With regard to iodine capsules, I was told that they were not available in pharmacies but that the emergency zone was responsible for distributing them in the event of a nuclear accident. Madam Minister, I am counting on you to support the Luxembourg government in resolving this problem quite quickly.
