ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u1	Mrs Farih is sorry. Mrs Depoorter has the floor.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u15	The VIDIS (Virtual Integrated Drug Information System) project aims to organize and stimulate the sharing of data and information between the actors in outpatient care, the outpatient sector and the hospital environment, and with and by the patient and his/her entourage, on all drug treatment by integrating the available data into existing data sharing systems and by better orchestrating drug-related processes. The VIDIS application, which visualizes the view of the medication dossier, collects data on medicines without saving them. This means that these data are stored at the place of origin (the authentic source). VIDIS does not save this data in an additional database. To view them, the e-Health access matrix is respected. These principles have been validated by Deloitte's external audit firm. A first release of the web ab VIDIS integrates the medication scheme with Vitalink source. This version is already available to the patient. A second release scheduled for March of this year will also post journal notes (source of the new Vitalink) and, in addition, the patient will also be accessible to the provider indicated in the access matrix. The third release scheduled for June of this year incorporates electronic requirements and the source is RECEEP and the electronic prescription. We are also planning a new release in the fall of this year. It also aims to integrate the medication scheme with the Wallon Health Network, Abrumet and the SAM, the authentic source of the medicine. The fear that VIDIS will save data in a database is therefore not justified. There is no central database. VIDIS does not record data in its own database. The databases that are called and viewed are all authentic sources. Today, the indication is already an optional field to fill in in the medication scheme. VIDIS does nothing but visualize what already exists today. The principle is that it is the responsibility of each individual physician to fill in this field. The VIDIS project therefore does not impose anything and follows the existing rules of the access matrix. Existing scientific research shows that the indication is an important data with a high added value on health care if it is shared among providers and provided that they have a therapeutic relationship with the patient. Scientifically, the desired situation is that the "indication" field is shared among all providers involved in the continuous care of the same patient. We therefore invite health care providers to reach a consensus in appropriate forums: on whether it is optional or mandatory to complete an indication with each line of medication in the medication regimen and/or to determine the rules on when it should be mandatory; on who, which provider has the right to view the indication and who or which provider does not. I hope that my answer will not only inform you but also reassure you and dispel your fears.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u16	Minister, thank you for your answer, which reassures me indeed. My question was divided into two parts, to which you answered scrupulously. First of all, with regard to the agenda for the next steps of VIDIS, I thank you for providing us with a snapshot of the situation. Secondly, with regard to the protection and non-use of data, I am grateful to you for your reassuring speech. Finally, I understood that the access matrix was respected and that the principles had been validated by Deloitte. Furthermore, there is no principle of data backup by VIDIS. Therefore, the fears expressed by ABSyM are not well founded, and I can only welcome them.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u17	Debates of the European Parliament Mrs Jadin's 55013566C lapses, since Mrs Jadin is not here and we have not heard from her. Debates of the European Parliament 55013662C and Question No 55013663C by Mrs Fonck will be converted into written questions. Debates of the European Parliament 55013681C by Mrs Rohonyi lapses, since Mrs Rohonyi is not here and we have not heard from her. Debates of the European Parliament 55013688C by Mrs Creemers is converted into a written question.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u18	Madam President, Minister, in spring 2020 the number of organ transplants had fallen dramatically. There are probably several reasons for this, such as the available number of appropriate donor bodies and the postponement of non-covid care. What is the impact on the number of transplants from living donors, by making a comparison between 2019 and 2020? What is the impact on the number of post-mortem transplants, by also making a comparison between 2019 and 2020? In which type of organs is the greatest impact? Can you explain to what extent the corona crisis has increased the waiting lists? If there is indeed an impact, do you intend to work towards greater awareness of organ donation? If so, in what way?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u19	Mrs Gijbels, it is not the first time you have asked a question about this. I got a very documented answer with all sorts of numbers and graphs. I suggest I give you that on paper. I can't tell you that, of course. I'll tell you the essence. In terms of impact, there is a total decrease of 20% for livers and kidneys of living donors. During the two covid peaks, all programs of donations were suspended by life. Unfortunately, that is quite visible on the graphs. In all domains there is a decrease in post-mortem transplantation between 2019 and 2020. In kidneys, it's a fall from 389 to 326. In livers, this goes from 262 to 214. Lung transplants went from 119 to 113. Heart transplants decreased from 84 to 54. Those are remarkable figures, aren't they? We must ask ourselves what is happening there and what the consequences are. The figures I gave show that the greatest impact on heart transplants was 36%, followed by liver 18%, lungs 18%, and kidneys 16%. It has been a combination of concerns about infections and limiting the occupation of intensive concerns. Luckily, urgent transplants have continued. The waiting list has remained stable. In December 2019 there were 1,364 people on the waiting list and in December 2020 there were 1,371. We definitely need to sensitize. This year an extensive awareness campaign will be organised. The campaign will focus on citizens, general practitioners, public pharmacies and municipal authorities. A commercial will also be made which will be widely distributed through social media.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u20	Thank you. I'm looking forward to the numbers. It's a very clear answer. You also see the importance of sensitizing. We must be absolutely committed to this, especially if it turns out that these figures have now fallen somewhat.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u21	Mrs Sneppe, we come to your question No. 55013712C on "CVS/ME'.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u22	Madam President, Mrs Sneppe, I do not have an answer to your question at the moment. I have called for an answer to be drawn up within two weeks. You can postpone your question or have it converted into a written question, as you prefer.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u23	Then my question may be converted into a written question so that I can get an answer more quickly.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u24	Minister, your policy statement states that you want to rely on the principles of evidence-based medicine in particular: what is demonstrably effective and scientifically proven will be repaid more quickly. People with a congenital visual impairment ring the bell about the very expensive medication that offers them more quality of life. The Luxturna group was recently established, which groups patients with the same condition. From a patient angle, developments are closely monitored. Luxturna, a vaccine containing copies of the gene RPE65 and already being administered to a number of patients in a few countries, stabilises or even improves the patient's vision. In other words, it has been scientifically proven that the vaccine works and that the quality of life of patients is greatly improved. However, as with other rare diseases, this is a very expensive medicine and without public support such a vaccine is not available to patients. Firstly, do you have knowledge of the Luxturna group and the problem? Secondly, what is your view on the problem? Third, are you willing to talk to the patient group? Fourthly, are you willing to talk to the pharmaceutical companies to make a pay-for-performance appointment for the medicine?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u25	The problem of hereditary retinal dystrophy is rare, but indeed very worrying for patients suffering from it. The first symptoms occur at a very young age in babies. You're gonna get an irreversible progressive loss of vision. That leads to blindness at a young age. Obviously, this has a terrible impact on the quality of life of people affected by it. There is currently no treatment for that condition. The guidance of patients has so far been practically focused, by teaching them to deal with the progressive loss of vision. Patients with bi-allergic RPE65 mutations form a subgroup. Luxturna is the first and only treatment option registered for the treatment of patients with these mutations and is also, for the time being, the only registered gene therapy in ophthalmology. The current data available on the safety and efficacy of Luxturna cover a total period of 10 years. I do not know that a patient group bears the name of a medicine, but the patient associations for eye diseases are well known to me. The data of all patients treated in Europe should be followed in registers at the request of the European Medicines Agency (EMA) for 15 years. For example, all patients treated with Luxturna follow the same trajectory. An exchange of experiences between them is therefore highly recommended. I'm also really willing to talk to the Luxturna group, if that's what it's asking. I think we can see clearly the need and usefulness of the genetic correction. Gene therapies have a lot of potential, as you say, but the first examples are also very expensive. A pay for performance is one of the possible compensation mechanisms available for such therapies. The repayment procedure for Luxturna is ongoing. Negotiations were launched last year between the company and the responsible working group. They are now in the final phase, so I will be able to decide on the reimbursement of the medicine in the near future.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u26	Thank you, Minister, for your reply. I'm glad the case is moving forward. In any case, medicines for rare diseases remain a thorny issue. They remain expensive, so something structural has to change there. We also had the discussion just now about the cystic patients. The problem needs to be addressed at source, which means that we have to start talking to the pharmaceutical sector and give clear guidelines. I am glad that the reimbursement procedure is ongoing and that you are talking about a decision in the near future. I can assume that the procedure will then be completed within the week and that you will then come up with positive news. I'll also put you in touch with those responsible for the Luxturna group, so you can make an appointment.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u27	Mrs Van Camp, my colleague says that an answer will not be available for two weeks. Shall I give you the answer in writing? Are you submitting a written question? Are you postponing your question? I'm open to all options.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u28	If the answer is available, you can give it to me.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u29	In two weeks, that's good.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u30	Minister, in the Special Committee on COVID-19 the representatives of the medical specialists in training (ASO) spoke. It was an interesting and very interesting hearing. There the proposal was made to set up a working group to deal with the hot issues of sui-generis status, pensions and temporary unemployment and other problems of the ASOs. Such hot irons have been known for longer than they are today. They have been a problem for longer than they are today. Because of the covid crisis, the problems are even more acute. The ASOs have been fully committed in the heat of the battle, but they are often forgotten when it comes to regulation or reform. Are you prepared to address the question of the composition of a working group? Will you take the lead in dealing, if necessary together with other colleagues, with the problems of pensions, of course, in consultation with the representatives of the ASOs? When are you planning a meeting?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u31	Minister, a great deal of work has already been done to understand how ASOs can step by step get a better statute. So they were asked what rights they wanted to build first. Of course, the covid pandemic has played a special role in this. A survey of the Flemish Association for Arts Specialists in Education (VASO) shows that almost 2 out of 10 doctors-specialists in training are thinking of quitting their training. Not only were working conditions very difficult, but the social status and the training environment also play a role. For example, the time their internships can invest in them is a well-known problem. Furthermore, the dual role of trainers and employers is not evident. After all, it makes it difficult to raise certain problems. Some steps have already been taken during the previous legislature, but there is still work to be done. At present, no minimum basic wage has been set and the number of watchkeeping services required by hospitals is not established. The conditions of employment are also very different according to the internship master. On the one hand, VASO calls for a review of the training so that the roles of the employer and the internship master are separated and, on the other hand, a legal definition of the conditions of employment. Minister, what steps do you intend to take? Is there a concrete timetable? Of course, all this cannot be dealt with all at once and you will also have to consult with your colleagues responsible for Work and Pensions. Can you give me a hint of the veil yet?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u32	Mr President, ladies and gentlemen, the problem has already been outlined very well. The problem is not new and has been reinforced by the corona crisis. It is very specific about a sui-generis statute and the 'double cap'. The field of work has changed considerably, while legislation was drafted when sufficient jobs were available and doctors were able to build their own pension during a sufficiently long career. A lot of young doctors-trained specialists are worried today. We really need to do something about that. Moreover, this is reinforced by networking and by the concentration of care, a trend which we all support. For example, I was recently confronted in the hospital where I am active with some files of young people who have ended up in an internship in a smaller department for very specific pathologies. There were some problems due to a lack of objectification. Often, however, the landscape is so small that it lays a claim to the future for many young people. However, it does not always have to be this way. Under subquotas, for example, many candidates have been admitted to training in recent years. However, technological progress means that fewer people are needed, while there is a need for conversion and retraining. In some specializations one does not even get up and one cannot fall back on unemployment. We really need to do something about that. We must also do something about the problem of the double hat. As Minister of Work, I was concerned about this, as was my colleague De Block. I had checks carried out by the Labour Inspectorate at the time. This is not always evident in terms of working conditions. On average, the working time is 48 hours, with a fork of 36 to 60 hours. However, working time must be recorded correctly. But a common complaint is that registration is being made, but that a doctor-specialist in training must continue to work. That is the problem of the 'double hat', which has been in Parliament for a long time and which we must tackle. What are your plans on this? Are you prepared to cooperate with Parliament and ensure that we can move forward quickly? It should also be borne in mind that a scheme may have an impact on social contributions, among other things. An extension of the statute will therefore have consequences. However, it is really time to do something about it.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u33	(...) At the National Joint Committee on Medicine-Hospitals there is a working group that consults on the fees, with particular attention to the fees for watchkeeping services and also a model for generic training agreement. The National Joint Committee on Medicine and Hospitals has the power to conclude collective agreements, similar to the more well-known collective agreements. Additional information on the salaries of the doctors-specialists in training was requested from the public authorities to facilitate and objectify the discussions. The doctors-specialists in training are in that working group. I will also closely monitor the dossier and try to facilitate the conclusion of a collective agreement. An official of the FOD WASO is also currently following the work of the committee's working group. In addition, consultations will soon be held with the Minister for Economic Affairs and Labour, Mr Dermagne, on the working conditions of the ASOs. For the improvement of social security protection, please refer to the national agreement of 2021 of the Medicomut approved by the Council of Ministers. The agreement set aside EUR 10 million to improve the social protection of doctors in training, without any reduction in net wages. I'm following that file closely, too. In addition, there is a considerable preparatory work in my administration on the conceptualisation of a quality system for the training of doctors-specialists. The aim is to include a safe training environment for doctors-specialists in training in that system. Following the analyses of my administration, concrete steps will be taken in the future. My administration has already started to create a web page that will gather all the information about the legislation on the doctors-specialists in training. The website will contain neutral information, so that the doctors-specialists in training are made aware of the complex division of competences and so that they know who they can contact. The financing of general practitioners in training has indeed been done for many years through a separate non-profit organisation. In order to eliminate the differences between specialities between general practitioners and other specialities - and between university and non-university hospitals, a reform of the funding system for medical specialists in training has already been initiated by my predecessor. In a first phase, a fee was provided for non-university internships, doctor-specialist since 2016. In the second phase, in addition to non-university internships, university internships have been funded since 2019 for the pedagogical component of the internship. My cabinet and administration will continue to closely support and monitor the initiatives so that concrete steps can be taken to improve the situation.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u34	Thank you, Minister, for the answer, but I do not know whether the ASOs are happy with that. You say there's a working party working on it, sort of a joint committee. You say the ASOs are represented in that. You'll keep an eye on it. That's all good, but I think it's going too slow. It would have been more pleasant if you had said that you would have grabbed the file with both hands in order to speed it up. After all, it is not a problem of yesterday or today. It's been dragging on for years. I do not understand why the problem is not solved. I hope that the doctors' assistants will be able to count on a speedier handling. The answer you knocked out doesn't tell you that right away. We'll see if we can take our own initiative.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u35	Thank you, Minister, for the answer. You have said that many first and important steps have already been taken. It is good that a new working group has been set up. Any decision that needs to be taken must be sustainable and financed, but in the long term it must also contribute to a fully-fledged statute for doctors and specialists in training. I think that will certainly motivate young people to choose the profession. I believe that the quality of work, the duration, the conditions in which they work should be regulated in a more uniform way. That could solve some of the problems already. I know it's not an easy assignment, but every step we take is every time good news.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u36	Minister, I agree with what Mr De Block said. Indeed, a lot has already happened and I am sure that with what is going on in the Medicomut today, there are still some levers to speed things up in motion. I can follow Mr Sneppe: young people have little message about this. They are looking for a new hospital today, falling between different assignments and getting very upset about their status. Anyway, there are some levers on the table. I myself am rather charmed by the financing system of the general practitioners. I am also very much in favour of the good initiatives on the WW7, but we need to go a little further and see how we can make this more objective. Perhaps the EUR 10 million is a start to grab what is in the Medicomut today. I would ask you to follow this very closely, and we will certainly remind you in the coming period of time to take initiatives in this area and make progress, because it has been too long. It's a wonderful profession. The case is now too often translated into the re-evaluation of the nomenclature and high wages of doctors, but there are also a lot of young people who want to do it in a completely different way today. We must not leave them in the cold and we must give them a sustainable future, including in terms of financing.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u37	Mrs Muylle, I have also been familiar with the dossier for a very long time, from the 1980s, also at a very personal level. It is therefore very close to my heart, but it does take some time, because it is served by consultation mills. That does not mean, however, that we must not bring it to a successful conclusion. In the context of the COVID-19 crisis, we have also undertaken special funding and actions for that group, which was also right. We are certainly not where we should be, so if you'd like me to grab it with my two hands, I'll grab it with my two hands. It is a very important issue.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u38	Minister, my question concerns the decision of the Colruyt Group to work as a pick-up point for online pharmacies. I am asking myself about the safety of medication policy. I've asked a question about online drugs and the collection of medication from online drugs. Academics have also warned: when one goes on such an online platform, one can order painkillers or nasal sprays as much as one wants. They're very low-threshold. There is no shared pharmaceutical dossier there, and now we are going a step further. People can go to a grocery store to pick up a lot of medication there. Minister, do you agree with this? Are you prepared to take certain dissuasive steps to prevent multiple doses of nasal spray or painkillers or multiple packages from being collected so that health care protection is created?
