ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u1	Minister, I refer to the written version of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u15	Mrs Bury, I am pleased to hear that the colloquium is also being picked up by you and colleagues. It was organized by the FPS Justice and was enriching in several ways. Access to justice for vulnerable persons was discussed on the basis of legal assistance and the recent increase in access thresholds. The improvement of access to justice for the most vulnerable was also cited. It set out the idea of setting up multidisciplinary law firms dedicated to legal assistance. It is true, however, that access to justice for the middle class is often ignored. Several proposals were made, including the mutualisation of legal assistance. That is an interesting proposal, but of course we must guard against the undesirable side effects and budgetary consequences. I do not think we can say that nothing has happened in recent years to improve access to justice. With the introduction of legal aid insurance by my predecessor, for a premium of EUR 200 to 300, coupled with a tax reduction, most of the disputes that could arise in the course of life can now be covered. The development of mediation and collaborative law are also important measures taken. Furthermore, recent initiatives by certain courts, such as those of the French-speaking business court in Brussels, which introduced conciliation chambers, should be cited in the model of the family court's friendly settlement chambers. That slope should be further developed in order to ensure that the seeker can find a faster and negotiated solution to his dispute in the presence of a judge-reconciliator. As was also mentioned during the colloquium, digitisation of justice will certainly improve access to justice and the court for the middle class. I am absolutely not opposed to the idea of a questioning. It is indeed important to rely on the heads of the users. That is why we will support this inquiry.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u16	Madam President, Minister, you want to give your support. That's not exactly concrete. You're suggesting that there should be some dispatching. Who's gonna make the call? Is it you who does the dispatching? You answer that you want to give your support, but I have not really received an answer to the question whether you will organise the survey yourself.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u17	Madam President, Mrs Bury, we will work with the College of Attorneys General and a number of other interested parties to see how this can be organised.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u18	Minister, that is very good. I recommend that you include the issue of VAT, which should now be charged to lawyers. That means a big difference for the middle class. It might be possible to consider whether a reduction to 6% would not be possible in this respect. That seems to me to be a point which must certainly be taken into account in order to improve access to justice.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u19	Minister, at the end of November, a member of ISIS, Taha Al-Jumailly, was found guilty of genocide against the Jezidian people, one of the most persecuted minorities on earth. The person was sentenced by a court in Frankfurt to life imprisonment for crimes against humanity, war crimes and trafficking in human beings. The Jezidi community has been crying out for help and justice for years. Hundreds of thousands of Jezidis are languishing in camps for internally displaced individuals and over 2,700 Jezidi women and children are still missing. The pronunciation is an important victory in their ongoing struggle for justice. At last, these crimes are recognised with appropriate punishment, but the search must continue unabated. Justice must be done. Some time ago, together with Mr Dallemagne of CDH and other colleagues, I tabled a motion for a resolution, which was approved by Parliament. In doing so, we acknowledged the genocide against the Jezidis and went a step further. Mr. Secretary, are you aware of this conviction? How do you look at that? How far does the federal prosecutor's office stand with the investigations into these crimes? Have our legal bodies already addressed the question of the Jezidi community to speed up investigations? To what extent does the aid provided by our country facilitate the languishing jezidis and the missing women and children? How are the conversations with your foreign colleagues going?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u20	The federal prosecutor is aware of the conviction of this person in Germany. The federal prosecutor informs me that there are 11 cases in Belgium concerning the possible involvement of Belgian FTFs in committing serious crimes against the international law of the Jezidi community. I refer to my replies at the meeting of the Justice Commission of 29 September 2021 to questions from colleagues Platteau and Safai. As I said at the time, the researchers who assess the FTFs' files on the basis of the criterion of qualification participation in terrorist activities also include the elements that can be qualified as a serious violation of the international law of the Jezidi community. Several research actions have already been completed and others are planned. Of course, given the secret of these investigations, we cannot give further details. I was also informed by my Foreign Affairs colleague that our country contributes flexibly to the humanitarian system in the field of external humanitarian aid through the funds for UN OCHA, the CICR and the Central Emergency Response Fund of the OCHA. Although there are no specific projects for the Jezidis, the organisations are active in the region concerned and in the Jezidis. Belgium contributed €4 million to the humanitarian fund for Iraq in 2020. From that fund, US$ 1.6 million was allocated to the UNFP Iraq for a two-year capacity building programme for women's organisations. The OCHA was given the mandate to ensure the necessary follow-up on women and girls' access to psychological support, health care and life-saving resources and to provide integrated services to victims of sexual and gender-related violence in camps for internally displaced persons and refugees and to the most vulnerable population groups. Belgium also supports two initiatives contributing to the possible return of the Jezidis, namely the project of the Norwegian Refugee Council Conflict Prevention and Promotion of Housing, Ground and Property Rights in Iraq and the Sant'Egidio Project Promoting the stabilisation and coexistence of minorities and religious communities in Iraq'. As regards the contribution to reconstruction, Belgium financed a project between 2018 and 2020, mainly aimed at building schools in areas devastated by Daesh, for an amount of EUR 136,790. The project reaches around 65,000 direct and 392 000 indirect beneficiaries. Belgium, together with other EU Member States, encourages the Iraqi Government to implement the Yazidi Survivors Law quickly and effectively. We note many delays in implementation. Belgium therefore continues to plead with the Iraqi authorities within international bodies for the interests of the Jezidis and the application of the law. We also follow up on the question of the return of the Jezidis who wish to do so to their towns and villages of origin from nearby. Our country, together with other EU Member States, is actively advocating the implementation of the Sinjar agreement by the two governments concerned, namely those of Iraq and those of the Kurdish region. We remain convinced that this is the best way to bring stability to the region and allow the return of the Jezidis who wish to return. However, the situation on the ground remains very complex and precarious. We note that little progress has been made so far, despite the fact that both governments continue to reaffirm their commitment. At international level, Belgium was co-sponsor of Security Council Resolution 2379, which formed the basis for the creation of the United Nations Investigative Team for Accountability of Da'esh (UNITAD) in 2017. That team is competent to collect and preserve evidence of acts committed by Daesh in Iraq that can be classified as crimes against humanity, war crimes or genocide. During its mandate in the Security Council, Belgium has regularly expressed its support for UNITAD and stressed the importance of prosecuting the perpetrators of serious crimes regardless of their responsibilities.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u21	I can only thank the Minister for the comprehensive, clear and encouraging answers.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u22	Madam President, I would like my two other questions on the agenda to be translated into written questions.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u23	Question No 1, by Mr De Pasquale (H-l Mr Metsu's 55023176C and 55023177C are converted into written questions.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u24	Madam President, Minister, there is a great risk that Lebanon will soon face a complete collapse, mainly as a result of the rampant corruption that affects all strata of the state. I have regularly had the opportunity to make this point with your colleagues in charge of Foreign Affairs and Cooperation. In this context, Lebanese, the first victims of the succession of crises in their country, cannot even count on the protection of the judiciary, the functioning of which is also affected by the consequences of such corruption. On 25 November, three judges resigned in order to denounce the political pressure on important investigations such as the double explosion of the port of Beirut. To date, some 15 appeals have been filed against the judge in charge of the case. This approach also appears to be used in the fight against corruption with the aim of delaying certain procedures targeting politically exposed persons. These instructions sometimes update ramifications in a number of States, particularly European ones, including Belgium, and in this regard it is my responsibility that coordination meetings between the judicial authorities of several nations have recently taken place in The Hague. That brings me to the questions I would like to ask you. Has our country received an invitation to participate in this consultation or even in this judicial cooperation? If so, has there been a positive response and the status of this work? If not, do we intend to offer our assistance and support to countries such as France, Switzerland, or other states in which proceedings are initiated, considering that one of the politically exposed persons, a key person in the existence and perpetuation of this corruption system, has also taken financial positions – real estate in this case – in Belgium and Brussels in particular?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u25	Dear colleague, we have received an invitation and two Belgian magistrates have participated in this consultation with colleagues from France, Spain, Italy, Greece, the Netherlands and Portugal. To the extent that they are authorized to do so in accordance with article 873 of the Judicial Code, the Belgian judicial authorities shall execute requests for assistance from the Lebanese authorities. These requests for mutual legal assistance subject to the secrecy of the investigation are carried out within the limits of Belgian legislation and the bilateral convention governing judicial cooperation between Belgium and Lebanon, i.e. the extradition treaty of 24 December 1953 and its additional convention of 8 March 1968. Belgium is an active participant in the EU-funded Euromed Justice Programme, which aims to promote and strengthen cooperation between EU member countries and southern Mediterranean countries, including Lebanon. Under this programme, the Federal Prosecutor's Office, inter alia, invited a Lebanese delegation to participate in a study visit in February on the international exchange of financial information for the detection and recovery of criminal assets. The organisation of this event, in which CETIF and the OCSC are associated, demonstrates the desire of the Belgian judicial authorities to support and encourage cooperation with Lebanon.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u26	I understand that the Belgian judicial authorities have received a request for judicial cooperation. A number of European countries - more important than I thought - joined in working on the issue of corruption in Lebanon. That is the way to go. It is very good to organize study days with the Lebanese authorities, but in many cases these Lebanese authorities are the ones who are doing everything to perpetuate this corrupt system. I hear that things seem to be moving forward and that Belgium is involved. I'm glad. If I may, minister, I will come back to you from time to time to take stock of this important issue. Indeed, from a geopolitical point of view, a collapse of Lebanon could have absolutely dramatic consequences that we would not escape. I think it's clear to everyone.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u27	My question No. 55023155C on the general meeting of co-owners' associations and COVID-19 is without object as a result of the draft submitted and expires.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u28	Mr Minister, the subject that I am addressing, we have already talked about it at our meetings a few weeks ago, in relation to the tolerances applied by the various prosecutors' offices, and this throughout the country. So I will not go back to the example I had mentioned at that time. These different tolerances generate disturbing elements: on the one hand, a sense of impunity on the one hand and on the other hand, there is the democratic element. It is important to know on what basis, in a particular area of the country, it is decided to apply or interpret the rule in a particular way. In both cases, this is not right! Is there a census of all the tolerances present in the repressive judiciary to date? Has such a census been conducted? It is all the more important to do so because we are on the eve of an important appointment in 2022, namely the reform of the Penal Code. On the basis of the tolerances you would have identified, what are the elements behind them? Do you intend to incorporate into the new Penal Code these famous tolerances and the reasons for them and ensure that this Code is based more on the realities encountered in our beautiful country?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u29	My colleague, your question refers to tolerance, which is not a legal concept, but rather an attitude or behaviour. It should not be confused with the principle of propriety of prosecution, which, in accordance with article 28 quater of the Code of Criminal Investigation, constitutes a prerogative of the King's prosecutor, allowing him to file cases without further action within the framework of the criminal policy determined by the College of Attorneys General and the Minister of Justice, in accordance with article 151 of the Constitution. These classifications are carried out on a case-by-case basis for reasons unrelated to tolerance. These may be grounds relating either to the nature of the facts, to the exceedance of the reasonable time limit, to a regularised situation or to reasons related to the author's personality (absence of precedents, disproportionate consequences) or to criminal policy, including priority to civil proceedings. As regards the reasons for this tolerance, I refer to the annual report of the Public Prosecutor's Office which I forwarded to Parliament on 21 September, and in particular to the Committee on Justice. This letter contained not only the annual report, but also the prosecution's research and prosecution priorities. It provides an overview of the issues that the prosecution is addressing as a matter of priority. It is therefore important to know that there is a national criminal policy defined by the Minister with the College of Attorneys General. But each prosecutor's office can conduct its own policy within these margins, depending on local needs, specific security issues and agreements with local mayors under the zonal security plan. However, there is a criminal law branch in criminal law where there is a regular reference to the concept of tolerance, i.e. the road traffic police. These are the margins of tolerance on speed violations, i.e. the directives given by the public prosecutor's offices in order only to verbalise speed excesses beyond a certain threshold. I have already had the opportunity to answer many oral questions on this subject. I come to your first question. As has been said, the College of Attorneys General is responsible for national prosecution policy, and each local policy prosecutor. He or she is monitoring this policy. It is true that there was no comprehensive, centralized view of existing quotas and margins of tolerance in taxiing cases. You know that I want to make a difference and that we are doing so in the interests of road safety. With 644 people killed on our roads in 2019, we will not achieve the goals set. A few weeks ago, the College of Attorneys General and the King's Council of Prosecutors reviewed the survey of existing practices in prosecutors' offices and police areas. The College sought the Council's opinion on the existing quotas and margins of tolerance. The College provided me with this statement but specifically asked me not to share it with the general public, in the interest of road safety. It is only in this interest that I am responding to the College's express request, especially since we are currently working on a uniform policy. The existing margins and quotas will be phased out and systematically phased out. Let me turn to your second and third questions. It is of course essential that the prosecution service of that country pursue a certain criminal policy and, in so doing, subscribe to a more broadly supported policy, for example through the Security Framework Note. It is mainly in this context that your question needs to be answered. Margins of tolerance temporarily retain their raison d'être, as long as the links in the criminal chain, i.e. the police, prosecutors and courts, are not strengthened. That is why we have decided to strengthen this chain and that we are taking the initiative, as you know, to create a new road safety prosecutor's office. Once this strengthening has been put in place, we believe it is important to gradually eliminate these margins of tolerance and quotas.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u30	Minister, thank you for your answers. I see that we finally share the same concern. I still come back to this notion of legality which is indispensable for the citizens of the same country. So I understand the differences, the autonomys, the appreciations, but - I repeat - I believe that we must also hear the need for this equal treatment whether we are in the north, south, east or west of the country. This seems to me to be a key element of social cohesion.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u31	Mrs. Kattrin Jadin is absent.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u32	Madam President, Minister, we learned a few days ago – this notion of "a few days" is important – that the country's second detention home, the first in Wallonia, will be located in Verviers. On this principle, this is good news. Firstly, because this type of infrastructure has already proved its usefulness in other countries, for example on the side of the Scandinavian States or the Netherlands, in order to reduce recidivism. Secondly, because this tool will contribute to the maintenance of Verviers' justice pole function. Your press release announced the old house of rest of the "Châtelet", on the nearby town of Dison, a few hundred meters away, as the first choice for the reception of this structure. However, it seems that there has been confusion and that this is the site of "La Providence", a former nursing home on Foxhalles Street, which is being held. This building is now occupied by the Red Cross, which houses flood victims in July. I do not hide from you that the location has aroused a very important emotion in the neighborhood and, more generally, in the city. Social networks are agitating a lot. Many meetings of residents or citizens have been held. I would point out that the building that is chosen is in the immediate vicinity of a basic school with about 400 students. The proposed building is adjacent to the school. The concerns expressed by the management of the establishment and by the parents are understandable because in addition to being contiguous, this building (with 52 windows) overlooks the playground. Minister, do you confirm the location option? Why was the site of the "Châtelet" first mentioned in your communication? Could you clarify how you envisage the integration of this project into the life of the neighbourhood, particularly in relation to the neighbouring school with, I would remind you, 52 windows and 2 doors that directly overlook the playground? What will be the profile of the inmates? What assurances can you provide parents with regard to accommodation and safety? Is there any agreement with management?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u33	Madam Chair, Minister, my question is with Mr. Ben Achour, who reminded you of the context of the decision taken and announced on December 6. Like my colleague, I must point out from the outset that we are in no way questioning the very principle of a detention facility, given its positive impact on the reintegration of detainees. What raises the question is the site that has been chosen, since it corresponds to the old building of the rest house of "La Providence", whose several windows and doors directly overlook the playground of the nursery and primary school of "La Providence". This location therefore obviously worries the school, but also the reception centre for victims of domestic violence, located on the other side of the street. The mayor of Verviers said that the lack of consideration of this aspect was the result of a lack of attention in the validation of the choice of the building and that it would first be useful to objectify the situation, then to examine the avenues of solution with the school in question and the Régie des Bâtiments. As a result, Minister, what will be the profile of the fifty inmates who will be transferred to this detention facility, by definition, for short sentences (up to three years)? Will a sorting of the categories of infringements be carried out in advance? Do you confirm that 50 windows and 2 doors directly overlook the playground? Will these openings be accessible to inmates? Have you ever developed a plan for the work to be done? I also remember that you met with the authorities of the city of Verviers last Thursday. What came out of it? What is the status of the discussions on the development of this detention home, which implies the disappearance of any visual link between it and the school? What flexibility will be available to residents, parents' and neighbourhood associations, as well as the management of the institutions concerned if the acts are signed on 27 December? What initiatives have you taken to reassure them about their safety? How did you assess the impact of the facility on the neighbourhood and school in question? Finally, I understand that the opening is planned, at best, for next summer, for the following reasons: as Mr Ben Achour has explained: the building is currently available to flood victims, the purchase of the building is not yet concluded or the planning permits for the works have not yet been introduced. Therefore, could you tell us how you intend to articulate these different steps?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u34	Madam President, ladies and gentlemen, as you know, as a result of the debates we have had in committee, my colleague in charge of the Régie des Bâtiments and I myself are very actively looking for suitable sites to open several detention centres, as also requested by the members of the Justice Committee, with a view to the development of small-scale detention projects. As I said, the choice of a site is not that simple. In this context, an old nursing home in Verviers has been studied and validated. I confirm that the Foxhalles Street site is targeted. If the name of the site of the "Châtelet" was quoted, it was by mistake because of the fact that we did not know the name of the house of rest that was previously located on this place. The file is now in the final phase. It is still a little early to give you a precise opening schedule, on the one hand, because the building is still occupied by a few people affected during the floods this summer and, on the other hand, because work is to be planned within the building. But I am confident that the building will be ready by the summer of 2022. I would like to point out that the geographical location of the building will also allow for the reception of convicted persons from the German-speaking Community, which is excellent news. Some windows of the building in question actually overlook the courtyard of a primary school, but I would like to remind you of some elements. First of all, this type of place of detention will not accommodate prisoners convicted in the context of acts of morality. Secondly, the aim will be to accommodate persons sentenced to short sentences with a clear orientation for reintegration. In fact, convicted persons will be regularly absent from their chambers, either to continue their work or training in progress, or to carry out reintegration procedures. You have to perceive a detention home differently from a prison. From the outside, the detention home will look more like a student-friendly home than a conventional prison. I would add that, unlike student kots, these detention centres will be supervised, as in prisons, by FPS Justice staff and that a 24-hour presence will be provided by these staff. For the residents, there will be no noise nuisances. The building will remain very discreet in relation to the neighbourhood. With regard to the windows overlooking the school, it was clearly pointed out that, during the development work, care would be taken to minimize possible nuisances, in particular through the installation of offices in the rooms overlooking the school, or by putting in place material solutions, e.g. through non-transparent windows. In any event, and although I would like once again to stress that the convicts concerned do not pose any danger to children, I can assure you, ladies and gentlemen, that I will be attentive to this element in future work. Together with the mayor of the city of Verviers, a meeting was held on Thursday 16 December to present the dossier to the organizing power of the school. Both the FPS Justice and the Régie des Bâtiments officials were present and were able to explain the philosophy of the project.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u35	Minister, thank you very much for these answers. I must tell you frankly that we have gone wrong on this issue, because, in the absence of agreement, there has not even been any information. The school was warned, or informed, by the press, one fine morning. However, understand what it is that, for the school officials and for the residents, to discover in the newspaper that the building next to yours will accommodate a house of detention, whose operation is finally very little known, since it is a new concept in Belgium. All of this has given rise to a great deal of emotion and concern. I did not say that in my question, but the detention centre is also in the immediate vicinity of a shelter for victims of domestic violence. Imagine a victim crossing his executioner, one going to the house of detention, the other to the home of domestic violence! All this is very problematic. In addition, the entrance to the detention facility is almost contiguous to the entrance to the school itself. I have the impression that this project, if it is good in its principles, has not been properly reflected in its implementation and location. A petition is circulating; it has already collected a thousand signatures. People are very worried. I heard yesterday that the acts were to be signed on 27 December. Is there still room to back down and carry out this consultation that has never taken place? What are the margins available? Minister, I invite you to lift your foot, take a break in this project and put it back on track properly. Today, there is a form of emotion that turns into anger and if we continue to move forward, the feeling of the population may degenerate and it will not be good for the project. I invite you to reconsider as much as possible.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u36	Minister, thank you for your answers. The purpose of our questions was not to question the plans of detention centres in relation to their objective of limiting recidivism. I fully understand the logic of installing a detention home in a city centre rather than in the periphery, since there is a goal for inmates to be able to maintain contact with their loved ones but also to be able to look for work. What is being asked here is the location that has been chosen and the lack of consultation. In addition, some detainees are said to have an electronic bracelet and could therefore leave the detention centre in the morning and return in the evening. The concern of the principal of the school, who fears for the neighbourhood and the reputation of her school, is legitimate, as is the concern of the parents of students, who today express themselves through a petition. With regard to the profile of the detainees, you are trying to reassure us that they will be sentenced for short sentences and not for acts of morality. I want to say "still happy"! This is in no way a guarantee that there is no danger. These penalties could also concern serious acts of domestic violence, for example against children. For example, persons could be sentenced for possession of child pornography, since the Penal Code provides for a prison term of between one month and one year. Let us imagine a conviction for premeditated beatings resulting in illness or incapacity for work: these acts are punishable by imprisonment from six months to three years. Those sentences could very well concern detainees who would end up in that detention facility. Moreover, regardless of the profile of the detainees, their mere presence in the vicinity of a school is not adequate, as it could frighten the children, even in the presence of any arrangements you have mentioned. Indeed, the concerns of the parents, of the management, will affect the children. We know that these are sponges that absorb the emotions of the adults around them. You're telling us that there will be some adjustments. You have not been able to reassure us with regard to the Centre for the Reception of Victims of Domestic Violence, on the contrary with regard to the Court of Recreation. So, like my colleague, I must insist with you that there be genuine consultation, so that you do not act in haste. You did it for Courtrai's detention home. I think it must be the same for Verviers, especially since you are telling us that there is no precise timetable for doing so today. This shows that there is still room for manoeuvre in this case.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u37	I refer to the text of my question.
