ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u1	I would like to wish you all the best for 2021.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u12	Madam Minister, first of all, I would also like to announce a motion linked to the interplay. I shall look at this very briefly in a moment. You have indeed done something about international flexibilisation. Apparently, and unfortunately this happens often, there is a difference between what was widely said in the Flemish Parliament and in the press. Mrs Demir has put forward the term 'international' quite clearly, but apparently that did not even come on the table on 7 December, because it simply cannot be done. I think it's important that you change that here. With regard to cost-effectiveness and the link to emission reduction potential, this remains a dime on its side. We will have to look at the additional flexibilisation mechanisms that will result in a review of the system over the next few months. Anyway, the next few months the monkey will come out of the sleeve, Europe will confess colour and everyone will eventually have to position themselves. Then I'll make a bridge to my motion of recommendation. We ask that at least at the next European summit in May 2021, in the intra-Belgian negotiations, and in the revision process around the National Energy and Climate Plan, the federal government uses a feasible and affordable impact for the Regions, especially in terms of cost efficiency. As has already been said, the federal government, within its powers, will also have to take more responsibility for achieving the objectives, without increasing the tax burden. You know what I'm talking about. I also found it regrettable that gas is accepted as a transition technology in the discussions within the European Council for the joint achievement of the climate objectives, but there is no nuclear energy. We regret that. For us, this is certainly also a transition technology. Mr Daems expressed her annoyance about this here too.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u13	Thank you, Madam Secretary, for your answer. As far as the CO2 reduction that is necessary and necessary is concerned, we must be ambitious, but it must also be feasible and affordable. That is what the Flemish government did in its coalition agreement. That is also the break with the past, to which you referred. Having said that, I do not wish to reopen a semantic debate on whether or not the conditions are fully enforced in the text. The Minister's cabinet was clear about that. I found the reaction of the federal level questionable. "There has been hard negotiations, even at night. And there has also been consultation between the Cabinets." All this may be true, but the fact that people negotiate at night does not necessarily mean that they win the negotiation. As you say, the conditions set by Flanders are better anchored according to the Prime Minister, while we are asking for very clear enforcement of the conditions. The fear we have can rightly be mentioned. You know Mr. Maron, I don't know if you know his cat too. When he had to represent this country on 17 December 2020 as President of the Environment Council, he sent his cat. He did not show up because he refused to express the position of Flanders and the two conditions that Flanders clearly stated. That says a lot, if not everything, Madam Minister, but things done do not happen again. It's 2021 and the big work is about to begin. We need to meet internally who's gonna do what. I hope for Flanders, where the industry and the SMEs, who create jobs for people and indirectly also provide prosperity in our region and are at home when enlargement takes place in our country, that we are moving towards achievable, realistic and affordable goals, just as the Flemish government agreement includes.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u14	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mr Kurt Ravyts and reads as follows: "The Chamber, heard the interplays of Mr Kurt Ravyts and the answer of the Minister for Climate, Environment, Sustainable Development and Green Deal, - having regard to the agreement reached on a binding EU target of a net reduction of greenhouse gas emissions in the EU of at least 55% by 2030 compared to 1990; - having regard to the European Council's call for the inclusion and rapid adoption of the new objective in the proposal for a European Climate Law; - in view of the uncertainty, concern and uncertainty which, in view of the statements made by the Flemish Minister for Energy, the Flemish Government is present at the Flemish Government. the guarantees and implementation of the principles of cost-effective distribution (fair distribution of efforts) and possibilities for international flexibility (Conclusions 14 and 17 of the Euro Summit Declaration); - having regard to the fact that in Conclusion 14 of the Euro Summit Declaration on the textual anchoring of respect for the Member States' right to decide on their energy mix and to choose the most appropriate technologies to jointly achieve the 2030 climate target, no explicit reference is made to nuclear energy but to gas (as transition technology); asks the government - to use as a starting point in the intra-Belgian negotiations on the distribution of efforts and on the review of the Belgian National Energy and Climate Plan as a basis for a viable and affordable development for the regions when defining the concrete country and region-specific objectives at the next European Summit (e.g. on the issue of cost-efficient emission reduction potential), taking greater responsibility for the objectives to be achieved, including within federal powers, without increasing the tax burden on consumers and businesses; - urge future discussions in the European Council and with the European Commission to make explicit reference to nuclear energy as one of the transition technologies for the joint achievement of climate objectives." A motion for recommendation was tabled by Mr. Kurt Ravyts and reads as follows: "The Chamber, having heard the inquiries of Mr Kurt Ravyts and the response of the Minister of Climate, Environment, Sustainable Development and Green Deal, - having regard to the agreement reached on a binding European target for the net reduction of greenhouse gases emitted in the European Union of at least 55% in 2030 compared to 1990; - In view of the call made by the European Council for the new objective to be incorporated into the proposal for a European climate law and for it to be drawn up quickly; - In view of the uncertainty, concerns and lack of clarity which, taking into account the statements of the Flemish Minister of Energy, prevails within the Flemish Government with regard to guarantees and the definition of the principles of cost-effective allocation (fair allocation of efforts) and possibilities for international flexibilisation (Conclusions 14 and 17 of the Declaration of the European Summit); - In view of the fact that Conclusion 14 of the Declaration of the European Summit on the textual anchoring of respect for the right of Member States to decide on their own energy mix and to choose the most appropriate technologies with a view to jointly achieving the 2030 climate target, does not explicitly mention nuclear energy but gas (as a transitional technology); asks the government - To take as a starting point, within the framework of the determination of specific concrete objectives by country and region at the next European Summit, in the intra-Belgian negotiations on the allocation of efforts and within the framework of the revision route relating to the National Energy-Climate Plan, realistic and affordable implementation (in particular on the question of the potential for reducing emissions based on cost-effectiveness), greater responsibility being assumed, within the limits of the federal powers, for the objectives to be achieved, without increasing the tax burden on consumers and businesses; - To insist, in future discussions within the European Council and with the European Commission, that nuclear energy be explicitly mentioned as one of the transition technologies for the joint achievement of climate objectives." A simple motion was tabled by Mrs Séverine de Laveleye. A simple motion was tabled by Ms. Séverine de Laveleye. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u15	Mr President, ladies and gentlemen, my best wishes. I apologize for breaking into this committee like that. Madam Minister, on 10 December 2020 I received your answer to my written question on artificial grass fields, sprinkled with SBR rubber granulate. I would point out that you will be careful to ensure that the environmental aspect of these products is not overlooked during the European negotiations on dossiers relating to the problem of microplastics in the environment. Thank you for that answer, but I am still hungry when it comes to my specific questions. Today we know that this rubber granulate causes the soil to be polluted by the extraction of heavy metals such as zinc and all kinds of mineral oils contained in the dispersion agent, and that mass fertilizers of micro- and nano-particles spread and get into the soil and surface water. The most important thing is that the packs in the rubber granulate also involve a lot of health risks for those playing on the fields. The principle of caution seems to me to be more important, with all due respect, than to ensure that European meetings do not lose sight of the environmental aspect. Madam Minister, today we are basing ourselves all over Europe on the subject of artificial turf fields, sprinkled with SBR rubber granulate, purely on literature studies. Are you willing to launch an investigation, in collaboration with a university, into the annual impact on the environment in our country of artificial grass fields, sprinkled with rubber pellets? In this way, you might be able to carry out an invaluable study which could make the whole of Europe wiser. In addition to your colleague from Health, Frank Vandenbroucke, will you also engage with the relevant ministers of Sport and Environment in the regions and communities of our country? Do you have any idea when the running European file on packaging in rubber granulate, used in sports fields, will be completed? Can you give me an update today on the evolution and positions that have been taken at European level?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u16	Mr Moyaers, in order to ensure a coherent regulatory framework, I am opting for an approach that includes environmental and health aspects for the use of materials containing substances of concern, such as the use of granules and litter on synthetic sports fields. We regret, however, that this approach was not adopted at European level. This was the reason for Belgium to vote against the European Commission's proposal on the REACH restriction to reduce the concentrations of polycyclic aromatic hydrocarbons that were recently put to the vote. Our services explained in detail the elements of this issue in a reply to your recent oral question addressed to my colleague, Minister Vandenbroucke, in December 2020. The Belgian REACH Committee (BRC) is the Belgian coordination body for the defence of the Belgian position in this dossier. My administration confirms the need to apply the precautionary principle in this dossier, in particular with regard to the carcinogenicity of the packs, but also with regard to the aspects of persistence and bioaccumulation derived from the microplastics in those granules. The conclusions of the Scientific Committees of the European Chemicals Agency will be published shortly on the issue of microplastics in the granules. They will form the basis for a discussion at an ad hoc meeting of the BRC, which is already planned. This brings me to your specific questions. Although my services give priority to this dossier and to its various environmental and health aspects, it does not seem appropriate to me to do a duplication of work on top of the work that has already been carried out or is still being carried out at European level. The research published by the RIVM (Rijksinstituut voor Volksgezondheid en Milieu) in February 2018, Exploring environmental effects of rubber granulate at artificial turf fields, is explicitly about the aspects. In addition, the European Commission recently informed us that ECHA is currently carrying out a number of evaluations in addition to those aimed at pack concentrations in microplastics in those materials, based on a mandate from the European Commission addressed to ECHA on 20 August 2017. My services hope that ECHA will publish the analytical results of these additional impacts during the first semester of 2021, followed by a public consultation and subsequent advice from the ECHA Scientific Committee. Within the BRC, it is necessary to reconcile the opinions on regional powers, in particular on sport, quality of the environment and the supervision of the municipalities, together with regional colleagues, in order to determine the Belgian position. I refer in particular to the regional ministers for the criteria for the end-of-waste phase for the allocation of specific uses for recycled materials. The BRC was informed of the specific legislation existing in Flanders regarding the use of tyre granulates on sports fields. As has already been said, Belgium has decided to vote against the proposal for restrictions on packs because of the lack of coherence and ambition in the proposal. The result of the vote is that the majority of the Member States agree. These measures are proposed by the European Commission on pack limits, which will therefore apply to the use of those products in sports fields and playgrounds.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u17	Madam Minister, I understand from your reply that, through ECHA, Europe had asked for a written vote on the proposal for possibly stricter measures, in order, for example, to reduce the pack. Apparently, the Belgian REACH Committee, the BRC, has given a negative vote on the proposal, because it is not considered ambitious enough for Europe. This result will probably soon or already be published everywhere, but we also work at two different speeds in our country. For example, when one looks at the state governments, I believe that the noses in our country are not in the same direction everywhere. As far as stricter measures are concerned, in the South of our country the stricter European standard on packs has been used for some time, while Flanders is lagging behind. You are also actually saying that you do not think it is appropriate to walk in the footsteps of Europe and do duplication of work by carrying out a study. Moreover, what Europe is asking for seems to be an improvement, but by definition it is simply an empty box. Everything that Europe proposes is something that is already achieved in 95% of cases, so nothing really changes except in the minds of the people. As a federal minister, you can certainly play a role, on the one hand by putting the noses in the same direction throughout the country and, on the other hand, by starting a very innovative study, in collaboration with the university, on the impact of artificial grass fields on the environment. I can sum it up very simply: today used tyres are very toxic waste, but if they are shredded and scattered over an artificial turf field, it is recycled material. When these grains lose their resilience, they are once again highly toxic waste, but in the interim thousands or even hundreds of thousands of children and adults in our country can play on it. We should show a little more ambition in that.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u18	Mr President, Minister, on 11 December 2020, the European Commission issued a press release welcoming the political agreement reached by the European Parliament and the European Council on the Commission's proposal on the Fund for a fair transition as an instrument of European cohesion policy. This fund is a crucial instrument for implementing the European Green Deal and is a new instrument with a budget of €17,5 billion increased this summer. The aim is to meet the social and economic costs resulting from the transition to a climate-neutral economy through many activities, in particular to diversify economic activity and help people adapt to a changing labour market. There is now, among other things, the possibility to support investment in large enterprises in assisted areas on the basis of guidelines on regional State aid, for example to cope with job losses resulting from the transition. On the basis of the political trilogues, EU Member States should draw up territorial plans for a fair transition, indicating which areas are expected to be most affected by the green transition. Each Member State shall draw up the plans together with the relevant domestic partners and in consultation with the European Commission and ensure that these plans are consistent with the smart specialisation strategies and national energy and climate plans. Those national plans should then be approved by the Commission. What is the precise procedure in Belgium for drawing up these plans and the actions to be included in them? How exactly do these come about? What is the connection or overlap with the existing ERDF and ESF Plus programmes? What are the deadlines? What is the European agenda? When will intra-Belgian agreements be concluded? Madam Minister, I think yesterday evening has shown that it may not be that difficult, because there is an agreement on the European recovery plan. However, it was also said that there was no literal application of the European keys, otherwise it would have been even more out of proportion. I suppose there will also be a political agreement here who gets what from the JTF.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u19	Mr President, Mr Ravyts, Belgium submitted an application in 2020 for technical support for the preparation of the territorial plan to the European Commission for EUR 300 000 under the European Structural Reform Support Programme and the Technical Support Instrument. The European Commission received 17 applications from Member States. They were all approved. Both the federal government and the federated entities are involved in the file. However, the work on Belgian technical assistance is currently on hold, in which the European Commission calls on Belgium to take a decision on the geographical coverage of the territorial plan and thus on the aid from the Just Transition Fund. As you know, Belgium was mentioned in its part of the country report in the context of the European Semester Tournai, Bergen and Charleroi in the province of Hainaut. However, Member States are free to derogate from and extend the report, both geographically and in terms of scope. In order to make effective use of the EUR 300 000 allocated support, Belgium needs to take a decision as soon as possible. In the event of further delay, our country risks losing the funds already allocated, with the European Commission being forced to spend the money elsewhere. The other Member States have already completed their territorial plan with the help of the technical assistance they have obtained. The link with the European Regional Development Fund and the European Social Fund Plus is twofold. JTF resources can be integrated into a programme supported by the ERDF and the ESF Plus. The resources of the Just Transition Fund may, on a voluntary basis, be strengthened with additional funding from the ERDF and the ESF Plus. The new multi-annual financial framework 2021-2027 also includes a new partnership agreement, which will have to explain how the structural funds will be distributed between the regions and set out the investment strategies. The Belgian Partnership Agreement was to be submitted to the European Commission in June 2021. It is important to integrate the use of resources from the JTF. The decision on geographical coverage shall preferably be taken well before that date in order to continue with the technical support. The role of the federal government is further twofold. On the one hand, the federal administration acts as the national coordinating authority, the national contact point for the European Commission, and on the other hand, the Territorial Just Transition Plan, if approved by the Commission, will also give access to the other Pillars of the Just Transition Mechanism that can finance activities falling within federal competence. The federal government will thus be able to strengthen the actions of the Regions to support the elected districts in their transition to climate neutrality. Proper coordination of regional and federal actions in the elected areas is imperative, with the involvement of the federal government in drawing up the territorial plan. Finally, I would like to reiterate that the plans must be consistent with the National Energy and Climate Plan to which the federal government is, of course, also involved.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u20	Madam Minister, I think my oral question is very relevant. Your explanation was technically good and I can do something with this. It is clear that there should be an agreement on geographical coverage, preferably as soon as possible, as the Belgian partnership agreement should be there by June 2021. We will certainly come back to this in the coming weeks and months.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u21	Mr President, Madam Minister, according to the report of the NGO WWF, Belgium alone consumes an area of more than 10 million hectares to produce seven basic products (soja, cocoa, beef and leather, palm oil, coffee, hevéa, wood and paper), almost half of which are located in countries at high or very high risk of deforestation. Soybean wins the "palm" – if I can afford this bad pun – with the largest footprint with 1.3 million hectares needed in the countries concerned. For the record, forests are home to 80 per cent of the global terrestrial biodiversity. Deforestation and land-use change account for 12 per cent of greenhouse gas emissions. The link between biodiversity protection and the fight against climate change is therefore clearly expressed here. At European level, things seem to be moving forward. Parliament called for an ambitious law. This request was supported by more than one million European citizens in the context of the Together4Forests campaign, including 87,000 Belgians whom you met with the representative. You recently announced that Belgium will join the Amsterdam Declarations Partnership, which we welcome. Just a few months ago, I had asked your predecessor about this, but I had not been able to get a concrete answer. Belgium had also already committed itself in 2014, when it signed the New York Declaration on Forests, to eradicate deforestation in most of its supply chains by 2020. But here we are already in 2021 and deforestation is still part of our imported products, with the figures you know. Madam Minister, in concrete terms, what are Belgium's obligations and prohibitions in relation to imported deforestation that we can draw from this new partnership? How can you guarantee that this new agreement will have a real impact on the fight against imported deforestation, contrary to the New York agreements? You mention in your policy note the development of the Beyond Food strategy, in connection with imported deforestation. What is the timetable for the implementation of this strategy and how do you envisage it in collaboration with other federal ministers?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u22	Mr President, ladies and gentlemen, the countries in the Amsterdam Declarations Partnership have advanced the implementation of the New York agreements, although unfortunately targets have not been achieved. Belgium signed the level of ambition set for 2025 on 8 December, which will be officially communicated by the ADP in the coming days. This voluntary partnership is a grouping of countries that share a political vision for action on imported deforestation. There are no legal obligations or prohibitions arising therefrom. There is a moral commitment to implement the content of the new declaration by participating in the working groups, diplomatic actions and strategic reflections of the partnership. These countries are at the forefront of understanding the sectors and impacts of imported deforestation and have contributed greatly to the Commission's communication on this subject and to contacts through their embassies with critical countries such as Indonesia, Malaysia and Brazil. Belgium is a country with a large open economy and exports several products affected by imported deforestation. Given our role in the European market and the efforts to undertake the necessary transitions, joining the partnership will serve as a considerable lever for the necessary dialogue with producer countries, other consumer countries and the sectors concerned. This accession should therefore facilitate the implementation of the Beyond Food strategy. At the end of December, I received the draft Federal Strategy Beyond Food drawn up by the Working Group on Social Responsibility of the Interdepartmental Commission for Sustainable Development. This draft strategy will form part of the federal sustainable development plan. I intend, now, to initiate contacts with the firms concerned. This strategy would cover a period up to 2030. The administrations concerned are, in fact, already actively working on the various elements of this strategy. Membership in the partnership is one of its recommendations. By January 2022, we should have a formal structure for monitoring and coordinating Beyond Food's actions. Task forces for each of the priority raw materials should be launched to prepare partnerships of the Beyond Chocolate type. Specific federal measures and actions will be identified for each of the strategic areas, in particular public procurement, taxation and access to justice.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u23	Madam Minister, thank you for your answer. It is gratifying to note that things are moving forward both at European and Belgian level, and that within the government there is an ambitious start to consultation on a plan. However, I would like to draw your attention to elements that we believe are really important. You are talking about a moral commitment within the framework of the Amsterdam Declarations Partnership. Unfortunately, we know that moral commitments do not always bear the fruits that we hope for. We will therefore have to go very quickly beyond the moral commitments of the various stakeholders. Indeed, at some point, commitments must become binding and set targets for themselves. You're talking about a formal monitoring structure that should be in place in 2022. This is really the lever to move forward. It must be possible to put under the nose of stakeholders how to move forward and how not to move forward. As is well known, a few years ago France adopted a strategy against imported deforestation that does not yield the desired results. There must be significant constraints, particularly in the commercial and production sectors in general. We therefore encourage you to equip yourself with the necessary tools if we want to achieve and achieve effective results before 2030, if possible. We can no longer afford to be an economy open to the world and at the same time a country that still contributes to this point to deforestation in fragile countries. It's no longer possible, and we're counting on you.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u24	Question No 55012035C by Mrs Nawal Farih was withdrawn.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u25	Mr. Chair, Madam Minister, when you presented your policy note, you stated, with respect to the National Energy-Climate Plan (NECP), that an inventory of all existing and future measures relating to this plan was under way and that an administrative and political monitoring of the progress made should be established. The adaptation of the Belgian PNEC was essential following the remarks made by the European Commission, whether they concern the lack of ambition or the lack of integration between the federal level and the federated entities. Minister, could you please clarify the status of the inventory of existing and future measures related to the NCP? As far as monitoring is concerned, can you give us further details on the methodology? What is his status? What are the positive elements of this monitoring? Have any difficulties been encountered? As regards the lack of integration of the PNEC highlighted by the European Commission, what steps have been taken with the federated entities? Finally, what method will be used to meet the common objective?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u26	I don't see Mrs. Marghem. We'll wait a few minutes, but it's quite unusual. I should've been warned. She would chair the Finance Committee? [[...]] Mrs Marghem, we had suspended our work especially for you but do not abuse it.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u27	Mr President, Madam Minister, first of all, I wish you all the best in 2021, especially to you and your family, and to everyone you love, hoping that this year will give you the opportunity to achieve and succeed what you want. Your portfolio is limited to the environment and sustainable development. This situation, coupled with the extensive regionalization of our country, makes you dependent on many other federal and regional ministers, as you know. In addition, you can focus heavily on one topic – which is an asset – the global goal of reducing greenhouse gas emissions. Ultimately, this is the only objective on which, probably, everyone is increasingly and increasingly agreeing. In this context, you said that you were programming a "climate government". Could you tell us how you initiated the federal consultation work to invite your colleagues to develop a climate roadmap based on their respective competencies? Have you ever organized meetings? If so, which ones? Who were the ministers present? What were the results, and on what timing? Have you set a time frame for bringing these specific projects together for each subject, in order to account for the forward-looking effects on the greenhouse effects, which could help you draw a path that corresponds to the new European requirements in this field? On the other hand, according to the same criteria – type of meetings, timing, possible trajectory – what are the results or, in any case, the aspects discussed with your regional counterparts? Finally, what exchanges do you have with the European Commission in the context of raising climate ambitions and the requirements to be defined by Belgium? Pending your answer, I would also like to ask you another question. I imagine, Mr President, that it has been attached to those which make up point 7. I assume I can put it down?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u28	No, she wasn't joined.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u29	All right. So I'll put it down later.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u30	For the time being, we are sticking to the joint questions of Mr Bombled and yourself.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u31	Thank you for your wishes. I share them with you, especially in matters of health, for you and your loved ones, Mrs Marghem. The inventory of existing federal measures included in the NWMP is already available. However, as you know, a number of these policies and measures are described fairly vaguely in the NECP and require further detail, particularly in terms of timing and concrete stages of implementation, as well as budget. Together with the ministers of the federal departments concerned, I wish to speed up the implementation of the measures already included in the PNEC and to begin exploring the potential of the new actions envisaged in the various fields: the development of offshore wind energy, public investment, tax reform etc. The Federal Task Force established for the development and follow-up of the federal component of the PNEC is currently being mobilised to accelerate its implementation. One of its priority tasks is to refine the description of policies and measures, and to develop monitoring indicators. Each of the FPS concerned was also asked to study, for its areas of competence, the policies and measures currently included in the NCP, and to evaluate them in the light of the actions provided for in the Government Agreement and reflected in the declarations and policy notes. This work should enable us to have in the near future a better idea of the policies and measures that should be strengthened and adjusted as a matter of priority. Particular attention will be paid to the timetable for implementation and the budget required. The recent agreement, reached at European level, on strengthening the 2030 targets, constitutes an additional ground for revision of the NECP, in the light of these new objectives and the existing analyses. The European Regulation Governance of the Energy Union and Climate Action also provides for Member States to submit to the European Commission a draft revision of the PNEC in June 2023 and a final version of the revision one year later. The Climate Change department has recently awarded the contract for the impact assessment study of federal climate policies and measures to a consortium of consultants gathered around the ICDD / Vito tandem. The aim of this study is in particular to carry out an updated impact assessment of existing policies and measures, including socio-economic impacts, and to develop monitoring methodologies and indicators for new policies and measures. The first results on updating the impact of existing measures should be available by April this year and can be communicated to the European Commission as part of the biennial report on the implementation of policies and measures. Work on the development of methodologies for new measures is expected to continue throughout 2021. This work will be carried out in collaboration with the various federal departments concerned, which are closest to the implementation of the measures in question and which will be able to provide all the required data. The representatives of the Regions will also be involved in this exercise through a committee accompanying the study, so that possible synergies or interactions with regional measures can be adequately taken into account. So far, it has not been possible to reach an agreement with the federated entities within the National Climate Commission to improve the PNEC and to respond to the recommendations of the European Commission. Pending a possible agreement to strengthen the NECS, I intend to strengthen the federal component through an action plan to make optimal use of all the levers available within the framework of federal jurisdiction. Given the cross-cutting nature of climate policy and the various policy areas involved, it is important that the government as a whole mobilize around this strengthening of the federal component of the NECP. I would also like to stress the importance of close cooperation between all the competent authorities, in particular for the implementation of the so-called inter-federal measures of the PNEC. I intend to work constructively with all the authorities concerned to implement and strengthen it in a vision of complementarity of our respective competences and mutual strengthening. Marghem, to answer your question about the climate government, the idea is to set up thematic governments on the issue of gender or climate. A first meeting had been convened by the Prime Minister in December. It must have been cancelled. The first meeting was to agree on the methodologies to be used in these thematic governments. As far as I am concerned, the idea is to implement the majority agreement, which states that there will be monitoring with short- and medium-term objectives for each of the departments. As soon as this is possible and the Prime Minister can bring this thematic government together, the idea is to put on the table a road map negotiated with my colleagues. Since this first stage has not yet been exceeded, I cannot tell you more about the operationalization of work at the federal level. Thank you.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u32	Minister, thank you for your answer. According to the European Commission, the PNEC lacked coherence, efficiency, ambition and synergies. I think that a timetable will have to be drawn up very soon, as well as a budget. Quantitative targets will need to be clarified or revised in the light of the rise in climate ambition by 2030. If an action plan is needed, the cross-cutting nature of the plan and the coherence between the different levels of power will be paramount. I mean, for now, there is no agreement between the federal government and the federated entities. I think it will be up to all stakeholders to get around the table to find this agreement that is important for Belgium at European and climate level.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u33	Mr President, Madam Minister, thank you for your answers. I welcome and take advantage of your answers to my colleague's questions – we are part of the same group and share the same concerns – and of the fact that the studies are commissioned from IFDD and VITO and that the task force and the accompanying committee are operational and that we can hope for April to have a document on which to base ourselves in order to move forward in order to increase the requirements within the framework of European demand at Belgian level. At the Belgian level, it's more complicated – as you know and as you will know as well as I do quite quickly. We have to agree on this, and you have said it very clearly, there is no agreement with the federated entities in the National Climate Commission at the moment. It is a difficult stumbling block that needs to be overcome at one time or another and that will mix up with other work such as burden sharing, for example, 2020-2030. I'm not worried about this right now, but what worries me a little bit more is – although the idea is interesting – the idea of a thematic government. It's basically as if you didn't have personal freedom of action to get your colleagues on climate issues, each in their skills, to ask them to think about a roadmap. So everyone is going to wait for the eventual availability of a prime minister who is obviously at his task, a multifaceted task, very diverse and very busy. It is important – it seems to me and it is not a board but a request – that you can stand out by taking lead for your skills knowing that your skills are cross-cutting and that you are free to ask questions, to organize meetings, to ensure that you are the driving force behind this cross-cutting climate concern with each of your colleagues. That's what I wish you could have done. In any case, I will come back to you to ask if you have been able to ask for them and what their answers have been.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u34	Mr President, I would like to add to that. When I hear Ms. Marghem's reply, I realize that I have not been complete and that may lead to a misunderstanding. As soon as I took office, I sent a letter to all my colleagues asking them, for each of their skills, what measures they were taking. So there is a dynamic between me and my colleagues. The idea and the will were good that everyone could have a global view. I'm not waiting for this climate government to move forward, but as you asked me about it, I probably should have started with it. On the other hand, not all my colleagues have responded, but those who have done so already have a very precise view and have provided very high quality answers – I take this opportunity to say it here and to say that it has been appreciated.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u35	Mr President, Madam Minister, thank you for this very important addition. I will come back to you with a specific question to ask you which colleagues have answered you and what they have answered to see how the case is going.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u36	Minister, revenues from the auctioning of greenhouse gas emission allowances fund Belgian climate policy. In your political guidance note presented last December, you stated that the conclusion of a cooperation agreement with the federated entities was a priority and that contacts with your regional counterparts had been made in order to agree on a negotiating agenda on the subject. My questions are as follows. Has this negotiating agenda been set? If so, could you clarify that? If not, what difficulties may be encountered? Thank you.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u37	Mr Bombled, you rightly stress the importance of emissions allowances for climate policy. Electricity producers, industry and aeronautics companies buy emission allowances under the EU ETS (emissions trading system) system to meet their European obligations. The price of these emission allowances depends in particular on the level of ambition of the climate targets. We note that this price has increased from 25 to 35 euros per tonne of CO2 over the last two months. This is primarily due to the decision of the European Council to raise the climate target from -40 to at least -55 % by 2030 and to the market, which anticipates the reduction of emission space in the ETS system. As a result, the expected income for Belgium for the year 2021 has increased from more than 300 million euros to more than 400 million euros. The distribution of these revenues for 2021 and subsequent years up to 2030 depends on the key allocation set out in a cooperation agreement between the four entities, which is yet to be negotiated. At the meeting of the National Climate Commission on 3 December, which I organised, the commitment was made to negotiate this political agreement for the autumn of 2021. At the same time, I requested and obtained a negotiating mandate from the federal government to develop a single solution for the year 2021, so that all entities would continue to benefit from emissions revenue to finance their climate policy. I expect a response from several federated entities on this matter.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u38	Thank you for the answer, minister. It is true that over the years the purchase of allowances at auction has gradually become the rule. In a way, the polluter pays principle is put into practice. I hear the agenda of negotiations with federated entities. They are in progress, but an agreement is not expected until the fall of 2021. The one shot for the year 2021 would still have to be solved as quickly as possible, if we do not yet have the distribution key for the years 2021 to 2030. I will certainly ask you for the progress of these negotiations.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u39	Minister, Climate Change Performance Index (CCPI) on climate protection performance of 57 countries and the European Union, published on 7 December 2020 – this is brand new! – attests to Belgium's significant decline in the ranking in the fight against climate change. Thirty-first two years ago, thirty-fifth last year, our country is currently ranked 40th in this ranking of some 60 countries. This is due to the assessment of its greenhouse gas emissions, its renewable energy production, its use of energy and its assigned climate policy. According to Noé Lecocq, responsible for climate and energy at Inter-Environnement Wallonia, one of the reasons for this assessment could be identified as "the absence of emission reductions over several years". Minister, my questions are as follows. Can we benefit from your return as to the reasons explaining Belgium's position in this index 2021? To change the trend highlighted by the indexes of recent years seems to require long-term environmental and climate policy, a principle that should be incorporated into the post-covid-19 recovery plan. Perhaps it is too early to ask you, Madam Minister, but I am still doing this: have discussions with the Secretary of State for Recovery, with the other members of the government, and with the governments of the federated entities, on possible structural environmental and climatic aspects of the recovery plan, particularly from a budgetary point of view, been discussed? If so, can you inform us? Finally, can you inform us about the state of play of the cooperation agreement on achieving the 2030 climate and energy goals, which was described as "negotiating without delay" in your policy note?
