ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u1	Mrs. Depoorter cannot be present.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u12	Madam Minister, it is interesting to know what are the different levels (multilateral, bilateral, direct) which, alongside civil society, are actively fighting. Today, 200 million women have been subjected to mutilation, and as many women as possible are at risk of being subjected to it. A significant mobilization on our part is therefore necessary. It is interesting to note that the European Parliament has just put forward a resolution which encourages the Member States to make further progress, if possible, on these issues. I would like to return for a moment to the question of the link between Enabel and civil society. Indeed, I understood that there was a structural problem which meant that, for some pools of experts, the agency had access only to academic experts and that it was, in a way, deprived of the field expertise of civil society actors. It may be necessary to verify that all interactions between specialised civil society and the specialized actors of Cooperation are as optimal as possible. You mentioned in particular the GAMS, which is both active in the field, in West Africa, and in our home. His expertise could also be very useful to Enabel. I wonder to what extent there is no structural problem that your services could address. Let us continue to fight from Belgium and Belgian Cooperation against this scourge, which continues to persist!
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u13	Minister, in October, India and South Africa submitted a request to the World Trade Organization (WTO) for a temporary exemption from intellectual property rules for covid vaccines and essential medical equipment for the duration of the Trade-Related Aspects of Intellectual Property Rights (TRIPS) pandemic. This would allow for a rapid increase in production and a reduction in manufacturing costs. The request is supported by more than a hundred countries – mostly low- and middle-income – but a handful of rich countries refuse. These include the United States, Japan, Canada and the European Union. By blocking the suspension of patents, it puts the issue of human rights at the forefront. On Friday, 19 February, we learned that the European Union would double its contribution to the VOCAX system to EUR 1 billion. You announced in committee in early February your plea for a relaxation of the European Union's attitude on intellectual property rules for covid vaccines. As a result, the European Union has engaged in an intensive dialogue with the supporters of the derogation. In addition, on Tuesday, February 23, 2021, a WTO working meeting was held to discuss India's and South Africa's request, which is expected to reach a decision on March 10-11. Minister, what is the status of the dialogue between the supporters of a waiver of the TRIPS Agreement and the European Union? Is the European Union prepared to relax its position on the subject? What is the strategic plan of the WHO call for solidarity for the sharing of knowledge and intellectual property, which Belgium has co-signed? What position did Belgium hold at the WTO working meeting on Tuesday, 23 February 2021? Following the announcement by the European Union to double its contribution to VOCAX, does Belgium intend to increase its contribution to the VOCAX system? If so, will it be on the budgets of Development Cooperation?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u14	Minister, these question-and-answer sessions are still a little frustrating because some members of the commission throw balloons and then run away. We cannot therefore trade. When I was Minister of Defence, peace was my priority. I told you. Even though I'm a Walloon, I'm against arms sales to some countries. There are also sales of weapons in other forms coming from the north of the country, as the minister said. We sell weapons everywhere and we have to regulate that. That said, the Council of State itself has broken three Walloon licenses in recent weeks. This means that everything is not lost. I allowed myself to say this because I was unable to reply to Mr Franken. I'll do it in other ways. The questions have just been asked by Mrs de Laveleye, so there is no need to recontextualize and rest the questions. I would just like to point out that a few weeks ago, before a European Council, I asked the Prime Minister, in the public sitting of the House on topical issues, whether he would actually defend the position at European level to make this vaccine a universal public good, relaying what the Secretary-General of the United Nations was asking for. The Prime Minister repeats at each meeting of the Council for European Affairs that "Belgium, you Madam Minister, and the Minister for Foreign Affairs are working in this direction". This does not seem easy at European level. There's always some reluctance. But in asking you the question, I am convinced of your answer, namely that you will probably continue to fight against the great powers to ensure that this vaccine is finally accessible to all populations in countries and not only in countries where there are companies or because of patents. Barriers must be removed to give priority to health. Thank you, Madame de Laveleye, for asking the questions.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u15	Madam Minister, ladies and gentlemen have adequately outlined the context. The virus has no boundaries and unfortunately the same applies to the mutations. That is why, through the European Commission, our country actively supports the COVAX initiative for which you have already allocated EUR 4 million. Belgium is also part of the COVAX Advisory Group which assists the COVAX Secretariat. The first COVAX deliveries to Congo and Palestine are a fact. However, the initiative only covers the vaccinations of health workers and the most vulnerable, accounting for around 20% of the population in the countries that are part of the initiative. So more is needed to crush the pandemic. Today, WTO members are gathering to discuss the Waiver proposal from India and South Africa. That proposal provides for a temporary lifting of the patent protection of the COVID-19 vaccines until a global immunity is achieved. So far, more than 100 countries have supported the proposal at the WTO. The Belgian coalition Right 2 Cure, involving citizens, various NGOs, mutualities and trade unions, asks Belgium in an open letter to support its position in the WTO. Madam Secretary, did you receive this letter? What's your reaction to this? What position will Belgium take at the forthcoming WTO meeting? What is the status of the COVAX initiative? What role can Belgium play in the COVAX advisory group?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u16	Thank you, ladies and gentlemen, for these important questions. Colleagues, thank you for these important questions. The issue of access by developing countries to the vaccine is absolutely crucial. It is a moral imperative of international solidarity. It's just common sense, too. No one will be protected until everyone is protected. The virus doesn't stop at borders. That is why the deeply inequitable access to vaccination worldwide is unacceptable. Belgian Development Cooperation has implemented as many measures and policies as possible to respond to the covid crisis. First of all, strengthen our policy of supporting our partner countries to deal with the disastrous economic and social consequences of the pandemic, even in countries that have suffered little directly from the virus but where the socio-economic consequences are equally disastrous. Secondly, we contributed €4 million in 2021 to the VOCAX initiative to finance the supply of vaccines for developing countries. This Belgian contribution is in addition to the contribution of the European Union. This commitment is finally beginning to bear fruit. Vaccines have been delivered to Ghana, Ivory Coast, DRC, Rwanda and other African countries. But the vaccine is not enough. This is why Belgian Development Cooperation is working to strengthen the capacity of partner countries in the health sector. You are referring to the Indian and South African proposal for the TRIPS Agreement on intellectual property. First of all, as you know, it is the European Commission that expresses the European Union's positions in WTO bodies. When the subject was discussed within the European Union, Belgium strongly advocated that the concerns of these countries be taken seriously. We have requested and obtained a positive dialogue. We also support the availability of the WTO Secretariat and the European Commission to assist countries wishing to apply compulsory licences under the TRIPS Agreement. We also support initiatives to voluntarily share knowledge, data and intellectual property to combat the pandemic, including the C-TAP initiative launched by WHO and Costa Rica. That is what we are doing in this emergency situation! I am convinced that, at the political level, we will also have to hold a medium-term debate with the pharmaceutical sector and the academic community on the lessons to be learned from the covid-19 crisis. In the long term, we must arrive at a common global approach to the development, production and accessibility of vaccines in times of pandemics. A "global public good" approach is needed in this debate, in particular to adapt, if necessary, existing legal instruments. I will plead within the government for our country, which is very active in the pharmaceutical sector, to set the tone and take the lead in this international debate. People's health and well-being must be our primary goal. The multilateral system for the protection of intellectual property, as well as all international structures and mechanisms, must be put at the service of that objective. In the meantime, the path of dialogue is being followed intensively, which we can only welcome. The new Director-General of the WHO, Ngozi Okonjo-Iweala, has shown that the sharing of technology and knowledge by pharmaceutical companies is already possible on a voluntary basis. As far as the WTO meeting this week is concerned, it does not focus on the TRIPS Waiver as opposed to a number of more recent meetings, but rather on the regular issues of the Council. As already indicated, the first vaccines were already delivered via COVAX, including in Africa. Volumes are in principle sufficient to vaccinate 3% of the national population, including priority groups as health personnel. In the coming days and weeks, more deliveries to African COVAX-AMC partner countries will follow. The deliveries concern doses of the AstraZeneca vaccine, which was produced in India. In addition, additional distributions of 1.2 million doses of Pfizer-BioNTech vaccine are initiated, through an agreement between GAVI, COVAX and Pfizer. The outlook is mainly for the first two quarters of 2021. More updates are expected at the end of this week. As a member of the Advisory Council, Belgium shall be regularly informed of the progress of the COVAX facility. The AMC Engagement Group is advisory and in other words has a limited mandate. Belgium monitors the equal distribution of vaccines within a Team Europe approach and supports the GAVI-COVAX approach of joint negotiations with companies and countries. Participation in the advisory group gives Belgium a direct source of information and also shows our international commitment. Belgium stresses the importance of technical assistance to partner countries to receive and distribute vaccines in good conditions. This concerns both the legislative and regulatory capacity and the operational capacity to roll out a mass vaccination campaign. We must not forget that we often talk about fragile states and that the whole framework around them is also important, with sufficient support for that.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u17	Minister, thank you for your answers. Three weeks ago, you had already given a positive message about Belgium's position in the negotiations on vaccines. I am horrified to hear that since February, seven countries have concentrated 80 per cent of the doses given while 130 countries have not yet administered any. We hear that it's moving forward, that the vaccines are coming. I would like to commend the work you are doing with the government to make the urgent need to lift patents for a fixed period of time to give access to more massive vaccine production to the less favoured countries. One must be able to say when one is happy with the position of his country. You point out that the arm with the pharmaceutical industry is going to be extremely hard. We must therefore organize ourselves well with the allied countries on this issue. It is known that governments rarely have the last word in the face of large pharmaceutical companies. I am horrified to hear that Pfizer is considering $15 billion in vaccine benefits in 2021. There's something so shocking and unfair that we're going to have to organize ourselves seriously. Little Belgium is not going to be able to do the job alone in the face of this kind of fight. Minister, please keep your voice in that direction. You have our full support. I hope that we will get satisfaction in making this vaccine a global public good.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u18	Minister, there is no doubt about the support provided. This has just been said: this crisis is revolting. It reveals a series of realities between the countries that hold the companies and those that depend on them, those that pay dearly to have the vaccines in order to appear like those that first immunize, leaving others to die, even within their own neighbourhood. We'll have to learn from it. As in other debates, Belgium has always been at the forefront. Let us consider anti-personnel mines and a whole series of international fighting. I believe that we are able to carry a whole series of battles that are worth it by our experience and our history. This fight is worth it. We are known to have a few large pharmaceutical companies in our territory; we must first convince them to make the efforts to lift the patents that they have been able to obtain thanks to the important subsidies from the public authorities, without falling into the face of a threat of relocation. Because there are threats of relocation that are real. The debate is not easy. Belgium alone cannot act to succeed. But it can be a driving force, as it has often been in areas like these. With the support of Parliament, because texts and resolutions have been tabled: let us help the government to show that we can be the initiator of a change of mindset after this crisis which we will have to learn very quickly. It is a question of health and solidarity.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u19	Madam Secretary, thank you for your reply. I agree with the colleagues. I think that the big policy question we need to answer in the short and long term is what role the government can or will play in relation to companies when it comes to, among other things, the production of these vaccines. It is clear to our group. There must be a paradigm-shift in this area. That debate must be conducted for us. I understand from the debate at European level with the Heads of State or Government two weeks ago that we are being very cautious in the short term, that we want to increase the number of doses produced as quickly as possible and that we want to maintain good cooperation with the companies, because we depend on them. The President of the Commission has said that cooperation with companies must remain voluntary at the moment. That is also the intention of the HERA Incubator. It states quite literally that the Commission intends to support the production of vaccines for new variants and to develop a special voluntary licensing mechanism to facilitate technology transfer. This is also confirmed by the Heads of State or Government. We are therefore sticking to voluntary cooperation at the moment. Only, within the framework of the WTO, had a technology pool been set up last year for the corona crisis. This system would allow new technology, data and licences to be shared on a voluntary basis and for remuneration. In this way, it was thought that production capacity could be expanded much faster. This system is also used in the fight against HIV. However, it appears that no company has decided to participate in that technology pool, so that remains an empty box at the moment. So that volunteering doesn't really work. We've got a big problem there. Access to a life-saving vaccine should not depend on whether one has much or little money. That debate must be held for us, and the debate with the pharmaceutical sector is very important. Our group believes that Belgium should play a leading role in this, so I welcome the work you are doing there. We have also signed a call for solidarity for sharing knowledge and data in the fight against the coronavirus. That call really needs to be implemented now, and I hope that we can count on you to do so.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u20	Madam Chair, my written text supported my question to the Minister of Foreign Affairs, but I would like to hear the point of view and the return of the Minister of Cooperation on the same subject.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u21	Madam President, Minister, unfortunately this is a similar question in the same category. On 22 February at 10.00 a.m., an hour before a planned visit by the Belgian, Spanish and Canadian consuls, the Israeli army arrived with bulldozers in Khirbet Humsa al-Fawqa, a Bedouin village on the West Bank, and destroyed all the tents of the community of 60 people, including 35 children. The shelters they had built for their cattle were also destroyed. The 30 tents were a donation from the European Union, after earlier destruction of the tents of the families by the Israeli occupiers on 3 November 2020 and 9 February this year. It is already the fifth raid on Palestinian families by the Israeli army in February alone. The families are now, for the second time during this winter, homeless. The Israeli occupying forces also carried out mobile water tanks, which are the only source of water for daily use by the community and their cattle. The Israeli army remained on the scene until 2 p.m. When the Belgian delegation arrived, it could only determine what had happened. However, the EU and Belgium had repeatedly called for an end to these destructions. This aggressive provocation on the part of Israel is clearly intended, with unmistakable acts towards our country and the European Union, to show that one is not impressed. With this shameful act, the Belgian delegation has also been offended. Madam Minister, do you intend to condemn this umpteenth provocation of the apartheid regime....... even an NGO in Israel, B.. Tselem, which effectively describes that country as an apartheid regime....................................................................................................................................................................... Do you intend to take action against the illegal Israeli occupation and the de facto annexation of the occupied territories of the Palestinians in addition to any convictions that you will undoubtedly express? Have you contacted or consulted your Spanish and Canadian colleagues on a joint response to this provocation? Will our country and/or the EU ask for compensation for the material damage that has been caused there?
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u22	Madam President, ladies and gentlemen, thank you for the questions. I share the concern about the active continuation of the settlement area of East Jerusalem, in the immediate vicinity of the city of Jerusalem and in zone C. Belgium unequivocally condemns the settlement policy and its consequences, including the destruction, which has increased significantly in recent months. Both Minister Wilmès and I have always expressed our concern about this, both bilaterally and internationally. For example, we have publicly and on several occasions communicated and taken diplomatic action, including through communication with the Israeli Ambassador in Brussels or during interventions in New York in the margins of the UN Security Council meetings. Our embassy in Tel Aviv, in consultation with various partners, has taken several steps at the Israeli Ministry of Foreign Affairs. We will continue to make such diplomatic efforts and call for respect for international humanitarian law. Belgium is also making an ongoing plea within the European Union to ensure that this issue is taken more into account by the Council. It is at the initiative of Belgium that discussions continue in various working groups. Other actions are under consideration at the donor level of the West Bank Protection Consortium, of which Belgium is a member. As stated in more detail in the replies of Minister Wilmès of 2 March 2021 to the Committee on External Relations, Belgium, as a donor of the Westbank Protection Consortium, is directly involved in recent events and has responded to our country. For example, our diplomats in Jerusalem have visited Humsa Al-Baqai'a as a sign of our commitment and our solidarity with the communities affected by the destruction. In addition, together with our partners in the Consortium, we sent a letter to the Israeli authorities in which we called on them to put an end to all destruction and confiscation of humanitarian facilities. Our embassy in Tel Aviv also participated in a joint diplomatic démarche to the Israeli authorities on 25 February 2021. As in previous incidents, it was clearly stated that these infrastructure and materials should be returned to the affected communities unconditionally and as soon as possible in their original place. If that is not the case, compensation will be requested. A reflection on the complementary responses to demolitions, beyond the usual diplomatic efforts, is an integral part of the risk management of Belgium's new portfolio of government cooperation with the Palestinian Authority, which is currently under preparation.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u23	Thank you, Minister, for your answers. Thank you, Madam President, for giving me the floor for my reply. The destruction of movable and immovable property is prohibited by Article 53 of the Fourth Geneva Convention, as you know. Since 1967, more than 100,000 Palestinian structures have been destroyed in Israel and the occupied territories. The destruction recorded in 2020, which I mentioned in my question, resulted in the forced displacement of 996 individuals, which is also prohibited. In my inquiry, I focused on the case of Humsa, which is a particularly challenging and symbolic case. But there is another village, Al-Araqib, located in Israeli territory in the Negev Valley, which has recently been destroyed for the 183rd time since 2010. This also speaks much of the resilience of the Palestinian populations elsewhere. It also says a great deal about the Israeli harassment. I may plead a little in the desert and naivety, but I believe that the diplomatic framework, the diplomatic consensus that dictates the Europeans' stance on the Israeli-Palestinian issue, is totally out of date. It must be reviewed and adapted today in the light of the deteriorating situation on the ground and the radicalisation of the Israeli government. As Minister for Cooperation, I sincerely believe that you have a whole series of levers to activate in order to force the Israeli Government to return to a more conducive framework for a peaceful solution to this conflict. Unfortunately, at the moment we are very far from it.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u24	Madam Secretary, thank you for your answer. Minister Wilmès gave me a similar answer. You are concerned, you say you will communicate and make diplomatic efforts, you have sent a letter and want to ask for compensation. I fear that all this will not suffice. The Israeli occupying forces are not impressed by this. If we still want a two-state solution and continue to follow international law regarding the illegal nature of the Israeli occupation, then it is time to translate certain convictions into action. The government agreement clearly states that Belgium explicitly undertakes to take certain proportional countermeasures. The European Union and Belgium have been financing Palestinian infrastructures for over 40 years, whether or not within the framework of development cooperation. So we are facilitating the state process, unfortunately not legally, but materially. The Israeli occupying forces are constantly destroying all the efforts and resources we are investing in them. We are reacting again and again by paying lip service, condemning the situation and pointing out an admonition, but more is needed. I therefore hope, Madam Minister, that you will encourage your fellow Minister to pursue a more vigorous policy. There is no point in waiting for the like-minded states within Europe. If necessary, Belgium can take measures on its own. In doing so, the government would do nothing more than what it itself has included in its administrative agreement.
