ParlaMint-HR_2009-10-21-0.u40622	Well, in front of the IDS Club, I'd like a 10-minute break.
ParlaMint-HR_2009-10-21-0.u40655	Thank you. Final review, Justice Minister Ivan Šimonovic. Here you go.
ParlaMint-HR_2009-10-21-0.u40656	Thank you, Mr. Chairman. Appreciable MPs and MPs. I'm very grateful for the support you've given this bill and the useful suggestions. What I would just ask you, especially those who gave their thoughts, is that after we study the stenograms, if we have any further questions, we would turn to some debaters before the law enters the second reading. As for the preparation of the second reading, this law will be organised by a broader public debate in which we would like, as it has been given a consensus in the Parliament to get in the same way in the profession and not only the professional tops of the profession, but also its broad bases, given how rooted this change is. I would also suggest that this law appears in the context of other relevant laws in the second reading. Therefore, at the same time to enter the second reading of the Law on Courts, the Law on State Attorneys, the Law on the State Judicial Council, because there are many provisions which can be understood in this law, and in these other laws only through their systematic interpretation, taking into account this broader legislative package. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40657	Thank you. I'm closing the debate. . Now we're going to vote on the laws and reports discussed so far. First, the draft law on the Judicial Academy, first reading, is proposed by the government. I am voting on the following conclusion: "The draft law on the Judicial Academy is being adopted. Any comments, proposals and opinions raised in the debate will be addressed to the applicant in order to prepare a final draft law.". Please, let's get on with it. We can vote. The result? I find it unanimous with 98 votes for the proposed conclusion.
ParlaMint-HR_2009-10-21-0.u40660	Thank you very much. Mr. Vice President, ladies and gentlemen of the Parliament. Here, allow me in a few sentences to present the Final Proposal for the Law on Payments. Let's go back a little bit to the past and actually say that because of the exceptional importance that Platni transport has in the economic and financial system as the backbone of the economy Platni prominence in the Republic of Croatia actually became the subject of legal regulation there in 1993. We at the Ministry of Finance say, it was the first step in transforming Platno prominence when it was reached by the Law on Payment Transport in the country, which was in fact a substitute for turning the Platno Transport of the Republic of Croatia into a modern payment system. The second step of this transformation was in 2001, when the current Law on Payment Transport was passed, which actually transferred the operations of the former Bank Payment Transport Office, which created the preconditions for the development of payment traffic in line with the modern standards of payment traffic in the world. And finally I would say this third step, which must be one step, and we could say a few up, this total transformation. On the one hand, the aim of this final proposal is to align it with the European Union Directive, i.e. the European Community 64 of 2007, but of course to regulate the legislative framework of payment traffic which will allow for several important things, and I would now count them. The number 1 is the establishment of modern and comprehensive rules applicable to all payment services, simply effective and secure enforcement of cross-border payments at the same level as the execution of domestic payments, the promotion of competition on the market by introducing new participants in order to increase efficiency and lower costs, the creation of necessary preconditions for payment service users in the Republic of Croatia, when the Republic of Croatia becomes a full member of the European Union and monetary union, can use the single euro area payment zone, the abbreviations in English SEPA "Single Euro Payments Area" in which legal and natural persons will be paid and received and paid in euro under the same basic conditions, with the same rights and obligations regardless of where they are located and whether cross-border or domestic payments are concerned. Since it is a very complex transformation of the system, we propose the entry into force of this law from 1 January 2011, due to the long process of getting acquainted with the new rules, but of course also adapting to the new system. It is also very important to say that this final draft of the law that we have maintained a number of good solutions from the existing payment system. In particular, it is necessary to count and, in fact, keep the provisions on which transaction accounts, current and giro accounts continue to run credit institutions, retain leading bank numbers and execute transactions between credit institutions, remain on shorter deadlines for national payment transactions in our currency, and, of course, we retain a Croatian large payment system and a national clinical system. From the extensive text and a series of newspapers that are in front of you, I would especially like to single out the next paper that the law introduces into our payment system in order to improve, i.e. in order to make a comprehensive improvement. This law combines kuna and foreign payment services, and tax-defining payment services and their providers. A particular emphasis is placed on the protection of consumer rights which are users of payment services. It will agree that even in a whole series of other laws in the area of the financial system, a good part of the emphasis was actually on protecting consumer rights. Of course, we also allow complaints to be filed against the Croatian People's Bank as well as the extrajudicial settlement of disputes by submitting proposals for peace. A new category of payment service providers, i.e. a payment service institution, is also introduced. These are legal persons who have received from the Croatian National Bank an authorisation to provide one or more payment services and have a share capital in classes 150, 400 000 to million kuna, of course depending on the types of payment services they can provide. In the area of payment system management, the question of payment system managers and licensing and supervision of payment systems shall be addressed to the competence of the Croatian National Bank. And finally allow me, and according to the debate that was conducted on the parent board and perhaps on some others, I would like to point out that there are also a number of issues that are regulated by the current Law on Payments in the country and are no longer the subject of this final bill. Among other things, this concerns the issue of forced payment in the form of executive solutions and account blocks, as well as the management and content of the single account register. Of course, this does not mean that these questions will not be addressed by other legal proposals, but rather by the fact. In accordance with a lot of harmonisation with the European acquis, the Ministry of Finance and the Government of the Republic of Croatia in the final preparations of a special regulation to be regulated by these areas, which is the Law on forced collection. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40661	Thank you. The Committee on Law, European Integration, Finance and the State Budget? The chairman of the board, Mr. Goran Maric. Here you go.
ParlaMint-HR_2009-10-21-0.u40662	Thank you very much. Mr. Vice President, the Honorable Secretary of State with an associate, esteemed colleagues and colleagues. At the 41st session held on 14 October 2009, the Committee on Finance and the State Budget of the Croatian Parliament discussed the proposal for a Law on Payments, with the final proposal of the Law as a home working body. In his opening statement, the representative of the Government of the Republic of Croatia pointed out that this legislative proposal harmonizes the legislation of the Republic of Croatia with the legislation of the European Union and that the Republic of Croatia has committed to adopt this law in order to comply with negotiating Chapter 4 – Freedom of movement of capital with the acquis of the European Union. As the main reason for the drafting of this law, the transposition into the domestic legislation of the provisions of Directive 2007/64 EC on payment services to the internal market amending and supplementing the Directives so far and repealing Directive 97/5 of the EC. It is also pointed out that this law defines payment services and payment service providers, detailing the information the payment service provider is obliged to provide to the user and other rights and obligations relating to the provision and use of payment services. A new category of payment service providers is introduced into the payment system, and this is the institution for payment services. In addition, the law combines domestic payment and payment traffic with abroad and prescribes execution deadlines between payment service providers in national, cross-border, international payment transactions. The discussion on the Committee held that it is a very complex law that will make major changes in the entire financial and banking industry in Croatia and that it is of great importance that sublegal acts be qualityd because at least part of the potential problems are avoided. It is necessary that all sublegal acts be prepared in time and adopted as soon as possible after the law has entered into force. After the discussion of the Committee on Finance and the State Budget of the Croatian Parliament, he decided to unanimously propose to the Croatian Assembly the adoption of the Law on Payments. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40663	Thank you. I'm opening a debate. The club of representatives of the CNS Mr. Representative Zlatko Koračević. Here you go. He's gone. He's losing his word. Ms. Representative Nevenka Majdenic The club of HDZ representatives. Here you go.
ParlaMint-HR_2009-10-21-0.u40664	Dear Mr. Vice President of the Croatian Parliament, honourable representatives of the government, colleagues and colleagues. The Croatian Democratic Community's club proposes that the Law on Payments be adopted by an urgent procedure because it is well-organised by the legislative framework of payment traffic in the Republic of Croatia. The reason for our proposal is the fact that the unblocked negotiations with the European Union, unblocked individual chapters by the Republic of Slovenia, and on the other hand, the Republic of Croatia has taken over the obligation to bring its legislation into line with the acquis of the European Union and this law is the enforcement of this obligation in Chapter 4 – Freedom of movement of capital of the negotiating process. Directive 2007/64 of the European Parliament for the first time laid down single rules of payment for the whole of the European Union and Member States are obliged to bring their national economy in line with its provisions by 1 November 2009. We, as a very serious future member of the European Union, must also make all relevant legislative changes and adjustments to successfully complete the negotiating affairs and close all open chapters. The country's existing Law on payment turnover in 2001 regulated only payment turnover in the country and other foreign foreign currency business laws. In order to make the amendments and additions to existing laws very extensive, complicated and non-transparent, the proposal is based on a completely new law that is uniquely regulated by payment turnover in the country and abroad, or in the near future among the equal members of the European Union. At the same time, certain provisions of the applicable Foreign Exchange Act would be repealed. Already in Article 1 of this Act, which regulates what is the subject of the law, the obligation to inform payment service users of the conditions for the provision of services and payment services and the rights and obligations relating to the provision and provision of payment services is stressed. The information provided by payment service users shall pay particular attention to the fact that the whole of Chapter II is confirmed. the law intended for regulatory obligations to inform payment service users. So the whole set of provisions goes in the direction of consumer protection. In view of the fact that the draft law lays down the provisions of those Directives of the European Union, new terms, definitions and meaning have been added to the law so that there are no doubts and concerns about their essential meaning in the implementation of the law. This definition of concept was necessary because no terminology used in the legal regulation of the European Union has been used in our practice so far. This law introduces into our payment system new categories of payment service providers, which are based in the Republic of Croatia, as well as those established in a Member State of the European Union. This creates formal conditions for our payment system to be implemented in the European Union on the day of Croatia's entry into the European Union. Article 5 of the Law provides that payment service providers who are allowed to provide payment services and the prescribed payment service limits for certain categories of service providers are to be listed. The bill for the first time regulates the business of card companies and mobile operators in the area of payment through mobile devices in the Republic of Croatia, which we consider to be a positive step. Payment services institutions within the meaning of this Act shall use the funds they receive from their users exclusively for carrying out payment transactions and they shall by no means be deposited or other return funds. In the Club of Representatives of the Croatian Democratic Community, we are particularly pleased that the law correctly regulates the rights and obligations of both payment service providers and payment service users. There are clearly all things set up. Liability has been established for the non-fulfilment of the commitments undertaken by each payment participant, the deadlines in which certain transactions must be carried out as well as the damages incurred due to non-execution or irregular, timely and incorrect execution of the payment transaction. The law also provides for data protection of payment service users as well as a way to resolve complaints and disputes that may arise between payment participants. We believe that, in addition to the fact that the law really precisely regulated the conditions for the establishment and operation of payment institutions, special attention is paid to the Law on the Control of the work of these institutions by the Croatian National Bank. It is apparent that nothing is left to the case, so there is a way to exercise supervision, species and control procedures, supervisory measures and the consequences of non-execution of commitments. The paying institution is obliged to report to the Croatian National Bank on the implementation of the orderly control measures because if the enforcement of the measure is not controlled, then the adoption of these measures is not really effective either. We also believe that it is good that the Croatian National Bank is running a register of payment institutions that must be updated regularly and which is public and available on the websites. The last chapter of this law lays down sanctions, i.e. fines for infringements of legal provisions, and given their height, we do not think that the participants of payment traffic will be easily deafened to its provisions. In the end, we find it extremely important that the law goes according to an emergency procedure because it will take more regulations, sublegal acts, and that takes time. In addition, possible potential problems can be avoided in the implementation and use of and the meaning of new terminology through timely and comprehensive information and education of all payment agents. Because of everything mentioned as I have already said in the introduction at the Croatian Democratic Community club, we propose that this law be adopted by an urgent procedure. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40665	Thank you. SDP representative club, Mr. Representative Gordan Maras. Here you go.
ParlaMint-HR_2009-10-21-0.u40666	Thank you very much. Mr. Vice President, colleagues and fellow representatives, colleagues from the Ministry of Finance. At first, I will say that the SDP Representatives Club will support this law and we believe that any promotion in this area is useful and that we need to coordinate the things that await us by entering the European Union. As is known this is already such a third let's say change in the payment system. First we had a change from the system, so before the 1990s, when we changed SDK into ZAP. After that, we went from ZAP to credit institutions so that they could make payments to FINA and this is further liberalisation of the system. As has already been said, we are about to have another reform when we enter the European Union’s payment system. What is important to say regardless of what we of course support this law, but in Croatia is the problem that most often arises that with quality laws, along with institutions that should do our job we have many irregularities, many things that are not good. Here today is the freshest example of where it happened, I'd say one spill of money from the company, money laundering in the great state still under the state control of this company Podravci. Over 65 million as a reasonable doubt the kuna is over one other company poured over on Malta and for that money they wanted certain gentlemen who today and suspects bought shares of the same company. So, we have good laws, but some things are passing us by that maybe we shouldn't. We believe that the suspicious transactions that occur especially when it comes to passing money to foreign accounts, which was the case in Podravka. 65 million kunas are certain people from Podravka tried to transfer over Malta to buy the same company. Unfortunately, it was not prevented, and even if it appears that no investigation was carried out before the public pressure and before the affair broke through public information funds, there was no evidence of what this was about. So we have to use the laws to prevent, unfortunately, those things that shouldn't happen. What should be noted in this law is that there are many things in Croatia that are not specific, which are specific only for Croatia. So we're talking about blocking the account. We have companies that are long for months, years in a blockade because some with their accounts have blocked them through these institutions that do pay traffic, but they function most normally. They make their payments through compensations work in a way that is not normal anywhere in the world. And what is the problem of liquidity and insolvency in Croatia today is enough to say that in August of this month there has been record indifference in Croatia since 2000. It is about 23.24 billion kuna, which are naturally unsettled commitments burdened by the Croatian economy. It's about saying what the width of that problem is. It's 23,000 insolvent legal entities and another 34,000 craftsmen. It's about 65,000 employees in these companies and crafts who are not sure they'll get paid. It's like I said about 23 billion kuna. Unfortunately, a large share of insolvency and insolvency in that entire waste system in the country. About ten billion kunas when it comes to the state and the companies that are under its control. I wouldn't rule out even companies that have recently been privatised as INA, because the state still has a large stake in INA and a great possibility of control. I would not exclude even Podravka where the state through its funds and other institutions still has the largest share of shares. So these are companies that are still controlled by the state and, unfortunately, they participate in largely in indifference. Finally, of course, there are some other questions that need to be resolved, and it's a shame that the law is passed like that, I would say in an emergency procedure, and if we hadn't solved some issues that are certainly crucial. So, first I said the question of the blockade. How long can someone be in a blockade until bankruptcy is initiated, etc. Payout. We are witnessing that salaries are paid most often without contributions and certain fees being paid to the state, and thus the state has claims of around 9 billion kuna for taxes and contributions to this insolvency and indifference. So why is it allowed for workers to steal in this way, that companies do not pay when they pay salaries and contribute through banks, not to pay contributions to pension systems, but only to pay part of the commitment to the worker. These companies need to be disciplined and brought into order. It also needs to be done to see what payment priorities are, or order of payments. What are the priority obligations if the company is in such a situation that it has been blocked for some time now. And of course we have to define those situations when no payment order will be executed. I said that this is where we were supposed to react in this recorded crime that has been prosecuted today, it's about "Podravka", that we should have reacted through this country's institutions not to allow it before. That it is not possible for the state, that the company, the state-owned company "Podravka" under the government and under the greatest influence of the Government of the Republic of Croatia, to allow manipulation in this way and to allow the theft of 65 million kuna from its assets, or money from its account. No matter how he goes through one company, another company, third company, but this is not allowed, that is, to prevent future better control and enforcement of the laws that are in force. And that's why I say the SDP will support this law and vote for it to be applied, but we are asking that some of these things be better applied in the future and that ultimately, the crime that is happening, and we are witnessing it almost every day. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40667	Thank you. An individual debate. Mrs. Representative Nadica Jelash. Here you go.
ParlaMint-HR_2009-10-21-0.u40668	Dear Vice-President of the Croatian Parliament, representatives of the government, colleagues and colleagues. Here is as we have heard in the introduction this legislative proposal with the final draft of the law that we are today discussing both domestic payment turnover and foreign payment turnover, while at the same time presenting harmonisation in this part with the European property. To remind ourselves of the country's first Law on Payment Transport was passed in 1993 and it was a legal basis for transforming the payment turnover of the Republic of Croatia. By April 2002, payment traffic was carried out at the Department of Payments, so that since April 2002 payment traffic would migrate to business banks, and the financial agency as the legal successor of the Institute of Payments has actually become only... a payment traffic partner for banks. [[The speaker doesn't understand.]] The loss of the payment turnover of FINA, better said by the state as its owner, failed to find new jobs to compensate for the lack of income from payment traffic, which is why FINA has been making significant financial losses in recent years, and before its employees, and it is a very large number of employees, so over 4 and a half thousand workers, so they are facing a very uncertain future. Now that we are talking about the uncertain future of FINA employees, it would likely be possible to correct a certain correction of the status of FINA could be opened by the provisions of this Law on Payment Transport, which provides for the introduction into the payment system of a new category of payment service providers, so-called. the payment institution. Therefore, it is the commercial companies based in the Republic of Croatia that will be granted approval from the Croatian National Bank for the provision of one or more payment services and depending on the quantity and type of those services that the payment service institutions will perform and the level of their underlying capital ranging from 150 thousand to 1 million kuna. It is important here to say that payment accounts to be managed by payment institutions will be used exclusively for payment transactions, so they will not have the character of deposit accounts. When I mention it then I can't help but remind myself that the underlying compensation for payment traffic carried out at the Department of Payments was precisely that the then paying organisation separated the accounts from the deposit. The accounts of the participants in the payment traffic were held in ZAP, and the funds in those accounts in the bank's deposit qualified as unnatural, with the reason that such an organisation made it difficult for banks to manage their liquidity and prevented the monitoring of cash flows and the liquidity of their depositors themselves. Furthermore, banks were denied payment transactions which were considered exclusively banking business at the time. Here is the legal proposal that we see before us that transaction accounts are separate from deposits and that, with the banks, payment traffic can also be carried out by payment institutions, so other legal entities. It is therefore a solution that we in Croatia have long known, with us now admitting that this is a good solution because Europe says it is a good solution. The law on payment is an extremely important law because payment traffic is an extremely important function for every country and its economy, and therefore it is often said that payment traffic is actually the financial flow of every country. And money is a commodity and is subject to laws, as well as to any other commodity on the market, which is less valuable to it, so this is more valuable to it and therefore it is extremely important that we have an efficient payment turnover that will make more payments with a lower amount of money. The payment traffic as we know before the second transformation, so what was done by the end of 2000 was characterised by more than 500 thousand transactions daily processed in real time, an extremely high level of satisfaction and clients and an extremely positive assessment of domestic and foreign institutions. I would dare say the pay traffic we know from those times was a kind of Croatian brand. This is a very complicated matter and it is therefore not good that the law is passed by emergency procedure, regardless of its application is extended by 1 January 2011. This team is more than it represents further liberalisation of the provision of payment traffic in terms of the inclusion in national payment traffic of payment service providers from the Member States of the European Union. And we in Croatia have bad experience with the current stages of liberalisation of payment traffic. In Croatia, liberalisation often ends as anarchy. Since the current transformation of payment traffic has somehow been lost along the way, the colleague Maras has already spoken of it, or better to say, it is a completely minor obligation to control the payment of legal fees, so tax and income contributions. Well, now we have a situation where employers pay their salaries massively without paying those legal fees. Of course, victims are always workers who are either unpaid or unsecured health insurance or suffer small pensions as a result. Unfortunately, I would say, the Minister of Finance, who is led primarily by the principle of political clientism or prolonging or even exempting from paying the legal obligations of a particular company, has had dozens of companies that have not paid their commitments for years and have accumulated them in tens of millions of kunas. In this way, some radical measures that were to be launched, such as the launch of a bankruptcy procedure, were actually delayed, the agony of these companies to total financial exhaustion and the non-payment of legal obligations spread from such companies unfortunately to the entire Croatian economy. Furthermore, there is a problem of blocking the giro-accounts and leading the order of collection, then the problem of collecting and uniting insolvency data which I think is very important for the analysis of economic and financial flows in the country. There is no word in this bill on these matters. The truth according to the current instructions, the Minister of Finance of the Bank is obliged to supply insolvency data to the financial agency which then unites and distributes them, but these data are not complete and do not reflect the overall extent of insolvency which is actually an extremely large problem in Croatia. FINA provides itself with data on unpaid taxes and contributions, while data on outstanding mutual obligations between business partners do not exist at all, because business partners do not even provide banks with such orders if they have no cover for the execution of accounts for reasons not to block their account and thus question payouts or any other commitment that is more important to them. Therefore, the state has no insight into the extent of outstanding orders to pay each other's obligations, so it cannot take measures to address the problem of escalating indifference that literally blocks the Croatian economy. We can say in Croatia we do not have a payment system but a non-payment system. Therefore, this legislative proposal is in fact a rewritten directive, or more beautifully, full harmonisation with the European acquis and this legislative proposal, which is appropriate to the legally regulated states, does not, unfortunately, sufficiently respect Croatia's reality which dramatically deviates from European practice and therefore, its implementation of the Croatian National Bank will have to be closely monitored and brought about the necessary changes and additions. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40669	Thank you. One correction, Ms. Nevenka Majdenic.
ParlaMint-HR_2009-10-21-0.u40670	Mr. Vice President, in a series of really incorrect data, I'm going to make it right, what Representatives Jelish said about the massive non-payment of contributions and taxes on salaries, it's really not true, ma'am. You can't say that you're mass not paying, it's really not true, you have to have evidence for such a single statement and in this way you indirectly invite entrepreneurs not to pay taxes and contributions. In addition, as regards forced collection, you were on the board when the government representative said that in the procedure of adopting a new law on forced collection, and I have here a request, i.e. the opinion of financial firms who say we positively assess the change in the legislation which separates the business of forced collection, which separates the business of forced payment from payment transactions, because forced payment transactions do not constitute the primary activity of payment service providers. Thus, financial institutions speak quite differently from what you said today.
ParlaMint-HR_2009-10-21-0.u40671	Mr. Representative Goran Maric. Here you go.
ParlaMint-HR_2009-10-21-0.u40672	Thank you very much, Mr. Vice President, the Honorable Secretary of State with associates, esteemed colleagues and colleagues. There is no doubt that payment is one of the most important elements of both the financial and economic system as a whole. And this importance of payment traffic is constant with its importance particularly stressed at this time, in these times of economic crisis management, times of crisis control, times of crisis of business morality, times of crisis I would dare even show myself to economic science, especially the crisis of economic practice and the lack of a business culture. In particular, it is important to know the very definition of payment turnover which involves all payments between legal persons and natural persons for the purpose of settlement of cash debts or payment of cash claims. That's why the flow of money is one of the most important elements in the fight against crime and corruption, but it is also the most effective tool in this fight, because many things can hide a trail but never the money. It is therefore an extremely important and legal framework, a high quality legal framework that regulates the rules of conduct in the field of payment transport and, in particular, when it comes to uniform rules of conduct in the wider economic area in this case of the European Union. I would point out that so far the legislation has been quite high quality, starting with the former SDK which has provided domestic payment services, later the ZAP now FINA and when it is extended to banks. So we have a constant good legal framework that is still improving. I therefore support this Proposal for a Law on Payments because it applies the provisions of the European Community Directive, the payment services which are for the first time regulated in the European Union by payment services and for the first time adopt uniform rules of conduct for the entire European economic area. It is also good that it provides for entry into force on 1 January 2011 because there is plenty of time to bring in sublegal acts as well as to remove any observed deficiencies. This Proposal for a Law on Payments gives exceptional importance to the Croatian National Bank, and this is good in particular when it comes to the system of supervision, however, I should mention that in several places as a legal provision, it is envisaged that the Croatian National Bank can adopt or prescribe something, which is, for example, an article 7 of the Report on Payment Services gives discretion to the Croatian National Bank that it can prescribe bindings, content and deadlines for the execution of payment services, I think it would be more acceptable to say that the Croatian National Bank prescribes, not that it can prescribe, then it would have the power to impose a discretionary right, but I will not submit amendments but only one as an appeal in the future to take something like that into account. I would also point out Article 9 although the proposal for a legal solution is objective and is intended to make it clear that if the payment service provider charges the services referred to in paragraph 2 of this Article and the fees must be eligible in accordance with the actual costs of payment service providers. I say the intensity is good, but given the knowledge that business banks in Croatia are first of all the most intelligent in the collection of their services across the European Union then here I am expressing one concern that there will also be imaginations and that they may try to use the position to collect which kuna and more than what these are real costs. I'm saying it's impossible to regulate things differently now, but I'm just warning about the ingenuity of different fees of species when it comes to the collection of business banks for their services. I had the opportunity to read the proposed amendment of the credit unions to include in the payment institutions and the credit union in Article 5(1), point 1 and I made little effort to think about it and I must say that this amendment is not acceptable and for several reasons. The credit union law provides that credit unions do not carry out payment traffic, so the Credit Union Act itself already makes it impossible to provide such services. It is also enough to stress that the credit union is a member union. It serves about as a case of mutual assistance, which is why they are not subject to the provisions of the National Bank relating to credit institutions under the Credit Institutions Act, do not have a reserve obligation, do not have a liquidity obligation, do not have a reservation obligation, do not have a obligation to maintain capital adequateness and therefore, with the possible acceptance of such an amendment, we would get a hybrid holding deposits, payment turnover, which is, in fact, strictly prohibited by the other payment institutions and cannot do so. And in the end, I would just like to point out that all these problems that are being raised in connection with the indifference in the Croatian economy, we heard from the Secretary of State Dr. Marić said he was preparing a proposal for a law on forced collection, so here is, in addition to supporting this proposal of the Law on Payments, I also support the proposal to draft this law and I look forward to it as soon as possible and to take effect as possible. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40673	Thank you. Mr. Representative Davor Bernardic. Here you go.
ParlaMint-HR_2009-10-21-0.u40674	Dear Vice President of the Parliament, colleagues and colleagues. So here at the beginning I have to say that the problem of payment is like the heart of the financial system, meaning the flow of the financial system, the problem with which history, and more and more recently, the European Union, with its regulations, directives, laws, tries to sort of calculate, or lower the costs of business, the transaction costs resulting from payment. I must say one thing that transaction costs at the level of the European Union’s gross social product are related to payment services at all costs, comparable in percentages. This is a huge cost for the European Union, and therefore all directives in this direction in the financial sector are going to make these operating costs as low as possible, i.e. making payment operations as flexible as possible. And therefore, this bill is also in some way what this should look like in the theory and preparation of Croatia for the European Union with more than 160 articles, with one complex, in one complex matter, and all in the wake of the fact that it is simple and effective to make payments as well as eventually that one day when we enter the euro area to be ready. However, the law is a theory in Croatia, and practice will show something quite different. For us, first of all, the adoption of this law will not be less operating costs but rather costs, so it will probably be costs, so due to the adjustment to these laws, to the end-users and business costs will be higher, the institutions themselves that carry out payment traffic. The law is complex, it contains a lot of rules that need to be passed as soon as possible and according to the way that is generally passed and all the laws in adaptation with the European Union we are aware that this law will probably have to experience some changes over some reasonable time. So that's what I would even dare say that this is what practice has become of this House, meaning that the laws are not long after they are passed they have to succumb to certain changes. What I am afraid of, and that will happen especially in the first part of the application of this law, is that the costs of business will be poured over to the citizens, poured over to the end-user in such a difficult economic situation, to the legal persons, to the entities that carry out their claims and obligations, and in some ways this will further have an additional effect for the Croatian economy in cost terms. Payment traffic is also in some way an opportunity to mention more and more frequent indifference and increasing liquidity in the Croatian financial sector which has become, unfortunately, record-breaking. I'll just give you one piece of information. Compared to last year, all outstanding liabilities are 50% higher. That's a huge number. This is, on the one hand, we want to compare ourselves with the European Union, adopt laws and standards, and on the other hand do not implement decisions in practice that the European Union implements. Thus, the European Union has reduced payment deadlines among its members to 30 days under the directive, while these payment deadlines have been coming to us for up to a year. The main inequitability generators are with the state and irresponsible individuals, irresponsible companies that act that way and whose number has increased in the last year, and this has increased by, for example, a number. non-insolvent legal persons increased by 31%. So the total outstanding liabilities increased by 50%. What's important is to say more in that insolvency, so in the case of insolvency legal entities, the insolvency companies have increased by 50%. So year after year, more and more people work in insolvency companies. That puts jobs at risk, and that's why in the last year, 48 thousand people were out of work. And next year he'll stay, unless something important changes. And the way it works, especially the way indifference is generated, is definitely not going in that direction. I'll add craftsmen to that. In the case of legal obligations, the liabilities of 18.6 billion kuna are outstanding. In the craftsman, the unsettled liabilities amount to a total of 4.66 billion kuna. If we add 9.2 billion kunas to that, which simply didn't pay through contributions in the country, we get more than 30 billion kunas blocked in the blockade. Converted by projection to gross social product, we have a situation that 10% of our gross social product is blocked, frozen. With it we can't do anything and that's one of the reasons why we had a drop of minus 7% in the past year and why the most optimistic forecasts this year give us that we will achieve economic growth based on zero, i.e. that Croatia will stagnate in the following year. 10% of our gross social product has been blocked due to indivisibility. And because of the necessity of the legislators of all the government's competent authorities to regulate this area. And that's something we keep warning about, but it keeps falling behind. This law, the Law on Payments as a law harmonising payment traffic with the acquis of the European Union, is what it should look like in theory. It will increase business costs in a short time. However, in Croatian practice there is something quite different. We take laws from the European Union, copy them into our own legislation, but also good practice of the guidelines that the European Union implements, payment deadlines, economic growth generators do not implement. In theory, we prescribe laws in practice not implementing what the European Union is adopting. Neither the European Union nor the United States of America, which in some ways plotted and fast-tracked the way out of recession. And that's why next year we're going to face even more serious problems than we've ever faced in this one. And that's why next year's growth is going to be at various zeros, and the indifference that's galloping, I have to say, and once again I'm going to repeat, it's frozen, it's blocked 10% of our social product. We can't grow up if our 10% of our social product is blocked. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40675	Thank you. Final Review State Secretary Zdravko Marić. Here you go.
ParlaMint-HR_2009-10-21-0.u40676	Thank you very much. Mr. Vice President, ladies and gentlemen of the Parliament. Here, let me just thank everyone who participated in the debate. I have to admit, I'm glad to hear from both clubs and agents that they support this payment bill. What we said and what I said in the opening statement, so one kind of upgrade and certainly at least one, or two steps up in the functioning of the entire system. In the course of the debate, you have also touched on certain issues that are not actually regulated and not regulated by this law, and are not envisaged, but still need to be dealt with by laws such as bankruptcy, general tax law and so on. However, the valuable comments you mentioned, we will consider. Also, what the honourable representative Maric said about this proposal for credit unions, there is a law that regulates it. In this law we all agreed on which is quite complex, there were many people, services and government and the Croatian National Bank and other experts, that they created more work, more work standing before them in terms of sublegal acts. However, the same way that you recognized well that there is a big job ahead of practice and implementation of this law. That is why we have put into effect from 1 January 2011. Here, thank you very much again.
ParlaMint-HR_2009-10-21-0.u40677	Thank you. I'm closing the debate. Secondly, the final proposal for a bill on payment, emergency procedure, P.Z.E. No. 443, the promoter is the Government. I am voting on the Final Proposal for a Law on Payments. Please, let's get on with it. Please vote. The result? I find that, with 96 votes for and 1 abstention, the proposed law has been passed.
