ParlaMint-HR_2009-06-30-0.u34361	To what point of the agenda could we do tonight?
ParlaMint-HR_2009-06-30-0.u34398	Thank you. We'll inform you that at 11.03 minutes, it's past 10 minutes' notice. We have two corrections. First Mr. Krunoslav Markovnović. Here you go.
ParlaMint-HR_2009-06-30-0.u34399	Thank you, Mr. President. Well, here's a colleague of Cain's incorrectly claiming that we're becoming a country case. In fact, that is the most painful thing in the whole story, because that story is going out, towards the European Commission, towards Europe. And no wonder if we step on our own, they'll step on us. Secondly, here's a late congratulations to the IDS for coming out of Racan's government in time, when he realized that this government was going out of the affair in the affair. Lenac, Vrhovnik, Cacic, Koning, INA, everything else, Rijeka Bank and the like. So congratulations.
ParlaMint-HR_2009-06-30-0.u34400	Correction Mr. Berislav Roncevic. Here you go.
ParlaMint-HR_2009-06-30-0.u34401	Thank you very much, Mr. President. I will correct the two incorrect allegations he made in his debate, Mr. Cain. General Milicevic has not been removed from the post of chief inspector. He was never the Chief Inspector. He was a behavioral officer. He handed over his illegal inspection report sometime in the 5th month, and was deployed in December 31st as commander of the war school, the most prestigious military school within the Ministry of Defence. It's completely incorrect. And just for information, Mr. Caine, the Benussa you mention, he himself wrote in his memo, since in their offer that we did not include all the necessary NATO standards in the vehicles in question, which, of course, adds to giving up further supply. Mr. Caine's company is in Fažana, go check it out, there's a memo there and don't be surprised, unsettling. People gave up on their own because they realized they weren't offering wanted trucks.
ParlaMint-HR_2009-06-30-0.u34402	Injury of the Rules of Procedure, Mr. Cain.
ParlaMint-HR_2009-06-30-0.u34403	In accordance with Article 209, 214 Mr. Representative corrects me, and I only quote General Milicevic's statement, which he says. "The defence minister asked the president of the Republic to retire him. With an argument he dares not say, for he is not so brave. I don't know what he's afraid of. When that failed, they sought a place where they could set up without being able to advance, and was appointed commander of the war school," etc., etc.
ParlaMint-HR_2009-06-30-0.u34404	What's the breach of the Rules of Procedure?
ParlaMint-HR_2009-06-30-0.u34405	It's not as important as the violation of the Rules of Procedure... [[The speaker doesn't understand.]]
ParlaMint-HR_2009-06-30-0.u34406	It's important because it's being abused. It's not in accordance with the Rules of Procedure, please don't use such things. The place where you respond to the correction of the incorrect quote, you say what you will. You have no right to do that. ... And last on behalf of the clubs, Mr. Representative Stanko Grcic on behalf of the HSS. [[The intruder doesn't understand.]] Here you go.
ParlaMint-HR_2009-06-30-0.u34407	Dear President of the Croatian Parliament, esteemed colleagues and colleagues. I think it's a lot of our citizens looking at us in this kind of truck and truckers and thinking that we have more important and smarter things to do. But here we have a report from the Commission of Investigation that we have to process, and in the end, in whose work I have been involved. I will try to present the details of the work of the commission as well as the basic elements which we at the Croatian Peasant Party Club have managed when we adopt positions related to this report of the Research Commission. For you colleagues and colleagues, but also for the purpose of getting to know our public about the facts related to our tasks, obtained from the Croatian Assembly, mentioned in the decision to set up the Research Commission, it is necessary to repeat what the Research Commission was obliged to do. Why am I doing this now and I'm repeating it? Because some discussions are going in the wrong direction, they are not giving answers to the questions asked, but they are dramaticizing certain situations and comedy shows and show the work of the commission. Our assignments were to determine what bids arrived at the invitation to tender? What offer, and what bidders were the most favourable? Why was the invitation to tender annulled, who is, and why did he disband the first commission? Why did the approach be obtained by means of a direct contract? What made only 39 trucks available when there was a need for a larger number? How much was offered price per truck? Was there any chance of guessing a particular company? What has the inspection report or any irregularities damaged the state budget of the Republic of Croatia and in what amount? Is that what we've determined? We've established these facts, we've received and delivered this report to you. Let's discuss it, adopt it, and not burden the public with these affairs anymore. In order for the public to form their own judgment on the work of the commission, we had to remind ourselves of what we had to establish as an investigative committee because we saw that in some previous discussions it was turning away from these basic tasks that we received and received from you. In determining the facts and I can say freely the determination of the truth, we were governed by the law and by certain decisions made on the basis of these legal rules, as well as by the Rules of Procedure which allowed me to carry out a successful and good work of the commission. We took documents from state institutions and institutions as statements of witnesses as credible documents that allowed opinions to be formed and these conclusions were reached. We were of the opinion that the requested encounters of witnesses would not contribute to successful work or the commission would carry out its tasks within three months so as to make the decision to form it. I personally, as well as the HSS club, tried to avoid media bickering and entertainment scenes that were all just non-obligations and duties of the commission. I am convinced that our public could only partially identify the facts that through our discussions they will not continue to turn into areas and topics that are not set as the objectives of the Commission's work. I will also make some concrete views of Croatia's peasant parties regarding the report's allegations. We in Croatia consider the first competition to be led and annulled in accordance with the laws. The above decision of the Agency for Material Resources of 15 December 2004 states: "The Agency for Development, Equipment and Modernisation is obliged to revise the supply requirements in terms of reducing the quantity or giving up of the purchase of a particular type of vehicle and in order to align the value of the purchase with the really provided means.". We believe that the second tender was carried out on the basis of the Public Procurement Act. Neither was there any objection to the implementation of this tender to the State Audit or to the police because it was governed under the law. In particular, we believe that the choice of vehicles was influenced by two facts, the first course of negotiations for the harmonisation of partner objectives, as the accession of the Republic of Croatia to NATO was near, and the letter of the Chief Staff, which was set by suppliers who did not meet these new conditions contained in the partnership objectives. In order to meet the requirements of the partner objectives of all the vehicles covering the first tender, only the second group of military vehicles has been selected and the number of individual vehicles has changed in accordance with the requirements of the partnership objectives. However, individual prices of the same vehicles in the first competition were offered for the final price base of the negotiations. The selection of bidders to negotiate with has been determined by the Chief Staff of the Armed Forces of the Republic of Croatia, the Board of Logistics and the expert body for the assessment of the technical characteristics of the vehicles offered. By letter, the Chief Staff of the Armed Forces requested the exclusion of suppliers who did not meet the new technical requirements. When we analyze these facts and put the dice in this mosaic of ours, we have to ask ourselves a question. If by any chance the decision had been different whether we would be a NATO member today, or whether we would meet certain negotiating positions. We think they wouldn't because they wouldn't meet the required standards. We are therefore convinced that it is good that the decision has been made on the basis of a letter from the Chief Staff of the Armed Forces of the Republic of Croatia because they knew what NATO standards are and what technical characteristics of the vehicle they must meet. We believe that institutions have done their part of the work and we have no other indicators that would talk differently about these conclusions that are ahead of us. We therefore believe that the report is objective, that it has completed and accomplished the tasks set. I do not believe that anyone, based on the documents and statements of witnesses presented to us in the commission, could form different conclusions than these. We believe that the decisions of Mr Roncevic's defence minister at the time were based on legal regulations, which is more important on the suggestions of the profession and the conditions that allow the documents on the reconstruction of the Armed Forces of the Republic of Croatia and the decision to obtain a vehicle is just one of the few decisions that the NATO Alliance has made to us one step closer. We can only repeat what is visible from these documents and the findings of the society's competent institutions that the state budget is not damaged. The attempt to seek truth on the basis of assumptions and false documents or documents produced during the commission's work as someone's desire to turn away from the important to the irrelevant, and to deceive the public has proved to be a bad solution because here we are dealing with irrelevant things at least irrelevant to our citizens. Reliable documents and witness statements enable the arrival of a real true condition related to the purchase of a vehicle, enable the adoption of these conclusions and this report after five years of lighting and we believe ends with this dealing with ourselves at times and times when we ourselves have more important and smarter work in view of the situation in society. The Croatian Peasant Party club supports this report and we believe that through it the public is aware that there are no hidden facts, there are no harmful contracts and that state institutions are successfully working and performing their tasks and tasks. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34408	Thank you very much. We have one correction. Mr. Damir Cain.
ParlaMint-HR_2009-06-30-0.u34409	Mr. Greek Stanko said on several occasions that we're turning off the topic, that comedian some perform. I say no. I was just quoting certain statements and Mr. Milicevic thinks, it says right here, that he's been removed. But he says further, after his shift, Colonel Jasa, who led the surveillance, got a transfer to Knin, and he advanced, retired Blaženka Cyprus, and was replaced by Mr Domljančić, a Stjepan inspector for human resources who resented someone in writing reports, etc. If that's how we play with the people of this country it might be a bigger problem than 5, 10 or 15 million kuna, regardless of what our gross product and government deficit are at this point 15 billion kuna.
ParlaMint-HR_2009-06-30-0.u34410	Thank you. Ladies and gentlemen of the Parliament, we will now interrupt briefly and vote on the laws under discussion. And this is the final proposal of the Law on State Law, the Final Proposal of the Law on the Office for the Control of Corruption and Organized Crime, the Final Proposal of the Law on Police Affairs and Powers and the Final Proposal of the Law on Amendments and Supplements to the Criminal Procedure Act. For all four of these laws, it is necessary in the Parliament that, in the vote, the supranational majority of all MPs, i.e. 77 votes, so they can be adopted. And as planned and imagined to make 1. The 7th could come into effect, that means tomorrow. So please consider this. I've asked earlier clubs to arrange for MPs to be there, so now we're going to get in the way. Mrs. Opacic on behalf of the SDP Club. Here you go.
ParlaMint-HR_2009-06-30-0.u34411	Thank you, Mr. President. I'd like to ask you to take a break for the club, for at least 10 minutes for the voting consult.
ParlaMint-HR_2009-06-30-0.u34412	Thank you. I'm setting a break. ... Is that what you're looking for? [[You can't hear the intruder.]] Yeah, one and the other clubs asked for a break. I'm setting a break of 10 minutes and we'll continue at exactly 11 o'clock and 36 minutes. Here you go. I ask MPs and MPs not to go any further since I have pointed out the majority required to vote on this law.
ParlaMint-HR_2009-06-30-0.u34413	We're continuing the debate. Individual debate on the report on the work of the Research Commission. The first is in an individual debate by Ms. Milanka Opačić. Here you go. Please, continue the session, the word was received by Ms Milanka Opačić. Please sit down and if we could just shut up a little bit. Here you go.
ParlaMint-HR_2009-06-30-0.u34414	Thank you, Mr. President. I have to say, here we are, and here we have lost a single amount of time by me completely unnecessary because of just one sloppyness in preparing this vote. And I also have to say that I am sorry that we are even discussing these trucks today because it seems to me that for the citizens of this country it would be much better to discuss the economic situation in the country today, that we are already missing around 15 billion kuna in the budget, that in some way the financial system of the state has collapsed, that we can pay and settle as our obligations, not only outside of Croatia, but primarily towards our companies and our citizens. So what is before us is a very uncertain time and unstable and difficult for the citizens of this country. So it would be better if, instead of trucks that were to be done today, we had discussed things that are important for the lives of citizens who may not be paid or retired tomorrow. Unfortunately, though, we had to use the Committee, which is not the best mechanism for establishing the truth, but it was the only political means we could say that an affair that would be full of 4 years has to end or rather end, that this commission was exclusively used to force and encourage some institutions that should have done their job long ago to do it now. It's been said here that we sort of insult institutions when we say they didn't do their job. I think what's a fact and what's true can't be an insult, and the fact is that they're four years old and nobody's ever been into an affair truck. Namely, those who say that the affairs in the paper are not good, cloud people, I absolutely agree with that, they're not good. However, the question is why neither the State's Attorney's Office, nor the police have run for four years and have seen what's really going on and what's going on with the affair trucks because if both the attorney's office and the police were doing their job, we would have a clean situation today or we would have rejected everything that's been written in the paper or we would have a criminal application and some kind of trial. Unfortunately, we don't have any of that. So we have this commission that has done its job in very difficult conditions because of the lack of respect for the principle of arguments, but unfortunately the principle of force, the principle of number of hands, and that is unfortunately the characteristic of HDZ rule. There was talk here about the general not being able to oversee the work of the minister. Well, maybe it can't be formally, but every citizen who has any knowledge of some of the actions that were going to damage it, so at the expense of the state budget, or who is suspicious of some work, based on every tip of the citizen, the State's attorney and the police were supposed to react, and they didn't react. And here's the key problem. Do you know what the message is to Croatian citizens when they are four years old is not responding in this situation, but responds to the poor. Whoever doesn't pay for the parking lot, whoever gets a court ruling, doesn't pay for it, so the execution comes, very soon the police will arrive at his door and bring him in and when he doesn't pay, he'll do his time. Why is one criterion for an ordinary man, and why is another a criterion for those who are in power, who are ministers or something else? They're protected, there's no investigation for them, there's no rule of law for them, but for an ordinary man, the rule of law works very, very fast. And that's what bothers people terribly, so double criteria, one is allowed everything, the other is absolutely nothing allowed. There were stories about the whole story being launched from the political center. Well, of course, when the system institutions didn't react, neither did the attorney's office nor the police. So what else do we have left, rather than those who can talk from those positions pointing at something that wasn't good. This case has shown, in fact, that the system institutions are not functioning and that they are definitely by who knows which times, thanks to this commission, they have shown that no citizen can trust those who should pursue crime. I can't believe it because those who have so far reported to either USKOK or the State's Attorney's office some information, they were either beaten up pretty fast or the whole system came up against them and their life was turned into hell. We had an example here. something that's been filling the headlines in the paper for a full week, one way to put it, the bickering between the State Audit and the Attorney's Office is absolutely inappropriate. You can imagine what the citizens who saw the shooting between the state's auditor and the state's attorney who said, I sent something and said I didn't get it. She says she sent what I could, says the state's attorney, yeah, but that's not enough. My people, it's so unserious. This leaves one bad picture to the citizens and why do you think they have this picture of the judiciary, in general, of a system that should prosecute crime in this country. They don't trust anyone with full right, because this has actually shown how those who should be persecuted are acting. What was still scandalous was, in fact, when General Milicevic testified, when he gathered the strength to say some things and courage, then it was not going to disprove his arguments, but it was going to muddle him human. In human terms, he was muddyed that he was a liar, that he was dishonest, that he was immoral, even more in an interview Mr. Roncevic claimed that he was actually a bad general because he had no good reference for any advance, so he stayed where he is. I think that's something that's been below every level. All that Mr. Milicevic, or General Milicevic, said, I think it was necessary to disprove on the other hand the arguments, not by eating and defaming man that he is a liar and that he is simply incompetent and inextricable in his business in some way. And finally, I would like to say that this one delay in joining the European Union is, in fact, the biggest part of this policy that the HDZ government is leading, which is a policy in which no affair in the media has been discussed in this House or anywhere else is a solution by those who should have resolved it. From "Brodosplit," from an affair with the Privatisation Fund. So, a lot of affairs that are left unsaid. So Croatia has made one impression to Europe that we are not prepared to deal with corruption, with crime, that we are not prepared to judge it, especially when it reaches the very top of the government. E Europe doesn't really want such a country in its ranks. And that's why we're gentlemen dear to wait. And I would just like to say here that again what my colleague Dragovan said in his presentation on behalf of the club, which is that in 2004, when he came to power, he promised Croatian citizens he would introduce Croatia very quickly into the European Union. So I will quote to you the words of Prime Minister Sanader who then said, "I am sure we can complete negotiations and close chapters in a few years and follow the example of Slovakia that has managed to complete the negotiations in 2.5 to 3 years. It's our ambition and we'll be ready by 2007. "years." Dear colleagues, today is 2009, and we are further away from the European Union than we have ever been and we will be all until we realize that we have to do things in our own country for our own citizens, that we have to enter some reforms and that we have to set the system up so that it is equal for everything. Equal for one who has a thousand kunas of salary and works in a company, equal for a minister who behaves as a minister. The more I think that all of us who are here in politics in any position are much more exposed to that public and the more we have to look out for our behavior than some others have to in this country. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34415	Thank you. We have a few corrections. First Mr. Krunoslav Markovnović. Here you go.
ParlaMint-HR_2009-06-30-0.u34416	Thank you, Mr. President. Well, here's a colleague, normally in a series of untruths, mentioning the same thing that ministers can't be prosecuted, so they can't be investigated or anything like that. What's right here in this case is known to include both the State's Attorney's Office and the USKOK and everyone else, as well as the police. But the most painful thing is when the police say there's nothing in it. It's the worst thing for imaginary affairs when it's proven to be gone.
ParlaMint-HR_2009-06-30-0.u34417	Thank you. Mr. Representative Berislav Roncevic. Here you go. Correction.
ParlaMint-HR_2009-06-30-0.u34418	I'm correcting the inaccuracies of my colleague Opacic. counterpart Opačić, Berislav Roncevic never said anywhere that General Jozo Milicevic is a bad general. Read that interview. ... Roncevic said and it says that General Milicevic is unspective. [[The intruder doesn't understand.]] This means that it does not meet the standards of professional development. He had already failed to meet the standards of professional development before I entered the morh on the first day. Therefore, there are standards in moving in the career of active military personnel under some circumstances that occurred before I arrived, General Milicevic is unspective. That doesn't mean he was a bad general during the Homeland War. I haven't talked about it in a single letter.
ParlaMint-HR_2009-06-30-0.u34419	Correction Mr. Representative Frano Matušić. Here you go.
ParlaMint-HR_2009-06-30-0.u34420	Thank you, Mr. President. First of all, it's incorrect that there's a double criterion. So, for ordinary citizens and for those who are in power like you said. Because no one is exempt from persecution or from anything else that is related to it if he commits any crime. Secondly, you said that working on the commission was a demonstration of force, not an argument. That's not true. This is not true because the work was in line with all normal rules of conduct in democratic countries and by democratic standards. And most of them are always most. No matter how much she was, how she agrees. But most of them are most of them. It's the foundation of democracy, it's the basis of procedure. So it's completely incorrect. And thirdly, when you talk about the European Union, then probably the current president of the Swedish government who took over the Presidency of the European Union when he says that Croatia is at the threshold of the European Union and that he can finish negotiations this year. Are you trying to tell them they're lying, too? You want to tell Mr. Barroso that he's also saying he's lying? We all know what the obstacles are. As far as the judiciary of a colleague is concerned, we have fulfilled all the criteria, which may be explained to you by your fellow minister. We have fulfilled all the standards so that we can open this chapter. That we don't open it for other reasons than the one we know.
ParlaMint-HR_2009-06-30-0.u34421	Correction Mr. Agent Ivan Bagarić. Here you go.
ParlaMint-HR_2009-06-30-0.u34422	Thank you, Mr. President. So I was forced to correct one of these allegations that was rather strange, which has been repeated since last night, in this show that we all could see in the evening, where the chairman of the commission who should worry about corruption, or prevent it, said the same thing. You said colleagues, the consequences of the government policy of the Republic of Croatia are unresolved affairs. That's about what you just said. Therefore, it is simply an incorrect but truly political disqualification. How can the government resolve an affair if, for example, it is made up and in what way? If it isn't, if there's been a lot of an affair in the right sense of the word embezzlement, so the government is supporting the bodies that are conducting all those procedures that are tied up, I don't know either for the initiation of the proceedings or for the investigation, etc. And how can the government take on all those consequences as you tell the solved, not solved, and I don't know the affair. So, among other things, because some of them are made up, so no one can solve them. And others have bodies that... The government is providing support for implementation.
ParlaMint-HR_2009-06-30-0.u34423	Thank you. And another correction, Mr. Andrija Hebrang. Here you go.
ParlaMint-HR_2009-06-30-0.u34424	Thank you very much. I'd like to just correct your incorrect assumption that Europe doesn't need a country, I mean Croatia, which failed to solve crime at the top of the state administration, so you said roughly. That's not true. And there hasn't been a stalemate in the negotiations because of any affairs, no crime. Europe and the European Union have far bigger affairs in their ranks than those that are fictional and real with us. Follow on the internet a big affair in Germany weighing 1 billion euros from only one company, watch money fraud in the English Parliament, etc. There is no obstacle on the way to Europe to any affair trucks or any affairs that are not invented but the high interests of certain circles of neighbouring Slovenia and others that blocked our negotiations so it would not be good for Croatia to enter the archives where it is not.
ParlaMint-HR_2009-06-30-0.u34425	Thank you. It's Mr. Representative Krunoslav Markovnović's turn. Here you go.
ParlaMint-HR_2009-06-30-0.u34426	Thank you. Mr. President. Well, obviously, the SDP is in trouble as soon as here and the colleague is saying that it would be better if we talked about something else today and not about trucks like it's what we encouraged the story about trucks because the affair if it's fake, if it's made up then it ends up and everything that's going to happen today is going to be just that we're going to prove that the affair isn't there. And how it all started, so we can remember those times. Namely, the contest has been called, the contest has been annulled, the vehicles obtained, and now a whole series of here illogicalities, false claims. We're talking about 76 trucks. There were no 76 trucks at all in the first competition, there were 30 and something that drove, trailers, everything and everything there. So it's not about trucks at all. Then, we're talking about something that happened, which is that the contest was canceled. The contest has been canceled. Goodbye, the competition's gone. And let's forget it happened a year before Racan's government opened a fire tank tender. There wasn't enough money, the contest was canceled. At a closed session of the government, something behind it was decided on the acquisition of 230 fire tankers of Mercedes, so let's ask ourselves how many states were lost because it was probably a lot cheaper in the offer. Did anyone make any money here? What's this about? Watch out, 230 fire tanks each more expensive than the Iveco truck and no one. And now after a year, let's do a little affair. The SDP didn't launch the affair first. In fact, it was about the offended president of the state and the injured generals and their vanity, and that was where it began to hang. In fact, President Stipe Mesic began to talk about it quite late, which is why I don't know a day today, but we know that he visited the Mercedes factory, that he probably thought Mercedes were better than Ivec, that there was a little sharper response from then-Minister Roncevic that offended the prime minister and then started the whole series, clearly the president insulted him, and then the president started a whole series of untruths of guys today, today there's no money, tomorrow he has money and unfortunately pays expensive advisors who completely wrongly advise him but it's no longer our problem. As far as the generals themselves are concerned, the fact is that General Milicevic himself said that he was hurt because he had not progressed, because he did not get some medal I don't know what already. Here, we weren't alone, there was a whole commission when the general testified. So in that injury, he wanted revenge in some way and he did exactly that he wrote a few false sentences first of all about some difference between this and that, about whether the state lost, where this is, where it is. So, completely unprofessional and unfortunately, we've convinced that the generals in the war we admired in peace don't get along very well. Among them is definitely General Lucic, who himself denied his very sharp letter to President Mesic, in which he claims trucks were bought and so on. What happened? The money wasn't enough. Okay, the contest's been canceled. After that, the pressure was to get vehicles, pressure above all, and the headquarters and NATO pact. Vehicles have been purchased. If the headquarters asked it to be either Iveco or Mercedes, and if the minister chose the cheaper trucks of the Iveco type. By the way, I have to say that the headquarters has been looking for a whole series of small SUVs, cars and similar things that have been found not to be necessary, even though trucks were bought, although after that General Lucic said that trucks were immediately put on the market, I don't know how much you followed in this huge pile of paper. It was said that trucks were purchased primarily as means of connections, that they were almost done by order, not almost but certainly by order, because some of the funds had already been purchased that were supposed to be mounted on these trucks and that these were definitely military trucks necessary for the operation of the headquarters, so the military needed for our soldiers going to other countries and that the proof was best because actually the German Defence Minister had to give permission to export such trucks. I'm sorry that when President Mesic visited Mercedes that he didn't visit Iveco, it might be easier for him to decide which side to go to. Next, as affairs arise. Well, I'll start at the end, from actually last night, where Mr. Jovanovic on "Open" says "The main goal is to bring down Prime Minister Sanader and HDZ's government."that's one thing. Secondly, here I say Mr. Stazic also said something earlier no matter how far past the goal was achieved. And what's the point? The goal is to explain to people that there is a government that is like this and like this, and we are the ones you should choose. We're nicer, smarter, better. But because we're not like that. And then we ask ourselves you're really not like that, but the memory is hard to erase, easier with computers than with people, so we remember when it was SDP's government. Here, now we mention here in Slovakia, how Slovakia came in and we didn't go in. So the question is, would Slovakia have gone in if, say, the neighbouring state had promised part of the sea, part of the territory, a huge part of the submarine, and then she didn't give it. I'm sure she'd have a lot of trouble getting in, but here's the Slovaks wouldn't do it in their sleep like the former government did the coalition and sure as hell that's the problem. As far as the European Commission is concerned, it is interesting. The European Commission is talking to us here saying that the main problem, the main evidence of corruption in Croats are trucks. And when we invite them to review the paperwork, to look at everything, that there's really no problem here looking a little weird because they're convinced by a complete opposition plus here's the president of the state, so people think, uh, authority is enough, I guess that's true. But I guess it's true and the truth is a big difference. It's not the only affair that's been invented, the affairs have been invented around the highway construction, around the highway section. So we've shown, we've received documentation that Cacic's highways are as expensive as the highways that were built during this time. So it's easy to invent an affair, but unfortunately it's hard to prove. And why is it so hard to prove? Because we have all the papers here. And that's what you, colleagues and colleagues know very well. That there's nothing out of this affair, that the affair doesn't exist and that it's actually the hardest thing in the whole story. In fact, the fact is that, I have to say the cheated media, some of the phonograms were added to the media, so, in part, they were accused of all of Šima Krasic, who turned out to have one report going here, the other there because someone from the ministry probably found a private report. In fact, Ms. Šima Krasic and the state audit are working on three reports. Three reports. The first report goes to the obvious and when it went to the obvious then it was said that when VAT is placed inside that there is no problem. He went, then there goes a normal report and a report for the Parliament, which is shortened according to our Rules of Procedure. Read our Rules of Procedure and you'll see. That we don't get a report here all over the hills like this, but actually get a brief report where all the most important things are that nothing's been silenced. What's the problem? The problem is that the opposition will come out of this. The problem is how to spread what was happening in the commission. The committee simply didn't want this to end. But when? The moment all the documents came. Then it was realized that the commission had to have an end, but here's a fellow Stazic in previous commissions liked to do it all summer, because then here's a little camera, a little light, a little reflectors, a lot of journalists and, however, the end has to come and the end will be bad for you. Why? Because not only this affair, we'll prove that there are no other affairs and then you'll become unworthy. So it's obviously a boomerang that's still broken on your head. Thank you.
ParlaMint-HR_2009-06-30-0.u34427	We have a lot of corrections and replicas. The first is Mr. Igor Dragovan's correction. Here you go.
ParlaMint-HR_2009-06-30-0.u34428	I'm correcting the inaccuracies of my colleague Markovanovic who said it wasn't true to mention 76 trucks. You see, colleague Markovanovic, this is your decision to set up an investigative committee to determine the facts of this Croatian Parliament, you know? And here it stands, the Commission of Investigation is obliged to determine why the process of obtaining 76 trucks by the MORH, etc., so there are 76 trucks and the president of the Croatian Parliament is in your signature. Therefore, the fact and the credentials stand on one side. 76 vehicles 39 million kuna, 39, 35 million kuna. Double down, only 4 million won less. That's your whole story.
ParlaMint-HR_2009-06-30-0.u34429	Correction Mr. Nenad Stazic. Here you go.
ParlaMint-HR_2009-06-30-0.u34430	Supposedly, the aim of this committee's work in opposition was to bring down the government. No, the goal was to get to know the public about this supply. You say they're deluded journalists, they're not journalists, and they're not journalists, they're not fools and they're not illiterate. The press received documents that were received by the commission. The press also came up with a transcript of the testimony you closed to the public. Why? Well, you were afraid the public would hear what Milicevic was saying, so you tried to hide it from the public. The goal is not to attack the government or Roncevic. The goal is to get to know the public about how this government worked and how it still works, and how it hides and resists all its forces today, and through this 10-minute exposure of yours to hide the unimaginative affair, but an affair that costs this country 14 million kuna.
ParlaMint-HR_2009-06-30-0.u34431	Thank you. Mrs. Milanka Opačić's correction. Here you go.
ParlaMint-HR_2009-06-30-0.u34432	So I am correcting the incorrect allegations of my colleague Markovanovic who said that Croatia did not enter the European Union because of the former government. Yes, it is, you said it was all because of the former government that signed what she signed. You know what, Mr. Markovanovic, you've confirmed with your debate everything I've said, it's that when you don't have the arguments, then you muddle people. So you also muddle the former government of Prime Minister Racan, and you keep saying she's guilty of something. So I wonder if after 5 years of your rule in Croatia, Racan's government is to blame for 15 billion kunas missing in the state budget and for the collapse of the financial system?
ParlaMint-HR_2009-06-30-0.u34433	Thank you. It's not a budget debate. 4th Correction of the Inaccuracy, Mr. Goran Beus Richembergh. Here you go.
ParlaMint-HR_2009-06-30-0.u34434	Well, my colleague Markovanovic put out a whole series of incorrect allegations, and I'll fix two here. The illustration of Slovakia in the context of entry into the European Union is not possible because of what you mention about the sea and the submarine impossible Slovakia has no sea or sea. And secondly, that highways in Cacic's time cost just as much as today, you are denied simply the fact that today a kilometer of highways in the Republic of Croatia was no less than 3 times more expensive than at a time when the minister responsible for road construction was Mr. Radimir Cacic and that in the meantime not one single cost item of road construction increased by more than 100 percent. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34435	Okay. We'll come wake up. Construction of highways, come on, correct incorrect allegations. 5th Mr. Marin Jurjevic.
ParlaMint-HR_2009-06-30-0.u34436	It is not true that corruption affairs do not exist in real life but only in the dreams and vivid imagination of the opposition. And you can be sure if you read any of the last 10 reports of the European Commission or the Government of the European Union, which in the first place, not in dreams, but in the papers probably argues that Croatia's biggest problem is corruption, corruption affair. I would only remind Mr. Markovanovic of a small affair called Brodosplit, which is far and slowly but surely disappears in the fog and I have some courts waiting for me to disturb the public. It is fate that calls for corruption affairs in Croatia to be talked about by those who dare even if they are parliamentary representatives.
ParlaMint-HR_2009-06-30-0.u34437	Thank you. We're moving on to replicas. She's Mrs. Dubravka Shuica's first representative. Here you go.
ParlaMint-HR_2009-06-30-0.u34438	Mr. President, I answered the line, of course, listening to this whole debate, realizing that it is still the documentation that is on Mr. Roncevic's side and that speaking of the use of force by the SDP's club and by force interpreting the majority in some commission, I think it is absolutely inappropriate. However, the basic reason why I contacted you Mr. Markovanovic, you mentioned the name of Mr. Representative Jovanovic, you were on the "Open" show last night, where my smallness was mentioned by nothing. It is an incredible ease to say such unargumented facts as Mr. Jovanovic spoke of me and my property card. I just want to tell you here through this replica, Mr. Markovanovic, I'm sorry you didn't make it to the word, report on that show last night. For twenty years, I've done my job honorably in the field, for four years I've been head of high school, and now I'm acting third term, from 2000 to today, and my second term as mayor has just expired. I'd like to tell you that I'm not a single mother by chance, that I have a sea captain's husband who's been on board for 40, 35 years, 25 years, and he's a commanding officer, captain of long sailing, for the last six years, the captain of the cruise company, captain of the cruise team. Therefore, you can enter and I am sorry that there is no Mr. Jovanovic here and I ask him for an apology to look at my property card since 2002 when we were obliged here in the Assembly to show the property card to this day, to combine the property situation of my and my husband and then my daughter's underage, today already lawyers and not to speak on a flat-rate basis in front of the entire Croatian public. It's an example of making up an affair and I'm asking you, I'm sorry, Mr. Markovanovic, so I'm talking to you, because you didn't have enough likely arguments or chances on that show to come up with a word, but I'm not going to let my name, my family on this get involved in a possible affair. Thank you.
ParlaMint-HR_2009-06-30-0.u34439	Thank you. Replication response, Mr. Krunoslav Markovnović.
ParlaMint-HR_2009-06-30-0.u34440	Well, my dear fellow, this is more proof that affairs are easily invented, that people are muddy. We are witnesses, here I have been here in the Croatian Parliament for five and a half years I have witnessed how people are easily muddled and how double criteria are applied. Why do I mention, let's get angry with our colleagues and colleagues, Racan's government? Because the same case with the purchase of the vehicle was a year ago. The exact same case, only with significantly more money and a significantly larger volume. But then it doesn't matter, that's it. And as for the Commission's own decision on conflict of interest, we're not comparing the card there before, the card after, but we insist that the cards be published. It is, however, the political decision of the electorate to decide whether or not it will decide. But this story today is the best way to do it when you don't win the election, so go. First South America is still a little far away so that their system can use their way, then let's invent affairs. It is certain that part of the voter's vote the SDP received by making this up, because a hundred times the repeated lie becomes true. I'm not talking ten times, I'm telling a hundred times a lie. So it's already funny how really some people repeat the same lie over and over and over again I don't know who, that I don't know who or that I don't know what I don't know, and I'm extremely glad that we're going to clear this up together, because yet all those who listen, look, watch, say yes, next time they agree, they're going to say neither the first nor the last time, they're going to lie all the time.
ParlaMint-HR_2009-06-30-0.u34441	Replica, Mr. Frano Matušić. Here you go.
