ParlaMint-NL_2014-12-17-tweedekamer-4.u1	I would like to welcome Minister Blok.
ParlaMint-NL_2014-12-17-tweedekamer-4.u12	Mr. Chairman. Two minutes for two motions, so that should work. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the "longer independent living" transition agenda has so far identified few concrete action points;]] [[Whereas, until summer 2015, the "longer independent living" team will focus, inter alia, on consultation, monitoring, guiding and stimulating the transition process "longer independent living," as well as identifying bottlenecks;]] [[having regard to the opinion of the Committee on Budgetary Control,]] [[calls on the Government, in its implementation plan, to aim for a comprehensive identification of bottlenecks and a concrete action plan with time-frame to address bottlenecks in the transition process,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-139]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u13	Finally, a motion that ties in with that of the SP. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the low VAT rate applies, inter alia, to the adaptation of homes of elderly and people with disabilities until 1 January 2015;]] [[Whereas the continuation of the low VAT rate facilitates home adjustment and makes it more affordable for those concerned;]] [[Whereas continuing the low VAT rate for house maintenance and adjustment also encourages the (construction) sector and the small and medium-sized enterprises concerned;]] [[invites the government to continue the low VAT rate for the conversion, repair and adaptation of homes in 2015 as well,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-140]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u14	I'm looking at the minister, who doesn't have all the motions yet. We'll wait for that.
ParlaMint-NL_2014-12-17-tweedekamer-4.u15	Mr. Chairman. First of all, I should like to comment on the Leijten motion in part No. 134, in which it calls for the work and objectives of the recruitment team to be defined and for an evaluation of the commitment for the summer. I have already sent the Chamber the commitment and the goals of the recruitment team. I also discussed them with the Chamber during the AA we held on this subject. Of course, I intend to share the experiences. That's what I do in the annual report anyway. In my view, therefore, this motion is superfluous.
ParlaMint-NL_2014-12-17-tweedekamer-4.u16	According to the SP, this motion is not superfluous. We've checked everything. There is a definition of what the hunting team should do: consult with everyone at consultation tables in regions. The concrete targets have not been defined, in fact, the team was asked last summer to have an implementation plan ready, but the Chamber has never been informed about them. She didn't receive that plan, so we don't even know what this team's gonna do. I would like to support the Minister in solving problems, but I would like to know what I say yes to before he makes such a big investment for a year. He thinks the motion is superfluous, but I would like to hear when the Chamber will see the plan and whether the Minister will evaluate the commitment of this recruitment team for the summer.
ParlaMint-NL_2014-12-17-tweedekamer-4.u17	Not only in the form of the letter I have sent, but also in the AO we have conducted, we have been able to have an extensive exchange of views. I will, of course, continue to inform the Chamber about the progress of the search team, with which I discussed the initial experiences in detail this morning. I think it makes sense to do so in the usual report to the Chamber. As far as I am concerned, therefore, the first moment is the annual report in May. I think that is very close in time to what Mrs Leijten wants.
ParlaMint-NL_2014-12-17-tweedekamer-4.u18	In the letter on the Transition Agenda longer independent living on 4 June of this year, it is promised that "this summer," so last summer, an implementation plan will be ready. Can the Minister send that to the Chamber? Then it can see in the annual report whether what is in the plan is being done. If the Minister says so, I'll withdraw the motion. If he doesn't say so, I'll let her get into the mood.
ParlaMint-NL_2014-12-17-tweedekamer-4.u19	The implementation plan is part of the conversations that the chasing team is conducting. Of course, it makes sense for you to draw up an implementation plan in consultation with all those who have to implement it. You cannot call from The Hague: this is the implementation plan, good luck with it. As soon as that happens, of course, I am ready to share it with the Chamber immediately. That doesn't change my judgment on the motion. Because I always intended to share information with the Chamber. I've done the same thing so far. In the Leijten motion on part No. 135 calls for a stricter definition of the accessibility requirements for new housing units in the Building Decision. We have discussed this extensively on the basis of research and an estimate of the social costs and benefits of it. As I believe it is appropriate to tighten up the accessibility requirements for public buildings, I have announced that I will do so. It is very important that city halls, libraries and other public buildings are optimally accessible. Calculations and the reactions of, for example, Aedes, the umbrella organisation of housing corporations, showed that it would be extremely expensive to impose such a requirement on all new buildings. However, there is a strong willingness to provide local tailor-made services if there is a need for such housing. For that reason, I advise against this motion.
ParlaMint-NL_2014-12-17-tweedekamer-4.u20	If I understand the Minister correctly, the application of what the SP is requesting through its second motion means that the rents of these homes are all going up.
ParlaMint-NL_2014-12-17-tweedekamer-4.u21	That's a good chance. The cost of all homes would go up. I repeat, all residences. After all, the Building Decision is binding. So that translates into higher rents.
ParlaMint-NL_2014-12-17-tweedekamer-4.u22	The motion belongs to Mrs Leijten, so she may ask a question.
ParlaMint-NL_2014-12-17-tweedekamer-4.u23	It is always a bit faint when the Labour Party, which explodes the rents together with the VVD, frame a request to make homes easier to rebuild for people who become wheelchair dependent and older as "making them more expensive." This cabinet is exploding the rents. We want accessible homes. That is what is called for in this motion.
ParlaMint-NL_2014-12-17-tweedekamer-4.u24	It's a debate with the minister. I'm just asking the Minister a question. It's up to the chairman to keep the order. If a colleague has a question, it must be asked to the Minister, otherwise we will reopen the debate.
ParlaMint-NL_2014-12-17-tweedekamer-4.u25	You were also reopening the debate, because you had not tabled the motion. Mrs Leijten has the floor and the Minister can respond.
ParlaMint-NL_2014-12-17-tweedekamer-4.u26	Mr President, I have the honour to put an explanatory question on each motion tabled.
ParlaMint-NL_2014-12-17-tweedekamer-4.u27	Then I'll ask the Minister. Isn't it true that the policy of this cabinet, including the landlord's tax on corporations, has caused a rent explosion in the country?
ParlaMint-NL_2014-12-17-tweedekamer-4.u28	I'm always willing to answer where the familiar road leads. Indeed, the cabinet has given room for rent increase. And indeed, if you increase the construction costs, that bill will end up with tenants. In the Monasch/Van der Linde motion to item No. 136 is asked to facilitate the transformation of care real estate by allowing an extension to 25% for the non-DAEB part in the transformation of care real estate and to give corporations who wish to make use of this possibility, within one year of the entry into force of the novelle at the Housing Act, another four years for the realization of the transformation. This subject was briefly discussed during the debate on the novella. At that time, I indicated that I was in favour of this. I should record that in the AMvB. With a positive fundamental note, I would like to leave the verdict on this motion to the Chamber. In the Monasch/Otwin van Dijk motion in part No. 137 calls on the government, by analogy with the Student Housing Action Plan, to set up an integrated agenda transition for longer independent living and report to the Chamber in mid-2015. The comparison with the student accommodation action plan is, I believe, flawed, as I have pointed out in general consultation. An action plan requires that all parties concerned, in this case housing corporations, elderly households and municipalities, agree and cooperate in this form of an action plan, as used in the Student Housing Action Plan. They must support that form, but that way there is no support for it. There is, however, support for the route that Secretary of State Van Rijn and I have chosen: a hunting team that, in close consultation with municipalities and care institutions, provides local tailor-made work. If I may interpret the motion in such a way that we will report to the Chamber in mid-2015 on the approach taken by Van Rijn and I, then I would like to leave the judgment to the Chamber.
ParlaMint-NL_2014-12-17-tweedekamer-4.u29	I ask the Minister not only to take local customization into account. It may be that there are above-regional problems, where the national authorities really need to play a role. If the Minister interprets it that way, I can live with it.
ParlaMint-NL_2014-12-17-tweedekamer-4.u30	That national role is definitely there. Mr Monasch's previous motion rightly called for a national role. That's how I like to fill it out. I have previously indicated that I cannot plan nationally that there will be 100 homes in one place and 30 in the other. But if there is a role in adapting legislation, then we will certainly take it. Mrs Keijzer asked a question about the landlord levy. In the event that existing care real estate is converted into social housing, the discount on the landlord's tax available for transformation from existing buildings to social housing can be used. The same applies to this sector. In her motion in part No. 138 calls on Mrs Keijzer to urgently propose concrete measures to the government on the basis of the ActiZ report, in order to address the bottlenecks surrounding healthcare real estate. It also invites the Government to inform the Court of Justice of this. This transition agenda is being designed at the moment, partly on the basis of Actiz's report and the talks with Actiz, the VNG, Aedes and other organisations, both nationally and locally. I have already said that I will continue to inform the Chamber. I therefore believe that this motion is superfluous.
ParlaMint-NL_2014-12-17-tweedekamer-4.u31	Then why is the Monasch/Van Dijk motion not superfluous? It actually asks the same thing.
ParlaMint-NL_2014-12-17-tweedekamer-4.u32	Mrs Keijzer could have put her name under that motion. Maybe we should make it so simple, because then I'll make her happy too.
ParlaMint-NL_2014-12-17-tweedekamer-4.u33	I heard the word "happy," but I do not know whether that applies to me or to Mr Monasch.
ParlaMint-NL_2014-12-17-tweedekamer-4.u34	I always hope you're happy. That's an important goal in my life.
ParlaMint-NL_2014-12-17-tweedekamer-4.u35	You can make a contribution to this. Am I to understand that the Minister will leave my motion to the Chamber?
ParlaMint-NL_2014-12-17-tweedekamer-4.u36	No. I have said that I consider the motion to be superfluous, because in fact I am already doing so. On the Monasch/Van Dijk motion, I said that I would take up the national role. That was Mr Monasch's question and that is why I see this motion as an encouragement. That means I'm leaving the verdict to the Chamber.
ParlaMint-NL_2014-12-17-tweedekamer-4.u37	I have another question about the answer to my first-term question. So I understand that it is not true that there is no landlord's tax for housing associations that want to convert their care institutions into social housing. A discount is given. Instead of paying the €25,000 they have to pay for the landlord's tax, there will be a discount of €10,000. So they still pay per house that is converted into a care apartment, €15,000 rental tax. Is that correct? I think so, but it's nice if the Minister can confirm that. It's not nice, by the way, but it's clear.
ParlaMint-NL_2014-12-17-tweedekamer-4.u38	The landlord's tax, as submitted to the Chamber by my predecessor, Spies, concerns only social housing. It therefore depends on whether social housing is being built or free sector housing is being converted. If they are social housing, they will be subject to a landlord's tax, but they will also be subject to the discount when it comes to the transformation that I have just outlined. Then I come to Mr Krol's first motion asking the government for an implementation plan with an inventory of bottlenecks and an action plan with a timetable. In line with the previous motion on this subject, I also consider this motion superfluous, because I and my colleague, Mr Van Rijn, have set up an extensive team of chasers and I have also promised that I will continue to inform the Chamber on this matter. Mr Krol's second motion calls on the government to continue the reduced VAT rate for 2015 as a whole. I said during the general discussion that everyone always likes low VAT rates, but that this is a financial gap. The cover isn't there, and an uncovered motion I must always advise against. Mr. Chairman. I hope that I have given an opinion to all the motions.
ParlaMint-NL_2014-12-17-tweedekamer-4.u39	Mr Krol is putting in a sprint, so I will give him the floor.
ParlaMint-NL_2014-12-17-tweedekamer-4.u40	Does the Minister agree with me that if we do everything in our power to keep people who want to live longer at home, it is the right money to invest in it?
ParlaMint-NL_2014-12-17-tweedekamer-4.u41	If it were that easy, we'd never have financial problems.
ParlaMint-NL_2014-12-17-tweedekamer-4.u42	I thank the Minister for his answers.
ParlaMint-NL_2014-12-17-tweedekamer-4.u43	This brings us to the end of this VAO. The votes on the motions tabled are tomorrow. I shall suspend the sitting for a few moments, because there will be an additional arrangement next.
