ParlaMint-NL_2014-12-16-eerstekamer-11.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2014-12-16-eerstekamer-11.u12	I don't agree with that. Coincidences can be of a systematic nature. It's called noise. Permanent noise is also noise. Even if it is other cases every year, which end up there every year because of any statistical reasons, it can always be the same or always different; that does not really matter for the reason of noise, then you will have to correct for it, because you do not believe that it is a good idea of the actual income of these households, even if it occurs every year, even if it is different every year.
ParlaMint-NL_2014-12-16-eerstekamer-11.u13	The CPB does have a basis for the cut-off point that has been chosen. It's 63%. That's the tax-free foot. That is 90% of the income of a single person on the social minimum and that is 70% of the statutory minimum wage. Does the Secretary of State agree that the cut-off point is not arbitrary?
ParlaMint-NL_2014-12-16-eerstekamer-11.u14	Well, 90% or 63% of another number is to some extent arbitrary. Other numbers could have been chosen. These numbers have been chosen and are therefore also used. However, different numbers could have been chosen. In this sense, it has a certain degree of arbitraryity, but we have kept to it and are happy to pass on the cut-off point chosen by the CPB.
ParlaMint-NL_2014-12-16-eerstekamer-11.u15	I was rather intrigued yesterday by the information Mr Reuten mentioned. Especially if the cut-off point lies with what is seen as the minimum benefit of a single person, that means that, in my opinion, there are actual, actual incomes below the cut-off point. However, I hear the Secretary of State say that we are taking out the income that can't be right. I think that if the cut-off point is so high, there are a lot of real incomes below that cut-off point. Is that what is being looked at or is it simply said that everyone should be able to have an income above that level and that we are just using it as a cut-off point?
ParlaMint-NL_2014-12-16-eerstekamer-11.u16	As long as this point cloud is present, this cut-off point is used, as Mrs Sent has just explained. The CPB makes every step in improving this database. It can be very factual income. Someone who somehow studies and gets an allowance of €100 from somewhere does have an income, but doesn't actually live on it. He has additional income sources. So it should not be assumed that someone actually gets by on that amount. That is distorting for household income, because he will also get his household income from somewhere else. As long as there is no better view, the cut-off point is used. I understand the database gets better every year.
ParlaMint-NL_2014-12-16-eerstekamer-11.u17	The key question is whether it is a permanent group, however variable. An effect is that not only the median income of that lower 25%, but also the median income of the whole population, of all households, is significantly overestimated. The median of the total is overestimated at €3,000 and this is overestimated at €4,500. Those are huge amounts of money, aren't they? I have here the underlying piece, 34000-XV No. 5, from your colleague in Social Affairs. The figures for the distribution of income are largely determined by the calculations of the responsible Ministry. That's why I think I can come up with this. The letter of 17 September states that, in part, the improvements are called "technically" and to some extent they are politically relevant. They are also politically relevant, for the reasons I have just mentioned, namely that the median income is estimated to be significantly higher than the actual median income, as the Central Statistical Office also gives it.
ParlaMint-NL_2014-12-16-eerstekamer-11.u18	The fact that it is politically relevant has already been proved. We are talking about it now and the discussion was about it yesterday. However, the correction was done precisely in order not to misjudge it. If the CPB had considered that these were good estimates and that those lower points of €100 per month were representations of a real household income, then the CPB would have taken them with them. On the contrary, the CPB considers that it is not overestimated by this method. We cannot have a very large statistical discussion on this. This is the view of the CPB on this operation, which we have followed.
ParlaMint-NL_2014-12-16-eerstekamer-11.u19	This is the fourth tax debate we have in this parliamentary term. Two years ago, I pointed out that it would be good for the quality of the debate and for the interaction in the debate if we could get a little more clarity between ourselves in relation to the statistics and tables we use here. We then had a session with a social affairs briefing. It's a bit before the Secretary of State's time, but history repeats itself. In that session, as a committee, we looked at the material that was supplied. What surprises me every time is that it is difficult to conduct the debate properly on the basis of the material we receive and from which we draw our inspiration for the political debate. It is understandable that the emphasis is sometimes changed. It is perhaps something for the future that we may need to look again at before the debate we are having here, to get some facts on the table that we are using with clarity and consistency. Then, in my opinion, you get much more quality in the discussion among yourselves and in the discussion with the Secretary of State.
ParlaMint-NL_2014-12-16-eerstekamer-11.u20	I fully agree with Senator Bröcker, but I would like to stress that this is a new issue, because the cabinet is not taking that group with it for the first time this year. I sort of found out by chance that the CPB doesn't either. I didn't know that.
ParlaMint-NL_2014-12-16-eerstekamer-11.u21	I understand that very well. I understand the context and the background. The CPB refines every year. The databases are getting better and new presentations are being made on the basis of those databases. However, once again, my appeal is to find an opportunity before we enter the political debate, so that Mr Van Boxtel does not have to be invited to do so in order to achieve some consensus on substantive issues, so that we may lose a little less time or at least have a better discussion with each other.
ParlaMint-NL_2014-12-16-eerstekamer-11.u22	I tried to make a proposal to that effect. As part of a technical session, we can look together at what we have, what we have faith in and what we can do better, together with the people who can tell us the possibilities, because I am not one of those people.
ParlaMint-NL_2014-12-16-eerstekamer-11.u23	I wholeheartedly support that proposal. I'll be there for that session.
ParlaMint-NL_2014-12-16-eerstekamer-11.u24	I also support the proposal. I would like to see such a technical session with someone from the Ministry, someone from the Central Planning Bureau and also someone from the Central Statistical Office.
ParlaMint-NL_2014-12-16-eerstekamer-11.u25	That seems to me to be a very productive proposal. I will make every effort to do so. Mr Reuten asked about the policy effects up to 2017. That's what he did in writing. The procedure is as follows: Or should I call it a "tradition"? At the beginning of the cabinet period there are two estimates, covering aspects without policy and policies. The difference is the effect of the coalition agreement. The CPB does not intend to make these estimates in-between. The specialists also believe that it does not serve a purpose, because the difference between "policy" and "policy-free" is no longer visible mid-term. Part of the future has now become history, but what lies in the world and what lies in policy is no longer separate. In this sense, such an interim transfer would not only be a great deal of work, but would also be of limited use. The CPB told me not to feel that way.
ParlaMint-NL_2014-12-16-eerstekamer-11.u26	That has far-reaching implications. In fact, the Secretary of State says: you can never judge our policy, because the world always goes on. I'm sure I can see the problems, but... Well, I said what I said.
ParlaMint-NL_2014-12-16-eerstekamer-11.u27	Ex ante is made an assessment of the impact of the policy, but ex post you never know whether it was the sanctions against Russia or ISIS or the oil price. That's what makes it difficult. On that point, I must disappoint Mr Reuten. Mr Reuten also felt that the collective burden burden should be presented in a different way. This has been discussed at length. I remember that it was even discussed in the General Financial Reviews. In addition, we also exchanged stats with each other. He is quite right that all kinds of presentations are actually wrong to what he says, or all kinds of calculations are possible, for example with or without a pension premium. Maybe we're not entirely in agreement on the right presentation. But in any case, we agree on the fact that it can be done in all kinds of ways and that for different purposes many ways are right. It has been chosen to give the pension premium more the character of a burden than the character of an income. The pension premium has undoubtedly characteristics of a burden. There is no freedom of choice. In return, there is no one-to-one consumption, because in between there are still many redistribution effects. In countries with pension systems other than ours, these figures would also be a burden. After all, this is a matter of public money flows. All kinds of comments were made and questions were asked about the reform of the system.
ParlaMint-NL_2014-12-16-eerstekamer-11.u28	Mr Reuten, you can only make a very brief interruption.
ParlaMint-NL_2014-12-16-eerstekamer-11.u29	Yeah, I'll make it quick. This is a fundamental point, also in the context of the revision of the tax system. We agree on what gross income is, at least I have not heard that there is a difference of opinion. Gross income is taxed. The question then is what we do count as the tax burden and what we do not count as the tax burden. I would also like to have a technical discussion about this with someone from the Ministry and someone from the CBS. In this case, the CPB is less relevant. I would like that discussion to take place, because I believe that this is equally important, even for the coming year, if the reform of the system is put in place.
ParlaMint-NL_2014-12-16-eerstekamer-11.u30	Okay. Maybe we should try programming that in the same session. I'm getting on the system. We have just had fiscal instrumentalism. This also makes the revision of the tax system one major battle against fiscal instrumentalism. In substance, it is quite a calculation, but politically speaking, the abolition of a fiscal instrument alone amounts to pushing an elephant up the stairs. At least, it's like pushing an elephant up the stairs. It's a lot of work, but I hope the beast comes out eventually. Almost all Members have asked how to proceed with this system. There's a collective run for the music. Mrs Sent asked whether special attention would be paid to lower incomes. The answer to this is that a balanced distribution of income is one of the preconditions of the operation. Mr Van Boxtel asked whether the digital economy would be involved in the system review. The letter states that other forms of taxation may be useful in the field of digital economy. I think it'll be there, but I predict it won't have a very big role. That is more detailed than you should expect in a first scripture on the system review. Mrs Sent pointed out that the tax burden between employees and the self-employed was distorted. That is addressed in one of the choices made by the cabinet, so that will certainly be discussed. Mr Van Boxtel asked what arrangements should be made for simplification, abolition or merger. That's a long list. The letter contains a lot of points of reference for simplification. But again, it's something for the music. The letter contains the choices. I'm working on the details right now. I also speak with the political groups of the House of Representatives. Ten of the thirteen political groups are enthusiastic about this. That enthusiasm is sincere, at least for my opinion. I promised the House of Representatives we'd try to get a prototype ready for the summer. A prototype is not yet a working vehicle, but there are so many horns and bells that you see how it becomes. That would mean filling in all eight choices in the letter.
ParlaMint-NL_2014-12-16-eerstekamer-11.u31	I thank the Secretary of State for this explanation, but I am not quite sure yet. Prototypes are also often seen on cars and aircraft. It takes them years to get on the road. You can always enjoy prototypes when you go to car fairs, but you don't see those cars on the road for a while. Carefulness must not be accompanied by haste, but by a necessary pace. I'm not listening to that yet.
ParlaMint-NL_2014-12-16-eerstekamer-11.u32	It has been agreed with the House of Representatives that the prototype is ready for the summer. It is therefore a question of the choices that have been made. However, it has also been agreed that, if the budget leaves some room for this, we will include some of the first elements of this in the 2016 Tax Plan. This is discussed and worked on with different groups in the Lower House, wider than the two or five parties.
ParlaMint-NL_2014-12-16-eerstekamer-11.u33	Thanks for that, too, but I'm not quite sure yet. I would like to ask you very directly: will you reserve enough resources in the spring of 2015 to achieve a reduction in the burden, in which the first measures can already be implemented in the 2016 Tax Plan?
ParlaMint-NL_2014-12-16-eerstekamer-11.u34	Of course, I can't predict that. If I had that predictive gift, the budget might have looked different. In the past year, without expecting it, without having been an exceptionally good economic year and without anyone cheering about a turnaround in the economic tide, we already had a billion more than expected for relief, which has been dropped in the Tax Plan 2015. Unfortunately, at that time, there was no plan to link the load relief to. That's too bad, because you'd prefer to use load relief politically as a lubricating oil. You will then get a free reform and there will be the same amount of relief. Suppose the coming year would develop about the same as the past year. Maybe it'll just blow over budget. We can then indeed put that into a system operation. I can't predict that, but the cabinet chooses to do so without additional cuts. We have said several times in various debates with the House of Representatives that austerity is in no way taboo or excluded. The parties that are most in favour of this are also making proposals. That's a promise, too. The list of Koolmees lives on the other side, which has nothing on it yet, but which, I'm sure, has something on it. That is the state of play.
ParlaMint-NL_2014-12-16-eerstekamer-11.u35	Thank you again. What happens across the street is very relevant but not only decisive. I also ask those questions myself, from the D66 group in the Upper House. I would stress that the process described by the Secretary of State does not yet give me sufficient certainty about the question I asked for, namely: will the Secretary of State release sufficient funds in the spring and present the contours of a new tax plan on the occasion of Princess Day, so that the first measures can be implemented in 2016?
ParlaMint-NL_2014-12-16-eerstekamer-11.u36	Mr Van Boxtel knows that I do not know because nobody knows. It depends on how the year ahead is going to develop. I hope so, and it's not out of the question at all. If we had started this a year earlier, we would have been able to use a first billion in relief for this process. For this reason alone, I would indeed like to start quickly, so that there are no further possibilities for combining the improvement of the system with the reduction of charges.
ParlaMint-NL_2014-12-16-eerstekamer-11.u37	I am a little surprised that the Secretary of State states that there was no plan when there was a reduction in charges. There's all kinds of reports, isn't there? I refer to the Van Dijkhuizen Committee and the Van Weeghel Committee, with very specific proposals. There's plenty of plans. It's just a matter of: make use of it and implement it.
ParlaMint-NL_2014-12-16-eerstekamer-11.u38	In political terms, a plan is something other than an opinion. There were like 10 advices. The CPB had looked at a large number of sub-areas. The OECD has advised us on several occasions. There were reports from Van Weeghel and Van Dijkhuizen. So there is enough advice, but more is needed to speak of a plan in this political constellation. We are now trying to get to that stage.
ParlaMint-NL_2014-12-16-eerstekamer-11.u39	Is it not rather the case that there was no political agreement on what had to be done but that there were plans? However, the time was not ripe to make choices.
ParlaMint-NL_2014-12-16-eerstekamer-11.u40	Then it becomes casusism. What I call an opinion is not necessarily a plan. A plan is a set of measures, with sufficient broad support to move forward. I note that we are working on this. The intention is even to seek wider support in this respect than we normally do for parliamentary pathways, because we want the shoulders to go wide in society. This has to last for years. We have noted that, at best, you can go through a system review every 10 to 15 years. Then you want to find the broadest possible support. That's what we're doing. It comes down to pushing up the stairs of an elephant. Once you have support, as soon as you get through the review, you have to implement it. Then there is another tough implementation path for the Tax Administration. You can't go to sleep right away when the review's over. Once you get the elephant up the stairs, it jumps right into your bed and falls asleep. Then you'll be on the guest bed. So there is still some water going through the Rhine but it is now about gaining strength for the plans, along the lines of the letter. We're working on that right now. I hope with Mr Van Boxtel that we will find enough lubrication oil to be able to take steps already in the 2016 tax plan. I have the feeling that Mr Nagel is asking about the familiar road. He asked whether an extension of a local tax area would only mean that citizens would pay more. That is expressly not the idea. The idea is that the tax shifts from a distorting to a less disruptive basis. The idea is, moreover, that the total in this operation will reduce the burden. The aim is to reduce the net burden from 3 to 5 billion. Mr Van Boxtel asked whether it had been considered to increase the burden of capital. That's been looked at in all kinds of ways. There has also been a comparison with countries and OECD research has been looked at. Then you see that certain assets are taxed lower in the Netherlands. That's two bugs. Half the capital is in the home and in pensions. They are taxed lower in the Netherlands. We are proud of it in the pension system. When it comes to our own home, we have done something about it, after many years. It's phased out. The impression is that when it comes to the typical power in box 3, we are not out of line in terms of power load. We have also seen this, but one can also ask Monsieur Hollande that the very high load of power in such cases can also have very harmful effects. I understand from the Financial Times that London has become the sixth city of France.
ParlaMint-NL_2014-12-16-eerstekamer-11.u41	The sum of those two, the sum of the house-side and box 3 is quite out of order because it is negative in the Netherlands. In international terms, therefore, we are in great disarray when it comes to the sum of these two assets.
ParlaMint-NL_2014-12-16-eerstekamer-11.u42	I note at the same time that the two lowest-tax assets, number 1 and number 2 of the largest reforms of this cabinet, namely in the area of pensions and in the area of home ownership, are the two lowest-tax assets. At least something has been done with that. I also note that, when we are talking, for example, about the capital efficiency levy, we are really talking about box 3. The Netherlands is not out of line in this respect.
ParlaMint-NL_2014-12-16-eerstekamer-11.u43	Something has happened with the mortgage interest deduction, but that does not have a substantial impact on the distribution. It is slightly different in time but it remains to a large extent a tax subsidy with higher incomes having a relatively higher advantage than lower incomes. I deny what happened last year would be end of story if you look at the capital tax as a whole.
ParlaMint-NL_2014-12-16-eerstekamer-11.u44	End of story. I do not have a statement or a prediction in the direction of Mr Van Boxtel either. I'd like to give everyone his own prophecy. I note, however, that this cabinet has done something exactly about these two cases, whereas previous Cabinets have not done so. Maybe that's something that can put a little smile on Mr Reuten's face. Thank you for that.
ParlaMint-NL_2014-12-16-eerstekamer-11.u45	What is the situation with the feeling that the capital efficiency levy is perceived as unfair? Is the Secretary of State still going to talk about that? Small savers cannot achieve the fictitious return.
ParlaMint-NL_2014-12-16-eerstekamer-11.u46	I'm going in now. This concerns the capital efficiency levy. It is perceived by many people as unfair. The letter I sent about that literally says that many people feel they are paying taxes on a return that has never been there. That doesn't make anyone feel right. It looks at the design of the capital efficiency levy. There are all kinds of points of view. Mr Essers asked about the feasibility, for example, of a capital efficiency levy, based on actual returns. Anything's possible, but the IRS is getting quite a headache. Mrs De Boer has even asked whether it can be compared internationally. The reality is that other countries are just looking at the fence and we are receiving all kinds of delegations studying the flat-rate capital return levy. For many people, a more equitable capital return charge does not mean abandoning the flat-rate character. The best thing would be if I found a way to combine the two of them. That's an effort I'm going through. Mr Van Boxtel asked which capital tax according to the OECD Tax Policy Studies is least disruptive. That's exactly where these two come from. A limited distorting tax is that on one's own home. The cabinet has already taken quite a step in that direction. You could include pensions under that. It's the power components that aren't mobile, that can't run. By the way, you have to be careful with all the assets that can escape. Mr Bröcker asked for a response to the Van Weeghel Committee's proposal on the basis for the Vpb. This committee has estimated that the introduction of the capital deduction and addition will result in a loss of 1.5 billion. This requires cover that you will initially seek within corporate tax. It may be logical to tackle this issue again if the results of the OECD's BEPS project are known in autumn 2015. That is, in fact, just before the Dutch Presidency. It is good to then pick up the fishing net and see what the possibilities are. I would like to pay particular attention to a good locational climate.
ParlaMint-NL_2014-12-16-eerstekamer-11.u47	I understand the Secretary of State is done with the answers on capital taxes.
ParlaMint-NL_2014-12-16-eerstekamer-11.u48	I think so.
ParlaMint-NL_2014-12-16-eerstekamer-11.u49	I have also raised the question of whether we are looking not only at the capital efficiency levy, but also at the option of capital increase. In this context, I have asked about the international experience.
