ParlaMint-NL_2014-12-18-tweedekamer-10.u1	It has been some time since the AO was held on road safety. I call Mr De Rouwe.
ParlaMint-NL_2014-12-18-tweedekamer-10.u17	We have had this discussion extensively in the general consultation. Then the SP also came up with its own proposal. We said at that time that, in view of the Minister's commitment, we would like to await her proposal. The Minister has promised that she will look very closely at the SP's proposal to include the speed differences. We are curious about the detailed proposal and we will see what the Minister comes up with. Then we can see if we're in favour or against.
ParlaMint-NL_2014-12-18-tweedekamer-10.u18	I have a follow-up question to Mr De Rouwe's question. I'll build on that. In that general consultation, the SP also submitted a proposal to convert all mopeds to mopeds. According to BOVAG, it costs €450 per moustache bike. What happened to that plan? Has that also been iced in anticipation of the Minister's proposal or is the SP going to submit it? Or was it just a beautiful balloon that was embarrassed?
ParlaMint-NL_2014-12-18-tweedekamer-10.u19	I dispute that amount of €450. We can also decide here in the Chamber that from now on, for example, we will apply the rule that all the rules applicable to the moped scooter will also apply to the moustache scooter. Then you don't have that $450 problem. Our proposal still stands. We would like to discuss this with you and the rest of the Chamber in greater detail. That is why I am not already coming up with a motion that will perhaps be rejected, which will put the plan in the refrigerator. I want to take a long time to work it out and eventually get it realized.
ParlaMint-NL_2014-12-18-tweedekamer-10.u20	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas pedestrians and cyclists are still regularly affected by blind-angle accidents involving trucks and non-physically separated cycle paths on site access roads;]] [[Whereas the establishment of local roads should be aligned with the prevention of such accidents, for example by creating physically separated cycle paths on site access roads and the strategic reduction of stop stripes and shark teeth, so that cyclists prepare themselves before motorised traffic;]] [[calls on the Government, in close consultation with representatives of road managers, to take measures to substantially reduce road accidents between unmotorised and motorised road users in these areas;]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-438]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u21	Mr. Chairman. First of all, I would like to make a motion on the closed lanes. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that closed peaks lead to a great deal of confusion and irritation on road users and do not promote flow and safety;]] [[calls on the government to permanently open peaks in order to combat the current congestion increase and to promote clarity and safety for the driver,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-439]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u22	Then I have another motion on the moustache bike. The PVV doesn't want to bully the moustache, like the SP. That's why I'm filing the next motion. She may not be necessary after the CDA motion on this subject, but perhaps we can strengthen each other. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister wishes to offer the municipality of Amsterdam the opportunity to launch a pilot to introduce a helmet duty for moustache bikes within the municipal limits;]] [[considers that traffic rules should apply nationally and should not lead to differences between municipalities, as this leads to arbitrariness and uncertainty for road users;]] [[calls on the government, the municipality of Amsterdam and/or other municipalities not to allow for a helmet duty for moustache bicycles,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-440]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u23	My final motion concerns the small penalties on highways. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that motorists on motorways are often flashed for minor speeding offences;]] [[noting that this is due inter alia to the lack of clarity of flash margins on motorways;]] [[Considering that these minor traffic offences do not jeopardise road safety and that these fines seem to be mainly intended for the public purse;]] [[calls on the Government to set the speed limits on motorways at 10 km/h,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-441]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u24	Should we abide by the law in the Netherlands? Will Mr Madlener also make an exception for very small thefts?
ParlaMint-NL_2014-12-18-tweedekamer-10.u25	I am proposing to broaden the law a little bit and not to flash at the 10 km/h range. Small fines are not meant to bully motorists to make the state cash, as opposed to what your party thinks. We believe that fines should be paid if people are putting road safety at risk. This is generally not the case with small penalties on motorways. That's why I want to raise the flash margin.
ParlaMint-NL_2014-12-18-tweedekamer-10.u26	I have a question for you, Mr. Chairman. Mr Madlener no longer says at the end of his motions: 'and goes to the order of the day'. Is that a new policy? We're not gonna do that from now on?
ParlaMint-NL_2014-12-18-tweedekamer-10.u27	I think there are also a lot of SP motions where that phrase is missing, Mr Bashir. So a precedent has been created. Thank you very much, Mr Madlener.
ParlaMint-NL_2014-12-18-tweedekamer-10.u28	Mr. Chairman. The AO's been a while. We will soon have the next AO Road traffic and road safety. I would like to focus on a motion concerning fines and collection of fines from EU registration holders. A number of developments are now taking place within Europe. The Cross Border Enforcement Directive should be implemented. The Council of State also recently stated that fines from EU registration holders could no longer be collected on the side of the road, because that would be discriminatory. That is why I am tabling this motion, also on behalf of the PvdA. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is of great importance for road safety that all drivers and drivers on the Dutch roads can be maintained;]] [[believes that it is undesirable for residents from some EU Member States to be able to break traffic rules without penalty, among other things, in the Netherlands;]] [[noting that the Council of State considered that a Polish driver could not be fined in the Netherlands for having to pay in cash;]] [[noting that the CBE Directive, which aims to ensure that motorists from other Member States can also be fined in the Netherlands, is likely to be introduced later in Europe;]] [[calls on the Government to press for a rapid implementation of the CBE Directive at European level;]] [[calls on the government also to ensure that EU traffic offenders can simply be fined and that these fines can simply be collected,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Visser and Mr Hoogland. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-442]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u29	I have nothing but appreciation for the content of the motion. That is what my point is about, because what makes this motion different from the policy of the cabinet? I believe that this motion is 100% in line with government policy. In fact, it is said that tomorrow the sun will shine again. If we file and accept the motion, the sun shines because the motion is filed. That's a bit of an exaggeration, isn't it? I think we have enough motions to deal with today that are really different from government policy. We could spend more time on that.
ParlaMint-NL_2014-12-18-tweedekamer-10.u30	It's nice that the CDA gives its own judgment of value on other people's motions. The Council of State recently said that no more collection should be made on the side of the road. So we ask the government to clarify this, because there has been a lack of clarity. In the meantime, the CBE Directive is also under way, of which it is not clear whether other European Member States are going to introduce it in good time. Our appeal to the government is to give that clarity to the Chamber, so that Mr De Rouwe can make his own assessment of value on the basis of that information.
ParlaMint-NL_2014-12-18-tweedekamer-10.u31	Mr Hoogland no longer has a contribution. We'll wait until the Minister has all the motions. I am not suspending the sitting for that, so I hope you will all sit down for a while.
ParlaMint-NL_2014-12-18-tweedekamer-10.u32	Mr. Chairman. I'll start with the De Rouwe motion in part No. 434. On behalf of the CDA, Mr De Rouwe asked the government to refrain from taking measures to allow the moustache on the main road, possibly in conjunction with a local helmet duty. First of all, let me say that the municipality itself can decide whether or not the moustache bike is allowed on the bike path. That's a jurisdiction of the municipality, which I can't go into any further. Precisely because the municipality wants to do so and I do not intend to introduce a national helmet duty, I have chosen to enable an experiment in the municipalities. I wanted to amend the legislation to ensure the safety of people moving from the bicycle path to the road. In the AA, I proposed that that bill be submitted first, so that the Chamber could discuss its content with me. At the same time, I saw that the number of supporters of that idea was relatively limited. The motion calls for a waiver of measures allowing the moustache to be allowed on the main road. That's not up to me, so I'm gonna dissuade the motion anyway. I also dissuade her, because I want to present my bill later. I will wait and see how the House will vote on it, given the reactions during the general consultation.
ParlaMint-NL_2014-12-18-tweedekamer-10.u33	Mr De Rouwe, you have tabled several motions, but you may ask one question.
ParlaMint-NL_2014-12-18-tweedekamer-10.u34	Then I'll put her on this motion. Has the bill been dealt with in the Cabinet?
ParlaMint-NL_2014-12-18-tweedekamer-10.u35	No.
ParlaMint-NL_2014-12-18-tweedekamer-10.u36	And...
ParlaMint-NL_2014-12-18-tweedekamer-10.u37	One question. Yeah, sorry.
ParlaMint-NL_2014-12-18-tweedekamer-10.u38	I could have tried.
ParlaMint-NL_2014-12-18-tweedekamer-10.u39	Please continue.
ParlaMint-NL_2014-12-18-tweedekamer-10.u40	Then I come to the De Rouwe motion in part No. 435. It calls on the government to evaluate measures to combat nuisance and insecurity of mopeds in 2015 and to consider the extent to which municipalities have made use of the enforcement tools provided. I see this motion as a policy support. I'm going to map this with my colleague from V and J, because if you take action, you're going to want to see how they work, of course. In the motion in part No. Mr De Rouwe's 436 calls on the government to urge municipalities to enforce more effectively in the event of violations on the bicycle path. The government is also invited to urge municipalities, in consultation with VNG, ANWB and VVN, to find solutions in the spatial design, with special attention to cyclists. I see this motion as a policy support. I already have agreements with the municipalities on bicycle safety. Two thirds of the municipalities already have a bicycle safety plan. Next year I will also monitor and guide this. I have also set up an ambassador group of mayors and one of the King's commissioners in order to put their hands together. So I am strict and say that the motion is superfluous. Mr De Rouwe must see for himself what he will do with it.
ParlaMint-NL_2014-12-18-tweedekamer-10.u41	I am also strict, because you said'support of policy' in the previous motion and again in this motion. So it's up to the Chamber?
ParlaMint-NL_2014-12-18-tweedekamer-10.u42	The motion in part No. 435 was something new, because it calls for an evaluation and I had not yet promised it. The motion in part No. 436 is about something we are already doing, so perhaps it is a good thing that I say very clearly about this motion: superfluous. I just never know if that's an appropriate understanding.
ParlaMint-NL_2014-12-18-tweedekamer-10.u43	That is a very appropriate concept if you think it is, but there is an appreciation. If you find the motion superfluous, that is "judge chamber" or...
ParlaMint-NL_2014-12-18-tweedekamer-10.u44	Then I say, judge Room.
ParlaMint-NL_2014-12-18-tweedekamer-10.u45	Judgment of the Court, therefore, before the motion in part No. 436.
ParlaMint-NL_2014-12-18-tweedekamer-10.u46	Excuse me. I continue to struggle with these concepts, Madam President. I'm getting to the motion on part No. 437, by Mr Bashir. It invites the government, in consultation with BOVAG, ANWB and Fietsersbond, to draw up a plan to bring the benefits of wearing a bicycle helmet to the attention of cyclists. He has a few considerations for that. I reject this motion, not because I do not want to do what Mr Bashir asks, but because we are currently conducting a trial in Zeeland with a bicycle helmet for children. In fact, we are already taking a first step with this test. The result is known in 2016. After that, I would like to see whether it is useful and necessary to actually draw up such a plan. So I don't want to do an experiment and get everyone on the helmet at the same time. That's why I'm dissuading the motion. In the Van Tongeren motion in part No. 438 the government is invited to take measures with representatives of road managers to substantially reduce road accidents between unmotorised and motorised road users on site access roads. I doubted for a moment how to read and interpret the motion, because in principle road managers such as municipalities, provinces, empire and union are constantly in consultation on road safety and how it should be organised. However, it is stated here that the government must take action. I would like to go in consultation with the road managers, but every government layer has its own responsibilities. I do not want those responsibilities with this motion on my shoulders. I therefore advise against this motion, but the Chamber knows that we are constantly having these conversations with road managers in line with that.
ParlaMint-NL_2014-12-18-tweedekamer-10.u47	The Minister is right that I have not written this clearly enough. I mean, so that road managers take the measures.
ParlaMint-NL_2014-12-18-tweedekamer-10.u48	I shall now turn to the wording that I have just given to the motion for a resolution on item No. 436 have learned: I leave the judgment to the Chamber, because this is something we are already doing. So my own appreciation is that the motion is superfluous. I'll leave the judgment to the Chamber.
ParlaMint-NL_2014-12-18-tweedekamer-10.u49	Is that the motion in part No. 438?
ParlaMint-NL_2014-12-18-tweedekamer-10.u50	Yes.
ParlaMint-NL_2014-12-18-tweedekamer-10.u51	You said earlier that you would betray it.
ParlaMint-NL_2014-12-18-tweedekamer-10.u52	Mrs Van Tongeren then amended her text.
ParlaMint-NL_2014-12-18-tweedekamer-10.u53	Okay, and then you change your judgment. I get it. Mrs Visser, you may intervene only on your own motion. It's gonna be at the end.
ParlaMint-NL_2014-12-18-tweedekamer-10.u54	I have a point of order.
ParlaMint-NL_2014-12-18-tweedekamer-10.u55	A point of order is about how I do something in the meeting, not about how the minister does something.
ParlaMint-NL_2014-12-18-tweedekamer-10.u56	Then I would like to make a comment on your advice to the Minister at the motion on item No. 436.
ParlaMint-NL_2014-12-18-tweedekamer-10.u57	No, sorry, this is not a point of order. This is a judgment.
ParlaMint-NL_2014-12-18-tweedekamer-10.u58	Mr President, it is quite a matter of whether the Minister considers a motion to be superfluous and therefore leaves it to the Chamber to decide whether or not to advise the motion. You interrupted the Minister's explanatory statement. She said only the first part, but there is also another part that she thereby betrayed. Does the Minister intend, in the context of the assessment of the motions, if they are unnecessary...
ParlaMint-NL_2014-12-18-tweedekamer-10.u59	This is really a question. On the motion in part No. 436 she really said "judge chamber." The motion in part No. 435...
ParlaMint-NL_2014-12-18-tweedekamer-10.u60	Supporting policy and judgment Chamber.
ParlaMint-NL_2014-12-18-tweedekamer-10.u61	Judgment Chamber; that's how the Minister did it.
ParlaMint-NL_2014-12-18-tweedekamer-10.u62	So unnecessary, judgment room.
ParlaMint-NL_2014-12-18-tweedekamer-10.u63	Mrs Visser, let's leave it at that.
ParlaMint-NL_2014-12-18-tweedekamer-10.u64	Needless to say, Room judgment, yes. In the motion in part No. Mr Madlener's 439 calls for the permanent opening of peaks. We have also had this discussion in general consultation. For reasons of road safety, it is desirable to be able to use the off-peak traffic lanes as an escape lane. Moreover, due to road safety at many peaks, it is necessary to reduce the speed of opening up. Permanent opening means a permanent reduction in speed, even if it is undesirable at times. I therefore advise against this motion. In the motion in part No. 440 by Mr Madlener, the government is invited not to allow the municipality of Amsterdam and/or other municipalities to introduce a helmet obligation for moustache bikes. In this way, Mr Madlener actually states that he does not want me to table the legislative proposal I would like to table. I therefore give the same judgment as on the first motion: I dissuade the motion, because I think it is important to be able to give the moustache cyclists safety with the helmet, when they are moved to the road, and to make it possible to experiment in a municipality. I told you, I've tasted the proportions. So I'll wait and see what the Chamber does. Also the motion in part No. 441 by Mr Madlener. It calls on the government to set the speed limits on motorways at 10 km/h. Those flash margins are already low. Breach of the standard should not be promoted. The flash margins are therefore not adjusted. That's why I advise against this motion. This is also in the area of my colleague from V and J, but I am happy to say this on his behalf. The motion in part No. 442 by Mrs Visser and Mr Hoogland. It calls on the government to ensure that EU traffic offenders can simply be fined. I see this as a policy support. Decision-making on the new CBE Directive is at a final stage. My colleague from V and J expects the new directive to come into force well in time, before 6 May 2015. It is still possible to collect fines. The Ministry of V and J is examining the possibility of improving the regulatory framework in this area.
ParlaMint-NL_2014-12-18-tweedekamer-10.u65	Mrs Visser, I made it clear that you did not have a point of order when you made an interruption. I am not going to allow an interruption, which everyone should have on their own motion, now.
ParlaMint-NL_2014-12-18-tweedekamer-10.u66	The votes on the motions tabled will take place this evening.
