ParlaMint-NL_2014-12-11-tweedekamer-6.u1	In this VSO, I am the first to give the floor to Mrs Ouwehand of the Party for Animals.
ParlaMint-NL_2014-12-11-tweedekamer-6.u12	In conclusion, I would like to say that GroenLinks has said from the outset that in the Netherlands certainly the last fossil remains should not be removed from the earth and that shale gas and other unconventional gas are certainly included. We need to be much more careful with the existing stock in Groningen. Following the advice of State supervision of the Mines is of the utmost importance for GroenLinks.
ParlaMint-NL_2014-12-11-tweedekamer-6.u13	Mr. Chairman. The SP wishes to congratulate all parties who have submitted views on the shale gas file. That is a nice democratic instrument. The level of views was generally very high and they were deep digging. That is a good thing. I believe that in June we held a debate on shale gas, where positions have become more or less clear. I do not think there is much difference between then and now, with the exception of the climate debate we had last week, which led to a new reality by adopting Mr Samsom's and Mr Van Ojik's motion. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that shale gas extraction in the Netherlands is no longer a serious option;]] [[calls on the Government, because of this fact, to ensure that no test drilling is carried out and not to renew licences in respect of such drilling,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that shale gas extraction is not at issue in the near future;]] [[Whereas this has greatly reduced the urgency of the research into shale gas extraction and the preparation of an environmental impact assessment and a structural vision of Shale Gas;]] [[Whereas research into promising forms of renewable energy generation and utilisation is of the highest priority;]] [[calls on the government to close the route towards Shalegas Structural Vision and to use saved resources to accelerate the transition to sustainable energy use,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-21]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-22]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u14	It remains for me to say that the SP will support the Minister in his good and clear efforts to bring the energy agreement to a successful conclusion. With the motions, we have expressed a clear position on this point.
ParlaMint-NL_2014-12-11-tweedekamer-6.u15	Mr. Chairman. The visit to the United States has taught me that you need to be careful and that you need to look more closely. It indicates that we need to clarify this for the citizens. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, by adopting the Samsom/Van Ojik motion in part No. 50 (31795) this cabinet period will not be decided to grant a permit to drill shale gas;]] [[Whereas the population in the possible shale gas extraction areas concerned in the Netherlands would like to have clarity as to whether there is a chance that a subsequent cabinet might be able to issue permits;]] [[calls on the Government to carry out all preparatory investigations during this cabinet period;]] [[also invites the Government to clarify to the relevant areas that shale gas extraction will not take place, if the research results give cause for this,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-23]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u16	Mr. Chairman. D66 would also like to know from the Minister how he is going to carry out the Samsom/Van Ojik motion and what is and is not part of it. We are still not sure that there could be no risk to our groundwater in the implementation of that motion. That is why I have tabled three motions which, in any case, aim to exclude risks to our groundwater and drinking water. Perhaps the motions are superfluous after the Minister's decision on the implementation of the motion, but I will submit them in advance, just to be sure. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the current Guarantee Fund cannot be used to repair damage to groundwater quality;]] [[Whereas a compensation fund is necessary to finance damage to groundwater quality, including in the long term of 100 years;]] [[calls on the Government to broaden the use of the mining fund so as to ensure financially that damage to groundwater quality can always be repaired;]] [[calls on the Government to make a contribution to the mining fund conditional on the granting of a shale gas drilling permit and to develop a proposal for the level of that contribution;]] [[calls on the Government to state clearly that these contributions do not replace the liability of companies,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the motion in part No. 11 (33952) of Jan Vos c.s. adopted the request to the Government to exclude unacceptable risks to groundwater;]] [[Whereas monitoring of groundwater quality is now regulated for shallow groundwater, but monitoring of deep groundwater is still not guaranteed;]] [[Whereas the Witteveen+Bos report indicates that monitoring and additional drilling gas measurements are necessary to control risks from gas transfer to aquifers;]] [[whereas you will not find the substances you are not testing for;]] [[calls on the Government to make a monitoring programme for deep groundwater mandatory;]] [[calls on the Government also to draw up a monitoring protocol ensuring that:]] [[monitoring shall always be carried out on the substances used in the fracking liquid, including timely updating of the list of those substances when modified;]] [[at the drilling sites, which substances rise with the liquid, and that on these substances, too, the penetration to the deep and shallow groundwater is monitored structurally,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-24]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-25]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u17	I'll do it very quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are concerns about the potential risks of shale gas extraction for the quality of groundwater used for the supply of drinking water;]] [[Whereas drinking water companies have a high level of know-how in the field of the protection of drinking water sources;]] [[calls on the Government to include in its legislation a mandatory opinion from the drinking water companies, which can only be justified by a derogation;]] [[calls on the Government to ensure that both the opinion and the response are publicly available in good time,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-26]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u18	Mr. Chairman. When there is talk of shale gas, it seems as if it is some sort of toxic gas, which is being brought out in a devilish way and which only brings great misery to society as a whole. But actually it's just natural gas, and natural gas is in stone. You've got something a little more porous. When the gas comes out, we call it natural gas. You've got a solid rock, too. When the gas comes out, we call it shale gas. That's the difference. I've never wanted to make shale gas bigger than it is. I have seen very well from the beginning that there are hooks and eyes to shale gas extraction. I also have a neutral view of shale gas, because I would like to see first of all what exactly is going on around shale gas, which we all have to take into account and whether we should get started. I've never wanted to make it bigger than it is, but I don't feel like making it smaller than it is. My files state that there are indications that there is shale gas in the Dutch soil that could cover our annual consumption for a period of five, ten and perhaps twelve years. This means that all 8 million households in the Netherlands now using gas can be covered. This also applies to natural gas cooking and to 60% of our electricity production, which is produced by gas. All this could be taken out of the shale gas for five, ten or maybe even twelve years. The value of the shale gas, i.e. the net yield for the State, could be between EUR 12 billion and EUR 42 billion. When you talk about such things, it seems logical and sensible to me to first examine what exactly is going on before you make decisions and make statements. I'm working on those tests right now. Those are several investigations. I am conducting a study with an EIA, which will identify and describe all possible environmental impacts. I am in the process of examining whether shale gas could play a role in the energy transition we are working on, i.e. the transition to renewable energy. What's that all about? I am also in the process of examining the possible role of shale gas in a long-term natural gas strategy. And I'm in the process of researching clean techniques to get shale gas out of the ground. It seems logical to me, once you have started that investigation and given orders for it after there has been a discussion with the Chamber, to finish that investigation before you make all kinds of statements about it. I have been asked what I think of the Samsom/Van Ojik motion. That motion states that there should no longer be extraction of shale gas during this cabinet period. That's right. That is not going to happen either, because we are in the process of doing those investigations and we are not going to see if we are going to continue with a structural vision until the second half of 2015. Then there will be a time when a decision will have to be taken on possible test drillings. Only then will the extraction be dealt with. This extraction is so far away; it certainly does not happen during this cabinet period. Those test drillings really seem like something you have to decide when you've finished the investigation. We owe that to the citizens of the Netherlands, don't we? When we talk about 12 to 15 times the use of natural gas and an amount of EUR 12 billion to EUR 42 billion, we need to prepare ourselves well before we decide on this. I have those tests to prepare us well. That is important to me, to the Chamber, I hope, and, I think, also to the Dutch citizens. That is why I am in favour of completing these investigations properly and then looking at what we are going to do. The first motion is the motion-Ouwehand in part No. 215 in which the government is asked to withdraw the search permits. Those search permits were once granted under the laws in force. I can't just move them in. There are grounds in the law on the basis of which withdrawal may be considered, but I do not believe that these grounds now give me the opportunity to withdraw them. If I did, there would be a situation with legal hooks and eyes and possible effects. Then you end up in an atmosphere that is not constructive at the moment. That is why I have to say to the companies that have said those permits: we are going to freeze it, we are not going to do anything with it; we are going to do the investigations and talk to the Chamber about what we find and want, after which I will decide whether or not to withdraw permits and whether or not other permits will be dealt with further. I think it would be much better to do that at such a time than to make statements about it now. I therefore advise against Mrs Ouwehand's motion this time too.
ParlaMint-NL_2014-12-11-tweedekamer-6.u19	First of all, I would like to congratulate the Minister for refreshing his chemistry, or earth sciences. He told us what shale gas is.
ParlaMint-NL_2014-12-11-tweedekamer-6.u20	What's your question?
ParlaMint-NL_2014-12-11-tweedekamer-6.u21	My question is, how are we doing with the search permits? I hear the minister right. He says, "We're gonna do the research first." We also owe this to the citizens of our country. After that, we decide whether or not we're gonna experiment. The question is what then remains above the market in the meantime with those search permits issued. When I tabled the motion, there was already discussion as to whether the companies concerned fulfilled the conditions to retain that licence. That is what the Minister and I are still disagreeing on, and I would like an analysis on that point. The next question is what the status of those permits is. I understand that one of the two has already expired and that the Minister has arranged some kind of extension. How's that? The other one runs in six months. How's the Minister handling that?
ParlaMint-NL_2014-12-11-tweedekamer-6.u22	I have frozen it, and that means that I will not allow extensions to expire either. That would not be real for those companies. Those companies applied under the Mining Act, Article 21 (1). Then I have to decide. I told those companies, let's not do that. Some applications are there, others have already been made. I said to the two companies involved, Quadrilla and Hexagon: let's freeze all of that. So we do not allow time limits, we do not use permits; we do not do anything. We're gonna focus on that investigation first. Those companies have agreed to this. This means that there will be no change in the position of those licences or applications throughout that period.
ParlaMint-NL_2014-12-11-tweedekamer-6.u23	However, I would like to know from the Minister whether the expiry of the licences is possible, because that is, in any case, an option. In view of the moratorium that the Chamber wants, that seems fair to me. Does the Minister see any difficulties in issuing a new licence if the final decision is to proceed to search and test drilling? And I'd like to know from the Minister what "freeze" means legally. Is that a new instrument being introduced? I apologise for the many questions, but this has to be clarified.
ParlaMint-NL_2014-12-11-tweedekamer-6.u24	This was the last question on this point, Mrs Ouwehand.
ParlaMint-NL_2014-12-11-tweedekamer-6.u25	I am not prepared to allow applications or deadlines to expire. I am implementing the reality created by the Chamber, and that reality is that the Chamber does not want test drilling and drilling, but research first. Then we'll see what happens. I told the companies, which had some permits and some applications, that we were leaving everything as it is. "Free," I call it. Then we are going to do justice to what we, me and the Chamber, have set in motion, namely the investigations. Only when that is done will the political decision-making come and we will see what we will do with those permits. I think that is a very reasonable way of dealing with the current situation. Political decision-making is my priority. What rules surround it is intended to do justice to political decision-making. I'm trying to do it carefully now, I think. I have also received the cooperation of the companies and I would like to hold on to them. That was Mrs Ouwehand's first motion. In Mrs Ouwehand's motion to item No. 14 states that after the completion of the shale gas plan, a new decision must be taken and that we should not immediately draw up a structural vision. Of course, I'm not going to draw up a structural vision right away. When those four investigations that I have just mentioned have been completed, I am going to look at them all and draw my own conclusions. I'll present it to the Chamber. The Chamber can then talk about that. Then I'll see if we can draw up that structural vision. But I certainly don't automatically go through with the structural vision. As far as I am concerned, we are going to do the political decision-making, which has been and should be made, in a careful way. Mrs Ouwehand's motion is therefore superfluous, because it is all reality.
ParlaMint-NL_2014-12-11-tweedekamer-6.u26	It is nice that the Minister actually embraces the motion, but this has not been clear from his plans so far. So I'd like it better if he said, "This is a good idea, Judgement Chamber."
ParlaMint-NL_2014-12-11-tweedekamer-6.u27	No, it really can't be that I'm going to do research... four tests for almost a year... and then with blinders on immediately into a structural vision. I don't know if I'm going into a structural vision at all. All I know is that I'm doing research, I'm neutral about it, and I want to look at the results of the research to see if we're going to have a structural vision. So the suggestion that I would do otherwise is not justified. That's why I don't recommend the motion. In the motion in part No. Mrs Ouwehand says that I need to make a new note of scope and level of detail for the planner. I do not intend to do that, because we have followed the procedure as it should be. There's gonna be a note like that first. They'll respond to it. The reactions were then responded to. Afterwards, the legal procedure is followed to arrive at a plan-mark. I just want to hold on to that, which is why I'm deposing this motion. I'm arriving at the motion on part No. 16, but before I go into that, I'll go to Mrs Mulder of the CDA first. He also asked what I am doing with the motion by Mr Van Ojik and Mr Samsom. I've already answered that. She asked questions about injecting wastewater into Twente, as she calls it. I do not see the link with the subject at hand. She also asks me if I want to respond to a professor's opinion. The Chamber has already asked questions on this subject. I think it would be useful to look at this whole issue, also on the basis of Mrs Mulder's questions, and to inform the Chamber about it. Then we can have a separate discussion on that subject. Then Mrs Dik-Faber, who unfortunately could not stay, has the motion in part No. 16 requesting the termination of the shale gas extraction investigation. I would find that very careless. First we get research going, then we get busy, and then we're gonna end it again. Moreover, because the investigation is also of great social relevance, I must advise against the motion. Mrs Dik-Faber asked the government in the motion in part No. 17 to exclude drilling-free zones and strategic groundwater resources in advance. I don't want to rule anything out in advance. I'd like to start the planner and other investigations. On that basis, I want to see what can or can't be done. I'm not gonna tell you what to do in advance while the investigation is still going on. So I advise against this motion. Mrs Tongeren says in the motion in part No. 18 that all wells near the epicentre of an earthquake must be inspected for integrity. I have no fear whatsoever that the person responsible for the extraction of natural gas, the NAM, would not be so wise to respond adequately if something were to happen. Of course we do, and of course we have to do so. This is part of the care that can be expected of the company and for which the legislator has also laid down rules. That extra incentive is not necessary. What needs to happen after an earthquake will happen. I advise against this motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u28	Is the Minister saying that this is already happening in all cases in the Netherlands? Is there a good look at old wells, water wells and gas extraction pits around the epicentre of an earthquake?
ParlaMint-NL_2014-12-11-tweedekamer-6.u29	I say the company that wins natural gas acts professionally. It does what needs to be done, because it wants it to be done and because the legislator wants it to be done. There is the care required in relation to natural gas extraction and wells. What should happen after a calamity, happens. I have no doubt about that. There is therefore no need to speak separately as a Chamber. That's why I advise against this motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u30	Is it possible that these companies or the SodM will put on their site the reports of the inspections they apparently do after an earthquake, possibly just the part that is not business sensitive? We've been looking into this, including in Groningen, but also in Twente. A lot of these reports cannot be found: not whether there is monitoring, not whether there is monitoring or whether damage has been found. The Minister has confidence in these companies, but citizens still have to work on that trust. Is it therefore possible for these reports to be made publicly available in any case?
ParlaMint-NL_2014-12-11-tweedekamer-6.u31	I do not know whether citizens' confidence will be increased by making things public and accessible. Everyone knows that the NAM is a very professional organisation, with a lot of technology behind it, also because of the participating companies. Everyone also knows that we have worked out and laid down our mining regulations very well. As far as I am concerned, there is no reason for doubt and no reason to make anything and anything more public than now. I really don't need that. I can only advise the Chamber against this. Mrs Van Tongeren asks in the motion for a resolution for item No. 19 to make all the information of the SodM public. She wrote underneath that it was all non-business sensitive information. There are rules on public access and they are followed. I don't know who's gonna be any better if everything that isn't business-sensitive at SodM is made public. The SodM has its own responsibility. The rules on public access must be respected. The SodM must do its job well and give me good advice. It's all arranged in a precise way. I'd like to leave it at that. After this debate, I do not want to instruct the SodM to disclose all non-business sensitive information at once. I don't see the advantage of that. The motion in part No. 19, I advise.
ParlaMint-NL_2014-12-11-tweedekamer-6.u32	This is very common with a lot of other inspections. For example, it is possible for both citizens and MPs to check. I asked questions over a year ago, including the water injection at Borgsweer. The Minister then made a commitment to publish certain documents on the SodM site. Those pieces are still not on there. This does not help the local population and politics, but it does not help the Chamber in its ability to control the minister. That's why I'm making this request. If the four-week deadline is too short or if there is a selection to be made, I can imagine that. It is an independent inspection, in the interests of the whole of the Netherlands.
ParlaMint-NL_2014-12-11-tweedekamer-6.u33	Your question is clear.
ParlaMint-NL_2014-12-11-tweedekamer-6.u34	Other inspections publish their documents in that way. Shouldn't the SodM be doing this, too?
ParlaMint-NL_2014-12-11-tweedekamer-6.u35	I'm sticking to my advice. Mrs Van Tongeren says that I made her a commitment that I did not honour. I will find out exactly what that commitment was and what happened to it. I shall also inform the Chamber separately. In the motion in part No. Mrs Van Tongeren and Mrs Dik-Faber say that waste water must be treated to a quality on which it can be discharged. In general, it is about an activity in which water rises from the deep bottom. The practice now is that the same water returns to the same deep soil. Mrs van Tongeren says that we should not do that and that we should not want that cycle. She wants to purify that water before it goes back into the soil. I do not see the point of saying that as a Chamber. I think there are a lot of consequences. The first logic is not obvious to me either. I think it makes more sense to bring back what you're getting out of it in the same place and in the same state. I think that makes more sense than this Chambermove. I therefore recommend that Mrs Van Tongeren's motion be rejected in respect of item No. 20.
ParlaMint-NL_2014-12-11-tweedekamer-6.u36	This is a misunderstanding. This is not what Mrs Van Tongeren says. This is what the Minister says in his answer to the questions of the Chamber. I would like to point out the second point: 'whereas, in the framework of the structural vision, the Minister states that shale gas cannot be reused in return water, it must be purified to a quality on which it may be discharged'. I also agree with him that you should first use the water as often as possible. Anyway, these are the Minister's words. That is why I am asking for these words to be made clear. The fact that this must be done is not the assumption of Mrs Van Tongeren, but of the Minister himself.
ParlaMint-NL_2014-12-11-tweedekamer-6.u37	For my own assumptions, I don't need any motions. It's not about getting water out of the deep bottom and bringing it back. It's about water that you don't want to bring back, but want to reuse in another way. Then you'll have to clear it first. That all makes sense to me. I do not think it would be wise to make another statement to the House on this matter. Mrs Van Tongeren says that this should be made a condition when issuing new permits under the Mining Act. I think we should be careful about issuing permits under the Mining Act. If there is a problem, it must first be shown that it is a problem and then we must try to find a solution. In this debate on shale gas extraction, I do not see any general reason to include additional provisions on waste water in the Mining Act. That's why I'm dissuading the motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u38	There is no mention in the Minister's example of possible waste water injection. It just says that the water is going to be discharged and purified. The Minister must either do something in the spirit of this motion or adjust his sampling with wastewater injection. During our work visit in America, we learned that it is not a few swimming pools full, but 500 large tank cars a day. There is no mention at all of this in the drawing up of the pilot drills described by the Minister in this plan. Whether the water should be of the level that you can discharge it, or the test set-up should be supplemented with an injection site and all the infrastructure needed for that, plus monitoring.
ParlaMint-NL_2014-12-11-tweedekamer-6.u39	I don't know if those 500 tank trucks with wastewater are gonna get there at all. All I know is that we're doing research and we haven't even done test drilling yet. Borings are certainly not at issue in this cabinet period. When that investigation is done, we'll see if there are any test drillings. If there are these test drillings, there are all kinds of things about which we are going to decide as far as I am concerned. We'll do that on the basis of the research that's being done. All relevant things that have environmental effects are examined in one of the four studies. In addition, we have three other investigations. I think it would be much better to await these investigations before again imposing new requirements and new conditions. I think that is more than premature; that is why I reject the motion. In his motion, Mr Smaling asks for item No. 21 in order not to allow test drilling to take place and not to renew permits. I've already told you how I feel about that. I've already advised against the other similar motion. That's what I'm doing with this one. Mr Smaling said that the route towards the shale gas structure vision should be closed. I don't intend to. I'm just gonna do the tests and then see if we can draw up a structural vision. Mr Smaling's motion for a resolution Twenty-two, I'm guessing.
ParlaMint-NL_2014-12-11-tweedekamer-6.u40	I know the minister as a man with a plan that's very purposeful. That's what's good for him, too. There are times when the government must take the people by the hand, but there are also times when the people must take the government by the hand. I think there is such a turning point now, because the motion was adopted on Tuesday. I understand that it's not easy for the minister to mentally turn that around, but I still think it should. My question is whether he's already made that cover in his head. I can see that this is not the case.
ParlaMint-NL_2014-12-11-tweedekamer-6.u41	No, I didn't make that cover. One time I'm in the Chamber and I hear that Arctic oil isn't allowed. The other time I hear that we should not depend on gas from Russia. Then I hear again about the earthquake problem of natural gas in Groningen. Then there is nuclear energy, on which a large part of the Chamber has negative views. Now a few more dozen motions are being tabled on shale gas. What I also know is that citizens in the Netherlands very much want their homes to remain heated, that they can continue to cook and that electricity remains. If there is 12 to 42 billion in the ground, for which you do not have to pay taxes and which you can get because you are getting something out of the ground, those citizens also want at least to think about it and investigate it. If, while the investigation is ongoing, I close the route towards the Structural Vision in advance, and therefore also close the road towards possible shale gas extraction completely, I do not think I am working in the interests of the citizens. That's why I don't recommend the motion.
ParlaMint-NL_2014-12-11-tweedekamer-6.u42	The Minister does sketch a bit of the argameddon. Is it armageddon or argameddon? I never know. I do not see the future of our energy as bleak as our minister. There are a lot of roads leading to Rome. We've put billions in saving banks and Greece and everything, and we're still here. In that sense, I do not share the Minister's very serious concern. It is fine to finish the existing contracts with the institutes that are doing research now, that is clear. But I would like to call on him to really slow down afterwards, given the situation in the Chamber now and all those shale gas-free municipalities, provinces and so on. Whether he denies or embraces these motions, I would like to tell him once again that the change in thinking really must happen.
ParlaMint-NL_2014-12-11-tweedekamer-6.u43	Against the current of "we are against windmills on land near us, against windmills at sea if we can see them, against shale gas, against nuclear energy, we want the gas extraction in Groningen to stop because of the earthquakes, we do not want North Pole oil, we do not want gas from Russia," I stand up for the citizens in the Netherlands. They really want their house warm, they want to cook and they want power coming out of the sockets. I'll stand up for them. I therefore believe that we should take a careful decision. I want that on all these subjects, including shale gas. That is why I say in the interests of the Dutch citizens: let us not make this kind of statement, but let us finish the investigation first and then look at what is responsible and what is not responsible. I'm open and neutral in there. I'm not gonna do things I'm gonna do to get in the way of the Chamber or interfere with the investigation. I'll do the investigation, and when the results come up, I'll put them to the Chamber. We can come to conclusions on this basis. I think that's wise. The motion in part No. 24 by Mrs Van Veldhoven...
ParlaMint-NL_2014-12-11-tweedekamer-6.u44	First there is the motion in part No. 23 by Mr Klein.
