ParlaMint-NL_2014-12-15-eerstekamer-4.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2014-12-15-eerstekamer-4.u14	Yes, of course, we are not trying to formulate the concrete legislative text here. However, that should not be an argument for not thinking at all about it and not challenging the Secretary of State to come up with regulations that can remove the bottlenecks. That is the essence of my speech. Soon Emeritus will publish Professor Fiscal Economy, Leo Stevens, a new edition of his 2001 Income Tax Handbook. As a kind of package leaflet accompanying this handbook, the publication "100 years of income tax and how to proceed?'. In this brochure, Stevens has provided an overview of, in his view, "wishful and feasible legislative possibilities for reform" which could lead to effective simplifications and adjustments to existing income tax. In the reply, the State Secretary states that he does not wish to anticipate the results of the tax review and that he is therefore unable to respond to Professor Stevens' proposals in that context. We regret this reaction. Many of Stevens' proposals cost little or no money, but they do lead to an improvement and simplification of our tax system. Why wait for the new system if these proposals can be introduced with little difficulty in the short term? By way of example, I would like to mention the following proposals: adjustment of the set-off of personal deductions, proposal 3, silent transition from business to activity, proposals 4 and 81, adjustments to the concept of a partner, proposals 10 and 11, broadening the distribution of income between partners, proposal 14, replacing the book value requirement with the reinvestment reserve in a residual value requirement, proposal 27, and I could go on for a while. We would like to hear the reaction of the Secretary of State. Compared to 100 years ago, fiscal instrumentalism has taken a very big turn. That started in the 1970s and 1980s. This phenomenon leads to far-reaching complexity, resulting in additional administrative burdens. It also has the effect of creating constant tensions with the principle of equality. Last year, when examining the Tax Plan 2014, the First Chamber adopted a motion on fiscal instrumentalism tabled by myself and colleague Bröcker of the VVD. This motion calls on the government, first, to develop policies to substantially reduce the number of tax expenditure, secondly, to introduce new tax expenditure only after the objective and necessity of this have been demonstrated, in conjunction with an ex-ante evaluation, third, to periodically monitor and evaluate the effectiveness of these measures, and finally to link the duration of new tax expenditure to a horizon. The members of the CDA Group have asked the government in the report to indicate to what extent it has implemented this motion in the preparation of the 2015 Tax Plan, in particular with regard to the now amended lease scheme. In the reply, the State Secretary points out that the 2015 Tax Plan does not contain any new tax expenditure. On the other hand, however, there is no question of a structural reduction in tax expenditure. The same applies to the State Secretary's reply on how this motion was applied to leasing arrangements. The answer given by the Secretary of State that this is a change to an already existing regime is, of course, not satisfactory. Instrumentalism must be reduced, and the same applies to existing regulations. Let me therefore put the question differently. Would the Secretary of State have in mind this arrangement with the motion if it hadn't been there yet? In the Essers/Bröcker motion, the instrumental use of taxes is not excluded, but it indicates that you have to use a review framework before you, as a legislator, decide to do so. Some fiscal measures may indeed be useful and useful under the conditions laid down in the motion. In view of the still existing problems in the housing market, for example, we can agree with the measures contained in this Tax Plan to stimulate the housing market. One of the proposals envisages the longer deduction of residual debts for debts arising after 29 October 2012. To our question why this scheme cannot also be applied to residual debts that arose before 29 October 2012, the government answers that it does not intend to do so because the owners in the category concerned have already sold their property. Then there is no reason to promote flow. But is this a convincing argument? A recent report by the IMF shows that the Netherlands should pay particular attention to the debt position of existing homeowners, especially the younger mortgage lenders. That's what's going on here, isn't it? Moreover, it should be ensured that this category is not able to buy a new property in the long term due to this debt position. I would therefore like to ask once again the attention of the Secretary of State for this. Much has already been said about the landlord levy. Apparently, the government does not want to understand that this tax is really a blockage for the creation of new investments by housing corporations. Recent reports on increasing reserves held by housing corporations for future attacks confirm this. I repeat our plea that this levy should include additional incentives in the form of tax rebates for new investments, because that is what the sector needs very much. I'd like a response from the government. I've come to the problem of fees. In the reply, the Government states that it is considering whether institutions in the childcare sector can receive the childcare allowance by default, but that it does not, for the time being, see any reason to pay the allowance directly to the institutions themselves. Can the Secretary of State make it clear on the basis of a cost-benefit analysis on which this statement is based? All reasonableness seems to have disappeared when it comes to the application of the partner concept in reception situations. If a person who is homeless or, for example, has run away from a violent spouse ends up in a shelter and lives with several persons in alternating combinations with and without children in this home, there may be undesirable consequences for the scheme of inter alia the allowances. If two adults are registered at the same address in the Basic Registration Persons and a child of one of them is registered at this address, they are compulsory partners for income tax and supplements. There is only a counter-proofing option in the case of rental or sub-lease. The members of the CDA Group call on the government to put an end to this absurd situation, in which people who have nothing to do with each other but only happened to be temporarily in the same shelter, as partners. Doesn't Stephen Hawking's prophecy threaten that robots are going to dominate man to become truth? In the end, must man always be able to repair absurd outcomes of a computer model? In this context, I welcome the statement made by the Secretary of State in the note following the report that there has been a discussion at official level with the Federation of Reception. We are of course curious whether this discussion has already led the Secretary of State to the decision to make an exception to the concept of a partner. It would be a nice gesture in these dark days before Christmas. We have also taken note with great interest of what the Secretary of State tells us in the reply about the progress of the BEPS project. Could the Secretary of State explain why, in the context of the innovation box, the innovations for which an S&D certificate has been issued may no longer be covered by this box in the future because of the so-called modified nexus approach? And is it true that in the future it is not only a requirement that the user of the facility has produced the intangible asset itself, but also that all development activities must take place in the Netherlands? How does the Secretary of State feel about this? Last year we expressed all our concerns about the lack of democratic legitimacy of this BEPS project carried out by the G20 and OECD. Can the Secretary of State indicate what the follow-up will be when the entire BEPS report is completed? When will the national parliaments be discussed? Do they have anything to say at all? How does he envisage the possibility of a multilateral instrument under which tax treaties could be adapted without the need to adapt existing bilateral tax treaties first? What is the government's position on such a multilateral instrument and what is the Parliament's position on this? Partly as a result of the current Starbucks case on prohibited state aid, the Dutch ruling policy has recently been put in the spotlight again. We are also concerned about this, because the ruling policy has always been a sign of a transparent, expert Dutch Tax Administration, which is willing to provide clarity for the future within the standards of law and case law. The legal certainty thus offered is a major asset for international companies wishing to make investments in the Netherlands. We believe that the fact that this policy is now being discredited is wrong. This is without prejudice to the fact that it should be possible for individual rulings to assess whether legal limits have been exceeded, e.g. in the field of prohibited State aid. This is currently in the Starbucks case. In this context, we also welcome the intention of the Tax Administration to exchange Dutch tax rules with the tax authorities of treaty partners. As far as I know, that was already the case in the past. It is strange, however, that the Dutch Parliament does not have a confidential right of access to these rulings. In doing so, Parliament cannot fully fulfil its supervisory role. I am not talking about a right of inspection with regard to individual taxable persons, which everyone can understand, but about a right of inspection. In order to avoid unnecessary rumors surrounding the rulings, it would appear desirable to allow a strictly confidential procedure, which would allow parliamentarians to understand the content of rulings issued. We would like to hear the views of the Secretary of State on this matter.
ParlaMint-NL_2014-12-15-eerstekamer-4.u15	Mr Essers just made an interesting point, namely that of giving confidential access to Parliament. But then what? Let me ask you this for the sake of clarity. Is there also an opportunity in Mr Essers' view for Parliament to question the Secretary of State in a confidential consultation? It could also be that you say: I just want to know the rules in which rulings can be given, without having to know each individual case. I'm just curious how Mr Essers sees that effect.
ParlaMint-NL_2014-12-15-eerstekamer-4.u16	There are different modalities. You can bring together a number of rulings anonymized and say: this is the policy. So you could have a debate on that. However, sometimes, as with this Starbucks case, everyone talks about it and has an opinion on it, except for Parliament, because it has no access to it. I would like to see, by analogy with the committee's sneak, whether there is any possibility for parliamentarians to get a little more insight into that.
ParlaMint-NL_2014-12-15-eerstekamer-4.u17	It will not be strange for Mr Essers to feel that a party with a high regard for democracy is being called upon to do so. I still find it difficult, because from the Starbucks case you can say that it is now under the courts and that Parliament should not be discussing this until the matter is settled. So let me stick to the first: we get more insight into the rules of rule. If you want confidential access rights, there is also a tendency to make it an individual political debate.
ParlaMint-NL_2014-12-15-eerstekamer-4.u18	That would not be desirable. I would therefore urge the Secretary of State to clarify the pros and cons of this for once. If we do not get there today or tomorrow, we may be able to do so later, but this is an extremely important thing. I find it strange that Parliament should allow all this to happen, without the possibility of having access to it itself. Again, I am absolutely not seeking to abolish the rule-making policy. On the contrary, I want to protect it from unnecessary rumors.
ParlaMint-NL_2014-12-15-eerstekamer-4.u19	Are you definitely going back to your place, Mr. Bröcker? Or are you going to the microphone?
ParlaMint-NL_2014-12-15-eerstekamer-4.u20	I'll be right back.
ParlaMint-NL_2014-12-15-eerstekamer-4.u21	We'll wait and see. I shall now move on to another subject. I would like to draw attention to the reliability of the government's estimates of revenue and expenditure. It is common that ex post estimates of revenue appear to be far higher than the reality. As an example, I would like to mention the estimated revenue from the introduction of the full corporate tax liability of housing corporations in 2008. The revenue was estimated at EUR 500 million in structural terms at the time. The actual revenues for the period 2008 to 2011 were EUR 16.8 million, EUR 8.1 million, EUR 2.3 million and EUR 6.2 million respectively! The reply gives a number of plausible reasons for this, but the fact is that at that time the feasibility of the EUR 500 million estimate was strongly questioned from various sides. For this year, I also foresee that the expected additional dividend payments due to the temporary reduction of the box 2 tariff will be very disappointing, particularly as there is still no solution for the self-employed pension. The department is working hard on it, with all due respect, but there is still no real solution that makes it possible for dividends to be distributed easily. Therefore, the likelihood of the government's estimated additional income and dividend tax of more than 1 billion as a result of additional distributions of dividends is extremely low. Last year we also expressed our reservations about the feasibility of this amount. We have the same doubts about achieving the extra estimated revenue as a result of the tribal law measure last year. The assessment of tax expenditure also appears to be inconsistent with reality on a number of occasions. An example is the expected loss of income resulting from the temporary extension of the allowance. Costs are underestimated, revenues are overestimated. However, important decisions are taken on the basis of such shaky forecasts, for example in the framework of a cabinet formation or as a responsibility to the European Commission. What comes out of these projections afterwards gets much less attention. In our opinion, Parliament is entitled to be informed by the government about the margins of uncertainty that are always attached to these predictions. In the reply, the Government acknowledges that the degree of uncertainty may vary from one measure to another. I would like to accept that the cabinet uses the best possible estimate, regardless of the degree of uncertainty, but we are concerned that Parliament, as co-legislator, should be aware of these uncertainties before it can agree to a proposed measure. The more uncertainty, the less credible is an estimate. I therefore repeat my appeal to the government to share these margins of uncertainty with Parliament in advance. I'd like to hear the Secretary of State's views on this. We look forward with great interest to the answer given by the Secretary of State.
ParlaMint-NL_2014-12-15-eerstekamer-4.u22	Mr. Chairman. I would like to thank the Secretary of State and not least his officials for the annual piece of art in order to respond extensively in a few days to the questions raised by the Finance Committee on the Tax Plan. This requires expertise and good planning. Many other ministries could learn from Finance. The political direction of the cabinet, which is often implied, is somewhat less to my group's liking. He's going the wrong way. In our opinion, but also - as I will show - according to the government agreement. I'll discuss four topics. Firstly, I give a general appreciation of this Tax Plan. Secondly, I am talking about the nature of the estimates and policy effects. Thirdly, I refer to the revision of the tax system, and finally I have a question that falls under the category of 'different'. So I will first give a general appreciation of this Tax Plan. In last year's Tax Plan, we had 14.2 billion in tax changes, with a balance tax increase of 2.2 billion. The present 2015 Tax Plan covers 2.2 billion in tax changes for 2015. The change in the 2015 budgetary envelope is relatively small, i.e. 0.35 billion tax cuts. But a corresponding amount of net tax increase, namely 0.33 billion is already planned for 2016. It'll be taken away from the elderly. From 2015, there are three structural income measures of net 688 million in tax relief. The result is that the relative income position of the upper 26% of the income distribution is improving, that of the lower 35% remains the same and that of the intermediate middle incomes are declining. The latter was also rightly claimed by the CDA group on the other side, on which the cabinet considered it necessary to refute this unfoundedly. These are small steps of 0.25% change in purchasing power. More importantly, what is lacking in this Tax Plan is income-relevant measures, but on which promises had been made in the government agreement for some time. I refer to the infamous Zijlstra/Samsom motion of November 2012, in which the cabinet was instructed "to achieve the desired reduction between high and low incomes." Wanted? It did not happen in 2013, it did not happen in 2014 and it is not expected to happen in 2015. If we look at the median purchasing power change in the three years of this cabinet period, the total of households according to the CPB is +1%. According to the CPB classification, however, the lower 35% is at zero and the rest is at positive. The same applies to the top 25% and the top 10%. What do you mean, reducing income disparities? The PvdA is constantly being fooled by the VVD. Last year, in the General Political Reviews, Senator Barth pointed out "the importance of small income differences in order to create a society of solidarity." Senator Postma then said in the General Financial Reviews: "For the Labour Party, reducing income differences is a key element of policy." Does the PvdA spokesperson dare to repeat this in today's debate? I'm gonna drop a silence. No, not yet. No additional contribution is required from high incomes. My group rejects a tax plan in which this does not happen. For the PvdA Group, this must be a painful tax plan, not because of what is in it, but because of what is not in it.
ParlaMint-NL_2014-12-15-eerstekamer-4.u23	I have a small technical question for Mr Reuten. In the General Financial Reviews, he took both direct and indirect taxes in a deciel classification. My question is whether he has done so now.
ParlaMint-NL_2014-12-15-eerstekamer-4.u24	No, these are just the CPB numbers. These are just the CPB purchasing power figures. I have in my speech...
ParlaMint-NL_2014-12-15-eerstekamer-4.u25	From direct plus indirect taxes?
ParlaMint-NL_2014-12-15-eerstekamer-4.u26	Yes. For the CPB purchasing power this is calculated, at least, the indirect taxes are based on a price index. The figures are in footnote 2 of my text.
ParlaMint-NL_2014-12-15-eerstekamer-4.u27	I am not going to risk a numerical discussion with Mr Reuten. However, I would like to make a comment. One way or another, we're all going to be very unhappy about whether or not to level out the Tax Plan. Mr Reuten says that no steps have been taken in leveling. My group, and I also think that the VVD as a party is unhappy with the income-dependent tax rebate. Sometimes I find the discussion a little shady. I know there are different political forces when you talk about carrying weight, leveling and what's more. But I must honestly say that I have some difficulty suggesting that no steps would have been taken.
ParlaMint-NL_2014-12-15-eerstekamer-4.u28	I do not quite understand what you mean, because I am simply quoting the CPB figures on purchasing power. If you look at those figures for the current government period, 2013-2015, at a median purchasing power change of +1%, you see the bottom at 0% and the top at positive. I didn't come up with those numbers. They're just in macro economic reconnaissance.
ParlaMint-NL_2014-12-15-eerstekamer-4.u29	Of course it is. But there is also an increase of half a billion in the employment discount, which mainly affects people in the third and fourth quartiles. That's how you come up with that difference. I'm looking at the three posts that have income effects. Mr. Chairman. I said that this must be a painful tax plan for the PvdA group, not for what it says, but for what it doesn't say. The coalition agreement is not my thing. I only note that the PvdA Group in this Chamber is reluctantly defending legislative proposals from the VVD case regularly, but I can already predict that tomorrow I will vote for a VVD tax plan that does not do what was agreed in the coalition. I can also predict that the PvdA will follow the VVD positions in the course of the tax review; more about this later. I believe that the Prime Minister has spoken about fruitful cooperation with the PvdA, and I understand that from the point of view of his party. My second point concerns the nature of the estimates relating to the tax and income policies of this cabinet. In the preliminary report, my group asked for the impact of the current cabinet's measures on disposable income as of 2017 for quartile groups of households to be passed on. The government replied that the impact for 2017 cannot yet be given, because it works with a new model, MIMOSI. We have my group, but I think we all here too are seriously hampered by this in our task of assessing and controlling government policy. Until recently, the current cabinet itself has always presented the policy effects up to 2017 as well as the structural impact, on the basis of the argument that government policy should also be assessed on the medium-term effects. That's impossible now. The note following the report states that we must wait for 2016 and the budget to be presented. I ask the Secretary of State if I understand correctly that the government itself is no longer aware of the policy implications for 2017. Is the government only moving in the short term? I believe that the CPB could make a revised structural prognosis for the government. We too are happy to receive them. I'm gonna ask the Secretary of State if he wants to make a commitment to this. The average group size in this Chamber is 9.9 members. You may be perplexed, but this is because I do not count the small groups, 8% of the Members. I'm stunned, too. If we look at the purchasing power and the distribution of disposable income, then the government counts...
ParlaMint-NL_2014-12-15-eerstekamer-4.u30	For the sake of clarity, where do you set the limit for "small groups"? On one, two or five seats?
ParlaMint-NL_2014-12-15-eerstekamer-4.u31	Of course I am not referring to a group of five Members.
ParlaMint-NL_2014-12-15-eerstekamer-4.u32	You think it's big?
ParlaMint-NL_2014-12-15-eerstekamer-4.u33	I see it as a medium-sized group. I put the line on two. If we look at the purchasing power and the distribution of disposable income, then the government does not count households with the lowest incomes, which happens to include a group of 8%. This concerns non-intramural households. Those people can vote for the time being, just like the small groups here. That the lower 8% does not count, is stated in the reply and in the report of the Tax Plan 2015. If we involve in-house households, it's 9.9%. As I have now seen, the Central Planning Office is also doing so in its annual macroeconomic review. Can the Secretary of State tell me since how long the CPB doesn't count the lower 8% or 10%? Does the same happen with the passing on of election programmes and counter-budgets? If so, how does the government feel about that? This government approach raises the average income of the lower 25% of the income distribution nicely. Fortunately, we still have the CBS (Central Bureau of Statistics), which counts the lowest incomes. That's how I found out what's going on with the current CPB and government counts. In 2012, the Dutch median income was "the middle disposable income of households" "over €33.000." According to the government's CPB model MIMOSI it is almost €3,000 higher, 9%. Well, what's $3,000? But the median of the income group in the lower 25% is calculated as much as €4,700 too high and thus amounts to €17,100 instead of the actual €12,400. That's a 38% difference. Yeah, I'm stunned. In the end, the Secretary of State and his officials have written to us in detail about this. I appreciate that very much. What are we going to do about this and what are we going to do about it? The Secretary of State can tell me tomorrow that those 450,000 ignored households with an income of less than 63% of the statutory minimum wage are cramped, such as AOWs with incomplete benefits, residents living out of residence, low-income zzp'ers and WW'ers who had a small job, but why should we not include them in the income distribution? The Secretary of State writes in the note "that these households cannot be expected to remain on a very low or negative income for a long time." Even if this were to be the case, it would be a more or less permanent, but possibly variable, echelon of households? The Secretary of State states in the note: "the taking of this group would lead to a distorted image." That's an opinion. My group states that the government's attitude gives a distorted picture. There is, of course, also a political side to this cabinet. If you don't count those households, then the cabinet is more likely to achieve the goal of smaller income differences, apparently then. I'll ask the Secretary of State how he sees this. I also specifically ask the spokeswoman of the PvdA Group, who, like me, is also a scientist in another life. Do we count the echelon of the small groups in determining the average number of Members per group? When I said on my first subject that the cabinet does not reduce income differences, I based myself on the CPB figures. I said, if we look at the median purchasing power change in the three years from this cabinet period, the total of households according to the CPB is +1%. According to the CPB format, the lower 35% is at zero and the rest is at positive. But in reality, the bottom 43% is zero or below and the rest is relatively higher. We will not know until the CBS, the full agency, has published the 2015 figures in 2017. This cabinet has then left; if not most people in households that matter, poor or rich. I come to my third subject, the revision of the tax system. If this cabinet is allowed a year of life, then this revision should be the crown of this PvdA-supported VVD cabinet. Effectively, we already have a flat tax of about 33% in the Netherlands; all taxes included, Mr Van Strien. The figures recently reported to the CBS were provided by the government in Section 34000, letter G, Table A. I have added a graph to the report. Unfortunately, a short technical intermezzo of about two and a half minutes should now follow on the note. In Table 2, the Secretary of State gives a specific description of what he calls the burden burden. On its own, the arrangement of Table 2 is correct. If we fit the most recent CBS figures for this setup, that of 8 December, then there will be a so-called charge pressure of 42% for the first quartile and 52% for the fourth quartile. I assume that the Secretary of State agrees with the figures thus corrected on CBS basis.
ParlaMint-NL_2014-12-15-eerstekamer-4.u34	Mr Reuten has already said something about this subject in the General Financial Reviews. That was a reason for me to go deeper into it, because I didn't quite get it. It is now clear to me, from CBS figures. How can indirect taxes in particular be so much higher among the lowest income groups? I indicated at that time that this had to mean that it could be a different consumption package, and indeed it is. If you compare the lowest and highest tax groups, you see a relatively much higher consumption of alcohol, cigarette consumption and a much lower use of sports facilities and cultural facilities in the lowest tax groups than in the higher income categories. In short, they live unhealthy and less culturally. That is specifically what causes higher indirect taxes. What does Mr Reuten want with this table? Is this a plea for reducing indirect taxes, excise duties and VAT?
ParlaMint-NL_2014-12-15-eerstekamer-4.u35	I don't judge how people spend their income or why they do that. You say the lower 25% use more alcohol than the upper 25%. It could be. Maybe they should drown their grief. But that's not the point. I assume you, as spokesman for the PVV, do not want to intervene in the way people spend their income. I am looking at tax rates and tax revenues, and at the way they are divided into four 25% groups. I have no further opinion on the specific expenditures. If you want to intervene, you may need to make different differentiated rates for one or the other category of income.
ParlaMint-NL_2014-12-15-eerstekamer-4.u36	I'm not presenting this table. You present this table in which indirect taxes for the lower categories of income are much higher. You do this not for nothing, but for a certain purpose. That is why I am asking for the purpose of presenting this table.
ParlaMint-NL_2014-12-15-eerstekamer-4.u37	I just want to know what's going on. I see that there is a regular review of direct taxes. If you add the indirect taxes to that, you get a whole different picture. That's all I want to present.
ParlaMint-NL_2014-12-15-eerstekamer-4.u38	Finally, Mr Van Strien. You probably won't get much more of a response to this.
ParlaMint-NL_2014-12-15-eerstekamer-4.u39	No. So it is because different categories of income choose a different consumption package.
ParlaMint-NL_2014-12-15-eerstekamer-4.u40	That's not new, is it? One can drive a car and the other can't. That's the way it is.
ParlaMint-NL_2014-12-15-eerstekamer-4.u41	Please continue with your speech.
ParlaMint-NL_2014-12-15-eerstekamer-4.u42	I was at my technical intermezzo. The cabinet has presented an alternative table. That table is okay in what he does, but the figures need to be corrected a little bit on the basis of the latest CBS figures. However, the table presented by the Secretary of State is not appropriate if we consider the statutory charges, and that is what tax matters are about. The main difference between Table 2 and my set-up in Table A, with its graph, lies in non-compulsory contributions to private income insurance. These are the premiums not included in the net direct tax, which are shown in Table A and the graph. Does the Secretary of State acknowledge that this is the most important difference? The next question then is why non-statutory compulsory contributions would be relevant to taxation and the revision of the tax system. Does the Secretary of State recognise that his so-called "total pressure" in Table 2 does not relate exclusively to the tax and contribution burden imposed on households? Table A and the chart, on the other hand, show the pressures for households on all statutory taxes and payments and, where relevant, on net taxes and payments such as direct taxes and health insurance. I have done no different than to display the CBS figures. I once again put the links in footnotes when I spoke. For the four quartile groups households this gives a virtually flat total pressure of 30%, 29%, 31% and 33%. This is before the increase in the VAT rate at the end of 2012, which is likely to attract almost the same amount. A tax on carrying capacity is completely lacking in these figures. I'll ask the Secretary of State to acknowledge this. And since the first deadline is also a debate between the spokesmen, I would ask the spokesperson of the PvdA Group in particular whether she recognizes this. But she doesn't want to get off her chair and that's her right. In view of the State Secretary's current plans, as laid down in his letter to the Chamber of 16 September, this flat tax is likely to be converted into a graduated tax. That is quite different from what Treub proposed, so I say to Mr Essers. If the starting point were to be a reduction in taxes on labour income, I see only two alternatives for increasing indirect taxes. First, a progressive capital tax or capital income tax. Secondly, a direct value added tax. For the latter I refer to the report Experimental economic research on the Van Elswijk Plan by Prof. Van Winden and others from the Economic Faculty, University of Amsterdam from 1999. This plan, this type of tax, deserves renewed attention under the changed circumstances and objectives, in particular those relating to labour income tax.
