ParlaMint-NL_2014-12-16-eerstekamer-7.u1	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2014-12-16-eerstekamer-7.u12	That's the case. If we go into metropolitan regions on a voluntary basis, we will be left out of it and we will not be concerned with the question of who is joining them or not. However, these are municipalities for which, as far as the AMvB is concerned, the BDU tasks and the BDU funds are intended.
ParlaMint-NL_2014-12-16-eerstekamer-7.u13	To get it sharp: the common Metropolitan Region scheme, which allows municipalities to cooperate voluntarily in a wide range of policy areas, covers the same territory as the common scheme to be set up for the transport region.
ParlaMint-NL_2014-12-16-eerstekamer-7.u14	Yes.
ParlaMint-NL_2014-12-16-eerstekamer-7.u15	But the two common arrangements are formally separate arrangements.
ParlaMint-NL_2014-12-16-eerstekamer-7.u16	That's right. By the way, I am ahead of my second subject, but well, it's always a bit overlapping. I'll get back to you on that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u17	Mr Engels, would you like to say something about this?
ParlaMint-NL_2014-12-16-eerstekamer-7.u18	The Minister says he'll come back to it.
ParlaMint-NL_2014-12-16-eerstekamer-7.u19	Yeah, I'll get back to you. I was talking about this in connection with Mrs De Boer's question on the fight against competence, as she mentioned it. I hope we can bury the hatchet with this. He's already been buried in a large part of the country. In the Randstad, however, the layer of sand over the hatchet is always thin. I come to the aspect of the factor time. What would happen if the Chamber rejected the law? Then there's a lot of discomfort in different regions. Well, that's no different. That is the risk they have taken themselves. With this I have dealt with the abolition of the WGR-plus. Then I'll move on to the transport regions. This has already been mentioned in the interruptions. A number of questions have been asked. I have already explained the reasons for dealing with this pragmatically. The reason is that in the North Wing and the South Wing there are fine-meshed public transport networks, which are not comparable to public transport networks elsewhere in the country. Municipal transport companies are also part of this. That's a real difference from the rest of the country. Mr Koole asked whether it would be impossible for other areas to develop in the future in such a way that they would also belong to that category. We don't expect that. We don't foresee that. As far as I can see, it's really gonna be here. That's a clear answer. Mrs Huijbregts asked about the important role of the provinces in the transport regions and how they could implement them. Firstly, it is the responsibility of the provinces and municipalities to establish a form of cooperation that fits in with the transport region. With the amended draft AMMvB, an important objection has been removed from the province. In fact, it was said that we would be faced with a partnership that would extend to many more tasks. That is not the case now. These transport regions will confine themselves to traffic and transport tasks. I assume that this will make it possible for provinces and municipalities to reach an appropriate form of cooperation by common agreement. If your Chamber is in agreement with the law and the legislator has therefore voted on it, a very clear signal has been sent to the administrators in provinces and municipalities that it must be set up in this way. I'll get back to you on that. News reports show that the province of Zuid-Holland responds positively to the limitation of the transport region to the traffic and transport tasks and that it would like to sit down with the municipalities if your Chamber agrees to the present bill.
ParlaMint-NL_2014-12-16-eerstekamer-7.u20	My group has just asked the Minister to give it its own meaning, to give it its own meaning of the concept of'meaning role'. That's in the law and in the AMvB. You'd have to have a statue of that. Just to say they'll come out, I think it's very thin.
ParlaMint-NL_2014-12-16-eerstekamer-7.u21	Let me focus, but I was just about to. I have been informed that there is a covenant in Noord-Holland between the city region of Amsterdam and the province of Noord-Holland. The province of Flevoland is also involved, because Almere wants to participate in the transport region, with money coming from the province. That is a good development. I can imagine that such a covenant would also be adopted in South Holland. I would like to leave the precise details to the levels of government. You can sit on the board of such a transport region, but you can also work with it in any way, as long as it is meaningful. I am glad that the agreement in Noord-Holland has been prepared and that people in South-Holland think about it in a positive way.
ParlaMint-NL_2014-12-16-eerstekamer-7.u22	Can I conclude from this that the Minister is of the opinion that such a covenant should also be concluded in South Holland and that this is his interpretation of the meaningful role of the province?
ParlaMint-NL_2014-12-16-eerstekamer-7.u23	At least that is an explicit one. Can I answer it like that? I do not rule out the possibility of finding another creative form for it, but I think this is a good example in North Holland.
ParlaMint-NL_2014-12-16-eerstekamer-7.u24	The Minister would like this to be done in the same way in South Holland.
ParlaMint-NL_2014-12-16-eerstekamer-7.u25	I would like to see such a covenant concluded in South Holland, too, but I do not want to dictate that it should be the same.
ParlaMint-NL_2014-12-16-eerstekamer-7.u26	But it is the Minister's preference. He would very much welcome that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u27	I would certainly welcome that. Mr Meijer asked whether the Metropolitan Region could take away opposing municipalities against their will. The short answer is no. Municipalities always decide whether they want to participate in such a partnership. This is also in accordance with the Common Regulations Act. I have already noted that, if a municipality says no, a complex process is in progress, indicating that the municipality has all kinds of interests in order to do so. That's not a compulsion. It's an urge at best. Of course you can. Can the Metropolitan Region function voluntarily, in other words, alongside the transport region set up from above? That answer is yes. We have just spoken about this in an interruptive manner. Mr Meijer asked about the position of Almere. As far as I know, Almere is also party to the covenant drawn up by the city region of Amsterdam and the provinces of Noord-Holland and Flevoland, which will be signed on 22 January. It contains a number of basic agreements on how to cooperate on traffic and transport tasks. Almere's money keeps running through the county. That is why it is crucial that the province of Flevoland is party to the covenant concluded there. If you look at the map, it is also extremely logical to solve it in that way. Should provinces on the basis of equality with municipalities participate in the transport regions? That is in fact a continuation of what we have just been talking about. A covenant would be an excellent solution. I assume that the municipalities and provinces will take the necessary steps in the near future. That is a bridge to the question of how to do it in the coming period. That's my third topic. With a view to continuing this route, it is important to be able to establish transport regions by 1 January. However, the practice is that in order to have a transport region that meets the requirements of the AMvB, namely no other tasks, you will have to set up one. It'll take some time. Mrs Huijbregts, Mrs Van Bijsterveld, Mr Koole, in fact almost everyone asked how it would be done in the meantime and how much time it would take. Strictly speaking, the establishment of a common system will take a few months. You have to go through all the city councils, because that always has to happen, but then you'll be a few months away. If the province is involved, it must also be consulted. I can imagine that the province will be there in the near future, until the state elections might be a little less head-on. Let that also lead to a delay. I would think that in six months' time it should be clear how people want and intend to do all this. Within a year, it should be able to come to an end. How do we then keep the finger on the wrist? I'm telling the Chamber I'm gonna keep my finger on the wrist. I'll report to the Chamber in six months' time on the state of play. Then she can look with me if she thinks that municipalities and provinces have made the transfer to that public body that has no other tasks. I have just said that I assume that the drivers too will realise that the legislator has spoken and that they are going to do this in a constructive way. If it turns out in six months' time, I would like to make the positive statement that we are not making enough progress, then there are several possibilities. You can arrange it by law, through the Transport of Passengers Act 2000. You can also withdraw the AMvB but then the BDU funds to the province will expire. I'm not up for that. I do not really want to anticipate the different variants, because this may provoke strategic behavior. I'm gonna keep telling the Chamber about the state of play in six months' time. Through this way I urge the drivers to resolve this with each other, along the roads discussed here too, knowing that in the end we also have the means to solve it in a different way.
ParlaMint-NL_2014-12-16-eerstekamer-7.u28	What then are these means and what might the sanctions be? The Minister states that one has to find one's own way out of it. That's a good thought. You could provoke strategic behavior according to the Minister, but you could also provoke strategic behavior if you don't offer sanctions. I'd like to hear more about that. Moreover, I do not understand why the Minister has been putting in place a delay of six months in advance when it comes to the common regulation. There are provincial state elections, but municipalities can simply establish common rules.
ParlaMint-NL_2014-12-16-eerstekamer-7.u29	I'm underlining the latter. That is why I said that in six months' time we must and can be a long way. On the first point, I would like to point out that there is a certain battle between the provinces and at least the big cities in the Randstad: who is talking about what? If we state here that, if we do not get out of it, the money will flow to the province in a year's time, it could lead to the province thinking: we are waiting for it because the Chamber has indicated that the money will come to us in a year's time if we do not get out of it. I do not think that is desirable, but it is one of the possible steps. Another step could be to adapt the Passenger Transport Act 2000 and to regulate legally what is now regulated via AMvB. There are several possibilities, but I do not think anyone can explain to people on the streets who are getting on the bus, why such a fierce battle must take place about whether the BDU funds should go through the provinces or the cooperating municipalities. Let everyone keep their heads up and decorate this in a practical way.
ParlaMint-NL_2014-12-16-eerstekamer-7.u30	I hear the Minister say two things. He states, on the one hand, that it must be possible to come to an end within six months. We had assumed that it should be possible within a year, but I agree with the Minister that half a year should also be possible. The Minister then says that he wants to keep his finger on the pulse, that he is going to report but that he does not yet want to include a wording on some specific measure, intervention or whatever you want to call it. I think we're skipping an option. The Minister states that in six months' time it should be concluded but that he will not anticipate certain matters. Can the Minister promise that if it isn't settled in six months' time, he will intervene? He may hold his cards on exactly what that intervention should be, but then there will be intervention.
ParlaMint-NL_2014-12-16-eerstekamer-7.u31	I take into account the possibility that'sounding' means that in principle one agrees and that one still has to fill it out. That is why my proposal that I should be in the First Chamber in six months' time is that I see how keen the views here are to be informed about the state of affairs, assuming that things will be in order, that they will be ready or that they will be very far-reaching in setting up the transition. If not, not only the government, but also the First Chamber and the Second Chamber will be encountered. That's obvious. Then there are several possibilities for the Empire to intervene, but I continue to stress that I assume that the administrations of the big cities and the administrations of the two largest provinces in our country, heard this debate, are able to do what the AMvB requires of them, namely to set up a public body with no other task than transport. Then these BDU funds and tasks can go there and the municipalities can also do what they want to do together. In all of this, the province must have a significant role to play. We have the example of the covenant in North Holland.
ParlaMint-NL_2014-12-16-eerstekamer-7.u32	I'd like to go the other way, towards the future. When the WGR-plus was discussed here, it was explicitly presented as a structural solution to metropolitan issues. Looks like we're gonna say goodbye to it now. As far as transport regions are concerned, we are talking about the embryonic phase of the establishment and the deadline we are taking, but I have a question in the light of the main administrative structure. How structural should the transport regions be in the eyes of the Minister in the perspective of other developments taking place in the Randstad? I refer in particular to the Metropolitan Region.
ParlaMint-NL_2014-12-16-eerstekamer-7.u33	I believe that transport regions can or should be structural. The municipalities are also free to cooperate in various areas. That's not up to us. That's up to them in the end.
ParlaMint-NL_2014-12-16-eerstekamer-7.u34	I don't think it's possible. We, as legislators, are working to provide a legal basis for the emergence of transport regions. We cannot then say that it is actually a local matter for the rest and that we can see how that goes.
ParlaMint-NL_2014-12-16-eerstekamer-7.u35	I didn't say that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u36	Well, it seemed so. The Minister seemed to suggest that we should keep our distance from that, but as legislators we and as minister for the administrative organisation, the Minister has a responsibility to consider how the further developments fit in with the clear and structured organisation of public administration. That is the background to my question. The Minister has the plan to make the transport regions legally possible and then to put it down to local government, but then we have a responsibility and then we have to be able to consider how structuralally we should see that perspective of transport regions, including in the light of other developments that are taking place.
ParlaMint-NL_2014-12-16-eerstekamer-7.u37	Do you have a subsequent question, Mrs. Huijbregts?
ParlaMint-NL_2014-12-16-eerstekamer-7.u38	No, I want to ask another question.
ParlaMint-NL_2014-12-16-eerstekamer-7.u39	This was a question I have already answered. The answer is structural. These transport regions are structural. I added something to that. If municipalities voluntarily enter into partnerships in other areas, that is another matter. As far as I am concerned, what we are dealing with here is structural.
ParlaMint-NL_2014-12-16-eerstekamer-7.u40	Until the special common scheme is established in those two regions to link a transport region to it, the day-to-day management of the voluntary common scheme acts as the transport authority. That's a temporary arrangement, that's a transitional arrangement. It is perfectly normal to impose a time limit on a transitional arrangement and also to mention what happens when that deadline expires. You can't let that go. In any case, the legislator will have to set a deadline. There must also be an insight into what happens if that deadline is not to be met.
ParlaMint-NL_2014-12-16-eerstekamer-7.u41	I have just said that I think we should be able to do it practically in six months. It should be settled within that time limit. You can take a margin and give it up to a year with Mrs Van Bijsterveld, but I think that's a long time. For this reason, I would like to report to the Chamber in six months' time whether it has been upset for a long time. I have just said that there are various means, both in the law and through the withdrawal of the AMvB, which we are at the service of intervening if we would need to do so. But I don't think it should come to that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u42	If the Minister says that it can be achieved within six months, what will prevent us from setting the deadline for a six-month period?
ParlaMint-NL_2014-12-16-eerstekamer-7.u43	I will do the same by reporting to the Chamber on the state of play in six months' time. In consultation with the Chamber, I would then like to see whether we think that there is far enough confusion.
ParlaMint-NL_2014-12-16-eerstekamer-7.u44	I have an additional comment. I totally agree with the first thing the Minister said. I'm fine with that. However, we must also talk about situations that are unexpected and perhaps not to be expected. At some point there is a final perspective. It makes sense to draw together ideas about what should happen if things do not happen unexpectedly and unexpectedly as we now think they will walk. The Minister has indeed said that there will be several options on the horizon, but the question that is still open is whether the Minister is prepared to make such interventions if one goes beyond such a time limit. What if there's an unexpected stalemate? The question of what will happen then remains to be answered.
ParlaMint-NL_2014-12-16-eerstekamer-7.u45	The answer is yes. It is not possible for us at AMvB to say that tasks should be transferred and that if we do nothing, we should leave it at that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u46	Mr Minister, before you go any further, I would like to remind you that we have one minute before I press that alarm bell.
ParlaMint-NL_2014-12-16-eerstekamer-7.u47	I'm just gonna see how far I'm gonna get with the little block about the transition situation. We discussed most of them.
ParlaMint-NL_2014-12-16-eerstekamer-7.u48	Then you have about a minute and a half for that.
ParlaMint-NL_2014-12-16-eerstekamer-7.u49	You're gonna be fine. Mr Meijer asked what I would do if there were any quarrel over it, but that is in line with the debate we have just had. We have discussed the possibilities for resolving this. Mr Koole asked whether a transport region was voluntary. Yeah, strictly speaking, it's voluntary, of course. The law states that the tasks can be transferred if there is a transport region. If you're not, you can't. One can also determine it on the basis of that AMvB itself. The limitation to transport tasks results from the AMvB. This means that it is possible for municipalities to have other forms of cooperation in addition to that transport region. But they are independent of the powers and funds delegated from the Empire through the BDU to the transport region. I think I have answered the questions on this subject.
ParlaMint-NL_2014-12-16-eerstekamer-7.u50	I will suspend the sitting for a short time to give Members the opportunity to respond to the vote.
