ParlaMint-NL_2014-04-16-tweedekamer-6.u1	The next item is the reply by the Secretary of State in the first term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u89	So here's my key question coming back. If you don't define exactly what you're comparing this to, and you're dealing with 15-year depreciation periods, then you run the risk of giving away development space in the first period, after which, after six years, after an evaluation, you might have to say: now everything is up and running, but actually we need to do more to achieve the nature goals? Then you have to conclude that that is not possible, because a legal status has been granted to the entrepreneurs. Is that "hand on the crane" principle really not an empty promise in this construction and in that way?
ParlaMint-NL_2014-04-16-tweedekamer-6.u90	No, because once again, a number of recovery measures may take a number of years. You may wish to have it settled yesterday, but Brussels also gives us time to get it in order. This is being worked on, and this is also in line with the system of the Birds and Habitats Directives and Natura 2000. It says that you have time to work on the recovery. That's what the bill says. Your amendment gives more insight into development, so that I have no objection to it in this form. That could support the hand-to-the-crane principle you praise.
ParlaMint-NL_2014-04-16-tweedekamer-6.u91	At the heart of this discussion is that the rights, once spent, apply infinitely, while the nature restoration measures in their effect naturally end as the nitrogen deposition on the other side rises over the years. With such a recovery measure you may be able to achieve a reduction in nitrogen in 15 years, but the existing use will also remain valid after 15 years.
ParlaMint-NL_2014-04-16-tweedekamer-6.u92	However, there is already an autonomous reduction in the nitrogen deposition. What the PAS is doing is speeding that up. In our view, there is a relationship with the development area that is indeed deserved, of which the agricultural sector is a good example. Of course, that's what we're monitoring. That has been agreed, and then we can distribute that development space, knowing that it will take a number of years for these measures to have their effect, but that is also a fact in the current system. So we are not going to wait ten years for measures to have their effect before we issue a permit. That would be problematic.
ParlaMint-NL_2014-04-16-tweedekamer-6.u93	That wasn't the question. Let me illustrate that with a simple calculation example. Suppose an farmer wants to expand in the context of a Natura 2000 site, where already 12 moles of nitrogen are too much. We're going to take nature restoration measures that limit nitrogen in that area by 20 moles. Half of them must benefit nature, so that you still have 10 mole left. If that farmer continues to emit a little bit each time, after a number of years, the nitrogen space that we have created with each other with these remedial measures will continue, while the right to continue to emit will continue. That right is infinite, while the natural recovery buffer is a bit run-in year after year. How do we deal with that?
ParlaMint-NL_2014-04-16-tweedekamer-6.u94	No different than now. We are working towards a number of objectives that have been set. In doing so, the area analyses are leading; they indicate what you need to do to get the recovery in order, and which development space fits in with it. What are you trying to do? You have tabled an amendment on the hand-to-the-crane principle, but if I listen to you like this, you would obviously want to grant a permit somewhere, and after a certain period you might want to withdraw that permit. To be honest, that does not seem to be a good thing.
ParlaMint-NL_2014-04-16-tweedekamer-6.u95	The amendment on roof tile construction is completely separate from the discussion on how the recovery measures relate to the period for which the permit is issued. I am curious about the legal sustainability of the PAS on this point. Is the practice of taking sufficient recovery measures at any time sufficient to ensure that there is no long-term deterioration of nature? That is what we are trying to prevent. Of course, the nature restoration measures do not remain valid forever, and the rights do. I wonder whether this tension is still the point of the legal sustainability of the PAS, without me wanting to come up with a solution right now.
ParlaMint-NL_2014-04-16-tweedekamer-6.u96	I'm really trying to understand, but it's really hard for me. If you are taking a measure concerning source policy, why shouldn't it apply? If you have less emission, isn't it true that at some point after ten years, it will become more when you adjust the stable? So you need to help me now by telling me exactly what you mean.
ParlaMint-NL_2014-04-16-tweedekamer-6.u97	Let me make it clear to the Secretary of State that we are talking about less.
ParlaMint-NL_2014-04-16-tweedekamer-6.u98	This is now going to be the fourth interruption on this point. I think, quite frankly, that we have invented a second term with each other precisely for this. I think it would be a good idea if you could come back to this in the second term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u99	I think so, too.
ParlaMint-NL_2014-04-16-tweedekamer-6.u100	Otherwise, it'll go back and forth 20 times. It is wise to do so in the second term. Mrs Ouwehand, on another point, I hope.
ParlaMint-NL_2014-04-16-tweedekamer-6.u101	No. I do have a question for the Secretary of State. The entrepreneur has to do with a depreciation period of fifteen years, but a cycle of six years applies. The Secretary of State must, as a director, also keep the possibility of adjusting to its nature objectives after those six years, but the permit, I hope, has been given for 15 years for that entrepreneur. Can the Secretary of State comment in second place on how these two paths of time relate to each other and on what it means for the way in which that permit should be issued?
ParlaMint-NL_2014-04-16-tweedekamer-6.u102	I will do that again, and I will repeat what I said earlier, namely that the following is essential in the PAS: once an authorisation decision has been taken allocating development space, it will be valid for an indefinite period of time. So even if the entrepreneur gets development space in the fifth year, that still applies. The following programmes always take account of the existing deposition. At least that's part of the answer. I will come back to this in second place.
ParlaMint-NL_2014-04-16-tweedekamer-6.u103	Mrs. Lodders, you're at the interrupting microphone. The Secretary of State has made it very clear that she will return to it in second term. I suggest that we discuss it further.
ParlaMint-NL_2014-04-16-tweedekamer-6.u104	May I add one short point?
ParlaMint-NL_2014-04-16-tweedekamer-6.u105	If it's short.
ParlaMint-NL_2014-04-16-tweedekamer-6.u106	It is a point that the Secretary of State can then take with him in the second term. It concerns the municipal zoning plans that are part of the development area that has been promised, in relation to turning off the crane because the nature targets are not met.
ParlaMint-NL_2014-04-16-tweedekamer-6.u107	Yeah, I'll take that.
ParlaMint-NL_2014-04-16-tweedekamer-6.u108	The Secretary of State's gonna do her best. Please continue with your story.
ParlaMint-NL_2014-04-16-tweedekamer-6.u109	I would have stayed with the allocation. Some Members are worried. They fear that development space will be allocated, and we are going to try again before PAS measures are taken. In the PAS and the corresponding field analyses it is made clear that conservation and, if necessary, improvement of nature can take place even if developments are allowed before those measures have been taken. The conclusions in the field analyses are also based on the ecological effects of the measures in space and time. Actually, that's what we just switched the whole time. As has already been said, we are looking again at the field analyses, in order to improve them if necessary. After all, we want to ensure that the measures are legal as much as possible before the PAS is established. The PAS measures are not one-on-one linked to development space activities. This is, I think, also of interest to Mrs Van Veldhoven. In this way, housing requirements, which I have yet to discuss, apply nationally. The development space that it makes available becomes part of the total amount of development space. The PAS provides for a system of monitoring and, where necessary, adjustment, so as to be able to intervene in the event of setbacks or new developments. In Mr Smaling's amendment to item No. 21 states that he provides for a 50% reservation of the development area for nature. I don't think that reservation is necessary. I don't recommend the amendment. That development area is there, including for economic activities. It could be a political choice to say: I'm going to reserve that space completely for something else. In fact, you might even remove some of the development space. In my view, that is the material effect of the amendment. The restoration of nature is, of course, also regulated through the measures to be taken to create that development area. I therefore advise against this amendment. The amendment in part No. 22 by Mr Smaling provides for an automatic halt to the allocation of development space when the results of the reduction measures would be disappointing. That provision is not necessary, because the philosophy of monitoring and updating is at the heart of the PAS. An automatic stop would be very rigorous, when you might first be able to solve the problem area-oriented by looking at exactly what exceeding the previously calculated emission reduction means and what measures we can take to eliminate that overrun. For this reason, too, I have to make the amendment to item No. 22 dissuade. On the amendment to item No. 2 of the motion for a resolution (Doc. I have already made a comment from Mrs Ouwehand in my introduction. It indicates that we should not exceed the critical deposition value. I have just argued that this provision would mean that there could actually be no more activities in the Netherlands. I also say that this is not a Brussels demand at the moment. One of the characteristics of the Netherlands is that there are many people here and that there is urbanization. That is why such a critical deposition value is not feasible here at all. It's not a demand now either.
ParlaMint-NL_2014-04-16-tweedekamer-6.u110	I would also like to say a few words about Amendment No 2. 35 is therefore discouraged.
ParlaMint-NL_2014-04-16-tweedekamer-6.u111	The amendment in part No. 35 is not recommended. Some amendments have been tabled on a phased distribution of the development area between the first and second periods. The starting point is that the PAS should provide for a responsible equal distribution of the development space over both periods. That therefore requires flexibility. The full width of the PAS may be determined when drawing up the PAS, which percentage is desirable and can be anchored in the PAS. This requires an understanding at field level of the impact of the allocation for the necessary development space for priority projects in the first half of the period of the PAS and in the space remaining for the non-priority projects. Mrs Dik-Faber has in the amendment to item No. 19 called for the buffer to be set at at least 30%. I would advise against that amendment, because it is now too early to set a percentage. With AERIUS 1.7, we will soon have the latest insights into the development space in relation to development needs. Legal anchoring limits the flexibility that may be required for a specific area. The amendment in part No. 27, by Mrs Van Veldhoven and Mrs Dik-Faber, is actually a qualitative condition. We need to be very precise about what we mean by this, because Mrs Jacobi has also stressed the importance of a more even distribution of the development area. I indicated in the explanatory statement that the idea was to make the development area more evenly distributed over both halves of the programme period. In my view, a balanced distribution is not fifty-fifty in advance. If that is the point of the amendment, then I have a problem with it. The distribution can also be 60:40 or 70:30, depending on the customization in an area, but I do think that the way you look at this can be right in itself. I could therefore agree with the amendment provided that, if it is adopted, there is room for the necessary flexibility and for tailor-made work per area.
ParlaMint-NL_2014-04-16-tweedekamer-6.u112	Customisation is necessary and we have deliberately not included a concrete figure in the amendment. I would like to make a second comment. Of course, there's some limit to it. The first proposal was based on 90%, which we thought was far too much. Even if the Secretary of State speaks of 70%, I still think it is on the broad side. If you are talking about a balanced distribution, there must be a certain bandwidth, but it must not be unlimited. This is what I want to say in the explanation of this amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u113	I understand the latter, but so does the first. Mrs Van Veldhoven says she does not mention percentages. I will not do that, but it is the starting point of a balanced approach. The area and tailor-made work must lead in this direction. I think this is important for this amendment. If we agree, that is clear.
ParlaMint-NL_2014-04-16-tweedekamer-6.u114	I see Mrs Van Veldhoven nodding in agreement. I assume that will leave the judgment to the Chamber.
ParlaMint-NL_2014-04-16-tweedekamer-6.u115	Yes. Mrs Van Veldhoven and Mr Klaver spoke about a possible run on the allocation of development space. They have asked for our expectation. With the amendment in part No. 17 by Mrs Van Veldhoven, the competent authority is given the power to withdraw licences in which development space has been granted if the space remains unused. I went and I assume that this power exists. In principle, this is true, but doubts may have arisen from recent case law. In view of this, I can imagine something about this amendment, because it provides clarity. I'll leave the judgment to the Chamber. The amendment in part No. 18 by Mrs Van Veldhoven I must advise against. It proposes to charge a minimum fee covering the cost of the application for a permit. I understand that this is intended to prevent unnecessary requests for permits. It wants to set a threshold for this. That is not necessary, because, as has been said, we have the opportunity to withdraw a licence. This is covered by the previous amendment. That is why I reject the amendment to item No. 18.
ParlaMint-NL_2014-04-16-tweedekamer-6.u116	If it were just about the threshold, the Secretary of State is right. There is another point, however. There are, of course, social costs involved in the granting of these permits, including to the public authorities. I think it is only natural that those who benefit from this permit also bear the costs that the company incurs for that licence. That is the reason for this amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u117	I understand that, but if you do that here, you will also have a debate on how to deal with these situations as a licence holder at all. I do not think it is wise, for various reasons, to deal with this in this legislative proposal. I can imagine that at some point we are having a debate on this broader subject, but much wider. I don't know if this is gonna be resolved right now. Let us not do that. I maintain my advice, but I do understand what's behind it.
ParlaMint-NL_2014-04-16-tweedekamer-6.u118	Okay, I'll consider withdrawing the amendment. I think it is important that we have this debate. This is indeed more important than explicitly regulating this in this law per amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u119	Now to Mrs Dik-Faber's amendment to item No. 28, which provides for a mid-term review of the reserved development space, in order to avoid unnecessary reserved space and to prevent other projects from taking place. Actually, you could say that this is part of the hand on the crane. We can do this without a legal mandate, so we can do this anyway. However, I do not see any objection to doing so either. That is why I would like to leave the opinion on this amendment to the House. I shall continue with the further amended amendment tabled by Mr Dik-Faber to point No. 43 which has been tabled to replace Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by Amendment No 1 by That's about the reservation of the development area. If I look at this amendment as quickly as possible, the amendment makes it possible to involve the Chamber in the development area and the priority projects within it. Is that right? I have just received this amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u120	Maybe you can talk about it in second term. Indeed, it has just been distributed.
ParlaMint-NL_2014-04-16-tweedekamer-6.u121	Exactly. I say quite honestly that I cannot now see exactly where the difference is between this amendment and the original one. I will discuss it further in my second term. Within the development area there is a segment for reservation. This is intended for the priority national and provincial projects. According to the methodology, the remaining development space for other projects is in segment 2. Provinces may establish criteria for issuance in policy rules. That is what they are talking about. In segment 1, space is reserved in advance for specific priority projects on the basis of project characteristics. All sectors are included; there is no difference between the sectors. Several members asked for it. In any event, the Empire will designate the projects included in the MIRT. That was discussed in the Chamber. Mr Smaling asked for that. The provinces may propose projects of regional importance. In this context, I come to Mrs Ouwehand's amendment, which states that the development area for priority projects should be reserved for General Measure of Governance. The identification of priority projects requires flexibility. The Empire will review this list every six months with the provinces. I would advise against this amendment. It is important, however, to look at the amendment on item No later in the second period. 43 which also aims to do something in this spirit, but which has just been reworded. That could be important.
ParlaMint-NL_2014-04-16-tweedekamer-6.u122	Can you give the number of Mrs Ouwehand's amendment, which you have just mentioned?
ParlaMint-NL_2014-04-16-tweedekamer-6.u123	That's part No. 38.
ParlaMint-NL_2014-04-16-tweedekamer-6.u124	That amendment didn't advise you?
ParlaMint-NL_2014-04-16-tweedekamer-6.u125	Yes. And in my response to the original amendment to item No. 34, now part No. 43. I would like to come back to the same point, because it makes a proposal in the same direction. I think I could support it, but I just want to get a good look at it.
ParlaMint-NL_2014-04-16-tweedekamer-6.u126	I am also considering an amendment on the same point. Perhaps I can present it together with the Christian Union, as a combination of the pieces of which all the songs have been mentioned. My question concerns the following. Do we define criteria on the basis of which projects can be eligible for these priority lists? In fact, there are a lot of projects in the MIRT and at some point we have to consider which projects we consider to be priority. And how does a provincial priority relate to a national priority, if there are bottlenecks in a particular region, such as the port of Rotterdam? How do we determine that with each other? Do we have any criteria for such a project before it can be included on such a list?
ParlaMint-NL_2014-04-16-tweedekamer-6.u127	With all due respect, you actually decide in the whole process of the MIRT what you think is priority. Let's establish that, too. The main list of projects is much longer than the one finally published in the MIRT project book. So they're a priority for the Empire and they're in it.
ParlaMint-NL_2014-04-16-tweedekamer-6.u128	This does not yet answer the question of how the provincial and national priorities would then relate to each other in the event of a difficult situation and whether a province could simply put a number of points on the priority list, which would leave less room for, for example, the development of agricultural holdings. How do we deal with this consideration and should we not have criteria that legitimise when a project is eligible for this priority list?
ParlaMint-NL_2014-04-16-tweedekamer-6.u129	That is, of course, just a political conversation between directors. I can make it beautiful, but that's basically what it's all about. In the end, that is also discussed. Let me be clear that I also agreed with the Minister of I and M that the projects in the MIRT are our projects and that we are going for them. There's no misunderstanding about that. The provinces know that, by the way.
ParlaMint-NL_2014-04-16-tweedekamer-6.u130	I have another question in addition to what Mrs Van Veldhoven is talking about here. The cabinet demands from the agricultural sector that it reduces 10 kilotons and for that she gets 5.6 kilotons back.
ParlaMint-NL_2014-04-16-tweedekamer-6.u131	Yeah, that's right.
ParlaMint-NL_2014-04-16-tweedekamer-6.u132	In fact, the very specific question, given the discussion of just now, is how the cabinet is going to guarantee that the 5.6 kilotons will be returned.
ParlaMint-NL_2014-04-16-tweedekamer-6.u133	That is an administrative agreement that I made with the sectors and for which I also signed up.
ParlaMint-NL_2014-04-16-tweedekamer-6.u134	Then I come to my follow-up question. How does this relate, for example, to the MIRT and to the deployment in the provinces of bypasses, infrastructure and industrial sites? How are you going to enforce that from The Hague in the various provinces?
ParlaMint-NL_2014-04-16-tweedekamer-6.u135	That is, of course, part of the joint consultation, but it is also the farmers of the provinces and not just the farmers of you and me.
ParlaMint-NL_2014-04-16-tweedekamer-6.u136	The MIRT story is clear. Speaking of prioritization, I do wonder how it works for projects that are notified for the Crisis and Recovery Act. We have, of course, seen the one after the other tranche of projects coming along. I can imagine that provinces are trying to get things on the agenda through integration plans or through desirable developments. Outside ring Parkstad has already been mentioned as an example. The Council of State has allowed half a road to be built there, awaiting the adoption of the bill we are discussing today. Can the Secretary of State say anything about that?
ParlaMint-NL_2014-04-16-tweedekamer-6.u137	In the end, that is also a responsibility that the provinces must take up. We therefore do not assume their responsibilities. It is very important to establish that. We are pulling together, and so we are also ensuring that when it comes to the development area, we always have that good conversation with each other to ensure that both the opportunities for industry and those for traffic and for the agricultural sector can be appropriate. From my personal responsibility, I pay extra attention to the agreements we have made with the agricultural sector nationwide, as I have signed them.
ParlaMint-NL_2014-04-16-tweedekamer-6.u138	I get that. If I go on and look at Zuid-Limburg, also considering the derogations for the Lös areas, then an individual farmer in South Limburg who has to fight against a provincial desire to build the Buitenring Parkstad has very little chance of achieving any further expansion in that region. Am I getting that right?
ParlaMint-NL_2014-04-16-tweedekamer-6.u139	No, you don't. In the end, it is also a common interest that we see this sector, as Mr Geurts rightly said, making a nice contribution and ensuring that it gets some of it back. That's something that both the provinces and I will be paying attention to. Eventually, it will be up to the provinces to make choices, but also to us. We're gonna hang out together. That is perhaps one of the reasons why the Chamber wants to have influence. This will be further developed, also following the administrative consultations between the various departments and the provinces. In my view, the essence is that the Chamber not only wants to say yes to a system but also wants to be able to say yes to it. In fact, I would like to make a proposal to Mr Smaling in response to his amendment. I do not accept the amendment with this proposal, but perhaps we can find a way to get along.
ParlaMint-NL_2014-04-16-tweedekamer-6.u140	What is the amendment?
ParlaMint-NL_2014-04-16-tweedekamer-6.u141	It is a question of the amendment to item No. 33 by Mr Smaling. He wants to put AMvBs in front of all implementing regulations instead of a ministerial arrangement. The problem is that there are a lot of detailed technical rules in the implementing rules. It concerns, for example, the way in which AERIUS is registered. I'm not sure that's where your biggest interest lies. I can imagine having the PAS once, not every time I change the PAS, but once. The Chamber will be told the whole story. That is not in Mr Smaling's amendment, because he wants to regulate by law that this must be done with every change, but I think that is too far-reaching. I wouldn't want that. In the beginning, Mr Dijkgraaf asked the question whether the Chamber could send somewhere. I'll deal with him. My answer would be: let us do it in that way. Then it does not need to be enforced in the law now, but then I give the Chamber my word that I will preside over it the first time. Then it can see whether it is true, whether the development area is a bit organized and whether one sector is not better off than the other. Then the Chamber will have a debate with me on this. I think that is necessary for the confidence of the Chamber and that it is good for the support.
ParlaMint-NL_2014-04-16-tweedekamer-6.u142	Mrs Lodder, I am the first to give the floor to Mr Smaling, because this is his amendment.
ParlaMint-NL_2014-04-16-tweedekamer-6.u143	I think it's very creative, so I'd like to take over the Secretary of State's suggestion. We will amend the amendment on the basis of what the Secretary of State has said.
ParlaMint-NL_2014-04-16-tweedekamer-6.u144	An alternative is that you do not submit it as an amendment, but that, if I may make a request to you, you withdraw the amendment and then submit a motion in which you record it. I understand that you want to record it, but a motion would be better given its one-off character. It's a bit of a shame to get something you do once, in a law, when you can just agree to it, with a motion, signed with blood.
ParlaMint-NL_2014-04-16-tweedekamer-6.u145	Well, you don't have to, you know, in parliament.
ParlaMint-NL_2014-04-16-tweedekamer-6.u146	We won't refuse the birthday boy. We'll do it this way.
ParlaMint-NL_2014-04-16-tweedekamer-6.u147	Thank you.
ParlaMint-NL_2014-04-16-tweedekamer-6.u148	The Smaling amendment (Doc. 33) has been withdrawn.
ParlaMint-NL_2014-04-16-tweedekamer-6.u149	I thank the Secretary of State for this commitment. I think it is indeed a workable suggestion. However, I would like confirmation from the Secretary of State that this clearly reflects the distribution of the various sectors.
ParlaMint-NL_2014-04-16-tweedekamer-6.u150	Absolutely.
ParlaMint-NL_2014-04-16-tweedekamer-6.u151	I have saved two questions on the allocation of the development area.
ParlaMint-NL_2014-04-16-tweedekamer-6.u152	Shall we do one question at a time? That's more straightforward.
ParlaMint-NL_2014-04-16-tweedekamer-6.u153	I'm gonna do my best. My first question is very legal, I admit it, so the Secretary of State can also answer in the second term. Is the allocation of the development area considered as a mitigating measure or a compensatory measure? If it is a compensatory measure, we will get into a mess with the Habitats Directive. This is crucial if we are to know whether this allocation will continue under the law.
ParlaMint-NL_2014-04-16-tweedekamer-6.u154	Is it a compensatory or mitigating measure?
ParlaMint-NL_2014-04-16-tweedekamer-6.u155	I don't know. I'll have to check.
ParlaMint-NL_2014-04-16-tweedekamer-6.u156	The answer comes in second term. What is your second question, Mrs Lodders?
ParlaMint-NL_2014-04-16-tweedekamer-6.u157	I continue to struggle with the content and allocation of the development area, despite the Secretary of State's commitment to the PAS once in a while. Entrepreneurs are, of course, very dependent on what happens in the provinces. In what way can we anchor a specific area or, in this case, a specific province or specific provinces not be held responsible for the import of the nitrogen deposition?
ParlaMint-NL_2014-04-16-tweedekamer-6.u158	We can't just anchor that now. To this day, legal rulings are being made on this issue. So I cannot simply eliminate the effects of legislation or regulation. We could try to solve it politically. For example, I recently travelled to Flanders to discuss with the Flemish Prime Minister whether it would be wise to consider whether we could organise the same PAS system in Flanders. We will have to consider, in consultation with Flanders, to what extent we can prevent this, because that is what this is all about: that the province of Zeeland is in trouble with development space because the nitrogen deposition from Flanders is, as it were, included. Even without PAS, that's a problem. Again, in all kinds of statements, sometimes also statements that are being made now, we see that we are dealing with cross-border depositions again and again. The PAS is not necessarily a panacea against all ailments. But we already have the problem. I think it would be wise to get to work on that.
ParlaMint-NL_2014-04-16-tweedekamer-6.u159	Not only the province of Zeeland, but also other provinces have to contend with this. The administrative intention of this Secretary of State is greatly appreciated, but does the Secretary of State agree that it is ultimately about what we have agreed with each other and about what problems or directions different provinces stand for?
ParlaMint-NL_2014-04-16-tweedekamer-6.u160	But it's the other way around. The deposition from the Netherlands also affects space in other countries. That's a problem. We have to face that. It's just that the PAS isn't the panacea against all the ailments. It also appears to have a real effect in the current authorisation. I'm working to see if we can handle it administratively, but it's not just a matter of resolving it through the bill, also given the case law.
ParlaMint-NL_2014-04-16-tweedekamer-6.u161	In the future, there is scope to be created if there are new technological developments that are also included in the model. There are now agreements on emission reductions, stables, manure injections and that sort of thing. I ask a general question about the Secretary of State's attitude to new developments. It is essential that they are taken as quickly as possible. It all has to be proven first, because otherwise there is an air bike business. Is the Secretary of State prepared to pursue this process very positively instead of stopping it?
ParlaMint-NL_2014-04-16-tweedekamer-6.u162	Yes, please. That is one of the reasons why I sometimes hesitate to use the AMvB instrument in relation to a ministerial arrangement. After all, that limits my flexibility in this.
ParlaMint-NL_2014-04-16-tweedekamer-6.u163	I believe that everyone is pleased with emission reduction and with new technologies that lead to less accumulation of space. I can imagine that the Secretary of State will be given the opportunity to do so as quickly as possible, precisely in the case of those things on which the politically unambiguous is positive.
ParlaMint-NL_2014-04-16-tweedekamer-6.u164	I'd love that. Then we agree.
ParlaMint-NL_2014-04-16-tweedekamer-6.u165	Please continue with your speech.
ParlaMint-NL_2014-04-16-tweedekamer-6.u166	Again, concerns have also been expressed in the context of whether the provinces are prioritising properly. I expect provinces to take responsibility for this and provide a good basis for the selection of provincial projects. The distribution of development space in segment 2 does not distinguish by sector either. If you did, there would be a lot of bulkheads in the development area and that would make the system unworkable. With the amendment in part No. The objective of Mr Smaling's 23 is to ensure that agricultural development area is given priority to nature-friendly farmers. That may be a sympathetic thought, but there are other frameworks for that than this bill. This bill deals with the management of nitrogen problems. I say it very clearly: also nature-friendly farming and dairy farms with, for example, extensive grazing...................................................................................................................................................................................... Against this background, there is no justification for giving priority to this. That is why I reject this amendment. Mr Smaling's amendment deals with item No. 24 that no development space is given priority to mega-stables. Again, this consideration is primarily made at provincial level. I therefore advise against this amendment. I am now going to make an tedious attempt to respond to the amendment on item No. 43), an amendment tabled by Mrs Dik-Faber to the amendment No 2 tabled by the Committee on the Environment, Public Health and Consumer Protection, on behalf of the Committee on the Environment, Public Health and Consumer Protection, on the proposal from the Commission to the Council (COM (88) 447 final - Doc. 34 replaces. This amendment introduces the criteria for reserving development space into the law itself, and not into an AMvB. This makes it clear what the criteria are. I prefer this to the amendment on item No. 38 by Mrs Ouwehand, because that amendment includes the list of priority projects themselves in the law. In the amendment to item No. 43 is made clear what the criteria are for eligibility as a priority project. I agree with the content of this amendment and therefore leave it to the Chamber to decide.
ParlaMint-NL_2014-04-16-tweedekamer-6.u167	The amendment in part No. 43: Judgment Room.
ParlaMint-NL_2014-04-16-tweedekamer-6.u168	I now come to the development area and the external netting. Mr Smaling asked whether we could allow the external netting of the space awarded. The PAS is based on the real situation and there must therefore be a real reduction in nitrogen deposition in order to create development space. That is not the case in Mr Smaling's situation, because he wants to see an external breakdown. Mrs Van Veldhoven is asking whether we can act in the area of development. No, that's not the case. A company is transferable and the permit is in such a case. By the way, that permit is locational again. Mr Dijkgraaf asks why the resources of development space per area are not always possible. The impact of nitrogen on a habitat or habitat in a Natura 2000 site is decisive. Resources within a sub-area with a specific habitat or habitat may be possible, but not across a whole area with different habitats and habitats.
ParlaMint-NL_2014-04-16-tweedekamer-6.u169	I have indeed asked whether there can be trade in space. However, I was mainly referring to the possibility of an entrepreneur investing in creating extra space. This could partly benefit nature, but if the entrepreneur were to be allowed to market that space, it could also lead to a win-win situation. In other words, how do you encourage entrepreneurs to invest in techniques to deal with nitrogen emissions even more efficiently? Perhaps that can also benefit nature. Is it possible to finance this by making part of it negotiable?
ParlaMint-NL_2014-04-16-tweedekamer-6.u170	That's not in the bill. The legislative proposal is complicated enough and I do not know whether it is advisable to make it even more complicated. I understand that Mrs Van Veldhoven wants to drive innovation. Innovation seems to me to be very desirable in itself. However, the legislative proposal is about licensing and what will be dealt with is the fact that allocated development space in this bill is not negotiable.
ParlaMint-NL_2014-04-16-tweedekamer-6.u171	A clear answer. Is the Secretary of State prepared to reconsider that point which she mentioned as interesting? It doesn't need to be incorporated into the law now. It may not even need to be incorporated into the law later, as it can also become part of the talks with the provinces. I hope, however, that we do not put this proposal to the fore.
ParlaMint-NL_2014-04-16-tweedekamer-6.u172	I'd like that. It is always good to think about how to stimulate or excite entrepreneurs to contribute to resource policy as a way to organise more development space. For all kinds of reasons, I do not think it is wise to tax the present legislative proposal in advance. If we did that, we would only complicate the discussion. And we've already established that it's quite a difficult discussion. Mrs Jacobi and Mrs Van Veldhoven have asked whether the polluter pays principle is being properly respected. The PAS is dedicated to this. The reduction in nitrogen emissions and the improvement of nature are largely due to the contribution made by the agricultural and transport sectors, as well as by land managers. This is precisely what allows development space to be allocated. One deserves the space that is being spent. A number of questions have been asked about the operation of the PAS. That's the next block. Mrs Van Veldhoven, Mrs Lodders and Mr Geurts asked about the timetable for the PAS. In the letter of 1 April, I informed you that, although the PAS is advanced, the programme and the analyses of the regions are being carefully examined and improved for the purposes of monitoring. On 18 March I signed a covenant with the sector on generic agricultural measures. There are a lot of actions going on. A concept of the EIA plan has been drawn up with the exception of the nitrogen paragraph. This is formed by the appropriate assessment of the PAS, the area analyses of which will be part. The plan EIA and the appropriate assessment may be finalised once the area analyses have been completed. Before the summer recess, the parties concerned will make administrative agreements on the size and distribution of the development area at field level. That is a subject which, of course, is also of interest to the Chamber. In mid-September, the Design Programme Approach Nitrogen, together with the EIA plan, will be presented with the appropriate assessment and the area analyses. Indeed, I say again to Mr Geurts, the programme also contains a socio-economic paragraph. The commitment of the provinces, of the Minister of I and M and of me, is fully aimed at enabling the PAS to enter into force this year.
ParlaMint-NL_2014-04-16-tweedekamer-6.u173	I hear the Secretary of State say that she wants to agree on the size of the development area at the level of the area before the summer. Can she explain that again?
