Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	MagdaBerndsen	Berndsen, Magda	F	1950	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u22	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
