ParlaMint-NL_2015-03-24-eerstekamer-7.u1	I give the floor to the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2015-03-24-eerstekamer-7.u12	One reason might be... now I'm going to reason a little ins Blaue hinein... that it was for special education and practical education until recently usance that young people went to UWV a six months before they turned 18 to apply for a Wajong benefit. Those young people must go to the congregation now, and that corridor would not be sufficiently clear. I think that's an important sign on the wall. That is what we are really pushing for, so that the schools involved in the labour market regions get much shorter lines with the municipalities and they can help their young people one-on-one into the municipalities. I come to the second block on the basis of this law. I share with everyone, among others, Senator De Lange has talked about it. The deep desire that the people of this target group should participate in the labour market on the basis of what they can do. I have heard that Mr De Lange has also contributed to the Animal Party. I note that the Party for Animals in the House of Representatives has been able to vote in favour of this law. So you understand that I hope that both parties will be able to join us at the end of the journey. The GroenLinks and SP spokesmen have asked how I see the issue of structural underemployment in the labour market and how it already excludes structural people. What am I gonna do to deal with that problem? It is very important that employers look at their own workplace, and that they also make it suitable by, in good Dutch, jobcarving and reshoring or job creation. The government supports these initiatives and the service providers that help employers, such as AWVN, Locus and UWV. We also have a large number of other instruments on offer for employers. So we're doing a lot about that. By the way, I have to say that fortunately there are new vacancies every time that allow people to board. But again, it's really about creating new functions for this target group.
ParlaMint-NL_2015-03-24-eerstekamer-7.u13	The problem raised by my group, and I think the SP Group too, goes deeper and is more fundamental, of course, namely that the number of jobs suitable for people with low education or those with disabilities is gradually falling. A lot of those jobs just disappear. In fact, I would like to hear from the cabinet whether it sees this structural problem and is prepared to make more structural provision for more places where people with low education or disabilities can work. That question goes on, of course. Then you can think of the revision of the tax system, where you can take a number of measures to make work more attractive. There could also be more jobs in the repair sector, for example; you can think of anything. I would like to hear from the Secretary of State whether she is also dealing with this larger structural issue.
ParlaMint-NL_2015-03-24-eerstekamer-7.u14	Sure, and I'm not alone, of course. It applies to the entire cabinet, with the Minister of Social Affairs first. We have often had debates in this Chamber and the House of Representatives on matters such as robotisation, how to organise the labour market so that there is a place under the sun for everyone and how to ensure that people can develop their abilities through education in such a way that they can position themselves as high as possible. This cabinet even goes so far as to recruit people again for the lowest paid jobs, especially in the cleaning sector, thereby offering prospects. In short, I think Mrs Vos has a very important issue to address when it comes to the broad labour market. This afternoon we zoom in enormously; I realize that. At the same time, it's all inseparable. It is therefore quite right that Mrs Vos has raised this point. I come to a question from the CDA and the VVD. Has the Cabinet considered cutting this bill in half? The answer to that is no. We are assuming that the scope for voluntary approaches to employers will be used to a large extent. I have just said that it is strange that, as Secretary of State, I am defending and treating a law, which I really hope will never be necessary. By now laying down in the legislation what the quota levy is going to look like, the government is giving employers advance clarity on what to take into account if they do not achieve the agreed numbers of jobs. As far as I'm concerned, those two do belong together.
ParlaMint-NL_2015-03-24-eerstekamer-7.u15	I'd like to ask the Secretary of State to tell her that she hasn't done so yet, to consider leaving the quota part out of the law. It has a great chance that this will result in enormous regulatory savings and additional burdens on employers as a result of that share of the quota.
ParlaMint-NL_2015-03-24-eerstekamer-7.u16	We're gonna have to get the number of warranty jobs anyway. That's neat, because that's what we agreed on in the social agreement. I think it is fair, of both employers and employees, that the social agreement has also said that it is nice that these guarantee jobs are created, but that the quota is not entirely off the table. Over and over again, we have said to each other with open eyes that we hope that the 125,000 jobs will just get there and that the quota will never be necessary. Jobs are being monitored and they're being checked to see if they're getting there. If they didn't show up in any year's drive, we're gonna have to do something. It can be any year's work, and I hope it is not necessary, but I don't think it's good to get it out of the law now, knowing that employers and employees know this.
ParlaMint-NL_2015-03-24-eerstekamer-7.u17	There's a point where the Secretary of State can't convince me. I hear her a few times in the five minutes that she's working on her answer, saying she has full confidence in the employers. Next, the Secretary of State is not prepared to abandon what she calls the stick behind the door, even though it would have a pleasant effect, the lesser regulation. The Secretary of State expresses confidence and she excites people if she now decides to allow the quota section to enter into force at a much later date; for example, when the employers have shown three, four or five years in a row that they do not achieve what they themselves have agreed on on a voluntary basis. I think that such an attitude and such a approach to employers leads to a greater sense of responsibility and enthusiasm than is currently the case.
ParlaMint-NL_2015-03-24-eerstekamer-7.u18	I think it's two, I think it's sincere. When I negotiated with people from the trade union movement, VNO'ers, NCW'ers and SMEs, I would like to come back to that as well. I noticed that the fact that the coalition agreement included the quota at first instance helped. Since we have to keep track of the warranty jobs, you're gonna need that regulation anyway. To this end, the target population register shall be used. Furthermore, you don't really need that much extra regulation for the quota. The bureaucracy isn't that bad. I would like to stick to those two components in this bill, but I keep saying that I hope that one of them can always stay in the drawer. This concerns the question on the part of the VVD and the CDA. Mr Terpstra asked me whether it would be better to replace the levy with a reward. The bill contains a voluntary approach and allows employers the opportunity. The government also facilitates employers to remove financial risks through various instruments. The government also supports initiatives that help employers create jobs, all kinds of things like The Normal Case, AWVN, Locus. The government supports employers who are of good will. You could say that's a big plus. If that is the case, I think that it has been said enough about this now, and that employers, with all this support, should not set up these places, then the quota should be taken off the shelf. Then a question from the PVV side. The PVV said they didn't see much in it. However, I would like to stress that there is a clear difference between the Work of Rutte/Verhage, which was supported by the PVV, and Rutte/Asscher's Participation Act and the Jobs Agreement and Labour Quota Act. The major difference is that jobs are now being created for this group and that they can therefore become part of the labour market. I am somewhat surprised that the Act was enthusiastically supported by the PVV, without jobs, while this included a much thicker cut than the Act of Participation, and that this bill of employment for those who are struggling to participate is rejected. I'm surprised. I continue with questions from the Labour Party: do individual companies feel addressed? What does the government base its trust on? I do trust that there is support and commitment. There is sufficient labour resources available and municipalities and UWV have the tools to seduce and support employers. The Cabinet, the Programme Board and the Work Room provide support products. Employers are already showing that they are actively working. VNO-NCW is making an extra effort with a driver, Mr. Aart van der Gaag. The government employers have started work in the same way, with the driver Hans Spigt. I see the employers aren't leaning back. I certainly have faith in that.
ParlaMint-NL_2015-03-24-eerstekamer-7.u19	I would like to hear from the Secretary of State how small businesses, with fewer than 25 employees, are encouraged to take their responsibilities into account.
ParlaMint-NL_2015-03-24-eerstekamer-7.u20	I have also seen wonderful examples of this in the country. Small businesses are very often dealt with by municipalities, because aldermen in their own region know small businesses very well and encourage them to find a place in the workplace, including through wage costs subsidies and all the other instruments that are at stake. Precisely family businesses often have a tendency to offer these people a perspective from their own village or neighborhood. That's very visual. It also helps, of course, for the Jobs Agreement Act and quota labour restrictions. In addition, this also helps the big companies. When small businesses make places, large companies have to make fewer places at the end of the journey. It's a really big deal.
ParlaMint-NL_2015-03-24-eerstekamer-7.u21	Thank you for bringing this issue to light by Mrs Sent. We have also asked questions about this and I have literally asked the Secretary of State to indicate how small employers are encouraged. I miss this in the answer. I'd like to hear what is explicitly done by the government. The Secretary of State replies that municipalities are encouraged to enter into conversation. This is what municipalities do with the big employers, and it is likely that this will lead to more effect. The 500 interviews with small employers are much more intensive. I'll ask the question again. What does the Secretary of State intend to do in order to get the small employers, without the stick behind the door, to make a manifest commitment to employing the people in the labour pool?
ParlaMint-NL_2015-03-24-eerstekamer-7.u22	I am busy with the SME Netherlands, in Mr Van Straalen's person, to see how we can seduce small employers to offer these people places. We have a basketful of instruments from the government. As Mr Beckers may know, last Friday we decided to send a bill to the Council of State to synchronise the no-risk policy and mobility policy for all employers in the Netherlands, especially for small employers, so that they do not have to think about whether they should go to the municipality or to the UWV. It's getting much clearer. This is also very pleasant for small employers. We are also thinking of launching a campaign for small and medium-sized enterprises in order to help them too when it comes to this type of job creation. The Empire is indeed doing something to help small employers too. Instruments such as labour cost subsidies help small employers enormously. It's all in the basket. Then there is the question of the PvdA and the VVD whether there are employers who can rely on special circumstances, in the sense that they can say: is it impossible for us to make such a place? The starting point is that all employers have opportunities to create jobs and make them available to people with disabilities. It is important that employers really adapt functions, sometimes almost unravelling them to find suitable jobs for people with such disabilities. In practice, it turns out that every company can do that. It's not about crazy percentages. It is a percentage between 2 and 3 but it turns out that in each company there is work that can be done by people with disabilities. The only exception I could come up with is a hardness clause. It's in there, too. On this basis, an employer may be exempted from the quota scheme in year t where in year t+1 it appears that he has become a small employer in year t. At first, he was over 25, but then he dropped below 25. That's the only hardness clause. In practice, however, it appears that almost all employers have jobs that could be done by these people.
ParlaMint-NL_2015-03-24-eerstekamer-7.u23	One side of the labour market concerns employers. The other side concerns the workers. Is there a sufficient supply of labour restrictions across the region to fill these jobs? Are there any figures on this?
ParlaMint-NL_2015-03-24-eerstekamer-7.u24	Sure, we have a total of 240,000 Wajangers. Of these, roughly 100,000 permanent jobs are limited, in such a way that they will not be able to work. There's 60,000 already at work and 80,000 are looking for work. Those 80,000 Wajangers are already in the target list anyway. They live all over the Netherlands. Employers can already rely on this. Furthermore, we also have a limited group of WIW'ers and ID'ers in the Netherlands. There are also 10,000 people waiting on SW companies. They, too, can be used by employers, if I may say so, to come to work.
ParlaMint-NL_2015-03-24-eerstekamer-7.u25	Mr Beckers, I would remind you that you still have a second term.
ParlaMint-NL_2015-03-24-eerstekamer-7.u26	That's right. I will certainly take that into account, Mr President. However, the Secretary of State now has the subject matter. Perhaps it would be easiest if I tried to take this issue off with the Secretary of State. There may also be companies that have done their utmost to organise workplaces for people with disabilities, but that there are not enough or at all suitable people in that region for these functions. Shouldn't there be a hardness clause?
ParlaMint-NL_2015-03-24-eerstekamer-7.u27	I'm not that far. In practice, if there are real function units made with an employer, there is always, although that may sound a bit strange, a lid that fits on the pot. It is also a new way of "making up" people towards the labour market. This requires the employer to look very closely at what jobs he can offer in his company for people with disabilities and that the UWV or the municipality in question carefully looks at which person fits best. Contrary to what you normally do in the labour market if you have a job in which 70, 80 people apply, this is much more about customization per job and per person. It's about people with disabilities. They need to get the right tools to the employer, but that can be anything. It is very important that this is carefully considered in the supervision of those people. So Mr Beckers has a point, but it is far too early to make reservations in this respect.
ParlaMint-NL_2015-03-24-eerstekamer-7.u28	The Secretary of State is looking at this on the part of the worker, but I am trying to stress that the employer can provide all kinds of jobs for people with disabilities, but sometimes they are not present. Under the current system, the employer will then still be entitled to the quota levy. That seems to me to be wrong.
ParlaMint-NL_2015-03-24-eerstekamer-7.u29	Mr Beckers is moving forward a bit enthusiastically, but we have all agreed that the jobs will be filled per year. There are already quite a few people in the target group register, mostly modo 100,000 people. It is now important to have the jobs that need to be created really filled by those people in the 2015 and 2016 annual editions. I cannot imagine that at the moment this presents the problem that Mr Beckers has outlined. If it is to be seen at some point that jobs are simply not being created, the quota falls off the shelf. I have already said in the debate on the Participation Act that we are going to monitor how things are going to proceed. We have also agreed with each other. I also answer the questions about this immediately. If the quota ever has to be removed, we will first go to the table with VNG, UWV, social partners and the Empire to see how jobs have not been created. In short, there are safety valves everywhere in the system, both for employers and for the people involved. I think it's way too early to prelude on those flaps.
ParlaMint-NL_2015-03-24-eerstekamer-7.u30	Of course, there are two sides to this medal. I asked the other question exactly. The Secretary of State uses the possibility clause in the explanatory memorandum. When it is clear that employers do not fulfil their obligations, it must not be the case that there is endless consultation and ultimately no levy is paid. I find it a little complicated to point out the answer, because the Secretary of State says: we are going to consult first and there are still a lot of safety valves. That sounds almost like: it won't happen, that tax!
ParlaMint-NL_2015-03-24-eerstekamer-7.u31	It is good that both Mr Beckers and Mrs Vos rush to the interrupting microphone. If the number of jobs in one year is not reached, the quota will be withdrawn. We agreed, however, that we should first conclave with all those who belong at that table in order to indicate very well why those jobs were not achieved. I think that's nice, too. Let us not hope so, but if there were to be a massive economic crisis, much worse than in 2008, then of course you should want to look at what that means for this appointment. I think that's real. But if the jobs are not there, we basically have the quota as a stick behind the door. On the part of the Labour Party, it has been asked whether I am not afraid that companies are going to cut themselves up to get below the threshold of 25 employees. Of course, it is up to the companies to decide how to organise their work, but the government considers that the possibility of cutting up is particularly low. The costs associated with paying a possible quota levy will often not outweigh the costs associated with splitting up business units. Think of the costs involved in setting up your own e.g. registration with the Chamber of Commerce, the separate financial administration for the payroll declaration, your own stationery... I have a whole laundry list here, but I'm not going to read it all. So I'm not afraid of that. Then I come to the basis of the law as such. A question was raised by the PVV. Illustrative for the employment opportunity is the fact that of the 110,000 vacancies in January 160 cases were referred to the Participation Act, with 140 cases being a policy officer for the implementation of the law. That's how I like a few more. If I am well informed, it is a question of how often the word "Participation Act" appears in job vacancies. This is, of course, quite different from the number of vacancies that are suitable for people who belong in the target group register. I don't think you should compare that apple with that pear. Let me now turn to a question from the Christian Union. I too am pleased that Mr Ester was again present at the first term. The Christian Union has asked me to try to further promote social entrepreneurship in the tax system. This was also requested by the Christian Union in the Lower House. I have indeed passed this on to my colleague in the finance department. It is also good to point out a request from Minister Asscher on social entrepreneurship to the ESC. It is wise to first hear what the ESC recommends before responding to measures to encourage social enterprise. I expect the advice of the ESC in summer 2015. Then there is a question from the SP, which also lives wider in the Chamber, namely whether the government is prepared to evaluate after a year or two the impact on employers' behaviour as regards the other obstacles to entry into employment. The Chamber will be informed in several ways about employers' behaviour. For example, the experience of clients, municipalities and employers with the implementation and implementation of the Participation Act, including the experience with the deployment and use of the new tools and provisions, will be examined. These experience studies will be available in 2015, 2017 and 2019 in the monitor and in the evaluation of the Participation Act. From the possible activation of the quota levy, the SP says: we would like to have an evaluation two years after that quota levy has started. Well, I can imagine. Shall I put it this way? Okay. GroenLinks has asked if it would be a good idea to "name and sham" the employers who do nothing, if that is Dutch, at least. I do not think Naming-and-Saming is necessary, because if it turns out that employers are massively choosing to pay the quota levy, the government will consider additional measures. We have also exchanged this in the House of Representatives. Naming-and-shaming is not obvious, because this could be a punitive sanction. The purpose of the levy is expressly not to impose a penalty. I'll get back to you on that. After all, there has been no breach of a legal rule according to the letter of the law. As a result, there is no formal sanction.
ParlaMint-NL_2015-03-24-eerstekamer-7.u32	My question is, then, what measures does the Secretary of State intend to take when, in fact, the tax is paid massively and, therefore, far too little is being done.
ParlaMint-NL_2015-03-24-eerstekamer-7.u33	In view of the Van Ojik/Kerstens motion in the House of Representatives, I have said: do you now propose that in the long term the majority of the larger employers choose to simply pay the levy, do you then also have to look at the level of that charge? Well, then we're a long way away, aren't we? That's really step 23, but you shouldn't rule it out. I'm at the third block by now. This is about the job agreement system and the quota levy. It's a bit about the technique, but it's good to change that as well. I have already said a few things about this, particularly in response to Mr Beckers. I honestly have no suspicion of employers. Nor do I think there is a 'prisoner's dilemma', as Mr Beckers just mentioned. The job deal is collective. It is therefore up to the collective to ensure that it works. I have genuine faith in that. There was a question on the part of GroenLinks and the VVD, which I have already addressed in response to a question from Mrs Vos. The discussion at that table with all these partners is important, but we naturally assume that the quota will come off the shelf if the jobs are not achieved. You'll do both, I'll say. The next question from GroenLinks is a bit of a like-dan question, but I'm going to go into it anyway. GroenLink's question to the cabinet: do you now suggest that there would be a fantastic star and that there would be a lot of financial space on the rich budget, would the cabinet then look at additional resources to guide this target group to and on the labour market? It is, of course, very difficult for me to say something about this now, but I can imagine that this question is being asked. I, too, naturally think it is important that these people should be able to spread their wings both to the labour market and to the labour market. I would like to add that it is also very important that the resources available today are not very little used. Beautiful developments are that municipalities are now doing much more to guide several people with one job coach. It may be a little flat, but it can be done with less resources. This is also the way to look at people's guidance.
ParlaMint-NL_2015-03-24-eerstekamer-7.u34	I also asked the question because the budget for reintegration and training has fallen dramatically. In 2002 it was still 3 billion and by now we are at 0.8 billion. So the budget has fallen incredibly. We hear it squeaking and cracking everywhere. The labour market is extremely difficult, especially for this group, because the demands are also increasing. I think it is almost strange that we think that with such a small budget we can let people who are away from the labour market take that step. I urge the Secretary of State to do her utmost to really get some room for this. It is very much needed to make this objective a success.
ParlaMint-NL_2015-03-24-eerstekamer-7.u35	Mrs. Vos heard me correctly. We now have 30 million extra for SW companies, also by means of a motion in the Lower House, so that they can turn into SW companies of the twenty-first century. We have also invested an additional 35 million in the labour market regions, because they also need to "set up' themselves. In addition, we have chosen to ensure that the wage subsidy, other than the wage dispensation, does not come from the 0.8 billion, but from the I part. Their size is reviewed every year. Saves a huge sip on a drink. The cabinet has therefore indeed improved a number of things, including the financial situation. I think Mrs Fox has understood me otherwise. The Christian Union and the PvdA have asked whether the €5,000 amount of the levy is a real amount. Of course, it is possible to add ifs and buts, but for an employer it is only beneficial not to employ a person with a disability if the annual additional costs are higher than €5,000. That will not be the issue, because an employer also receives the wage costs subsidy, guidance, job coaching and.................................................................................................................................................................................................................. This is a real amount. If, in a number of years' time, it appears that the tax is being paid by masse rather than by places, then we can always look at the amount of the tax. The Group of the Greens/European Free Alliance has asked whether it is possible to introduce a weighted quota. It is not clear who had less than 50% earning capacity at the time of the zero measurement and who earned more than the gross minimum wage. That's incredibly complicated. I wouldn't want to hug it immediately. My note says "dramatic," but I think that's a little exaggerated. Let's try to get to work this way first. GroenLinks has asked if I can consider extending the period in which a person counts to five years.
ParlaMint-NL_2015-03-24-eerstekamer-7.u36	The Secretary of State has so far managed not to answer any of my questions. I find that remarkable.
ParlaMint-NL_2015-03-24-eerstekamer-7.u37	You will!
ParlaMint-NL_2015-03-24-eerstekamer-7.u38	We could, but we've been at it 45 minutes.
ParlaMint-NL_2015-03-24-eerstekamer-7.u39	Almost an hour!
ParlaMint-NL_2015-03-24-eerstekamer-7.u40	An hour! I find that remarkable. On this point, I had a slightly different question from Mrs Vos, namely whether the Secretary of State also excludes that such a weighted approach can still play a role in the larger target group if that can be addressed in 2018. Would the Secretary of State take that into account in her reply?
ParlaMint-NL_2015-03-24-eerstekamer-7.u41	I'll really come back to D66's questions.
ParlaMint-NL_2015-03-24-eerstekamer-7.u42	I'll look at the clock in the meantime! Do you keep an eye on them?
ParlaMint-NL_2015-03-24-eerstekamer-7.u43	I'll do my best. But now I have lost the question that Mr Backer asked. That's pretty bad.
ParlaMint-NL_2015-03-24-eerstekamer-7.u44	At least the action to scare the Secretary of State worked. The question was whether the weighted quotas could be taken into account in the review and at the entry into force in 2018 or whether the State Secretary would rule that out in advance. I'd be sorry to hear that.
ParlaMint-NL_2015-03-24-eerstekamer-7.u45	That was indeed Mr Backer's question. In the conversation prior to using the quota, you should also want to look at the instruments we have used so far. This is one of them, too. That does not alter the fact that it would be very difficult in the implementation, because you do not have an adequate zero measurement. The question is whether the period during which a person counts can be extended to five years. Two interests play a role in the choice of the measuring period. The first is employers' assurance that people continue to count for a period of time, and the second is the fact that jobs should remain focused on people who really need it. With the two-year measuring period, the government does justice to both interests, because with a longer or unlimited time span, jobs are occupied by people who do not really need them anymore. I think two years is a good time frame.
ParlaMint-NL_2015-03-24-eerstekamer-7.u46	Mrs. Fox? I would remind you that you also have a second term.
ParlaMint-NL_2015-03-24-eerstekamer-7.u47	You are right, and I will try to keep it very short. However, the Secretary of State ignores the crucial point, namely that someone is able to earn the statutory minimum wage on his own and is therefore no longer covered by the quota provision, precisely because an employer has invested a lot in that person and has accompanied him well. I am rather concerned that employers, in response, no longer employ such a person, because they do not see the point and because they have to comply with their quota obligation. I would like the Secretary of State to take this issue seriously and see how we can prevent it. Then I don't see why that five-year period would be so wrong.
ParlaMint-NL_2015-03-24-eerstekamer-7.u48	These are people who develop, who will be able to earn the minimum wage on their own and who will eventually no longer fit in with the target group. If that is the case within two years, it would be very nice for the person in question. In practice, this will not happen very often. However, these two interests are essential. Employers need to be sure that these people continue to count, and the jobs that are created really need to be used for those we have placed among the target groups. So if someone grows to the minimum wage within two years, that is very special. That won't be the order of the day. That's why I'd like to stick to those two years. Among other things, Mr Backer has asked questions about employers in the public sector. If there will be a quota levy in the future, should the government also pay? Yes. Individual employers in the public sector simply pay the quota tax to the Tax Administration when they do not comply with the quota rate. They pay this levy from their own organizational resources. For these employers, the quota levy is thus as strong an incentive as for employers in the market. Mr Beckers asked, if job vacancies filled out by the market are returned to the government, this involves a shift from employees from the market to the government. If so, how will that be taken into account? Whether this affects the numbers in both sectors depends on how the hiring is currently organised. If the government takes on hired employees, this will have no effect on the target audiences in both sectors. After all, the loan associations also count in the user sector, something that has been achieved in part by the VVD-group in the Lower House. In addition, retrieving tasks to the government is part of the freedom that both sectors have to provide for the creation of additional jobs. Moreover, the public sector must, of course, remain within the financial framework in force. These frameworks have been declining for several years, under the influence of the efforts towards a smaller government. I do not think there will be a great deal of movement from one sector to another. Questions have been asked about the division of responsibility between the Minister of State and myself. Who is ultimately responsible when it comes to the public sector? I can say that the cabinet cooperates harmoniously in realising the employment agreements in the government. The responsibility for this law lies with me. How and where the agreed additional jobs are created within the government is the responsibility of the Minister of State. I work well with the Minister of BZK and Minister Blok, who is responsible for the state service. We have appointed a driver for this, Mr Spigt. Why is there no punitive sanction? The quota levy is not a punitive sanction but a levy per unfilled job. Progressive amounts and recidivisms are in line with the system of fines and sanctions, but not within the system of levies. The quota levy is not levied because an employer acts in breach of a legal requirement. Therefore, there is no infringement within the meaning of the General Administrative Law, as a result of which an administrative body imposes an obligation on an employer to pay the quota levy. I'm getting to the fourth block. By the way, the cubes are getting thinner. I hope that helps. The fourth block deals with the target register, zero measurement and monitoring. I have just said in an interruption by Mrs Vos that the target group register is already well filled. We're in the process of getting new people in there as soon as possible. The CDA asked about the database at the UWV. Because on the basis of the information obtained so far, the CDA assumes that the database will be ready in time. Can I confirm that? Yes, because the zero measurement was carried out, which allowed us to open up the target population register. The CDA further asked whether the extension of the target group does not apply to the employment arrangements, but to the quota levy. That is not a problem, because we are just keeping our agreement with the social partners. That's what this target group was in. If the quota should be applied, we will extend the target group by agreement, at the request of the House of Representatives. This extension is made up of people who have a medical disability which arose before their 18th birthday or during a study, people who cannot earn a minimum wage without provision, but with a provision. The fifth block is about the loans. For the sake of clarity, I can say that we simply include these links in the employment agreements. We're working out quota intake right now. The Labour Party asked whether employers could set up labour pools through posting. Yes, because posting is of course also a form of helping people to work. That is exactly what we agreed in the Lower House: these people can also be included in the job agreements.
ParlaMint-NL_2015-03-24-eerstekamer-7.u49	The question is, however, whether it is desirable in this case to appoint people endlessly in secondment structures. Is that really the inclusive labour market we have in mind?
