ParlaMint-NL_2015-03-12-tweedekamer-6.u1	I declare that, pursuant to Rule 69 (2) of the Rules of Procedure, the following motions have been withdrawn: 34000-VIII-66; 34000-J-15; 34000-V-32; 34000-XVI-81; 34000-VI-35; 34000-VI-52; 32563-46; 34000-XIII-100; 34000-XIII-103; 34000-XIII-113; 34000-XIII-121; 34000-XIII-123; 34000-XIII-134; 34000-A-26; 34000-A-27; 29452-178; 28286-684; 31793-103; 30545-144; 30545-145; 30872-169.
ParlaMint-NL_2015-03-12-tweedekamer-6.u17	Mr Van Weyenberg, I note that you have no support from the majority for holding a plenary debate. When I take stock of it like that, there is a great need for an explanation in a letter about what exactly is happening. After receipt of the letter, it can then be considered how it becomes involved in a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u18	That's fine. I really hope that letter will also address the question of whether it is true how Mr Joustra's supervisory board reacted to this. I would like to receive that letter Monday at the end of the day. On the basis of that letter, I may ask for another debate on Tuesday, because I think it is a serious matter. We have seen before that taxpayers' money did not come back; that cannot happen again.
ParlaMint-NL_2015-03-12-tweedekamer-6.u19	I will pass on the stenogram of this part of the meeting to the cabinet. I give the floor to Mr Heerema of the VVD.
ParlaMint-NL_2015-03-12-tweedekamer-6.u20	Our Commissioner Timmermans has stated in no uncertain terms that the Netherlands has itself created a problem with nature regulation. At our request, our Secretary of State Dijksma has initiated the removal of national headlines, but it needs to be improved. That is why I would like to request a debate with the Secretary of State for Economic Affairs on statements made by Mr Timmermans on the problem-causing Dutch policy the day before yesterday. Prior to this debate, I would like a comprehensive letter from the cabinet on the relationship between Mr Timmermans' statements and the fact that the Netherlands is out of line with the European framework. Together with the answer to the CDA's written questions, we can have a good debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u21	There is a request for support for a debate on unnecessary Dutch nature rules on top of European regulations.
ParlaMint-NL_2015-03-12-tweedekamer-6.u22	Support for the debate, but I am challenging Mr Heerema's interpretation of what Mr Timmermans said. In any case, livestock farming causes problems in nature.
ParlaMint-NL_2015-03-12-tweedekamer-6.u23	That is why we are going to debate with each other.
ParlaMint-NL_2015-03-12-tweedekamer-6.u24	The questioning of my European colleague Annie Schreijer led to these statements. They're putting a bomb under the policy of the current cabinet. So I would like a debate, but I would also like to answer the written questions that I have already asked before we begin that debate. If you could pass that request on to the cabinet, President, I would be delighted.
ParlaMint-NL_2015-03-12-tweedekamer-6.u25	Moreover, my point is that we are also going to debate this regulation not already a conclusion. I shall first give the floor to Mr Dijkgraaf, for example.
ParlaMint-NL_2015-03-12-tweedekamer-6.u26	This is a good time. For 20 years we have raised this point. Now we finally have a European Commissioner who also indicates this. All the support, therefore, for the letter and the debate. I hope that you will indeed conclude in a moment that we will do so soon.
ParlaMint-NL_2015-03-12-tweedekamer-6.u27	We are always looking for ways of discussing this in general consultation, but I must say that it is wise to have a debate on this in plenary. It's important enough for that.
ParlaMint-NL_2015-03-12-tweedekamer-6.u28	Support for the request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u29	The Christian Union also supports the request for a debate, although I cannot rule out the fact that the Christian Union has a different content.
ParlaMint-NL_2015-03-12-tweedekamer-6.u30	In my view, the Commissioner did not say anything about Dutch headlines on top of European rules. He said something about the strict application of European rules. That's different. Support for the letter in which the Secretary of State gives her opinion on the Commissioner's opinion. No support for a debate yet. It could follow after that.
ParlaMint-NL_2015-03-12-tweedekamer-6.u31	At GroenLinks they call it "grausen" when I say that I have been saying something on behalf of the PVV for eight years. That is also true in this case. Thank you for the VVD's support at last. We support Mr Heerema's request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u32	Support for the letter. Then we will see if we can also support a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u33	At the moment, therefore, you do not support a plenary debate. Mr Heerema, at the moment you have the support of the majority of the Chamber for holding a plenary debate, preceded by a letter. I'll direct the stenogram to the cabinet. I note that this debate does not need to be scheduled soon. It's just gonna be on the list. The debate also includes four minutes' speaking time per group.
ParlaMint-NL_2015-03-12-tweedekamer-6.u34	Mr. Chairman. The subject on which I am asking for a debate needs speed. It needs to be scheduled quickly. Hence my request for an interplay. The milk production ceiling will expire on 1 April: the milk quota. Pending this, dairy farming is expanding on a very large scale. With the megas, the manure surplus is only increasing. A large majority of the House of Representatives and the First Chamber are very concerned about this. The Secretary of State for Economic Affairs has promised to offer a General Administrative Measure to Parliament before 1 March to prevent this groundless growth in dairy farming. This General Measure of Management is still not in place, so these undesirable groundless extensions of dairy farms are continuing at a rapid pace. I therefore call for a short-term interplay. We can see if we can do that on Tuesday if a debate dies on that day.
ParlaMint-NL_2015-03-12-tweedekamer-6.u35	Since you say it so explicitly, I would like to point out that the rules for interplay debates in the Rules of Procedure are the same as those for a 30-member debate. The debate you are asking for will therefore be on the list of 30 Members' debates. In the past there was a separate arrangement for interplays, but that has not been the case for a very long time. But if a majority of the House supports your request for a debate, it could be. Why don't we take a look at that first?
ParlaMint-NL_2015-03-12-tweedekamer-6.u36	Fine.
ParlaMint-NL_2015-03-12-tweedekamer-6.u37	I believe that there is already a 30-member debate on this AMvB that I have requested. I think it is very important for farmers to be made clear, and they are not getting that clarity. March 1st was the deadline and that AMvB should just be there. We will disagree about the content of that AMvB, but that AMvB should just be there. There is already a 30-member debate on the list and, as far as I am concerned, we are still holding that debate today. In the First Chamber they will be debating this next week, and I think that we in the House of Representatives should show that we can do the same. I really hope for the support of the coalition.
ParlaMint-NL_2015-03-12-tweedekamer-6.u38	So you also support the request for an interplay.
ParlaMint-NL_2015-03-12-tweedekamer-6.u39	Mr President, I understand from your introductory remarks that an interplay debate is about the same as a 30-member debate. I find that a little confusing, because I really feel that an interplay has something of urgency in it and really cannot wait. In general, my group is not in favour of interplays, but in this particular case it is because the Secretary of State has systematically ignored the Chamber. I therefore urge you to hold an interplay debate or a 30-member debate on what it will be, and I do not care to plan it if it can be discussed with the Secretary of State by next Tuesday at the latest.
ParlaMint-NL_2015-03-12-tweedekamer-6.u40	I stood at Mrs Thieme's place last week with the same request. Except I didn't call it interpellation. It is really necessary to talk about it very quickly. More people will say that this is necessary, and that is why I wholeheartedly support the request. That debate must be put to the left or to the right.
ParlaMint-NL_2015-03-12-tweedekamer-6.u41	No support. We are anxiously waiting for the letter from the Secretary of State and then we would like to discuss it with her.
ParlaMint-NL_2015-03-12-tweedekamer-6.u42	You mean you want to wait for the AMvB.
ParlaMint-NL_2015-03-12-tweedekamer-6.u43	Earlier, we made a request for a debate. That request was not supported. I wholeheartedly support Mrs Thieme's request, because it is a very strange course of action. I am also saying this to the coalition colleagues. We had a debate where we found that we differed on the content, but in that debate there was also a point of principle above the market, namely that it is an empty law that needs to be filled in at AMvB. That AMvB was supposed to be there on March 1st, but she's still not there. The Secretary of State for ELI said in this debate: you must trust that the AMvB will be there, otherwise I will have a problem with the Chamber. In my view, that justifies us having a quick exchange of views with the Secretary of State.
ParlaMint-NL_2015-03-12-tweedekamer-6.u44	I would like to have the AMvB first, because then we can debate content. So no support until the AMvB gets here.
ParlaMint-NL_2015-03-12-tweedekamer-6.u45	You shouldn't disturb a brooding chicken. I understand from the letter that the chicken is still brooding. That is why we are waiting for the AMvB to enter into a debate. So no support.
ParlaMint-NL_2015-03-12-tweedekamer-6.u46	Mrs Thieme, you do not have the support of a majority in favour of holding a debate or an interplay.
ParlaMint-NL_2015-03-12-tweedekamer-6.u47	I've noticed. It's really important to me that we can't do this. The Secretary of State has said that for her March 1st is really the deadline to give certainty. If that deadline is not met, it is striking that the coalition parties clearly do not attach any importance to it. That disappoints me very much.
ParlaMint-NL_2015-03-12-tweedekamer-6.u48	Thank you.
ParlaMint-NL_2015-03-12-tweedekamer-6.u49	Madam President, I have a request for you. I understand your dilemma, but I also understand Mrs Thieme's. If the Cabinet makes a commitment with a date, it is up to the Chamber to ensure that that date is met. I therefore ask you to ask the Cabinet to ensure that the letter is available by Tuesday morning at the latest. If that letter is not available, Mrs Thieme can still request an interview for the same day.
ParlaMint-NL_2015-03-12-tweedekamer-6.u50	You say "letter," but of course you mean the AMvB. I will pass on the stenogram of this part of the meeting to the cabinet. I call Mrs Leijten.
ParlaMint-NL_2015-03-12-tweedekamer-6.u51	Mr President, yesterday GPs nailed a manifesto to the door of VWS and several head offices of health insurance companies, because they think product thinking is destroying the GP model and they want to restore confidence in the professional group. I would like to request a debate on this with the VWS Minister.
ParlaMint-NL_2015-03-12-tweedekamer-6.u52	This is a recurring problem that we hear a lot about. That is why I support the request for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u53	The SP isn't the only party that's worried about that. In recent weeks, we have discussed this issue on a regular basis. I would rather get a response first in a letter from the Minister and then I would like to see if there should be a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u54	You would like a letter with a response to the events.
ParlaMint-NL_2015-03-12-tweedekamer-6.u55	I find the action of the general practitioners very sympathetic and understandable. I would like to have the debate on this, so I support it. A motion was adopted earlier by Mrs Leijten and myself on the position of general practitioners. The Minister is going to respond to that. It would be nice if, at the time of the debate, we could also hear from the Minister how she intends to implement the motion. I know that she will bring that up in the short term, so as far as I am concerned, the debate can also be scheduled in the short term.
ParlaMint-NL_2015-03-12-tweedekamer-6.u56	A manifesto has been hung. However, I wonder how that manifesto could have been nailed to a glass door. I've got to figure out how to do that one more time. No further support for a debate. There is a motion for a resolution which has been adopted and which will follow. In addition, there is a 21-point plan by the minister which contains all sorts of things, including general practitioners' care. There will soon be an extensive hearing on this subject, which is why I do not need another debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u57	It is not the way the manifesto is hung, but the content of the manifesto. That is why we support the debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u58	Congratulations on your support.
ParlaMint-NL_2015-03-12-tweedekamer-6.u59	Support for the request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u60	Mrs Leijten, I waited to see if there were any more reactions from the Chamber, but they did not come. I can only conclude that there is no majority in favour of your request for a plenary debate. There is, however, a need for a letter with a response from the Minister to the manifesto.
ParlaMint-NL_2015-03-12-tweedekamer-6.u61	Then I'd like to turn it into a 30-member debate. There are enough members for that. The letter may, of course, come and we shall see if we can include it in the 30-member debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u62	I will pass on the stenogram of this part of the meeting to the cabinet. I will add the thirty-member debate to the list. I call Mrs Van Toorenburg of the CDA.
ParlaMint-NL_2015-03-12-tweedekamer-6.u63	Mr. Chairman. We have been discussing the decline in employment in Friesland with this cabinet for a long time. We really want to clarify from Minister Blok about this morning's report at the Leeuwarder Courant that the Leeuwarden Court is going to lose jobs. This is contrary to Minister Blok's promise that he would prevent a further decline in the state employment situation in Friesland. In fact, Minister Blok promised us that the imbalance would be removed structurally. That is why we want to have a debate on this with the Minister for Housing and National Service.
ParlaMint-NL_2015-03-12-tweedekamer-6.u64	I've listened very carefully. This is a debate with the Minister for Housing and National Service on employment in the North as a result of the reorganisation of the State Service.
ParlaMint-NL_2015-03-12-tweedekamer-6.u65	I would also like the Minister for Security and Justice to be involved, because we have warned the Minister for years that this was happening. It is very important for Friesland, not only because of employment, but also because people in the Frisian language can say their piece in court. I support the request for a debate, but I would also like to receive a letter from both ministers, who happen to be united in one person.
ParlaMint-NL_2015-03-12-tweedekamer-6.u66	So you are broadening the subject: it is not just about the reorganisation of the state service, but also about the problems in court. Support for the debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u67	So you see how quickly the confusion strikes. My group does not need a debate with the Minister for roofing. We want to talk to the Minister of Security and Justice. This can be done in the general consultation on the case law in April.
ParlaMint-NL_2015-03-12-tweedekamer-6.u68	No support for the debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u69	This is an important issue. My group also believes that this is the fastest way forward when we discuss this issue in general consultation of the Court of Justice, which is scheduled for 1 April. However, it would be good to receive a letter on this subject before then.
ParlaMint-NL_2015-03-12-tweedekamer-6.u70	The Christian Union Group had the same concerns about employment and safety in Friesland. That is why we asked written questions yesterday. I believe that the VVD Group has also asked written questions. The answer is a prerequisite for such a debate, but we also support the request. If there is no majority in favour of a plenary debate, we can plan an AO, but at least we want a debate on this.
ParlaMint-NL_2015-03-12-tweedekamer-6.u71	The PvdA Group has also asked questions to the Minister for Housing and Reichsdienst. With that minister is on the basis of the famous motion-De Vries c.s. the agreement that the provinces of Friesland, Groningen, Drenthe, Limburg and Zeeland are not disproportionately affected by the slimming down of the state service. I think the debate should be held with the Minister for Housing and National Service. This can be done, for example, in the AO about the rejection of state real estate planned on March 25th.
ParlaMint-NL_2015-03-12-tweedekamer-6.u72	So you do not support a plenary debate on this issue?
ParlaMint-NL_2015-03-12-tweedekamer-6.u73	No, it'll go faster if we do it in an AO.
ParlaMint-NL_2015-03-12-tweedekamer-6.u74	My colleague from the Christian Union has already announced it: the VVD has also asked questions. We have not turned out to be the only party. First, let us wait for the answers to these questions and receive a letter from the cabinet, from the Minister of Security and Justice, and from Wonen and Rijksdienst. Then we can look further. I do not think Mr De Vries' suggestion is uncomfortable either. No support for the debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u75	I am surprised that all Members have questions, but do not want a direct debate, except for a number of parties. I find it really impossible to add this to an AO about repulsion of state real estate. For two years we have been warning the Minister that these people's jobs are at stake. It seems too derogatory to me to want to discuss this in an AO's about real estate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u76	Another way of asking questions is through a letter. There's a need to do that. I will pass on the stenogram of this part of the meeting to the cabinet. By the way, I must say that it is always nice to make a word joke, but that it is nice to mention a minister in his office and not to talk about him with a joke that you can make outside this room. I give the floor to Mr Klaver van GroenLinks.
ParlaMint-NL_2015-03-12-tweedekamer-6.u77	Mr. Chairman. My group would like to request a debate on new research data from RIVM and Utrecht University. They have analysed the data of no less than 7 million Dutch people using new research methods. This shows that nitrogen dioxide plays a much more important role in premature mortality, especially among people under 65 years of age, than was previously thought. GroenLinks therefore wants a short-term debate with the Secretary of State of I and M, preceded by a letter, on the significantly more serious consequences of this air pollution on human health.
ParlaMint-NL_2015-03-12-tweedekamer-6.u78	The Animal Party held a hearing last November on air pollution and health risks. Now that RIVM reaffirms that we really have a big problem here in the Netherlands, we wholeheartedly support Mr Klaver's request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u79	The same goes for D66. This is an important investigation that we really need to talk about.
ParlaMint-NL_2015-03-12-tweedekamer-6.u80	I would also like to support this request, but add that it is my preference if this can be done more quickly in an AA. In an AO we can also have an exchange of views with the Secretary of State.
ParlaMint-NL_2015-03-12-tweedekamer-6.u81	I'll write you down as a support party.
ParlaMint-NL_2015-03-12-tweedekamer-6.u82	Support for the letter. On the basis of the content, we can then look at whether we want a debate or an AO.
ParlaMint-NL_2015-03-12-tweedekamer-6.u83	At the moment, no support for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u84	This surprises me. We have recently discussed air quality extensively here in an AO Environment, and also in the debate in preparation for the Environment Council. Then GroenLinks will not be home or impressed, but now Mr Klaver is asking for a plenary debate. A letter is fine with me, but no support for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u85	I will give you an opportunity to respond, Mr Klaver.
ParlaMint-NL_2015-03-12-tweedekamer-6.u86	We also support a letter, but not a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u87	That goes for us, too. Let's start with the letter. Then we will see whether there is a need for a debate on this basis.
ParlaMint-NL_2015-03-12-tweedekamer-6.u88	I'd like a letter as far as we're concerned. A debate is fine, but if it can be done in general consultation, we agree with it. We've just talked about it, but it's important enough.
ParlaMint-NL_2015-03-12-tweedekamer-6.u89	We note this as a support for the request to speak in plenary, with which there is sufficient support for a 30-member debate, but no support from the majority of the Chamber. There is a broad need for a letter explaining the response to this study.
ParlaMint-NL_2015-03-12-tweedekamer-6.u90	Certainly, Mr. Chairman. My request is that that letter be sent to the Chamber by mid-April. I am glad that we are often discussing this subject, but the reason why we are now requesting it is that new scientific evidence has been produced by RIVM and Utrecht University. That seems to me to be sufficient reason to speak of it explicitly once again.
ParlaMint-NL_2015-03-12-tweedekamer-6.u91	I would add the debate to the list of 30 Members' debates, with three minutes' speaking time per group. I will pass on the stenogram of this part of the meeting to the cabinet. I call Mr Merkies.
ParlaMint-NL_2015-03-12-tweedekamer-6.u92	Mr. Chairman. The Banking Union makes it possible for banks to continue to grow. We have been making efforts for some time now to limit the size of banks. We are pleased that the Dutch Bank has today proposed to set an upper limit on the size of banks. I would like a response from the cabinet to what has been proposed today by the Dutch Bank, for the debate that will take place next Monday or Tuesday, depending on the vote in the near future.
ParlaMint-NL_2015-03-12-tweedekamer-6.u93	D66 has been working much longer to get megabanks on the agenda, so full support.
ParlaMint-NL_2015-03-12-tweedekamer-6.u94	You don't have to support a letter, but you can.
ParlaMint-NL_2015-03-12-tweedekamer-6.u95	On such an important issue, if even the Dutch Bank indicates that the size of banks is a major danger to the financial system and that a ceiling should be set. We wholeheartedly support the letter and, above all, the point that it should be available by Monday so that we can involve it in the debate. If the cabinet does not have enough time, we could consider having the debate on the summit on Tuesday.
ParlaMint-NL_2015-03-12-tweedekamer-6.u96	Full support for both the letter and the debate. Together with my colleague from D66 I have tabled several motions for a maximum of the size of banks and for a merger stop. We now see that confirmed by DNB. We would like to receive the letter for the debate on the European summit.
ParlaMint-NL_2015-03-12-tweedekamer-6.u97	I agree with the request for a letter. I see that many colleagues are now asking for a debate. I believe that this issue deserves a separate debate...
ParlaMint-NL_2015-03-12-tweedekamer-6.u98	That's another request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u99	I know. In any case, we can discuss it at the European summit. I don't think anything's gonna stop us from doing that at all. However, I would be very sorry if this item were completely off the agenda.
ParlaMint-NL_2015-03-12-tweedekamer-6.u100	You can always agree after the letter has arrived in committee to involve it in another way.
ParlaMint-NL_2015-03-12-tweedekamer-6.u101	Then we certainly should.
ParlaMint-NL_2015-03-12-tweedekamer-6.u102	The PvdA is also opposed to superbanks in Europe. It is right that we should discuss this with the Minister and the Cabinet. We are in favour of a letter. Every group is free to discuss it on Monday, but I do not think it is on the agenda of the European summit. The PvdA does agree with Mrs Schouten's proposal to discuss it in greater detail at a later date. That is also what I would like to consider to Mr Merkies.
ParlaMint-NL_2015-03-12-tweedekamer-6.u103	The VVD supports a letter, but as far as we are concerned we do not involve it in the European summit. Then the letter doesn't have to be sent before then either.
ParlaMint-NL_2015-03-12-tweedekamer-6.u104	I would like a letter and also a letter before the European summit for next Tuesday's debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u105	Support for the request.
ParlaMint-NL_2015-03-12-tweedekamer-6.u106	Mr Merkies, I will pass on the stenogram of this part of the meeting to the cabinet.
ParlaMint-NL_2015-03-12-tweedekamer-6.u107	Of course, I welcome the proposal to discuss it further later in a separate debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u108	You can make arrangements about that later. This has put an end to the regulation of work and enables us to vote.
