ParlaMint-NL_2015-11-03-eerstekamer-5.u1	I welcome the Minister of Finance to the First Chamber and give the floor to Mr Van Apeldoorn.
ParlaMint-NL_2015-11-03-eerstekamer-5.u12	I wonder what exactly Mr Postema means by 'limiting taxpayers' costs as much as possible'. Can he explain that? As Mr Postema knows, taxpayers are paying directly to supplement the resolution fund. That amounts to nearly 1 billion over an eight-year period, as I said earlier. More fundamentally, the problem of the resolution fund itself and the bail-in instrument. As Mr Postema knows, all kinds of liabilities are excluded from the bail-in. Subsequently, the Board has the discretionary power to exclude further liabilities, for example where there is a problem of interconnection and where other banks would be affected by such bail-in because of the risk of contagion. This means that the resolution fund may be presented more quickly than is often proposed today. The resolution fund has only a very limited scope. In the end, the taxpayer is the guarantor. In the European directive on this subject, Mr Postema knows that it is quite clear to me that the cost to taxpayers should be reduced as much as possible. This actually means that it is now legal that the taxpayer has a role to play in the end. It is now on paper that the taxpayer can indeed be tackled, but we must reduce the cost to the taxpayer as much as possible. Perhaps Mr Postema could elaborate on that.
ParlaMint-NL_2015-11-03-eerstekamer-5.u13	I'd love to. I think it is factually wrong to say that the taxpayer directly contributes to the fund. That is simply not the case. I also think it is an incorrect picture that the Socialist Party is evoking. I think the link between the taxpayer and the fund is very wrong. Of course, governments are an ultimate backstop. It is also true that governments are ultimately funded by taxpayers. But the image that is being called up is exactly the opposite of what this legislation is trying to achieve, namely that it is not as it was in 2008 and later on that the taxpayer is on the blister, but that it is now the banks themselves and their financiers who take responsibility. I would like the Socialist Party to acknowledge in advance that this is an extremely important step to keep ordinary citizens in this country out of the wind when it comes to the problems of the banks, before suggesting that we are all doing things wrong with each other. That is the first part of your question which I would like to answer.
ParlaMint-NL_2015-11-03-eerstekamer-5.u14	Mr Van Apeldoorn, briefly, if you will.
ParlaMint-NL_2015-11-03-eerstekamer-5.u15	I'll keep it brief. Mr Postema and I agree on what the intention should be, namely to keep the taxpayer out of sight. The question is whether the practice now looks the same. Mr Postema states that the Socialist Party is wrong, but I would like to draw Mr Postema's attention once again to the specific situation in which the Dutch Government has decided that the contributions of the banks to the resolution fund remain deductible as costs. It could've been different. A law could have been filed to change that. I sincerely wonder why Mr Postema was not in favour or in favour of this. If the aim is to minimise the cost to taxpayers, why is it not repaired in the law, so that these contributions are no longer deductible as costs? That would have been a possibility, wouldn't it?
ParlaMint-NL_2015-11-03-eerstekamer-5.u16	I see that as a slightly different, more profound question. This also applies to the fact that the government can at any time ensure that goods are no longer deductible in this country. We can decide that tomorrow for all kinds of companies. Fortunately, we do not, because there is also such a thing as the right to property and reliability of the government and what is more. The idea that a system of deductibility of costs, set-off and determination of profits, which has been fairly tested in the Netherlands, is not being used, is quite logical as such. The mere fact that this regulation leaves room to do so is an interesting point to be mentioned, but if the government chooses not to do so, then I would object to an image being drawn up as if it were to be used by the taxpayer. That is a completely wrong picture that you could expand endlessly on all kinds of business activities, whether you like it or not, like it or not, like it or not. It would be completely arbitrary if we were to say in each of these cases at the intercession of the SP: these are such bandits, let us not offer any deduction.
ParlaMint-NL_2015-11-03-eerstekamer-5.u17	I would ask Mr Postema whether it makes any difference to him that, in the case of deposit guarantee contributions which contribute, they are assigned to a fund to which only the banking sector can claim, or rather their customers.
ParlaMint-NL_2015-11-03-eerstekamer-5.u18	That wouldn't matter to me. It is not a matter of principle. The second part of Mr Van Apeldoorn's question is at least as interesting as the first part. Of course I see his point. If you allow derogations, the scheme offers scope for this and if you allow discretion to the resolution authority, we must be careful not to cause the bail-in instrument to be hollowed out. I don't see that space in all sincerity right now. I also assume that it will be repaired very quickly if we have misanalysed the government, the parties on the other side and those here in this Chamber in the Netherlands and in Europe. At the moment, I do not see that we should call on the fund in no time, because bail-in would turn out to be an ineffective instrument. It would also be very strange, I think, if a finance minister, who has led the way in the European context in applying this instrument, were to give up on a regulation like we are discussing today. By the way, in the rest of my text, I will come back to that discretionary power. Mr. Chairman. I had stayed with the appropriate losses of bank financiers and that the idea is that "appropriate" should then be understood as a proportionate share. An appropriate part is referred to in the present legislative proposal as a proportionate part, in the sense that the loss of shareholders and creditors must be proportionate to the risk they have taken. The principle of "no credit worth off" applies: they must not be worse off than if the institution had been wound up in a regular bankruptcy procedure. The question, however, is to what extent this principle can actually be maintained objectively. To this end, the Directive and the Regulation include the ex post valuation by an independent third party, which is intended to assess the extent to which creditors of the bank have fallen into a worse position in resolution than if a bank had been wound up in a regular bankruptcy procedure. For entities not covered by the SRM, Article 3A:20 third paragraph of Wft provides for similar provisions. However, there is no impact of this provision, for example as regards the time limits and procedures to be set of objections and appeals. Can the Minister indicate how this is going to be foreseen? Another point in this respect is the discretionary power of the resolution authority........................................................................................................................................................................................................................................................ How much does the Minister consider that such discretionary powers, e.g. to exclude certain bail-in creditors, would be at odds with the principle of carrying an appropriate debt instrument, read: proportional part of the costs and of "no credit-worse off'? Can the Minister take care of my group that the combination of these provisions can lead to a multitude of legal disputes? Mr President, I come to my final point. We are on the eve of the privatisation of ABN AMRO. There has been a great deal of social and political debate on this in recent years, and this is now desirable given the far-reaching nature of the intervention at the time and of the letting go of the weather. An important part of the mode found to bring the bank back to the stock market is the adoption of adequate protection measures. However, neither the Directive nor the Regulation lay down a specific system of protection measures. The question is, therefore, what will happen to this if the bank were to find itself in a process of resolution. Is it conceivable that the resolution authority does not respect an affected protection measure? And, if that is the case, has our Minister ensured that the protection measures taken for ABN AMRO are designed in such a way as to minimise the risk of the resolution authority putting them aside? Mr President, as far as first time is concerned.
ParlaMint-NL_2015-11-03-eerstekamer-5.u19	The next item is the continuation of the discussion of legislative proposal 34208, the Implementation Act European framework for the recovery and resolution of banks and investment firms. I give the floor to the Minister of Finance.
ParlaMint-NL_2015-11-03-eerstekamer-5.u20	Thank you, Mr. Chairman. I was afraid you were going to read the entire title of the bill again, but you were satisfied with the short title.
ParlaMint-NL_2015-11-03-eerstekamer-5.u21	No, no, no. Once upon a time, that was never gonna happen again.
