ParlaMint-NL_2015-12-21-eerstekamer-4.u1	We have arrived at the second term of office.
ParlaMint-NL_2015-12-21-eerstekamer-4.u14	Mr. Chairman. First of all, I would like to congratulate Mr Köhler on his maiden speech last week. I would like to thank the Secretary of State for answering the questions to the report this evening. Article 1 of the Constitution paragraph 1 (3) on the wall in the Knight's Room I have seen it three times since I am a senator and I am always happy to look at it as follows: All who are in the territory of the Empire, whether residents or foreigners, have equal rights to protection of persons and property. Article 10 of the Tax Act 2015 reads as follows: Wage is all that is enjoyed by an employment or former employment. This text, which forms an integral part of the Income Tax Act, shows that income from an earlier employment relationship is also pay. Income from the present and the former employment is treated equally. Pension is income from a former employment and therefore also income from labour. It's deferred pay. There is therefore no legal basis for any other treatment under Article 10. I would like to receive a response from the Secretary of State. In other words, the law does not distinguish between age and age as a border for another regime. It is not possible to treat pensions differently because they are past labour. The tax reductions for workers are much higher than those for the elderly. I explained this in detail last week on the basis of the figures in the Chambers. The total of the tax rebates is €3,300 higher for workers than for older people with an income of €20,000 and €3,700 higher for an income of €40,000. This is still excluding the income-dependent combination discount of €2,800. This makes the difference much bigger, namely more than €6,000 less tax and higher discounts. In the period 2015 to 2017, the employment discount increases by €1,100 for an income of €20,000. Older people's discount doesn't go up. The members of the 50PLUS Group point out the differences between these two groups, the workers and the non-workers, in the various discounts. Let me repeat this very briefly. The general tax discount is €1,100 higher for workers than for the elderly. The employment discount is €2,200 to €3,000 higher than the old-age discount. The reduction in working hours is much lower for older workers than for younger workers. The employment discount is limited to a high income of €120,000, with a gradual phasing-out. The elderly discount is limited to an income of €35,000 and then stops immediately. With €1 more you lose €1,000. A marginal rate that is not yet known in North Korea. The general tax rebate is the continuation of the duty-free rate, in which no distinction was made at the time in terms of age. I am now talking about the period for the year 2000. The employment discount is the continuation of the so-called, famous and well-known labour cost gap. I remember that very well, because I raised it from 600 guilders to 1,000 guilders. I think that was 1974. There, too, no distinction was made by age in the acquisition costs of wages. The 50PLUS Group has asked for justification for these differences, namely the much higher tax reductions for workers, but the answers given have not convinced us at all. Can't the Secretary of State go into that again? On the contrary, the answers given over and over again are based on the same reasoning. The answer in the first period was that today's workers are the elderly of the future. I said last week: today's older people are the workers of that time. Those are actually two open doors. Other arguments are now being put forward than last week to give the benefits to the workers and not to the elderly. At the core, they all mean that workers need to be facilitated throughout their lives in order to build up prosperity, their prosperity. Workers work and build prosperity, the Secretary of State said. And a higher employment discount leads to more jobs in the models. I am not going to repeat the arguments that have been used and which I have already criticized in the first term. Income tax should not be reduced to a job machine, at least on paper, because in reality that tax is a revenue machine for the State. However, I would like once again to mention the State Secretary's new argument that the tax rebates for workers must be much higher than those for workers, apparently because AOWers do not pay an AOW premium. I would point out again that the AOW is an old-age insurance scheme and the AOW premium is not a tax. If we look only at the taxation of the workers, without the AOW premium, then the elderly pay far more taxes than the taxes paid by the workers without the AOW premium. I refer to Table 11 of the note. There's the cliff-and-ready. Older people also pay 5.5% income-dependent care contributions that the workers do not pay. And the care premium that the employer has been paying for the employees since 2013 has been unpaid since then. In the answer in the first term, the Secretary of State goes one step further in his defence. Older people historically had a number of fiscal and other advantages. At some point, it has been decided to reduce or reduce these benefits. The Secretary of State says they didn't disappear. Then you see a reduced purchasing power development, according to the Secretary of State, with a still favourable final balance. It is not, therefore, a disadvantage to the elderly but an equalisation. The position of preference has been called into question, but no disadvantage has been created, according to the Secretary of State. I always like to quote him as literally as possible. However, according to the 50PLUS Group, the rights of older people are being taken away and, in any case, limited and increasingly large financial rights are being created for workers. I'd like to get a reaction to this. Last week, the ruler also referred to the report De sociale staat van Nederland 2015 of the Social Cultural Planning Bureau, which just appeared. I couldn't have read it yet. The report states that pensioners have had a 3% increase in purchasing power over the period 2004 to 2013. This is higher than the average rate of increase in purchasing power for all, i.e. 1%, while there were all kinds of mins for all kinds of groups. I would like to point out once again that Table 7 of the reply shows that between 2010 and 2016 the elderly lost 7% to 12%. It is a good thing that the Secretary of State came up with a purchasing power review this evening for the period 2004 to 2016, which we had asked for earlier. So far, the Secretary of State only gave the figures from 2010. The figures over a much longer period show a decrease in purchasing power for people with AOW and €10,000 supplementary pension. I am now quoting from this evening's response, from Table 2 on cumulative purchasing power for example households in the period 2004-2016. For a single person who has a €10,000 supplementary pension, the decrease in purchasing power is 4.5%. So that's not plus 3%, but minus 4.5%. For a couple with an additional pension of €10,000 in addition to the AOW, there is also a decrease in purchasing power, albeit less, of 1.5%. Referring to the SCP report, last week the Secretary of State mentioned the percentage of plus 3%, but that is a very different figure. I hope that the Secretary of State can explain why he gave that figure last week, when he is now giving a completely different figure. Because instead of an average of plus 3%, you could say that it is an average of minus 3%. I would like to point out that, if there is an increase, people with only AOW are indeed making some progress because of the indexation, of course there are always the costs of the rents, the own risk, the care premium and so on, the real household booklet. I maintain my position previously confirmed by the Secretary of State that there is a major purchasing power decline from 2010. It now appears to be there from 2004, as I actually assumed, but not yet. The Secretary of State appreciated the new method I use: what does it mean for one group and the other in millions rather than in purchasing power? Let me now turn to the proportional share, structural, and to what we have not received and have received, the one-off. 100% of the structural proportional part requested in the Nagel motion came to nothing. There's only been a repair. There's no more taking what was taken first. The structural burden increase of 500 million continues. This one-off 900 million for 2016 is a good thing, but it is not important for us in the structural assessment of the Tax Plan at all. It concerns the structurally proportional part, as indicated in the Nagel motion, which has been accepted here. It is also a question of comparing workers and older people on the basis of three criteria. The first is structural versus one-off. The second is to look at three years instead of one year; one year back and one year ahead, so in this case to 2015, 2016 and 2017. Furthermore, it concerns the sum of tax (through the Tax Plan) and non-fiscal charges, such as the increase in the income-dependent care premium by 0.65%, which gives the elderly almost 300 million structural burdens. That is not in the Tax Plan, but of course we do count on that, because we have a broad view. For the workers from 2016, we see an exclusive structural tax reduction of over 4 billion and this is 0 for the elderly. Let me now turn to my questions on the principle of carrying capacity and the legality of the proposals. The principle of carrying capacity is based on an equal tax on equal income and a higher tax as income is higher. In reply to our question, the Secretary of State stated that the principle of carrying capacity is an important pillar, in addition to the principle of equality and the principle of prosperity. In response to Mr van Rij's urgent question, he confirmed that the limits of income-related targeted policies have been reached. Mr Van Rij spoke about this again this evening. In the first instance, I have shown that, in our opinion, the current proposals are contrary to the principle of carrying capacity and lead to an even greater deterioration of that principle than was already the case. This is also the case with the different treatment of single and double-earners, referring to the Schalk motion. I can come to no conclusion other than that these proposals are contrary to the principle of carrying capacity and to the principle of equality, as we see it. The Secretary of State forgot to answer my question about the principle of carrying capacity. We are now expressly asking him to deal with this. Fortunately, he declared at the end that he was prepared to see the principle of carrying capacity as the zero point of the Tax Plan. I hope that his last words this evening will also send a positive signal to this debate. Then I'll come to legality. In the first term, I stated that the principle of equal treatment is the test of the legality of proposals. I asked whether these proposals were justified and asked for an answer, but that did not come at the time. I now lack the time to go into it further, but it has to be the ruler after 200 questions. He had counted them and 62 pages answered it clearly that I expressed reasonable doubts on the basis of those answers in the first period. His written answers and his first period have raised the question of whether the proposals can pass the test of legality. The right to property may also be called into question. This may lead to proceedings before the Dutch courts and subsequently at the European Court in Luxembourg or Strasbourg. Please respond. The 50PLUS Group sees it as its responsibility, after careful consideration of the Tax Plan. That is: it is discrimination according to age. The question arises to what extent the proposals are lawful. Can the Secretary of State still give his views on this? We think it's a punishment for getting old. The ruler has given his former colleague, Secretary of State, yours truly, another vote advice. He says that I know like no other that it's about compromise and that you can't pull everything in. My problem with this Tax Plan is that this is a very bad structural proposal for the elderly, on top of last year's disastrous tax plan. That can only be repaired structurally and that has not happened. For the workers, the ruler can make major compromises and spend 300 million in structural funds, as I noted in the latest compromise, with the letter and the novel. The municipal coal letter of 8 December shows that, at the request of the D66 Senate Group, the cabinet continues unsatisfyingly on this unrighteous and unrighteous road. This letter announces a preliminary draft for extending the tax area accompanied by a reduction in taxation on labour. This would lead to an increase in the employment discount of around €1,300. In my group's view, this is again contrary to the principle of carrying capacity and not legitimate. Our group supports the criticism of the box 3 proposals and will support the Van Rij motion, which calls for further improvement from 2017 for the small saver, including many older people. In order to prevent purchasing power from falling further by half a percent for income to €40,000 in 2017, as shown in Table 4, which we were allowed to receive tonight, I will table a motion together with my colleague Van Rij to maintain the elderly discount structurally at the level of 2016. The President shall: Mr Van Rooijen, Mr Van Rij, Mr Van Strien, Mr Ester, Mr Köhler and Mr Ten Hoeve proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the government will increase the elderly discount by €222 from 2016 onwards, but that this increase in the elderly discount will be halved from 2017 onwards;]] [[Whereas in recent years the elderly have suffered a severe loss of purchasing power;]] [[whereas more than 10% of taxpayers are now unable to make use of the income-dependent combination discount (IACK);]] [[Whereas more than 5% of workers are now unable to make use of the income-dependent reduction (AK);]] [[Whereas the reduction of the IACK and the AK can provide the necessary EUR 170 million to cover the structural increase of the elderly discount by €222 from 1 January 2017;]] [[calls on the government to maintain the elderly discount at €222 per year in the 2017 Tax Plan,]] [[and goes to the order of the day.]] [[She's getting No. kst-34302-L]]
ParlaMint-NL_2015-12-21-eerstekamer-4.u15	Mr. Chairman. Thank you to the Secretary of State and his colleagues for answering my group's questions and congratulating Mr Köhler on his maiden speech last week. The 2016 Tax Plan is certainly one of the legislative proposals of this cabinet that required the most debate, measured in meeting hours. That was necessary, too. The Tax Plan reflects deeper political positions that relate to fundamental views on the economy, justice and sustainability. The Tax Plan is not a succession of fiscal things and things, but it is about political values and political choices. In the first term, it became clear that the Christian Union Group has major problems with this Tax Plan and the novelle does not change that much. And then it's about those underlying political values and political choices. We have listened carefully to the answers given by the Secretary of State, but they have not removed our doubts, at least not on the most appropriate points. Our measuring bar consisted of four assessment criteria: is the Tax Plan justified, is it realistic, is it just and is it green. My group's final judgment is not positive, not even with regard to the novella, and we sincerely regret that. The increase in the budget deficit of 5 billion for a package with a poor and uncertain yield is, in all, too weak a proposition. 35,000 jobs in the long term is not only a butter-soft figure, but it is simply too little, and it is also too late, because the Netherlands has 600,000 unemployed. It offers no prospects for them, and certainly not for the more than 250 000 long-term unemployed among them. With an investment of EUR 5 billion, a higher and faster return must be the stakes. The number of job plans in this cabinet is now barely visible: the energy agreement with 15,000 jobs, the social agreement with 125,000 jobs, the Natural Pact with 40,000 jobs and the health agreement with 40,000 jobs retained. Then I'm sure I'll leave out a few more. With all these job plans, it is surprising that we still have unemployment at all. The novelle doesn't add anything to creating jobs. The CPB reports that the novelle "has a marginal positive effect on employment of rounded 0.0%'. That is a sentence which, as far as I am concerned, may write parliamentary history. The Secretary of State is agile to add that, in the long term, the 5 billion package will still create 35,000 additional jobs with the novelle. That's the kind of sentence you write when you're actually expecting less jobs. The Christian Union Group considers that without a fundamental and well-thought-out reform of our tax system we should not pump around 5 billion. It is money that we borrow from the next generation unsolicited and that increases our national debt further. We share the concerns of the Council of State on this crucial point. In the face of the elections, the cabinet makes good credit with money that it doesn't have in cash. Much better would have been to reserve this money for a real system review that seeks the right balance between paid labour and unpaid care, between family and individual, between consumption and environmental taxes. My group will give every Dutchman a douche bag, but it will if we have our economy in order and put the right priorities in place. Now it smells like electoral opportunism. The very uncertain and precarious international political and economic context requires that we put our financial buffers in order and, above all, keep them in place. The Tax Plan is not only irresponsible in our view, but also unjust. We have talked about this in detail. People who provide unpaid care to relatives and relatives, chronically ill and disabled people, benefit recipients and some elderly people are getting rid of it. They're their own forgotten groups. Paid labour is all that beats the clock; unpaid labour is not appreciated by this cabinet. The novella confirms this primate. We hold the Secretary of State to his fine words in order to consider, in the preparations for the 2017 Tax Plan, how the tax-sensitive position of a earner can be done justice. The Schalk motion must not disappear from view. We will continue to follow the Secretary of State on this point. I agree with Mr Van Rij on this point. The Climate Agreement also requires a much more decisive policy from the Netherlands. Also effective fiscal policies are needed to accelerate the necessary sustainability and greening of our economy. The Secretary of State, as it turns out over and over again, doesn't really focus on the retina and shoots quickly in a problem mode. Many environmental incentives, he says, are not effective. The answer to this argument is, of course, not that we should therefore refrain from using tax incentives, but that we should stop all our energy in the design of efficient environmental incentives. Then we really do justice to Creation and to the interests of future generations. My group welcomes the fact that the agreement with D66 provides greening impulses, although it must be said that these are agreements, with the exception of the intensification of energy-saving measures, which will lead to possible results only after 2016. Moreover, these measures, for example the phasing-out of coal-fired power stations, which, however important, do not directly affect taxation. The possible extension of the municipal tax area is also fiscal future music. The 2016 Tax Plan has become a fiscal grabbelton, in which everyone in the cabinet is given some spread, but especially in the corner of the workers. At the same time, the necessary tax reform is disappearing beyond the horizon. And there is the really missed opportunity, namely the chance to make the Dutch economy really stronger. The tax plan is not sufficiently responsible, unfair, not enough green, but not enough realistic. This applies in particular to the claimed job return. I went into this in detail last week, including the technique of calculation models. Of course, I won't do that again here. It is good to have shared that we should be cautious in the political cashing of CPB job projections. The Hague, therefore, we must not go along with the planning agency's employment calculations. The agency itself will be the first to confirm this. As I said last week, models are models and politics is politics. My group appreciates our national mathematicians and their independent position, but they can only row with the belts they have. I also refer to the interview with CPB director Laura van Geest in the Reformatorisch Dagblad last Saturday. The CPB labour supply models are based, according to data from the years 2006-2009. These years only partly cover the economic crisis. The answer given by the Secretary of State to my written question on this matter shows more recent dates. In order to provide a more up-to-date and realistic basis for the debate on job projections, in particular on the impact of unemployment developments, I would like, in conclusion, to table a motion on the much-needed update of the forecasting models. The President shall: Mr Ester, Mr Van Rij, Mr Köhler, Mr Van Rooijen, Mr Bikker and Mr Schalk proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the CPB introduced a renewed MICSIM model and published several labour market studies using this model;]] [[noting that labour supply elasticities in the MICSIM model have been estimated on the basis of data relating to the period 2006-2009;]] [[whereas the CPB states that due to the low involuntary unemployment over the period 2006-2009, it has therefore had a marginal downward impact on labour supply elasticities in the MICSIM model;]] [[Whereas involuntary unemployment is now significantly higher than in the period 2006-2009;]] [[Whereas, according to the reply (34302 (G)), the CPB now has more recent dates;]] [[calls on the Government to ask the CPB to process the most up-to-date data in the MICSIM model and to use them in labour market studies and calculations of employment effects of planned government policies,]] [[and goes to the order of the day.]] [[She's getting No. kst-34302-M]]
ParlaMint-NL_2015-12-21-eerstekamer-4.u16	Mr. Chairman. I mentioned it last week, but the most bizarre thing about the novelle is the letter which shows that after a number of years of demolition policy this cabinet is also prepared to take up the physical breakdown of the Netherlands. Ten coal power stations are on the nomination to be closed to save the shit tax plan we were allowed to deal with last week. Among them are three brand new coal plants which have just been built totalling 4.5 billion. At the same time, hundreds of coal plants are planned, in China and Indonesia alone. For example, under the guise of greening with billions of dollars in capital destruction, the Netherlands on the left thinks that a few billion additional burdens could be added to some CO molecules from the air. The impact on electricity prices is taken into account. And what about the jobs? With this novelle, taxes on labour go up by 266 million. With that money we get up to €36 additional exemption on the savings. Even fewer jobs, then. With the novelle the purchasing power is 0.1% down. The roads of D66 are, as often, inscrutable. The other doger, the CDA, makes it at least as furious. The story about box 3 was unacceptable and the disastrous consequences for border areas of the high excise duties were sometimes stressed in the past. This does not prevent the CDA from voting in favour of the Tax Plan. The PVV is clear. I had already found that this Tax Plan is not a reduction in charges, but a reduction in charges. The novelle doesn't change that. The PVV will vote against.
ParlaMint-NL_2015-12-21-eerstekamer-4.u17	Mr. Chairman. The government and the coalition of VVD and PvdA operate in circles with their defense of the 2016 Tax Plan. When we see that people with a minimum income are not making any progress at all, the answer is that this is because it has been deliberately chosen to increase the employment discount, because it creates so many jobs. When we then find that 28 000 jobs for EUR 4.5 billion are very low, the Secretary of State replies that it is not a job plan either, but first of all a reduction in the burden, now that it is possible to reduce the burden a little more after the crisis. However, that is precisely what we are criticizing. The people most affected by the crisis in recent years are those on low incomes and the elderly, those who have turned in the most, are now the least affected. Low-income households receive €130 a year, middle-income households €650 and high-income households €1,000. The government coalition does not want to go into our proposals for a fairer distribution of charges. Across the street, the Secretary of State thanked the Christian Union, the SGP, GroenLinks and the SP for their constructive amendments. However, the government coalition chooses a deal with D66, which is worked out in the novelle. Now that the novelle has passed the House of Representatives unchanged, I can go into more detail. My findings are as follows. 1. There will be 0.0% jobs. Mr Bakker says in his first term that the logic is to say that if he were to count on it, it would still have to give extra jobs, but that he would not go into these calculation exercises further. I'm right about that. If the rounded zero point results in zero orbits, he can't present it as a success, can he? 2. There is no further greening of the tax system in the novelle. However, EUR 100 million will be made available once for energy saving for homeowners. In itself, I find this positive. 3. The small increase in the tax in the second and third discs in 2016 and 2017 is linked to the increase in the labour discount for income above €35,000 from 2017. This results in a small shift within income groups above €35,000 per year from no longer working to working. We do not consider that to be an improvement. 4. There is a commitment that the government will send a preliminary draft law to increase municipal taxes to the Lower House. The coalition partners have not committed themselves to this, as has become clear in the debate in the Lower House. This may never bring that law into this Chamber. All in all, a pretty empty shell for our hunting friends from D66, with apologies from Mrs. Prast. In the first term, Mr Bakker argued that his group had thereby stretched a safety net for the trapeze artist Wiebes. I have to say that it is a safety net for the Dutch Parliamentary Group of the European People's Party (Christian Democrats) and European Democrats in the European Parliament. In the debate so far on the Tax Plan, I find it remarkable that the government, the VVD, the PvdA and D66 are so much hiding behind a CPB model that Parliament has now been forced, or feels compelled, not to amend the Tax Plan, but to amend the CPB model by means of a motion. We are far gone in this respect, but that does not mean that Mr Ester's motion is going to hit the nail on the head. We will wholeheartedly support that motion. I come to my last subject, the position of the little saver. There have been remarkable things said about this in the written consultation and in the debate. The letter of 8 December on the D66 agreement stated that raising the tax-free foot in the capital tax from over €21,000 to over €24,000 in favour of the small saver. That's not true. The vast majority of savers own less than €21,000 and pay no tax at all. The change does not benefit them. A small group with a capacity of between €21,000 and €24,000 improves on average €18 per year. People with a capacity from €24,400, including millionaires, are improving €36. In the answers to the questions on the letter of 8 December, which we received last Monday morning, this also says in so many words, I quote: 'The measure is most beneficial to households with higher incomes'. That's what it says. In the answers to the questions about the novelle which the Secretary of State sent to the House of Representatives last Tuesday, that clarity has disappeared again. That's too bad. Anyway, it doesn't make the little saver any better. In his first term, Mr Van Rij mentioned someone with up to €100,000 as a small saver. It's just what environment you're in. He then complained that, after the Secretary of State's proposal, he still had to pay 0.87% tax. That's not entirely true, because his capital tax drops from 0.95% to 0.65% if you have €100,000, but that's a detail. For the CDA, this too low tax reduction is a reason to completely oppose the tax reduction. That's opposition! Mr Van Rij stated that the CDA would continue its opposition to the changed capital efficiency levy next year. That's their right. We in the SP, too, sometimes resist laws that have already been passed for years to come.
ParlaMint-NL_2015-12-21-eerstekamer-4.u18	I have a question for Mr Köhler. He says he doesn't find anyone with more than 22,000 in savings anymore. I am talking in particular about people who have worked hard their whole lives, small SMEs who have sold their store, for example, and who may have €20,000-€50,000 in their bank accounts, which they then have to live on because they sold the store. In Mr Köhler's definition, these people are not small savers, but their capital must be placed under big business.
ParlaMint-NL_2015-12-21-eerstekamer-4.u19	The word 'large capital' introduces you to this debate. I am pleased to hear that, because that is what we need to talk about. The Netherlands has 9 million savers with savings below €21,000 and 3 million savers with assets above that. By the way, the small saver with a capital of €50,000 is far from paying what Mr Van Rij called. He pays half of 0.87%, which is 0.44% tax. What is Mr Van Rij talking about?
ParlaMint-NL_2015-12-21-eerstekamer-4.u20	What I'm talking about is that you don't answer my question. It's people who have worked hard their whole lives, whether they're still working hard, who are self-employed, who sell their stores, and then, for example, they're left with $50,000. I'm going with Mr. Köhler. They have this exemption of €22,000 and soon €25,000, but still have to pay a heavy tax on the other €25,000. So you do not want to stand up for them, I note.
ParlaMint-NL_2015-12-21-eerstekamer-4.u21	I see the opposite. The tax shall be reduced for that group. The rate of return remains 30%, but the expected return for that group is from 4% to 2.9%. So that's a tax cut for that group. We as SP support that, you do not support that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u22	My point is that someone like that puts it on the couch and gets 1% if he gets it right at the bank. Inflation is 1%. With the cabinet's proposal, too, he is grabbing on his assets, not by 1.2%, but by 0.83%. We are opposed to this. We want the exemption to be higher, so that at least such a person does not interfere with his ability. Isn't that a much better proposal than what you're advocating here?
ParlaMint-NL_2015-12-21-eerstekamer-4.u23	No, we want the tax on real returns to be reduced for that group in the future. We want that for all the other groups, just as you seem to want it now. But for that group, the capital efficiency tax goes down. That's ahead of us now. You are against that proposal because you do not think it goes far enough. I find that illogical; we are in favour. We are in favour of lowering taxes for that group. We are even more in favour of the real return in the future, so that people who put their capital only in a savings account will have to pay much less tax. By the way, wouldn't you and I, but you in particular, advise anyone who has a capital of €80,000 to put that in a savings account alone?
ParlaMint-NL_2015-12-21-eerstekamer-4.u24	Finally, Mr Van Rij.
ParlaMint-NL_2015-12-21-eerstekamer-4.u25	The explanatory statement shows that 60% of people just do that. They're careful. You're not going to recommend someone who has €80,000 or €60,000 in a bank account to invest it in the AEX? You saw what happened to that, didn't you? Powers are halved.
ParlaMint-NL_2015-12-21-eerstekamer-4.u26	I certainly wouldn't invest in the AEX, no.
ParlaMint-NL_2015-12-21-eerstekamer-4.u27	You're not saying they should leave it on the couch. You say they won't accept that. My point is that they are too much on the ability to interne. You'd like to convey that message to those little savers. We disagree on that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u28	Our argument is that capital tax should be levied in the future on actual returns. Then you can still differ on whether it should be about the nominal or real return, but it must be levied on the actual returns. In the examples you mention, the tax would go further down at the moment, i.e. with the current savings rate. We see that the Secretary of State is now taking a first step. For that group, the tax goes down. But you're against it because you don't think it's going far enough. We do not consider that to be a constructive way of opposing. We say more: it is coming our way, so that is why we are in the paradoxical position. It's in the Tax Plan, so you'd have to stand up to it and we'd have to stand up to it, but that's it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u29	I would have stayed there at the end of my speech. We in the SP sometimes oppose passed laws for many years, but these are laws that we voted against. Next year, the CDA will oppose a part of a law that it voted for as a whole. That's a new figure for me, but you're never too old to learn. Thanks to the CDA Group, I can conclude my contribution to this debate with the observation that we have learned a little bit from it.
ParlaMint-NL_2015-12-21-eerstekamer-4.u30	Mr. Chairman. I thank Mr Köhler for his original approach. Of course, I would also like to thank the Secretary of State for all the answers he gave us a week ago. Today we are doing the second term, because the novelle has now also been accepted by the House of Representatives. Frankly, we did not change our minds very much in relation to what I said last week. As far as we are concerned, this is a disappointing tax plan. In fact, little has happened in terms of the objective of simplification and real reforms. We are concerned in particular with the 5 billion reductions, which we are wondering whether it is the right measure at this difficult time with a lot of major challenges, many social needs, many people with very little work and a great task of greening. After all, these 35,000 jobs that it should generate in the longer term are lean. As far as we are concerned, there is too little greening and the inequality between workers and non-workers is increased by this Tax Plan. A lot of money goes to people who just don't need it. I ask again what I asked last week: why not invest in home aid? This also provides work and really does something about a major social issue. On these points, the Secretary of State has not been able to reassure us, so the criticism is still standing. He couldn't convince us. I ask him once again why he thinks the extension of the third disc and therefore also the reduction of the third disc's rate is necessary. He has already said that the employment effect is becoming increasingly marginal in the direction of the higher discs. This certainly applies to such reductions in the rate of income tax. Why not use the amount involved, so some 900 million, if I am right, to invest, for example, in home aid and other social issues? Can the Secretary of State once again address the question of what, in his view, is the result of precisely this measure?
ParlaMint-NL_2015-12-21-eerstekamer-4.u31	My question concerns the point made in this connection. You indicated that most of the money goes to the workers. As you know, the SGP Group has tabled a motion aimed in particular at the single-earners. The Group of the Greens/European Free Alliance did not support that motion at the time. The first question is, of course, whether she is now sorry about that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u32	The answer is no.
ParlaMint-NL_2015-12-21-eerstekamer-4.u33	The second question is, of course, undoubtedly: why does Mrs Vos not yet regret it? In other words, how does she look at this huge gap between one- and two-earners? I will immediately follow up my question to keep the debate as short as possible. The Secretary of State has indicated that he wants to look at opportunities to do something for a earner, provided it does not cause job losses. Is the Group of the Greens/European Free Alliance sensitive to this?
ParlaMint-NL_2015-12-21-eerstekamer-4.u34	No. This is a good question. We support measures such as continuing the combination discount, because we believe it is very important that both partners work in families as much as possible. We consider the economic independence of both partners to be very important, although, of course, it has traditionally been the case of women who are not economically independent. In this sense, we support the direction taken by the cabinet. We have seen that there is something going on with the income position of certain groups of earners, as the Nibud also points out. We are not opposed to having another look at this. For now, we support the cabinet line. We also believe that we should not simply deviate from that, but, of course, thinking never stands still.
ParlaMint-NL_2015-12-21-eerstekamer-4.u35	We are talking about 75% of 1 million single-earners, including, for example, 125,000 women who would be a earner. Of those 1 million, 75% are unable to get or accept a job because they have to provide care, home care and so on. In that case, it might be good to reconsider whether the combination should always be so leading or whether we should also look at the position of these single-earners. I am happy to give that to the Group of the Greens/European Free Alliance.
ParlaMint-NL_2015-12-21-eerstekamer-4.u36	Of course it is important to look very closely at all these situations. On the other hand, we prefer to look for other solutions in the context of family care. We believe it is very important for people to be as independent as possible. That is what we want to encourage. We believe that the cabinet is moving in the right direction. I have already said that, of course, it is always necessary to check whether, in some situations, things do not occur that you do not want. By the way, in these situations, I think you can look more broadly at the income position. You could also look at the care and housing costs. There is, of course, a group that is not financially comfortable. Mr Backer is right about that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u37	I had the impression that Mrs Vos had finished her speech. Is that right?
