ParlaMint-NL_2015-01-15-tweedekamer-5.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2015-01-15-tweedekamer-5.u12	Mr Segers has a question.
ParlaMint-NL_2015-01-15-tweedekamer-5.u13	I'm a little surprised anyway. I now hear more optimism in Mr Verheij's voice about the accession process in relation to Turkey than in a previous debate, in which he quoted himself when he said outside the Chamber that he would never see it coming.
ParlaMint-NL_2015-01-15-tweedekamer-5.u14	It's all quiet. The country is in decline and has been farther away than ever since accession, given the developments in recent years. So no, I never see it coming. That is also why I am not getting so nervous about the status of candidate-member of this country. Indeed, I am not giving up on the country because I think it is still a strategic partner for us, including in other areas.
ParlaMint-NL_2015-01-15-tweedekamer-5.u15	Perhaps I am asking the same question as Mr Beertema, but in a slightly different way. So what's the red line in negotiations? If this value is trampled on, isn't it the end of the story? Then we really have to stop negotiating, don't we? Or is it endlessly elevable, can this democratic rule of law be violated endlessly and does the VVD still want to continue to talk while there is nothing but decline?
ParlaMint-NL_2015-01-15-tweedekamer-5.u16	No. I have just said that I can very well imagine that there are red lines somewhere. That can always happen, but I'm not going to name when that is. I don't think that makes any sense. Secondly, I do not see any need at the moment to say 'toodle-oo'. I don't think that's in our best interest. We will lose leverage in the talks, but I would not want to send such a note unilaterally from the Netherlands, especially from an economic and geopolitical point of view.
ParlaMint-NL_2015-01-15-tweedekamer-5.u17	Please continue.
ParlaMint-NL_2015-01-15-tweedekamer-5.u18	Two points. The report of the Foreign Minister's recent trip to Turkey was quite brief. Mr Knops and others have already asked supplementary questions which I agree with, for example how the Minister assesses the time at which the Dutch journalists were arrested or questioned. Are both journalists, Mrs Geerdink and Mr Ülger, no longer suspects at the moment and are they free to practice their profession? What exactly was the response of the Turkish counterpart? With regard to the implementation, progress and possibilities of the Segers c.s. motion. On the pre-accessory money that was adopted in December, I would like to join Mr Segers' question as to whether the Minister sees the possibility of taking this one step further in the coming period, by making pre-accessory money conditional on progress. Does the Minister also see a role for the Chamber vis-à-vis other parliaments in getting progress on that dossier? We have often said here that we cannot finance Turkey with pre-accessional funds, whereas that country is not making any progress, even worse, in reverse.
ParlaMint-NL_2015-01-15-tweedekamer-5.u19	Mr. Chairman. Today we are again discussing the relationship between the European Union and Turkey, a long-term relationship. As early as 1963, Turkey and the then EEC concluded an agreement which promised Turkey membership. Over the next 50 years, there have always been stages in which Turkey has come closer to the EU or the relationship has been on hold or even on edge for some time. Finally, Turkey became a candidate country in 1999 and in 2004, under the Dutch Presidency and under the leadership of CDA Prime Minister Balkenende, it was decided to open the accession negotiations. Turkey is on the outskirts of Europe, next to a Middle East torn by civil wars. The PvdA considers it really important to keep Turkey in mind and wants Turkey to turn its face to us, go through a process of democratisation towards the standards of the Copenhagen criteria and towards a transparent and open society. To that end, we must not turn our backs on Turkey. But that's a long way, full of bumps and pits. This is also reflected in the progress reports by the European Commission and in the report by the European Parliament rapporteur on Turkey by Mr Kati Piri, who was discussed in the European Parliament today. During his visit last week, the Minister himself was also confronted with the arrest of two Dutch journalists. In December, a month ago, we debated Turkey and its accession twice. Then, just like now, very critical notes were cracked, also by the PvdA. What did the government do with the motion, as Mr Segers did earlier, which was adopted? In the European Parliament, too, there is now a motion calling for pre-accessional means to be focused on freedom of the press and on improving the rule of law and the judiciary, in line with what has also been said here in the Chamber, including by the PvdA. What is the state of the government and what steps are being taken? We see that freedom of the press and freedom of expression are under real pressure. I thank the Minister for the letter he sent about his visit to Turkey last week. Freedom of the press and freedom of expression are important elements of political reform and democratic freedoms that are so under pressure in Turkey. These reforms and freedoms are an important element of the Copenhagen criteria to be met by candidate countries. What has Minister Koenders discussed with the Prime Minister and his colleagues on this issue? How did he experience the arrest of the two Dutch journalists in this context? Is he satisfied that Turkey is moving towards the EU and that the Turkish Government has the will to take the right steps? Or has he received disturbing signals? What is needed now for Turkey and for the EU to give a positive signal to the accession process? In short, I agree with Mr Van Bommel's question on the economic zone and Cyprus. Turkey is on the outskirts of Europe, next to a Middle East torn by civil wars. The PvdA therefore considers it important that we try to keep Turkey in mind.
ParlaMint-NL_2015-01-15-tweedekamer-5.u20	Mr. Chairman. On 17 December last year, we discussed in detail the path of accession and the lack of results, even after about 12 years. That is what we did during the debate on the European Summit. I said it then, and I will say it again: the Ankara agreement laid down Turkey's future accession as early as 1963; this dossier has been going on for so long. So I have a strong déjà vu feeling. That is not surprising, because a lot of water has flowed through the Bosphorus since February 2014, when the then Foreign Minister called Timmermans Turkey welcome as an EU Member State, while it was far from certain that that country would ever meet the conditions. No one has thought of implementing an exit strategy in the far-reaching process of accession of what would become the EU's largest country, both in terms of area and population, in case of such a situation that accession is no longer possible. We find that incomprehensible. As if a European prestige project can only go one way, that is to say, the side of successful accession. For the PVV and for more and more parties in this house there are more and more political reasons to stop. Accession becomes almost impossible or completely impossible, because the President of the country provokes us with crazy statements. Turkey makes its accession impossible because journalists are being arrested in an extremely provocative manner, including Dutch journalists, and because freedom of expression is being restricted. At last, it is widely recognised in this Chamber that there are major dangers to the Turkish rule of law. I mention, among other things, the change in law which restricts the freedom of the Internet, the impairment of the autonomy of the Supreme Court, judges and prosecutors, mass transfers and dismissals from the judiciary and from the police, and recently raids in newspaper papers and mass arrests there. Since February 2014, when our Foreign Minister had his elated conversation with his Turkish counterpart, all this has happened. The case of accession has not improved, but much worse. Other parties have since accepted our view that it is impossible for Turkey to join. There is criticism from the VVD now that it has gone wrong in recent times and also the CDA has had enough of the developments. In the NRC of 15 December 2014, both parties say that they want the European Union to suspend or restrict financial support to Turkey. We welcome this critical attitude, but we also want to see butter in the fish. We have recently tabled two motions calling for a definitive end to the accession negotiations. We say to the EU: swallow your inappropriate pride, acknowledge that Turkey's accession has failed and take the political decision to say to the people of Europe that you have made a mistake. Before many more subsidies go to Turkey to help the country get ready for accession, we are now reducing the damage. This requires political courage, including from the parties still, against better knowledge, bound to this mission impossible. These are the VVD, the Labour Party, the SP, the CDA and GroenLinks. Those parties have the key in their hands. They voted against our motions to make a final decision. Perhaps the Minister will say in his term: we stop. I am not going to table any motions, of course, but I feel my political water that he is not going to do so. Then I shall table a few motions in the second term. Then I call on these parties to vote in favour of these motions or, if necessary, to vote in favour of motions from other parties seeking to achieve the same.
ParlaMint-NL_2015-01-15-tweedekamer-5.u21	Mr. Chairman. I would like to thank the Chamber for its questions, comments and analyses. I think that this clearly shows that there are concerns about the situation in Turkey. At the same time, it also describes how complex the country is. Turkey is a large country. It's strategically important. Turkey is a NATO partner. According to a large majority in the Chamber, Turkey is still a candidate for membership of the European Union, although its feelings are mixed. In any case, it is a country with which we have relations. We want to maintain them as intensively as possible in order to arrive at an honest conversation with that country. That was also one of the reasons why the Turkish Government invited me to the ambassador conference, where I made my contribution on all the points raised by the Chamber today. For a large part it is in the light of the critical remarks made to me by the Dutch Parliament. Given the time and the fact that it is an expression of my predecessor almost a year ago, I do not want to keep a whole story about Turkey itself. I would like to say that I share the concerns of the Chamber in many areas, but I would like to ensure that there is some simplification. Turkey has a huge problem with the strategy for neighbouring countries, with regard to a peace process with the Kurds. Turkey has a hugely rapid economic development, but there is now clear stabilisation. On the subject of freedom of the press, there is a decline. That doesn't make it any easier. I therefore think it is important that this is the essence of the importance of the Ministry of Foreign Affairs and of me as Minister of Foreign Affairs to serve the Dutch interests in an intensive discussion with Turkey. So that's what we've done. In addition, Turkey is not a friend nor an enemy. It's a different country. These are the reasons I have just mentioned. In any case, a large majority in this Chamber does not want to move away from Turkey's candidate status for the European Union. This includes the fact that Turkey is a member of NATO. In a very complex political-strategic situation, there is a need for intensive diplomacy. In addition, we have experienced a number of developments that have been difficult in the past period. They have all been discussed in my talks with both the Prime Minister and the Minister for Foreign Affairs of Turkey. I would like to say a few things about this in the light of the questions that have been asked. There are also a large number of problems with regard to refugees in Turkey at the moment. There are 1.2 million refugees. There were 30,000 deaths in the last period due to the conflicts with the PKK. At the moment, there is also a major internal debate in Turkey in the light of the elections, so that things are getting sharper from time to time.
ParlaMint-NL_2015-01-15-tweedekamer-5.u22	Mr Knops has a question for you.
ParlaMint-NL_2015-01-15-tweedekamer-5.u23	When it comes to Turkey, you often hear that it is an ally. There is no denying that in the context of NATO. They lie in an area that is extremely complicated and complex. You often hear that we have to understand that. Or don't we have to understand that? The Minister just said it in different terms. Can the Minister explain to me the relationship between the total lack of freedom of the press and the geopolitical situation, which we all need to understand? Why, apparently, should we not be critical of Turkey?
ParlaMint-NL_2015-01-15-tweedekamer-5.u24	Words are now being put in my mouth that I really didn't say. I'm describing a situation, actually. I would like to mention the reasons why I am critical of Turkey and have had intensive talks. I'll get to the point of freedom of the press in a minute. I didn't want to give that impression at any time. As a minister in the European Union, I am at the forefront of statements on freedom of the press, changes in IPA support and on the issue of on-the-spot discussion in Turkey and the release of journalists. So it is difficult for you to say that I understand it, quite the contrary. I'm just starting to describe how Turkey works. This is sometimes interesting, perhaps, in the light of political positions that are subsequently involved. I didn't use the word "understanding." I have just told you about how I, the Dutch Government, see Turkey at the moment. The CDA Group has been strongly in favour of EU candidacy for years. Prime Minister Balkenende and several ministers were very much in favour of this. On the contrary, I would like to show you that the situation is complicated on a number of points and that it is also deteriorating on a number of points. I would like to say a few words about that. I did not say anything about understanding because of the geostrategic situation and about something that I did not want to raise. Maybe the opposite is true.
ParlaMint-NL_2015-01-15-tweedekamer-5.u25	I do not buy as much for points of view as 15 years ago when the situation has deteriorated dramatically. That is exactly what this debate is about, as has already been said by a number of colleagues. We assess Turkey on progress or the lack of progress in a number of processes that are necessary to be able to join the European Union at all. Yes, we supported that at the time. However, we are very concerned about the situation. When it comes to the freedom of the press, the Minister is visiting and is faced with the fact that this freedom of the press is being curtailed again, then it is important to debate this very strongly and not to start by explaining why Turkey is in a very special situation. I don't understand. In doing so, he creates the picture, at least with me, whatever you hear in the debates, which is so complicated in Turkey. As if that would be an excuse for those basic things, which this minister also stands for once and again, he also expressed that he would not have to comply with.
ParlaMint-NL_2015-01-15-tweedekamer-5.u26	There is a lot of talk about imaging, but I have not brought forward any of these analyses. So I don't feel spoken to. It was a response to Minister Timmermans' statements that he would welcome Turkey as an EU Member State and that he would involve opening of negotiating chapters 23 and 24 in a dialogue on the rule of law. These are comments made almost a year ago at the Wittenburg Conference. The Chamber wants to debate this with me today. As Minister Timmermans explained at the time in the letter of Parliament in a response to parliamentary questions, his statements were in line with the cabinet policy that Turkey is at least a candidate country. Several letters from successive Cabinets have stated that if Turkey meets all the strict conditions, it will be able to join. This fits seamlessly into the Dutch strict-and-fair policy: strictly on the conditions and when it is met fair in the decision. Whether that means that Turkey will actually join in the long term, and I say this to Mr Knops, who has just asked me to do so, cannot be said with certainty. As with other candidate countries, this is an open-ended process. It is therefore not certain whether Turkey will become a member. It is up to Turkey to meet the conditions. As far as the ruling on chapters 23 and 24 is concerned, the cabinet already stated in March 2013 that it was in favour of dealing with the chapters of the rule of law, precisely because we have serious concerns about this. I have repeated this in my talks with the Turkish Government. Where we have the biggest problems is precisely the rule of law. A number of points have been raised. It is certainly not just the freedom of the press. It is also about corruption and what is sometimes called 'the deep state', about a number of concerns which I believe the Chamber as a whole shares with me and which I share with the Chamber. It is precisely because of this importance that I think we should put that first. I agree with the Group of the European People's Party (Christian Democrats) and European Democrats that, at the moment that that blockade would be lifted from Cyprus, there is, of course, a new weighing moment. However, it is precisely these chapters that are essential to ensure that the great concerns we all have about the rule of law are brought to the fore. That is what former colleague Timmermans said at the time. Accession negotiations are on the agenda as long as a majority of the Chamber considers Turkey to be an accession country. I have seen that there is still a large majority in favour of this, but there are concerns about its progress. I share those concerns. That is why the process is very slow and no new chapters are being opened. That is why the Dutch government is at the forefront when it comes, for example, to condemning the restriction of freedom of the press. We saw that in the last Council of Foreign Ministers. There this was a Dutch initiative. Then I come to a number of points relating to the support for the motions tabled earlier in the Chamber by Mr Segers.
ParlaMint-NL_2015-01-15-tweedekamer-5.u27	But first, Mr Van Bommel has a question for you.
ParlaMint-NL_2015-01-15-tweedekamer-5.u28	Thank you, Mr. Chairman. The new way of working in the accession process is also that Chapters 23 and 24 are seen as important chapters, which need to be highlighted, especially in countries such as Turkey, i.e. countries where there are problems in this area. The question is whether this new approach of the European Union is effective in the context of the enlargement strategy. We have to note that, in fact, we are not opening new chapters, but at the same time, in the areas covered by Chapters 23 and 24, such as the rule of law and democracy, there is not a standstill, but a decline.
ParlaMint-NL_2015-01-15-tweedekamer-5.u29	Yes.
ParlaMint-NL_2015-01-15-tweedekamer-5.u30	The criticism of the Minister in Turkey was therefore justified, but perhaps we should go a step further and look for more pressure to ensure that, instead of going backwards, there is at least some initial progress. That is not the case in these areas. Does the Minister share that judgment and, if so, what will he do about it?
ParlaMint-NL_2015-01-15-tweedekamer-5.u31	Yes, I agree with Mr Van Bommel on that point. As there is a decline in this area, I think it is important to raise these chapters as a matter of priority. In this way, you also have a real point when you negotiate with Turkey. After all, there are no blockades for very different reasons, but they have priority for the European Union, in the light of the Copenhagen criteria. These are the points on which we and the Chamber are most concerned. I therefore agree with Mr Van Bommel on this point.
ParlaMint-NL_2015-01-15-tweedekamer-5.u32	We ourselves are serious about those chapters and conditions that are being imposed from Europe. The Netherlands, of course, fully endorses this acquis, also in relation to the newcomers. At some point, however, the situation arises in which you have to say: enough is enough. Further deterioration is no longer acceptable at any time. Then there are other instruments, such as accession aid, pre-accession funds and other things. We can't just sit back and watch things get worse on these important issues. As far as the Dutch Government is concerned, there is also a limit to the permissible level.
ParlaMint-NL_2015-01-15-tweedekamer-5.u33	I also agree with Mr Van Bommel on this point. That is exactly the strategy we are pursuing. The priority is the situation in which we have seen a decline, at least in the last two years, in areas such as freedom of the press and a number of other issues relating to the rule of law. That is why we have said: if you want to have the most influence, it must be the opening of chapters 23 and 24. I agree with Mr Van Bommel. Then you also have much more influence on Turkey. In Turkey, people are going to say: you do not even want to open those chapters, so what exactly are you going to come up with? Sometimes you have to look at it from the other side, because we're not always right. If this is not possible, for reasons which are not of the Dutch Government, it is the Netherlands that has taken the initiative to take other initiatives. Then I come to the point of the Segers and IPA motion. The decision-making process on IPA for 2014 has been completed, as is well known. The Dutch Government has proposed to amend the case on a number of points, also in view of the motion tabled in the Chamber. Firstly, we need to ensure that much more of the money goes to the point where the most problems are, namely the rule of law. That's what happened. The percentage of IPA funds allocated to this element of aid to Turkey has increased significantly. In my mind, it reached 19%. Secondly, the Dutch Government in the European Union, at the last meeting of the Foreign Ministers, took the initiative to establish a direct relationship between IPA and progress on precisely the points raised by the Chamber. This has been brought in by the Dutch Government, even with a draft declaration. I was on my own. There is no other country in the European Union that thinks so, neither is Greece. It is said that Turkey is very important, we see the risks of these problems, including in the area of freedom of the press, but we do not think this is an appropriate means. I'll continue that fight. For this reason, the declaration contains a general notion of the relationship between accession aid and the progress made on the points referred to. I'll keep doing that. However, I would also like to mention reality. There is no other country that has this opinion. Some progress has been made in Turkey, for example with regard to certain courts and legislative changes. It's not just black. I agree with the House that we do not agree with a number of points, such as freedom of the press. The Dutch Government will therefore continue to fight. The motion is, I think, very well implemented, but of course it is up to the Chamber and not to me. However, I do not see the force field changing suddenly in the Council on this point.
ParlaMint-NL_2015-01-15-tweedekamer-5.u34	Thank you to the Minister for implementing the motion and for indicating that it is not over after the first disappointing experience, but that the discussion continues, precisely because Articles 23 and 24 on the rule of law are so crucial. I'd like to ask you a question about that. Does the Minister agree with me that the relationship between the EU and Turkey stands or falls with the recognition of the value of the rule of law? It may be that we talk endlessly about all kinds of economic relations and details, but that the paths will disintegrate when the discussion comes to the rule of law. This can be the crucial point in the relationship between the EU and Turkey, the "go/no go" moment.
ParlaMint-NL_2015-01-15-tweedekamer-5.u35	I agree with Mr Segers that this is about the credibility of the negotiations between the European Union and Turkey. That's what we're actually talking about tonight: do we really want it and do the other side really want it? Apart from the formality, the majority of the Chamber says that Turkey is a candidate and that it does not want to abolish it immediately. She wants to see how she can handle that critically. You then look at the dynamics: how can you have maximum influence on that? One thing I can assure you: a country will never become a member if it does not meet the conditions. I don't think there's too much concern about that. It's much worse what's happening now. Of course, Turkey will not become a member if it does not meet the Copenhagen criteria. Within the Copenhagen criteria, it is absolutely essential to put this issue first. That is why the Dutch Government has said that it will try everything in the direction of Cyprus and other countries to get those chapters opened first. Then a lever will be created and that will increase our credibility towards the Turks. After all, they could say that Europe does not really want to, because there is, of course, that feeling. That is also apparent from some of the votes in the Chamber. But if it doesn't work, don't sit back passively. That is why we have appreciated the motion and carried it out.
ParlaMint-NL_2015-01-15-tweedekamer-5.u36	Is it not imaginary that we are talking for a very long time and that Articles 23 and 24 will only come along at the end and then turn out to be a definitive blockade for accession? We may be able to work very well together in all kinds of areas, but it is not possible when it comes to the rule of law. That could be the end of the discussion. It's an open end, so the minister should be able to imagine it. At the same time, Chancellor Merkel said, for example, that we need to think about an alternative, such as a privileged partnership. In doing so, you work together economically, but let go of each other at the point of the rule of law. Is that an alternative that is being considered and what is being discussed?
