ParlaMint-NL_2015-11-17-eerstekamer-3.u1	I would like to welcome the Minister and the Secretary of State for Finance to the Upper House.
ParlaMint-NL_2015-11-17-eerstekamer-3.u12	Mr De Grave brings up an interesting thought. I very much agree with the essence of it in itself. If you take yourself seriously as a party, you should also tell us where the money should come from. The question is still in the air how we intend to proceed with this. I find it difficult to respond to the points raised by Mr De Grave in this period, let alone to the interrupting microphone. In my view, it is the most obvious thing to do, for example, for the Finance Committee. I would also like to add that I do not have any concrete solutions in mind to this problem which does exist.
ParlaMint-NL_2015-11-17-eerstekamer-3.u13	I would therefore ask Mr De Grave to take the key role of the First Chamber in the analysis of this issue. I have said in recent years and thought that this role cannot consist of checking whether we have got our way in the House of Representatives. That test should have a little more complementarity in this house. Perhaps Mr De Grave can still reflect on whether he would like to use his analysis from that perspective as well? Mr De Grave spoke about possible alternatives that could be put forward. I fear that this will allow some sort of factual right of amendment to creep into the debate.
ParlaMint-NL_2015-11-17-eerstekamer-3.u14	The simple fact that I do not come up with concrete solutions even though I have thought about this for weeks indicates that this is difficult and that there are no ready-made, simple solutions. I am happy to support the idea of thinking through and speaking about it. Perhaps further reflection will give us concrete ideas. However, this indicates how complex this is. The aspect mentioned by the colleague of the Labour Party only makes it wider. I would now like to confine myself to the question of what do you do when you come to the conclusion in that key role that there is something on that scale, which raises the question of how you weigh that key role in relation to the budgetary consequences without us being able to do anything with it? That's actually the dilemma. I have also tried to point out that this has not been the case so far. However, given the elements I mentioned, this could occur more frequently. Hence the urgency of this issue. There are many aspects to this issue and, as far as I am concerned, we are taking up the debate in the Committee on Finance. I do not expect colleagues behind the interrupting microphone to come up with a ready-made solution. I am concerned about whether they are prepared to think through and talk about this.
ParlaMint-NL_2015-11-17-eerstekamer-3.u15	I agree with Mr De Grave that there is this problem. I get that. For the PVV Group in the past, it has been a reason to advocate the abolition of the Upper House. This point was an important element. However, this will not happen in the short term. This kind of thing also needs to be discussed in the right way and place. Until then, my group wants to carry out the function of Prime Minister fully as it was conceived. We will carry out the task for which we have been chosen. I think Mr De Grave's idea of bringing this up now during the General Financial Reviews is a bit of a bit of a snap. It might be useful for the VVD Group if we do this differently.
ParlaMint-NL_2015-11-17-eerstekamer-3.u16	The first part was one of the more realistic interruptions of the PVV, especially when Mr Van Strien concluded that the First Chamber would not be estimated soon. That's a good start, I thought. However, the quality of the second part of the interruption was slightly less, if I may put it that way. There's always a time when you're raising a subject for the first time. Be more careful than I've done, I don't think it's possible. I realize the consequences. My character is known; I'm generally not that careful. The fact that I use these wordings also indicates that this subject has many sides. Nevertheless, I would also ask Mr Van Strien to consider the fact that there are new developments. They will also have occurred in the past and ask new developments to think about how you deal with it. That's the point I want to set up, no more and no less. In my view, this is not a snapshot, but it is well-founded with arguments why, in the opinion of my group, further consideration should now be given to this issue.
ParlaMint-NL_2015-11-17-eerstekamer-3.u17	I understand that Mr De Grave is now withdrawing this in a way. He says he'd like to set it up sometime, but not right now.
ParlaMint-NL_2015-11-17-eerstekamer-3.u18	I have already said this in response to Mr Hoekstra's interruption. It is my intention to raise the issue and ask colleagues whether they see anything in it, whether they see the dilemmas and problems and whether they are prepared to discuss them further in the Committee on Finance, for example. I interpret Mr Van Strien's interruption in such a way that he is at least prepared to enter into the conversation.
ParlaMint-NL_2015-11-17-eerstekamer-3.u19	Everyone here is, of course, thinking about what Mr De Grave is talking about. It is interesting that just recently during the General Political Reviews, the First Chamber adopted the Brinkman motion with broad support. In fact, it has already given the warning that if it takes its investigative role seriously, the budget of Security and Justice cannot be tolerated. It seems to me to be a proper course of action that you give a warning to the cabinet and then put out your hand so that it has the time to resolve it and come up with counter-proposals. Isn't that exactly what Mr De Grave is referring to? The intentions are clear, we take the key role seriously and we give the cabinet a chance, but ultimately, of course, the cabinet has to do something.
ParlaMint-NL_2015-11-17-eerstekamer-3.u20	That is why I have literally given my text this example, which is to indicate it as early as possible when you see problems with certain proposals. I have literally said that some groups have done the same. I would like to make the point that this was one side of the coin, which is not allowed, but the other side, the question of how this can be adequately resolved, came up a little less. There are, of course, also situations in which individual legislation is dealt with later and cannot be included in budgetary cycles, a legislative proposal with budgetary implications. Nor can there be any political clarity on a subject in the General Financial Reviews, which comes later. There are many situations in which this type of dilemma can arise. Once again, I said in my text that it would be a gain if, during the General Financial Reviews, groups indicated where they saw problems. It would be even better if something were to be said about the direction in which they are prepared to reflect on financial solutions.
ParlaMint-NL_2015-11-17-eerstekamer-3.u21	I understand that Mr De Grave can support this procedure of the First Chamber: we issue a warning and say that it must be otherwise.
ParlaMint-NL_2015-11-17-eerstekamer-3.u22	In fact, I literally said that. In any case, it provides a timely clarity and gives the cabinet some more possibilities. But once again, that other element should also be given a place. If you want this aspect fully to come to its own, that other side should also be mentioned. However, it is better than not to say anything, which only makes it clear at the very last minute and does not really allow us to do anything about these budgetary consequences.
ParlaMint-NL_2015-11-17-eerstekamer-3.u23	Mr De Grave invited colleagues to respond. I felt addressed for a moment, because it may be very good that I will be sending out exactly the same signal in the course of the day.
ParlaMint-NL_2015-11-17-eerstekamer-3.u24	Ah.
ParlaMint-NL_2015-11-17-eerstekamer-3.u25	I think we should do that as early as possible. That's why I choose to do that today. The general problem raised by Mr De Grave may perhaps be added to the discussion that might be held on the possible state committee if it continues. I am absolutely not in favour of this, let us be clear, but should it continue, I think this is absolutely a relevant point to take into account. Is that a suggestion that Mr De Grave also feels about, rather than just with the Finance Committee?
ParlaMint-NL_2015-11-17-eerstekamer-3.u26	In any case, I am very pleased with the positive basic tone that your reaction shows. For the rest, I'm just a simple spokesman for finance. I can deal with a budget and budgetary issue. The subject you mention is very broad and it is also very important. I would like to assure you that I will take that with me to my group and give it a place there, because there are some higher-ranking people who need to think further about whether this is a good idea.
ParlaMint-NL_2015-11-17-eerstekamer-3.u27	I have a request for all Members to speak properly in the interrupting microphone, because otherwise they cannot be understood outside the Chamber. I give the floor to Mr Rinnooy Kan for his maiden speech.
