ParlaMint-NL_2015-01-20-eerstekamer-8.u1	I call Mr Ganzevoort.
ParlaMint-NL_2015-01-20-eerstekamer-8.u12	I'm trying to understand, Mr. Chairman, but I don't see these perverse stimuli.
ParlaMint-NL_2015-01-20-eerstekamer-8.u13	Mrs Gerkens, could you explain that to me?
ParlaMint-NL_2015-01-20-eerstekamer-8.u14	This point has already been raised by previous speakers. It's always said that if you go to college, you're gonna make a lot of money after that.
ParlaMint-NL_2015-01-20-eerstekamer-8.u15	You didn't hear me say that.
ParlaMint-NL_2015-01-20-eerstekamer-8.u16	No, I did not hear you say that, but I hear other speakers say that. It is also one of the underlying thoughts with which the loan system has been put together. The idea is that if you have received higher education, then you will earn more and that is why we can ask for a higher contribution from you. However, this is very different, depending on the profession you choose. This is, if you haven't said so, a social gap in the bill, isn't it? How do you intend to deal with that, Mr. Ganzevoort?
ParlaMint-NL_2015-01-20-eerstekamer-8.u17	I'm working on a theological education. Even if this training gives you a pretty big chance of finding a job after that, that's not a job you make a lot of money with. So I know it up close. One of my sons is doing an HBO course for drama teacher. He's not gonna get rich on that. In other words, I understand this theme very well. Nor do I believe that higher education is meant to get the best job as soon as possible. That is exactly why this proposal regulates that when you earn less than the minimum wage, you don't pay back anything and that you pay back up to 4% of your income on average. That is exactly what makes it possible to follow a study that may not make you rich.
ParlaMint-NL_2015-01-20-eerstekamer-8.u18	Finally, Mrs Gerkens.
ParlaMint-NL_2015-01-20-eerstekamer-8.u19	That is true, of course, but it is important that the signal is given: you borrow, you take an advance on your future, you will earn well later and then you can easily pay off. Mr Ganzevoort is not going to tell me that when people do not have to pay off, debt does not press on on their shoulders anywhere. As mentioned earlier, a responsible student also becomes a responsible participant in society. It's a debt you have, and it doesn't make you happier.
ParlaMint-NL_2015-01-20-eerstekamer-8.u20	Mrs Gerkens thinks in terms of investment. I don't think in such terms; I think in terms of education, education, coming into your place and following the study that suits your own development. With current student funding, you have to pay back 12% of your income. That's a millstone around your neck. That's gonna be 4% at the most. Moreover, it is arranged that the debt has less influence on the conclusion of a mortgage. In many ways it has been ensured that the law does not have the consequences that Mrs Gerkens thinks she has. That is why we think it is a social plan. Mr. Chairman. I will continue with my speech. Access to higher education remains well organized, particularly through the IPR card, it is not just about money, but also about facilities such as the supplementary grant and the flexible reimbursement system. In this way, the government continues to pay the lion's share of higher education. The student pays a small part of this through the tuition fees. In addition, costs are mainly related to living. Students can make use of a favourable loan for this purpose. Students from an economically weaker group get extra support. Can you do better? Of course we can do better, but my group believes that this proposal is in any case better than the current situation. Are we sure how it's gonna work out? This question has also been asked a number of times. Of course we don't know for sure, but if you list all the investigations, and we did, recently at the hearing, there's plenty of reason to make a decision with confidence. Have all the critical questions been answered? No. Much, and I thank the Minister and her officials for the great work they have done. I would also like to thank the student associations and everyone else involved for their valuable and sharp finger on the wrist throughout the process. But I, too, have a few critical questions and I'd like to go over them now. My first block of questions concerns quality agreements. When we talk about quality and quality improvement, we have to talk about what "quality" means. I'd like to challenge the Minister to that. She may not need that, because she is already going into some of the answers she has given earlier. But maybe she can take one more step. In my group's view, over the past decade, we have been increasingly moving through a translation of the open concept of "quality" into rigid ideas about return. For example, we are talking about the number of diplomas delivered, flow rates, 'nominal is normal', the hard cut, compensatory tests, and so on. All things that have little to do, or at least have to do, with the quality of education. That is why, by definition, they lead to risks to quality, because institutions are forced to live up to these ideas and, of course, do so in as simple a way as possible. Some call it "mostribble," others call it "poor implementation." But the result is the same: a transformation of the university or university into a production line in which knowledge carriers are produced. We really need to go another way. I hope the Minister agrees with my group. We need to think fundamentally about educational quality. I then define the concept of "quality" quite generally as the degree to which a service or good meets the intrinsic values to which it is directed. A good restaurant can be judged by the extent to which you can enjoy good and therefore healthy food. A good First Chamber can be judged by the extent to which it reviews substantive, constitutional and legally correct legislation. What about education? The intrinsic value in education, in my opinion, is that it facilitates people to learn and grow, so that they can effectively and authentically take their place in society. This means that it is about acquiring skills, developing one's own talents and training for citizenship. Especially for the LSVb, let me add: bildung, so. The extent to which an educational institution, including in higher education, achieves this value, is the measure of quality. The big question we need to ask is how and to what extent a university or college helps students acquire skills, develop authentic talents and become citizens. Then, in our view, some of the performance agreements and return measures are completely counterproductive. Of course, there is not much wrong with focusing on better information, guidance and possible selection. But what exactly is the problem when people do more, do something else in between, make a mistake once and, in the meantime, are mostly engaged in developing and developing? In other words, we do not find only thinking in hard figures that interesting. This discussion on quality and on where exactly we want to go is essential for the implementation of quality agreements. I therefore ask the Minister whether she wants to take the lead in this and talk to the institutions, students and other stakeholders about how this quality improvement can look best. My group is not in favour of leaving this entirely to the institutions and regulating it through internal democracy. My group is also not in favour of putting it all in place centrally from The Hague, so that we can get together here this afternoon or at any other time about what it should look like. And we certainly don't want it to be a ticking list. We believe that the quality should be defined in terms of content, from the field. This clear, substantive vision must be organised in such a way that the institutions feel challenged not to meet the requirements on paper but to actually change, for example by giving more priority to education and not just to publishing. Other examples include: the best scientists for the lecture halls, challenging education with space for individual challenges, better flow of vmbo-mbo-hbo-wo, etc. There's a lot to name. I'm not asking the Minister to tell us now what those criteria are. However, I would ask how it is going to ensure that the additional investment is directed in terms of content and how students get an important voice in that process, not only through participation in the institution, but also in the development of the quality criteria. In this context, I would also ask the Minister to clarify the observation that various institutions in their new budget do not allow the promised pre-financing and quality investment to return. Can the government give an idea of what is going on with the promises made by the institutions? How much or how little of this pre-financing is going to end up? Is there an image of how it is used and how the quality improvement is achieved for current students? In other words, to what extent do the institutions keep their promises? My second block of questions concerns groups of students who may be disproportionately affected by the changes in the system. Various groups have been identified in recent months and this has also been discussed in the Lower House and in the written procedure. I would like to mention a few which we may still have to look at. In part, I can join colleagues. First of all, there are students with disabilities. It is true that, in addition to a number of measures that remain, they also receive an additional €1,200 in the form of a waiver, but that is less than before. On the question of whether that is sufficient to meet them, the Minister replies that there is also the profiling fund. The same is true of the question of the situation of students doing a management year: existing measures and the profiling fund. In the Lower House this led to a question about the level of the profiling fund and to an approved motion by Mr Mohandis in which the Minister was asked to discuss with the institutions and students a directive on the level of benefits. That is valuable, but my question would be a little more fundamental. When the government, driven by the political debate as we do, refers students to the profiling fund to provide a solution in these situations, it creates a responsibility for the institution. Then there should also be a right for the student to be defined. We cannot agree here that the profiling fund should be the safety net and that the university or college will say to a student: sorry, we had other plans with that profiling fund. Of course, this is also about the possibility of profiling you as an institution, but together we have made a safety net of that profiling fund. With this bill, the safety net is just a little more important. This means that we cannot ignore the question of whether the guidelines for the profiling fund are sufficiently sharp and whether they are so compelling that a student can derive a right from them. I would like to begin by asking whether the Minister is prepared to discuss with the institutions and students what minimum criteria the institution's policy on the profiling fund should meet. I'm just saying. Is it sensible and possible to agree on a minimum size, of course in relation to the size of the institution? Is there sufficient legal certainty and equality when granting a benefit from the profiling fund or is it a tombola? Do students with disabilities, for example, receive adequate support from the profiling fund? Is the fee-free regime still adequate or should student directors under the new regime be given the opportunity to make use of the study advance? My question is therefore very specific. If the profiling fund is the safety net for special situations, will the Minister talk to the institutions and student associations to see whether that safety net is adequate by nature and size, or whether there are too many loopholes in which people fall through and whether the institutions are using the safety nets properly? And if that discussion gives rise to that, will the Minister consider giving more direction to the profiling funds?
ParlaMint-NL_2015-01-20-eerstekamer-8.u21	As a co-legislator, I miss the question of whether we want to make the treatment of students with disabilities dependent on a profiling fund. Shouldn't we take our own responsibility here and incorporate into the law that we meet these people? However, we can ask the Minister to ensure that the institutions... The institutions have limited resources and have to do a lot of things with that profiling fund. Is this category not the least suited to make it dependent on a profiling fund?
ParlaMint-NL_2015-01-20-eerstekamer-8.u22	That's a good question. Of course, we do not want this group to fall between the shore and the ship on the left or right. We can arrange this in different ways. I am not asking the Minister at the moment to change the system. I understand that's a big step. I'll ask her if, if we refer people to the profiling fund to fix something in that way, that's also a way to fix it. She wants to give more direction to that process. Of course, more needs to be done from the profiling fund, but the institutions have said they are prepared to invest amounts in that whole improvement. Part of it can be used in this way for the profiling fund. Of course, from the extra money that goes to the institutions because of the improvement of quality, you can also use a part to repair what still needs to be repaired. The first is whether the Minister would like to examine with the institutions and with the student associations whether there is anything to be repaired and, if so, how best to do so. Then all this will come on the table by itself.
ParlaMint-NL_2015-01-20-eerstekamer-8.u23	The question remains whether we consider it desirable for students with disabilities in Tilburg to be treated differently than students with disabilities in Amsterdam, to name but a few. I think the central legislator should take care of this and not leave it to the institutions.
ParlaMint-NL_2015-01-20-eerstekamer-8.u24	Legislation or otherwise, but agreements. I agree; that is why I am asking for it. There can't be any legal inequality. That is why I ask what the minimum criteria would be to which, for example, a student with a disability would derive a right. I would also like to mention two other groups of students here. First of all, these are the students in a multi-annual master's programme. A great deal has already been exchanged on this subject. The government does not want to make a separate arrangement for this group for two main reasons: the longer duration of study often leads to higher incomes and these students are often intrinsically highly motivated and will not be for that reason. The latter is a bit cynical of my group's argument. We understand the argument that we need to be more concerned when people forego a particular study on financial grounds, but this is somewhat cynical. In the first, it is said that the argument of higher incomes does not apply to multiannual research masters. To be honest, I also have my doubts about the educational masters, given the salaries in education. Given my background, it won't be surprising that I'm also pointing to students who have a philosophical ministry education. These are often three-year-old masters and they usually do not have an extra high income. They do have an intrinsically strong motivation, but you don't eat sandwiches of that. The Minister has promised an impact monitoring. I would like to ask her not only to measure the quantitative influx effects of the research masters, the educational masters and the philosophical ministry's programmes, and to see if there are enough students going in that direction, but above all to monitor qualitatively what the new regulations are creating for these groups of students and whether problems are going to arise there. The other group is that of medical students who not only follow a multi-annual master's programme, but also have such a heavy burden during their studies that earning extra money is actually impossible. Now, on average, I am not so worried about the income after the study, but there is gradually every reason to examine the working conditions of their societies. Is it still at this time that people work so long and so hard as part of a learning process without a more or less adequate remuneration? Is it real of them to expect them to borrow all that? Does this adjustment of study funding not give rise to an examination of whether and, if so, how these societies can be better brought into line with contemporary standards of study, work and remuneration? I'd like to get a response from the Minister.
ParlaMint-NL_2015-01-20-eerstekamer-8.u25	Mr.Ganzevoort is right to be concerned about the position of students with a three-year master's degree. The example of a three-year-old preacher master also floated in my mind. It follows a three-year bachelor's degree, so it's six-year courses to reach that point. I wonder whether Mr Ganzevoort also has a proposal for this, as does the proposal for the medical practitioners who are running. What do you think he wants?
ParlaMint-NL_2015-01-20-eerstekamer-8.u26	In my heart, I would, of course, like us to be able to arrange better compensation for these multi-annual masters, but we always consider whether this outweighs the additional costs involved. That is why I ask the Minister first of all for a substantive and qualitative impact monitoring: what is actually happening to this group of students? If we find that there is going to be a problematic situation for students, then we must do something with it. I do not have a measure in advance to compensate for this, other than to say: it would be nice if we were to bring money there separately, but that would be at the expense of other things. That's a tricky trade-off.
ParlaMint-NL_2015-01-20-eerstekamer-8.u27	Mr Ganzevoort says there should be money. In what form could this be possible for a third master year: a certain allowance or an allowance? What's he thinking?
ParlaMint-NL_2015-01-20-eerstekamer-8.u28	I don't have a very concrete picture. I would ask you to clarify it a little more: what are the qualitative effects of this? It is just a step too far for me to start negotiating now in what form we need to fix something there, also in view of the role of this Chamber. I'd like to return the ball to the minister first. I come here to ask the last question, which concerns students' rights more generally. The legal position of the student and of the student, because the problem is wider....................................................................................................................................................................................................................................................... The position of the consumer or the patient is much stronger than that of the student. Of course, there is something in the WHW, but does it also give students enforceable rights or does it only provide the Minister with grounds for a possible funding sanction? In an article, educational lawyer Joke Sperling writes that "it can be inferred from two judgments of the Amsterdam Court that the standards of education laws do not work in the relationship between the competent authority of the school and third parties." Those third parties may "not derive any rights from the provisions of the education laws because they create only legal obligations between the school and the government." So that puts the student in a vulnerable position. Of course, there are a lot of things in the education and examination regulations, but they can be adapted every year. I know from experience that students' rights are not always paramount. The ISO bottlenecks note also mentions a series of issues and experiences, in which students ultimately depended on the good will of the institution, but had no legal basis to stand up. I would just like to mention the problems of compulsory internships without internships and the delays that this may cause. But there's more. In the meantime, the rules have been tightened up and students need to perform more and faster. But then it becomes essential to better define their legal position. I take an example from health care. In addition to all kinds of other laws that say something about the patient's position, there is also the Medical Treatment Agreement Act which lays down the rights and duties of the patient. That is why I ask the Minister to consult with institutions, student associations and experts in the field of education law, which is complex enough to examine whether it is desirable and/or possible to better define the legal status of students and fill gaps in them. It is likely to find that this applies not only to higher education but also to all sectors. If she sees reason for doing so, I hope that she will take this in its entirety with, for example, a law on the education agreement. Today, however, I am not asking the Minister to take this step, but to start this research, to identify whether it is necessary to ensure the legal status of students more fully. In conclusion, I would ask the Minister to say a little more about the introduction and, in particular, about the technical implementation at DUO. How does the government prevent DUO from having ICT out of order at the last minute and students from getting hurt, as is the case at the moment with the pgb holders because the SVB cannot cope with the changes? What is the Minister doing to ensure that the law is passed as from tomorrow morning, to inform students and students clearly, completely and correctly about what they do and what they cannot count on and thus to remove the misunderstandings, the conflicting information, the fog curtains and the fears that opponents of the bill are so eager to spread? We await the Government's response with interest.
ParlaMint-NL_2015-01-20-eerstekamer-8.u29	In the last block, Mr Ganzevoort mentioned four issues, namely the legal status, the internships, DUO and information. These are quite a few things, but in the rest of his text Mr Ganzevoort has mentioned a number of points which he finds worrying and which should be improved. Wouldn't it be better to take some time to solve the problems rather than go through with this bill so panting?
ParlaMint-NL_2015-01-20-eerstekamer-8.u30	It would be very good to take more time for that. I fully agree with Mrs Gerkens. That is why I do not propose that the Minister should come up with a solution before this evening's vote, but that she should take the time to work on this with the institutions, the students and the whole field.
ParlaMint-NL_2015-01-20-eerstekamer-8.u31	I think there are a number of pressing problems. Failure to have an internship site means an additional year of study funding or loan. That means there will be more costs. If DUO doesn't get things in order, the system's gonna blow up one of these months. There are also problems in information, because a lot of students and students do not know what they are up to. We need to work carefully on this and then we cannot start this legislative proposal as early as 1 September 2015.
ParlaMint-NL_2015-01-20-eerstekamer-8.u32	We'll ask the minister if she thinks it's possible. For the time being, I have no reason to believe that it wouldn't be possible. Nor is it the case that people do not know what is going to happen; these proposals have been discussed for a long time. The last proposal is so much better than last year's that it can only be easy. So much has already been said about it. We would like to hear about the technical introduction, because we have not asked a question about it for nothing. The debate on education law is more fundamental and needs to be worked out. We're not gonna take care of that today. It would also be a pity if we put all the necessary investments in higher education on the long track, because we do not have sufficient guarantees yet.
ParlaMint-NL_2015-01-20-eerstekamer-8.u33	Finally, Mrs. Gerkens?
ParlaMint-NL_2015-01-20-eerstekamer-8.u34	I can only conclude that Mr Ganzevoort's speech, with all its concerns, is actually a little tip to give to the Minister and that he is in any case in favour of this loan system.
ParlaMint-NL_2015-01-20-eerstekamer-8.u35	It is no surprise that we are in favour of this version of the loan system. Mrs Gerkens cannot really be surprised about that. At the same time, we don't just sign by the cross. If we are going this way, we must also take the next steps. We are indeed talking to this Minister about how we can take these next steps.
ParlaMint-NL_2015-01-20-eerstekamer-8.u36	After a number of critical notes, Mr Ganzevoort indicated at the end of his speech that the opponents of this law tell ghost and Indian stories. He says this law is very close to what he wants. Can he clearly say that he is in favour of this law?
ParlaMint-NL_2015-01-20-eerstekamer-8.u37	I didn't mention ghosts and Indians. Those are categories I consider high. If Mr Koffeman asks if we are in favour of this bill, the answer is yes. It's been obvious for a long time.
ParlaMint-NL_2015-01-20-eerstekamer-8.u38	This means that GroenLinks is in favour of the burden of debt on students and that young people with parents in lower income categories from the moment they start training but have to get used to having debts, while according to previous statements by Mr Ganzevoort they are afraid of borrowing.
ParlaMint-NL_2015-01-20-eerstekamer-8.u39	I note that I have not done my job properly, because Mr Koffeman obviously did not understand much of what I said. Of course, that doesn't help a teacher like me! Best teacher of the year I won't be. What we are going for is to make it possible to study. That means that those who do not necessarily need a grant can get a loan. The group that does need a scholarship gets an extra support from the supplementary scholarship. We keep the OV-card and we ensure a smooth refund, so it is not as much a millstone as the present 12%. We bring it back to 4% and on average to 1%. So we are creating an extraordinary social arrangement so that they can go to college.
ParlaMint-NL_2015-01-20-eerstekamer-8.u40	We have to note that study funding is the biggest debt mountain in this country after mortgage debts. Surely it cannot be true that you say that you are helping the students to make studying easier if you make it more serious for a number of categories than is already the case? Why do these students experience this so differently from the GroenLinks group?
ParlaMint-NL_2015-01-20-eerstekamer-8.u41	Some students do experience that differently. However, there are also students who do not experience this very differently. There's a lot of discussion about it. I understand that, too, because all kinds of nightmares, fog curtains and fear stories are spreading. If you explain the story correctly, a lot of students say they don't want to. I don't understand. There are also students who don't think it is so unrealistic to stop using collective resources for living if you really want to invest in education. We want fundamentally more money for the quality of education. Those who are the most vulnerable and could fall out of it, and who we do not want to see fall out, we give a little support in the back. We are also doing this with a very flexible way of paying back. That is the balance to be struck and we are here today with a positive intention.
ParlaMint-NL_2015-01-20-eerstekamer-8.u42	Mr. Chairman. I shall begin with the common points of the government and my group. There's got to be more money in education. Quality needs to be improved and money is simply needed, not only in HBO or wo, but also in primary, continuing and secondary vocational education. We fully support this objective of the cabinet. This can also be done partly by cutting down on the management layers. We also agree with the cabinet that the ability to study should not depend on the parent's income. Everyone must be able to develop their talents, regardless of whether their parents have a high or low income. We also warmly welcome this objective of the cabinet. Next comes the question of how we achieve these goals. Let us first consider how we have done it in the past and what the results were. Study funding has been subject to many changes over the last two hundred years. This was partly due to the prevailing political climate and its ideologies. In six months it will be two hundred years since the first form of study funding was introduced. At that time, the government felt it was good to train an elite of young, Dutch-minded people, who were less wealthy, but talented. The grants were distributed by the government, there were 70 per year. The aim was also to forge the Dutch and Belgian peoples into a nation. Not that there were no scholarships. For centuries, there have been various fairs, such as an opaque system, which is made up of provincial governments, charities and churches. The grant contributed approximately one third of the costs. A loan system will be introduced in 1924. Even then, there is the fear that students will drop out. That is why there will be a scholarship for socially desirable studies. In practice, the fairs are mainly used for religious training. After the Second World War, there is a need for technically trained people. They want to make studying attractive and re-introduce a scholarship next to the loan system. The idea also arises that when you are born for a dime, you can certainly become a quarter. The stock exchange is first linked to income and performance, but it is quickly abandoned and it becomes possible to get a scholarship for all lower incomes. In 1986, the basic grant will be presented. All students will receive 600 guilders, with the possibility of an additional grant and a loan. This is not considered fair by all students. After all, students with wealthy parents receive as much money as students with less well-off parents. That was a reason for me to participate in the protests. I was getting better when I didn't need it, but a lot of people went backwards, who needed it. It became chaos, by the way. The systems were not calculated on the introduction of the law that was chased through within a year. Soon you knew as a student: "Do not move, do not change your phone number, because then you have a chance that your scholarship will be cancelled." In 1991, it appears that the system is unsustainable. Cutbacks are the result. In the following years, the tempo fair would be introduced, which was not very successful. Further cuts led to the performance fair, which meant that you had to graduate within ten years and also the time you were entitled to a scholarship was further shortened, as was the travel right with the O/V year card. The tuition fees got higher, the scholarship became less and and passerby was also drastically reduced on the salaries of teachers. By way of illustration, my first year of teaching I had a job of 50% and had to apply for additional assistance. With an HBO degree. The education was empty. The decay began. The 1980s and 1990s were the years of rigorous austerity, something that then Minister Deetman now says he thought the border had been reached. I quote: "When I stopped as a minister in 1989, I warned that the border might have been reached. In the meantime, I think I know that for sure. You cannot invest in research or in buildings and reduce the budget at the same time. The problem is that cuts do not become visible immediately, but only in the long term." As has already been said, the career of student funding shows how the political climate was and is. Two hundred years ago, the goal was to strengthen the nation and achieve upward mobility. After the war, it was about encouraging young people to study in order to provide the economy with well-educated people. At the end of the 1980s the basic grant came, which raised a lot of resistance because the principle that less well-off families receive more money than well-off families was released. In short, the rich got richer and the poor had to borrow. Moreover, one of the arguments of the introduction was that it would make the student more independent of the parents, one of the things the minister and various parties now say is not the responsibility of the government. It's possible. That's how I got to the current loan system. Again, you see a reflection of the political climate. My VVD colleague Bruijn's argument is repeatedly: "Here is the budget of the Dutch State, when the scholarship must continue, say where it has to go." Boarding in the Netherlands has become the management of the state housekeeping booklet.
ParlaMint-NL_2015-01-20-eerstekamer-8.u43	You are talking about making students independent, facilitating entering rooms and the like. Do you think that this only applies to students or that it is also important for working young people who go to work after VMBO and who have to live on their 18th minimum youth wage and who cannot stay in rooms?
ParlaMint-NL_2015-01-20-eerstekamer-8.u44	I note that Mr Ganzevoort did not listen to my speech very well either. All I did was sketch history, including the argument then used and the argument now used. Mr Ganzevoort did not hear me say that is my opinion or that of my group.
ParlaMint-NL_2015-01-20-eerstekamer-8.u45	That is why I am so curious about Mrs Gerkens' opinion.
ParlaMint-NL_2015-01-20-eerstekamer-8.u46	What I hear in your speech and in those of other parties is that it is always said: the government should not provide the student with the livelihood. But I wonder if that statement can be substantiated by facts and figures, because students provide for a large part of their own livelihood by working and by contributions from parents. In addition, there is a difference between home and home living. For me, the most important point is that students and students can choose the training which is best suited to them. That can sometimes mean you have to live on the other side of the country, because that's where that school is you want to go. If that means that we have the man or woman in the best place, then the government can contribute to that.
ParlaMint-NL_2015-01-20-eerstekamer-8.u47	Finally, Mr Ganzevoort, on this point.
ParlaMint-NL_2015-01-20-eerstekamer-8.u48	We share principles and vision. Not to focus on numbers and commas, but to focus on principles, I ask why we apply this to students and why not to working young people, while the first have a much greater perspective than the latter. Why don't we help them live on our own? I'm trying to clarify the arguments you're using.
