ParlaMint-NL_2015-02-03-tweedekamer-25.u1	First speaker of this VAO is Mr Van Meenen. Go ahead, you have two minutes to speak.
ParlaMint-NL_2015-02-03-tweedekamer-25.u17	I object to the brief summary given by the Secretary of State of what the Dutch Association of Mathematics Teachers advocates. In fact, it is particularly in favour of focusing on education in the suburban sector and on the closure of the suburban sector. That is precisely the point that I think it is right for the Secretary of State to discuss this with the Association once again, also in view of the complete lack of support in education for the way it is going.
ParlaMint-NL_2015-02-03-tweedekamer-25.u18	Of course, we are talking to a lot of parties in the coming period. I will also sit down with the Dutch Association of Mathematics Teachers. I think we need to clarify what it will look like in the years to come. Schools can also already choose to make it part of mathematics education. Nothing stands in their way. The Dutch Association of Mathematics Teachers says two things. First of all, she says it shouldn't count for anyone. However, that goes against the whole idea that it is a basic skill that we like. After all, we want everyone to have a certain level of calculation for their further education or for any job. So I'm not going to talk about that again with the Dutch Association of Mathematics Teachers. Secondly, it talks about the closure at the end of the substructure. I see that as problematic, too. Then what happens in the years after? Let me give you an example. There is a maintenance obligation in the MBO. I can see the mood. If it is completed somewhere halfway through the course and there is nothing going on with mathematics and mathematics in the years after that, then the follow-up education says that it has completely gone down. It was made part of the final exam for a reason, and it doesn't count for nothing.
ParlaMint-NL_2015-02-03-tweedekamer-25.u19	I see that Mr Van Meenen still wants to respond, but I am not giving him the opportunity to do so. This is not the time to have the debate again, because this is a VAO. The Secretary of State has responded extensively. I would therefore ask Mr Van Meenen to leave it at that.
ParlaMint-NL_2015-02-03-tweedekamer-25.u20	The motion in part No. Forty-two I'd like to dissuade. We should not anticipate the discussion about #Education2032. Moreover, in terms of structural improvements, there is already an incredible amount in the scaffolding. It seems to me that it is important not to rewrite a plan and move a lot of paper. We simply need to improve education in schools where this is not the case at the moment. The motion in part No. Forty-four by Mr Rog, I advise you. He wants to go down to 0%. De facto means that it doesn't count the math key. If no one's allowed to fail, he doesn't really count. This contrasts with the idea that every student achieves a certain level of calculation.
ParlaMint-NL_2015-02-03-tweedekamer-25.u21	I think the Secretary of State wrongly assumes that the calculation test doesn't count. How does that work with a math test like that? The scores are first established and then the standards are established. Mr Rog's motion calls for the following. Just let that test happen. The scores are then set and the standards are then set. The standards can be set in different ways, for example if only 5% can fall or only 25% can have an insufficient one. However, you can also set that standard to zero. That is what Mr Rog is asking for with his motion. Then it counts, but the standard is adjusted. In this way, the calculation test is made a success in advance, I think.
ParlaMint-NL_2015-02-03-tweedekamer-25.u22	Then you're going to slide with standards and adjust the standard to the number of faileds. We don't do that at any finals right now. That's why in one year there's more for the final exam than in the other year. So I'm not for that. I think it is important that we clarify the cesorship in advance. It will be lowered in the first few years and then lifted up gradually towards 2020. There's one relapse option, one emergency valve. If it leads to 5% more failed, we'll revisit it. That is the proposal of the Steur committee which we would like to accept.
ParlaMint-NL_2015-02-03-tweedekamer-25.u23	I advise the Secretary of State to look carefully at the increased demands on mathematics, Dutch and English in 2012. What happened to the scores, the cesorship and the standards? Then the Secretary of State will see that my story is just right. That's how you make things a success. That's the procedure.
ParlaMint-NL_2015-02-03-tweedekamer-25.u24	Thank you very much, Mr Bishop. I do not hear a question, which is why I give the floor to Mr Rog.
ParlaMint-NL_2015-02-03-tweedekamer-25.u25	The Secretary of State is now suggesting that he wants to record a clear cesorship and that everyone at least knows what he's up to. But that's not the situation. The situation is that a 4.5 will be a sufficient one and a 4 might be, if more than 5% of pupils were to fall.
ParlaMint-NL_2015-02-03-tweedekamer-25.u26	And your question is?
ParlaMint-NL_2015-02-03-tweedekamer-25.u27	Does the Secretary of State agree with me that his own standards do not provide clarity in front of exam candidates either?
ParlaMint-NL_2015-02-03-tweedekamer-25.u28	Those standards do provide clarity. It means that next school year students will have to get at least a score on their final exam list for the calculation test equal to a 4.5 to ensure that they do not fail. A 4.5 is not enough, but an insufficient one. I say this specifically to Mr Rog. It is already the case that students sometimes have an insufficient qualification for a particular subject and nevertheless obtain their final diploma. In the years to come, we are going to step up the requirement of this 4.5 step by step towards a sufficient one.
ParlaMint-NL_2015-02-03-tweedekamer-25.u29	If, as the pilots now say, 20%, 30%, 40% or 50% of the pupils still have an inadequate figure, that figure simply goes down. That is in the proposals of the Secretary of State himself. Then it could be that with a 4 you still have a sufficient one on your list. In any case, the substance of the criticism of the proposal I make in this motion is not correct.
ParlaMint-NL_2015-02-03-tweedekamer-25.u30	I don't hear a question. Secretary of State, proceed with the assessment of the motions.
ParlaMint-NL_2015-02-03-tweedekamer-25.u31	What Mr Rog is saying is simply factually incorrect. After all, with a 4 you don't get enough on your list. We did make a deal about the cesorship. It will gradually be increased. In my view, this provides sufficient clarity for schools and students.
ParlaMint-NL_2015-02-03-tweedekamer-25.u32	I would like to comment on this. We have to stick to the facts. I'm sure the Secretary of State likes that, too. His letter says very clearly that for the time being you can get a 4.5 and that this figure is being built up slowly, but that it is being corrected if a substantial group scores even lower than that 4.5. Mr Rog and Mr Bishop are therefore quite right. The Secretary of State cannot yet say that so many pupils have to reach a 4.5, because the Secretary of State does not know that yet. There may be many more shortcomings and the Secretary of State will correct them later.
ParlaMint-NL_2015-02-03-tweedekamer-25.u33	I call the Secretary of State. I'm asking him to answer briefly. Otherwise we will have a repeat of the debate here.
ParlaMint-NL_2015-02-03-tweedekamer-25.u34	This is the emergency valve I just mentioned. I don't expect this to be necessary at all. If you look at the numbers, we're already very close. We still have this year and then we have a whole year. If schools are simply trying to do their best, even the schools that are still left behind, I have every confidence that this emergency valve is not necessary at all. Then it's cliff-and-ready what students have to meet. This means that in the school year 2015-2016 they must have reached a minimum score equal to a 4.5 for the calculation test. Now I'm going to deal with the motion in part No. 45 by Mr Bishop and a few other colleagues. I'm deceiving that motion. I repeat that the calculation test is not an end in itself, but that the test is necessary as a conclusion to ensure that there will be good education in all schools. Moreover, we must also be able to guarantee that pupils have a certain basic level if they are to move on to further education. Now I come to the motion on part No. 46. I would also advise against this motion. In 2010 we agreed together on the reference levels. It states that part of the data can be done by means of a calculator. The Bosker Committee said that the calculation test could also include some simple context exercises in order to test the basic skills that do not require a calculator. We said we'd follow up on that. However, I would like to leave the question to those who belong to the experts and the precise relationship between the questions. Teachers, school leaders and test makers should carefully consider the exact amounts needed in that test in order to determine whether pupils have reached the reference levels in a valid way. The same is true of Mr Beertema's motion on item No. 47. It refers to the discussion that we had during the general consultation. At that time, too, we were asked: can we look again at the relationship between bald sums and contextums? I said myself that I am not in that position, but that this really needs to be left to the experts. I therefore advise against this motion. Finally, I come to the motion for a resolution on part No. 48 by Mr Jasper van Dijk and Mr Rog. I also advise against that motion. Of course I remain in consultation with the Dutch Association of Mathematics Teachers. That's what I just said. However, it only creates a great deal of uncertainty if we start from the outset and look at how we proceed with the calculation test.
ParlaMint-NL_2015-02-03-tweedekamer-25.u35	The Secretary of State makes it all much heavier than it is. If he reads the motion correctly, he can see that it is very friendly: go now in consultation with the Dutch Association of Mathematics Teachers. That is a key family in this respect. To find agreement on the calculation test. After all, he knows she's not happy about it right now. Isn't it extremely unfortunate if he does carry on like a steam train? It's a very friendly motion, isn't it? The government is asked to look for agreement with the people who have to perform the calculation test.
ParlaMint-NL_2015-02-03-tweedekamer-25.u36	As I have just said, I think it is very important to talk to different parties, including teachers. However, I would like to go wider than just the Dutch Association of Mathematics Teachers. After all, there are also schools that take this much wider. They not only make it a part of mathematics; they make it a part of different subjects. Talking to different teachers is therefore also exactly what we are doing. I would also like to involve those experts in making and designing the tests to ensure that they always contain sound and good sums and tasks. That is already happening with about 100 teachers, but I think it is only very good if we can do that with more people and if the NVVW is involved. At the same time, I want to be clear about the following. Mr Van Dijk's motion writes about agreement on the progress of the calculation test and on that point I find her diffuse. That's far too vague for me. This means that we are actually putting everything back on hold and that we are saying that we are going to let that depend on the discussions and whether agreement is reached. That's not what I'm here for. Today we need to make a clear decision on the question: will we continue with this implementation? My answer to that would be "yes." Then we have to look at how we do it properly. We should not pretend that the progress of the calculation test as such is still on the table.
ParlaMint-NL_2015-02-03-tweedekamer-25.u37	I conclude that the Secretary of State has dissuaded all motions. I think it's almost ten motions. In doing so, he ignores the enormous lack of support in education for this calculation test and the criticism of the Chamber. I note, however, that all the stories about customization, about differentiation, about listening to education and about the Dijsselbloem committee are hollow phrases with this Secretary of State and that he is simply throwing all that talk about acceptance and conclusions into the trash. I'd like to have that marked here, because that's hollow talk now.
ParlaMint-NL_2015-02-03-tweedekamer-25.u38	This brings us to the end of the Secretary of State's reply. There are two further motions on which the Minister will respond.
ParlaMint-NL_2015-02-03-tweedekamer-25.u39	President In the motion for a resolution, tabled by Mr de la Malène, on behalf of the Group of the European People's Party (Christian-Democratic Group) Mr Van Meenen asked 41 to examine the possibility of differentiated and professionally relevant review in the MBO. I agree with Mr Van Meenen that it is desirable to establish a relationship between mathematics and the future profession in MBO training. I will therefore ask the Language Support Point and the MBO to encourage, in its contacts with MBO institutions, that computational education be linked to the vocational aspects. I will also ask the support point to gather and disseminate good examples of this. However, I do not want to take specific examinations for all the different professions. In general consultation, I have already said that it is of course desirable that students should learn to count in a context that appeals to them, but that they should then also develop computing skills for general contexts that affect all students or graduates. I am thinking of buying a mobile phone, closing a mortgage or applying for a care allowance. In addition, the Bosker Committee has recommended that the tests in vo and mbo should grow more towards each other, precisely because there is a maintenance obligation in the Mbo. They said: there is no valid reason to separate the same reference levels. That's what we're listening to. I do not think it is desirable to make a lot of extra tests. There should be a few hundred keys made. This means that it would take much longer for an item bank to be used; that would take at least ten years longer. I also find that undesirable. But once again, where it is possible, we are going to design parts more professionally.
ParlaMint-NL_2015-02-03-tweedekamer-25.u40	The latter is only the case if it is not left to the schools and if the quality is not monitored by the inspection. The Minister is entirely based on the idea that the government is responsible for that central review. Is she prepared to live up to her words about space, confidence, the teacher at the wheel and the lecturer in position? Mr Van Dijk has just said a number of very important words about this to the Secretary of State, and to leave it to the people in the field? Is she willing to just leave this to the schools instead of inventing a test in the ministry?
ParlaMint-NL_2015-02-03-tweedekamer-25.u41	No. I'm not prepared to do that for the same reason the Secretary of State has already given. The same reference levels should be reviewed. Since the MBO only has a maintenance obligation, it is important that they do not differ from the MBO. That would be a huge break-up. By the way, at the MBO we have a lot to do with the exams. Each time it turns out how hard it is to make it. That is why I do not think it is appropriate to place an extra burden on the MBO. The Klever motion in part No. Forty-three is, in my opinion, superfluous. I agree that we should be very reluctant to deal with additional calculation requirements and additional requirements in general. If you have met the final terms of the MBO-4 programme or the VET programme, with a certain profile, you have access to higher education. In the case of MBO, we have now made demands for kinship, because, unlike in the case of the transition from education to higher education, we did not actually have any demand for it. If you have passed the math test according to the allowance and success scheme, you simply have access to higher education. There is no reason to impose additional requirements. That's probably why there would be if there weren't a math test. That is also what I said in general consultation. Those who oppose the introduction of the calculation test must take account of the fact that further education will then be required. I don't think that's necessary right now. By the way, we make additional demands on the ER test, on heavy dyscalculie, on the pabo's. I know that the VSNU and the Association of Colleges are concerned about this group, including other courses. That's what I'm talking to them about. I will look very closely at accessibility. For higher education there is also a study choice check. So it is possible that, if you have obtained a low grade for mathematics and perhaps also for mathematics and want to do a complicated technical training, you will receive a negative advice. However, you still decide for yourself whether you have the courage to go to that training. I therefore consider the motion to be superfluous. Finally, I come to the question by Mr Rog and Mr Van Dijk about the JOB (Jongeren Organisation for Vocational Education). I referred to the letter from the JOB, in which it states that it supports the reference levels and wants good computational education for students. For this reason, I believe that it is necessary to include an examination and that schools have their education in order. I note that at the end of her letter the JOB writes that the allowance and success scheme should apply not only to pupils and students, but above all also to schools that do not have their affairs in order. In general consultation, we have both provided a comprehensive explanation of what we are going to do. We ensure that schools are called upon if they do not have that education in order. I would also like to discuss with the JOB how we can improve computational education. I will listen to the suggestions they have.
ParlaMint-NL_2015-02-03-tweedekamer-25.u42	I listened to the Minister well, also in the AA. The sectoral councils have indicated that they would like to see more requirements for admission to further training. The Minister has made it very clear that she does not want this. This motion is intended to support it and to show that the Minister is not alone in it, but that the Chamber does not want it either. I take the Minister's words in such a way that she looks positively at the motion, but she says it is superfluous. In the meantime, almost all motions have been declared redundant or rejected. Why can't the Minister leave this motion to the Chamber? I believe that the motion supports the Minister precisely on this point. I would therefore like to ask her if she would reconsider her judgment.
ParlaMint-NL_2015-02-03-tweedekamer-25.u43	I said 'unnecessary' because all students who have a valid vo- or mbo-diploma must be admitted to HBO or wo-diploma if they meet the appropriate pre-training requirements. That could be a profile question. I said there's gonna be an exception to the pabo for the ER exam. I cannot rule out in advance that in the end the colleges may have very good reasons to ask this also for, for example, a nursing course. We have said ourselves, and I think there are several spokesmen also, that if someone comes to bed with us, we want to be sure that he can count properly. At the same time, I say that I myself am very reluctant. But I also think it goes too far to say categorically no in advance before I enter into the conversation. But you may know from me, motion or no motion, that I will enter the conversation with the colleges and universities with great restraint, because of the guarantee of accessibility that I would like to give. I can do that because the math test is now going to be entered. If it were not introduced, I would have a very different conversation, namely an extensive conversation, I fear about selection at the gate.
ParlaMint-NL_2015-02-03-tweedekamer-25.u44	If I listen to the Minister now, the motion is not superfluous. In fact, it's very much needed. The sectoral councils want to discuss with the Minister about making additional demands. The motion says that we should not do this now. The calculation test should not be used by settings to impose additional requirements. That's very clear. That gives a little less room than the Minister wants to offer, but I think it can be a support in the back. In my view, the Minister and I do not want to create unnecessary thresholds. I think this motion will only help her in her work. I think that a different assessment of the motion would be appropriate.
ParlaMint-NL_2015-02-03-tweedekamer-25.u45	It's about gradations. Nor is it true that I disagree entirely with you, but I think that the motion goes a long way in advance, because it is capable of "calling on the government not to agree..." I would prefer to hear the arguments of the colleges and universities again in advance. But you know how I'm gonna have that conversation. Frankly, I think I will be firmly enough in my shoes to give myself that little support in the direction of colleges and universities where necessary.
ParlaMint-NL_2015-02-03-tweedekamer-25.u46	I thank the rulers. We will vote next Tuesday on the motions tabled.
