ParlaMint-NL_2015-07-07-eerstekamer-8.u1	I have already welcomed the Secretary of State for Security and Justice to the Upper House.
ParlaMint-NL_2015-07-07-eerstekamer-8.u12	Madam President. First of all, I would like to congratulate Mr Van Weerdenburg and Mr Stienen. Above all, I wish them every success and wisdom in this Chamber of reflection. Today we are discussing an implementation legislative proposal of two European directives adopted in 2013 by the European Parliament and the Council, which preceded a few years of negotiation. The world has changed considerably in recent years. It began with the Arab spring, which seemed promising but has come to a disappointment. In most Arab countries, the revolution has turned into conflict or authoritarian rule. We have experienced political, social and economic instability in the Middle East and North Africa. As a result of this instability and the rise of IS, large uncontrolled refugee flows have started. Every day we read in the newspaper or on our smartphone about boats with refugees and refugees drowning in the Mediterranean, about groups of refugees that make trucks at Calais and Hoek van Holland unsafe or that enter the Channel Tunnel. In Europe, internal borders are being re-established. The VVD Group is deeply concerned about the social and political stability that is threatened by this. According to our national security strategy, this is a matter of vital interest and it is for that reason alone that we need to pay particular attention to this issue. At the time when the European directives were drawn up, this problem did not yet arise. This does not mean that we should not assess this implementation law on its own merits, but the context outlined by the VVD Group has been explicitly taken into account. A European Directive is a task for national Member States to implement it in national legislation. In this case before 12 July of this year. If this bill is adopted today, and that is very likely to happen, then the government is right on time. The VVD Group believes that the issue of migration is at least a European issue, which goes beyond this Procedure and Reception Directive. The European Migration Agenda, recently proposed by the European Commission, should respond to this European migration issue. The government has indicated that it is in favour of the European Migration Agenda. It is based on increased commitment to border surveillance and development of asylum policies combined with capacity building and cooperation with third countries. An important part of the measures proposed by the European Migration Agenda is aimed at "limiting influx by immediate action and following an integrated approach combining instruments of both internal and external policy." Can the government say a little more about this than this phrase, in particular, made by officials? This one sounds promising, but still says so little. What are the immediate measures? And what instruments of both internal and external policy? More fascinating are the following comments from the government, namely that the Commission intends to develop further guidelines to improve standards for asylum procedures and that the Cabinet sees these guidelines as an appropriate way to optimise and harmonise the use of current procedures, given the significant differences that still exist between Member States in the application of those procedures. But the revised Reception Directive and the Procedural Directive were designed precisely to optimise and harmonise these procedures. So what are the differences between the Member States? And where is the Netherlands? The government also indicates that the Commission proposes to launch a wide-ranging discussion on the future of the Common European Asylum System and that the Cabinet considers this discussion a good opportunity to further assess the sustainability and stability of asylum procedures in Europe. Frankly, my group would have expected a little more ambition from the government. Is the government prepared to take the lead in the debate at European level and, if necessary, to propose measures to deal with refugees much more in the region, for example, and to take the political refugees who come to Europe effectively and as well as possible? These measures will have to be sought not only in existing asylum procedures and the existing asylum system, but also outside.
ParlaMint-NL_2015-07-07-eerstekamer-8.u13	Mrs Duthler urges the government to do more, so that more refugees are received in the region, if I understand correctly. Is she aware that the vast majority of people are already in the region and that there are so many problems there, because there are so many of them? We are talking about 95% of the number of refugees worldwide.
ParlaMint-NL_2015-07-07-eerstekamer-8.u14	I told you, large groups of uncontrolled refugee flows have begun. We all know that. There are 50 million people on the run, as it is called, of which 1 million are already run by smugglers in refugee camps in Libya alone. It is a problem of unprecedented magnitude, and we know that we cannot deal with it all in Europe. What we also know is that these huge groups of refugees lead to economic, social and political instability. We should not close our eyes to that. We need to do something about that. I invite the government to develop a vision on that.
ParlaMint-NL_2015-07-07-eerstekamer-8.u15	You asked if the government wants to ensure that more people are taken care of in the region. You say that they are all coming to Europe now, but my question is whether you know that there is only a very small percentage of travel to Europe and that almost everyone in that region is already bivouacing.
ParlaMint-NL_2015-07-07-eerstekamer-8.u16	That very small percentage is still a great deal for Europe. However, I would like to put that question to the Secretary of State. Maybe he can say something about that, too, because he's the one who really understands the numbers.
ParlaMint-NL_2015-07-07-eerstekamer-8.u17	Then may I ask one last question?
ParlaMint-NL_2015-07-07-eerstekamer-8.u18	Yeah, one last question.
ParlaMint-NL_2015-07-07-eerstekamer-8.u19	Are you familiar with the problem of reception in the region at the moment? Do you know that there are persistent food shortages, that there is a lack of education, infrastructure and actually everything?
ParlaMint-NL_2015-07-07-eerstekamer-8.u20	What's your question? This is just a statement.
ParlaMint-NL_2015-07-07-eerstekamer-8.u21	Are you familiar with that? How does this relate to your call for only refugees to be received in that region?
ParlaMint-NL_2015-07-07-eerstekamer-8.u22	I would ask you both to speak through the President.
ParlaMint-NL_2015-07-07-eerstekamer-8.u23	I see Mrs Strik's question mainly as a statement. I've asked the Secretary of State, through the chairman, to come up with figures. The problem is enormous, both in the regions and in Europe. We know that. The VVD Group says that we should not close our eyes to that.
ParlaMint-NL_2015-07-07-eerstekamer-8.u24	Please continue, Mrs. Duthler.
ParlaMint-NL_2015-07-07-eerstekamer-8.u25	Thank you, Madam President. Given the scale and nature of the refugee flows and their consequences for social and political stability in Europe and the Netherlands, the VVD Group believes that the existing procedures for filtering the real political asylum seekers from these flows should be adapted. The present legislative proposal is mainly a refinement of the existing procedures. Is the government prepared to assess the procedures for their suitability? Is the government prepared to review them if necessary and to make efforts in Europe to do so? Then I have a few more substantive questions about the bill itself. Several political groups have asked questions about the full and ex nunc investigation into both the factual and legal grounds of the application for asylum by the judge. The Secretary of State stated in his reply, inter alia, that in order to facilitate the courts, the justification for the credibility assessment has been strengthened. We are talking about the so-called full credibility assessment. Other groups have already spoken about this. The Secretary of State expects him to remove the need for the court to conduct an independent investigation into credibility. On what basis does the Secretary of State base this expectation? If the court considers it necessary to carry out an independent investigation, what does this mean for the duration of proceedings and the costs of the case-law? The Court of Justice has indicated that the total impact of the Procedural Directive is EUR 6 million in 2015 and EUR 12 million in 2016. These costs cannot be met by the case-law itself. The Administrative Court of the Council of State has indicated that the additional workload of the Procedural Directive will be around EUR 4 million per year. In fact, it expects to have to hold meetings more often than before. Has it taken into account the possibility of independent investigations into the credibility assessment? What influx of asylum seekers are these expectations based on? Are these numbers still realistic? The COA has to do with a sharp increase in asylum seekers receiving it. Germany is also experiencing an exponential growth in the influx of asylum seekers. These are just a few examples. The Government has indicated that the additional costs resulting from medical examination will be adequately addressed in 2017. The financial resources of the judiciary have been under such pressure in recent years. How does the government prevent them from being put under any further pressure? The VVD Group is not unwillingly opposed to the bill. However, it expects more ambition from the government on the issue of Europe and the Netherlands, which is related and underlying to this legislative proposal, namely the reception of the uncontrolled flows of refugees that have begun and which are far from coming to an end. The members of the VVD Group will take note with great interest of the government's intentions in this area, which go beyond what the government outlined in its response of 22 June last. I saw Mr Schrijver get up and thought he was walking to the interrupting microphone, but that is not the case.
ParlaMint-NL_2015-07-07-eerstekamer-8.u26	I'll keep an eye on that. Thank you, Mrs Duthler. I give the floor to Mrs Wezel.
