ParlaMint-NL_2015-09-03-tweedekamer-8.u1	There have been ten speakers for this VAO, so we are busy for a while.
ParlaMint-NL_2015-09-03-tweedekamer-8.u20	In general terms, I have appointed it: we welcome the commitment to a shrinkage of livestock. This would also do justice to the climate and biodiversity targets. However, we are surprised that the Secretary of State continues to focus on exports. Now the Secretary of State said in general consultation I've been chewing on it for the rest of the afternoon "yes, but that's sustainable." I'm trying to figure out exactly what that means. We have a very large pig sector here in the Netherlands. We get precious food from countries where people are hungry themselves. There's hunger in the world and primordial forests are disappearing. We feed that food to our pigs. Then we slaughter such an animal and say here in the Netherlands: we do not want everything, we send the rest to China. I know people who wouldn't call that sustainable, but a tad decadent. It also starts with a "d," but it really is a different word.
ParlaMint-NL_2015-09-03-tweedekamer-8.u21	As the last speaker in this House's term of office, I give the floor to Mr Dijkgraaf, with a 'D', to whisper to me in 'SGP'.
ParlaMint-NL_2015-09-03-tweedekamer-8.u22	Mr. Chairman. I'll read my motion immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to extend by two weeks the period for sowing of green mosquitoes and spreading of animal manure in connection with late harvests and heavy rainfall, as long as the environmental standards in force are respected,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Dijkgraaf, Mr Graus, Mr Geurts, Mr Lodders, Mr Dik-Faber, Mr Van Vliet, Mr Krol and Mr Van Klaveren.]] [[She's getting No. kst-11501-32-864]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u23	Mr. Chairman. I have a response to twelve motions tabled and one question. In the Smaling motion in part No. 853 I am asked for the rapid introduction of the market responsibility programme and a ready-made plan to achieve production control in dairy farming. We had an extensive exchange of views on this matter this afternoon. Mr Smaling also knows that I choose another route. I understand that he is now presenting an alternative, but I must advise against this motion from my point of view. The Smaling motion in part No. 854 I must also advise against. Mr Smaling is asking for something that is right in itself, namely: make sure that in the discussion about the future of dairy farming land-based farmers can also make their voice heard. I do not think it is right to decide from here which organisations are invited and which are not invited, but I will certainly also speak to representatives of those groups and consider that part very well in the plans I put forward to the Chamber. I'd like to give that to the Chamber. If the Chamber then gets proposals, it can always check whether this is done properly, but I do not want to go to any organization now. That is why I would like to discourage the motion, but of course I welcome the spirit of the motion. In his motion in part No. 855 asks Mr Smaling to send me on a change from quantity to quality. My point is that the Netherlands has been working on this for quite some time. In that sense, I could see this motion as a support for policy. Should Mr Smaling have anything entirely different from my questions, we will have another discussion. This is systematically the starting point in the various sectors. This can be seen not only from the recipe for sustainable pork, but also from all the plans around the Kip van Morgen or from the fact that sustainability is also high on the agenda in dairy farming. This is also an important point for me. I'm coming up on the Lodders c.s. motion. in piece No. 856. We also discussed this extensively during the general consultation. Here's what I've determined. Yes, there is every reason to revitalize pig farming. Yes, farmers cannot do that alone; they need the support of the government, but it really is the way back to the past if you do that with less sustainability and, for example, less animal welfare. For example, Mrs Lodders has always explained this motion. She is very open in that: she wants to get rid of such legislation, and that really does not seem to me to be the right way forward. For that reason, too, I must advise against this motion. Moreover, I have to say in practice that environmental legislation in particular is not a national head, but a direct result of European legislation. So that assumption doesn't add up. In the motion in part No. 857 I am asked to look into a number of issues. As the motion has now been formulated, I must dissuade her. I would, however, like to make the commitment I made during the debate. I am very much prepared to ask the Commission whether it is possible to analyse the rural development programmes on the basis of what has been achieved and whether it is possible to make clear what is striking in the light of the objectives we agreed on at the beginning of the common agricultural policy. This could well be a document that we are going to use for the mid-term review of the common agricultural policy. The question is understandable and justified in itself, but my people do not have the tools or all the information to make a good story of it. I have offered Mrs Lodders clear examples of things that do not fit into the rules of the game. If I can get to work that way, I'll ask her to hold the motion. If she wishes to do so, I will also say that I will return to the Commission's response to my question in the letter containing the Council's report. I hope that I can come back to that at the next report, but perhaps I should have a separate discussion with the Commissioner and then take a little longer. I'll tell you how I'm gonna handle that. It's like a slightly different angle from the motion.
ParlaMint-NL_2015-09-03-tweedekamer-8.u24	For the sake of time, it is not useful to discuss this further now. I welcome the Secretary of State's commitment. I'll hold the motion. I will certainly return to the Secretary of State again.
ParlaMint-NL_2015-09-03-tweedekamer-8.u25	At the request of Mrs Lodders, I propose her motion (21501-32), No. (Parliament adopted the resolution) That is what is decided.
ParlaMint-NL_2015-09-03-tweedekamer-8.u26	I shall now come to Mr Geurts' motion on item No. 858, which asks me to adjust the rates of the NVWA down. That is indeed an uncovered check. Someone has to pay the NVWA's bill. If this does not happen through the fees, the account will automatically transfer to the budget of my department. That is not foreseen, and for that reason I must advise against this motion.
ParlaMint-NL_2015-09-03-tweedekamer-8.u27	I would like to ask the Secretary of State what she thinks should be covered.
ParlaMint-NL_2015-09-03-tweedekamer-8.u28	I don't know. I'm gonna have to adjust the rates down. You don't quantify it. You are not saying that rates should fall by 1%, 5% or 10%. That depends on what amount is needed for this. If I may be so unkind, I would point out that Mr Geurts merely makes the gesture that tariffs should be reduced. Then the question is how generous that gesture is or how minimal, although I do not think Mr Geurts means the latter. It just costs money, and Mr Geurts knows it.
ParlaMint-NL_2015-09-03-tweedekamer-8.u29	I was talking about the market at the AO this afternoon. I'd like to know what the Secretary of State is thinking. Is that 1%, 5%, 10% or 20%? Is there any way to talk to this cabinet about that?
ParlaMint-NL_2015-09-03-tweedekamer-8.u30	I made this very clear in the debate. I am prepared to see how we can reduce these costs on the condition that the sector itself provides guarantees on a number of points, for example that we can have confidence in the chain when it comes to the transport of livestock. That could certainly be a bet. However, that is really something else than adjusting all the rates down in advance. I am very much in what I can possibly offer, but also in what I ask of the sector, namely trust. I do not want to have another debate like that on the Joustra report. I have also quoted Mr Van Silfhout's book Uitgebened. I do not want to have these debates again. Mr Geurts must also take this into account, because then we will see each other again with a completely different problem. The motion-Geurts c.s. in piece No. 859 I don't recommend. I do not do that because we do not want to move on that point. We will. Here too, it must be able to do so in confidence. Maybe it can be done as soon as possible, we can make it possible this year, but that really depends on whether it is in order. What Mr Geurts is doing is turning it around. He says: that date is there and no matter how, so it must be. That is understandable from his point of view, but then I come back to my previous point: I think we should also be sure that we do not get back the problems of transporting cattle that we had a while ago. The sector's a long way from that. Now give us time to get that right. I say to Mr Geurts that I am doing my best to do so in time, but he should not come up with such a date. That's just not fair.
ParlaMint-NL_2015-09-03-tweedekamer-8.u31	I would like to ask the Secretary of State, however, I have already tried this afternoon and now make an ultimate attempt whether or not she can mention a date on which she thinks...
ParlaMint-NL_2015-09-03-tweedekamer-8.u32	No.
ParlaMint-NL_2015-09-03-tweedekamer-8.u33	Well, then we'll be done soon. Then I'll just have the motion put to the vote.
ParlaMint-NL_2015-09-03-tweedekamer-8.u34	It's okay. I'll tell them we have a pilot that's gonna go in this month if it's okay. On that basis, we can discuss how much time we need to take a follow-up decision on the basis of experience. It is my duty to do so quickly and smoothly, if possible. That's my bet. I'll let the Chamber ask you to do that. However, I cannot commit myself to a precise date, because I do not know exactly how that pilot works either. Mr Geurts assumes that I already know all this, but none of us remember that. I now come to the motion on part No. 860. You will finally have good news, I say to Mr Geurts. Maybe he likes it, with me, to hear that. I consider the motion in part No. 860 as a real support for the commitment I already have in the Agriculture Council, so I would like to leave it to the House's discretion. As regards the motion in part No. I would like to make a proposal to Mrs Dik-Faber. As it stands in the motion, things are moving very quickly. Before we submit anything at all to the ACM, I would first like to talk to the sector and the chain about whether they themselves see that initiative. Before you put all that back to all sorts of agencies, I think that should be the first conversation. If Mrs Dik is now prepared to hold on to this motion, I would like to say to her that I will introduce this initiative into the Vitale Pigs Management Group and that, if it is necessary to carry out competition surveys, we will of course do so, but in that order. That is a different order from that proposed by Mrs Dik-Faber.
ParlaMint-NL_2015-09-03-tweedekamer-8.u35	My group is consulting with the pig sector, so I look forward to the consultation that the Secretary of State is going to hold with confidence. I suggest that I turn this around on the spot: invites the government to study the German initiative, to discuss the initiative in the administrative consultation on the pig sector and then to ask for an opinion of the ACM. Then that's the order. I think I will respond to the objections raised by the Secretary of State.
ParlaMint-NL_2015-09-03-tweedekamer-8.u36	There must be one small mini-amendment, if that is all right with you, namely that if the sector is in favour of it, then you already know that it is, but I would like to have that discussion first of all, and I can submit it to the ACM. If that's all right with you, I can leave this motion to the House's discretion. I'd take it.
ParlaMint-NL_2015-09-03-tweedekamer-8.u37	I already know the reaction of the sector, so we'll adjust it and then we'll go down this path together and I'm very curious about the outcome.
ParlaMint-NL_2015-09-03-tweedekamer-8.u38	The Dik-Faber/Geurts motion (No ) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the German Initiative Tierwohl pig farmers who introduce additional animal welfare measures receive direct compensation for this;]] [[Whereas this ensures that pig farmers have the assurance that additional sustainability efforts will be rewarded and that there is an incentive for further sustainability;]] [[noting that the German competition authority approved the initiative;]] [[Calls on the Government to examine the German initiative and discuss the possibilities of the initiative in the administrative consultation on the pig sector and to ask the ACM for an opinion on this if the sector is positive;]] [[also invites the Government, in consultation with other Member States, to explore ways of reconciling sustainability initiatives in livestock farming,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 861 ().
ParlaMint-NL_2015-09-03-tweedekamer-8.u39	Me too. Thanks to Mrs Dik.
ParlaMint-NL_2015-09-03-tweedekamer-8.u40	Yes. Exactly. Then I come to the motion by Mr Koşer Kaya and Mr Grashoff on point No. 862. They ask me to really go for what they call strategic investments, in the event of funding from EFSI funds, which are primarily intended to promote agricultural innovation. I think that Mrs Lodders has rightly indicated that this must certainly be a level playing field. So that will also be my commitment. Mrs Lodder also asked about the outcome and asked for a guarantee. Of course, I can't offer her one, because besides me, there are still 27 rulers at the table. I think it is quite right that we should focus on this. I'll always choose that bet myself. In that sense, this motion supports policy and I can leave it to the Chamber to decide. We therefore explicitly take the level playing field with us. That brings me to the motion on part No. 863, by Mrs Ouwehand. She is asking me to bet on a shrinkage of the pig population. We have, of course, made it very clear in the debate that making the sector healthy is likely to result in shrinking, because we are simply producing too much. In the wording of this motion, however, shrinking is an end in itself. I understand that, given Mrs Ouwehand's political background, but that is not the purpose for me. My commitment is to make the sector healthy. This will inevitably be a contraction in the sector, because we can now see that there is overproduction. Demand is falling and we will therefore have to make that quality stroke. That's what I keep saying. However, I approach it from a different angle than Mrs Ouwehand does. I know she's deeply disappointed now, but we can't always agree.
ParlaMint-NL_2015-09-03-tweedekamer-8.u41	No, definitely not. But I do agree with the Secretary of State when she says that shrinking is inevitable. The only thing the Animal Party does with this motion is take a further step, precisely because this sector has been lurking for so long. If shrinkage is inevitable, let us also ensure that we work towards shrinkage. This creates a path through which pig farmers also know where they are going and where it is going. My request is therefore very simple. The Secretary of State has written to the Chamber that shrinking is inevitable. I would ask her to discuss it in the Agriculture Council on Monday. I ask her to convince other agricultural ministers that this contraction is inevitable and to think about how we can best guide it. That's what the motion asks for.
ParlaMint-NL_2015-09-03-tweedekamer-8.u42	What Mrs. Ouwehand is saying, I'll do it. I believe that more rulers than only the Dutch are convinced that we will really have to change our minds in Europe in order to be more competitive in the long term. This will mean that we will have to invest in improving quality and ultimately it will also lead to less supply. That is a movement which will naturally arise, even without our interference. But that's really different from what's in the motion. So I think we are coming a long way, but my path to revitalization is wide. That is what I want to do with the sector. The industry wants it, too. I'd like to continue that route. On that point, Mrs Ouwehand and I simply have a difference of opinion on the text of this motion. The verdict on the motion therefore remains: dissuade. The same is true of the next motion, in part No. 864. Mr Dijkgraaf knows that too. The fifth action programme does not simply offer me this opportunity. I would like to make a request to the European Commission to see if I can be allowed to extend that deadline. I will take that up immediately, so perhaps Mr Dijkgraaf will then be prepared to hold on to his motion. However, this is really an effort obligation. That's different from stamping the outcome. I am not going to repeat the whole debate on this because I know very well that Mr Dijkgraaf is also sensitive to ordinary administrative reasoning and comments on this on my part. At least I can imagine that he would consider such comments to be sensible. I should therefore like to ask him to give me the opportunity to leave this to the Commission. I'll get back to you as soon as I can.
ParlaMint-NL_2015-09-03-tweedekamer-8.u43	It is clear that the Secretary of State must consult Brussels if the motion is to be adopted and worked out. Always applies that if an adopted motion cannot be carried out for some reason, the Secretary of State must inform the Chamber that it has been tried, but that it has not succeeded. I see the movement that the Secretary of State is making today as: if the motion is adopted, I am going to carry it out, but of course I need cooperation from Brussels. So I do not see very well what the problem is when we put this motion to the vote.
ParlaMint-NL_2015-09-03-tweedekamer-8.u44	I do, and I'll explain why. Because that will immediately be seen by the people who are a little further away from The Hague as "so it is going to happen." You and I know it's not just gonna happen like this, but it really needs something. In the context of real expectation management, I do not think it is fair to lay down something that is thought to be 'consider it done' in the outside world. I am sorry, I mean: it is settled when you and I know that before that I will have to make a course to Canosa. I am prepared to do so, so you will get that offer, but I hope you will share with me a little bit of a sense of reality with everyone that it is not just settled. I think that's fair.
ParlaMint-NL_2015-09-03-tweedekamer-8.u45	I am not going to hold the motion, because I will have to consult with the co-sponsors first. I'm gonna have to count my buttons, but I'm gonna have to do it soon. However, I interpret it in such a way that the Secretary of State carries out the motion as if it had been adopted, but it is on the shelf.
ParlaMint-NL_2015-09-03-tweedekamer-8.u46	Yes, I will make the proposal in Brussels and ask whether we can accept it. But I certainly can't guarantee it. If I thought it was an egg, I wouldn't have let it get this far, you know.
ParlaMint-NL_2015-09-03-tweedekamer-8.u47	I'm gonna go talk to you, Mr. Chairman.
ParlaMint-NL_2015-09-03-tweedekamer-8.u48	Good luck, I'm hoping for a fruitful outcome. I still owe Mr Geurts an answer to his question on the request for early payment. It'll be discussed Monday. I'm not against it in advance, but it depends very much on the conditions. If it gets hopelessly complicated and it costs us more than it gets us, it really doesn't do us any good. Mr Geurts, if you will allow it, I would like to interpret it in this way.
ParlaMint-NL_2015-09-03-tweedekamer-8.u49	We're going to vote in 12 minutes, in accordance with the agreement with the official secretaries.
