ParlaMint-NL_2015-12-22-eerstekamer-3.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2015-12-22-eerstekamer-3.u12	Isn't it true that this customer, in this case the Zeeland customer, is also paying for regional or other investments that do not all benefit Zeeland itself?
ParlaMint-NL_2015-12-22-eerstekamer-3.u13	I don't know. That depends very much on the choice that such a shareholder and such a public body make. In short, we seriously wonder whether we should continue along the path of division. Better halfway than completely lost, says an old Dutch proverb. We risk sacrificing the last powerful Dutch assets we have in the field of energy in width to a principle and a concern that are now sufficiently addressed in other ways, a principle and a concern that is not shared in any other country in this way. Here too, if it is the market that brings about such a thing, that is a pity. Sometimes we think afterwards that we should have intervened earlier to prevent the disappearance of an important Dutch company.................................................................................................................................................................................................................................................................................................. The CDA isn't for that. If, as has been said on many occasions, this Chamber is unable to achieve the right thing, it may be able to prevent the wrong thing from happening. That's what this time is about, as far as we're concerned. There are arguments for maintaining the ban on groups, which I would like to return to Mrs Huijbregt's first question. Of course, we weighed them all together and I want to share the room with you on those considerations. It is said that this law is not about the group ban at all. As far as the government is concerned, however, a law has been submitted for review and no one says that you should not look at the bill in its entirety. Secondly, the Independent Network Management Act is less than ten years old. Isn't it unreliable, as a government, to advocate a change of course already? I have indicated that, in the meantime, the context has changed considerably in a number of respects. In any case, we do not think that a review after such a period is so strange: laws have been called into question in this house more quickly than after a year or eight, for example, the loan system. Three: there is now no level playing field in the Netherlands. It remains to be seen whether this level playing field is there now and whether it will come about with the enforcement of the group ban. After all, we now also know different types of players on the market: companies that only trade in energy, companies that produce or produce and act as subsidiaries of an integrated foreign company, whether or not with Dutch roots, and Dutch integrated companies. The Dutch market has been properly liberalised and this does not change with the removal of the group ban. Four: it is also said that the removal of the group ban will allow new entrants, for example infrastructure companies that are returning to production or trading, while maintaining, of course, a separation from the network operator. That might be possible, but new entrants are an essential part of a liberal market and there is nothing wrong with that. When it comes to network operators or infrastructure companies, they are always public enterprises. It has been said that Mrs Huijbregts asked that Nuon and Essent have been split independently under pressure from the Law. Isn't it unfair that this doesn't happen to other companies? As far as we are concerned, this split between Nuon and Essent did not only happen, and not primarily under pressure from the WON, but was also very closely related to the desire of both companies to expand, when they could not do so in the Netherlands, and to the desire of the shareholders to collect. Both came true.
ParlaMint-NL_2015-12-22-eerstekamer-3.u14	As far as the Acts are concerned, I should like to say that I did not mention the names Nuon and Essent. I asked a general question, because there are more energy companies in this country that have split up in recent years.
ParlaMint-NL_2015-12-22-eerstekamer-3.u15	Yeah, but I'm focusing on the two biggest companies. Mrs Huijbregts may broaden my answer to other companies. Finally, there will be claims for damages and, if so, from whom? The old owners of those split companies have sold their company for a lot of money and the new owners are themselves undivided companies. Although the value of Nuon and Essent has fallen considerably, they have been split into a period before we had the current discussion on the group ban. In short, there is no link between the decrease in value and whether or not the group ban is included in the law. In view of all this, my group believes that the ban on groups should not be incorporated back into the law. As I said, this Chamber is also there to avoid the wrong thing. That brings me to the last element in my speech: a dilemma. We are well aware that the group ban is also included in the current legislation. If this law is not passed, there is still a group ban, but there is no net at sea and there are no further facilities for local, renewable energy generation. If the law comes into force in the proposed form, we will have the facilities for sustainability, but also the group ban. Neither one nor the other is attractive to the CDA group. So we have been looking for ways of removing the ban from the law, or at least not to bring into force the relevant provisions, while at the same time saving the rest of the law. Those possibilities are there. We would, of course, like to hear the Minister say that we have convinced him and that he will come forward with a novella in the shortest possible time to delete the relevant provisions. It can be done very quickly. At the Tax Plan, we've seen that there's a lot you can do in 14 days. It can certainly be quickly if we will cooperate in the most vigorous treatment of such a novelle. We say that in advance. All in all, the law could have been dealt with well before 1 March. I'd like to hear what the Minister thinks of this idea. If the Minister does not want a novelle, he may also decide to suspend the relevant provisions for the time being, for example until it is clear whether the EU is introducing a group ban for the rest of Europe. The law provides for the possibility of introducing provisions at different times. If the existing law is subsequently repealed, we are in a situation where, under the current legislation, we no longer have a group ban, but the group ban has not yet been introduced into the new law. Then there is no longer any way to maintain it.
ParlaMint-NL_2015-12-22-eerstekamer-3.u16	I have to ask a question every time, because I don't understand. Do I understand that Mr Flierman wants to abolish another law through a novelle?
ParlaMint-NL_2015-12-22-eerstekamer-3.u17	No, we have had some discussion in this House over the last few weeks about whether we should ask for novelles or whether the ministers themselves should come up with the idea. I'd like to stay out of that, because that discussion had some opportunity. I suggested that the Minister clarify the articles that govern a group ban in the case of novelle. That was advocated by amendment in the House of Representatives and could very well be done through a novelle.
ParlaMint-NL_2015-12-22-eerstekamer-3.u18	But the ban remains in the old law? I don't understand.
ParlaMint-NL_2015-12-22-eerstekamer-3.u19	If the law including the novelle is accepted, the old law is repealed.
ParlaMint-NL_2015-12-22-eerstekamer-3.u20	So we're gonna break a law at novelle? Is that the bottom line?
ParlaMint-NL_2015-12-22-eerstekamer-3.u21	No, that's not what I'm suggesting. I'd like to explain. The current law contains two provisions which need to be kept in mind. The new law can be introduced by Royal Decree at different times and for different articles. No, I'm discussing the second option now. I repeat my words. The law contains a number of provisions introducing the block ban from the old Electricity and Gas Act into the new law. The Minister may delete those provisions from the new law by novelle, but it is also stated in the present bill that the old law is repealed. At that time we have a new law, in which novelle has abolished the group ban, while the old laws have been repealed. So there's no group ban anymore. You can if the Minister wants. If the Minister does not wish to do so, he may, on the basis of the article that certain provisions may be brought into force later by Royal Decree, decide not to bring into force the group ban. He can postpone this until, for example, the European Union decides that the group ban should be introduced across Europe. In that case, there is nothing left to maintain. I'm moving on. With the other parties we have prepared a motion asking for it. We won't ask for a novelle ourselves. Mr Meijer will shortly be tabling the motion on behalf of the CDA Group. I know that motions are usually tabled in second term, but given the importance of the subject which is undoubtedly at the heart of the discussion, it would be a good idea for the motion to be tabled in the first period in this case, so that everyone can react to it in the first period. Should the Minister promise to take the first route, as I hope, the motion will undoubtedly be withdrawn. That'd be great. We await the Minister's reply with great interest.
ParlaMint-NL_2015-12-22-eerstekamer-3.u22	If the CDA says that it has a high priority for Dutch employment, then I am not going to interrupt Mr Flierman. Compliments for that. I would like to return to the beginning of his speech. It was about Paris. Not about the massacres that took place there, but about the climate summit. That's where Dutch interests play. He was talking about a binding climate summit. Article 28 of the Agreement states that everyone will abide by the agreements. If you don't, it's good, though. I have heard countries like India, Japan and South Korea say in the media over the last few weeks: nice, that climate summit, but we will continue with our plans for the construction of coal power stations. Back to the importance of the Netherlands. Will Mr Flierman again explain the usefulness and necessity of the Netherlands within the EU, if the rest of the world continues to do what he is doing and if we, as a solitary EU and within the Netherlands, are the only strict climate targets we impose on ourselves?
ParlaMint-NL_2015-12-22-eerstekamer-3.u23	That would require a different debate. We could talk about it for a long time. I didn't use the word "binding," I used the word "job-breaking." That has a slightly different meaning. To my best knowledge, not only Europe, but many other countries are committed to halting global warming. This seems to me to be of great significance to the future of the planet. In that sense, I used the word "job-breaking."
ParlaMint-NL_2015-12-22-eerstekamer-3.u24	Mr. Chairman. We are talking today about the STROOM Act, the law merging the Electricity Act and the Gas Act. Today, by the way, I am speaking on behalf of the PvdD. It is a complicated law which has already concerned the moods in the House of Representatives and of which we are playing the end game here today. I'm just gonna drop right into the house: this law still has a big stain that needs to be brushed away in order to obtain the agreement of the First Chamber. That's the group ban, or the forced split. The decision to split was taken in 2006. Even then, the SP was against it, but that did not change the fact that there was a large majority in favour of it. It was thought that the split was necessary to settle a number of essential issues, such as security of supply and to cover a number of risks. There was also the conviction that the whole of Europe would split up. We are now almost ten years further and a lot of experience richer. The Netherlands acted vigorously in 2006 and obliged the split. To this day, the Netherlands is the only country that has implemented the division in this way. Companies like Nuon and Essent split and the commercial leg was taken over by Vattenfall and RWE. They are foreign companies that are system operators in their own country and benefit from a better credit rating. The interest rate on the capital market is essential. This increases for the Dutch companies, which removes the argument that the split creates a level playing field. In fact, we're willingly putting them at a disadvantage.
ParlaMint-NL_2015-12-22-eerstekamer-3.u25	So Mrs. Meijer admits that you have a better credit rating unsplit?
ParlaMint-NL_2015-12-22-eerstekamer-3.u26	Yeah, I admit that. Since 2008, other European countries have not been splitting up at all and they are not generally planning to do so either. Europe doesn't have to do it anymore. Then you get the question of why you'd still do it. Who's gonna take advantage of it? Are those the users who need to be sure that the light is on, the stove is burning and the shower is hot? One of the considerations of splitting up at the time was the security of supply. The number of minutes of interference is lower in Germany, where there is no forced split, than in the Netherlands. At the same time, the Netherlands is one of the most certain countries in the world. The conclusion of the SP is that a split does not affect the security of supply and cannot therefore be used as an argument for a split. Another idea was that splitting up would promote competition. In the countries around us, for example in Germany, Sweden and France, rates are lower. Portugal, Belgium and Norway have the most switching players. Those are all countries that have no forced division. A low price and switching behaviour are apparently not related to forced division. These arguments therefore also lapse. With the idea that the networks should not be used as collateral for commercial adventures, the Minister had a point. However, this has already been extensively secured in Dutch law. The manager's assets are housed in a separate legal entity and constitute a separate asset entirely separate from the energy company and the holding company. This follows from Article 10 of the Electricity Act. This means that a network operator is not affected by debts or by the bankruptcy of another group's e.g. or N.V. Similarly, network management should not constitute collateral for the activities of the energy company. There is already a "loan ban" in the current law. If the commercial leg gets in trouble, then a curator will also have to comply with the law and the legal protection and requirements must not be violated. Here too, the SP has to conclude that splitting is not necessary to establish clear rules. We can safely assume that the countries around us can prove that without a split you can provide a number of benefits, such as security of supply, switching behaviour and low rates, and that the Dutch rules on preventing risks for our networks are fine. No argument has yet been found to be for split. Then I come to the question of competition between the various energy companies in the Netherlands. The Minister is telling us to ensure a level playing field. However, if we were to continue the split now, we would turn it into an unequal competition. On the one hand, we are dealing with energy companies that can lean on their foreign parent company with networks in the holding company, and on the other hand with Dutch companies that can borrow on the capital market on less favourable terms. That is an unequal situation. We use this to destroy the Dutch companies. The Minister has all put forward these arguments in the various debates in order to get his split through. However, these arguments have all been defeated and therefore no longer count. The only thing this minister can rely on is his personal conviction. He's a personal advocate of the split. He is today facing a dozen parties, eight of which are turning against the split. We take a majority of seats with us. That means he has to listen to this majority. He will have to meet them, because that is the way democracy works. The SP concludes that division was perhaps defended by people in full conviction years ago, but that the idea is now completely obsolete. This is evident from the number of signatures that are under the motion that I now wish to submit. The motion is supported by at least seven parties and possibly more. I am aware that it is not customary to table a motion in the first term. However, I think it would be wise to include them in the debate at an early stage. The President shall: Mr Meijer, Mr Flierman, Mr Dercksen, Mr Vos, Mr Ester, Mr Van Rooijen and Mr Ten Hoeve proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the group ban provided for in Article 4.6, sixth paragraph, of the legislative proposal;]] [[whereas the Netherlands is therefore the only Member State of the European Union which makes ownership division legally mandatory for distribution managers;]] [[whereas at the time in 2006 the inclusion of this split bid was based on the expectation that other EU Member States would impose a similar commandment, but that it has not since;]] [[whereas the Netherlands therefore puts itself in an undesirable position of exception;]] [[whereas the Dutch energy companies DELTA and Eneco will face forced division with foreign competitors such as EON, RWE, Vattenfall and GDF who have financial leverage (such as a better credit rating) that suits an integrated company;]] [[Whereas maintaining knowledge, expertise and funding capacity in integrated Dutch energy companies is of great importance, inter alia, in order to stimulate innovation in the field of energy management;]] [[expresses its view that the introduction of such a group ban on distribution system operators is only appropriate if the EU imposes this obligation on Member States;]] [[invites the Government, therefore, to agree that, in the light of the provisions of Article 12.36 of the sixth paragraph of Article 4.6, the obligation of Article 9 of Directive 2009/73 and Article 9 of Directive 2009/73 is extended to distribution system operators, or a similar obligation is established for distribution system operators on the basis of provisions of other binding EU acts,]] [[and goes to the order of the day.]] [[She's getting No. kst-34199-H]]
ParlaMint-NL_2015-12-22-eerstekamer-3.u27	I come now to the point of wind at sea. This is part of this law. We have shared an ambition for a significant increase in renewable energy. It has to be, because the Netherlands is dangling somewhere at the bottom of the list of countries with regard to the percentage of renewable energy. Within Europe there are only two countries that are even more dependent on fossil energy than we are. So the Minister says that we need to adopt this law now, to ensure that the net for wind at sea can be built on time. I don't think most parties want to put winds at sea in the way. That is why we would like to invite the Minister to work with these sustainable goals and propose that the great pain point, the forced division, be separated from it. I can imagine that people who read or hear my speech are now wondering what a forced division will cost us or, rather, will cost us. We can assume that this will cost 1,500 to 2,000 people their jobs. I'm taking you to Delta, a company that now employs a small 2,000 people in different divisions.
ParlaMint-NL_2015-12-22-eerstekamer-3.u28	I'll take Mrs. Meijer to the coastal towns. She says there's a lot of support for wind at sea. In any case, she has overlooked our group. Many people in coastal communities have shown that this is going to cost a lot of jobs. People who may also vote for Mrs Meijer's party will be in the WW in no time. Where do these people find hearing in this room? They consider that to be the exclusive responsibility of the PVV Group.
ParlaMint-NL_2015-12-22-eerstekamer-3.u29	Thank you, Mr Dercksen. I didn't say for nothing in my contribution...
ParlaMint-NL_2015-12-22-eerstekamer-3.u30	Would you like to speak through the chairman, Mrs. Meijer?
ParlaMint-NL_2015-12-22-eerstekamer-3.u31	Excuse me, Mr. Chairman. I also said for a reason that a large majority in this Chamber voted for wind at sea. We had to go through that a while ago. The PVV was against it; I admit that. However, I also believe that the construction of these windmills at sea will create jobs. Of course, we can prevent 1,500 to 2,000 people from losing their jobs in these energy companies today. That's what I'm talking about right now.
ParlaMint-NL_2015-12-22-eerstekamer-3.u32	We support that. That's clear. We co-signed that motion. But Mrs Meijer cannot ignore the fact that hundreds of residents' associations in the country are fighting these windmills. I even got a ticket from a D66 mayor asking if we could make sure that those windmills are still at sea. People went to the United Nations Compliance Committee in Geneva to ask the Cabinet to comply with the Aarhus Convention. In short, there is great resistance to windmills in society. It wakes people up and makes homes less valuable. Where else will all these people be heard? They don't find it in the SP Group, and that's sad.
ParlaMint-NL_2015-12-22-eerstekamer-3.u33	I don't really hear a question, so I think I'll go on with my speech. I just said I'd take you to Delta. Delta is a company that employs a small 2,000 people in different divisions. Both the works council and the trade unions assume that the further break-up and purchase of divisions will result in a loss of between 747 and 997 jobs. For employment in Zeeland, already a shrinking region, this will be a huge blow, with great social impact. Also splitting Eneco will be accompanied by loss of many jobs, is the expectation. The company is expected to be able to invest less, forcing 130 to 150 people to leave the company. Due to the reduction in the investment space and the necessary savings resulting from the split, it is expected that different activities of the company will have to be terminated. As a result, between 800 and 1,000 full-time functions will expire. In addition, significant effects can be expected from suppliers at home and abroad. There is a scenario in which Eneco, after forced division, will be taken over by another party. In this case, take into account an investment stop for a few years, because the effects of acquisition need to be worked out, and take into account a loss of employment, as it is likely to be reorganised. In summary, the division of Eneco will lead to an inevitable loss of more than a quarter of the total workforce. These figures are also provided by the trade union, an organization which has no interest in splitting up or not. An additional disadvantage of this scenario is that the contribution made by the two companies to the energy transition to date will also be cancelled. When taken over by energy giants from abroad, they will have little interest in the smaller sustainable projects in the Netherlands, but rather focus on large projects elsewhere. Mr President, I will conclude. According to the SP, it is clear that with a group ban or forced division we do nothing or no one a service, we do not achieve any extra security, we do not make extra effort in the energy transition and we do not bring benefits to the consumer. However, there is a good chance that we will turn two Dutch energy companies upside down, let some 2,000 people lose their jobs and make investments in Dutch sustainability initiatives difficult. I invite the Minister to refute these arguments, but insist that he no longer uses arguments that are demonstrably outdated, incorrect or no longer valid. The SP looks forward with interest to the Minister's reply. If the motion tabled is to be put to the vote, we would like it to be put to the vote before the law is put to the vote.
ParlaMint-NL_2015-12-22-eerstekamer-3.u34	Mr. Chairman. Last weekend we were all positively surprised by the climate agreement in Paris. After the failure of Copenhagen, it was now or never possible to reach an international agreement to limit CO emissions, so that the temperature on earth does not rise by more than 2 ̊C. For the first time in history, all countries recognise that man is the main cause of global warming and that this will eventually become our greatest security problem. But an agreement that is on paper is not yet a reality. Paper is patient and reality resists. Much remains to be done in the Netherlands in order to achieve our own sustainability objectives. Is it true that, if we are to be able to comply with Paris, we must intensify the agreements of the energy agreement?
ParlaMint-NL_2015-12-22-eerstekamer-3.u35	I don't want to interrupt every time, but it's almost impossible to avoid. The climate agreement has become a non-binding agreement to which everyone can abide, but if one does not, it is also good. I refer to Rule 28. Mr Pijlman says that we have a lot of things to do in the Netherlands, but China will continue to build coal plants. India will continue to build coal power plants. The whole world will continue to build coal power plants, even if it is only because 2.5 billion people have been added in 2050. When is D66 going to look at the international perspective of this climate action?
ParlaMint-NL_2015-12-22-eerstekamer-3.u36	It is good to hear that Mr Dercksen is thinking internationally this time and not nationally. That's a big step forward. I admit immediately that he's about the only one who doesn't think climate change is an item.
ParlaMint-NL_2015-12-22-eerstekamer-3.u37	I didn't get an answer to my question. We always look internationally, but we look from the interests of the Netherlands itself. As we do today, we are looking at the interests of the employees of Eneco and DELTA. However, my question was what we are going to do as a mini-country. What impact does the Netherlands have on all climate change if the world continues to do what it is doing? Whether there's one, ten or a hundred climate summits, the world's going on with what it's doing, and that's building coal power stations. You want to talk in that weird Tax Plan that you have now approved about the closure of new coal power stations that we have. In China there will be 363! Why? Answer the question when you look at the international perspective of climate policy.
ParlaMint-NL_2015-12-22-eerstekamer-3.u38	Every day we look at the international perspective, including climate policy. That is precisely why we believe that a country such as the Netherlands should also shoulder its responsibilities. That is true when it comes to coal, that is true when it comes to wind at sea. You have nothing more to report internationally if you can't stick to your own principles. Apparently, that's what you want.
ParlaMint-NL_2015-12-22-eerstekamer-3.u39	Finally, Mr Dercksen.
ParlaMint-NL_2015-12-22-eerstekamer-3.u40	I want you to realise that we are responsible for 0.5% of CO emissions. So all we're doing here is messing around in the margins. What happens in Asia or Africa matters. Those countries aren't gonna do anything about it. They just say that, it's in the paper. When do you realize that all these expensive measures that put our prosperity at risk have no impact on the climate?
ParlaMint-NL_2015-12-22-eerstekamer-3.u41	I can only say once again that I am pleased that all countries, all countries, want to relate to the Paris agreements. Mr. Chairman. When will the cabinet present an updated overview of the energy agreement which includes the Paris agreements, I would ask the Minister. The D66 Group realizes that the legislative proposal before us is the next step to bring the Dutch sustainability objectives closer. D66 appreciates the fact that the proposal in question was established in an open planning procedure. The current law makes it possible to start with wind at sea. All the preparations have been made to unsubscribe the first tender. Companies also seem to be in the starting blocks to register. TenneT is ready to "plug." This law is needed to launch the process of a significant increase in renewable energy. And that's what's needed. After all, our country is lagging behind Germany, for example, in terms of renewable energy. The energy market is moving enormously. Conventional fossil generation is under pressure. For example, Germany has given itself the task of speeding up the closure of nuclear power stations. Integrated companies own those power plants. The risks that arise from this can be reflected in the systems. This meant, for example, that the Land of Hamburg, where there are two nuclear power stations, decided to separate the systems from the commercial companies and place them in public hands. In our country too, the energy market is in full swing. The Borssele nuclear power plant is closing down. We want the old coal plants not only to be abandoned, but also the new ones. At the same time, renewable energy production is being started and decentralised energy generation is becoming increasingly possible. Large foreign energy companies, such as Vattenfall and RWE, have had to write off billions on their commercial purchases. In their case, the taxpayer will pay for that. These uncertain and changing market conditions cause job losses, but also create new ones. Years ago, the Netherlands chose to protect the energy infrastructure from commercial activities by detaching the infrastructure from the market providers and keeping it in public hands. The infrastructure must not depend on commercial activities. This split disconnected the networks of Essent and Nuon. The remaining commercial activities were sold. Local authorities got 20 billion for it. Parts of these resources were used to prevent government savings from passing on to citizens. Investment was also made. Sometimes in renewable energy, often also in infrastructure with which the local and regional economy was strongly stimulated and jobs created. The split of energy companies that entered into force in 2008 and should have been completed in 2011 continues to be an issue. Eneco and DELTA resisted and went to court. After years of proceedings, the state was right. The split was justified. The companies are launching a major campaign to ensure that there is no network and commercial activity in a holding company still under the group ban, because that is what it is actually avoiding. However, the Lower House decided to maintain the group ban. The Smaling amendment was rejected after a roll-call vote. And now the bill is in this house. Perhaps the main question here is whether we want a level playing field for energy companies in Europe or whether we want a level playing field in the Netherlands. After all, unlike the Netherlands, Europe does not require division at regional level. This is left to the Member States. If we continue with the group ban that prevents the separate companies from being in one holding company, Eneco and DELTA believe that they are significantly behind European competition. But if the split is not continued and the simple farms are not stopped, then the new energy companies, where more than 1,000 people are now working, are severely disadvantaged. In addition, the State runs legal risks. After all, a state that has a staggering policy automatically creates risks.
ParlaMint-NL_2015-12-22-eerstekamer-3.u42	Can Mr Arrowman explain why the new energy companies are lagging behind? They cannot buy nets, whether the split is continued or not. The situation is as it is, isn't it?
