ParlaMint-NL_2015-09-17-tweedekamer-6.u1	I give the floor to the Prime Minister so that he can continue his first-term response.
ParlaMint-NL_2015-09-17-tweedekamer-6.u34	In that I have a more general position. We lay down our piece here, our vision. This is a view in which we are trying to avoid groups and at the same time to maximise labour market effects. Then, of course, the question arises as to whether this is poured into concrete. No, I have already said that perhaps we should discuss this subject further in the General Financial Reviews. That is all I can say, because this is what we find and what we are defending.
ParlaMint-NL_2015-09-17-tweedekamer-6.u35	I understand if you're just looking at purchasing power. Then it is not so strange that you say that even those single-earning families have deteriorated for years and that most of them are now making a bit of progress. So that's definitely positive news in itself. The increase in the child-related budget also helps. So I acknowledge all that, but does the Prime Minister understand that this gap and the sense of justice about how to pay taxes on the same household income is a separate issue and that these differences in tax burden are perceived as unfair?
ParlaMint-NL_2015-09-17-tweedekamer-6.u36	The tricky thing is that you have to look again at all kinds of conditions in families and that, of course, here is the transferability of the double tax rebate and its effect in the reference minimum wage. Of course, this has all kinds of effects, but we wanted them with each other. The aim was to make work more attractive and to ensure positive labour market effects. You'll see that too. What we are looking at now is not the speeding up of the double tax reduction but instruments such as the childcare allowance and the income-dependent combination discount. Of course, you can make other choices, but then you have to realize that you immediately see them in the labour market effects. I want to watch over the buttons of the transferable tax rebate, because for that we have now agreed on a path that also goes a little slower and more slowly than we planned five or six years ago. I think that is a sensible line, but once again, I think it would be good to discuss these issues in the context of the Financial Reviews.
ParlaMint-NL_2015-09-17-tweedekamer-6.u37	Mr Slob and Mr Van der Staaij asked whether you would like to come back to this particular calculation example in the second term and whether that is true.
ParlaMint-NL_2015-09-17-tweedekamer-6.u38	I do not know that example, I have to check whether the Minister of Finance knows it. I will try to answer it in the second term, if you will give it to the officials. I don't know.
ParlaMint-NL_2015-09-17-tweedekamer-6.u39	I get that. Mr. Roemer.
ParlaMint-NL_2015-09-17-tweedekamer-6.u40	Mr President, yesterday I warned you yesterday in my first term that the Prime Minister would call this story 'balanced purchasing power cards'. The day hadn't started yet, or there he was. It was balanced.
ParlaMint-NL_2015-09-17-tweedekamer-6.u41	I started the migration.
ParlaMint-NL_2015-09-17-tweedekamer-6.u42	Let us take a look at what is now balanced, because in the Macro Economic Recognition, which is being passed on by the Central Planning Office, the CPB clearly concludes that there is a significant increase in income inequality. A logical question then is what is balanced about that, especially when I read in the figures of the Ministry of Social Affairs that the people with the lowest incomes are just at zero. Let that be just the group where 400,000 children have to grow up below the poverty line. Let that be just the group that is struggling massively with paying the care premiums. That group is at zero, while this cabinet increases inequality with this policy. So the people with the highest incomes are making the most of it. What is balanced about this?
ParlaMint-NL_2015-09-17-tweedekamer-6.u43	It's not right, that's point one.
ParlaMint-NL_2015-09-17-tweedekamer-6.u44	What isn't? Numbers, come on!
ParlaMint-NL_2015-09-17-tweedekamer-6.u45	Yeah, I'm gonna try. Let me first say that as far as income relations are concerned, this cabinet sails on the compass of the 2012 Zijlstra/Samsom motion. There have been adjustments to this later in 2014, but we are consistently implementing this motion. Furthermore, the cabinet has also looked at the special position of people with benefits and has chosen to make significant progress on the part of low-income workers. We have done this very consciously, because working becomes a lot more attractive when the benefits are a little bit higher and the incomes of low-income people increase significantly. That narrows the so-called wedge. Mr Roemer knows the problem that in the past there were people who said: I can't afford that job, because then I'm going backwards. So we try to go as far as possible to the situation that pays off. You can do that by lowering the benefits, but I don't think anyone here wants that, or you're trying to keep the benefits up while you're trying to raise the salaries of the lowest paid. So they are actually making more progress than the higher incomes. If you say 1% out of a million is more than 5% out of €30,000, then: duh! Of course! Of course, it's about percentages.
ParlaMint-NL_2015-09-17-tweedekamer-6.u46	The Prime Minister said my story wasn't right, but then he didn't answer. So my story is good! Thank you. The Central Planning Bureau writes that income inequality is growing considerably. That's a fact. I'm not saying that. It's the Central Planning Office. On page 148 of the Social Affairs Ministry's budget, it says that the social minimums, a few with children, single people and single elderly people get zero. I see the Prime Minister being whispered, but there really is zero in the Social Affairs Minister's budget.
ParlaMint-NL_2015-09-17-tweedekamer-6.u47	It's a co-production.
ParlaMint-NL_2015-09-17-tweedekamer-6.u48	You'll make two tons here in the country. The minister says about those people "it's only 1.4%" but it does mean that people who were already very good at the weak are getting €2,800. If you are at €20,000, you get €140. That's 20 times less than the highest income. The people with the lowest incomes, the people who can't pay the bills anyway, also face higher premiums and a higher own risk. So the families with children living below the poverty line get nothing. Again, what is balanced about this?
ParlaMint-NL_2015-09-17-tweedekamer-6.u49	If we look at absolute income levels and what a percent does on a million or a percent at $20,000, then yes, then... then it becomes complicated. I think we're always looking at how purchasing power...
ParlaMint-NL_2015-09-17-tweedekamer-6.u50	It's about the pennies!
ParlaMint-NL_2015-09-17-tweedekamer-6.u51	Can you control yourself? Okay.
ParlaMint-NL_2015-09-17-tweedekamer-6.u52	Please continue.
ParlaMint-NL_2015-09-17-tweedekamer-6.u53	I think we're always watching how purchasing power develops in terms of percentages. That's how it goes. The purchasing power of low-income workers is about to increase considerably, and I think that this is very justifiable, because it makes work pay. We have the highest benefits in the Netherlands and we are not going to lower them. But we really have a very decent social security in the Netherlands. You must, I believe, go to Sweden or Denmark to have it even better. We're not gonna change that either. In fact, there too, we have maintained purchasing power. It is even rising a little bit and what we are doing is certainly not at the expense of people with benefits. We do want work to pay more. That's what we're doing now. There's some room for that, too. It is good for the economy and economic growth. If you then talk about what a percentage means for a higher income, then... I find it very balanced that high-income workers have lower growth than low-income workers. It doesn't work leveling either, because you don't take money from higher incomes to lower incomes. You do make it attractive for the lower incomes to start from a benefit. I think that is a good policy and I do not understand what Mr Roemer can say about it, especially since he himself proposes to reduce VAT. That is, of course, de-levelling and that is why I do not understand him.
ParlaMint-NL_2015-09-17-tweedekamer-6.u54	The Prime Minister accuses me that my story is wrong or wrong, and then he confirms that it is true. Let's be clear and take a look at it from the perspective of the people at home. People aren't looking at percent, people are looking at pennies. It means that if you are at the social minimum, you can turn in and if you are among the highest income groups, you will improve thousands of euros. The Prime Minister is therefore making sure that our salary, and certainly that of the people in trade union K, goes up sharply and that the income of people with children who grow up in poverty remains at zero. And then he has the guts to say here in the Chamber: that's balanced; you shouldn't think in pennies, you should think in percentage. Let me say one more thing to the Prime Minister. If I don't have money to buy a loaf of bread, then I really don't have to come up with a percentage, because I really have to pay with pennies. If you don't have it, your kids don't have breakfast in the morning. And 400,000 kids go to school without breakfast! I think it is too scandalous for words that the cabinet takes the word 'balanced' in its mouth and lets all those people who do not make ends meet just choke.
ParlaMint-NL_2015-09-17-tweedekamer-6.u55	I think this is an absurd argument. I can't make it prettier. I think the reasoning is really wrong. Fortunately, in the Netherlands there is once again a tax meevaller to be distributed. If it is already possible to lower taxes, then of course you will see if you can do it properly. If you did it completely neutrally, you'd make sure that all workers progress about the same. We don't. We choose to let the people with the lowest incomes get a little better. In doing so, we want the difference between benefits, which are not going down, but which are going up even a little bit, and increasing the number of workers, so that work becomes more attractive. Mr Roemer cannot run away from the fact that in the Netherlands we have a very decent social security with a high level of benefit. If you did not do anything about the position of low-income workers, the level of benefit could stand in the way of getting started. Then you have two options. You can lower the benefits, but we don't. Or you can make workers make progress, if there's room for that. Again, I really do not understand the almost VVD-like choice that Mr Roemer makes to reduce VAT. He should make very different choices. What he wants with that is really VVD light.
ParlaMint-NL_2015-09-17-tweedekamer-6.u56	The Prime Minister can run away whatever he wants. I'd rather he really did, but that's different.
ParlaMint-NL_2015-09-17-tweedekamer-6.u57	No, you don't!
ParlaMint-NL_2015-09-17-tweedekamer-6.u58	The Prime Minister says it is balanced, while the Cabinet with a Minister for Social Affairs of the PvdA House therefore has no regard for 400,000 children below the poverty line. They stay at zero. The cabinet has no regard for the fact that 1 million people are unable to pay care contributions and that there are more than 350 000 people with a payment scheme. He says it's balanced, while 139.000 people with the minimum social burden are getting worse. Then it is good that the people with the highest incomes are making the most of it, and then he takes me by measure! I have an eye for people who can't make ends meet. I want the social minimum to go up. If only this cabinet did so, because then we can at least really give these children a future and don't have to look at the Prime Minister who says in the Youth Journal: you can go whining for a present, unless your father or mother is on a benefit.
ParlaMint-NL_2015-09-17-tweedekamer-6.u59	I do not solve the problem of children in poverty by raising the minimum wage or the social minimum. That's not gonna fix it. There will always be groups that will end up in poverty as a result of a combination of circumstances. That's terrible. This will always be subject to customisation. This is not solved with generic benefit levels or with the linking of minimum wage and social minimum. You solve that with well-stocked pots for special assistance, for customization, and we have that in the Netherlands. We all have arrangements for people who, due to a combination of circumstances, may be workers with a small job or those with a debt, are in trouble. I realize they don't always reach all people. There will always be people, and I hate that too, who are therefore in poverty. We really don't have to take each other's weight. I am as sorry as you are, Mr Roemer, but I am not dealing with the instruments that you have here. You propose generic instruments which do not provide a solution and which also prevent the recovery of employment.
ParlaMint-NL_2015-09-17-tweedekamer-6.u60	Has the cabinet taken into account the position of people with disabilities in the trade-offs it made when it moved to a balanced distribution in its view? Has their position been reflected in the choices made by the cabinet?
ParlaMint-NL_2015-09-17-tweedekamer-6.u61	When you look at purchasing power, you do it so that you look at the larger groups. I assume Mr. Slob is referring to people in WIA or WAO benefits? I'm trying to understand the question.
ParlaMint-NL_2015-09-17-tweedekamer-6.u62	People with disabilities are also chronically ill and disabled, for example. That's a pretty big category in the Netherlands.
ParlaMint-NL_2015-09-17-tweedekamer-6.u63	You look at the whole, including the measures in the field of long-term care, income support for special groups. They are not always in the purchasing power picture, I must add. These are often separate arrangements, but the Cabinet also has an eye for them, and we are always trying to look at them in conjunction.
ParlaMint-NL_2015-09-17-tweedekamer-6.u64	Has the government taken note of the Nibud's calculations concerning people with disabilities and of the consequences of government policy on their purchasing power, on the other groups, on the workers, on the people without restrictions, or as we said yesterday: on people who think they have no restrictions and who do not incur additional costs? How do the consequences for them relate to those for the group which clearly goes through life with a limitation?
ParlaMint-NL_2015-09-17-tweedekamer-6.u65	Every year we have a discussion here about the purchasing power picture, the Central Planning Bureau, the Cordelia and, of course, the Nibud. The Nibud is not a government institution, but it calculates and draws on all kinds of things that are relevant to the debate here too. This coalition doesn't need the VVD for that and doesn't need the VVD the PvdA to try to serve people who are weak, who have to do with a sum of problems that they can't do anything about themselves, in a decent way. This is what we do with the reorganisations in long-term care. That is what we do in terms of income support. That is what we do in all respects.
ParlaMint-NL_2015-09-17-tweedekamer-6.u66	If the Prime Minister has really taken note of the Nibud figures on these groups, then he must be shocked. There are big differences. These differences are too great in our eyes. I ask the Prime Minister to come back to this in the second term, if he has the exact figures in mind. I think there is reason to see if we can reduce these differences, because I cannot fully explain this to people.
ParlaMint-NL_2015-09-17-tweedekamer-6.u67	I haven't seen the latest Nibud numbers. If you give them to us or if we can find them ourselves, I will try to deal with them in the second term.
ParlaMint-NL_2015-09-17-tweedekamer-6.u68	In addition, I would ask the Prime Minister to look at the people who are already at the minimum and who are really going down. The Prime Minister must realise that they do not have the time to wait until August next year for it to be repaired. They need that €100 again every month.
ParlaMint-NL_2015-09-17-tweedekamer-6.u69	The Prime Minister just made it appear as if people can happen because of a confluence of circumstances in the problems and in poverty, sometimes you have bad luck and then you have to solve it through special assistance. Of course, it doesn't work that way. Ultimately, this cabinet makes the political choice to which it spends the money. This cabinet, for example, chooses to put 900 million euros in the fourth disc. We could have used that money to help lower incomes a little bit more. That choice is not made. Why not? Why is there investment in that fourth disc now? What effect does the cabinet intend to achieve in this respect?
ParlaMint-NL_2015-09-17-tweedekamer-6.u70	Do you mean the extension of the third disk?
ParlaMint-NL_2015-09-17-tweedekamer-6.u71	It is indeed about the extension. That way people don't get into the fourth disc until later. This is about the highest incomes.
ParlaMint-NL_2015-09-17-tweedekamer-6.u72	This is also part of a balanced purchasing power picture. You need to separate this from the ideology of coalition parties. I have already said that we are sailing on the compass of the 2012 motion of the two group chairmen. You're trying to distribute prosperity in a decent way as far as the cabinet's concerned. People make individual choices, start a business and may become very rich or end up very poor. People can become unemployed. Anything can happen. The government tries to look at the generic income relationships in the Netherlands in a decent way. Then you look at all the incomes in the Netherlands. That makes sense, doesn't it? You can't just look at the lowest incomes, can you? Then you have to look at all the incomes and then provide a decent relationship between those incomes?
ParlaMint-NL_2015-09-17-tweedekamer-6.u73	I think you should look at where the need is highest and where intervention by the government and purchasing power repair is most important and has the most effect. This cabinet is full of job creation. What is the employment effect of this adaptation to the third disc, which means that people will not reach the highest tax rate until later? That's pretty nil. In the field of employment, it does almost nothing. In the area of redistribution, reducing differences, it does almost nothing. So it is not just or effective. Which of the coalition parties are you serving here?
ParlaMint-NL_2015-09-17-tweedekamer-6.u74	You're gonna have to tell the whole story. We are also taking other measures aimed at higher incomes. You're also looking at the marginal pressure. You look at all income groups how attractive it is to work at all and possibly to work more, to get the best out of yourself at all levels. You're trying to distribute prosperity in a decent way. I think that's what we do. This is a very neat purchasing power image. There's no weird outliers in it at all. A choice is being made: now that there is room for relief, we are putting it mainly into workers without compromising the benefit-holders and pensioners.
ParlaMint-NL_2015-09-17-tweedekamer-6.u75	I'm fighting that choice.
ParlaMint-NL_2015-09-17-tweedekamer-6.u76	I understand.
