ParlaMint-NL_2015-05-27-tweedekamer-3.u1	A warm word of welcome to the Secretary of State, who may be in the building for the whole week.
ParlaMint-NL_2015-05-27-tweedekamer-3.u12	Mr. Chairman. Three million passengers per week benefit from the fact that they can use one card to use the whole of public transport in the Netherlands. However, a number of barriers still hinder ease of use. They are often the result of the system behind the card. As far as I'm concerned, the traveler is central. A number of spokesmen have asked whether demand-oriented or supply-oriented work is being carried out. We need to make the O.V. chip card more user-friendly. It must be a national system which must not be at the expense of the benefits of decentralisation and market forces for travellers. I shall return to Mr Bashir's question on Texel in a moment. In principle, this legislative proposal has two brackets: the importance of travellers benefiting from a user-friendly payment system and the importance of a well-functioning public service payment market. In the NOVB I make agreements with local authorities and carriers on national concession cross-border issues. Consumer organisations are also involved. When I look at the functioning of the NOVB, I see that there are complex issues on the table and that they have the perseverance power to make decisions. However, it is well known that I want to be able to intervene if parties fail to come forward. To that end, I now amend the law. This isn't just an intervention. Some spokesmen assume that I am just threatening and they are asking if I will actually intervene. The answer to that question is yes. I'll give you the example of single check-in/check-out. Reports have been written on this in the past. There are many obstacles and it is complicated to get out of them. It is known that there will be a pilot running, including on the Valley Line. As far as I'm concerned, that pilot is the beginning of the introduction. If there are bumps that keep getting our goal further out of the picture instead of getting closer, I will, for example, intervene. In this way, I can safeguard public interests where self-regulation is inadequate. I would like to emphasise that I think it is important that self-regulation is dealt with. The number of parties is clear, we fit in one room. At the moment when the inner drive is there to make arrangements together, listen well and be creative, the traveller has the greatest interest in doing so. A stick behind the door is never funny and I don't know if it will lead to optimization, but I'll use that stick. I shall vote in favour of the directive because it gives me those powers; I do not have to use them when parties come out of it themselves. In this way, I can take better account of the moment and circumstances in which action is to be taken. Mr Van Helvert asks if that is enough. Yeah, that's enough. Of course, I need Parliament, because if Parliament shows that it supports me in this, I can apply it at the right time. That's why I use the word "can." I shall come back to the question raised by the Labour Party, among other things, how I am going to involve the Chamber. In principle, all concession cross-border issues that have a national impact can be covered by legislation. I was just talking about the single check-in/check-out. Mr Houwers said that this is an important issue for him. I have just indicated that it is perhaps one of the most complicated issues. However, I am not going to let that go, and I am experiencing the support of the Chamber. The same applies to the roll-out of travel on account, on which Mrs Dik-Faber started, for the provision of data from the O.V. chip card system, which the groups of the CDA and the Christian Union talked about, and for the harmonisation of the tariff structure of interoperable travel products. Once again, as far as I am concerned, the parties in the NOVB should first be given the opportunity to come up with adequate solutions. Only if that does not work, or if it is not done in time, will I proceed to legislation. I just wanted to talk to you about Texel. I have previously informed the Chamber that I would also like to regulate Texel with regard to the national operation of the OV-chipkaart. Mr Bashir asked for that. To arrange this for the whole of the Netherlands, I need a law change and an AMvB. The legislative proposal goes beyond the issues of cooperation within the NOVB.
ParlaMint-NL_2015-05-27-tweedekamer-3.u13	I already have a question about this general introduction by the Secretary of State. Indeed, the bill is based on all kinds of kan-provisions. The Secretary of State states that it wishes to give the parties in the NOVB the time to come up with solutions. A number of parts, such as the single check-in/check-out and account travel, have been spoken by the Chamber for a long time. I have been a Member of Parliament for three years now, and I think I have been talking about this for three years, and perhaps my predecessors have been. When is the time for the Secretary of State when she really thinks she should get to work?
ParlaMint-NL_2015-05-27-tweedekamer-3.u14	That depends on the progress of the pilot that is being started. We have agreed that a pilot will be launched. It will also be started. I just indicated that the pilot is the beginning for me. And after the pilot we continue, in the sense that we will finally arrange that single check-in/check-out. There's no way we're not gonna fix that.
ParlaMint-NL_2015-05-27-tweedekamer-3.u15	However, I do need the Chamber to be more "smart" about this. I need us to hear clearly from the Secretary of State what is the state of affairs within the NOVB regarding the various subjects, not only the single check-in/check-out, but also, for example, the travel on account....................................................................................................................................................................................................................................... It is of course very good that a pilot has started, but it may take ten years for something like this to roll out all over the country. I really want more grief information from the Secretary of State.
ParlaMint-NL_2015-05-27-tweedekamer-3.u16	The answer is very easy. You know the work plan of the NOVB. You know the times attached to it. You know the reports. So those answers are all there. I have just said that there are a number of issues that I will certainly intervene on. I know there's gonna be a pilot on the Valley line, and I'm happy about that. I want that pilot to get off to a good start so we can make meters. That pilot is the beginning of the rollout for me. And as for the other topics within the NOVB: more smart than in the work plan of the NOVB and the reporting I can't make it for you. The quarters are just written there.
ParlaMint-NL_2015-05-27-tweedekamer-3.u17	Perhaps a supplement to what Mrs Dik just asked about the single check-in/check-out. I have already indicated that the interests of the participants are different from customer friendliness and that it is therefore important for the Secretary of State to take her role in this. I ask the Secretary of State what is actually to be piloted at this point; you just have to make sure that you only check in once and check out once. Does it have to do with how the participants deal with it or with their interests in it? I also understand that there is a very clear deadline for that single check-in/check-out, because the quarters have been mentioned. That deadline is not entirely known to me, but that may be a shortcoming on my part. Can the Secretary of State share a little bit more about this right now?
ParlaMint-NL_2015-05-27-tweedekamer-3.u18	This does not apply to the single check-in/check-out. That's what we agreed to start the pilot. The single check-in/check-out is the biggest wish but also the most complex issue. In the past, a committee has considered it. I believe that two years or two and a half years ago a report from the chairman of that committee, Mr Meijdam, was published. It also shows how complex it is. I think it is a challenge and not a problem. The only question is how to get there as quickly as possible without the care and the fact that it is actually going to happen being hampered by pressure on a process in time. I got a stick behind the door. I also experience that of the Room, especially when it comes to single check-in/check-out. That pilot's gonna run on the Valley Line. The Chamber has been informed about this too. I think it is important that this pilot is carried out in such a way that, at least on that route, the roll-out can become final and that we can do so on other routes as well. At the moment when there are several trade-offs that are no longer in balance with each other and one does not come out of it, I will use that stick. Mr Hoogland asked how we would do that. I do want to be careful and involve the Chamber. For topics that are subject to regulation, I will first address them in a general note and necessity and proportionality, and I will send that note to the House of Representatives, so that she too will see what the considerations are to do. 'Cause we'll do something. Then we're actually gonna intervene. In the main note, I will then outline what the public service pay market looks like, what regulation is going to do about this and what the intended effect of that regulation is. Financial aspects and administrative burdens are also considered. Clearly, I want to reduce the administrative burden as much as possible, but the convenience of the traveller is paramount. Local authorities, transporters, consumer organisations and other stakeholders are involved in drawing up the headline note. Only then will concrete regulations be drawn up in an AMvB, which I will then hang for at the Lower House.
ParlaMint-NL_2015-05-27-tweedekamer-3.u19	I am surprised at what the Secretary of State says, because there has already been a consultation when this bill was made. So everyone involved has already been consulted. And now the Secretary of State wants to go and talk to everyone again. The Secretary of State may, of course, discuss what she wants, but the point is that she doesn't come up with rules for a year, a year and a half, two years or perhaps even later. What timetable does it have in mind when it comes to introducing these rules?
ParlaMint-NL_2015-05-27-tweedekamer-3.u20	That depends a bit on the subject. Sometimes the threat of the stick is sufficient to remove some obstacles within the NOVB. It may also be that the threat of the stick is not sufficient and then it must actually be removed from the closet. I am always very pleased with the contribution of the SP Group to this issue because it gives me all sorts of things and she is very anxious that I should intervene and arrange it for her, but we have the system as we know it now and we are dealing with decentralisation, involving multiple concession providers and multiple concessionaires. In that system, we have to do it. So I can't sit in the chair of other concession providers. At the same time, I would like it to be dealt with at national level. So I have concessions to take into account. So I am a little less far-reaching than the SP Group.
ParlaMint-NL_2015-05-27-tweedekamer-3.u21	That is clear, but what matters to me is that a consultation has already taken place. When this bill was made, everyone was consulted and everyone was able to make a contribution, which the Secretary of State probably did something with. Now the bill is there and there must be another consultation. Let's make it a little more concrete. When can we expect the mandatory introduction of the national OV-chipkaart in, for example, Zeeland and on Texel?
ParlaMint-NL_2015-05-27-tweedekamer-3.u22	I'm putting the process into effect of the law amendment and the AMvB, and I'm taking the Chamber with me. I think that the consultation is slightly less radical than with the single check-in/check-out. I think it's important. Of course, it's not the same consultation as before the bill. On a subject-by-issue basis, we need to look at how we can bring our interests together. I don't know if you see that with me, but I also see where interests are sanding and where they can be overcome. The NOVB and the stick behind it will together be sufficient to actually introduce this.
ParlaMint-NL_2015-05-27-tweedekamer-3.u23	I still want to talk about the check-in and check-out. In addition, I expect a little more from the Secretary of State. She says that one pilot is started on one trajectory. That is the Valley line, a good example of how cooperation can work. So that is a really good example, while we also know, of course, that there are examples of situations where things are a little more difficult. The question is whether we should then have a pilot, while ultimately it is about different interests. The participants each have their own interest and besides that you still have the interest of the customer. In this sense, the efforts of the Secretary of State and the Cabinet should be greater in this respect. Can the Secretary of State not take the lead in this more clearly by not only setting up a pilot but also clearly telling the NOVB that we want a deadline for the check-in and check-out at once?
ParlaMint-NL_2015-05-27-tweedekamer-3.u24	I have just explained that we are right to take the most complex dossier as an example of intervention. I also think that is very good, because I think that this is a dossier which has received a lot of attention and which has so far achieved little. I hear the words of Mr Van Helvert, whom I share. There's good cooperation on the Valley Line. It is important to show that good cooperation can eventually overcome the differences of interest. I can promise that I'll see if I can make this legal one year after the start of the pilot. Then the Chamber has a hold, just like me and now also the players.
ParlaMint-NL_2015-05-27-tweedekamer-3.u25	Thank you. Fine. There is a deadline in this commitment, which I think is very good. But I hear the Secretary of State is gonna check on this one year after the pilot starts. On this very point, because we know that there is a difference of interest between participants and customers, should we not say: we are going to settle it? Perhaps we can support the Secretary of State with a motion in this, so that she feels supported by the Chamber that this should actually be done.
ParlaMint-NL_2015-05-27-tweedekamer-3.u26	I understand your wish, which I share, as well as the end goal, but I also see great complexity in today's system and what we want to get out of that system. I think that complexity is a challenge and not an insurmountable problem, but I have also learned one thing from the files in this part of my portfolio over the past two and a half years. To increase the pressure and really sit on the pressure of time rather than on the goal that is eventually reached and show that you do not let go, are different elements for me. I've learned by now that under pressure a lot of fluid becomes liquid, but in the end I don't know if we'll have the most perfect solution. So I would like to give Mr Van Helvert this anchor. The Chamber will see me on this file a little longer. I'm not letting go. This is known in the NOVB and the parties know it. We've come a long way in the last two and a half years. I think we should take very big steps where single check-in/check-out will be the crown of everyone's work. I hope all the parties listening have heard this.
ParlaMint-NL_2015-05-27-tweedekamer-3.u27	We've been talking about single check-in/check-out for seven years, it's important that that's settled now. I welcome the Secretary of State's commitment that one year after the start of the pilot, she will make up her mind about whether to legislate. But the pilot hasn't started yet. That can also be at the end of 2015. If we wait a year for legislation to be drawn up, we will lose a great deal of time. Isn't it an idea to start preparing the AMvB now so that we don't waste any time and we can really quickly introduce this?
ParlaMint-NL_2015-05-27-tweedekamer-3.u28	I repeat that the Chamber knows that this is a very complex subject and that this has been going on for so long that many investigations have been carried out. I think this should be done carefully. Let us agree that in the next NOVB report I will indicate what the NOVB is about. The report of the NOVB will also pay more attention to the single check-in/check-out. I am holding on to that anchor because that way the sector knows that there is no point in postponing this pilot. It's been promised by the end of this year, the fourth quarter. I assume that it will continue and that next year I will be able to report to the Chamber in the fourth quarter whether or not I go into the legislation. I also assume that we will be able to act quickly in the process. Given the complexity, I want to see more doing under pressure of time perceived as a challenge and that this issue is actually resolved. I do not want to be caught up in the fact that the timetable is not being met, which means that we have no result. So far this method has been working well in the NOVB. With the stick I have at my disposal after the adoption of the legislative proposal, it is going to run even better as far as I am concerned.
ParlaMint-NL_2015-05-27-tweedekamer-3.u29	The Secretary of State has an anchor point and insists on it. That is good but at the same time she indicates that she is talking to the NOVB to hear how things are going there. However, this bill aims to ensure that the State Secretary does not have to leave this to the NOVB but can simply say: it must be settled in the interests of the travellers, then I want to be clear about the single check-in/check-out. When will the Secretary of State strike with the fist on the table? When is she gonna take care of this so we don't waste any time?
ParlaMint-NL_2015-05-27-tweedekamer-3.u30	I don't think Mrs. Dik-Faber heard me right. After this part of the debate, it is clear to the parties what my position is and what the position of the Chamber is. I think the room is my boss. I have indicated that I am going to hit the table with my fist and that my boss is okay with that. I think that the parties in the NOVB are now well aware of the importance of this pilot and that there is no going back.
ParlaMint-NL_2015-05-27-tweedekamer-3.u31	The last time you slapped the fist on the table here, the furniture didn't survive. Please don't repeat that!
ParlaMint-NL_2015-05-27-tweedekamer-3.u32	Mr President, I must do my job well! The legislative proposal goes beyond the subjects for which the NOVB cooperates. In the organisation of the payment market, the interests of the parties do not play a role in the NOVB, such as providers of mobility services. Creating a level playing field is a public task and therefore does not lend itself to self-regulation in the NOVB. I would therefore like to be able to lay down rules for the proper functioning of the public service pay market and the great role played by TLS, with independent supervision by the ACM. Mr Hoogland asked whether I had considered other options, given the question of the ACM. Yeah, I've been looking into whether supervision could also be done through the ILT, but since I'm the concession provider of the main rail network, that choice has been lost, because I think the roles should remain pure. I don't want to supervise myself. Then I know the outcome on the wrong days. That is not the intention, but another party has been considered. I have also looked at monitoring by the ACM in view of the interests of parties other than carriers wishing to operate in the public service pay market. The CDA indicated that more providers are being looked at. The rules may include, for example, fairer access by new carriers and payment service providers, such as mobilitymixx, the open payment market, the way in which TLS calculates tariffs and the way in which transport revenues are distributed. The Christian Union also spoke about this.
ParlaMint-NL_2015-05-27-tweedekamer-3.u33	I was waiting for an explanation as to why the ACM is the most appropriate body to do this, but it didn't come. Actually, that's what I was asking for. I also stated in my contribution that it is best to be fair and understandable that the ACM supervisor should be but that it is good to reflect on this legal treatment. After all, the ACM is an institute based on the fact that there is a market that functions. However, I also described in my contribution that in this case a number of characteristics of a market, which are present in other areas where the ACM supervises, are lacking: a small market, a limited number of players, fairly consolidated, new entrants difficult. I'm asking you to reflect on that. How does the ACM deal with these other market conditions as far as you are concerned than in a regular market? That is important for the way in which you supervise and organise supervision.
ParlaMint-NL_2015-05-27-tweedekamer-3.u34	I think this is a very fair question from Mr Hoogland. We are talking about the concept of the market as a single concept, in which each market is the same. But it's not. Tomorrow we will talk about the taxi market. Today we are talking about the rail market. Each market has its own specific circumstances. I believe that the ACM, from its role and the purity of its tasks, should be able to assess the value of that market. As I told you, I've considered the ILT, but I don't think that's an option, for the reasons I just indicated. From its independent role, the ACM will have to deal effectively with the different markets and must be able to consider them. On the basis of this bill, the ACM can supervise the payment market for the DV, both in advance and afterwards. For example, in the event of an infringement, the ACM may impose a penalty payment. She has ex ante surveillance as a strong tool. The role of the ACM and the fact that it is the ACM is not surprising to me. I think it is quite right that you describe the fact that we have set up markets in a certain way. The rail market has quite few players. In general, they are not private players, but in some way all government players. For example, they have a parent company that is a state company. So I fully agree with you, but I do not see any other supervisor than the ACM in mind at the moment.
ParlaMint-NL_2015-05-27-tweedekamer-3.u35	I can share the conclusion that another supervisor is difficult. Then the question is: what are we going to do? What are you going to do, I would ask the Secretary of State, to discuss the fact that the market is different from a number of other markets under the supervision of the ACM? Are you going to ask how the ACM looks at this, especially in the light of the remarks made by the ACM and one of its board members about the rail market? In so doing, the ACM has allowed itself the freedom to express its views on the way the rail market is organised. That's not a job for the supervisor. Moreover, we are quite capable of dealing with this; it is good if a supervisor also occasionally lets us know how she looks at it. It's hard because the market is different. What are we going to do with that? Because that's how it stays a philosophical debate. That's nice, but we're not getting anywhere with that.
ParlaMint-NL_2015-05-27-tweedekamer-3.u36	I leave the ACM's comments on markets to the ACM. I believe that the ACM itself should be accountable for its statements. At the same time, however complicated, I note that every market has a different form. I have just mentioned the taxi market, which we will be discussing tomorrow, and the rail market. The same applies to the energy market and the telecoms market. Every market can have its imperfections or have conditions that we have created together. If the ACM is monitoring it, I think it should do so in a pure way, which fits in with the law as we see it here. It is the professionalism of the ACM to actually look closely at those markets and perform the enforcement task properly. And passerby, I answered Mrs De Boer's question. Mr Van Helvert asked a question about the possibility of sanctions. The ACM can maintain by means of penalty payment. This is provided for in Article 94 (f). I'll come back to the summary of what I just said. The legislative proposal has two interrelated interests in mind. One of these is that of the concession-cross-border traveller, who benefits from a user-friendly payment system. Mr Hoogland asked me about regional concessions. The answer is: yes, it can also be done in the event of a concession overrun, in the case of several regional concessions. That also applies. The second is that of an open and well-functioning innovative market for payment services in the Federal Republic of Germany, on which parties other than carriers may also be active. I would like to make one thing clear: this law does not reverse the decentralisation of regional transport, urban transport and regional transport. This brings rich powers into balance with decentralised powers, in order to better safeguard public interests. I have also consulted consumer organisations, TLS and the NOVB, because in the end we have to do it together, but my role in this consultation is defined in a different way, because the stick is in the picture. A number of questions have been asked, including what is regulated in lower legislation. Mr Bashir and Mr Houwers have asked what I expect from the NOVB. That's what I just said. The NOVB has a work programme, which it reports on, and I think it is important that decision-making takes place there. Is hardware also regulated? Mrs Dik-Faber asked you to do that. Yes, the legislation covers the entire payment system and also covers the issue, use and functionality of the hardware. Mr Bashir and Mrs Dik-Faber have asked whether or not, on the basis of this bill, I can interfere with public transport tariffs. Mr Bashir was even clearer and spoke of a maximum rate. I do not choose to give the Empire the power to set rates for urban and regional transport in general. The same applies to the maximum rates. This would nullify the decentralised tariff freedom, and it would also be contrary to the decentralised concession system. It is therefore not included in the legislative proposal. However, the legislative proposal gives me the power to regulate, for example, a system of concession-cross-border tariffs and products, which promote the use of public transport rather than hinder it. That is precisely what this is about, because that is in the interests of the traveller. For example, harmonisation of the tariff structure for interoperable travel products could be included. I am aware that this may create tension between, on the one hand, the tariff freedom of the decentralised authorities and, on the other hand, the desired coherence and transparency in concession-cross-border products and tariffs. If a scheme is needed, careful consideration will always have to be given. Mrs Dik-Faber has asked for a commitment on single check-in and check-out. I've already answered that. Mrs Dik-Faber also pointed out that the bill states that a limited rise in the rate of charges may be a consequence for travellers. She literally asks why the traveler would pay for that. The explanatory memorandum states that costs may partly lead to reduced tariff increases, partly financed by concession providers and partly borne by concessionaires or TLS as system operator. That will be worked out in the main note in which I will indicate how I intend to proceed with this. If that is the case, it will also be shared transparently with the Chamber.
ParlaMint-NL_2015-05-27-tweedekamer-3.u37	The proposal I have made allows for the setting of maximum rates. So the Empire is not obliged to introduce maximum rates, but if there are exorbitant price increases, you have the opportunity to intervene. I don't understand why the Secretary of State is against that possibility. Can she go into that?
ParlaMint-NL_2015-05-27-tweedekamer-3.u38	We have set up a system with decentralised concessions and a main rail network concession. Decentralised concessions and invitations to tender are also a matter for that decentralised government. There are councils and states that oversee that. If I intervene in the national system by setting a maximum rate, it will have consequences. The question then is what the maximum rate would be, how to set it up and how concession providers and concessionaires should deal with it on a decentralised basis. As far as the whole system is concerned, intervention is not something that fits perfectly into the system and that is why I am not in favour of it. We should never have gone into decentralisation. We did, and in that system, I want to continue to operate purely.
ParlaMint-NL_2015-05-27-tweedekamer-3.u39	You can operate purely when you see that the price increases are exorbitant, for example 100% or 150%. Or lower prices, of course you can, for example 50%. Then you wouldn't be able to accept that, because it's a cross-border concession. It is of national importance to ensure that everyone can continue to use public transport. I myself would find it unacceptable. Then you could intervene. I would also point out what the Secretary of State himself wrote to the Chamber in response to the SP report. We presented this report to the Secretary of State two years ago. The Secretary of State says that it is against extreme price increases and considers them undesirable. If it is against it, it should create instruments to intervene if necessary.
ParlaMint-NL_2015-05-27-tweedekamer-3.u40	Where I find price increases undesirable is where I am competent, namely in the area of my own concession. In the case of regional concessions, these are decentralised agreements between concession holders and concession providers. The price increases that can take place there have also been agreed between those parties. I'd like to leave them there, too. In this way, intervention takes the foundation out of the system. Mrs De Boer's question was about the definition of horizons. I am not in favour of a horizontal clause. Something can disappear without further looking at it. I think it is important that I inform the Chamber regularly about the progress. I am in favour of evaluation and then, if necessary, a legislative amendment. I'm not saying in advance that anything in five years' time should be out of the law if it goes well through a Royal Decree.
ParlaMint-NL_2015-05-27-tweedekamer-3.u41	In my second term, I would have liked to go a little bit more into it. The amendment is just there, fresh from the press, and I can already serve the Secretary of State. The amendment does indeed provide for an evaluation clause. This could be done with a commitment, of course, but in five years' time the world will look very different. It is perhaps a good thing that the law lays down that there will be an evaluation. The explanatory memorandum then refers to a horizon clause but it is not incorporated into the law. I think we can very well find each other there.
ParlaMint-NL_2015-05-27-tweedekamer-3.u42	Then I will read the verse of the press amendment and I will respond to it. We have talked extensively about the NOVB. A number of things in the NOVB have been well arranged, but low-hanging fruit is always easy to pick. The question now is, of course, whether we can solve the following complex issues. Mr Van Helvert asked: what do you need to make the NOVB strong? This kind of debate and this bill, that's what I need. Then a number of questions have been asked about TLS. Mr Bashir asked about the money involved in TLS and the state of play. Declarations of intent have been signed. The declarations of intent have been further developed in concrete financial and legal transactions. A number of companies want to check this out in the parent company or in the legal field, which is understandable. That's where we're at now. We aim to establish the cooperative in mid-June. It's May now, so hopefully this won't take too long. However, I also believe that there is a need for rest and that the care of these companies should be used. The transactions take place entirely in the private domain. There is no question of the Empire getting money back. Then to Mrs Dik-Faber's question: does the bill also allow competition? Yes; competition is already possible. The bill offers opportunities for a level playing field and for safeguarding public interests. I now come to the amendments. An amendment has just been tabled, that is Mrs De Boer's amendment. The amendment in part No. 9, Mr Bashir, refers to the maximum rates. I have just argued that the system is as it is. As far as I am concerned, there is no question of reversing decentralisation. It is precisely through this decentralisation that tariffs are also set at a decentralised level. Therefore, I do not choose to give the Empire powers to set rates in urban and regional transport, so neither do I when it comes to maximum rates. This would nullify the decentralised tariff freedom and, as far as I am concerned, is contrary to the decentralised concession proposal. I therefore reject the amendment. The amendment in part No. 10 member Dik-Faber deals with the quality and functionality of the equipment. The interpretation of the proposed Article 30, paragraph 2, is such that the quality and functionality are already covered and also the accessibility of the chip card for disabled persons among others. As far as I am concerned, this amendment is superfluous, but I leave it to the Court to decide. In the amendment to item No. 11 member Dik-Faber discusses the protection of personal data of the traveller. We have now precisely regulated personal data and protection in the privacy legislation. I think that the current system of data retention has been carefully established. It is important that we do not change them in this way. Consumer organisations, the Minister of Finance, VNO-NCW and the Tax Administration have all been involved and it has been established in this context. I advise against this motion. The deadline is determined by privacy criteria and service and business purposes. For example, payment handling and fraud detection are involved in business purposes. It has been examined whether the passenger himself should be allowed to erase the data, but that is not allowed and therefore this maximum retention period has been chosen. I am convinced that because all the parties I mentioned have looked at it together, it is also secured from every angle. In the amendment to item No. 12, also of member Dik-Faber, deals with the user's rights of the traveller. This amendment does not relate to the O-chip card, while the bill is limited to the payment system. The amendment concerns the implementation of the transport agreement. That's why this isn't the right place to work something out. It is also superfluous, because the 2007 regulation of the European Parliament and the Council of the European Union on the rights and obligations of passengers in rail traffic includes a "back money in case of delay" regime and this regulation operates directly. I would advise against this amendment. The amendment in part No. 13 also belongs to Mr Dik-Faber. The content of the public transport market and the telecoms market do not work in the same way. In the telecoms market, it is possible to use each other's network via roaming. Public transport is not a question of the network. Anyone can ask for space on the railway at ProRail and the road is free of charge, but in particular a good offer of services and products. These services are site-bound. In the telecommunications sector, for example, the products and services are not localised. Therefore, it is not known what this amendment would mean and a comparison with the telecoms sector is not sufficient.
ParlaMint-NL_2015-05-27-tweedekamer-3.u43	I was triggered for a moment, because I missed the moment of liberalisation. At that point, I would have really liked to put out the flag. There is talk of requests for space on the main rail network. In my opinion, the main rail network is exclusive of the NS and other carriers cannot drive there. International transport can take place over it. But I may have missed something.
ParlaMint-NL_2015-05-27-tweedekamer-3.u44	No, Mrs. De Boer didn't miss anything. In the legislative proposal we are discussing today, we have looked at the possibility of regulating the payment market. This amendment is not about the payment market, but it intervenes directly in the market organisation by interfering with the exclusivity of the rights contained in the concession. There was no consideration of the intended and unintended consequences of this amendment. Moreover, the parties concerned in society have not been consulted on this issue. The ACM has not been able to indicate whether this fits into the organisation's work package. The Council of State has not been able to advise on this matter. I should therefore strongly advise against this amendment. I shall now turn to the Amendment No 1, tabled by the Committee on the Environment, Public Health and Consumer Protection, on I've gotten the good version by now. It is true that things have changed in that regard. I was rather more critical of the text, but if I read the text now, I can leave the opinion on this amendment to the House.
ParlaMint-NL_2015-05-27-tweedekamer-3.u45	Fine. So much for the first term. Is there a need for a second term among Members? I see that's the case. I call Mr Bashir.
ParlaMint-NL_2015-05-27-tweedekamer-3.u46	Mr. Chairman. I thank the Secretary of State for answering the questions. This bill allows the Secretary of State to use a number of powers to ensure that deadlocks are broken. I must say, however, that the Secretary of State does not seem very forceful to me. It wants to take another year to come up with additional rules even after it has carried out a pilot. Why is she taking so much time for this? We've been talking about all the problems with the O.V. chip card for years. Why can it not come up with additional rules as soon as possible after the legislative proposal has been adopted? That way, in the run-up to the pilot, she can solve the problems directly. I have also asked questions about the different boarding rates. I have not yet had an answer to those questions. Finally, I come to my amendment. I regret that the Secretary of State does not want to create powers either. I am not saying that it should immediately lay down rules on the maximum rates. The point is, there's a stick behind the door. We need to be able to intervene if there are really exorbitant price increases in concession areas, which could make public transport priceless for a lot of people. If you build up such a power, that does not mean that it must be used immediately. You can use it. It can also be a signal to local authorities and transporters. They will then know that they should not directly raise the rates significantly. I would therefore like to suggest to the Secretary of State that we take another good look at the amendment. If it embraces the amendment, it does not mean that it must act immediately.
ParlaMint-NL_2015-05-27-tweedekamer-3.u47	Mr. Chairman. I would like to thank the Secretary of State for the clear answer. I would like to comment on two points, and I would like to table a motion. Should I read that motion now, Mr President, in this term?
ParlaMint-NL_2015-05-27-tweedekamer-3.u48	Yeah, sure.
ParlaMint-NL_2015-05-27-tweedekamer-3.u49	The first motion is about checking in and out. The debate is very clear. We all want in this Chamber that we only have to check in once and check out once, regardless of which carrier and preferably whatever modality you are using; but let us talk about the carriers here. The Secretary of State says she won't let go. I believe that very much and I also see her passion, but she doesn't really grab this and she leaves the bat in the closet. The Secretary of State says that one year after the start of the pilot project, we assume that we are going to start this year, but that is not yet certain whether she is going to take care of this. Since the interests of the participants in this, the various carriers, differ and are not the same interests as those of the travellers, the CDA wants the Secretary of State to take care of this. No matter how long we do pilots, the interests of the participants remain different. The check-in and check-out traveller doesn't have to wait for that. That's why we're filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that customer-friendliness of the IV-chip card and the information needs of the participants are not uniform targets;]] [[noting that check-in and check-out should therefore be carried out at the time of the transfer to another carrier;]] [[calls on the Government to urgently come forward with a time plan to permanently end the check-in and check-out when transferring to other carriers,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34042-15]]
ParlaMint-NL_2015-05-27-tweedekamer-3.u50	I have a question about the motion. We all agree on the substance of the motion and the text, but there is one question that remains: does Mr Van Helvert think it would help to table this motion? We talk about this a lot. This falls a bit into the category that we all want sunshine and covered bike paths. There have already been agreements made in the NOVB, in the Transport Council. That's where they're working on it. I would like to vote in favour of the motion; that is absolutely not the point, but I am also a little bit in the hair because we sometimes do things here that I think are useful and have some effect? So my question is: what is this motion really going to mean for the traveller? That is, in the end, the one for whom we are all doing this.
ParlaMint-NL_2015-05-27-tweedekamer-3.u51	First of all, I welcome the PvdA's support for the motion; thank you for that. Is it gonna help? I will first give a general answer and then a more specific answer. If we feel that what we say and what we do does not help in this Chamber, we should go home quickly. I agree with you that democracy is never as fast as we would like. As a teacher, I sometimes said that Gaddafi could do things much faster than we did, but that has its drawbacks. Of course it is. So not everything is going very fast, but I'm sure this will help. That may be because I am still new here and I am not a Member of Parliament as long as you are, but if we in the Chamber say that we want to take care of this, that we do not wait for pilots and that we do not allow the interests of the participants to prevail over the interests of the traveller, I am sure that will help and strengthen the Secretary of State. The Secretary of State cannot answer that, but I am sure she will be strengthened by such a ruling. Of course, the Secretary of State in this Chamber, with the camera on, cannot say that the interests of the participants interest her less than those of the traveller. Of course she cannot say that, because that would harm her position in the consultation. I therefore welcome the fact that the Secretary of State does not say so, but that is independent of the responsibility that we, as representatives of the people, have to say that we only want to check in once and check out once. Hence the motion, but I welcome the PvdA's support.
ParlaMint-NL_2015-05-27-tweedekamer-3.u52	I would almost say: let us not make the seniority of parliamentary membership a subject of debate here. Indeed, you are shorter than I am, but that does not count; you are right. In this respect, therefore, I fully support your commitment. I also understand a little what you are saying, although I found the comparison with Gaddafi somewhat less subtle.
ParlaMint-NL_2015-05-27-tweedekamer-3.u53	I have a question for Mr Van Helvert. What does his motion do more than what the Secretary of State has already promised us? Contrary to what I have just heard Mr Bashir say, it is not the case that the Secretary of State comes up with something after the pilot has been completed. The Secretary of State comes up with something within a year of the pilot's start. Does this add so much? To put it bluntly: isn't this a bit of symbolic politics?
ParlaMint-NL_2015-05-27-tweedekamer-3.u54	That's a bit like the previous question.
