ParlaMint-NL_2015-10-06-tweedekamer-27.u1	Of course, I still welcome the Secretary of State for Economic Affairs.
ParlaMint-NL_2015-10-06-tweedekamer-27.u15	Mr. Chairman. Last week at the AO Nature Policy, we discussed the Birds and Habitats Directive. As far as the PvdA is concerned, the directive is successful and there can be no question of the health test, REFIT, leading to a deterioration of European nature policy. We have indicated that we are receiving from society signals that the health test gives distrust and slows down the implementation of the directive. I asked for the possibility of providing more certainty to parties in society, for example by sending a letter similar to what the Environment and Agriculture Ministers have done in Germany, to Commissioner Vella and all this to maintain confidence in not changing the directive in the Netherlands. The Secretary of State has once again expressed his full and unequivocal opinion on the purpose of the health test. Mr Koşer Kaya of D66 tabled a motion which was widely adopted last week, stating that the Dutch Parliament also believes that the current directives are really the lower limit of European nature policy. Both the attitude of our Secretary of State and the ruling of the Chamber gives confidence. In order not to delay the implementation of the Directive and to continue to strengthen confidence, the PvdA continues to seek additional guarantees that the health test will lead to an improvement in nature policy. We want to support the Secretary of State's commitment and continue with the ruling of the Chamber. Since the time between the AO and the VAO was too short to do anything else, we will probably come back to the discussion of the budget of Agriculture and Nature.
ParlaMint-NL_2015-10-06-tweedekamer-27.u16	Mrs. Koşer Kaya, let's do it the other way around. First, perform your interruption and then register.
ParlaMint-NL_2015-10-06-tweedekamer-27.u17	Excuse me, Chairman. I thought it had already happened, but apparently it hasn't. My question to Mr Leenders is what kind of measures he is thinking of.
ParlaMint-NL_2015-10-06-tweedekamer-27.u18	I don't know. I have received signals that if you leave the directive in place yourself, that was also the request made by the German ministers and you could do so in relation to the changes in annexes. So that leaves the directive in place and regulates the changes in a different way. The Secretary of State has said that she is not in favour of this, because she wants to keep the space to make improvements. That's what we want Chamberwide. If improvements are possible to better serve the objectives of the Birds and Habitats Directives, we want them to be. I have put down technical questions on this, in the sense of how it could be arranged in the way we would like it to be. I don't have enough answers to that. The time between the AO and the VAO was too short for that.
ParlaMint-NL_2015-10-06-tweedekamer-27.u19	Then I will talk with my colleague about these improvements and wait for the written answers.
ParlaMint-NL_2015-10-06-tweedekamer-27.u20	Thank you for that. In conclusion, I would like to ask the Secretary of State to say something about it, because I believe that everything that is said in this house leads to more confidence.
ParlaMint-NL_2015-10-06-tweedekamer-27.u21	I shall then give the floor, albeit very briefly, to Mr Houwers.
ParlaMint-NL_2015-10-06-tweedekamer-27.u22	Mr. Chairman. For the sake of clarity, I would just like to say what I am asking the government to do in the motions and leave the considerations aside. The first motion calls on the government, in cooperation with State Forestry and the province of Flevoland, to strive to reduce the population of large graziers in the Oostvaardersplassen and to consider and/or investigate all possible ways.
ParlaMint-NL_2015-10-06-tweedekamer-27.u23	No, I can't do this. Only the spoken word applies. So you really need to read your entire motion. If that means you're running out of time, it's a real pain in the ass, but I really can't deviate from that. It's not unwillingness, but that's just how we agreed. If you read the whole motion now, I will consider the time so far as it has not expired.
ParlaMint-NL_2015-10-06-tweedekamer-27.u24	That's how we're gonna do it. All I can see is that things have been different in previous situations, but that doesn't matter.
ParlaMint-NL_2015-10-06-tweedekamer-27.u25	Sorry, that's incorrect. You have read only part of the motion and here is the spoken word.
ParlaMint-NL_2015-10-06-tweedekamer-27.u26	Okay. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the population of large grazers in the Oostvaardersplassen is too large for the area and facilities of the area and therefore animals die of hunger every year;]] [[Whereas, without intervention, the situation will become ever more serious in the future;]] [[calls on the Government, in cooperation with State Forest Management and the province of Flevoland, to seek to reduce the population of large graziers in the Oostvaardersplassen and to consider and/or investigate all possible ways,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Houwers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-62]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u27	I'd like to submit another one, if you don't mind.
ParlaMint-NL_2015-10-06-tweedekamer-27.u28	I'll be generous and give you the opportunity to read it to you.
ParlaMint-NL_2015-10-06-tweedekamer-27.u29	Thank you very much. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the nature reserve Oostvaardersplassen should be protected and the area handled carefully;]] [[Whereas the province of Flevoland has long wished to appoint the Oostvaardersplassen as a national park and is preparing a proposal to the Ministry of Economic Affairs;]] [[believes that the government should remain responsible for the Oostvaardersplassen nature reserve and not become decentralised;]] [[calls on the Government, in cooperation with the province of Flevoland, to endeavour to appoint the Oostvaardersplassen as a national park and thereby to establish the natural value of the area and to underline the responsibility of the Government for the protection of the area,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Houwers. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-63]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u30	Mr. Chairman. The number of speakers on this subject indicates that many Corner and Cod disputes have been fought about whether or not the management of the Oostvaardersplassen is sensible. We have discussed this with each other for a long time. I have sincerely tried to show that, in my opinion, we are managing the Oostvaardersplassen very carefully, on the basis of the international advice and constant adjustment mentioned by Mrs Ouwehand and others, sometimes with the support of the Chamber, such as creating extra shelter or thinking about more possibilities to prevent animals from suffering. That is why I cannot help but reject the motion tabled by Mr Heerema in part. 57 has submitted, also because he uses the "failed policy" qualification. I absolutely cannot and will not take care of it. Then I come to the motion by Mr Heerema and Mr Geurts on point No. 58. They believe that the management and responsibility of animal welfare and hence of the large graziers should be transferred to the province. This is already the case with the Natura 2000 part of the site. I have always said in the debate that this is not a matter of principle for me. I have said that I have still kept the management of the great grazers under my responsibility because I am constantly being called upon to do so in the Chamber. I have already said that I can predict that the debate will come when the temperature drops. I do not want to stand here in your midst with the answer 'I am not going over it'. I also said that, if the Chamber considers that management should be transferred to the province, I believe that the Chamber should decide for itself. This was more or less the implied agreement that the debate on management would no longer be held in this house but in the states of the province of Flevoland. To those who believe that this will lead to a completely different management, I would like to see that again. Of course, the province will also take into account the international opinions and also look at the past. Of course, the province will want to take into account the arguments that play over and over again. Then it is ultimately up to the province to decide. That is why I leave the judgment on the motion in part No. 58 to the Chamber, but with everything in it, because that's got to be the deal. The Chamber cannot decentralize it and then a winter later or perhaps even the coming winter stand in front of me and want to talk about management. This possibility has, as it were, been taken out of the hands of the Chamber.
ParlaMint-NL_2015-10-06-tweedekamer-27.u31	You present me with the problem that you are introducing a new category, called "judge chamber but on my terms." That's a little complicated for a president.
ParlaMint-NL_2015-10-06-tweedekamer-27.u32	I understand that very well. The Members who tabled the motion may be able to say something about that. It should be possible for the applicant to make these conditions his own. Then I've relieved you of a problem.
ParlaMint-NL_2015-10-06-tweedekamer-27.u33	Until then, I'm gonna hold it to judgment, Room.
ParlaMint-NL_2015-10-06-tweedekamer-27.u34	We have discussed this in great detail in general terms. I did not say silently at the time, but also out loud, that it is on the agenda as far as I am concerned, as Mrs Dijksma now puts it. That seems very sensible to me. You shouldn't be in this house talking about things that you're not ultimately about. We do not do that with nature policy, and we have decentralised it. I would like to thank the Minister for the advice she has given to leave the judgment to the Chamber and for this clarification. I'd like to withdraw my first motion. It was dissuaded by Mrs. Dijksma.
ParlaMint-NL_2015-10-06-tweedekamer-27.u35	Since the Rudmer Heerema motion (No ) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2015-10-06-tweedekamer-27.u36	Also the motion in part No. 59, I'm not sure. I defended in the debate that the current policy, based on the ICMO opinion, is good. There have been agreements on adjustments. Dutch Wood is open to certain animals. We've been working on adequate shelter. There is constant consultation with the environment by State Forest Management. You see over the years that things change. That is good, but that is not what Mr Geurts means. I suspect it's also a political motion. That is why I come to this judgment.
ParlaMint-NL_2015-10-06-tweedekamer-27.u37	We don't do politics here at all. I'm kidding. In view of the fact that the Secretary of State is judging the motion in part No. 58 to the Chamber late, I'm holding my motion in part no. Fifty-nine on. Then we will see how the votes are going.
ParlaMint-NL_2015-10-06-tweedekamer-27.u38	At the request of Mr Geurts, I propose his motion (32563), No. 59). That is what is decided.
ParlaMint-NL_2015-10-06-tweedekamer-27.u39	You are holding the motion and you will see how the votes are going. That is not, therefore, a question of this motion being held.
ParlaMint-NL_2015-10-06-tweedekamer-27.u40	You're very sharp, Mr. Chairman. I referred to the motion in part No. 58, on which the Secretary of State leaves the judgment to the Chamber. If that motion is adopted, then my motion is going to say something about Flevoland's management. That's the kind of discussion I'd like to avoid. That's why I did what I did.
ParlaMint-NL_2015-10-06-tweedekamer-27.u41	Mr Geurts' motion for a resolution In any case, 59 has been detained.
ParlaMint-NL_2015-10-06-tweedekamer-27.u42	I welcome the consistency of Mr Geurts in this and, by the way, the consistency of Mr Heerema. Also the motion in part No. 60, I'm not sure. In my opinion, it is not the case that in the surrounding areas some of the listed options, including hunting, are immediately on the list of instruments to be used. With the motion, Mrs Ouwehand in fact excludes any form of dynamic management in those areas in advance in relation to the management that applies in the core area. In the debate I indicated that it is intended that people can come into the area recreationally. This also affects the number of animals that you can have at maximum. It's a slightly different area than the core where the other grazers run. I would like to give State forestry the opportunity to explore literally working ways to achieve balanced management. I actually read the motion as a stop to that development. I understand that from the position of Mrs Ouwehand, but from my position I would like to keep another route open. For that reason, I advise against this motion. That is what I am doing with Mrs Ouwehand's motion on item No. 61. She quoted me correctly. She asked for a similar example in order to deport a large number of animals in an enclosed area. It is really the province that has the authority in this. I do not turn my heart into a murder pit, Mrs Ouwehand never does, but it is not up to me to correct the province in this. It must decide for itself. The self-employed are entitled to set up the nature reserve according to the way in which it is intended. For that reason, I advise against this motion. I thank Mr Graus for the kind things he has said. He does that all the time. I think it would be a good idea to respond to that for once. Yes, a great deal is being done in this cabinet period in the field of animal welfare, but I often know that Mr Graus and others have supported me in doing so. The medal has literally two beautiful sides. One of these sides is the Chamber, which gives room for animal-friendly policy. I have indeed made commitments, including in the area of Professor Bertschinger. They're working on it. If I have any information, I'll, of course, let the Chamber know.
ParlaMint-NL_2015-10-06-tweedekamer-27.u43	I see Mr Graus at the interrupting microphone. Is it going to be complimentary over and over again or is it going to be an ordinary interruption?
ParlaMint-NL_2015-10-06-tweedekamer-27.u44	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
ParlaMint-NL_2015-10-06-tweedekamer-27.u45	We shouldn't have that. We're gonna have trouble with that.
ParlaMint-NL_2015-10-06-tweedekamer-27.u46	Perhaps Mr Heerema's motion will make it. Then the whole thing becomes decentralised. I hope the Secretary of State will then give the advice to involve Bertschinger in provincial policy.
ParlaMint-NL_2015-10-06-tweedekamer-27.u47	Again, I cannot predict how this motion is going, but I will give the advice anyway that the management we have developed is a very sensible path. If it is necessary to make a transfer, I will advise you to take the things I have promised the Chamber, of course. That seems very fair to me. I come to Mr Houwers' motion on item No. 62. I think Mr Houwers feels my judgment coming. This motion is also not recommended. Mr Houwers is in favour of a different management than that contained in the ICMO opinion, which we are now following. Finally, I come to the motion for a resolution on item No. 63. If I leave the judgment on whether the province can take over the administration to the Chamber, I do not think it is appropriate to support another motion which assumes that this will not happen in advance. On the subject of 'National Park', of course, we are still discussing the matter with the province, in any way possible, partly because, at the time of the previous budget debate, the Chamber asked me to start working on this subject. At the moment we have a programme director, who is with various people in the country about the concept of 'National Parks'. I can imagine that we are also discussing this area. As far as I am concerned, this is separate from the question of who is in charge of the management of the great grazers. Perhaps Mr Houwers can take the motion in part. 63 now that I make this commitment.
ParlaMint-NL_2015-10-06-tweedekamer-27.u48	I'd like to come up with an intermediate form and hold the motion for a while. We can then see how the vote on the other motion goes out and then we can see further. The motion in part No. 63 about naming the Oostvaardersplassen as National Park, is thus detained.
ParlaMint-NL_2015-10-06-tweedekamer-27.u49	At the request of Mr Houwers, I propose his motion (32563, No. 63). That is what is decided.
ParlaMint-NL_2015-10-06-tweedekamer-27.u50	I give the floor to Mr Geurts, but only if he has detected omissions.
ParlaMint-NL_2015-10-06-tweedekamer-27.u51	I've detected an omission, Mr. Chairman.
ParlaMint-NL_2015-10-06-tweedekamer-27.u52	Go ahead.
ParlaMint-NL_2015-10-06-tweedekamer-27.u53	You're sharp. I asked a question about the stabilisation of the population. The Secretary of State said in an AO that the population would be stabilized. As a result, I asked the Secretary of State whether she could guarantee that the population would stabilise in winter.
ParlaMint-NL_2015-10-06-tweedekamer-27.u54	I learned once that only vacuum cleaner vendors offer guarantees. This is, of course, a very difficult story. We do everything we can to keep animals suffering as little as possible. If the living conditions of the population of grazers are deteriorating, this may mean more intervention to stabilise the population, as it is called very euphemistically. Those are, of course, communicating vessels. In this sense, the policy is aimed at this, but no one can predict what the future will look like. I really want to be careful on this point. The commitment of Mr Geurts and mine is to make as little animals as possible suffer, but it is not up to me to offer guarantees in this respect. I don't want to do that.
ParlaMint-NL_2015-10-06-tweedekamer-27.u55	I would like to thank the Secretary of State for her presence and for her answers. The motions tabled will be put to the vote next Tuesday, unless they have been detained.
