ParlaMint-NL_2015-10-14-tweedekamer-7.u1	The next item is the second government term. I give the floor to the Prime Minister.
ParlaMint-NL_2015-10-14-tweedekamer-7.u12	1021 was also support policy?
ParlaMint-NL_2015-10-14-tweedekamer-7.u13	Yes.
ParlaMint-NL_2015-10-14-tweedekamer-7.u14	Mr Krol, will you refrain from your interruption?
ParlaMint-NL_2015-10-14-tweedekamer-7.u15	The Prime Minister said excellently what I also wanted to say: we have a list.
ParlaMint-NL_2015-10-14-tweedekamer-7.u16	Okay. I would have interpreted that correctly.
ParlaMint-NL_2015-10-14-tweedekamer-7.u17	I assume that Mr Buma can also agree with that list.
ParlaMint-NL_2015-10-14-tweedekamer-7.u18	That's pretty quick, Mr Krol. But I have one more question about the Pechtold motion in part No. 1013. It's about the language lesson for status holders.
ParlaMint-NL_2015-10-14-tweedekamer-7.u19	The motion in part No. 1013 on language lessons for status holders.
ParlaMint-NL_2015-10-14-tweedekamer-7.u20	I can imagine what the Prime Minister is saying, namely: wait a minute because we are coming up with a proposal and then we are looking at how we are doing it financially. I would like to look at the author, because that is what I think is real in itself. Because I don't see how you can just magic money again, but what's written here is very useful. So I'm quite willing to...
ParlaMint-NL_2015-10-14-tweedekamer-7.u21	In practical terms, we are going to support it, only in terms of money I am afraid of this, because this is what the loan is for.
ParlaMint-NL_2015-10-14-tweedekamer-7.u22	Then I will follow the Prime Minister in the sense that we do not anticipate it now and make money available. So we do not support the motion, but I am waiting for proposals from the cabinet on how these language courses can be designed.
ParlaMint-NL_2015-10-14-tweedekamer-7.u23	That is why my request to the author was also to hold the motion. If she is not arrested and put to the vote, I must advise against her. The same applies to the motion in part No. 1022, referring to the discussion we had on this subject. I'll come to the motion in part No. 1023. I think, quite frankly, that then the motion in part No. 1021, the Krol motion on information, is still better. I said it fits into cabinet policy. Above all, we must give a real picture of the way in which the Netherlands provides shelter. The motion in part No. 1021 so it is, the one on No. 1023 isn't. The motion in part No. 1024 I advise. The stakes are to limit the inflow as much as possible, but we do not have absolute limits. I did talk about the cap and the relative cap, which fits in with our idea of achieving a relative distribution across Europe according to the fixed distribution key. The motion in part No. 1025 I must advise against. The situation is not such as to require border controls. We're gonna need something else, and that's what the motion says. That is why I am partly in agreement with the motion. We need intensive cooperation with neighbouring countries along the borders to combat trafficking in human beings. We've already got Mobile Surveillance Security. However, this motion calls for the strengthening of border controls. Germany does not yet do so, at least if the motion refers to the idea in Germany about reception camps at the borders. All things considered, I say: there are good elements in the motion, but the operative part is too final and I therefore advise against the motion in part No. 1025. I think I have answered all the questions, Mr President.
ParlaMint-NL_2015-10-14-tweedekamer-7.u24	I thank the Prime Minister. We're gonna vote today. That's how we agreed. At the urgent request of several official secretaries, I shall suspend the sitting for twenty minutes. Then we'll vote.
