ParlaMint-NL_2015-01-22-tweedekamer-10.u1	I would like to welcome the same Secretary of State as just now.
ParlaMint-NL_2015-01-22-tweedekamer-10.u14	Mr. Chairman. Although we are dealing with a rather small technical amendment here, I would like to say a few words about it, even if it is only since this week that I have been able to deal not only with long-term care, but also with prevention and, therefore, tobacco policy. Many have already said: smoking is bad. There's not gonna be a lot of people who haven't figured that out yet. We must combat smoking among young people. However, I think it is also important to always bear in mind that it is still a legal product and that adults still have the right to make their own choices in it. This change of law allows the cabinet to increase the penalty rates on non-compliance with the smoking ban and the age limit on sales in the future. We understand in itself that the cabinet is looking for room for this when you look at the number of violations. However you look at the content of certain laws or rules, if they have been adopted, they must also be respected. Any increase in penalty rates will be submitted to the Chamber in due course through a General Measure of Management. The VVD will assess that AMvB on its merits. We really only have a few technical questions for the Secretary of State. On the one hand, he indicates quite extensively what he would see in such an AMvB. On the other hand, we still need to get the AMvB. Is it true that, as long as there is no AMvB, nothing changes the penalty rates at all? In my opinion, we would not have finished the month in January 2015, but we now have the debate on the most recent enforcement figures. I think they're in the annual report...
ParlaMint-NL_2015-01-22-tweedekamer-10.u15	Can I ask Members to consult or follow somewhat in the hallway what is being said to them from the seat of the speaker? Please continue.
ParlaMint-NL_2015-01-22-tweedekamer-10.u16	Luckily, they're women. They can multitask, so I'm sure they listen well.
ParlaMint-NL_2015-01-22-tweedekamer-10.u17	Just in case, I'm gonna tell you.
ParlaMint-NL_2015-01-22-tweedekamer-10.u18	Thank you, Mr. Chairman. In short, we would like to get an insight into the most recent enforcement figures. The VVD is especially curious about the moment for the Secretary of State to use that AMvB. In his explanatory statement, he said that the enforcement rate would be comparable to the other sectors and the other rules that would be respected. What exactly is comparable? At what point should enforcement be at what level to perhaps not use the AMvB? Finally. I started by saying that this is a fairly small and technical law change, not even a page and a half. Some parties use them to make very far-reaching proposals for the adaptation of the Tobacco Act. Apart from how we assess the content of the amendments, we do not think that this is the way to take such far-reaching and far-reaching measures and to include them in a minor legislative amendment per amendment. If we can believe the newspaper, the Secretary of State is working hard to implement the European directives. Then we can have a good debate on what further measures can be taken. That was my input, but Mrs Leijten is standing by the interrupting microphone.
ParlaMint-NL_2015-01-22-tweedekamer-10.u19	Before I give her the floor, on your last point, I note that you are free to do so, but then you must argue that something is a destructive amendment. You can make that choice, but you don't make it.
ParlaMint-NL_2015-01-22-tweedekamer-10.u20	The moment you submit, it's up to the proposers. If there's a law change ahead, you can use that moment to change other things in the law as well. I am using our time, but I am certainly using our resources as widely as possible. When it comes to enforcement, I do think it is important to talk about the prevention of sales. That is what the amendments are aimed at.
ParlaMint-NL_2015-01-22-tweedekamer-10.u21	There is always the possibility of someone saying that this is a destructive amendment and that is what this is about. I'm not saying it is.
ParlaMint-NL_2015-01-22-tweedekamer-10.u22	Maybe it's useful if the VVD itself says what she thinks. I do not deny anyone the right to table an amendment in the event of a legislative amendment. That's not illegal. Mrs Leijten has the honour to do so. However, I say that I think it is quite far-reaching amendments. Reducing the number of outlets has enormous economic implications. That is, by definition, a reason for the VVD not to support the amendments.
ParlaMint-NL_2015-01-22-tweedekamer-10.u23	One of the amendments was co-signed by me. If the VVD has listened to me carefully, and that is probably the case, then it is well known that I will certainly support both other amendments. We have repeatedly asked in the debate whether the Secretary of State wishes to present a vision on the number of sales points and so on. The Secretary of State said, "Wait a minute, I'll come up with a vision in the autumn." That autumn has now come to an end. Then it is a good right of politics, now that the Secretary of State has not come up with a vision, to take a step himself and to ask for a ruling from the House of Representatives on the basis of the reports that lie ahead.
ParlaMint-NL_2015-01-22-tweedekamer-10.u24	I do not deny anyone the right to table amendments. My group, however, weighs the process differently. Moreover, I think it would be a good idea to await the reaction of the Secretary of State. Pretending that nothing is happening on this file is a little exaggerated to me. Mrs Rebel appreciated that very positively. In fact, if there is a great deal going on on one dossier lately, that is the tobacco dossier. The ink of one measure is not yet dry or the next is requested. Haste rush is not always good; a certain thoughtfulness and a careful look at what measures mean, seems to me to be wise. Mrs Dik-Faber is free to table 100 amendments here. I am free to say that because of the process alone I will not support those amendments. It seems to me that she should only appreciate that clarity.
ParlaMint-NL_2015-01-22-tweedekamer-10.u25	The Christian Union notes that there is movement on this file, that the Secretary of State is committed to this. I like that, too. At the same time, I see that the Secretary of State has not yet given a view on a number of crucial aspects, even though he has said: I come up with that vision. I am also in favour of a careful process, but if that process fails somewhere, I invite the VVD group to closely monitor that process with me. If the Secretary of State says that he is coming up with a vision in the autumn, let us address him and ask him what remains of that vision.
ParlaMint-NL_2015-01-22-tweedekamer-10.u26	At the same time, speed must never become the enemy of mind. We assume that the Secretary of State will come quickly with this and have used his time to think through all these measures.
ParlaMint-NL_2015-01-22-tweedekamer-10.u27	In order to avoid any possible misunderstanding, I merely pointed out in a technical sense the possibility of declaring an amendment destructive under Rule 97 of the Rules of Procedure.
ParlaMint-NL_2015-01-22-tweedekamer-10.u28	Mr. Chairman. The Group of the European People's Party (Christian Democrats) and European Democrats also considers it important that there should be a firm policy on tobacco discouragement. We are now trying to adapt and strengthen the Tobacco Act in steps and steps. I would like to express my appreciation for the steps taken by the Secretary of State. D66 agrees with the principle of this amendment: improving the enforcement of the smoking ban and the age limit for tobacco sales. In fact, as early as 2013, I said that a fine of €4,500 combined with a low cost could lead to a calculating effect on the seller. That has been shown: there is a small group of persistent recidivists. Of these fines, it seems that there is not enough deterrent effect, as the Secretary of State also concludes. My group thinks it is very good to tackle this problem more effectively, especially now that the small cafes are again covered by the smoking ban. I understand that this legislative amendment will only create the possibility of increasing fines, but will not actually do so in the first instance, because the Secretary of State would first like to see whether the possibility of increasing fines already has a sufficient deterrent effect. The Secretary of State considers that if compliance with the smoking ban by the cafés and discotheques group is greatly improved, consideration could be given to keeping it to the current fines. I just want to make sure I'm right. I'd like to hear that from the Secretary of State. I would also like to ask him when there is such an improvement that there is no need to increase the fines and introduce the AMvB. It is precisely in order to be able to deal with the small group that has not been able to deal with the current fines at all. Does the Secretary of State really think that threatening this group with higher fines is a deterrent? The odds of getting caught aren't very big. That has already been said by others. Only raising a fine while the chances of that fine actually being imposed are still low, in my opinion, has a little deterrent effect. Letter of amendment also increased the fine ceiling for infringement of the age limit for the sale of tobacco products. The Secretary of State has previously concluded that compliance with the standards laid down in the Tobacco Act was generally satisfactory. Nor would the gap that existed between the tobacco advertising ban and the other infringements of the Tobacco Act be regarded as disturbing; there are huge fines for violating the tobacco advertising ban. Now the Secretary of State seems to see that differently. I would like to know from him whether he sees this differently and whether he thinks it would be conceivable that higher penalty limits would also be necessary for other offences. The Secretary of State knows our views. We believe it is important that there is a strong tobacco discouragement policy, that there is a great deal of attention to information and prevention, and that there is maintenance and monitoring of order. That is why I asked the Secretary of State to investigate the effectiveness of reducing the number of outlets. Tobacco will be more difficult to obtain and enforcement will be easier. I also asked for a step-by-step plan in a motion. The Secretary of State thought that was premature at the time. He wanted to see the investigations first, as others have already said. We now have those investigations, but we have not yet seen the substantive response of the Secretary of State, who was due to come in autumn 2014. That's too bad, because we can't take them now. I'll ask the Secretary of State when he comes up with his vision. Maybe he can give us a little glimpse of that vision. Does he see anything in a step-by-step plan to reduce the number of points of sale? Several media today report that the cabinet will be discussing the EU's smoking disincentive directives tomorrow. The Secretary of State is laughing now, probably because I have always understood from the Minister that once it has been said that it is being discussed, it will not happen. This seems to be an unwritten law for the cabinet, so perhaps it will be postponed. However, I have a question for the Secretary of State. Is it true he's going to talk about this? If the cabinet agrees, when can the EU directives be implemented? I would like to join with the CDA and the PvdA in arguing for the use of the Smoking Youth Monitor of the Trimbos Institute.
ParlaMint-NL_2015-01-22-tweedekamer-10.u29	I give the floor to Mrs Gerbrands of the PVV Group for her first re-action, if I am not mistaken.
ParlaMint-NL_2015-01-22-tweedekamer-10.u30	Mr President, that is correct. I'm probably the only one who's making a counter-sound today. We have always strongly opposed the ban on smoking, especially in the hospitality sector, and we are still doing so. However, we believe that a law, once it is in place, should also be enforced. We therefore believe that enforcement should be used. However, we are opposed to the proposed increase in fines. From 1 January 2015, the smoking ban also applies to cafes less than 70 m without staff. Raising these fines will mostly affect these small companies. We have been able to read this week that the brown cafe from the street is disappearing. We should not encourage this further. We shall therefore vote against it. There is much talk about research into the consequences of using the e-cigarette. Today the message has come out that the e-cigarette is more carcinogenic than an ordinary cigarette, especially by using the batteries. I would like to hear from the Secretary of State whether he is aware of the relevant investigation and whether this will be included in the evaluation on its use and sale.
ParlaMint-NL_2015-01-22-tweedekamer-10.u31	Mr. Chairman. Today we are discussing the bill to increase the penalty ceiling in relation to the smoking ban and the age limit. This is important because it is an important part of a range of measures that we have taken over the past period, are taking and may still be taking to discourage smoking further. As several Members have said, we know that tobacco products are very harmful to public health. That is why I am trying to implement an integrated tobacco discouragement policy to prevent young people in particular from starting smoking, to help smokers stop smoking and to prevent smoking as much as possible. I understand that a number of Members would prefer to have my reaction today to numerous investigations into the points of sale. I think I'd better name that red elephant right now. Although, a red elephant? It's a pink elephant. I'm so used to the color red, I make that mistake every time. Excuse me. A number of Members have already said that the Chamber will soon be expecting a broad policy letter on tobacco discouragement from me with my response to all these studies: the deployment of non-smoking schoolyards and the NIX campaign18. I also inform the Court in that letter about the state of implementation of the Tobacco Products Directive in national laws and regulations. It would be my great preference if we were to talk today about this measure, which is now being prepared, and that, in line with the agreements, we should discuss it in this context, in line with my response to all these investigations, which will enable us to consider what package of measures is in front of us and which package can be considered further. I shall speak about this when I give my opinion on the motions and amendments. I suggest we focus on the fines today. In the further letter I will send, I can very well inform the Chamber about the state of play in the implementation of the tobacco directive. It is incredibly important to know what is coming out of that so that we can make that integrated assessment. We can do that at the moment that balance is on the table in its entirety.
