ParlaMint-NL_2015-12-08-tweedekamer-18.u1	Then I give the floor to Mr Van Meenen of D66.
ParlaMint-NL_2015-12-08-tweedekamer-18.u12	The first words of the Secretary of State were: I want to see if I can agree with Mr Van Meenen. That feeling is mutual. We've done it before. My motivation is that education cooperation is currently seen as the least bad body to represent the profession. Everyone is dissatisfied with its design. In the end, we want things to be done by and for the teachers themselves and by the teachers themselves. That is actually the thrust of this motion. If that's the case, it's the organ where the registered teachers find their place. For example, the term "directive" should be read. In any case, there are other words for it, but that is the intention. I think that's entirely in line with what the Secretary of State wants.
ParlaMint-NL_2015-12-08-tweedekamer-18.u13	May I suggest that Mr Van Meenen delete the intermediate sentences "managed by teachers, directing on the form and content of the teacher register"? That's because there's a precision in there that pinches. This means that the Education Co-operation should become the representative body for teachers' professional groups and should become a full partner in policy development on behalf of teachers. Then I can get out of my way and leave the judgment to the Chamber. If the motion stays the way it is now, I'm gonna have to dissuade her.
ParlaMint-NL_2015-12-08-tweedekamer-18.u14	I'll take another shot. If that's what it says, it looks very much like the current situation. Then it is still completely unclear who this Education Co-operation is. It's from the unions now, just plain and simple. I don't want to do that anymore, and I don't think the Secretary of State wants to do that anymore in the long run. She's got to be the teacher's. I would say that the phrase "managed by teachers themselves" or something like that has to be in between. I'd like to keep that part of the line.
ParlaMint-NL_2015-12-08-tweedekamer-18.u15	Two things play a role here. First of all, everyone in the Netherlands can start their own association. We are not about how people unite. Secondly, I have to say that we have a very good partner in the Education Cooperation. It may not be the ideal picture or the final picture, but we have already started a whole process. We've got teachers involved and we've set up a teacher register. The teachers will soon, on the basis of the principle of "one man, one vote" about their own register. Mr Van Meenen is now presenting me with a motion which states that I must say that those drivers should actually leave and that teachers should replace them. I think we'll throw away the baby with the bathwater. We're doing a good job with the Education Co-operation right now. I do recognize the general line. Mr Van Meenen outlines the final picture, if the register is to run smoothly. I also think that this is a caterpillar that can emerge from the inside into a butterfly, but if I let myself be sent out now to send the drivers away and put other people in place, I really disturb the administrative relations.
ParlaMint-NL_2015-12-08-tweedekamer-18.u16	With this motion, I specifically pointed out that that caterpillar becomes a butterfly. I have tried to describe this here, but I do not think we agree. So I'm just gonna leave it the way it is for a while.
ParlaMint-NL_2015-12-08-tweedekamer-18.u17	You also have until Tuesday to think about it.
ParlaMint-NL_2015-12-08-tweedekamer-18.u18	You know my advice on both variants. If the text stays the way it is, I'll advise against the motion. I'm getting to the motion on part No. 215. May I ask Mrs. Ypma to hold it? In fact, I think that I will fully agree with both the teachers involved in the manifesto Teacher 2032 and with the Education Co-operation on the central role that teachers will have in the further development of the curriculum. Mrs Ypma's motion suggests that a new body should be set up for this purpose. I'm not that fond of that, because then you're gonna institutionalize it hugely. If I promise Mrs Ypma that I will present a good plan to the Chamber in January to put the teachers in the center, will she continue her motion? In January, she will then be able to assess whether she thinks that is sufficient, instead of being sent out with an idea in which I have less fiduciary.
ParlaMint-NL_2015-12-08-tweedekamer-18.u19	That is also what the proposers intend to do with this motion. If we can support the Secretary of State in this way, we will hold the motion and assess his plan in January.
ParlaMint-NL_2015-12-08-tweedekamer-18.u20	At the request of Mrs Ypma, I propose her motion (27923, No. 215). That is what is decided.
ParlaMint-NL_2015-12-08-tweedekamer-18.u21	We will vote on the motions tabled next Tuesday. I see all the spokesmen for the next VAO are present, so we're going straight ahead.
