ParlaMint-NL_2015-06-11-tweedekamer-3.u1	I would like to welcome the Minister of the Interior.
ParlaMint-NL_2015-06-11-tweedekamer-3.u12	I think Mr Schouw also knows that it is not always possible to establish one-on-one when it is abuse. There are requests that you can assume on the scale that there is abuse, but which can also simply be a very large demand. If the question "can you indicate how many zebra paths have joined or disappeared in our congregation in recent years?" in 393 municipalities, you may have the suspicion that there is abuse. There could be a serious research question in that; that could just happen. The assumptions shall be made on the basis of the register kept by the VNG, the reporting point set up by it for suspicions of abuse. There are examples which Mr Schouw will also say are genuine abuses. You might want to quantify that. That is what the Minister has done, where there is a suspicion that there are abuses in 20% to 25% of the cases, of improper requests. The cost of handling them amounts to EUR 14 million. So every year we spend EUR 14 million of tax money that did not need to be spent. In my opinion, we must do something about this.
ParlaMint-NL_2015-06-11-tweedekamer-3.u13	There are no exact data. We always count and die. For example, we think it is important to count the number of burglaries and robberies, but in this case the lower abdomen of the VVD seems to prevail. I'm not okay with that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u14	Mr Veldman claims that the amount of 14 million is evidence of abuse, but that amount includes all the periodic penalty payments that have been granted. A penalty payment is also provided if the government defaults, for example because it does not want to provide information, or cannot provide information in time because it does not have its archives in order. What does Mr Veldman base on the fact that this amount would be entirely the result of abuse?
ParlaMint-NL_2015-06-11-tweedekamer-3.u15	I agree with Mrs Voortman that there is also a task for the government itself, namely to ensure that files and archives are in order. I will go into this in more detail immediately. However, we can see with each other that requests are being made which have nothing to do with the disclosure of information. That is what we can do. Surely it should not be the case that improper requests are rewarded with taxpayers' money? Improper requests should not be rewarded with a penalty payment of €1,260, while the sole purpose of the applicant is to collect money? That's not supposed to happen, is it?
ParlaMint-NL_2015-06-11-tweedekamer-3.u16	I fully agree that this cannot be the intention. However, this legislative proposal is all about the same thing. That's the problem. If we say that we want to tackle the abuse, we must tackle the real abusers. This can already be done through the courts, as Mr Van Raak has said very well. The University of Groningen has done extensive research into the abuse of the WOB. This shows that the number of periodic penalty payments granted is not so bad. I therefore ask Mr Veldman once again on what facts he bases the argument that there would be mass abuse.
ParlaMint-NL_2015-06-11-tweedekamer-3.u17	I base myself on the information provided by the Minister. I base myself on the information on which Mrs Voortman probably based herself when submitting the initiative proposal Open Government Act, in which she, together with Mr Schouw, proposes to remove the law on periodic penalty payments and appeals. I also see Mrs Voortman making a moving move on this point. Perhaps we will get a letter of amendment before the Open Government Act is dealt with and the penalty payment will remain there. However, I note a double story with the spokesmen of GroenLinks and D66. I'm surprised.
ParlaMint-NL_2015-06-11-tweedekamer-3.u18	Mrs. GroenLinks... excuse me, Mrs. Voortman.
ParlaMint-NL_2015-06-11-tweedekamer-3.u19	"Mrs. GroenLinks" also has something, Mr. Chairman. In our legislative proposal, there is a balanced approach. We are also doing something to make the information more transparent. I think this approach is very important. This is not the case in the present legislative proposal, and it is also claimed that there is an urgent problem. That is especially the point for me. I do not think that the claim that there would be an emergency problem is correct.
ParlaMint-NL_2015-06-11-tweedekamer-3.u20	I agree with Mrs Voortman that there can be some improvement in the behaviour of the public authorities. I am referring to file-making and archival-building. However, a change in culture does not force rules. Changing a rule in the law doesn't mean that departments or town halls in the country are dealt with differently. Culture will not change as a result. That calls for something else.
ParlaMint-NL_2015-06-11-tweedekamer-3.u21	I hear Mr Veldman saying that he is based on information from the Minister. This would show a huge amount of periodic penalty payments. In the note following the report, the Minister replied to a question from the CDA Group that the annual penalty payments were one to one forfeited periodic penalty payments per ministry. In my view, this means that the number of periodic penalty payments we are talking about is minimal. Mr Veldman said just now that it concerns situations where the government does not do what it has to do, namely to inform the citizen. Why doesn't the VVD stand behind that civilian?
ParlaMint-NL_2015-06-11-tweedekamer-3.u22	Mrs Keijzer takes one thing out of the report, namely that which happens in a number of departments. However, we have twelve provinces and 393 municipalities in this country. If Mrs Keijzer were to go to the VNG, which has itself opened a hotline for municipalities to report suspected improper requests, she would come across things that she will also be alarmed about. You may ask yourself what the added value of these requests is. You can weigh all that up and you can talk about it with each other, but if you systematically see that in different forms, you may have the suspicion of abuse.
ParlaMint-NL_2015-06-11-tweedekamer-3.u23	In the same documents, the Minister writes that according to the Monitor Act penalty payment it appears that 6% of the municipalities have paid a penalty payment. You can honestly assume that the 6% is not all cases of citizens frustrating a government. Again, why doesn't the VVD now support those citizens who are fighting against a government that is very often not very generous in providing information?
ParlaMint-NL_2015-06-11-tweedekamer-3.u24	Anyone who makes a request for public access to a government, whatever government it is, must be helped in a good way. Where that is not going well right now, it requires, above all, a change of culture and not so much a change of rules. Let's work on that together. Let's ask the minister together what he's going to do about it, instead of just slipping rules and creating some sort of sham reality in which people get helped faster. Are these people gonna be helped faster with that penalty payment on it? I don't think that's the case. After all, I often hear Mrs Keijzer and others say that they are not satisfied with the way things are going now, while we do have a penalty payment. Apparently it doesn't work. Let us quickly remove the penalty payment if it does not work and does not actually contribute to the faster provision of information. After all, we see that it is being abused. We also see that taxpayers' money goes to people who make improper requests. We have to do that together. Let's ask this minister together what he's going to do to make sure that municipalities, provinces and departments move a little faster when there's an application.
ParlaMint-NL_2015-06-11-tweedekamer-3.u25	In those situations, a penalty payment is a great stick behind the door for all those citizens who fight against a government that is not spouty with information. I am really sorry to note that Mr Veldman is not putting the centre of gravity there. I will quote some illustrious VVD predecessors in my term; perhaps that convinces Mr Veldman.
ParlaMint-NL_2015-06-11-tweedekamer-3.u26	I don't hear another question, but I'm going to listen to Mrs Keijzer in a moment. I'm gonna go back to the reason why I want to deal with that abuse. As I see it, 21% of the total number of WOB requests is suspected of abuse. So that cost us a decent ditch with money. The damage caused by this type of request, also in order to get it dealt with in time, amounts to about EUR 14 million. It is therefore time to put a stop to this. Everyone knows the examples: in applications hidden WOB requests, many writers sending dozens of letters a month, three to four times sent almost identical requests that turn out to be not quite the same, and extremely large but actually useless requests, which mainly take a lot of time. In short, these requests have nothing to do with an information question, but everything to do with the improper collection of that penalty payment. Last year the Labour Party and the VVD asked the Minister to put an end to this. That motion was widely supported in the Chamber. The Minister responds to that call from the bill we're discussing today. As far as I am concerned, that bill could have ended up in the Chamber a little faster. As the Minister himself points out in the bill, every week that the Law on penalty payments for the WOB enters into force earlier, saves from €150,000 to €270,000. The VVD will therefore wholeheartedly support this law, because the sooner this change of law comes into force, the better. My enthusiasm for tackling this abuse does not mean that I have no regard for those who do not agree with it and for those who say that it will be so easy for the government not to comply with a WOB request in time. I'd like to say a few things about that. I think the stick behind the door is still there. If the government fails, there is the possibility to appeal directly to the court. The administrative court may, by means of an accelerated procedure, examine whether the government has actually failed and may order that same authority to pay a higher penalty payment if it has actually failed. My mom used to tell me to force strange eyes. A conviction by the administrative judge, with the risk of a higher penalty payment than the current one, will in practice make more sense in order to comply with a WOB request in good time. Mr. Chairman. Another point that I would like to mention in connection with the timely provision of information I have already announced is the creation of files and archives. I cannot escape the impression that the timely provision of information does not always have to do with unwillingness, but often with impotence. Anyone who makes a tour of the municipal accounting offices can only conclude that file and archive formation in many municipalities is a child who is under-represented. As a historian, I know only too well that you have nothing to gain from an archive where it is reportedly everything but where you can't find anything because you don't see the forest through the trees. Those who do not have their information system in order can of course never deliver on time without art and flying. There is still much to improve here. Does the Minister share this observation? What measures does he intend to take to ensure that every government body is in order? Recently, a number of administrators of municipalities, water boards and provinces have warned about the consequences of the poor digital file and archive formation. The VVD Group has asked written questions on this, but I do not think that the answer to this question is optimistic. I therefore repeat one of the questions. What consequences does the Minister foresee for the disclosure of governance due to the poor digital file and archive formation? What steps is the Minister going to take to do something concrete about this? How does he prevent the emergence of digital dementia, as outlined by these drivers? Of course, everyone is free to submit a WOB request as they wish to submit it. Form free makes it easy to reach. However, I can imagine that we can be of assistance to the applicants with a standard form. This also makes it immediately clear to each administrative body that this is a WOB request. Is the Minister prepared to consult, inter alia, the IPO and the VNG on the development of such a form? The VVD supports this bill. Misuse of the WOB must be addressed and that is best done by removing the penalty payment from the WOB. This will prevent improper requests and thus allow for full attention to be paid to the timely provision of information on serious requests. As far as I am concerned, the organization of the information system in the various administrations is inextricably linked to this.
ParlaMint-NL_2015-06-11-tweedekamer-3.u27	I was wondering if Mr Veldman had Fokke and Taverne's motion in hand.
ParlaMint-NL_2015-06-11-tweedekamer-3.u28	I don't have it for me, but I'm sure you're going to read me that motion.
ParlaMint-NL_2015-06-11-tweedekamer-3.u29	There is a little more in that motion than Mr Veldman suggests. It seems to be a debate on suggestion; facts do not count. However, I still have a fact. What is in that motion is interesting: "considering that the penalty payment makes an effective contribution to the timely decision by administrative bodies." That's part of that motion, too. So the motion does not say: we must get rid of the penalty payment. Indeed, the motion says that "the penalty payment makes an effective contribution to the timely decision by administrative bodies." At the same time, it also states that "abuse, misuse and use should be avoided for the sole purpose of obtaining financial benefit'. The Minister is then invited to come forward with a palette of measures. Surely that is something else than Mr Veldman just suggested? Does Mr Veldman agree that it is slightly different from what he has just suggested?
ParlaMint-NL_2015-06-11-tweedekamer-3.u30	I note from the motion that a broad majority of the Chamber wants the Minister to do something about the abuse of the WOB, which is possible because it has a penalty payment on it. Apart from all the criticism of the way in which the government deals with the disclosure of information, sometimes rightly and sometimes unjustly, I also hear in a broad sense: it is nice that you get a penalty payment, but that is not helpful; we are waiting for that information. People want information and not a penalty. If you want to tackle the abuse, you should also ask yourself whether it is better to remove the penalty payment, since in practice many people say that they are not waiting for a penalty payment but for information. That is what the Minister is proposing and that proposal will support the VVD.
ParlaMint-NL_2015-06-11-tweedekamer-3.u31	Just so you know, that's not what the motion says. I repeat it one more time, and I hope that Mr Veldman has really put it between his ears: 'in the view that the penalty payment makes an effective contribution to the timely decision by administrative bodies'.
ParlaMint-NL_2015-06-11-tweedekamer-3.u32	The VVD now makes the analysis that dealing with abuse is a good thing to remove the penalty payment, because the abuse takes too many forms, rising to 14 million. That is taxpayers' money that we can all use better. The VVD will therefore wholeheartedly support this proposal.
ParlaMint-NL_2015-06-11-tweedekamer-3.u33	That 14 million has not yet been substantiated by Mr Veldman. He just indicated that WOB applicants are not waiting for a penalty payment but for information. Does Mr Veldman not think that the focus should therefore be on how to help people who request information as quickly as possible?
ParlaMint-NL_2015-06-11-tweedekamer-3.u34	I certainly agree with Mrs Voortman. That is why I asked the Minister what he was going to do about the poor filing and archiving of municipalities, provinces and other governments, both digitally and in paper form. It often fails to do so. If one does not have one's information system in order and then gets a request to visualize something or to get something out of the table, it may indeed take weeks for all papers to be collected. We have to do something about this mess with each other. I would like to ask Mrs Voortman what he is going to do about it so that the information can be provided in good time.
ParlaMint-NL_2015-06-11-tweedekamer-3.u35	For this purpose, let proposals be made in the Own-initiative Act Act Open Government of GroenLinks and D66. Surely it would be much more logical for the Chamber to decide to deal with that bill, which is balanced, quickly than to take one bite out of it, with a lot of question marks, by the way. If Mr Veldman also thinks that it is about obtaining information and that governments have a duty to do so, should he support us in ensuring that this is done quickly in a balanced way?
ParlaMint-NL_2015-06-11-tweedekamer-3.u36	I think I've already answered that question. The ill-ordering of files and archives in municipalities and other governments is independent of the shifting of rules. There is already an obligation for municipalities to have their archives in order. That obligation already exists. Scrolling with rules, adding and changing rules is not going to make reality any different. I want to do something about that reality. This requires a cultural change, a different way of working, a different sense of standard with regard to the way in which files and archives are handled. I ask the Minister to do something about that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u37	I would almost ask Mr Veldman whether he also thinks that the tax agreement should go to the Chamber, but that is not the issue here today. I therefore ask him another question. Mr Veldman says that the penalty payment should be abolished, because it now costs 14 million a year, which is a waste of taxpayers' money. Has Mr Veldman made an assessment of what it would cost if all those people who are now getting a penalty were to appeal directly?
ParlaMint-NL_2015-06-11-tweedekamer-3.u38	At the moment when people go directly to court, the judge can make an independent judgment as to whether it is an actual or improper request. That's the nice thing. Where governments do not respond in good time and have to pay a penalty payment, a judge may say: this is an improper request; thank you for coming to me, but we are not going to reward you for this. Because people can go to the administrative judge, it is fortunate that municipalities can run a step faster in the case of actual requests. Precisely because the wrong requests may not be there anymore, there will be time and space to pay more attention to all these valid, decent requests.
ParlaMint-NL_2015-06-11-tweedekamer-3.u39	Administrative judges are always reluctant not to sit on the seat of the government body. The only thing they'll test is if there's a hidden WOB request somewhere in the pieces. Think of the discussion on the case where a footnote on page 26 asks for further documents. So what Mr Veldman says about the intention of the direct profession will not happen in practice. That is why I am asking again the question that I have just asked: how much does it cost if all these people have to appeal directly? Haven't you lost much more than the €1,260 it now costs per situation?
ParlaMint-NL_2015-06-11-tweedekamer-3.u40	Both Mrs Emperor and I cannot make that assessment, because we do not know how many people will end up in the administrative court. The two of us want governments to provide their information on time. Let us now work with each other: ensure that, if a request comes in, governments deliver within the four-week period or within the recovery period that comes after it. That's what we want with each other, isn't it? It's not about someone who doesn't get his information delivered on time getting money from the government, is it? That's not what this person's waiting for, is it? He's waiting for information. Let us now work on this with each other.
ParlaMint-NL_2015-06-11-tweedekamer-3.u41	In my view, there is no problem with the WOB, nor with the periodic penalty payments. Mr Schouw is, of course, quite right to say that the motion tabled by the VVD, which is the basis of this bill, states that the VVD believes that the penalty payment makes an effective contribution to the timely decision by administrative bodies. However, I hear Mr Veldman now say that he is so pleased with this bill and with the abolition of the penalty payment because it does not contribute to the timely decision by an administrative body. Can Mr Veldman explain where that turn comes from, what that turn is based on? What else does he think of the amendment tabled by Mrs Keijzer together with a number of other members of this Chamber to maintain that penalty payment for the WED requests, in line with the motion of the VVD and the PvdA, and to look for alternatives aimed more at the abusers?
ParlaMint-NL_2015-06-11-tweedekamer-3.u42	I have just answered that first question. I have recently put my ear to various people and they say that the penalty payment may be a stick behind the door, but that there is still no information in the end. So it doesn't yield anything, except maybe that €1,260. However, a serious applicant is not waiting for that. If you want to do something about the abuse, and that is what the minister was called for in that motion, then you must dare to take the step to deal with the abuse by removing that penalty payment. My secondary question to the Minister is then: do something about the situations in which time passes are not good and files and archives are not in order. I asked written questions about this, but I found the answer to it too inadequate. That is why I repeated today: Minister, do something about it, make sure we don't get a black hole from the first fifteen years of digitalisation in this century, make sure we solve this.
ParlaMint-NL_2015-06-11-tweedekamer-3.u43	Your response to Mrs Keijzer's amendment.
ParlaMint-NL_2015-06-11-tweedekamer-3.u44	Mrs Keijzer's amendment aims to maintain the penalty payment. I disagree. It is also chosen to work with a mandatory standard form. I'm not for that. That raises an extra threshold. People should be free in the way in which they want information to be provided when submitting a request to the government. If this is standardized, if thresholds are set and if a form is to be used, people will not be made easier. I don't think that's a good idea.
