ParlaMint-NL_2015-11-17-tweedekamer-21.u1	Mr Verhoeven is already ready for his input.
ParlaMint-NL_2015-11-17-tweedekamer-21.u12	Mr. Chairman. We, too, certainly agree with the proposal before us. I do have a few short questions for the Minister. Of course, cartels in the Netherlands need to be dealt with as much as possible, and it is also very important for them to be addressed at European level. Does the Minister now expect the increase he proposes to increase the number of cartel participants who volunteer themselves and thus turn themselves in? After all, getting out of line with European regulations makes it more attractive to declare yourself as a Dutch company earlier and to make use of the Leniency Notice. Does the Minister therefore expect a positive impact on this issue? How many pension funds actually merge on an annual basis? The bill refers to four mergers over the last five years, covering a total of 0.00004% of total annual premium receipts. Is there really a real market? The Minister also writes that a consolidation impact is desirable. Why exactly is this desirable and does the sector itself want to do so? Apparently, there is little need for mergers at all. I wonder whether the Minister has adequately examined whether this bill will have the effect we hope will have, namely that cartels will prevent less. I wonder, also because the Dutch Order of Lawyers has cracked a critical note about it in the consolidation process. It states that there is actually no evidence to show that an increase will have the desired effects, namely fewer cartels. In that light, I would also like to make the following point. The work visit we have recently made to the ACM has made me aware that it is particularly important that there is sufficient manpower and resources available. I'm a little worried about that. It is one thing that we always say when it comes to criminal law to increase the level of punishment, but if you do not increase the chances of getting caught, that is not going to do you much good in the end. Then we might be working on a piece of symbolism, and that's where I fit in.
ParlaMint-NL_2015-11-17-tweedekamer-21.u13	That brings us to the end of the first term of office. The Minister can reply directly in principle.
ParlaMint-NL_2015-11-17-tweedekamer-21.u14	Mr. Chairman. I will be happy to respond directly to what the spokesmen have said. I wonder whether I will be able to do the same for every part of the questions that Mrs Mulder has asked. It may be that I will return to one point in writing because she is asking for a number of details which I do not have in mind. I'll see how far I can get. It is perhaps appropriate to point out, in response to a comment made by Mr Verhoeven, that this is not just about cartel legislation. Cartel legislation is of course an important part of the ACM's work, but we are talking here about fines related to the Electricity Act, the Gas Act, the Institution Act Authority Consumer and Market, the Loodsen Act, the Competition Act and the Cartel Law, which Mr Verhoeven talked about, but also the Postal Act, the Railway Act, the Telecommunications Act, the Heat Act, the Consumer Protection Act, the Passenger Transport Act, the Implementation of EU Energy Efficiency Directives and the Law amending the Electricity Act 1998 and the Gas Act, i.e. the Law STROOM. It is therefore a whole package of ceilings applicable to the ACM. We're reviewing that whole package now. We had that set up because it was time to investigate this in response to signals we were getting, because it turned out that there were a number of problems to be solved. First, the cartel profits were higher than the fines, as the spokesmen indicated. This resulted in no or insufficient deterrent effect of the fines. Secondly, long-term infringements were subject to less penalties than short-term infringements. It shouldn't be. Thirdly, there was a lot of recidivism. This means that the doubling of the fine was not effective, because the maximum was quite low. You weren't allowed to exceed the maximum with the doubling. Well, then that recidivism doesn't work. Fourthly, the fine ceiling has never been adapted to inflation. This whole package of problems that arose, we have tried to reconcile with this bill, which is a positive welcome, as I have noticed from the tone of the spokesmen. As the spokesmen have said, it is ultimately a well-functioning market. That's what we want. We are not looking for fines, fine ceilings or people or companies, but we want the markets to function properly. However, markets do not function properly by themselves. If you don't do anything about it, there's a monopoly before you know it or there's no offer of things you think there should be. Public authorities must therefore ensure that conditions for healthy competition are created and monitored. An important condition for the proper functioning of markets is that there is a preventive deterrent effect, so that, firstly, people and companies who do not comply know that there is a great chance that they will be caught and, secondly, they are clear that the sanction is firm and that they should not get it. With regard to this possibility, we have strengthened and streamlined the powers of the ACM in the streamlining Act ACM, as the word " Streamlining Act" already says. I am convinced that what the Second and First Chambers have done together with the government on this issue has done what we believe was necessary in order to achieve a good chance. We will see whether our expectations will be met in the near future. I'll keep an eye on that. We are now talking about the penalty system, which we intend to improve. The system becomes quite clear. In the case of minor infringements, the fine is up to €900,000 or 1% of turnover if that is more than €900,000. The highest of both is the penalty limit. In the case of serious infringements other than cartel formation, the amount is €900,000 or 10% of turnover. In the case of cartel infringements, again, we are talking about €900,000, but we will not be able to achieve a maximum of 10% of turnover in one year, but we will go to a maximum of four times 10%. We are, to my knowledge, the only country in Europe to do so. All other countries limit themselves to one year in the order of 10%. I don't think that's enough. I think it's necessary to do more. How much more we have to do, I've looked closely at it. I am aware that I have to take into account what is in the Constitution. Article 89 (2) states that the penalty must be determined by law. It can't be that punishment is left in the middle a little bit in the sense that it can be four, five, six, eight years. With such a provision, it is highly questionable whether you comply with this article of the Constitution. In addition, the General Administrative Law requires that maximum fines should be proportionate. So if we do something that could be regarded as not proportionate, we would be in breach of that law. So I can't leave in the middle how high the punishment is. I have to make a provision stating how high that punishment is going to be. Before that, I looked at the average in cartel formation. That's four years. That's why I went to four times 10%. That means that we are four times as high as other countries in Europe. But the cabinet thinks it's good to do it this way, because cartel formation is so threatening. The punishment must be so terrifying that it will not be done. Four times 10% of the turnover or 40% of the turnover of a company is a huge punishment. It's a maximum. Whether this is actually achieved in individual cases, the ACM will be able to look at it all by itself. They're maxima. The ACM can determine the fine itself, as long as it does not exceed the maximum. With this we have set a very high ceiling and offer the ACM ample opportunity to come up with such a punishment, that it is perceived as a deterrent and that the desired effect is based on it. We must also realise that the ACM has to take into account the seriousness of the offence. If the ACM wants to reach the maximum of those four years, the seriousness of the infringement must also justify it. In doing so, the ACM should also consider the effects on survival, on the viability of the company. This aspect was also raised by the Court at the time. If a company makes a mistake, it has to be corrected, but if the effect of that is that the company falls down and the employment falls down, you will find a lot of people you do not want to meet. Therefore, that aspect should be weighted by the ACM. The provision in the Constitution, the provision in the General Administrative Law which prescribes proportional penalty limits, the proportionality that there must be.................................................................................................................................................................................................................................................. I am giving her a space that is much larger than that in other European countries. That space reaches up to four times 10% of the turnover, or 40% of the annual turnover of a company. I think that is a very deterrent effect. In my opinion, this is reasonably the maximum we could do, given the legal provisions I have just mentioned. Spokesmen also talked about the amount of €900,000. How did I get that amount? The €900,000 was made as follows: We now have €450,000 as the penalty limit, but we have not adapted it to inflation since 1998. In 2002, the fine was transferred to an amount in euros, but it remained the same in terms of pressure. All this time, it's been the same. If we had processed inflation in those years, it would have been an amount of €620,000. I do not think €620,000 is high enough, because I compared it with Germany, where in similar cases a fine of 1 million is involved. I have also looked at the fines that apply in the financial sector. Looking at the financial sector and looking at Germany, I have come to the conclusion that an amount of €900,000, a doubling of the current fine ceiling and materially €280,000 more than the inflation correction would indicate, is a reasonable amount. I am also dealing with this in the spirit of Mr.De Love, who has said that it will really have to be effective. We are in favour of market forces, said Mr De Love, but those who frustrate market forces must be dealt with thoroughly. By choosing that amount of €900,000 and also going to four times the percentage of 10% for cartel infringements, I acted in that spirit in my opinion. I was telling you how it was with the cartel violations, $900,000 plus four times 10% of the annual turnover. The doubling in the case of repeated offences remains, but since we have now substantially increased the fine ceilings, this means that in many cases the repetition and duplication will be felt. I think that we are achieving what we would like to achieve here too.
ParlaMint-NL_2015-11-17-tweedekamer-21.u15	For the record, I would like to ask the following question. Where is the difference between the Minister and the Dutch Order of Lawyers, where the Dutch Order of Lawyers says: recidivism is hardly a problem?
ParlaMint-NL_2015-11-17-tweedekamer-21.u16	I'm happy if recidivism doesn't occur or hardly does. However, if there is a recurrence, I believe that adequate action should be taken against this. I think this should always be done in the case of recidivism, especially in cases like this. If you have fined a company, and if that company does it again a few years later, it seems to me that you are dealing with a company that requires serious treatment. This doubling makes it possible for the ACM to decide to do so. If, in the end, the effect of everything we do here is that there is no repetition at all and that there are no infringements at all, then we are all pleased. After all, our aim is not to obtain money through the fines, but to make the market work properly.
ParlaMint-NL_2015-11-17-tweedekamer-21.u17	Of course: prevention is also a way of preventing victims. So I fully support what the Minister says here. It would be even better if it were so preventive that there wasn't even a recurrence, because there was no first offense either. However, I heard the Minister say clearly in his reply that this bill is also based on the idea that there is a great deal of repetition. I would like to know a little more about that.
ParlaMint-NL_2015-11-17-tweedekamer-21.u18	I don't remember saying there's a lot of recidivism. I do not have any information on the prevention of recidivism. However, I believe that if there is a recurrence, an additional penalty is required. If there were little repetition, that would not be a reason for me not to give a higher penalty in cases where there is a recurrence. The ACM determines how high that penalty should be, but the maximum that the ACM should be allowed to hold as far as I am concerned is twice the maximum that would otherwise apply. Mrs Mulder is putting the finger on the sore spot for me by saying that in the coalition agreement a huge increase in fines has been estimated, whereas now only 10 million of them are left. There has been a provision in the coalition agreement which is not feasible, as has become clear to me and to others. I have already told the Chamber that I do not think it is possible to implement the agreement in the government agreement to raise more money through fines. In the meantime, I have found alternative cover for the elimination of this intended increase in income. As far as I am concerned, this is the unenforceable provision of the coalition agreement. Apart from that provision in the coalition agreement, I have looked at what needs to be done to ensure that the markets function properly, not from the point of view of getting as much money as possible, but to ensure that companies and people comply with the rules, so that the markets function properly, and that those who do not comply with the rules are properly punished. This resulted in a systematic approach, combined with an increase in the fine ceilings. The result is that an estimated 10 million more are coming in. I have estimated that amount; that amount is not an objective I am pursuing.
ParlaMint-NL_2015-11-17-tweedekamer-21.u19	Then there remains a goal to get an x-amount. How does the Minister intend to ensure that it does not succeed in tackling the major parties and that it is dealt with as an alternative? How does the Minister view that? This is a concern of the CDA. We see it coming back in all kinds of other areas, and that is contrary to everything the CDA wants.
ParlaMint-NL_2015-11-17-tweedekamer-21.u20	I can reassure Mrs Mulder that this is not an objective. It's an estimate. We have set up a system whereby companies that distort market forces are dealt with fairly by an independent regulator, regardless of whether they are large or small companies. Of course it's not like the big boys can run away and the little boys get caught. That is why we have a good independent supervisor. He's gotta get that done. The supervisor has not been instructed by me to meet the estimated fines. The supervisor has been instructed by me to ensure that the systems we have laid down in the law and the fines we are discussing are correctly applied. We shall then see what the amount will be. In my opinion, this is the amount of extra 10 million a year that I have just mentioned. However, it is an estimate and not a target amount.
ParlaMint-NL_2015-11-17-tweedekamer-21.u21	Mrs. Mulder, finally.
ParlaMint-NL_2015-11-17-tweedekamer-21.u22	How does the Minister explain, looking back at the number of cases, that 24 out of 32 cases involve smaller companies? How does the Minister explain that?
ParlaMint-NL_2015-11-17-tweedekamer-21.u23	This is explained by the fact that there are a lot more small companies than large ones. In number, we see that, for example, in the number of companies using the Wbso, a subsidy scheme for business in the field of innovation. In 97% of the cases, they are smaller companies. However, only 66% of the money goes to these companies, because although there are fewer larger companies, they are large companies where a lot is happening. That's the way it is in this case. We have a limited number of large companies and many small companies. We see the numbers of large and smaller companies in proportion reflected in the fines imposed. We cannot, however, pay more attention to the smaller companies. I believe that we should pay particular attention to small and medium-sized enterprises. I would like to pay particular attention to the large companies, because their social impact is greatest. However, that is not a licence for small businesses to mess around. Those who break the law must be punished.
ParlaMint-NL_2015-11-17-tweedekamer-21.u24	Please continue.
ParlaMint-NL_2015-11-17-tweedekamer-21.u25	I'm working on getting some key points out of the spokesmen. I have dealt with Mr Verhoeven, Mrs Vos and others on four times 10%. The next item is pension funds. Mrs Vos was right to say that a change had been made as a result of her initiative. That's right. If two pension funds merged, both of which had more than 30 million in premium income and together had more than 150 million in premium income worldwide, they had to report that merger to the ACM. The ACM then examines whether there are problems with this merger and comes up with a view. Mrs Vos said at the time that there is a consolidation going on with pension funds, that this is desirable, that it is not necessary at all to report all those small pension funds that need to merge and that you can increase the limit of when to report. I thought Mrs. Vos was right about that. There is a process of consolidation and this is desirable, but we must note that competition is not entirely out of that market. It's a market, but not like the rest of the market. That is why we are finally putting the threshold three times higher than in other real markets. The fact is that there is a certain sense of a market and that a legislative proposal for a general pension fund has now been put into procedure, creating additional market forces. When it comes to large funds that can have a real effect, I think it is wise to have a report, so that the ACM can look at that. We therefore propose, in the spirit of what Mrs Vos said at the time, to increase these two times 30 million to two times 100 million in premium receipts and to increase the total of global premium receipts from both pension funds to 500 million. As Mrs Vos said, this means that only the 20 largest pension funds are affected. I think this is wise. Mrs Vos's proposal to raise the threshold even higher would mean that the balance sheet would fall. Let me give you an example. Suppose the Transport Pension Fund, with 15 billion of assets invested in my head, merges with KLM's pension fund, with 6 billion of invested assets. KLM's pension fund is just below the threshold that Mrs Vos is now proposing of 200 million in premium income. Such a major merger does not even need to be reported and the ACM does not have to look at it at all. I don't think that's wise. We are now working in the spirit of the impetus given by Mrs Vos, and we are not going through that. Mrs Vos proposes to set the threshold for premium receipts twice as high as I propose. The threshold is thus almost seven times higher than in the original situation. This makes it unnecessary. I therefore propose that her amendment should not be dealt with.
ParlaMint-NL_2015-11-17-tweedekamer-21.u26	I have two questions. What is the market for second pillar pension funds? As a consumer read: I think that is the essence of a market. What is the added value of the ACM, if DNB and the AFM also monitor the functioning of pension funds and the like?
ParlaMint-NL_2015-11-17-tweedekamer-21.u27	The added value of the ACM is that it can assess market effects. There is a limited market. Businesses are not all automatically covered by a single pension fund. There are options. To a limited extent, market forces exist. As far as market forces are concerned, this is reinforced by the introduction of the general pension fund, which will increase choice. We cannot ignore the aspect of market forces. The ACM knows that there is limited market functioning, but a certain market functioning is desirable. I don't want things to happen that are undesirable. That's what the ACM could be looking at. Mrs Vos and I have no difference of opinion in principle. Mrs Vos makes a proposal to leave the fifteen largest pension funds out of the picture in relation to this report, while I propose to keep the largest 20 out of sight. So it's just the 15 or the 20. In my opinion, our proposal is the most balanced one, and that is why I am defending it.
ParlaMint-NL_2015-11-17-tweedekamer-21.u28	Finally, Mrs. Fox.
ParlaMint-NL_2015-11-17-tweedekamer-21.u29	So, if I understand correctly, market forces within the second pillar of pension funds are actually about the freedom of choice of employers and not employees. The minister's talking about that little piece of market. The added value of the ACM is that they can look at things that the AFM and DNB cannot view. Is that what the Minister says?
ParlaMint-NL_2015-11-17-tweedekamer-21.u30	The role of the ACM in relation to pension funds is not under discussion. The ACM has a legal role to play and Mrs Vos does not deny that role either. I told you, the only difference between her and me is 15 or 20. That's for sure. I cannot now give an analysis of all aspects of market forces, but there is a certain market effect for pension funds. It's less, and that's why we're setting the threshold three times higher. However, this degree of market forces tends to increase in the future as a result of the general pension fund. Then it makes sense to maintain the role of the ACM. Mrs Vos does the same, but she comes to another consideration. I'm defending my judgment. I mentioned the example of a merger between a pension fund of 15 billion and a pension fund of 6 billion. If the ACM is not given an opportunity to have an opinion on this, I do not think it would be wise.
