ParlaMint-NL_2015-02-12-tweedekamer-8.u1	I would like to welcome all those present in the Chamber.
ParlaMint-NL_2015-02-12-tweedekamer-8.u12	The CDA Group is talking about 30 billion cubs. We have of course often talked about it with each other; it is also a wish from Groningen. The letter from the Minister we received last night shows that the security of supply referred to by Mrs Mulder is not 30 billion cubic metres, but actually 33 billion cubic metres; see page 4 of the letter. How does Mrs. Mulder interpret that? Does she still believe that we should go to the EUR 30 billion or does she say: no, that security of supply is now at EUR 33 billion; we accept that? Apparently it is now 33 billion; in my view it is well supported.
ParlaMint-NL_2015-02-12-tweedekamer-8.u13	Perhaps I could give a more detailed answer, Mr President. I think that's really necessary. We heard from the Minister at the beginning of 2014 that it was really necessary to keep the heaters warm and such that enough could still be won in the Loppersum cluster, while the SodM actually advised to go back 100%. Subsequently, the conversion capacity was hardly used. Then it's gonna be a very double story. Looking at that letter last night, it's like 33 billion would be better now. But the answers to the questions I specifically asked at the end of last year indicate that it could be about 30 billion cube. Then I think: what if we have a heavy winter like in 1963, when people were driving cars across the IJsselmeer, is it possible to make the exception to gain a little more gas? It is only in such situations that we can talk about this, but the starting point should be: go back as far as possible with the extraction of gas. On the basis of the Minister's previous answers, I really come to 30 billion cubs.
ParlaMint-NL_2015-02-12-tweedekamer-8.u14	You say that the nitrogen plants are not used, but on page 4 the following scenario is outlined: that means that the nitrogen plants will run at maximum capacity every day throughout the year. I'm paraphrasing. You're gonna end up at the 33 billion. If you actually have a very cold winter with, say, three times an Elfstedentocht in two months, then another 2 billion is needed and you reach that 35 billion. It's in the Minister's letter. Then I still don't understand how Mrs Mulder gets to the 30 billion. I wanted to go to the 30 billion just like her. That is why I asked the Minister these questions, but it appears to me that this security of supply is 33 billion rather than 30 billion.
ParlaMint-NL_2015-02-12-tweedekamer-8.u15	That depends very much on which reference year you choose. If that's that super-heavy winter where you can drive your car across the IJsselmeer, you might get to the 33 billion. But the CDA says: Try to get back to the security of supply of a normal, average winter. Then you could come up with that. That should be the goal. You shouldn't win the maximum, which has happened every time so far, but you should take a look at what you need at least. That step should be taken by the House of Representatives today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u16	I support the plea for a substantial return. I will come back to that in my own contribution. The difficulty of the CDA's reasoning is as follows. If you want to go back to maximum, why don't you go back to 21 billion? If we have a warm winter and a warm spring, we only need 21 billion. If it's a cold winter, you're gonna have to increase that pressure all of a sudden. Those pressure differences are a problem. Why does Mrs. Mulder choose somewhere in between? 21 billion is one side, 35 billion is the other. I get the feeling that that's a bit of a political choice, that's okay, but it's not technically supported by the existing reports.
ParlaMint-NL_2015-02-12-tweedekamer-8.u17	GasTerra has researched this and comes out between 21 billion and 35 billion if you have such a winter in which you can drive your car on the IJsselmeer. Those are extreme winters. If you take that as a starting point, I can imagine you're gonna come up with that 35 billion, but that's not an average winter. We think you should see what you can do to get you to the 30 billion. That was also the case in the hearing. Then we say: go back as much as possible. That is currently on the basis of GasTerra's data and the Minister's previous replies of 30 billion cubic metres.
ParlaMint-NL_2015-02-12-tweedekamer-8.u18	I note that the CDA is not prepared to go back to 21 billion on the basis of the precautionary principle. I understand, because we don't either. There's no difference in that respect. But I also understand that the CDA supports the Minister if he can demonstrate that 33 billion is really needed in a winter to prevent the pressure from increasing rapidly, with all kinds of tremors. So the discussion is really about whether the calculations are correct.
ParlaMint-NL_2015-02-12-tweedekamer-8.u19	Suppose we could go back to 29 billion, producing as flat as possible, then we can discuss it. But we just want to see how you can go back to maximum, producing flat, so that you are sustainable in the gas field. You're right to declare that. GasTerra's report shows you're going to be 30 billion. If we can go further back in the future, we can certainly talk about this and perhaps we can talk to you about it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u20	The scabbard about the number of cubs has already started in the first interruption. Can Mrs Mulder say with her hand on her heart that the safety of Groningers is fully secured at 30 billion cubic metres?
ParlaMint-NL_2015-02-12-tweedekamer-8.u21	Well, I think you know the answer to that question, which is no. But you have to apply the precautionary principle here. It now stands at 39.4 billion cubs and we believe that a significant step should be taken. That is what we want to achieve today. It would be very nice if Mr Öztürk's group would join us. Maybe he can go into that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u22	I will go into this in detail in my first term. But you finally say that the safety of the Groningen people with your plan is absolutely not guaranteed. So it remains unsafe in Groningen, I understand from your plan.
ParlaMint-NL_2015-02-12-tweedekamer-8.u23	What we want is for the gas tap to be turned off as far as possible, because we have seen in the Loppersum cluster that by turning off the gas tap further the number of quakes and the heaviness of them went back. Furthermore, we have seen that, where the gas crane has been opened further, so around Hoogezand and Menterwolde, the number of tremors and its heaviness have increased. If you know that, I think we, as representatives of the people, should close the gas tap as far as possible. That is the point I want to make here today. I sincerely hope that Mr Öztürk will support me in this today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u24	Mr. Chairman. In preparing this debate, I looked again at the dates. I could hardly imagine it, but it's been more than two and a half years since that heavy quake at Huizinge woke us up. All this time, the minister needed to study hard. That was necessary, because we didn't know much. The result is a large stack of reports with a clear conclusion: gas extraction means bottom drop and bottom drop means earthquakes. After the earthquakes in Huizinge, D66 argued for the preventive closing of the gas crane. But Minister Kamp, on behalf of the VVD, turned the crane open to a record height. Then it is a cold trick to say: this minister is the first minister to turn off the gas tap a little bit more. Yeah, after you open it up pretty much. We're back three years this summer. The Groningers are actually expecting one thing today: clarity about how the government is going to ensure their safety as best it can. And of course, we can't give 100% security, but no one asks that either. But they do want clarity. The decision that the Minister is submitting to us is anything but a clear decision, because what does he really choose? Is the gas tap closing or not? Are we going to get a reduction in gas extraction this year or is the NAM allowed to continue on the same footing? The Minister is not giving any certainty about it. It may be that the gas tap is closing, but it may also be that the gas extraction in the autumn is increasing sharply again. With the gas decision that's now in place, it's all possible. So nothing changes and we haven't made any progress today. The Minister postpones his decision and postpones it. We'll talk again in six months. That is the message given to us today. What are the Groningers doing with this story? Stay in uncertainty for another six months? What can they count on? The Labour Party doesn't make it any simpler either. In the media she says that increasing gas extraction after the summer is unthinkable, but she supports a policy with a gas decision that says that more than 39 billion cubic metres can be pumped. I can't. It's one of two: either it's unthinkable and then you lower the ceiling, or it's not unthinkable, and then you study it and then you look at what you do. If you don't lower gas extraction now, you keep all the possibilities open. That is why I ask the Minister whether he agrees with the Labour Party if we have to believe those statements, which is unthinkable. Is he willing to adjust the ceiling? D66 believes that we should make a clear decision now and that we should not hold off on postponement. Experts say that earthquakes are less likely to occur if less gas is extracted. That's clear. So now, preventively reduce the extraction of gas to the amount that is demonstrably necessary for the security of supply. Do not build margin on margin to boost the level. Is the amount mentioned in the letter from Minister Kamp, around 35 billion cubic metres, really necessary for security of supply? I come back a little bit to the point just mentioned by Mr Mulder. How hard does it have to freeze before we need this amount? What kind of Siberian winter should we have and should we base our long-term policies on such an exceptional case? No. And why are all these margins directly part of the total ceiling that can be filled? They can also be specifically reserved in the event of these circumstances. Why should there be a buffer for the breakdown of technical installations, and why does it also become a structural part of the ceiling? I hope they're not that bad. I think there's been an interruption, Mr. President.
ParlaMint-NL_2015-02-12-tweedekamer-8.u25	Thank you, Mrs Van Veldhoven. I'm gonna freeze your time.
ParlaMint-NL_2015-02-12-tweedekamer-8.u26	Mrs Van Veldhoven says: as low as possible and not presorting for something that might happen. Does Mrs Van Veldhoven accept that the gas tap should be extra open if it does? After all, you never know. What does she say to Groningen?
ParlaMint-NL_2015-02-12-tweedekamer-8.u27	I think Groningen wants a clear decision. As far as I'm concerned, we are going to win what is demonstrably necessary for security of supply. I'm sure all the people in Groningen understand that we need more gas when we get a Siberian winter. We also have to make sure that we keep some gas in the gas stores, so that on a peak day we don't have to turn on all the taps immediately. So you have to look carefully at the balance between the level of security of supply and the pattern of production that contributes to safety. That's what we need to look at. But if you just keep the ceiling at 39 billion cube as it stands, you don't, and I'm against it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u28	I understand from the words of Mrs Van Veldhoven that D66 does not find it a problem to win a lot of gas if there is a severe winter.
ParlaMint-NL_2015-02-12-tweedekamer-8.u29	When a heavy winter comes and we have exhausted all other possibilities, the people of Groningen understand that other people, like them, also want to turn on the stove. If we agree to reserve the pumps for that extreme circumstance, I think we can understand that. If we show clearly that we are putting the safety of the Groningers first and if we have done everything else to prevent a shortage, I think we can get extra gas out of the ground.
ParlaMint-NL_2015-02-12-tweedekamer-8.u30	Mrs Van Veldhoven began her speech by saying that immediately after the earthquake at Huizinge, D66 called for the gas tap to be turned off. That's what she said at the Square this morning. I just checked it out. In the debate we had then, a motion was tabled by GroenLinks to take steps to reduce gas production from the Groningen field by 40%. That was in February 2013. That was only supported by the Party for Animals at the time. At that time, no other party in this Chamber wanted to turn off the gas crane a little bit preventively. We checked the other motions in that debate. There was no other motion to reduce that at the time. I am very glad that D66 also said later that the crane should be closed. But if we had all turned off the crane at that time, we would now have had less problems. So perhaps Mrs Van Veldhoven would like to respond to that and explain what she meant with her comment at the beginning, and this morning at the Square.
ParlaMint-NL_2015-02-12-tweedekamer-8.u31	I'd be happy to. I think that we have indeed been waiting for the report on State surveillance of the mines. It said what was going on and what the advice was. That gave us a factual basis to say that you have to turn off the crane preventively. GroenLinks often has to be motions in that premature; we do not support them. But when there really is a real reason to do so, we also say what we think about it. That is why I made it very clear at the time that we think it is important that we turn off the crane from a preventive point of view, so that you can see what you can do. That's what I'm saying today.
ParlaMint-NL_2015-02-12-tweedekamer-8.u32	Mrs. Van Veldhoven.
ParlaMint-NL_2015-02-12-tweedekamer-8.u33	I'm Van Tongeren. Van Veldhoven is over there.
ParlaMint-NL_2015-02-12-tweedekamer-8.u34	Excuse me.
ParlaMint-NL_2015-02-12-tweedekamer-8.u35	I am sorry that Mrs Van Veldhoven says this. We hang out a lot. The letter of State surveillance of the Mines dates from 22 January 2013. This motion was tabled in the debate just after the crucial opinion of the state monitoring that the crane should be closed as quickly as possible and as far as possible as realistically. That is why GroenLinks tabled this motion. With the words of Mrs Van Veldhoven, I now hear that it was not premature, that it was precisely after the crucial opinion, and that she may regret that she did not support the request that the crane should be shut down two years ago.
ParlaMint-NL_2015-02-12-tweedekamer-8.u36	Mrs. Van Veldhoven, this time.
ParlaMint-NL_2015-02-12-tweedekamer-8.u37	It's important to keep us apart. There are still differences of opinion, although we are in fact working together on a regular basis. There must have been something else in the motion why it was not possible for us to support her. I think it is clear that we say: if there is reason, if there is scientific evidence, if there is a concrete plan on the basis of which you can say that it is a wise decision, then we will do so. That's how you know D66 and I'm glad that from now on we can stick together.
ParlaMint-NL_2015-02-12-tweedekamer-8.u38	I share D66's objection that if you do 16.5 billion cubs in the first half of the year and 23 billion cubs in the second half of the year, you suddenly increase that pressure. My problem with Mrs Van Veldhoven's speech is that she is actually doing the same thing. At least she runs the risk of doing the same. If you put the production ceiling too low and unexpectedly get a cold winter, you have to increase the pressure in a very short time. We know that this is bad, because not only a difference in pressure is bad but also when you suddenly have to rebuild it. So how does that relate to Mrs Van Veldhoven's story? I think most people want me to at least, and Mrs van Veldhoven also want a stable extraction throughout the year. Most people don't want short peaks that suddenly shoot up sharply.
ParlaMint-NL_2015-02-12-tweedekamer-8.u39	I would like to ask Mr Dijkgraaf what level he has heard me refer to.
ParlaMint-NL_2015-02-12-tweedekamer-8.u40	That's exactly my question. I do not think it is right to say, on the basis of political considerations, that we should choose 28, 30 or 33 billion cubs. This must be done on the basis of careful analysis, so that we minimise the chance that we suddenly get a peak in that pressure build-up. If Mrs Van Veldhoven agrees with me, then we have a discussion about what that level is and what the Minister can offer to support that level.
ParlaMint-NL_2015-02-12-tweedekamer-8.u41	In fact, I think we should be careful to assume here, in the discussion between Mr Dijkgraaf and myself, that it is that peak level which then outweighs the rest of the insecurity. For D66, it is a question of moving towards a extraction pattern that is based as much on ensuring safety in Groningen as possible. Mr Dijkgraaf cannot answer the question as to the exact level of extraction involved, and how much risks of a one-day peak outweigh the structurally higher risks of a higher extraction ceiling. That is why my question is: use the principle that you want to go to the greatest security. So adjust the ceiling and do not keep the possibility open if you already say that we are going to 16.5 billion in the first six months. Then adjust the ceiling now and don't tell me you're keeping the opportunity to go to 39.4 billion. That fundamental step is the step we need to take today. I'm sure we'll be able to talk to each other and all the experts for a very long time about exactly how high that level should be. Bet maximum on the use of conversion capacity. Also bet maximum on the use of storage, for example to catch a peak that takes place on a certain day, without having to turn a crane open in one go. However, we now also have a varying pattern of extraction. In the summer, less is won than in winter. That has apparently never been a reason to adjust the extraction of gas. If there is reason to do so now, I would very much like to look with all the parties here and with the experts at what is the level at which we guarantee safety. That's what I care about, not number x or y.
ParlaMint-NL_2015-02-12-tweedekamer-8.u42	Please continue.
ParlaMint-NL_2015-02-12-tweedekamer-8.u43	I would just like to say that that is why I have asked a lot of questions about all the margins that are in it. Further research in the Groningenveld remains desperately needed. Of course that research takes time. That makes sense. But then it is the question of what we do in ignorance. That really is the question we are facing here. What do we do? Do we keep the gas tap open in the meantime or are we going to win at least until we know what can be safe? We choose the latter. In the meantime, of course, we shouldn't sit still, because with less winning we can make the cans smaller on an earthquake, but not yet the effect of it. Only with an earthquake-proof house can you give people real safety, so we have to work hard to strengthen preventively. With less gas extraction, let us buy the time needed to give more people a safe house, a building that can withstand earthquakes, that doesn't get cracks, that doesn't collapse and that doesn't lose chimneys: that makes it safe. The Minister is going to work on this now, and that is good, but I still have a number of questions. In his letter I read that he wants to give 30 houses priority, but in the report that is behind it, I read that about 1,500 houses really have a very low level of security, that is, an opportunity of around 1 in 1,000 that the house collapses. The opinion is clear: rapid action is needed here too. According to the report, the houses should be strengthened in the shortest possible time. I don't read that in the Minister's plan. Is he gonna do that? There are also buildings in which many people come together, such as schools, hospitals, nursing homes and nurseries. They must, of course, have our particular attention. How long have these buildings been strengthened? Does the Minister also help with knowledge of interim measures? For example, if you have a glass roof, do you have to put a cloth underneath it? What can people do in the short term? With a temporarily lower building standard we can quickly make meters and first strengthen the weakest houses. According to the report, however, according to the NPR there can be more than the minister says. There are a number of figures on this, which the Minister also knows. Why doesn't the Minister do that? Fortunately, in his further letter, he states that in the longer term the same standard should apply in Groningen as throughout the Netherlands. When are all these houses gonna meet that standard? He talks about a five-year plan and sees what he can do in five years. I would like a ten-year plan, in which the Minister indicates how we are going to deal with all the problems in those ten years. We also call for special attention to be paid to cultural heritage. Making historical buildings earthquake-proof sometimes means almost the same as breaking down. We have been in such a beautiful building during our work visit. The residents had it all fixed up. Then find creative solutions with the residents there. When strengthening the dikes we know the concept of multi-layer safety. Think about protecting safety in other ways as well. Does the Minister also want to think creatively about other approaches? I'm joining the National Coordinator. A mess of agencies is involved in the extraction of gas in Groningen. The Minister now appoints an overarching national coordinator. We have always said that it is a national problem, so we welcome the national coordinator. I do have a number of questions about that. The distance from the people should not be increased but narrowed with this national coordinator. So is there one phone number later that you can call with a question or a problem? What exactly is the mandate going to be? Are powers of municipalities and provinces transferred? And where is the coordinator going to make the difference? Where can we test his contribution? Does he get his own budget? Is the Center Safe Living underneath it? And the committee's urgent cases? And what will be the relationship to the Dialogue Table? For D66, it is very important that the Ombudsman remains separate, can continue to act as an independent watchdog and can therefore also express his views on complaints relating to the whole breadth of everything related to gas extraction and that he does not have a very specific mandate as at present. I'm rounding up. Groningen is asking for clarity today about less gas extraction and sturdier houses. I call on the Minister, as well as the colleagues here today, to do the same.
ParlaMint-NL_2015-02-12-tweedekamer-8.u44	Mrs Van Veldhoven rightly says that today it is mainly a matter of adapting Minister Kamp's gas extraction decision. We need the Labour Party and the VVD for that. Fortunately, the Party for the Animals and D66 can find each other very much in this. Another important element is that Groningers who have been affected want to get rid of the debilitating processes in which they have to lean for long to pay. They must prove that the tremors caused damage. The Animal Party has often pleaded for reversal of the burden of proof. D66 didn't go along with that at the time. Yesterday, however, in the Provincial States of Groningen, a motion for a resolution was adopted unanimously, including by D66. Does that mean for the Lower House of D66 that she is prepared to take a serious look at that now?
ParlaMint-NL_2015-02-12-tweedekamer-8.u45	I share Mrs Ouwehand's concern about how incriminating it is for people. Not only do they have to walk around their house continuously to see if there are cracks, but they also have to go off all those bodies. That is why a D66 motion has been adopted earlier in order to arrive at a one-stop shop. Let them in the back office find out who's responsible for what, but help people. Of course, the reversal of the burden of proof would certainly help. Of course I am prepared, on the basis of that motion, but at all events, to look at it again, because this issue concerns so many people. There are a number of comments to make, but we certainly have that willingness.
ParlaMint-NL_2015-02-12-tweedekamer-8.u46	That's good to hear. This signal, also from the D66 group in Groningen, can no longer be ignored. A reversal of the burden of proof would be one of the signals from The Hague that we take what is happening there seriously. Then the NAM should show that something is not caused by the tremors, rather than keeping that burden on the plate of the people who had not already asked for their house to be in the cracks.
ParlaMint-NL_2015-02-12-tweedekamer-8.u47	It is a very legitimate question that we must seriously judge with each other. So we would be happy to take a serious look at that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u48	D66 has set up a future fund. Here comes the money that comes from the gas benefits. Is it possible for D66 to discuss putting these gas benefits not into that future fund, but into a "structure fund Groningen"?
ParlaMint-NL_2015-02-12-tweedekamer-8.u49	We have set up this fund so that we do not spend all the money that we are now taking from the ground, even though we do not have that money structuralally. We are putting it into all kinds of things that we now consider important, but also into all kinds of things, because we did not really want to reform. D66 has been one of the parties that has said that we must go to hell and that we must reform if we do not have the money. We must make sure that future generations too, those are also the grandchildren of the people of Groningen, still need that money that we are getting out of the ground. That is why we have indeed said that there should be a future fund, as the Norwegians do. You do not use the principal amount, but only the interest rate, for example to further stimulate research and innovation. This will enable you to find alternatives to gas again. There wasn't a lot of money for that right now, but we did get the start. The agreement has indeed been made that any windfall gains can flow into that fund. For now, we're not talking about windfalls, so let's not make each other happy with a dead sparrow.
ParlaMint-NL_2015-02-12-tweedekamer-8.u50	That is possible, but Mrs Van Veldhoven would like to anticipate a number of things. She doesn't want that on this, but it does seem useful to me to know. I think it's a nice deal, also for Groningen: if there is a windfall in the natural gas benefits, let's label it towards Groningen. I'd like to hear what D66 thinks of that.
ParlaMint-NL_2015-02-12-tweedekamer-8.u51	I hear Mr Bosman in particular leave all kinds of balloons here. If he really wants to spend extra money on this, we can, of course, arrange it in the forthcoming discussions on the budget. For that we do not have to wait for any windfalls. I would like to look forward to a proposal from the VVD. Then we'll discuss it with each other. However, I think it is a balloon and he will not be able to bring it into the negotiations in concrete terms. However, we like to see it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u52	So you're not doing it!
ParlaMint-NL_2015-02-12-tweedekamer-8.u53	We're willing to talk about anything. I'd like to see a proposal from the VVD.
ParlaMint-NL_2015-02-12-tweedekamer-8.u54	I should like to give the floor to Mr Öztürk for an interruption. I would point out to Members that the debate is only on the microphone. People in Groningen who want to follow this debate cannot hear what Mr Bosman and Mrs Van Veldhoven are exchanging if they do not do so via the microphone. They will not hear half of the discussion. It's really important that we only talk through the microphone. Mr Öztürk, go ahead.
ParlaMint-NL_2015-02-12-tweedekamer-8.u55	D66 wants clarity, and we all want clarity, including the Groningers. Eventually, she wants less gas and wants a plan for ten years. Can Mrs. Van Veldhoven offer the Groningers complete safety with her plan with her hand on her heart?
ParlaMint-NL_2015-02-12-tweedekamer-8.u56	Can Mr Öztürk mention a plan with which he can offer complete safety with his hand on his heart? I think this is a rhetorical question. People from Groningen do not expect them to be offered 100% safety, because that is unrealistic. They do expect us to do what we can. What we can do today is to create clarity by reducing that gas ceiling to the level necessary for security of supply rather than just about 40 billion. That's what we stand for.
ParlaMint-NL_2015-02-12-tweedekamer-8.u57	It wasn't a rhetorical question. The government must create security. That is one of her core tasks. There are other plans. I am unfortunately the last speaker today, but I will try to indicate how we want to offer full security. I would like Mrs Van Veldhoven to take this into account.
ParlaMint-NL_2015-02-12-tweedekamer-8.u58	I look forward to seeing Mr Öztürk's plan to guarantee 100% safety at all times.
