ParlaMint-NL_2015-01-20-eerstekamer-3.u1	I would like to welcome the Minister of Education, Culture and Science to the Upper House.
ParlaMint-NL_2015-01-20-eerstekamer-3.u12	I have just pointed out in my contribution that the shoulders in "the strongest shoulders the heaviest" are often the shoulders of middle-income parents. Especially if they earn a little more than morale, they will make a much greater contribution because of this system. So I do not see very soon how this idea of capacity is well reflected in this legislative proposal. Parents with a high income will say to their children: go borrow as much as possible, because we have a higher return on our own capital than what borrowing costs. So I do not see that connection with the principle of carrying capacity so quickly.
ParlaMint-NL_2015-01-20-eerstekamer-3.u13	I understand that, but that is because Mr Essers is not looking at the overall package. The 2012 government agreement, of which this overall package is part, shows that the average Dutchman is turning in about 1% purchasing power structurally to get the Netherlands out of the crisis, to make sure that we can stop borrowing, to go towards a budget balance and not to increase the burden. This calculation of the overall coalition agreement also shows that the lowest earners with the lowest purchasing power as a total group are making some progress, about 0.5% structural, and that the highest earners are falling by about 3%. It's got the loan system in it. Those with the highest purchasing power and the highest education, i.e. those in the most promising group, will deliver on average 1% structuralally within the next generation. You might even say that's little, but let's call that "reasonable." In any case, within the overall package, this does not deviate at all. In fact, it would be very strange not to consider the most promising group. In this way, therefore, the strongest shoulders bear the most serious burdens, but Mr Essers must of course look at the overall package and not pick a few things out of it, as he does.
ParlaMint-NL_2015-01-20-eerstekamer-3.u14	I am looking at the overall package and the increase in the burden on middle incomes, which adds to the impact of this bill. The Council of State has also pointed out that it is extremely worrying that middle incomes are increasingly declining.
ParlaMint-NL_2015-01-20-eerstekamer-3.u15	Mr Essers is asking the same question again, and I am therefore giving the same answer. Of course, you can zoom in on a subject. That's always easy. I can also look at his election program, at the credit transfers by the Central Planning Bureau in Keuzes in Map of 2012 and at the point clouds. In that case, there are people who are down 10%, including those who benefit. That's true in all programs. So I'm looking at the whole package, which this is part of. I am looking at the pass-through to which Mr Essers rightly refers. So I share his concern, because I too think that we should look at that. It would then appear that, on the basis of the overall coalition agreement, the strongest shoulders bear the heaviest burdens. The least well-off people are making some progress on the basis of the overall coalition agreement. Those with the strongest shoulders are the ones who are the most backward. This is part of it. If you pick a part of it, I can also do it on the other side, of course, you can preview quite different effects, but I think you should look at the total package.
ParlaMint-NL_2015-01-20-eerstekamer-3.u16	I think this is a curious statement by Mr Bruijn, because I think he is not looking at the whole package. He looks at the overall financial picture, but he does not look precisely at the effects mentioned by Mr Essers, for example on middle incomes. Mr Bruijn is not looking at what this measure means for the entire knowledge of our country. Education isn't just something you're going through to look for the best paid job later, is it? Isn't education something that our entire society carries and our total prosperity comes from? Then why would you put that burden on just one group?
ParlaMint-NL_2015-01-20-eerstekamer-3.u17	I welcome Mrs Gerkens' question. I have seen that the SP in the Lower House supported the motion to implement Veerman's recommendations. So we agree that at least we have to get money here. A cut of 800 million on education, as advocated by the SP in its election programme, does not seem to me to be the way to reduce the drop-out. For the time being, therefore, I believe that this is a very reasonable way to improve education for all, to spread the burden evenly among everyone, including among the most promising and well-earned groups, and in particular to prepare education for the future. Furthermore, I am going to go into the question of accessibility in detail later. So perhaps we can continue this exchange of views later, but I would, of course, be delighted to do so now.
ParlaMint-NL_2015-01-20-eerstekamer-3.u18	Mr Bruijn is objecting to the fact that the SP cuts 800 million in its electoral programme. We do not; we cut 1 billion and we cut down on the management layer. This represents 8% of the staff. We are cutting back 5% on that overhead and we are reinvesting that cut in education. That would have been an option, but I did not hear Mr Bruijn mention that option. I regret that, because there are opportunities within the budget to improve the quality of education, as the SP would have liked to have done with its 2015 counter-budget of 450 million, which no other party has done.
ParlaMint-NL_2015-01-20-eerstekamer-3.u19	Then it is very special that, for example, in the paragraph starting on page 48 of the credit transfers by the Central Planning Bureau, in Keuzes in Map 2012, it says that the net effects of the overall package of the Education chapter in the SP programme are dangling in comparison with the programmes somewhere below. So we have to go through the budget again now or at another time, but for the time being, that is the effect that has been calculated by the Central Planning Office, which has allowed you to calculate your programme on a voluntary basis. I also share the importance you attach to good education.
ParlaMint-NL_2015-01-20-eerstekamer-3.u20	Mrs Gerkens, finally, on this point.
ParlaMint-NL_2015-01-20-eerstekamer-3.u21	The explanation is very simple: the Central Planning Bureau works with certain models and has not calculated that this is removed from the management layer. The CPB didn't want to do that; the CPB didn't accept that. So the CPB transfer is different from ours. Ours looks a lot brighter.
ParlaMint-NL_2015-01-20-eerstekamer-3.u22	That's very good news. I am curious about Mrs Gerkens' contribution and about the precise recalculation and calculation of the whole package, because if that is better, of course we must choose to do so. The OECD report, published a few weeks ago, points to the dangers of excessive social disparities between the least well-off and the middle layer. Now this is not the place for a treatise on the merits of the meritocracy, although I too, like you, chairman, must undoubtedly immediately think of the book by Michael Young from 1958, by the way, a very good year. However, among the least well-off are at least the most low-skilled and unemployed. The OECD report therefore calls for investment in education, which is done with this bill, and for economic growth and jobs. We do not achieve this growth, these jobs, by increasing the burden of collective burdens or the burden of public debt. Our young people, who this is all about, will not want to choose for it either. A study brings a lot of benefits to society and to the student himself. Some, including in this Chamber, ask attention that the student is not an investor and that studying is not initially a business case; I also look at the PvdA group. I agree. A student is not initially an investor and studying is not initially a business case. Indeed, it is a matter of individual development; it is an important liberal starting point for society as a whole to have the socio-cultural and economic value. The Telder Foundation has recently developed its importance in a very readable writing about Bildung. I refer to great classical liberal thinkers like Von Humboldt and John Stuart Mill. But students themselves have raised concerns that, let's say, are of a different dimension and that are about finance. And if we take these students seriously, and we do that, just with this bill, then we need to look into those concerns. And then we see, according to the CBS, the income of highly educated people is almost twice as high as that of people without higher education. And as the expert consultation organised by CDA and SP showed: about the only thing the experts agree on is that the choice of a study after the introduction of this bill still pays off, also in the economic sense. According to CHEPS, study per year results in a return of 8% to 12% on working life. If you can then borrow that money at a significantly lower rate, then the consideration to be made for the average ho-fähige scholar must be done and it does not require an excessive neuron-tight brain nor a particularly complex education, a clever investor or a complicated business case. 200% minus 1% of that is still 198% of the income if you don't go to college. A large part of the more than a thousand questions asked in the House of Representatives about this bill dealt with this issue. According to some, a social loan system leads young people to be burdened with enormous debts for the rest of their lives. Others feared that young people "from fear of borrowing" would abandon a study. This led to a large number of investigations and reports. The various studies show that participation in higher education is not price sensitive and that increasing the own contribution has a limited and temporary impact on accessibility. Figures from the 2010 Nibud already show that students are not so much afraid of borrowing as of borrowing. As this lendivity sublimates to a large extent in the consumer context, a shift to investment may well have a didactic effect. According to the CPB, last week, access to education in the Netherlands is well regulated, including for the lower socio-economic classes. And that accessibility does not change, according to research organisation CHEPS, by the introduction, or rather the return, of a loan system. The SCP has also found from research that no student has any doubts or renounces a study by the loan system. They're too smart for it. The same applies to schoolchildren from low-income families. Traditional participation patterns tend to recover rapidly. On the basis of international experience, the CPB estimated a temporary decrease in participation of around 2%, i.e. for HBO and WE together 2,700 per year. If the students mentioned by the CPB who will temporarily cease to be influxes fall within the group of 13,000 HBO and 2,000 WE students who would have fallen out in the first year anyway, and that is not ruled out, even by the CPB, then this legislative proposal represents an important step towards a more conscious choice of study. This can only be established in retrospect. Of course, you can't start polling with the question of whether someone's gonna be a fallout later. The VVD Group therefore thanks the Minister for her commitment in the reply that it will map this and the impact on participation in extracurricular activities such as years of administration. My group calls on the Minister to inform this Chamber of the findings on this matter. I'd like a commitment. By the way, the VVD understands that a numerically unacceptable dropout limit cannot be set, which was discussed in the written round without an understanding of the nature of the dropout, for example, if it were to some extent the people who are already failing; the point made by Mr Essers.
ParlaMint-NL_2015-01-20-eerstekamer-3.u23	I totally agree that the choice of whether or not to study is not a business case, but the assessment of how many students are going to study less as a result of this bill is of course not a business case either. Any student or potential student who claims not to dare because of this bill is a real loss, is a lost student. So I object to saying that it's gonna be okay and it's gonna be okay. This gives you the chance that a decent group of students is now lost for scientific education. I see Mr Bruijn nodding, so we agree. We really need to make sure that the fallout is as low as possible. We have to fight for every student. I therefore ask Mr Bruijn when, in his view, monitoring should lead to intervention. Is that when the CPB's expectations are exceeded in a negative sense and there is more than 2% down? What period does Mr Bruijn intend to look at this? I believe that the current generation of students, as well as the generation of later students, is entitled to know that.
