ParlaMint-NL_2015-03-17-tweedekamer-22.u1	I would like to welcome the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-03-17-tweedekamer-22.u12	Mrs. Van Tongeren is messing things up. Europe says you have to reduce it, but it leaves the Member States free to decide how that happens. I'm glad. That's good. The Netherlands opts for a ban, not only on the shirt bags, but on actually all free plastic bags. That's way out of line. I think that is far too heavy a remedy. This goes beyond the objective of reducing plastics and plastic packaging waste. I share that objective with Mrs van Tongeren, but as a liberal I am not in favour of such a means of enforcing a legal ban that you have to enforce and with which you will have all the problems. I really can't support that. It's about the goal, we share it, but the cure is far too heavy.
ParlaMint-NL_2015-03-17-tweedekamer-22.u13	I find it disappointing that the VVD is putting down a caricature of the plastic police that goes out with a slot hat. This concerns the environment, the environment of Mr Dijkstra, his children and grandchildren. This environment is under enormous pressure because of the plastic that enters the environment. Does Mr Dijkstra know that the retail trade is looking for measures by the government to get support? The retail trade also wants to get rid of those plastic bags, but says: we really need a government that gives us support, so that it is clear to customers what the new standard is, namely: no purse and if you really need one, then you pay a few cents. In any case, we still share the polluter pays principle. I therefore believe that this is very justified and that Mr Dijkstra's caricature is certainly not appropriate.
ParlaMint-NL_2015-03-17-tweedekamer-22.u14	I see that as a difference of opinion. If you're gonna do something, don't you have to know how to maintain it? If you're gonna do something, don't you have to know what the environmental impact is? I've asked 52 questions to the Secretary of State, but she can't prove it. Then I think, what are we doing? The plastic soup and all kinds of gut sensations are included. No, plastic in the street is not good and plastic in the litter is not good either, but a legal ban only in the Netherlands on plastic bags that apply in that width ignores everything we stand for. I'll give you an alternative: paper. Paper bags, they're ideal. If you look at the environmental impact, and the Knowledge Institute Sustainable Packaging has done so, you can see that the environmental impact of manufacturing a paper bag is more than a plastic bag. A legal ban also ignores the current recycling of plastics. Many retailers here in the city have plastic carrier bags made of recycled material. You're gonna kill that like this. I think that's a shame. It really ignores the environmental impact. It's too heavy a drug. It's just not gonna work.
ParlaMint-NL_2015-03-17-tweedekamer-22.u15	I understand that it is very disappointing for a liberal to come up with such a ban. However, many entrepreneurs are happy with such a ban, because they do not like giving away free of charge. Is my VVD colleague blind to the damage caused by such wandering bags to humans and the environment? A lot of animals get plastic in the stomach, for example in the North Sea, where the plastic ends up. In 95% of cases, it is. This means that this involves a lot of animal suffering. Is Mr Dijkstra blind to that?
ParlaMint-NL_2015-03-17-tweedekamer-22.u16	No, I'm not blind to that. But when I look at the statistics and the place where the plastic soup comes from, it's not about what's blowing into the sea in Scheveningen. No, that happens in Bangladesh, in Vietnam, in the Philippines, in China. That's where the plastic soup comes from. Let me give you an example. How the hell do you take your 400 grams of green beans, your 12 mandarins and your box of strawberries if you don't have a purse? When you get home, it's gonna be a smoothie. I really don't like that.
ParlaMint-NL_2015-03-17-tweedekamer-22.u17	My motto is: think global and act local. Let's set a good example. This ban gives us the opportunity to set an example worldwide.
ParlaMint-NL_2015-03-17-tweedekamer-22.u18	The measure goes too far. I find those symbols if you cannot indicate whether and, if so, how you are going to maintain and what its environmental impact is. The Secretary of State can't prove any of that. As far as we are concerned, therefore, this measure does not exist.
ParlaMint-NL_2015-03-17-tweedekamer-22.u19	In itself, it is always good to check whether policy can be implemented. Let us assume for a moment for the sake of the argument that Mr Dijkstra has a point. Then what is the alternative of the VVD? The VVD always says that people just have to throw their shit in the trash and pay attention themselves, but I don't see any VVDs going to check that out at people's homes. So this shit's just gonna be on the street. What plans does the VVD have to ensure that the oceans and beaches are not so polluted with plastic?
ParlaMint-NL_2015-03-17-tweedekamer-22.u20	I refer to the green deal, the reduction of plastics in the chain. The Secretary of State has started ambitiously and is talking to retailers in the Netherlands and other industry organisations about how we can reduce the use of carrier bags and plastic packaging together. Today I read something very beautiful by Albert Heijn, who looks at it. We must not forget that plastic has a function. It reduces food waste and makes things more sustainable. You do that together. You don't unilaterally impose a ban from the government. I understand that entrepreneurs are in favour of this, because it is a earning model. When you can ask for €0.05, €0.10 or whatever you want for a bag, you will get that money. I'm fine with that. Only, a legal ban means maintaining, implementing and controlling and also, quite simply, knowing what the environmental impact is. That has still not been made clear, despite all my questions.
ParlaMint-NL_2015-03-17-tweedekamer-22.u21	I asked how effective and verifiable the plans of the VVD are. What effect do they have to actually reduce the pollution from plastic? I assume that's what the VVD wants. Maybe she doesn't want to and she says we don't have to do anything, because Bangladesh is worse. But if the VVD says to the Secretary of State that it still has some doubts about enforcement, I think that the VVD should translate its own fairy tales of green deals into real results, which we can all control here. Then we can support the VVD once in its approach to environmental problems.
ParlaMint-NL_2015-03-17-tweedekamer-22.u22	I see that as an announcement with which I disagree. The green deals work. We have a lot of green deals and we still make new green deals. That goes on the basis of mutual trust and respect. You make arrangements for the longer term. We also have a Framework Agreement on Packaging, in which we give clarity to the market for ten years. What we're doing now is saying to this green deal, "Business life, it's all not working out. There's someone from the Labour Party who wants it a little faster. The Secretary of State loves that. You know what? We ban it, because it feels so good." I'm not going for that.
ParlaMint-NL_2015-03-17-tweedekamer-22.u23	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that many residents have no understanding of what substances are being transported by their municipality;]] [[noting that, under the Aarhus Convention, residents have the right to information about their living environment;]] [[calls on the Government to make it clear which substances are transported on a yearly basis,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that tens of thousands of people experience nuisance from vibrations and noise along the tracks in Brabant and East Netherlands, among others;]] [[calls on the Government to take stock of all possible measures to reduce vibration and noise nuisance and to inform the Court of Justice of this year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-214]] [[This motion was tabled by Mr Cegerek and Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-215]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u24	The last motion resembles the motion we just tabled. However, I am missing something, namely the cost of implementation. They are mentioned in our motion. Is that a viable map for you, too?
ParlaMint-NL_2015-03-17-tweedekamer-22.u25	Your motion just passed. I think it would be wise to wait for the Secretary of State's answers. We shall then give an opinion on it.
ParlaMint-NL_2015-03-17-tweedekamer-22.u26	I ask the PvdA Group if it is prepared to support my motion on the manure plant at Landhorst. The Labour Party in Brabant explicitly asked for this. The Congress of the Labour Party also adopted a motion on this subject, with the support of the Dutch Parliamentary Group. But the cabinet doesn't want it. So the ball is with Mrs Cegerek. I would like to hear from her whether she has a positive assessment of the motion and wishes to support it.
ParlaMint-NL_2015-03-17-tweedekamer-22.u27	I just saw some motions from the Party for the Animals. Mrs Ouwehand brings in all sorts of things and puts this on the sign of the Labour Party. Because the Labour Party wants it this way in Brabant, it should also be regulated nationally. It is right that the PvdA Brabant has given such a signal. The competent authority is the province. It must therefore also be regulated at provincial level.
ParlaMint-NL_2015-03-17-tweedekamer-22.u28	I ask this because not only the Labour Party in Brabant has said that it does not want this. A motion has been tabled at Congress. The Group of the European People's Party (Christian Democrats) and European Democrats has explicitly said that it agrees with the proposal and that it wishes to support it. The cabinet, however, under Secretary of State Dijksma was not in the mood. The congress followed the Dutch Parliamentary Group and asked the Dutch Parliamentary Group to oppose the arrival of a manure plant there. Then it is obvious that the House of Representatives will do the same, rather than say yes at the congress and sneak back into the House of Representatives to follow the line of the cabinet?
ParlaMint-NL_2015-03-17-tweedekamer-22.u29	You shouldn't be twisting things around, Mrs. Ouwehand. You must be realistic. You're bringing in all sorts of things. The province is about this and has to make a decision about it. I don't agree with you. I've had this little debate with you before. I would like to do it again, but as far as I am concerned, this has no added value.
ParlaMint-NL_2015-03-17-tweedekamer-22.u30	Mrs Ouwehand, we are not debating this. It's already fed. The vote will follow later and the position of the Labour Party on your motion will be shown.
ParlaMint-NL_2015-03-17-tweedekamer-22.u31	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recent RIVM studies show that people in the Netherlands live on average four months shorter by air pollution with nitrogen dioxide;]] [[calls on the government, in addition to a policy aimed at achieving standards, to develop policies aimed at a permanent reduction of emissions and concentrations, including in (just) compliant) areas;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recent RIVM studies have shown that people die before due to nitrogen dioxide in the air;]] [[Whereas the effects of air pollution add together;]] [[calls on the Government to carry out an additional study on the cumulative effects of pollutants in the air and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Tongeren, Ouwehand, Smaling and Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-216]] [[This motion has been proposed by Members Van Tongeren, Ouwehand and Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-217]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u32	The Secretary of State asks for a few minutes' suspension before the answer is given.
ParlaMint-NL_2015-03-17-tweedekamer-22.u33	Mr. Chairman. I'll handle the first four motions in one go. That's probably not surprising. I have already discussed this with Mrs Ouwehand in the AO. The provinces and municipalities are responsible for the permit for locations of manure treatment plants and fertilisers through the spatial policy. The cabinet is not responsible for issuing permits; that is what local authorities do. The cabinet cannot therefore suspend the authorisation of these manure treatment plants. I therefore advise against the first four motions.
ParlaMint-NL_2015-03-17-tweedekamer-22.u34	I can imagine that the Secretary of State wishes to respect his own powers. However, there will be further information on the risks posed by fermentation plants. Is the cabinet prepared to call on provinces to suspend the authorisation? The indications that there are dangers to public health and that there is pressure on the living environment are quite real. This may lead us to conclude that it is not justified to continue this development now and that we need to take time. Surely such a call to the respective provinces would be in place?
ParlaMint-NL_2015-03-17-tweedekamer-22.u35	I do not share that opinion with the Animal Party. I'm not going to appeal to the provinces on their responsibilities. It is important that the responsibility lies with a decentralised government. It will take the information and it will have to issue the appropriate permits for reasons. I'll leave that to the local government. I come to the Geurts/Van Helvert motion on part No. 211 on the vibrations. It is my intention to inform the Court at the end of 2015 about the possible measures and their costs. These are mainly technical measures and not options such as reviewing the use of the Betuweroute. Because of that last point, I therefore advise against the motion.
ParlaMint-NL_2015-03-17-tweedekamer-22.u36	I'm sorry about that. In our view, and also in the eyes of the Secretary of State, the Betuweroute can be more heavily taxed. The Secretary of State will have to take that into account when it comes to the vibrations. At the moment, the Betuweroute is less burdened, to put it this way. What would be against taking this point with you in this way?
ParlaMint-NL_2015-03-17-tweedekamer-22.u37	The Betuweroute is a dedicated line for goods. That goes through in-planning. As I said, we are examining the possible technical measures. In this sense, we are not going to look at the use of the Betuweroute. If Mr Geurts wishes to leave that last point in his motion, I regret to say no to the motion. I come to the motion by Mr Dik-Faber/Van Tongeren on part No. 212. I think Mrs Dik-Faber knows about what I'm going to answer. Through the background concentrations, the contribution of mopeds in and outside the cities is taken into account in the calculations of air quality. The contribution of mopeds to background concentrations is low. Only in places where the number of mopeds is relatively high compared to the number of passenger and van cars can the contribution of mopeds to local air pollution become relevant. However, since most moped traffic is not available in municipalities, their local contribution to the concentration in the monitoring tool cannot be taken into account in calculations. That's why I'm dissuading the motion.
ParlaMint-NL_2015-03-17-tweedekamer-22.u38	I agree with the Secretary of State that the overall contribution of mopeds to air pollution is low, but location-specific, in large cities, there are really serious problems. I don't understand why the Secretary of State says, "I can't do it." In large cities like Utrecht it has been calculated and there it appears to be a big problem. If we know how big the problem is, we can take action. I do not think it is enough to include it in the background concentration. A large city like Amsterdam, Rotterdam or Utrecht has a completely different local situation than a village in Noordoost-Groningen. So I ask again: if a municipality like Utrecht can do it, why should we not work together? It is important for local public health to better map this.
ParlaMint-NL_2015-03-17-tweedekamer-22.u39	I have just said that the contribution is small. I don't see the return on doing this. It is taken into account, namely in the background concentrations. That's where I want to leave it. I'll come to the motion in part No. 213. If I may interpret Mr Dijkstra's motion in such a way that the Chamber would like to see it, then I am prepared to refer the ministerial arrangement to the Chamber.
ParlaMint-NL_2015-03-17-tweedekamer-22.u40	I thank the Secretary of State for her answer. However, a ministerial arrangement is of a lower order than a General Measure of Governance. I would nevertheless like her to state in her response that it is done through a General Measure of Management.
ParlaMint-NL_2015-03-17-tweedekamer-22.u41	I don't intend to do it through an AMvB. It's very simple. The decision packaging went through the Council of State. That's what I'm basing this ban on. That is why it is also a ministerial arrangement. Like I said, I'm willing to put these in front of the Chamber.
ParlaMint-NL_2015-03-17-tweedekamer-22.u42	It is good in itself that the Secretary of State wishes to preside over the ministerial regulation. Can it also provide them with an opinion from the Council of State? Then I'm totally happy.
ParlaMint-NL_2015-03-17-tweedekamer-22.u43	The answer to that is no. If I'm to interpret the motion in this way, I must advise her not to. Mr. Chairman. I'll come to the motion in part No. 214 on the transport of substances by route. I think transparency is important. The Basic Network Act entered into force on 1 April and provides for it. The types of hazardous substances that can be visited each year can be derived from the annex to the Basic Network Scheme. What dangerous substances have actually passed through will be included in the annual public reporting base network to the House of Representatives. Further work is being carried out on publishing the figures on the rail transport of dangerous substances over the years 2006 to 2014. That is why I see this motion as a support for policy. Then I come to the motion on part No. 215. I agree that it is important to pay attention to noise and vibration. That's what I've already argued in the AA. Neighbors are bothered by these things. I also think it is important that serious obstacles are avoided. There is a great deal of knowledge about what measures can be taken to combat noise. A legal balancing framework is available for this. However, this is not yet the case for vibrations. It's not easy to make this either. Rail projects do take action against vibration nuisance. I have also given examples of this to the Chamber. The motion calls for an inventory of measures. I have announced that further research will be carried out this year. The aim is to achieve a full understanding of possible measures against vibration nuisance, for both new and existing situations, and of their effects and costs. I will inform the Chamber at the end of this year. In this light, I leave the verdict on the motion to the Chamber. I come to the motions on pieces Nos. 216 and 217. Air quality has improved in recent decades. When the NSL, the Air Quality National Cooperation Programme, expires in 2017, we will meet the limit values almost everywhere. I work together with municipalities and provinces to improve air quality, not only to meet the standards, but also because cleaner and healthier air inside and outside our cities is one of my priorities. This research by RIVM confirms once again how important it is that we continue to work on a better living environment, even when standards are met. As indicated when replying to the questions put by Mr Visser and Mr Dijkstra, I am working together with the major cities on an exploratory action plan to see what is needed locally to improve the situation in the hotspots, where the biggest problems are. I will be coming soon with a written response to this report. That's what the Chamber asked for. If the Group of the Greens/European Free Alliance's interpretation means that we are putting forward policies to ensure that we meet the standards everywhere and then continue with the policy and I move on to the motion in part No. 216, if I may read it, I see it as a support for policy. The motion in part No. 217 is about cumulation. This is already addressed in the research. That motion, too, therefore, supports policy.
ParlaMint-NL_2015-03-17-tweedekamer-22.u44	That discussed all the motions that have been tabled. I thank the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-03-17-tweedekamer-22.u45	Before we continue with the next VAO, I would ask Members, including Mrs Van Tongeren, to sit down for a while, so that we have enough members to open the next VAO. Then we can get on with the meeting.
