ParlaMint-NL_2015-02-10-tweedekamer-24.u1	I would like to welcome the Secretary of State for Security and Justice.
ParlaMint-NL_2015-02-10-tweedekamer-24.u15	Mr. Chairman. The aim of the legislative proposal we are discussing today is to strengthen the contractual position of authors and performers vis-à-vis the operators of their works. The legislative proposal therefore provides a framework within which agreements can be made tailor-made. The underlying idea is that tailor-made work for the different sectors should come from the parties concerned. They are referred to as market players. That sounds good, of course, but before I started the text of the bill, I first reviewed the text of the Copyright Act and the Related Rights Act. If you let all the concepts be reviewed, it's starting to dull you like a layman. Let me highlight a few. According to Article 1 of the Copyright Act, copyright is "the exclusive right of the author of a work of literature, science or art, or of his successors, to make it public and to reproduce it, subject to the limitations, laid down by law." And it says: "Keeping evidence of the contrary shall be held for the creator who is designated as such on or in the work, or in the absence of such an indication, who is made known by him who makes it public when the work is made public." That doesn't make it much clearer. Then I looked at Article 1 of the Act on Related Rights. In it the following definition is given of performing artist: "the performer, singer, musician, dancer and any other person performing, singing, or performing in any other way, a work of literature, science or art or an expression of folklore, as well as the artist performing a variety or circus number or a puppet game." Creators and performers are in ordinary Dutch those who are engaged in writing, making music, making art, dancing or doing science. They do not deal with the legal hair-clubbing in the laws that have just been cited. They've got better things to do. All these concepts and provisions in these laws gave me the feeling that the trees no longer see the forest. You can compare it a bit with the situation of the benevolent citizen who fills out the necessary tax returns once a year. He's not a party to the Tax Administration with all his expertise. Today's key question is therefore whether the contractual position of these people is actually strengthened in practice with respect to the operators of their works, who are professionally engaged in doing so. Important changes are proposed in the legislative proposal. Firstly, in addition to being able to transfer the right to publish or to reproduce a work, it is made possible to grant a licence to do so. The granting of a licence must be by deed. Only the powers specified in the Act shall be delegated. In principle, therefore, future powers are not. Secondly, there will be a new chapter in the Copyright Act which regulates the so-called exploitation agreement. This Chapter provides, inter alia, that the creator may claim a fair remuneration from his other party for the granting of that operating power. The creator is entitled to an additional fee if the previously agreed fee is seriously disproportionate in relation to the proceeds of exploitation, the so-called bestseller provision. The creator may also terminate the agreement if the operator fails to operate the work sufficiently. That's what we call the non-usus rule. There will also be a Disputes Commission that can solve problems between creators and operators. Associations of creators may also refer disputes to that Disputes Commission, which is mentioned in the explanatory memorandum. These provisions have been applied mutatis mutandis to the Act on Related Rights. So they also apply to performers, or actors, singers, musicians, dancers and so on. Although the PVV broadly agrees with the proposed legislative changes, I have a number of questions and comments. Before mentioning a number of issues which my group believes deserve attention, I am the first to ask the following question. Why is the creation of the Committee on Disputes included in the legislative proposal left to the market, as the purpose of the bill is to improve the protection of creators against professional counterparties, especially given the remark in the explanatory memorandum that creators are afraid to get their rights because of (too) high costs of judicial proceedings? This has been a reason for the government to establish a basis for a dispute settlement committee. But then why isn't they going through with it? I would like to receive a response from the Secretary of State on this point. My group still has questions on the following issues. Firstly, creators' organisations have been advocating a so-called "use it or lose it" clause for years. Such a provision aims to enable creators to recover their rights if there is no or insufficient exploitation. For music authors, this has now been settled through various court cases, but that is case law and not legislation. Is the so-called non-usus rule, as proposed in the new Article 25th Copyright Act, to be regarded as the desired "use it or lose it" clause? In my group's view, it is not for the following reason. The proposed non-ususus rule requires the operator to operate. If he fails to do so or fails to do so, the creator may encourage the operator to continue to operate or return the operating right to him, so that the creator can transfer that right back to another operator. So the initiative is here with the maker. The maker must monitor whether exploitation is being carried out and, more importantly, the maker must also take action if the operation is insufficient or even absent. In a "use it or lose it" clause, it appears that the right to operate is void and automatically belongs to the creator. So the question to the Secretary of State is whether this is true. If so, why has it not been incorporated into the law in this way? Secondly, the new rules of the operating agreement apply only to the contractual relationship between the creator and the operator acting as intermediary in making the work available to the public. Rules do not therefore apply to contracts with end-users, such as the user of iTunes software and the website. Contract contracts, for example on the design of a logo or a corporate identity, shall not be subject to that operating agreement. On page 21, the explanatory memorandum describes the so-called kickback scheme. That provision states that a term under which a maker is obliged to pay back, in part, creators' fees received from a collective rights organisation to the client is unreasonablely burdensome. Aren't these two things contradictory? Thirdly, on page 13 of the explanatory statement, it can be read that the Minister of OCW can determine the amount of fair remuneration due to the creator when granting the operating power. The establishment of a fair remuneration should be carried out in such a way as to serve certain interests, such as the preservation of cultural diversity, access to culture, an objective of social policy or consumer interest. However, the Ministry of OCW or the government may also be the client. So if there is not the danger of conflict of interest in such a situation, let me call it a double-hat situation. Fourthly, in the section with special provisions for film works, the current Article 45d of the Copyright Act provides that the authors are to be deemed to have transferred to the producer the right to publish, reproduce, add subtitles from the moment of completion, or as soon as the filmwork is ready for screening, and to synchronize the texts thereof. The bill adds: renting out the filmwork or otherwise making it public. Does this mean that the creators are also supposed to have transferred those rights at those two moments? If so, isn't that a weakening rather than a strengthening of their position? The amended article 45d of the Copyright Act also provides for a proportional remuneration for a number of creators, including actors, directors and screenwriters in the case of broadcasting and cable transmission of films and television programmes. Following the letter of amendment, key actors are also excluded from the presumption of transfer and are entitled to fair remuneration. In the meantime, the letter of amendment also provides that this fee is also payable in the situation of video on demand. Nevertheless, I still have the question as to whether this proposed Article 45d of the Copyright Act is future-proof and thus also strengthens the position of the creators mentioned in that article. In the explanatory memorandum, it is not in vain that the role of operators under the influence of technological developments is constantly changing. New media, such as the Internet, will bring new operators along with new operating opportunities. That's what the Secretary of State himself writes, so I'd like to hear his response to that question. Then I have a very small point. The text on the Ministry's website, dated 9 February last, states that the creators are entitled to a "proportionally fair remuneration." But the bill just says "fair compensation." Is there not a limitation by adding "proportional"? Finally, it is remarkable that the government has not launched a specific examination of the economic impact of the proposed amendments. It is precisely because this is a major change in copyright that my group sees as remarkable. Will books, works of art, films and so on become more expensive for citizens? For my group, measuring is knowing. I would therefore like to hear an answer to that. I'll come to a conclusion. So there are questions about the whole of it, but the legislative proposal is a step in the right direction. The PVV Group is therefore in favour of it, but it awaits its response with interest.
ParlaMint-NL_2015-02-10-tweedekamer-24.u16	Mr. Chairman. As Mrs Helder quite rightly said, this is indeed a very important legislative proposal. It's also quite a complicated bill. It's nice that we can finally deal with it today. The bill has been on hand for quite a long time. There has, of course, been an extensive consultation. In recent weeks, the Court has also consciously waited for the ongoing negotiations between the parties of the final operators, united in RODAP, and the makers, united in PAM. However, it was worth the delay, so we could read yesterday. However, it is a good thing that this bill is being discussed today, so that it can become a reality as soon as possible. Indeed, this bill will strengthen the position of creative makers vis-à-vis those of film producers and end-users, but also broadcasters, for example. That's good. This is indeed done by inserting in the legislative proposal an additional chapter called "operation of contract law." Mrs Helder mentioned this in the fine summary she gave of this bill. I thank her for that. On this basis, creators shall be entitled to a fair remuneration and may be entitled to an additional fair remuneration for the granting of the operating power. In doing so, the exclusive licence shall be treated as a transfer of copyright. This is the same in the economy, but that is also the case in this legislative proposal. This bill is urgently needed. There are unequal relationships between smaller, self-employed, creative and on the other hand professionally organized companies which are an exponent of the music or film industry, while actors, authors and all other people who contribute to the art, who make or shape art, are often dependent on themselves. This proposal protects those self-employed makers from, for example, strangulation contracts and provides them with a fair remuneration for their work. That's what it's all about in the end. That is certainly a step in the right direction. Despite the broad satisfaction that may have been expressed in the consultation, we have taken note of this with great pleasure and reassurance. My group certainly sees a number of points that can be improved. I'm just gonna say that specifically. This brings me to a dilemma that I encountered during the discussion of this bill. If we deal with a legislative proposal in the Chamber, we, as co-legislator, have the instrument of amendment. We can help rewrite the law to make him better. If we do that with a majority of votes, the law will change directly because of what the Chamber has devised. It is used to present the amendments, the proposals for legislative change, prior to the debate with the ruler. In this way, the ruler, in this case the Secretary of State for Security and Justice, can give an opinion or advice on the amendment. On that basis, the Chamber can in turn determine its voting behaviour. Now, as Mrs Helder has already made very clear, this law has not only been complicated but has also been extremely active in the copyright polder, as I would like to mention. And there's not much wrong with that. I am used to it too, because I also have living and economic affairs in my portfolio, and there we also know a housing polder and an industry organisation polder, but in this case it goes beyond just a lobby where every Member of Parliament can take note of things and then just have to make his decision. A covenant was concluded yesterday between two parties and the possible submission of proposals by me as a Member of Parliament could jeopardise that deal. In other words, if I am now proposing an amendment, this means that I might cause problems to the parties that have made a deal, which I very much welcome, while, as a representative of the people, I think that my proposal would be an improvement in the law. That dilemma has led me to prepare a number of amendments but not yet to submit them. I will ask questions about it to the Secretary of State, but if I do not think that the questions are adequately answered, I will ask for a third deadline in order to create the possibility of getting the response of the Secretary of State and not just getting it in writing. I hope that colleagues will be able to agree with that. I'm just going to announce it. I would like to mention a number of points relating to the legislative proposal and the possible improvements. This concerns first of all the scope. In his somewhat brief contribution, Mr Van Wijngaarden also spoke about it. There are three types of agreements that are not covered by the protection provided for by this bill. First of all, these are agreements where exploitation is not the main objective, i.e. all kinds of agreements which do affect exploitation but do not have the main objective. Can the Secretary of State indicate if photos placed on Facebook and other social media are included? If that is the case, the extension of the scope, which is currently not regulated, could protect users from misuse of their photos in advertisements on Facebook. I'd like to get a reaction to this. We are thinking of an amendment on this point. I come to the agreements, the second category to which the Benelux Treaty on intellectual property applies. For example, if a model is designed to order, the client is the orderr and not the designer himself. In the event of an unfair relationship between the client and the designer, this could lead to problems and the extension of the law would give the designer more protection. Can the Secretary of State explain again why this group is excluded? I come to the third category, the fictional creators. The law is limited to natural persons. This excludes companies, including small businesses such as sole proprietorships, from legal protection, while small one-man companies could benefit from additional protection under this law, as they are less strong than larger professional organisations. Question has made it clear that there would be a reflex effect that, if there is any doubt, the judge will ultimately rule on the basis of this law. However, I am asking the Secretary of State why the fictional creators, small businesses, cannot be covered by this law. In this law, the film article, Article 45d, has a key role to play. This confirms once again that there is no change to the so important presumption of transfer. This means that, unless otherwise stated in writing, the creators are deemed to have transferred the right to operate to an other party, who may use it to operate or produce it. Fair remuneration, which is now legally confirmed, is regulated by compulsory collective management, at least in the linear part, except for the non-linear part. Yesterday, two organisations made a good deal of agreement on this through voluntary collective management. That is fine in itself, but with the letter of amendment of July 2014, a change has been made, so that only the screenwriters, directors and the main players through neighbouring law are given proportionate fair remuneration, and the rest are not. In doing so, the Secretary of State seems to forget that there are not only feature films, but also documentaries and animated films, and that a beautiful side role or a second writership can also be an important contribution to a production. I'm not even talking about all kinds of future forms. The PVV also pointed out: how future-proof is this law? Why is this change and, second of all, containment coming? My group has an amendment in place on this point. However, we are not yet submitting this. The story seems to be that the deal between the makers and the operators, PAM (Portal Audiovisual Makers) and RODAP (Rights Consultation for Distribution of Audiovisual Productions), will be put under pressure again if there is a broadening. We do not want this on our consciences, but we do not want it to take us hostage. So I would like a response from the Secretary of State to the possible consequences of such an amendment to the deal that was concluded yesterday, on which the Secretary of State said yesterday in the media that he is so happy with it. Would this broadening mean that CBOs other than NORMA, VEVAM and Lira will also appear, for example the CBO Pictoright? I'd like to get a reaction to this. I am pleased to see that the Secretary of State Mr D66 has discussed this more often in the letter of amendment for the film article, and has looked carefully at previous D66 proposals on the radio model. Although he is not proposing an actual radio model, I know that he is getting as close to that model as possible within the existing directives. It proposes a system of compulsory collective management which reduces transaction costs for the payment of rights fees. In addition, this system enables small rightholders to collectively negotiate a fair remuneration. Unfortunately, we have talked about this in general consultation about two or three months ago, and we cannot fully introduce the radio model, because the licensing issue is not regulated at European level. There are no more total repertoire licences because there is no longer a monopoly for the CBOs online. That has to be solved in Europe. I won't be complaining about that right now. However, in the area of the film article, of the audiovisual part, you could speak of a radio model light. As a positive person, I can only see that for a moment. In addition, the Secretary of State may have been inspired by the Spanish law, which includes a similar system. However, the fair remuneration and the right to it are regulated not only for audiovisual producers as proposed here but also for audio works, i.e. for music. For the exploitation of audiovisual works, as well as for audio exploitation, Spotify is collected collectively in Spain, for example. I would like to point out that there is often a discussion on the distribution of Spotify and the way in which it is paid out. Thomas Acda and Henk Westbroek but also Taylor Swift and Radiohead have complained about this in the past. In addition, the Secretary of State has previously indicated that the category of music is best suited to the radio model. Then why does he come up with a kind of radio model light for the audiovisual part, when he doesn't regulate anything in this law for the audio part, for which it's actually more suitable? I'd like to get a reaction to this. Is the Secretary of State prepared to consider this in the future? I would just like to comment on the practice of collective management organisations. It is clear that D66 is in favour of the idea of collective management, independently of the online restrictions, because it reduces transaction costs and increases the amount of money to the creators. They have an organization behind them that can ensure that they get their earned money. That is why this bill, which protects the position of creators, also chooses to do so through collective management organisations, through compulsory collective management. In itself, that's a logical choice. However, the practice is unbearable, because collective management organisations are still not organisations that everyone is talking about in a very positive and praiseworthy way. This is the case with each organisation; some are also more than 100 years old. Of course, they do a lot of good things, but it is still said that they are not always transparent about the formation of tariffs and their creation. This applies both to the producers in terms of the levels of benefits and to the claims made, for example towards producer organisations. Secondly, the question is whether the contracts used by the CBOs for the transfer of rights are always beneficial to the creators. That is why, years ago, D66 raised the question of whether we should also protect the creators and artists from collective management organisations. We have previously proposed that the supervision of collective management organisations should be transferred to the Authority for Consumer & Market. I would like to say that this proposal has just failed. We are, of course, still looking for ways of strengthening that surveillance. That's what D66 sees fit to do. There are four ways to improve the position of creators vis-à-vis collective management organisations. This can be done first of all by more rigorous supervision, which I have just spoken about, and secondly by increased competition between collective management organisations, which can only be regulated at European level, and in the third place by greater freedom of choice, for example, on the basis of the "video on demand" part, which is subject to voluntary collective management, and in the fourth place by better bundling through the one-stop-shop idea, which has also been discussed for a long time. The last three cases are in one way or another, but they do not always lead to anything. I believe that we should therefore mainly refer to the Supervisory Act, which entered into force on 1 July 2013. On this basis, the supervision of the CBOs has been widened. The new law should lead to greater transparency in the activities of CBOs so that they can be better monitored. For example, the Supervisory Board should agree to a unilateral increase in tariffs, the licensing conditions, discount arrangements, management costs and ancillary functions of directors should be made public and it should be possible to set limits on the management costs of CBOs. Top salaries are dealt with and the college may also impose a penalty charge or administrative penalty. Yet there are still negative signals. Is the Secretary of State therefore prepared to review the supervisory act quickly? In doing so, I would like to aim at the time when the European Collective Rights Management Directive needs to be implemented, namely 10 April 2016. Is he willing to evaluate the Surveillance Act before then? Finally, I have three comments to make. The types of exploitation and the developments in it are moving very quickly. The VVD spoke of an evaluation of this law after three to four years. Is the Secretary of State prepared to review the law in two years' time? I am also asking this question in the context of D66's request to modernise laws and not to adopt laws that are rapidly ageing. Due to the advanced technology, the latter is a serious scenario. Is the Secretary of State prepared to actively ensure that the Disputes Committee is accessible? How's he gonna do that? Finally, I would like to comment on the non-ususus clause. There are concerns among authors whether the case law built up by lawsuits is crossed by aspects of the law that would be less protective than the case law. Can the Secretary of State take care of those concerns? This brings me to the end of my input. I see I've passed ten seconds.
ParlaMint-NL_2015-02-10-tweedekamer-24.u17	I see it, too. We have purchased a special screen for you, to show exactly how many seconds you have left. It was neat in time, thank you very much.
ParlaMint-NL_2015-02-10-tweedekamer-24.u18	Mr. Chairman. The PvdA is pleased that, after many negotiations and adjustments, there is now a bill in front of us that gives writers, composers and performers a stronger legal position to apply for fair compensation for their released work. The PvdA believes that the position of creators is finally improved by the coming of this law. Small entrepreneurs in the cultural world, who try to live off their creations, are thus given more certainty and a better negotiating position towards the operators. My group is convinced that their voice can now be heard better and that this law offers them plenty of opportunities for a healthy future as creative entrepreneurs. The imbalance of power between the large and small negotiating parties is also present in this sector. The difficult process which preceded this plenary debate has shown that there is a great imbalance of power. The PvdA believes that it should be reduced. My group wants the Secretary of State's guarantee that this new law does not undermine the protection of authors and artists on the basis of existing legislation. An unintentional weakening of the legal position of the maker should be avoided. I would like a response from the Secretary of State. In the difficult process of submitting to the Chamber, a number of provisions have been lost, or become less ambitious. Filmmakers, for example, were very disappointed with Article 45 (1) of the Treaty. Until yesterday, compensation was negotiated, but eventually white smoke appeared and an agreement was signed that the creators are satisfied with. It is now important that many creators can do what they are good at making films, and that they can also earn enough money from their creative achievements. The aim of this article, which is to reduce inequality in the negotiating position, is paramount for my group. For the creators, there are still some points that need to be improved. In Article 25, the bill excludes a large group of creators and contracts to the detriment of protection. It concerns 1. agreements which do not have the main purpose of operation, 2. agreements in which Article 3.28 of the Benelux Convention on intellectual property applies and 3. fictitious creators. This last point means that companies in which multiple makers work are excluded. The Labour Party wants to support small entrepreneurs. In the creative sector, this is no different. How will the Secretary of State resolve these shortcomings? Is he going to do this together with the Minister of Economic Affairs in order to provide better protection for small and creative enterprises in particular under this law? Finally, I have a few brief questions. The bill states that the Minister of OCW can set the tariffs negotiated between the organisations of makers and products. In this way, it has become a complex arrangement. Would it not have been simpler and clearer to follow Germany's example and include a right of notification in the law? Can the Secretary of State explain why he didn't do this in the end? Or can the Secretary of State evaluate the impact in two or three years' time and involve the German model in this? Can the same evaluation also look at right holders and fees related to the film article? It is left to the market to create a low-threshold dispute commission on copyright contract law. The imbalance of power between the parties must also be closely monitored here. It should not be the case that the stronger party of power, which may be less interested in such a committee, then shows less enthusiasm for setting up the committee. How is the Secretary of State going to ensure a smooth running of things? What possible leverage does he have? With regard to the non-ususus clause in music, can the Secretary of State align the law with Article 9a of the Act on Related Rights, which already stipulates that if a producer no longer operates after 50 years, the producer rights will be transferred to the performer?
ParlaMint-NL_2015-02-10-tweedekamer-24.u19	The Labour Party is right to ask what is going on with the Disputes Committee. It may well be that a superior party has no desire to harness it properly. What is the answer of the PvdA itself to that? Shouldn't the Secretary of State be very strict about ensuring that this is done properly?
ParlaMint-NL_2015-02-10-tweedekamer-24.u20	I think that Mr Van Dijk's question contains the answer. We ask the Secretary of State how he is going to ensure that there is enough pressure so that this does happen.
ParlaMint-NL_2015-02-10-tweedekamer-24.u21	There's still some room in that answer. Does Mrs Oosenbrug agree with me that the Secretary of State should simply take the opportunity to appoint such a committee? It's in the law. Shouldn't we just order the Secretary of State to take care of that?
ParlaMint-NL_2015-02-10-tweedekamer-24.u22	In view of the negotiations that have so far taken place between the parties, I would like to assume that the parties themselves will come forward. If they do not come out, we must be able to put pressure on them. That is the question I asked the Secretary of State.
ParlaMint-NL_2015-02-10-tweedekamer-24.u23	The PvdA also fell over the negotiations that took place between the parties in the market. It is true that these negotiations have been partly motivated and accelerated by the fact that there has been political pressure through a law. Mrs Oosenbrug has a fairly short contribution to make on this law. Is it not important that we treat this law very carefully and that we clearly state what we are doing if we are not satisfied with parts of this law? I didn't see any amendment or motion, just a few questions. What will the PvdA do if there is no satisfactory response and we are going to vote on this law next week?
ParlaMint-NL_2015-02-10-tweedekamer-24.u24	Let me say first of all that the longest contribution is not always the best. The length of a contribution does not say anything about the content of that contribution. Having said that, I am in a debate with the Chamber and the Secretary of State. I always use the first term myself to ask questions and get a clear answer. If I am not satisfied with that, I will come up with my next comments. I do not have any amendments to the law because my group is satisfied with it. I have put additional questions to the Secretary of State. I'd like to get an answer to that and then we'll move on to the second term.
ParlaMint-NL_2015-02-10-tweedekamer-24.u25	Fine. As far as the scope is concerned, Mrs Oosenbrug mentioned the same three types of agreements not covered by this law. What's she gonna do when the Secretary of State explains why he's not gonna do that? Is she actually going to take action from the PvdA or is she going to let it go?
ParlaMint-NL_2015-02-10-tweedekamer-24.u26	I'm gonna listen to the Secretary of State's answer first.
ParlaMint-NL_2015-02-10-tweedekamer-24.u27	I have heard Mr Oosenbrug say that the PvdA is satisfied with the law as it stands. Although a basis has been created for the Disputes Committee, it is not mandatory. Mr Oosenbrug says that the parties themselves have emerged, but the report clearly shows that the makers are not satisfied at all and that they have a weaker position. With the bill, people want to give their hands and feet to this. You can argue whether this is the case with the bill. We are positive about it, but the fact remains that the weaker parties, the creators, have to enforce it. The purpose of the Disputes Committee is precisely to have a lower threshold. If, in the end, the Disputes Committee is not there, what have they achieved?
ParlaMint-NL_2015-02-10-tweedekamer-24.u28	I mean, isn't this supposed to be a dispute committee? My question to the Secretary of State is exactly what happens when the stronger party says she doesn't think it's necessary. So what are we gonna do? If the Secretary of State replies that he is not going to do anything about it, we will have to think of something else. But it's only the first term. I have asked this question and I have shown in my contribution how important I think it is that smaller-vote parties can also act against larger-vote parties.
ParlaMint-NL_2015-02-10-tweedekamer-24.u29	That's a hopeful answer. I await the reaction of the PvdA Group in the second term, after the Secretary of State has replied, because as far as my group is concerned, this dispute committee needs to be established and this legislative proposal is a bit half-hearted. If you want such a dispute committee to be set up, just set it up.
ParlaMint-NL_2015-02-10-tweedekamer-24.u30	That wasn't a question.
ParlaMint-NL_2015-02-10-tweedekamer-24.u31	Mr. Chairman. The creative sector is of great value to the Netherlands, not only economically but also socially. That is why we welcome the intention of this bill. The law must strengthen the position of creators. The law leads to a fairer relationship between creators and operators, such as publishers and cable companies. The weak negotiating position of creators is strengthened. For example, it was too crazy for words that cable companies for over two years did not pay compensation to filmmakers: reason enough to make a law that regulates fair remuneration. We have to make sure the law gets teeth. It shouldn't be an empty shell. The Chamber has received a petition from the Platform Makers for a reason, entitled "You don't want to break people who make them." The platform has also made a booklet "Makers to the Word." Does the Secretary of State know this book? When he reads the quotes in this, he becomes clear in one fell swoop how distressing the situation is. No one dares to talk about tariffs or rights, there is no negotiation possible, it rarely manages to keep my copyright: the statements speak for themselves. I recommend it to him. What does the Secretary of State think of the proposals of the Platform Makers? Let's start with the Disputes Committee. In principle, that is a good idea, because it prevents unnecessary litigation. However, the law is rather vague about this. Creation and funding are left to the market, so you run the risk of not having that committee. Is that right? Is the Secretary of State prepared to appoint a Disputes Committee? The law allows collectives to negotiate tariffs and royalty rates jointly. That is good, but there is no incentive for the strongest party to actually reach an agreement. How does the Secretary of State view this? Moreover, it is rather complicated for associations to make joint agreements. Will the Secretary of State quickly fix a rate following a request from those concerned? The next point concerns the so-called fictitious creators, companies that have copyright instead of individuals. We are not afraid that large multinationals or publishers will not get their rights, but what about small companies, such as design offices of three artists or a band that creates a vof? How is the Secretary of State going to arrange for all these companies to get their rights if some of them have a position that does not go much further than that of individual makers? I also agree with colleagues who asked questions about the groups outside the scope of the law, for example those who do not have exploitation as their main objective. Under the law, chief director, scriptwriter and leading actor can claim compensation. It may be necessary to define who will receive compensation, but why are these three groups selected specifically? What about artists or actors who play a big side role? In an earlier version of the law, the group was more broadly defined and concerned the essence of the artist's contribution to a film. Why doesn't one hold on to that? Now a group of people is excluded from a fee. A covenant has been drawn up for the on-demand services. We'll wait and see, but the covenant looks good. It is precisely in a sector where the balance of power has always been so unequal that such a covenant is important. I would like to draw attention to the late payment of the cable operators. The change in the law is a major improvement. The amendment improves the rights of creators. Their dominant position vis-à-vis sometimes powerful customers is strengthened. However, the law can be sharper. That is why I ask the Secretary of State what he will do if the rights of creators are compromised. If he stands for creators I have no doubt he should accept my proposals. We would like to receive a response from the Secretary of State on this point.
ParlaMint-NL_2015-02-10-tweedekamer-24.u32	This brings us to the end of the first term of office.
