ParlaMint-NL_2015-03-25-tweedekamer-10.u1	Ten speakers have come forward. I shall be the first to give the floor to Mrs Ouwehand.
ParlaMint-NL_2015-03-25-tweedekamer-10.u12	In his letter to the Chamber last Monday on the 12 mile zone, the Minister wrote to the Chamber that it is still being calculated whether it might be more advantageous to carry out the wind farms further at sea, taking all the costs into account. Is Mrs Faber prepared to wait for that?
ParlaMint-NL_2015-03-25-tweedekamer-10.u13	I believe that at some point a proposal will come to the Chamber which will include the calculations. My expectation is that this proposal will show that the wind farms are building closer to land, i.e. within the 10 mile zone to 12 mile zone, is more advantageous. I do not think that we will take a decision on this today because it is not part of the legislative process, but it is precisely because of the costs that my group supports. So we are also eagerly looking forward to the Minister's proposals.
ParlaMint-NL_2015-03-25-tweedekamer-10.u14	If we were to adopt this law today, we think TenneT will get to work. There are still a lot of questions about funding and total costs. Mrs Faber has already drawn attention to this. Is she not afraid that she is already taking irreversible steps and actually shutting down the whole route?
ParlaMint-NL_2015-03-25-tweedekamer-10.u15	I am a little confused by the questions put by the CDA, because I have seen an amendment passing by which the CDA Group specifically excludes the creation of networks within those 12 mile zone. My plea is that this route should not be closed, but that it should be kept very open. So we will not support the CDA amendment either. In 18.5 kilometers I have to walk almost four hours; that is the distance we are talking about if it is on land. We therefore consider this to be a very acceptable distance, including for coastal towns, tourism and so on. So I think this is a good route. Once again, I am very surprised by the CDA's question because she wants to exclude the route while we want to keep it open. We shall be discussing this with the Minister. I come to my last point, co-use. I also think it is important that co-use, for example by shipping and fishing, is properly aligned with the plans for wind at sea. In the written reply, the Minister also acknowledges that the interests must be properly weighed. Can the Minister promise that those who also use the North Sea will be involved in the plans at an early stage, i.e. the fisheries sector, but also the shipping industry? I have, of course, read the note on the basis of the report. The Minister states that he does, but I hear other noises from the sector, so I would like to have a further explanation. The Minister also left open the option to give priority to mining activities over offshore wind farms. I think this is the world upside down. Mining activities, drilling for oil and gas, no longer fit in this time. We are going to build wind farms at sea to make the switch to renewable energy. It can't be that fossil energy would be given priority. We therefore call on the Minister to give priority to sustainability in these situations. Does he agree with the Christian Union? If he does not promise to do so, we shall also table a motion on this point.
ParlaMint-NL_2015-03-25-tweedekamer-10.u16	Mr. Chairman. Today we are talking about the Law on wind energy at sea. This law should create clarity and make it easier to build a wind farm at sea, so that we can finally build renewable energy in the Netherlands. This is urgently needed, because the Netherlands is a fence closer in Europe, whereas this transition offers opportunities, for example for our proud offshore industry. D66 is broadly positive about the legislative proposal and in particular about the planned roll-out, the possibility of identifying wind areas and the link between grant and permit to avoid major delays. We need to speed up! My group still has a number of questions about the impact. We too welcomed the good news that it might only cost 12 billion instead of 18 billion, as we read in the Minister's letter. But how hard is that? TenneT will roll out the net at sea and install central outlets. This should save 3 billion grants. Of course, that's wonderful, but what figures are behind the assumptions? That remains unclear. Can the Minister provide any further justification? The energy agreement has agreed a 40% reduction in costs, but it is not yet clear how this 40% will be distributed between government and industry. Can the Minister indicate which part of the 40% should come from innovations and, if so, from which innovations? In the green deal that was concluded at the time, I read that it would involve new foundation techniques, new installation techniques, more efficient wind turbine technologies, better vessels, improving turbine availability, standardising contracts, innovation in connection technologies, environmental innovation and innovation in training and information. It seems to me, then, that most of the cost savings that need to be made will lie with the government. I'd like to hear from the Minister how he sees this. The energy agreement makes it very clear that the cost reduction is not achieved by shifting network costs through socialisation, but by real innovations and productivity gains in the construction and construction of wind farms. Can the Minister confirm that the cost savings of 3 billion do not count for the -40%? This is clearly stated in the energy agreement. How are wind energy companies currently working on this reduction in costs? Where do we see the most progress? The Minister says that for a proportional distribution, the proportions must be the same. But what I have just read shows that in the green deal and the energy agreement some other agreements have been made. In short, we need clarity about the precise distribution of that 40% and the role that the lower costs of the roll-out of the network at sea may or may not play. I ask this because it seems to me to be an adaptation of the agreements made in the energy agreement. TenneT builds a power outlet at sea and makes large investment costs for the preparation, construction and maintenance. Of course, these costs must also be passed on. How does this happen and which parties will ultimately bear the burden? In the first instance, it will be passed on to network charges, which means that it will be paid by all customers. In my view, however, the Minister believes that this is the way to put the companies that consume a lot of energy at a disadvantage. That is why he wants to look at a different division in the legislation STROOM. He explicitly mentions the possibility to reimburse it through the SDE+. However, it would be mainly households who would pay for the construction of the network. Why does the Minister choose to increase the burden on households even further? Of course, it is important to look at the effects of wind at sea on the competitiveness of Dutch companies, but it cannot be that, after the coal tax has already been imposed on households, households will also disproportionately bear the burden of that network at sea. You might even wonder why for the piece of network that happens to be in the water, a different system should be used than for the part of the network that is on land. The Christian Union also referred to this by saying that the costs of connecting a new coal power station are simply socialised. Why does the Minister distinguish between renewable energy and non-sustainable energy? Or are the coal plants going to pay for it? I understand there was an agreement earlier that this could be done. That is why I ask the Minister whether he intends to ensure that he does not discriminate at the time of construction between the different types of energy and treats all forms of energy equally. I would therefore like to know from the Minister well before dealing with STROOM how he is going to pass on the costs of preparation, construction and maintenance. What divisions does he want to make? What financial implications does this have for the Empire, for households and businesses? In the Minister's reply, I would also like to compare his proposal with the expected impact of the energy agreement. I would like a commitment on this point. If the Minister intends to finance this from the SDE+, he also needs to take into account in his reply how much less renewable energy we can then finance with the budget we had planned for it. To what extent is this going to put pressure on the objectives agreed in the Energy Agreement? Then nature. The Minister wants to eliminate part of Dutch nature legislation, because this legislation prevents the construction of wind farms. To be precise, this concerns legislation on the non-intentional killing or injury of protective animals and the deliberate distress of birds. Wind parks will be allowed to ignore these rules. The question is whether this is always necessary. In this way, wind energy companies have no incentive to apply alternatives or to develop innovations that may be less invasive and can minimise their impact on nature. My group believes that setting aside should be possible if it is really necessary, but not by definition as a starting point. That is why I am tabling an amendment to suspend these nature rules under conditions and with the specific approval of the Minister, but the wind farms must look at alternatives that have less impact. Then the location of windmills. With this bill, the Minister can identify the location of windmills. He now plans to allow windmills closer to the coast, because it is cheaper. However, it also has major disadvantages. After all, windmills compete there for other purposes, such as fishing, shipping and recreation. Although that 12 mile zone was never meant to be or was created as a kind of line of sight, we have to note that if you enter it, you can see the windmills from the beach. The question is whether, by definition, that should not be the case. I do not want to go that far, but I do think it is important that this choice is carefully made. The conclusion of the SMEA report on which the Minister is based shows that there are still two gaps in our knowledge. The first place where gaps remain is the possibility that the social disadvantages in some locations appear to be greater than the benefits. In fact, that is a recommendation to take a more location-specific look at where you should want it and where not. Secondly, the impact on coastal economies, including employment effects. It is also said that if you look at it nationally, the picture is positive, but we should take a closer look at the impact at certain locations. Can the Minister promise that he will do further research on this first? When windmills are allowed both inside and outside the 12 mile zone, we are also faced with two types of legal systems, namely the territorial sea and the exclusive economic zone. Has the Minister considered whether this could lead to possible legal complications which could, for example, result from administrative burdens, lead to the loss of part of the cost advantage? Then there is the legal position of the various parties. Of course, it is for everyone the absolute preference that the government, together with the coastal provinces and the coastal communities, should reach agreement on the locations of the lots of wind at sea on the basis of consensus. No one wants different levels of government to bring each other to justice. However, my group does not think it is the right way to abolish the legal status of local authorities in advance by applying the Crisis and Recovery Act and to make the property decision inaccessible to the profession. D66 has always been critical of the Crisis and Recovery Act. It can be used to speed up decisions, but not to reduce recourse and participation to controversial decisions. That is why my group is tabling an amendment in which the accelerated legal procedures of the Crisis and Recovery Act are applied, so that we can speed up, but not the limitation of remedies to the Lot Decision applies. Then there's the tenders. They are an important part of the law. In order to keep pace, the deadlines should not be too short. At the same time, it is important that it remains realistic. After all, participants must have sufficient time to unsubscribe a geode tender. Can the Minister state what the precise timing for the start of the procurement procedure will be? Do the participating companies have all the data available at that time so that they can use their time effectively? I wonder whether the European procurement rules apply here. Perhaps the Minister can clarify that. It is about large public tender procedures, but it is subsidies and licensing, it is not public procurement. It seems important to me to have clarity on this point for all parties. I seem to recall that we have already discussed my next point with each other, but I am not sure. That is why I would like to bring it up again when dealing with this bill. In the case of permits, there is always a certain lead time from the moment a proposal is submitted to the time when it is finally built. In the meantime, if there are innovations that an initiator would like to implement because he thinks that this will improve the return or reduce the impact, are the permits designed so that such technological innovations remain possible, even if there is some time between the moment of authorisation and the moment of implementation? With this bill, the Minister wants to cancel the old permits because the new locations are cheaper. I have some questions about that. I think we all hope that it doesn't happen, but if the new system is going to happen at a later date, what will happen? Have we burned our ships in advance? Isn't it more logical to hold the old permits until the permit for the equivalent of megawatts is granted under the new system? This means that the old licences will not expire until the new licences have actually been granted. Is there agreement on compensation already? In his letter, the Minister merely states that he has calculated the compensation he considers he could offer, but he also states that the parties are always free not to make use of it. That leaves it in the middle or there's agreement on this. Hence my question to the Minister. I also ask the Minister why compensation is not simply paid out of the budget and is now withdrawn from the SDE+ scheme. On the contrary, this minister kept his back straight, even if there were many good ideas, for example on financing energy savings from the SDE+ scheme. Then he said: no, the SDE+ scheme really only serves to generate renewable energy. Then why is this kind of thing being compensated for? Perhaps the Minister, having heard the Chamber say that this was only an option and that this is not happening. This law is urgently needed. My group therefore hopes that we will get to work quickly with each other.
ParlaMint-NL_2015-03-25-tweedekamer-10.u17	The law is badly needed if we are to achieve wind energy at sea, but there are quite a few open ends at the moment. Is the D66 Group prepared to wait for the SME research at the 12 mile limit? If we say yes now, TenneT will start preparations and so will the parks within that 12 mile zone. How does the D66 Group view this?
ParlaMint-NL_2015-03-25-tweedekamer-10.u18	I do not think we should stop everything, but I await the Minister's response to this point. This will also have to do with the time he thinks he needs to conduct those investigations. That is why I would like to await the Minister's response to this point first. If he says he's got the tests in a month, we can be sure. If it's really going to take a while, it's also about balancing the risks you're taking. In the windmill park that is now planned off the coast, there are a number of mills within the 12 mile zone, but the bulk of the mills is outside. So you could also say that you still want a windmill park there, but that you move those few mills within the 12 mile zone to the other side of the park. Then the preparation costs are not entirely made for nothing. Also when optimizing the design of the park you can take those results from the studies.
ParlaMint-NL_2015-03-25-tweedekamer-10.u19	In itself, this is a clear answer. I would like to have some clarity and insight into the effects on coastal sites, particularly in relation to the research which is still to come and which the Minister stated in his letter last Monday. We would like to wait to have real certainty about this, especially for our citizens there and for their support.
ParlaMint-NL_2015-03-25-tweedekamer-10.u20	Then I have a counter-question for Mrs Mulder: how long is she prepared to postpone this? How much delay can this take? Is this allowed to endanger the first tender for the CDA?
ParlaMint-NL_2015-03-25-tweedekamer-10.u21	I suggest that you ask Mrs Mulder when it is her turn to be questioned.
ParlaMint-NL_2015-03-25-tweedekamer-10.u22	Certainly, Mr President, but then she will be able to prepare herself for that question.
