Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarlaDik-Faber	Dik-Faber, Carla	F	1971	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2015-03-31-tweedekamer-5	ParlaMint-NL_2015-03-31-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 69, Session 5 (2015-03-31)	2015-03-31	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 69	Sitting 2015-03-31	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
