ParlaMint-NL_2015-01-29-tweedekamer-3.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2015-01-29-tweedekamer-3.u12	Mr. Chairman. Social housing is meant to help people with a small wallet to a neat, affordable home. It costs society a lot of money: 3.3 billion euros a year rent supplement on top of the 26 billion guilders we left behind in the sector in 1995. That's money that came out of the treasury and is now in our sovereign debt. This is an important and necessary investment in people who are not broad. That's why these people are being spared. They get less rent increase and part of it comes back through the rent allowance. The house they rent is becoming more energy efficient and therefore more comfortable. But for the VVD this target group does not consist of 34% of the Dutch population. Those who can pay for their own house, we like to buy or rent a house in the free sector. The VVD has waged on income-dependent rent increase to counter crooked housing. That policy is now reflected in the figures of the CBS. Landlords use the opportunity to increase the rents and that is exactly what we wanted. The VVD does share the care about the availability of really affordable homes. Corporations have built too expensive and too luxurious. Those homes need to be disposed of now. That knife cuts both ways. Corporations are free to convert money and above the liberalisation limit there is a real free rental sector in which commercial parties dare to invest. The strength of the message is repeated, but further this debate excels in total superfluousness. We discussed social housing for an autumn and last week we discussed the state of the housing market with the Minister for hours. There was also plenty of room to talk about social rent. I therefore repeat my appeal, and I believe that Mr Monasch has also done so, to choose our debates more carefully, so that we can have a meaningful discussion with all the spokesmen, including the applicant for this debate. Now we are not giving any substance to our controlling or legislative task and we are essentially keeping the government away from its work.
ParlaMint-NL_2015-01-29-tweedekamer-3.u13	I hear you say you prefer people to buy a house. I get that. That would be nice indeed. But there are enormous burdens caused by this, in my view, very poor liberalization. What do you say to people aged 60, 61 earning around €35,000 or €36,000 a year? These people are too old to qualify for a mortgage. They're not gonna make much more in the years to come. In fact, they are going to earn less, but are still not eligible for rent. What do you say to these people? That they're unlucky?
ParlaMint-NL_2015-01-29-tweedekamer-3.u14	That's exactly the group of people who get less rent increase than the people in the highest segment. So we're not gonna let these people get away with it.
ParlaMint-NL_2015-01-29-tweedekamer-3.u15	You don't mind them, because they're still gonna have to deal with a rent increase. In fact, it goes up every year. This can increase to 15% or even 20% over a period of four or five years. So you don't spare those people, but you burden them to death.
ParlaMint-NL_2015-01-29-tweedekamer-3.u16	The group you mention is in the milder segment and gets 2.5% on top of the normal rent increase, not 5%.
ParlaMint-NL_2015-01-29-tweedekamer-3.u17	Mr. Van Klaveren for the last time.
ParlaMint-NL_2015-01-29-tweedekamer-3.u18	If we look at a longer period, that adds up. Those people aren't gonna make much more money, like I said. Moreover, these people are too old to qualify for a mortgage. People 60 or 61 years old don't get a mortgage from the bank. You just said you like those people buying a house, but what do you say to these people?
ParlaMint-NL_2015-01-29-tweedekamer-3.u19	There's no reason these people couldn't get a mortgage.
ParlaMint-NL_2015-01-29-tweedekamer-3.u20	Well, then you should talk at the bank sometime.
ParlaMint-NL_2015-01-29-tweedekamer-3.u21	Mr Van der Linde, would you care to comment on that?
ParlaMint-NL_2015-01-29-tweedekamer-3.u22	No. I think we'd do the interruptions in half, but apparently we're doing it in fours.
ParlaMint-NL_2015-01-29-tweedekamer-3.u23	No, we didn't agree on any interruptions. A debate never hurts.
ParlaMint-NL_2015-01-29-tweedekamer-3.u24	I just heard the VVD spokesman say he's worried about the availability of affordable social housing. The PVV is also concerned about this. Doesn't the VVD understand that it is inflicting severe violence on the availability of affordable housing itself by agreeing to the arrival of tens of thousands of asylum seekers, all of whom are given priority when getting a social housing, which means that other house seekers have to wait longer for a social housing?
ParlaMint-NL_2015-01-29-tweedekamer-3.u25	I just said that social housing is meant for people with a small wallet, so that they can be neatly brought under the roof. Asylum seekers are part of that, too, and status holders all the way.
ParlaMint-NL_2015-01-29-tweedekamer-3.u26	Look at the facts, I say to the VVD. Tens of thousands of asylum seekers come to the Netherlands every year, all taking precedence over the rental market. Doesn't Mr Van der Linde understand that this is at the expense of other people, including those with a small wallet, who therefore no longer stand a chance? Didn't he hear what the congregations say about that? If he is concerned about the availability of affordable housing, he must help stop that asylum flow. That's what the VVD has to do.
ParlaMint-NL_2015-01-29-tweedekamer-3.u27	Your point is clear.
ParlaMint-NL_2015-01-29-tweedekamer-3.u28	We're talking housing here, not a stream of asylum seekers. So I can't do anything with that. You can't let those people sleep in a porch.
ParlaMint-NL_2015-01-29-tweedekamer-3.u29	It is time for the VVD to recognise that this huge asylum influx, which is continuing mass immigration, is at the expense of social services, for example...
ParlaMint-NL_2015-01-29-tweedekamer-3.u30	This is a repeat of moves.
ParlaMint-NL_2015-01-29-tweedekamer-3.u31	...and the social housing market.
ParlaMint-NL_2015-01-29-tweedekamer-3.u32	Mr Fritsma! This is a repeat of moves.
ParlaMint-NL_2015-01-29-tweedekamer-3.u33	I know, but it would help if the VVD would at least acknowledge that connection.
ParlaMint-NL_2015-01-29-tweedekamer-3.u34	I give the floor to Mr Van der Linde.
ParlaMint-NL_2015-01-29-tweedekamer-3.u35	I've become a spokesperson living and building. If Mr Fritsma wants to talk about this, he must choose another minister and another spokesperson.
ParlaMint-NL_2015-01-29-tweedekamer-3.u36	Mr. Chairman. The CBS reported a few months ago that rents have increased by 9% in recent years. By the way, in 2014, rents increased by 4.4%. The highest rent increase was for the group of people with an income above €43.000, i.e. the people who can afford the rent increase. In fact, that is in line with the policy chosen in the housing agreement. The living agreement is meant to tackle the crooked living. The crooked living creates long waiting lists and these waiting lists in turn prevent people with lower incomes from living in one of the 2.4 million social rental homes in this country. This means that not so much the size of the social rental sector is a problem, but that we have a problem with the distribution of houses in the social rental sector. My group has repeatedly raised this problem in recent years. D66 supported the housing agreement, which will ensure that the waiting lists are eliminated. In this way, homes become available to people who need a house that is made cheaper by the government. I've seen that this policy apparently works. It is only right... that Mrs Karabulut wishes to interrupt me.
ParlaMint-NL_2015-01-29-tweedekamer-3.u37	You're talking. Please continue.
ParlaMint-NL_2015-01-29-tweedekamer-3.u38	Affordability at the bottom is a legitimate concern, including for those who have requested this debate and who are fortunately still among us, namely Mrs Karabulut. The low incomes do indeed have the right to support the government in order to live. At this point, a number of things go wrong. I believe the stock is large enough. The distribution is tricky. However, the question is why the rent of freed houses is being raised rather quickly. Is there any way to look at that in the future? Mr Monasch has already given an example of this. Can we see if it is possible to achieve a certain degree of graduality in the places where it is most pregnant? Can the amount of rent play a role in this? What other proposals does the Minister have in preparation?
ParlaMint-NL_2015-01-29-tweedekamer-3.u39	I see an interruption by Mrs Karabulut.
ParlaMint-NL_2015-01-29-tweedekamer-3.u40	I have a question about the waiting lists. D66 does support the rent explosions. The consequences of this are now becoming apparent. The number of affordable homes is falling by half. The rents are getting so high that the people with the lowest incomes that can no longer pay. What conclusions does Mr Verhoeven draw from this?
ParlaMint-NL_2015-01-29-tweedekamer-3.u41	As I have already said, the problem is mainly caused by the distribution. The Netherlands has the largest social rental sector in the world; there are 2.4 million social rental homes. We have invested in this over the past decades in order to allow people with a small wallet to live well. The Netherlands has thus achieved a great deal. What has gone wrong in recent years is that people with high incomes continue to live in cheap homes. The low-income people end up on waiting lists. That doesn't apply to all of them, but there's too many of them. We must ensure that those who can pay more do so, that is to say they buy a house or live in the private sector. That is not happening at the moment. The rent increases mainly end up at the top of the segment. The policy in itself therefore works well. The only problem is that the people with a really high income do not make room for the people with a small wallet. That must be done, that is social and D66 has always been committed to it in recent years.
ParlaMint-NL_2015-01-29-tweedekamer-3.u42	I know this story of Mr Verhoeven; that is his defence. However, that defence is no longer valid, because reality is different. The waiting lists are not getting shorter, especially for the people who need social housing. The rents are exploding and the housing costs are getting higher and higher. I repeat what conclusions Mr Verhoeven draws. Should he not see with me that Minister Blok's policy is failing at the moment?
ParlaMint-NL_2015-01-29-tweedekamer-3.u43	Mrs Karabulut speaks of "defense." As long as I am a member of the House of Representatives, for more than four and a half years, I have not been in the defense, but I have opened the attack on the waiting lists. During the Rutte I cabinet, which was tolerated by the PVV, who just put on such big pants again, I called myself 'a crying in the desert', because I was the only one who tried to tackle those waiting lists. My group has put forward proposals to counter the crooked habitation. She launched an attack plan against the waiting lists. Those are all plans we submitted back then. Those plans have been largely incorporated into the housing agreement now and you can see that the effect on a lot of points is good. There's a side effect. There is indeed one point that I would like to look at together with Mrs Karabulut, and that is the point of the rapid increase in rents for released homes which, of course, constitute a barrier to the flow of goods.
ParlaMint-NL_2015-01-29-tweedekamer-3.u44	What about those waiting lists? I can only see the housing shortage increasing, but you seem to have other evidence, other facts. Then can you explain to me what's going on with those waiting lists?
ParlaMint-NL_2015-01-29-tweedekamer-3.u45	Mrs. Karabulut speaks of a rental explosion. Mrs Karabulut speaks of housing shortage. I think that there are certainly people in the Netherlands who are in an annoying housing situation because they have to wait too long. I think the word 'dwelling shortage' in the situation of the Netherlands goes a little too far. I think we really need to look in a business way at how we can help the people with a small wallet with a lower income to get those 2.4 million homes somehow available to them. What Mrs Karabulut does not do every time, and that stands in the way of solutions which, for example, we discussed when dealing with the housing corporation law in December, is to look in a business and factual way at that hard-working group of people in large cities with a smaller income and with a family, who we would like to let live in a home that they can live in and that suits their needs. That's possible with the supplies we have. It's about the distribution. The SP always says we have to rebuild and everyone should be able to get a cheap house. However, that is not possible, not in the SP's plans, nor in the plans of other parties that are calling out the loudest that things are not going well. And the settlement agreement has brought it one step closer. I would then like to say something positive about the SP. Last Friday, together with colleague Van der Linde, I went to work in Utrecht with former SP colleague Paulus Jansen, who is now alderman Wonen in Utrecht. In Amsterdam there is also an alderman Wonen van SP-huize. In other words, the SP can now also make a contribution to solving the problems in the major cities where the krapping is greatest. Mr Jansen said that 5,000 people come to Utrecht every year and that about 1,500 of them are at the bottom and therefore need help. He said: building is difficult because the corporations are hiding behind the landlord's tax and because the cutting of corporations is not doing enough, so they do not have enough investment space. He pointed out the role of the corporations and the space they have. Furthermore, Alderman Jansen said that the WSW deposit is a tough one. Would the Minister like to go into the issue of these corporations and the issue of the WSW again?
ParlaMint-NL_2015-01-29-tweedekamer-3.u46	Mr. Chairman. Since the arrival of this VVD/PvdA cabinet, rental prices have increased enormously, with an average of 9.2% in two years. Tenants are really screwed with this cabinet. If this cabinet wants to meet the buyer some more, the tenant really has to go through the pump. Does the Minister recognise the need of hundreds of thousands of tenants for whom the rent has become too expensive because of the rent increases? What is the Minister's reaction to the Central Fund for Housing, which states that the rent explosion is due to measures in the housing agreement, namely the landlord's tax and the additional tax of 1.7 billion structuralally, which reduces the maintenance and renovation of corporations and introduces the income-dependent rent increase and thereby significantly increases the rents? If a tenant moves, the rent may be increased even further. It's called rent harmonisation. And that's what landlords do more and more often. Last year, on average, the rents of vacant homes increased by almost 23%. Imagine that, Mr. President. In other words, people looking for housing are also screwed. How's the Minister going to turn that tide? This minister wants to start the flow and ensure that the number of available homes would be preserved and made available to the people who need it. If you look at the figures, you will see that the number of affordable homes available is decreasing, even halving. Landlords don't have to ask for the full blow, but they do. Almost two thirds of low-income tenants received the maximum rent increase. Looking at income should also mean a reduction in rents, including in the case of rental harmonisation. Is the Minister prepared to make it clear how often rent reductions are actually made? Why doesn't this happen or not more often? It is remarkable that the wealth of corporations is growing. An additional 6.5 billion in rent has been received and over 6 billion less has been spent on maintenance and management. Those are huge amounts of money. It's money that was raised by tenants. Does the Minister also see room for rent reduction, at least not to make rent increases above inflation as of 1 July 2015? The consequences of this failing rental policy are great. We get numerous examples of people who simply can't make ends meet, who have to cut back on their primary basic needs, such as medicine and life. Looking away from the problems that tenants have to deal with is not an option. Is the Minister prepared to stop the income-dependent rent increase? Is the Minister prepared to introduce an inflation-based rental policy for this year, against poverty and for affordability?
ParlaMint-NL_2015-01-29-tweedekamer-3.u47	Mrs Karabulut spoke about the money the corporations have. They took more money out of rents and spent less on maintenance. Does Mrs Karabulut say that there really is room for the corporations to build in places where this is necessary, for example in Utrecht and Amsterdam, where the two SP aldermen, according to the new policy in which the municipalities make more performance agreements with the corporations, could actually actively steer?
ParlaMint-NL_2015-01-29-tweedekamer-3.u48	It could be, but it might not be. One is that the money that is in the assets is not always available for expenditure and therefore for construction. So that's what you need to look at. Point two is that it can be quite different per corporation. But it does raise questions for me, for example whether income-dependent rent increases are necessary and whether they can no longer be built. What remains and what the Central Housing Fund confirms is that this is the result of the landlord levy. As far as the SP is concerned, there really is the solution for building. Alderman Jansen in Utrecht and alderman Ivens in Amsterdam will confirm that. If we do not remove the 1.7 billion from the tenants and the corporations to so-called put public finances in order, but invest that amount and commit them to investment with the corporations, this means that new construction effectively combats waiting lists and employment. That should even appeal to Mr Verhoeven.
ParlaMint-NL_2015-01-29-tweedekamer-3.u49	That doesn't even appeal to me, but to you. Mrs Karabulut says there's room in the finances of housing corporations because of more rent income. That's cash, that's not assets that are tied up, that's money you can address directly. The same applies to what you save with less maintenance. That, too, is directly accessible money. I count on the point made by Mr Monasch that corporations have built quite luxurious and large. If you add these elements together, you can also look at the extra building of good houses in places where it is absolutely necessary, for example in Amsterdam and Utrecht, not overly luxurious with all kinds of facilities that are not in demand, for people with a small wallet who want to enter the city? Well, then there's just potential, isn't there? Then there are possibilities to get rid of that waiting list, isn't there?
ParlaMint-NL_2015-01-29-tweedekamer-3.u50	The point is clear.
ParlaMint-NL_2015-01-29-tweedekamer-3.u51	I do not understand Mr Verhoeven's somewhat aggressive tone. It's okay, but there's no need. If Mr Verhoeven had listened to me correctly, he could have heard that I am indeed very curious about where that space is sitting and whether it can be used for building. For me, it is important that a lot of tenants, over 700,000, are really in need, especially the people with the lowest incomes. We see that the rent ratio, that is, the part of the income they have to spend on rent, is the highest for them. We need to do something about that. I am happy to see with Mr Verhoeven whether there is room that is not being used now. Behind this chair, I can't say that that space is there or not. I note, like the Central Fund and Mr Monasch, that savings have been made and that this means that there is money in the books.
ParlaMint-NL_2015-01-29-tweedekamer-3.u52	Mr Verhoeven, your last interruption. Moreover, the President has no objection to a passionate debate.
ParlaMint-NL_2015-01-29-tweedekamer-3.u53	I would like to say to Mrs Karabulut that the tenants are so keen on me that my passion in Mrs Karabulut's eyes is more like aggressive debate. However, that is by no means my intention, because we are pulling on the same side of the rope. It is good to hear that Mrs Karabulut admits that she also does not know exactly how much space the corporations have. I would say: let us look at this together with the Minister. I also think it is very positive that the SP can take the responsibility in a number of places in the Netherlands to ensure, together with the corporations, sufficient homes for people with small wallets. Let's focus on that in a passionate way.
ParlaMint-NL_2015-01-29-tweedekamer-3.u54	What's your point?
ParlaMint-NL_2015-01-29-tweedekamer-3.u55	Is Mrs Karabulut prepared not only to use big words and language of war and to seek constructive solutions?
ParlaMint-NL_2015-01-29-tweedekamer-3.u56	I object to this. It went quite well with Mr Verhoeven, but in his last two sentences he puts away my entire contribution as a language of war. My entire contribution is about the income position of tenants and I illustrate it with facts that I didn't make up, but from all those reports. With his final sentences, Mr Verhoeven might open the war against the tenants, and that is not my intention, because I am willing to find solutions with anyone who wants to do so in order to stimulate construction. I would very much like D66 to stop looking away from the problem of affordability, because that is a real problem. This also means that D66 is in the footsteps, because it is not only about too high rents, but also about their consequences: people are making more debt and poverty is growing. Why don't you take the last poverty signature? This shows that poverty is growing in the Netherlands, even though the Netherlands is still a rich country. And what's causing this poverty to grow? Among other things, it grows due to the strong rent increases. Mr Verhoeven must certainly try to find a solution to this problem.
ParlaMint-NL_2015-01-29-tweedekamer-3.u57	Mr Verhoeven, you are through your interruptions, but since you are being addressed, you may react briefly again.
ParlaMint-NL_2015-01-29-tweedekamer-3.u58	I think Mrs Karabulut and I agree on the substance. Furthermore, we both have a firm way of debating, because the subject is of great concern to us.
ParlaMint-NL_2015-01-29-tweedekamer-3.u59	In my opinion, Mr Monasch was the first of the two Members to come forward to ask Mrs Karabulut a question.
ParlaMint-NL_2015-01-29-tweedekamer-3.u60	Indeed, it is becoming more difficult to debate this. Mrs Karabulut cannot do anything about that, because some things have already been dealt with in my first term. I also pointed out at that time that some issues have already been discussed in detail in an earlier debate and that they will be coming back soon. The image is very differentiated. I was in Schiedam yesterday, where the corporation intended to reduce the number of social housing units from 12,000 to 10,000. The corporation isn't gonna do that. She keeps the number intact, because those homes are in an old birder district and there is more demand for social housing. This corporation is also going to invest again. More social housing is being built, because there is demand for it. So the image is differentiated. In order to follow Mrs Karabulut, I would like to ask her a question. She says she doesn't want rents to rise above inflation. This means that the SP also signs for the 5% rent increase in the previous period. This is a 9% increase in rents, of which 5% is inflation. If you also want to get rid of that landlord's tax by making it an investment obligation, it does raise the question of where it is going to get the 1.7 billion from. This amount is partly fed by the rent increase. If she wants to get rid of the rent increase, there's no extra money coming into the corporations either. In other words, how can it impose an obligation on corporations, while at the same time eliminating revenue?
ParlaMint-NL_2015-01-29-tweedekamer-3.u61	I think it would be a celebration if Mr Monasch were to join me and conclude that the problems of affordability are enormous and that this year we should at least make a mark on the above-inflationary rent increases. If he does, I welcome the outcome of this debate. We have indeed proposed earlier that this 1.7 billion should be converted into an investment obligation. That's possible, because that amount will come back through additional income. It leads to additional rental income, because it means more is being built and therefore more is being rented out. That way you could create space with the landlords. Another idea is to get the landlords to take a closer look at the business expenses. Mr Monasch is on top of that too, even though the landlords are looking at this a bit more. That would never have been our idea. I know the PvdA needs this to make the income-dependent rent increase. However, I would regret it if the PvdA broke the electoral promise. It was also the jubilation story at the start of the housing agreement that the strongest shoulders bear the heaviest burdens. That is what is happening in practice.
ParlaMint-NL_2015-01-29-tweedekamer-3.u62	Do I understand correctly that the corporations are no longer getting the income, but that they are being imposed an obligation, a landlord's tax, of 1.7 billion? I don't understand, because the corporations already made those investments. So I don't quite understand how I'm supposed to make this story financially. I wonder how the corporations react to it...
ParlaMint-NL_2015-01-29-tweedekamer-3.u63	They are in favour; they have supported this idea.
ParlaMint-NL_2015-01-29-tweedekamer-3.u64	Let us above all maintain the good habit of only one speaker at a time.
ParlaMint-NL_2015-01-29-tweedekamer-3.u65	Certainly, Mr. Chairman. In my enthusiasm I thought: I am right to clarify.
ParlaMint-NL_2015-01-29-tweedekamer-3.u66	Yes, but we will continue with Mr Monasch of the Labour Party.
ParlaMint-NL_2015-01-29-tweedekamer-3.u67	Qualifications are used as "war," "party" and "enthusiasm." It's ball this morning. It is a matter of whether the strongest shoulders carry the heaviest loads. Yes, that's how I say to Mrs. Karabulut. That is why we have introduced an income-dependent rental policy. Therefore, there is a rent policy of 1.5% above inflation, with low income being compensated through the rent surcharge. There have been no cuts for two years; other Cabinets have done so. Hundreds of millions will be added. We ask the people with incomes of more than €43,000 to pay some more rent. We think that is a very fair principle, especially if you look at the rent ratio of those higher incomes. I would expect the SP to support that.
ParlaMint-NL_2015-01-29-tweedekamer-3.u68	I thought you might like to call me Madam President, Mr Monasch. Then it's real ball.
ParlaMint-NL_2015-01-29-tweedekamer-3.u69	It's getting crazy. We would support it if we actually looked at someone's income and what they could and would want to lose, for example according to Nibud standards. Our first point is that this is not happening. It is not looked at; something is simply applied by default. Two: the strongest shoulders certainly do not carry the heaviest loads. Look at the rent ratio of the lowest income: it is almost 30% the highest of all. Three: that the rent is too high is already shown by the fact that the number of people who have to rely on the rent payment has doubled in recent years. There's the danger in that, too. By constantly extending the rent payment, there is always the danger of savings because of the demand over. However, we can move forward. As he already knows, Mr Monasch must do two things. He has to live up to his promise. He must also have the courage for this year to say that we are making a step in the right direction and that we are not going to push people into debt and poverty, we are going to look into it and we are going to look for solutions.
ParlaMint-NL_2015-01-29-tweedekamer-3.u70	I have a strong impression that you have had this argument before. I will give Mr Monasch a brief opportunity to conclude. Then it's "next time on."
ParlaMint-NL_2015-01-29-tweedekamer-3.u71	That is the problem of this whole debate, but if it is on the table, I think it is our job to conduct the debate. We have said: extra rent payment to compensate for the low income. With that, we have granted an election promise. We have also said: there will be income-dependent rents for the people with an income of more than €43.000. That was even higher in our election programme. Why did we do that? We did that because their rent quote is extremely low. At low incomes, the rent ratio is high. We compensate through the rent allowance, and so we ask a little more of the people who earn more than €43,000. Those are two points from our electoral programme, which have simply been properly accepted in this coalition agreement.
ParlaMint-NL_2015-01-29-tweedekamer-3.u72	Mr Monasch would have a story if he did not raise the rents for the people with the lowest incomes and he would bring their rent quote to a normal level. That's not gonna happen. That's why it's a lot of talk for the stage. It doesn't help people. We have a hotline. From the first reports you can already see that more than a quarter of people say: we really can't afford it anymore and have to cut down on other things like participation. I thought this cabinet didn't want poverty to grow, but it wanted to reduce it. Unfortunately, reality is different.
ParlaMint-NL_2015-01-29-tweedekamer-3.u73	Chairman?
ParlaMint-NL_2015-01-29-tweedekamer-3.u74	No, Mr Van der Linde was there earlier. I've been paying attention.
ParlaMint-NL_2015-01-29-tweedekamer-3.u75	I'm gonna turn to "babble for the stage." Last week we had a general discussion on the state of the housing market, with thick reports to which Mrs Karabulut even refers. But she wasn't there. Then, in this debate, she comes up with some big words as 'blabberish for the stage'. With all due respect, she was half an hour late. What the hell are you talking about? Surely you can't explain to your constituents that you're not there at a general discussion about content a week in advance, but that you do come up with words like this in plenary?
ParlaMint-NL_2015-01-29-tweedekamer-3.u76	I am glad that Mr Van der Linde appreciates my presence so much. It may also happen to MPs who are people who are prevented by circumstances. This morning I had to take a child to school, but the trains went out. I can't put my kid out on the street. I'm not gonna do that. If Mr Van der Linde wants me to answer to him, I will answer to him. My constituents have nothing to do with Mr Monasch saying 'we think of the people with the lowest incomes', while the rents are only rising further and further. Mr Van der Linde should also be concerned.
ParlaMint-NL_2015-01-29-tweedekamer-3.u77	I'm not gonna take responsibility to your people. However, I note that we had a general discussion last week and that we had an excellent discussion on this with the Minister. I find it incomprehensible that we are now being accused of 'blabbering for the stage' when you were not present.
ParlaMint-NL_2015-01-29-tweedekamer-3.u78	Oh, come on. Well, you're getting all worked up now, aren't you? It is chatting for the stage when it is claimed that the people with the lowest incomes are being helped forward. I very much appreciate debates and I am almost always there. There are exceptions, but don't worry: we will still have intensive discussions with each other in the coming period.
