ParlaMint-NL_2015-06-16-tweedekamer-31.u1	First of all, Mrs Van Veldhoven of D66 has the floor.
ParlaMint-NL_2015-06-16-tweedekamer-31.u12	Mr. Chairman. The motions in part No. 319 and 320 are actually the same motions on two different types of buildings: schools and hospitals. I have discussed this with the Chamber several times over the last two and a half years. There is already an inventory obligation. We must not renovate, remodel or demolish it without looking first at the presence of asbestos. I always said no nail in the wall until it's clear. For the rest, leaving asbestos which is safe, tightly bound to rest does not pose a danger to the indoor environment. I understand that the question arises as to why schools and hospitals should not already be listed, regardless of the intention to renovate or demolish. At first sight this may seem more safe, but due to the extra attention given to asbestos in schools, a lot has already been done. 87% responded to the survey. 66% have also inventoried. For example, the schools that have not inventoried indicate that they are still planning or that they are abandoning it now because a building on the nomination stands for renovation or demolition. These are examples. So an inventory obligation offers a false security in that sense. I don't want an inventory report to disappear in a drawer if it's not necessary for a planned construction activity. I am very much concerned about this because the AO was held some time ago, but also because I would like to explain once again to the author of the motion that it is important that we have an inventory at the right time. Schools and hospitals will be informed annually by me when new parental councils come: do you realize what asbestos could mean in your building? To make a long motivation short: I advise against the motions on the pieces Nos. 319 and 320.
ParlaMint-NL_2015-06-16-tweedekamer-31.u13	Either we think it's important or we don't think it's important. We think it is so important that we even include it in the systems and bring it to the attention of schools every year. If the Secretary of State thinks it's important, you could give it a stick behind the door this way. The fact that 66% of the schools did it, as the Secretary of State says, shows that most schools also consider it important. That interest is therefore shared. I cannot quite believe that 34% of schools are on the nomination to be demolished or thoroughly renovated. That seems to me to be more than the amount it should be doing. So it shouldn't be a problem for that either. For which schools and hospitals would it be a problem to do so?
ParlaMint-NL_2015-06-16-tweedekamer-31.u14	I indicated that 87% of schools responded to the survey. Mrs Van Veldhoven puts two points against each other: either you think it is important or not. It is very important, but I want to have an effective way to inventory at an effective time, and I want schools and hospitals to be aware of that. I don't want an inventory that ends up on the shelf and is forgotten. We have had this discussion three or four times. Given the awareness of hospitals and schools and the way in which we keep that accurate by informing parents' councils and schools every year at the beginning of the school year in the sense of 'knowing that this is a problem', I find the comparison 'whether you think it is important or not' not entirely correct. People know how active my ministry is with these buildings. So I'm deceiving the motion.
ParlaMint-NL_2015-06-16-tweedekamer-31.u15	Mrs Van Veldhoven, it is unusual for you to interrupt again, but these are two motions, so there are two questions.
ParlaMint-NL_2015-06-16-tweedekamer-31.u16	Let me take a positive look. I'm glad the Secretary of State shares the importance. It is precisely from this shared interest that we should be a little more concerned about the nail that might be smashed into the wall. As far as the Secretary of State is concerned, no nail goes into the wall without an asbestos inventory. I'm afraid that will happen. That is precisely why it can be useful to say to all schools: do you, because before you hang up that painting, you can check that there is no asbestos there.
ParlaMint-NL_2015-06-16-tweedekamer-31.u17	I have just indicated that there will be schools that will be nominated for demolition which have just responded and said: we are aware that it is important, but for this and this reason we have not done so. So I would put an x-number of schools at a cost, while they are motivated and very consciously engaged in the policy, and very motivated deviate from it. I don't think that's the intention of these buildings. The motion in part No. 321 also belongs to Mrs Van Veldhoven. I see that motion as a policy support. It has never been the intention to lower ambition. It was precisely the intention to promote sustainability. I have always said that it is my goal to reach the date of 1 June 2016. I think it is excellent that this is confirmed here. In the motion in part No. 322 calls on the government to closely involve sustainable corporate governance in the sustainable procurement plan. The scope of the motion corresponds to the commitment of the cabinet. We will therefore involve this motion in the plan of sustainable procurement, which you will receive in September. I see the motion as a policy support. The motion in part No. 323 is about a benchmark for sustainable procurement. I think that is a very sympathetic idea and I want to include it in the plan of action that you will receive in September. I consider the motion to support policy and leave it to the Chamber. Then I come to the complete transparency of the fuel mix that is requested in the motion on part No. 324. You know the letter's coming your way. This has taken some time, because there has been extensive consultation with the business community, including the ACM and the NEA. We must first see what is possible and how that is possible. I would first like to send the letter to the Chamber to hear what Mrs Dik-Faber wants with the motion. I suggest you hold the motion until the letter arrives. If the motion is not apprehended, I'd advise against it at this time.
ParlaMint-NL_2015-06-16-tweedekamer-31.u18	I'd like to hear when that letter comes to the Chamber. In the meantime, I'm holding the motion.
ParlaMint-NL_2015-06-16-tweedekamer-31.u19	I'll make it exciting. I hope the letter comes before the recess.
ParlaMint-NL_2015-06-16-tweedekamer-31.u20	At the request of Mrs Dik-Faber, I propose her motion (30196, No. 324). That is what is decided.
ParlaMint-NL_2015-06-16-tweedekamer-31.u21	I'm getting to the motion on part No. 325, asking for clarity in a forest of criteria. I'll take this with me in the evaluation of TPAC. It is important that there is international harmonisation. You know that I am actively talking about this with the United Kingdom and Denmark. I consider the motion to support policy and leave it to the Chamber.
ParlaMint-NL_2015-06-16-tweedekamer-31.u22	You have seen that the motion in part No. 325 on the back of No. 326 state?
ParlaMint-NL_2015-06-16-tweedekamer-31.u23	I just realized that this has been done very sustainably.
ParlaMint-NL_2015-06-16-tweedekamer-31.u24	Yeah, and that's what got things confused. Please continue.
ParlaMint-NL_2015-06-16-tweedekamer-31.u25	The motion in part No. 326 calls on the government to focus on total cost of ownership. That motion is in line with the cabinet decision. The total cost of ownership will be included in the plan of sustainable procurement offered in September. I see the motion as a policy support.
ParlaMint-NL_2015-06-16-tweedekamer-31.u26	I would like to thank the Secretary of State for her reply. At the motion in part No. 325 leave the judgment to the Chamber. She sees it as support for policy. Is it possible to attach a date to that? The motion in part No. 326 is also tabled on behalf of Mrs Cegerek, Mrs Van Veldhoven and Mrs Mulder. Thanks for the answer.
ParlaMint-NL_2015-06-16-tweedekamer-31.u27	I said I'd take it with me in the evaluation of TPAC. I don't know when it's scheduled, but it'll be taken automatically.
ParlaMint-NL_2015-06-16-tweedekamer-31.u28	The motion-Remco Dijkstra (30196, nr. 326) has been amended to mean that it has now been signed by Mr Remco Dijkstra, Mr Cegerek, Mr Agnes Mulder and Mr Van Veldhoven. It seems to me that their submission is sufficiently supported. She gets no, was no. 326 ().
ParlaMint-NL_2015-06-16-tweedekamer-31.u29	I'm getting to the motion on part No. 327 by Mrs Cegerek. I think a prize is a nice idea. It's always good to reward the good. I will involve the motion in the ongoing plan of action, which you will receive in September. I'll leave the judgment to the Chamber. In the motion in part No. 328 the government is invited to engage with business leaders. That is also the commitment of the cabinet. We will also include this motion in the plan of action. Among other things, it discusses the transfer of knowledge. Existing criteria documents are also being updated periodically. The standards are updated periodically. That was done last April. I see the motion as a policy support. I'm getting to the motion on part No. 329 by Mrs Cegerek. The application of sustainable and circular purchases within the state buy-in is not covered by my portfolio, but by my colleague Mr Blok. Sustainability has long been an important criterion in procurement policy for the Empire. There are criteria documents that guide energy efficiency and materials reuse. Real estate adjustments are used to create creative solutions for energy saving and the sustainability of energy supply. I consider this motion to support policy.
ParlaMint-NL_2015-06-16-tweedekamer-31.u30	Thank you for your answers. Looks like there are no further supplementary questions.
