ParlaMint-NL_2015-12-16-tweedekamer-12.u1	I understand that the Secretary of State for Security and Justice will speak first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u12	It's kind of a weird show when you hear it like that. We've been asking for it for a long time. We've asked a lot of questions about it. Now the Secretary of State says: yes, perhaps it was a bit clumsy to sit there. We have had a whole speech here today. Everyone, up to the Prime Minister, says: it all went well. Is it supposed to try to apologize here with one apology, just keep shoving the rest under the carpet?
ParlaMint-NL_2015-12-16-tweedekamer-12.u13	No. I understand that Mr Roemer says that a lot of questions have been asked. To be honest, I am pleased that for the first time I can give an answer, tell myself how I have lived and reflected those days at the time I think: the logical contact between directors and MPs in that situation turns into a less appropriate participation in a conversation. I think so. If Mr Roemer finds it a pity that I acknowledge that, I find it difficult to place it. I am here trying to tell the House at the request of the House how it went, how I remember it and how I reflect on it what was useful and what wasn't. That's all I can make of it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u14	Let's just get the facts. You were a Member of Parliament at the time. You were given information at that time that I don't know how long the Chamber asked for. You've seen information. And whether Mr. Teven mumbled it or made it quite clear, you heard it. So a lot of information has come to you as a Member of Parliament, even parts of a discussion report. And there was never a ring of bells: I will inform the group chairman, I will have to do something else and I will ask questions, because now my integrity as a Member of Parliament is at stake. We had to wait until you could finally come and do your story in another position.
ParlaMint-NL_2015-12-16-tweedekamer-12.u15	This way, of course, we can dive into a new corner every time. I was there on March 4th. That's when the interview report didn't come. Then it was told about memories. That's what I was working on. Then it was told: yes, but they were also taken, who were examined, the Chamber knows that. I wasn't the one having the debate, so I haven't been to the confidential inspection of Van Brummen's report myself. So I don't know what's in there either. To be honest, I still haven't seen it. The moment the information came, I tried to test in those few hours whether that information was new or something like: ho once, we didn't know this. Exactly what Mr Roemer says. At that time it was always said: no, Van Brummen took it. In itself, it is. That we now know, thanks to the Oosting Committee, that that research was inadequate, I now know that too. At that time I experienced it in such a way that there was a press release in which two changes were made for the better, including on my advice. No different than that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u16	Finally, Mr Roemer.
ParlaMint-NL_2015-12-16-tweedekamer-12.u17	And you still don't feel... Look, the Cabinet has an active duty of information. You were there as a Member of Parliament. You've seen confidential information. You have been given information that you thought is exactly what the Chamber has been looking for all this time. And you still do not realize that we are all thinking here: why did he help to withhold that information?
ParlaMint-NL_2015-12-16-tweedekamer-12.u18	I can't go along with this. I have not at any time had the thought of encountering information revealing something that the Chamber has been remembering after some serious questions. I didn't feel like I was covering for anything either. I was just preventing things from happening that weren't right and sending the Chamber into the woods. That's been at two times. There was that Wednesday. Then it came Monday. That's when the receipt was found. Then, of course, I went to the department with an even more astonishing attitude. Mr Klaver asked me: what questions did you ask? I'll tell you what I'm gonna do later. There's a lot of them. Of course, I had those questions, too. That conversation did not lead to a new letter to the Chamber. That conversation led to the Minister who came to the conclusion that it was no longer sustainable.
ParlaMint-NL_2015-12-16-tweedekamer-12.u19	I want to believe that the Secretary of State, as a Member of Parliament and campaign leader, is by chance at the Ministry on 4 March, does not feel senang there and ultimately experiences something he has just said: it has crossed a line. Then why didn't he intervene when colleague Van der Steur came in? And why did both gentlemen come back for the same setting a few days after that?
ParlaMint-NL_2015-12-16-tweedekamer-12.u20	When the press release came, Mr Van der Steur was already present. It's not like I could say, "Get out of here." At that time, as I say now, I did not experience it as well. I'm gonna look back now and draw a line. Now it is said that not only the changes we charge you, but also the end product. So, even if you didn't agree, type or think about it, we'll charge you for that, because you were there. That makes it even stronger that you say: if you want to have a pure moment to prevent this, you just don't have to do it with a press release like that. On Monday we were further, because the receipt was found. We did not immediately have the impression, neither did I, that the line of defence, as it is called, was tested. That is something you must take critically. The instinct reflex would be to embrace that. The Minister's request was: come and test critically if what we have invented is true. I was in that part then. One of the things that was said was that we also stated in the reply... was that Monday was still the thought of saying: thanks to the information from Newsuur we were able to find it and that it was very difficult and technical. I understand that it was very technical for some people, but it wasn't that complicated if you had the right specialists. That information could have been found years earlier. Then your surprise gets bigger and there's a conversation. That conversation wasn't conclusive. You felt something during that conversation. I did not go in a positive direction, and apparently neither did the Minister at the time, because, on the basis of that discussion and the critical questioning, he concluded that it was not sustainable.
ParlaMint-NL_2015-12-16-tweedekamer-12.u21	I think the Secretary of State is fair, but, frankly, it's not getting any better. For the chairman of the political group has just stated that the presence of the two Members of Parliament did not change with him either on the fourth or on the ninth, that none of that was linked back to him and that there was no intermediate telephone traffic. Now the Secretary of State himself says that he actually felt the first time he wasn't supposed to be there, that there was another colleague who was also talking about the content and that they were coming back. That first time, Secretary of State Teeven mumbled an amount of 4.8; or not mumbled. The Director-General, who has looked at all this, then quotes it from a not very long note, from the notes. It also contains the amount of 4.8. And let Newsuur talk about 4.7! Then a Member of Parliament had all that Wednesday or Thursday and certainly that Monday all the reason to say: Minister Opstelten pick it out! And I quote Mr Dijkhoff himself: Secretary of State Teeven, we could have known this for a year, so find out, because this has to go straight to the Chamber; there is no need for political consultation within the VVD anymore, because this has to go to the Chamber! I appreciate that Secretary of State Dijkhoff is so frank, but I really think he is to blame for not thinking before: I hear the amounts that are being sought here and I see a note here while the Prime Minister maintains that there is no note even the day after the second meeting. Secretary of State Dijkhoff, did you actually report to the Prime Minister that I did see a note?
ParlaMint-NL_2015-12-16-tweedekamer-12.u22	Now we need to get back to the dates. That note was not quoted on 4 March. On 4 March the amount was called 4.8. That's what I was working on. Secretary of State Teeven mentioned that in a series of numbers that I also referred to. That happened for the same reason as Mr Pechtold says, namely: 4.8 or 4.7 seems a lot. So I asked: isn't that the same thing? The answer was no, because that was just the interest rate and there was something else. In other words, Mr. Bitch's memory was 7.1. That's what he came up with. That was probably good, but not accurate. At that point you don't have the idea either: oh, you knew this all along. Furthermore, Mr Pechtold gives me too much honour when he takes out of my words that I had that reflection at the time. I didn't. That's when you're in a conversation. That's what happens. Afterwards, I did have that reflection and I drew that line. It didn't happen at the time. I didn't feel like it was a tuxedo gun or very juicy information on that Wednesday either. On Monday, when the receipt was found, I asked for further information. Then we came to the memories. At that time, they were already less relevant, because for me the question shifted to: if it is now, how come you haven't found the receipt all this time? That discussion was not very long and Mr Opstelten's conclusion was that it was not sustainable.
ParlaMint-NL_2015-12-16-tweedekamer-12.u23	On 10 March, the group chairmen held a five-hour debate with the cabinet. There's been an hour's suspension. For that suspension, I asked about the existence of notes. I tried to put it as broad as I could. Mr Dijkhoff can read it all in the Acts. The Prime Minister insisted that there was nothing. After the suspension, he returned with the announcement that they were personal notes, not numbers. We are now reading in an interview that the committee had with him that numbers had been seen by him. With an angry eye, we read. Neither on 4 March, nor on 9 March, nor in the debate on 10 March, did the Secretary of State protect the Prime Minister by saying: I have long heard amounts muttering, I have been quoted and, yes, there is a personal note by Dg Roes about Mr Teeven's memory. Mr Teven's memory is not so bad, because he has also muttered those numbers. It was thought at the very last moment that it would be impossible to keep it, and now we have to support the Slob motion. But if that hadn't happened, if we hadn't found out that those personal notes with those numbers had been there, the cabinet would never have done so. I therefore ask the Secretary of State why, between 4, 9 and 10 March, he did not prevent the Prime Minister from simply standing here telling us that there was nothing left to find out. 'Cause there was.
ParlaMint-NL_2015-12-16-tweedekamer-12.u24	On March 4th, numbers were mentioned. I asked them if they were new. That was not the case. We may have a different opinion on this afterwards, but at that time I was sitting there with the government representative, the minister. He said those memories were shared with Mr. Van Brummen. An investigation has taken place on this subject. That's what the Chamber was informed about. The conclusion was that it was not enough substantiated memories to bring out that this was the number. That is not entirely illogical, especially if you know that the number was in the end very different from what Mr Teeven was already counting on. As far as I could see, this was within the scope of the information already provided to the Chamber. It didn't seem new to me. On that Monday, I did not see the report. That's another point. The next time someone says to me that something is a personal note, I would say that I want to be able to judge it myself, but at that time I accepted it. The Minister said that, the Director General said that: it's a personal note. I didn't read her. She wasn't read in full either. She was used by the dg to support his memory. When I asked her again and said that the 4.8 million seemed a lot, he used her to explain to me from literal quotes that this had to be 4.8 million plus 2.3 million, so 7.1 million and that this did not result in the same result. I felt the same way at the time. I thought this was one of the parts of a calculation that eventually came out completely different and very similar. I thought that was a coincidence. I didn't feel like I was coming across something at the time, all the more so because I didn't see it and this was just used. Even ifs and buts stand by me. I remember those quoted in the report. That was about all that was quoted to me at the time, I answer Mr Klaver. Furthermore, there was already a discussion that led to a resignation. That's where my memories end, but that was pretty much my experience of that day.
ParlaMint-NL_2015-12-16-tweedekamer-12.u25	Was Mr Dijkhoff present at that meeting on 4 March in his capacity as campaign manager or MP? Did that matter for his input at the time?
ParlaMint-NL_2015-12-16-tweedekamer-12.u26	I am very tempted to mention a name, but I am not like a former Minister of Security and Justice who can divide himself into different roles. I'm one person. I was MP as well as second spokesperson for Justice as campaign manager as well as just myself with an opinion. I didn't play cap-on-cap there. I'm not gonna say this was a part. I was there as campaign manager. This was also really about campaign issues. I was there anyway, and then I was asked to think with it. Then I didn't ask the Minister if he wanted my advice as A or as B, because I was in it as one person in the same way.
ParlaMint-NL_2015-12-16-tweedekamer-12.u27	Clear. The Secretary of State is looking back at the fact that it would have been better not to take that step. Can he explain why he is now drawing that conclusion? Does only "I was there so I'm there" or is there any reasoning behind what he would like to say to other MPs about how you deal with these kinds of dilemmas in the future and why?
ParlaMint-NL_2015-12-16-tweedekamer-12.u28	If I myself, as a ruler, come into such a difficult situation, I will not ask a Member of Parliament to take a look at a press response. That reflection was late. It just... it just... it just... it just... it just... it just... it The day after, on 5 March, there was a RTL debate with a statement that had many effects in the campaign. There was a campaign all weekend. So it all went on in fast-track. At that time I also really felt that my input contributed to a correct treatment of the truth rather than to an incorrect one. I still think that, but apart from that, I think it's wise that if you do talk about... Well, I found that somewhere there is a dividing line between the co-legislative and controlling task. I think a press release, even if you're afraid that a ruler will do something you would advise him not to do... Well, you're not supposed to see it. Once you see it, of course, it's hard to keep your mouth shut. When something is put in front of me and I see it, I, perhaps very pure, am not so composed that I think: it is a huge mistake but I don't say anything and figure it out with your wooden leg. That's not how I'm gonna be. That is why when you see the word 'press release', as a Member of Parliament, you can say that it is up to you as a ruler; I can talk to you about the content and then you have to do it yourself, because you should not do it to me to read texts.
ParlaMint-NL_2015-12-16-tweedekamer-12.u29	I respect that the Secretary of State says: I do not make a difference between the status of MP and that of campaign manager, because I cannot divide myself. However, I can imagine that in the capacity of campaign manager, you don't like things coming on the news that could harm the party you serve. In the role of MPs, however, you attach great importance to the extra emphasis being placed on the supervisory role of Parliament. How did you deal with that dilemma?
ParlaMint-NL_2015-12-16-tweedekamer-12.u30	I can imagine that question, but as a campaign manager, I've never been in it like that. I do not believe that covering things up is conducive to the image of my party. During the two years I have run campaigns, I have had many discussions, including with local and regional politicians, who have been active at a much smaller level. In addition, often the advice was to accept that it was not combinable and that it was better to make it clear as soon as possible that error is wrong and to draw conclusions from it than to try to cover something. A winged pronunciation was then "sharp knives make clean wounds" instead of a different view of that. That way I have not felt a dilemma. I found in that role that making mistakes isn't bad, as I still think. That's what I'm now carrying out in my role as a ruler. Together with the minister, I actively promote that culture there. It's okay to make mistakes, but someone has to have the courage to report them. If someone comes to you with a mistake, don't say: I don't want to hear this and what is this? This is not how you create a safe environment for that. We need to be open about that. V and J work for about 100,000 people. Let's just say they're twice as good as me and they only make three mistakes a year. So that's a lot of mistakes every day that we're responsible for. So once a mistake has been made, don't all start thinking: let's keep that away. In my first few weeks I sometimes received an opinion stating that I had no duty to inform the Chamber. That is at your service, but in many cases duty or no duty is that information simply comes when it is relevant. It's not every day rose scent and moonshine, and we don't have to run away from that either.
ParlaMint-NL_2015-12-16-tweedekamer-12.u31	The Secretary of State uses two criteria: rolling purity and sharp knives make clean wounds, or "you better put your misery on the table right away." I can't reconcile those two criteria with what happened in this file. I find it difficult to put the criterion of rolling purity in this context. I also find it difficult to reconcile hearing about the amount of 4.8 million with the criterion that the Secretary of State used just now, namely that you should immediately clean up if you hear something difficult or complicated. My personal irritation goes back to the debate in spring 2014, when there was a previous Minister of Security Justice here, who mentioned the amount of 2 million and many spokesmen here felt that something was wrong, but we were called upon to trust. So that's a matter of trust. You felt this wouldn't be the last debate about it. And we've seen it: there's been an investigation, there's been broadcasts from Nieuwsuur and every time there were other amounts. If the campaign manager, now Secretary of State, then heard of a different amount than the 2 million, then all the alarm bells had to go off, precisely because the Chamber, to which he himself belonged, had heard a different amount?
ParlaMint-NL_2015-12-16-tweedekamer-12.u32	If the situation was still such that the then Minister of Security and Justice left the Chamber under the assumption that it was 2 million, then Mr Segers had a very big point anyway. But at that point, the $2 million had already been corrected, withdrawn, apologized, whatever you want to call it. Then Minister Opstelten had said to the Chamber that he should not have done so clearly about the amount. He said: I don't know that amount at all; I can't tell you the amount, because I don't know; I may have to accept that I can never provide ultimate clarity; it might well be that somewhere else the amount pops up through another party; I have to accept that; I just can't tell you what's going on, because we don't know it here. In itself, those aren't tough announcements when you run a department like that. A year later this is certainly not the case if the receipt is still found by unlocking back-ups. It is certainly not the case when a report later reveals that there was information in another archive box as well. At the time we were there, the fact that the 2 million was wrong was already shared with the Chamber. The fact that Fred Teeven had memories was already known. That's what the letter said. They were weighed by Van Brummen. He said: it's all not sufficiently substantiated, you can't pin an amount on it. We were in a situation where the Ministry could only say: we do not know. And there were a lot of different amounts going around. It was especially frustrating that no one could endorse exactly what it was like. Well, news hours could have done that back then. That's good work, but that Monday got frustrating when it turned out that, if just had been sought in that place earlier and if specialists had previously been hired, we could have unlocked that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u33	A figure of 2 million has been mentioned. A flawed investigation has emerged, after which the Minister and the Secretary of State decided together that the Secretary of State did not have sufficient factual memories. The same Secretary of State turned out to have factual memories in the conversation with the campaign manager. He came up with an amount that, however it is compiled, surprisingly similar to that 4.7 million. Surely, in your responsibility as a Member of Parliament, all the alarm bells must go off? Then it cannot be that there is a press release, the first sentence of which reads: 'The Chamber has not been misinformed'? That's impossible, isn't it?
ParlaMint-NL_2015-12-16-tweedekamer-12.u34	I didn't feel any responsibility for that, because I didn't put that first sentence in. It was explained by the fact that at that time the Minister was already aware that the 2 million was wrong. It is said: it is not 2 million, but 4.7 million. Nor was it 2 million; that had already been corrected by the Minister. That that determination should not have been exercised, okay, that was already discussed in the Chamber. The state of affairs was no longer that the Chamber, if it were up to the Minister, was under the assumption that it was 2 million. That's where he gets the exact difference. In addition, Mr Van Brummen had not found in the investigation report, which also went to the Chamber, that there were no memories. If it is found that there are not sufficiently substantiated memories, then there are memories. They're weighted. I haven't done that investigation again in a few hours. At first hearing there was a sum of several amounts, of which one was very similar, but on second thought it was only part of a large calculation. That did not immediately make me think that the conclusion that the memories were not sufficiently substantiated to be able to do something with would be wrong. I do not read that in the report of the Oosting Committee. I read that the investigation should have been done much better. I do see the question as to why the Committee of Inquiry has not just been consulted. These are all legitimate matters that the cabinet supports and embraces.
ParlaMint-NL_2015-12-16-tweedekamer-12.u35	The then campaign manager spoke to a Secretary of State who had said in public: I know everything, you don't know everything. The Secretary of State had publicly said: the Minister has told the Chamber a good story with the 2 million. The investigation was flawed. We now know it was a flawed investigation and we already knew at that time that it was a flawed investigation because the investigator was not allowed to speak with the Secretary of State. The final conclusion of the flawed study was that there were insufficient factual memories. When such a sum comes up, when he went back to the group as a Member of Parliament, did the campaign manager say: boys, we have heard other amounts; I have heard something incriminating; we have to talk about this, because this affects the relationship of trust between Cabinet and Chamber?
ParlaMint-NL_2015-12-16-tweedekamer-12.u36	No, I didn't go back to the group anyway. What left me was that there were memories. It was already known. They weren't very concrete. Especially when we heard from Nieuwsuur an amount that I immediately thought was not for nothing, that it was well substantiated and that it was different from those memories, I could imagine that the conclusion that was already shared with the Chamber was the whole investigation report shared with the Chamber that on the basis of the memories of that person you could not give any certainty about or more indication of an amount. I found that plausible at the time. I checked every time and asked if this was new. No, it was the answer. Well, then report it in a press response if it went to the Chamber and if those memories were there. That's how I dealt with it. I haven't had the idea, and I still haven't really said that this was now the unveiling of the century. However, it was quite remarkable that at one time the receipt did come when the right people were hired to unlock those backups. Then you think it would have been much better for everyone if the first investigation had been good right away and this had been unlocked. Then there was clarity. Period.
ParlaMint-NL_2015-12-16-tweedekamer-12.u37	This Secretary of State is a great political talent. I can hardly imagine that he would have considered the information he received on 4 March as a risk, including for the campaign. He was there as campaign manager, too. He has indicated that he did not go back to the group, but I simply cannot imagine that he did not speak with people from his campaign team in that week or with the VVD summit about what changed on 4 March and that this might be a risk to the group. Can the Secretary of State comment on the contacts he had within the VVD between 4 March and 9 March?
ParlaMint-NL_2015-12-16-tweedekamer-12.u38	Anyone who saw the news announcement could have guessed that. It doesn't take a lot of political talent. I'm not gonna charge myself as credits for that at the time. Furthermore, of course, it has been discussed all the time, about the Nieuwsuur broadcast and about another receipt. This was also discussed in the campaign team. I also had frequent contact with the party leader. Now we have not discussed the details of the amounts, but it has been discussed that this amount could best be agreed. The first reaction was that it was denied, but I didn't think it was wise at all. That, of course, has been discussed. It was obviously one of the many risks we had in that campaign.
ParlaMint-NL_2015-12-16-tweedekamer-12.u39	Now it is a coincidence that the leader of the party with whom the Secretary of State spoke at the time is also the prime minister. I am curious to see how many times there has been contact with the party leader during that week and what exactly has changed. Has there been an exchange, for example, that Mr Teeven had very clear reminders of an amount, which the Secretary of State himself indicated in the conversation that it was very similar to the amount that Nieuwsuur indicated? Did that switch with the Prime Minister?
ParlaMint-NL_2015-12-16-tweedekamer-12.u40	No, the amounts didn't, because I didn't think that was a clear reminder at the time. It was a series of amounts, which began with two comma hopperepup. On that Monday the quotes came from the conversation report that was characterized as "personal." In the days in between, of course, I had daily contact anyway. It wasn't every hour, as it became later, but often. Then you talk about all these things. The fact that there were amounts and memories at that time was not new to me. That wasn't the point either. I didn't think those memories were so sharp after asking through, to be honest. At first it seemed 4.8 but when you asked through, you were told that this had to be added and that and then you get to 7.1. I didn't think they were that sharp.
ParlaMint-NL_2015-12-16-tweedekamer-12.u41	Still, that doesn't reassure me. I just can't imagine the campaign leader of the largest party in the Netherlands that he wouldn't share it with the party leader, that he doesn't share that there is a risk, that he still feels that the amounts presented by Nieuwsuur are very similar and that there is a great chance that this will break out. The Secretary of State is getting over it a little easy, I think, because there's been a lot of contact. Perhaps he could make an attempt and indicate when there were contacts with the Prime Minister during that week and when this matter was discussed in particular. That may be written, but he may also read it to you immediately. That is very important to me, because it is stated throughout the reply that the Prime Minister knew nothing. The Prime Minister himself often separates the party leader from the Prime Minister, and I am very curious to know what information he has been given as party leader.
ParlaMint-NL_2015-12-16-tweedekamer-12.u42	Yes, for the campaign leader and the party leader who does all the debates and with whom you have a campaign day on Saturday, that really means several times a day contact. It's gonna be really hard to distill that exactly. I can tell you what's changed about this case, but you don't change all the details right away. You give the headlines and then there are a lot of things to do. Now it seems as if all these days you were doing nothing but doing this, but that was not the case. It was at the heat of the campaign and then there are a lot of changes. I did, however, reconnect how things were and whatever press release was eventually modified. I also referred back to the memories of Mr Teeven who had already been shared in the investigation and said that this was not new either. At that time, I did not see that amount as the point of this matter. Frankly, that amount is quite different when you read it exactly in the report that is now public. I had more of the idea of how the Minister had informed the Chamber about this and how it should be if anything else was found. After all, a new search was announced.
ParlaMint-NL_2015-12-16-tweedekamer-12.u43	I have a little less understanding and compassion for it all. What happened on that infamous fourth, is that the Chamber and the whole of the Netherlands have just been tricked. Let's call the beast by the name, please. There were a number of people, including not only this Secretary of State but also Mr Van der Steur, who is now getting away easily because he does not have to answer any questions yet. But everything I say also applies to Mr Van der Steur. There were two rulers, then MPs, who helped to create a press release with which the Netherlands was fooled, because they knew, they knew that the amount of 4.8 million existed! Mr Teeven mentioned that amount. With that press release, you have been involved in cheating on the Netherlands by not reporting it. As Members of Parliament, you have forsaken your duty by not going straight to the Chamber and saying, "Guys, I just heard that 4.8 from the Secretary of State. Now a debate." That should have happened, and you didn't. That is why you are unreliable, just like Mr Van der Steur, and have helped to deceive the Chamber and the whole of the Netherlands. Those are the facts.
ParlaMint-NL_2015-12-16-tweedekamer-12.u44	Mr Teeven mentioned one of the numbers in a whole series. If I had ripped out that $4.8 million and rushed to the Chamber to say, "He said 4.8," I would have cheated the place. If I hadn't told you the truth, I'd have blown the place up. What I verified was whether it was new information. Was the fact that those memories existed information that was never weighed? I found that the fact that there were memories was shared with the Chamber and that the memories were weighed by a committee of inquiry. We can all find all kinds of things now, but at that time there was just a research report by Mr Van Brummen which was also shared with the Chamber. It concluded that the amount could not be traced. Eventually, we don't know because of those memories. We know the research work of Nieuwsuur was unfortunately necessary for that because of a new search, because it was found on the department itself. It didn't come out at a sum of 2,3 plus 4.8 interest rates is 7.1, but at 4.7. That's how we know it.
ParlaMint-NL_2015-12-16-tweedekamer-12.u45	No, Madam President. That's just not true. The Chamber didn't know a single number. The figures mentioned that evening by then Secretary of State Teeven, 2 million, 2.2 million and 4.8 million, did not know the Chamber. Minister Opstelten knew it, because that was how we read this week's report from the Director-General Rous. He'd already seen it, and that man was right to resign. On that evening, Secretary of State Teeven himself told Mr Roes what he said to you. He also mentioned the number of 4.8. You should not be proud that you supposedly saved them from a mistake by saying that the amount might not be right. You should have put that amount in! You should have said: that amount can certainly be right, because I have just heard from the Secretary of State. You should have gone to the House of Representatives and said: 'Ladies and gentlemen, I have just heard something. I'm one of you, because I'm a Member of Parliament at first; even more important than campaign manager. We've been fooled. We've been screwed." You didn't do that, and the Minister of Justice didn't do that. I will tell you that you have cheated and my group has already lost faith in you.
ParlaMint-NL_2015-12-16-tweedekamer-12.u46	I then verified with the data that came to me whether they were part of the correspondence with the Chamber and whether they were weighted in the investigation. That, I think, is where my responsibility as a Member of Parliament ends. Maybe that's why you shouldn't have that conversation there at the time. It is then the responsibility of the govern ment in its contacts with the Chamber to shape the information provision. This was designed by an investigation by Mr Van Brummen, which was also made available to the Chamber and in which Mr Teeven's memories were involved, weighed and qualified. That's how I looked at it.
