ParlaMint-NL_2015-04-14-eerstekamer-8.u1	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2015-04-14-eerstekamer-8.u12	I get that. This means that the gap is created by the fact that the government may have incorporated something into the budget too quickly, when it was not sure whether it was borne by the people's representatives. That is the way it should be formulated.
ParlaMint-NL_2015-04-14-eerstekamer-8.u13	I thank Mr De Graaf for this addition, but the gap remains. We agree that the gap would arise. That hole should then be closed by doing less to other core tasks of the AIVD. By the way, the implementation of the austerity package has been discussed with the House of Representatives in a general sense. This aspect has also been mentioned. In that sense, therefore, this aspect is not surprising. Indeed, the justification requires a change of law. That's what we're here for. It is entirely up to the First Chamber to accept or not accept that amendment of the law. I will pass by the five points mentioned by Mr Schouwenaar. Eventually, these points coincide in the main question: what is the obvious interest in underpinning the legislative proposal? It is clear, of course, that people are comfortable with reliable and loyal staff. That is why it may be useful to obtain the said statement. However, I can well imagine that a company will be able to satisfy itself of the loyalty of its staff without that declaration. At most, that statement can make a certain contribution to this. In fact, Mr Schouwenaar's third argument coincides with the first. Customers benefit from security. In fact, one should not even transport these customers from the government if that could not happen in a safe way. In that case, there could be no aviation at all. I have already gone into the fourth argument. All safety costs, for example when boarding passengers, but also on board the aircraft, are part of the security charge. A comparison is made with the cost of a permit. I am ready to say immediately that this is a different case, but the Council of State has held that, strictly speaking, the payment by the person benefiting from public transactions was discussed in that context about a licence.......................................................................................................................................................................................................................................... However, the Council of State stated that this should not mean that there should be fewer safety investigations at a time when this should be done on the basis of cost awareness. In fact, we need to cut the process in half. The question of which functions require a security investigation must be answered by the trade minister, in this case the Minister of Security and Justice. That's the only criterion. That is an immediate answer to Mr De Graaf's question as to whether safety requires such a safety investigation. Otherwise, there is no legal basis for the AIVD to infringe privacy in order to conduct the security investigation. That's the only criterion. However, when setting up the business processes, the aviation sector can realise that not everyone has to be placed in the highest safety category. It depends on how these processes are organized. Let me give you an example from another sector that is covered, namely the nuclear sector. One can set up the business process in such a way that Jan and all can be in the control room. For all these people, a security investigation must be carried out. However, one can also decide to restrict access to the control room to those who absolutely need to be there. The rest won't get in. In this way, less security research is needed. In my opinion, the price incentive will be nil. On an annual expenditure of 250 million for the security charge, it will generate an additional 3 million for the aviation sector. That's negligiblely small. I hope that for other reasons the number of safety functions will be reduced. Once again, it is the Minister of Trade who decides which functions need or do not need research. I shall move on to the other points that have been raised. Firstly, Mr Schouwenaar's question on the formation of a pool. The formation of a pool is in fact not permitted under the Intelligence and Security Services Act. The Council of State concludes that there must be an individual reason for someone to be eligible for a security investigation. Mr Meijer spoke extensively about the situation at the time of the Cold War and the role of the BVD. I do not want to confirm or deny at this point that this role has been played in the way he has outlined. I would just like to say that the AIVD is doing everything in its power to behave properly and operate within the limits of the law. It is not appropriate to recognise a category of "our kind of people" that is allowed to join while others are not allowed to do so. That would, of course, not fit within the criteria of the Wiv. Both parliamentary control and the CTIVD supervisor will monitor this. The above also applies to the burden of proof. It's a close listener. Failure to give a statement of no objection may mean that someone cannot get a job, so the criteria must be precise. These criteria derive from the Safety Investigation Act. Should there be any discussion about this, it should be strictly conducted with the Minister for Security and Justice. I'm not talking about identifying functions that require a security investigation. This also applies to certain cases where it is decided, after a number of years, that no extension of the declaration of no objection can be granted. That decision can be relied on under administrative law, which is a far-reaching step. The burden of proof is an important point for Mr Meijer. If someone has spent a number of unexplained years in the middle of a distant continent in the past, this may raise a problem, because one cannot be sure what the person concerned has done there. This may lead to a claim for certain categories of functions that there is too large a gap in a CV to be sure, which leads to the non-extendance of a statement of no objection. That's the system of the Safety Investigation Act. Mr Van Dijk made the important point that we must ensure that safety functions are always designated as such. That is the case, because it is done independently by the Minister for Security and Justice. Mr De Graaf asked: what about the costs? What exactly is that about? What about those two arguments? What was the dominant argument for this bill? I have already answered those specific questions. He quoted me. Then let me quote him. The process is that such an investigation will only take place if there is a real need for it in the context of national security. I have outlined this two-stage process, in which the organisation itself sets up its own organisation and then the Minister of Justice looks at which of these functions a security investigation entails. We have talked about private profit. Finally, Mr De Graaf has already announced a motion, if I have understood him correctly, on the broad theme of passing on security-enhancing measures. He also involved the entire police. That'll open up a huge discussion. He himself referred to football violence and the question of how to deal with its costs. I hope that we will be able to separate this discussion from the legislative proposal before us. Nor am I free to undertake such an investigation. That is 100% in the area of security and justice, because that is the subject we would be discussing. So I'm not in favour of doing that right now, but if the First Chamber wants to debate with the Minister of Security and Justice about passing on security, justice and police activities, that's possible.
ParlaMint-NL_2015-04-14-eerstekamer-8.u14	The Minister rejects something I didn't say, so that makes it easy. What I have asked is for the government to consider the principle of passing on the costs of public transactions and services, together with a policy framework. I didn't relate it to security and not just to the area of security and justice. So I ask the Minister of the Interior, on behalf of the government, to respond to that suggestion. If he rejects them, it may indeed be good that a motion for a resolution should be tabled in the second term.
ParlaMint-NL_2015-04-14-eerstekamer-8.u15	It is good that Mr De Graaf has explained this, because it is now completely clear to me. If you broaden this theme to include all public transactions and services, then you are also talking about free education, the cost of childcare and all kinds of other functions that are offered free of charge or are not offered free of charge, then it is in fact about the political debate on the following questions. Which topics are fully charged according to the principle of profit? Which are subsidised? Which ones are provided completely free of charge? Then I see whether the government is not in a position to give a useful answer in the broadest sense, because that is really a question of political preference. Mrs. De Boer asked about the proceeds. I mentioned it. I did say that this is a maximum, because the Minister of Justice is already in the process of reducing the number of security functions. This could mean that the costs involved are less than the 6 million estimated in 2012. This could mean that the gap that would be struck if this proposal were not supported would perhaps be smaller than the 6 million. At least that's the order of magnitude. It quoted the view of the Council of State. I just quoted it. Mr Holdijk raised a point to which I replied in general terms in response to Mr Schouwenaar's contribution. I thought I answered all the questions with that.
ParlaMint-NL_2015-04-14-eerstekamer-8.u16	Thank you. We have now reached the second term of office. I give the floor to Mr Schouwenaar.
ParlaMint-NL_2015-04-14-eerstekamer-8.u17	Madam President. I thank the Minister for his reply. He has answered a number of the questions raised on behalf of my group. As far as I am concerned, they have been adequately answered, but there remains the point that he himself pointed out as the key point. That's why I want to start with that. What the Minister said, I will summarize it in my own way, as I have tried before. In retrospect, I didn't quite manage to sum up the government argument, but well, you have to do it. The Minister used the example of civil aviation. He said there's a whole set of safety regulations before you get a plane into the air. You just have to live up to that, simply put. I have the impression that he'll ignore the fact that you could also distinguish types of security. I would just like to say that it is easy for us to call it national security and industrial safety. The staff, the equipment, the gates, the instructions to the staff and the checking that the staff is working properly, I call all the business processes. That's a responsibility of the company. The costs for this are also borne by that company. In addition, there is national security. I'm not going to venture to give a definition of that. That would be beyond my powers, but I would like to mention some features that are relevant in this context. First of all, we are talking about a certain scale. A single accident is not a matter of national security, however sad. He mentioned a number of examples: the sea dikes, the police, civil aviation, defence, gas supply and drinking water supply. I am glad he mentioned the nuclear power plant and blast furnaces as well. Secondly, it is a task of the government which it also carries out with its own people police officers, military officials, judicial officials, AIVD officials and foreign service officials and own resources. Think of the monopoly of violence and all kinds of privacy violations that are not normally allowed. Think about deprivation of liberty. It is therefore a task of its own that is carried out with its own people and with its own resources. Thirdly, it is the characteristic that benefits everyone. Maybe not everyone benefits from every component of national security and not at the same time. There may be a certain periodicity in it, but almost everyone benefits from it. You can't get out of that safety umbrella, even if you want to. In my view, this has the logical consequence that everyone pays for it through the general funds. I think I still have to maintain this point of view, despite the fact that the Minister has mentioned two arguments which do give me some thought but which do not cause me to hesitate for the time being. The Minister said this. I'm gonna put it back together my way. If I don't do it right, I'll hear about it in round two. He said in the first place: it is simply prescribed by the government. Air carriers must comply with this requirement. That is simply imposed on them by the government. That's right, but here too, it's good to make a distinction. It is sometimes said that the government is a multi-headed monster. I wouldn't want to do that, but the government does act in different ways. One of these is the capacity of guardian of national security, for which it carries out its own tasks with its own qualified people. Another of these is the government as legislator. That role is not unknown to us here. In this capacity, the government imposes regulations on everyone. However, this does not affect the role and responsibility of the government as the guardian of national security. We cannot wash that away through the regulatory and legislative tasks of the government.
ParlaMint-NL_2015-04-14-eerstekamer-8.u18	Are you watching your time, Mr Schouwenaar?
ParlaMint-NL_2015-04-14-eerstekamer-8.u19	Honestly, no, but I'm glad you do.
ParlaMint-NL_2015-04-14-eerstekamer-8.u20	You gave up five minutes, and here we are.
ParlaMint-NL_2015-04-14-eerstekamer-8.u21	Yeah. I still have a few words, which I still...
ParlaMint-NL_2015-04-14-eerstekamer-8.u22	It's gonna be real quick, huh?
ParlaMint-NL_2015-04-14-eerstekamer-8.u23	Thank you. I'll do it with less words.
ParlaMint-NL_2015-04-14-eerstekamer-8.u24	The longer you talk to me, the longer it takes.
ParlaMint-NL_2015-04-14-eerstekamer-8.u25	Okay, okay... The Minister mentioned the example that we go on holiday by car and can choose. However, even if there are a lot of people going by car, civil aviation remains an outstanding concern. All requirements and problems, and therefore all measures, benefits and costs thereof, remain intact. The observation is therefore correct, but this is not an argument that would enable national security and passerby to be involved in civil aviation. In my view, national security is very well separated from the large collection bin of industrial safety, which companies have to comply with. The government takes care of national security. So it can also be charged separately to all of us. That is still the starting point. However, our willingness to convince us is still there. I am therefore looking forward to the Minister's response, as was the case with the conclusion of my first round. I apologize for the delay.
ParlaMint-NL_2015-04-14-eerstekamer-8.u26	You haven't taken as much time as in the first term, but it's pretty close.
ParlaMint-NL_2015-04-14-eerstekamer-8.u27	Mr. Chairman. In my first term, I asked the Minister four questions. The first concerned the history of the past. The Minister has given a very safe answer. That is appropriate to the subject matter. He gives no judgment over the past and no confirmation or denial of it. That can also be significant in itself. In any case, the Minister's conclusion is that I am pleased that there should not be a system in which 'our kind of people' can carry out these functions and in which other people who do not belong to that inner circuit are not allowed to do so. The good intention is indicated, without real clarity. The second point I was asking about is the formation of the pole. Mr De Graaf of D66 has also given special consideration to this. He said that only those who actually have to perform a safety function should undergo investigation. The Minister is now making a very direct statement about the fact that polarisation is not allowed. That is clear in itself. However, the question is how it is handled. In practice, the phenomenon seems to occur. It cannot and will not be allowed in the future, but it may well happen in the future. Then how is it handled? There should be a little more clarity about that. My third question concerned the voluntary organizations which have an additional wish. Mrs De Boer has noted that there may also be negative aspects to this wish, and that is quite understandable. I passed the wish out of that circle anyway. I note that the Minister did not go into that. My fourth question was about the terms'sufficient' and 'insufficient'. The Minister says that it is also in another law. That's right. He mentions the argument of too big a hole in a curriculum vitae. That may indeed be a problem. I can sympathise with the suspicion that during that period the person concerned has done something very strange that relates very badly to the function to be performed. At the same time, it retains the element of possible arbitrariness. There is no guarantee against that. I come now to the point of 'criticism expressed by others'. Mr Schouwenaar on behalf of the VVD and, to a lesser extent, Mr De Graaf on behalf of D66 referred to the question of company co-financing. Unlike the VVD, our objections lie more with the cardigan pocket method within the government, namely the transfer to other governments, than with the transfer to companies. Those companies are not supposed to be too pathetic and undertake their activities on a profit-making basis. On the other hand, it is argued that the companies do not derive any direct advantage from it and do not affect the nature of the investigation, but do have to comply with a broader public obligation. That's true. I have to say, therefore, that this source of income is not the strongest part of the government's reasoning. Once again, our objections do not focus on this. However, we can imagine that others do object. The question then is how we can find a solution to this problem.
ParlaMint-NL_2015-04-14-eerstekamer-8.u28	Mr. Chairman. I would like to thank the Minister for the answers he gave in the first term and the discussion we had at the time. I come back to the two points I had intended to raise in the first term. The first point was the justification for this bill. This point has not become easier after the Minister's reply in the first term, because the Minister has actually taken back one of the two reasons for this bill. The Minister has, I believe, literally said that the price incentive is 'negligiblely small' and will be minimal, or minimal. At the same time, he has explicitly mentioned this price incentive as the second motive for this bill. That wasn't an accident. He said it again with so many words in a reply to this bill to this Chamber. The Minister expects that the cost overcalculation will focus more closely on the need to identify functions as a trust function. That's the price incentive. Now, however, the Minister says that this is virtually irrelevant and negligible. That does not strengthen the argument for this bill. The question then is whether we believe that we can and must charge the cost of a public service mission which is a task for the performance of the public service function, namely the protection of the national security interest to a company or other body, when it is necessary for the public authorities to assess whether the worker concerned is a good person from the point of view of national security. So that's not a business interest, it's a government interest. That's dominant. If it were a business interest, the government could also say that it does not matter whether a company makes it a trust function and whether a company wants to screen the person concerned. It would not be a matter of national security for the public authorities. The Minister is therefore very intelligent in this respect, but not very consistent. Like Mr Schouwenaar, I would, of course, like to have every opportunity in the second term to consider the Minister's response. However, I wonder if he is still able to build up new arguments on this issue. Which brings me to the responsibility of the trade minister. If a company believes that a particular function should be classified as a trust function, for which Pietje would like to have a trade minister, first establish that there is a trust committee, then we are going to do research. Can the Minister for Security and Justice say: looking at the organisation of Schiphol and airlines, I do not think that is true? That shouldn't be a trust function at all. You'd say that's the responsibility of the trade minister. Otherwise, all the functions of trust could simply be determined by this minister. It's about the expertise the ministry has. Is that right? Can the Minister say: looking at your organisation, I do not think you should regard it as a trusting function at all? In my first term, I asked the government to consider the question of principle when services for the performance and exercise of the public service mission are ripe for passing on or not passing on. What are the criteria for this? What principles should be taken into consideration? I have asked the Minister whether the government is prepared to consider this and provide the beginning of a policy framework. Unfortunately, the Minister threw that off with an extremely broad arm swing. That forces me to table the next motion, which I am pleased to note is that there is broad support for it. The President shall: Mr Thom de Graaf, Mr Lokin-Sassen, Mr Schouwenaar, Mr Koole, Mr De Boer, Mr Holdijk and Mr Backer proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, to date, there is no consistent policy line within the government on the question of passing on costs of public service tasks to citizens and businesses;]] [[Whereas, in order to ensure legal certainty, it is desirable to develop such a consistent policy line by establishing a framework for the consideration of transactions and services which may be subject to calculation;]] [[calls on the Government to send both Chambers a consideration of cost-sharing within one year, including an incentive for a balancing framework,]] [[and goes to the order of the day.]] [[She's getting No. kst-33673-D]]
ParlaMint-NL_2015-04-14-eerstekamer-8.u29	Mr. Chairman. Thank you to the Minister for his reply, which was very brief. Often that is good, but in this case the answer was perhaps very short. I note with Mr De Graaf that, in his reply, the Minister may have abandoned more than half of the basis of the bill. The secondary objective, which is to reduce the number of safety investigations, does not seem to be the issue anymore, because he says that the price incentive is nil. All the questions that have been asked about this reduction in the number have not been answered by the Minister. If that whole argument is overboard, I get it. If the Minister says that this is still the secondary objective, I would like those questions to be answered. The Minister is actually hanging up a whole story on why it is logical to pass on the costs of safety investigations, particularly in civil aviation. He uses as an example that costs of other security measures are also passed on. That confirms, on the one hand, my view that the problem is mainly with the cost of civil aviation, so that you should see how to solve it. On the other hand, I don't think the equation is entirely valid. For other security measures are safety measures that companies, or civil aviation, or Schiphol itself, must take. That's what the government's terms are for. The company must take those measures and bear the costs. Security investigations are services provided by the government. The security investigation is being conducted by the government. It can only be done by the government. The company can't hire another agency to do that. It is therefore a specific public task and the question of whether it is justified to pass it on. I'm not saying, by definition, that it should never be. I only miss the balancing framework and the criteria when that kind of cost is passed on. I haven't heard an answer to that. That is precisely the basis of the motion that has just been tabled by Mr De Graaf. When can we charge the government for tasks performed exclusively by the government to pass on to citizens and businesses? As long as we do not have a satisfactory answer to that question, we do not see why it would be reasonable to pass on these costs.
ParlaMint-NL_2015-04-14-eerstekamer-8.u30	I understand the Minister can answer immediately.
ParlaMint-NL_2015-04-14-eerstekamer-8.u31	Mr. Chairman. I will use my second term mainly to discuss the motion. But I still owe answers to Mr Schouwenaar and others. First of all, I will. Mr Schouwenaar summarized my position well. Thank you for that. He spoke of two different types of safety: industrial safety and national security. I will try to convince him that it is actually the scale and not the nature of the security risk that arises when a risk is referred to as a national security. When someone sits in a truck and is placed in a position to cause a serious car accident, in which he not only risks his own life, but also that of other road users, then that risk, which is there, is not weighed so heavily that a safety investigation is needed to become a truck driver. But when you work in civil aviation, you do. That's because the scale at which something could go wrong is bigger. The same applies to the manager of a fireworks store. There is no need for a safety investigation, even though it can cause an accident which will also cause serious damage to others. But when someone is on the switch at a nuclear power plant, the risk is so great that there is a potential breach of national security. I would like to say that, as far as I am concerned, it can also be about business safety in the cases we are talking about here, but that the scale at which it is at stake is such that the customers of the company and perhaps others too are at risk, but above all the customers of the company are at risk which the government believes should be covered up. The government itself does so on a small scale. When driving a vehicle, the government asks that a driving licence be held. The cost of this licence, which can only be obtained in a regulated manner by the public authorities, lies with the user. Once again, there is no national security at stake, but if there is a potential breach of national security, this can be attributed to the business activity in this case. That is why I stressed that consumers have a choice. They do not have to travel by plane, that can also be done in a different way, with all the advantages and disadvantages of it. That is a fundamental difference with, for example, a dike: a very hard collective good, from which you cannot escape. Then it is also of collective importance that this is financed collectively, as the teachings of public finances make clear to us. As far as the principle of profit is concerned, I do believe that all costs can be passed on in this way to those who benefit from the fact that this product, namely civil aviation, is being offered. So I really want to give up the impression that, in the first instance, the government might have done this in order to allow companies, which are also important in this respect, to contribute to the gap in the budget of national security. That is not the reasoning behind this proposal. It is really attributable to the specific activity of the different companies that this is about. I hope, of course, that I have answered Mr Schouwenaar's question sufficiently. Otherwise, I'm always willing to supplement that. Mr Meijer is right to say that I have remained at a distance from the assessment of the BVD at the time of the Cold War. The most important thing seems to me to be that there can be no difference in this kind of regime. I think we agree on that. The polarisation is still a good point. We can only conduct a security investigation to ensure that someone who works in a company or in the government needs such an investigation for the processes in which he is involved in his field of activity. That security investigation is being done for that person. If that person stops working there, for example, registering with a temporary agency, you can't always rule out that agency saying: we have someone with an approved security investigation. It is therefore not absolute and not waterproof, but the investigation must not be carried out if it is not clear in what context someone is going to do that work. Whether or not he is going to fulfil that position, however, the AIVD is not in control. On the subject of voluntary projects, the debate with Mrs De Boer has already taken place. I think that we can at least come to the conclusion that there is indeed an element in it that is sometimes not easy for those involved to accept. It may be that people who are totally in good faith and those of their lives have never done anything wrong, but who cannot explain what they have done those years of their lives in country X, are not admitted to certain functions. This is done on the basis of the precautionary principle: if you are not quite sure, you should sometimes prefer not to. I am well aware that this may be acidic for those involved. That, by the way, is the application of the Safety Investigation Act. We in the AIVD Group, as the responsible Minister, therefore do nothing about this in itself. I can therefore confirm that companies do not have any influence on the safety investigation process nor on the designation of the functions to which that applies. Mr De Graaf is going to weigh it on a bowl again. He himself indicated that his main argument is the same main argument as that of the government, namely that, in the context of adequate spending of resources for the AIVD, it is fair to attribute what can be attributed to the business process, both to the government and beyond, in this way. The price incentive is therefore secondary. I have already considered that the 3 million for the aviation sector, where there is 250 million a year in security charge, will not mean that the whole process will be redesigned in aviation. It may be different in other sectors, for example at a nuclear power station or in other institutions with such functions. There are also public sectors subject to safety functions. Here and there there are indeed places in the government where people have said too easily: do a safety investigation for them and for them. I'll leave it in the middle for a while, which places within the government it is, but here and there it's more true. In general, however, I believe that this price incentive will be minimal. In reply to Mr Schouwenaar's question, I spoke about national security. I will answer Mrs De Boer's questions first. Then I come to speak on the motion. Indeed, I did not go into the follow-up questions on the price incentive, because I have already said that I do not think that the effect will be great. I also think that shouldn't be big. Let me explain: I would like these processes to be set up as safely as possible. If someone needs €87 to do safety research, for example in civil aviation, then so be it, and then you have to buy it. Do I think there's too many safety investigations going on? It is not up to me to judge this; it is up to the trade ministers. I note, however, that at least the Minister of Justice is trying to reduce the number of security functions in several places.
ParlaMint-NL_2015-04-14-eerstekamer-8.u32	In order to clarify this legal procedure, I have one more question. Does the Minister say that what was originally the secondary objective in the reply, namely to limit the number of security investigations, is no longer the objective of this law at all?
ParlaMint-NL_2015-04-14-eerstekamer-8.u33	It is a secondary objective which I believe will have a very small impact in the largest sector we are talking about today, namely the aviation sector, because it is not yet 1% of the safety costs. This means that there remains a small secondary objective. In other sectors, price awareness may be higher. In other sectors there are also functions for which an in-depth safety investigation is carried out. A political assistant to a minister will be expanded before his appointment, with his entire environment, for days. That will always be the case; however, that is a much more expensive study.
ParlaMint-NL_2015-04-14-eerstekamer-8.u34	Then my conclusion is that the Minister of the secondary objective of reducing the number of security investigations already says that this bill does not actually contribute to achieving that secondary objective.
ParlaMint-NL_2015-04-14-eerstekamer-8.u35	This is not an important objective in aviation. I just said that. In other sectors it may be somewhat different. I have also pointed out specific sectors within the government where people sometimes say a little too easy: let's just do a little security investigation. The primary goal is to use the budget of the AIVD for the primary process of the service. Over the years, a budget has gradually crept in that, within the proportions of the budget of the AIVD, is quite large and one has to say that it could be attributed to the business processes to which it contributes. Then the AIVD could devote more time and resources to tracking down terrorists or other activities relevant to national security. I'll close with the motion. The final operative part asks to find out what costs the government incurs, whether or not they can be passed on. That is not limited at all now. This concerns, for example, whether the foundational education is rightly free, as in the Netherlands, or whether it should be imputable, as in the United States of America and whatever is technically possible. I like that a lot, but I see who the signatories are. If the First Chamber of the States-General asks the government to initiate a weighing-up framework, I'll see what we can do.
ParlaMint-NL_2015-04-14-eerstekamer-8.u36	Mr Schouwenaar, briefly.
ParlaMint-NL_2015-04-14-eerstekamer-8.u37	I'd like to come back to the beginning. Have I understood correctly to the Minister that he says that there is a gradual and not an essential difference between national security and industrial safety? Isn't it true that the gradual differences, if they are large enough, can also become essential differences? And what does that mean for the task, responsibility and cost allocation?
