ParlaMint-NL_2015-09-29-tweedekamer-27.u1	I welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2015-09-29-tweedekamer-27.u13	Bet's nice. We all have a stake. My commitment is to make childcare a public provision, for example. In the debate, Mrs Yücel said that all toddlers could go to the nursery two parts of the day. Now she says this is her bet. I understand the Labour Party is breaking promises here again. Unfortunately.
ParlaMint-NL_2015-09-29-tweedekamer-27.u14	What Mrs Siderius is putting forward is totally incorrect. Our commitment, ambition and expectation are that all toddlers can get an offer for a few parts of the day. Only we don't stop at the reservation of the money. I am now asking the Minister, on behalf of the Labour Party, how this is being worked out and whether we can achieve this in practice. This is just regular chamber work.
ParlaMint-NL_2015-09-29-tweedekamer-27.u15	No other speakers have come forward. Before I give the floor to the Minister for Social Affairs and Employment, I shall suspend the sitting for a few minutes.
ParlaMint-NL_2015-09-29-tweedekamer-27.u16	Mr. Chairman. Mrs Siderius' motion for a resolution 282 I must advise against. We are currently working on a new funding system for childcare, in which the government directly finances childcare organisations and makes an income-dependent contribution to parents. One condition is that the parents of the children who have been taken care of work. It is important that we create a system that is transparent and functioning well. That's what I want to focus on. We're working hard on this system, with all the checks-and-balances. We've agreed to this with the Chamber. We're testing the system with additional functionalities and user groups and I don't want to burden it with more implementation and ICT risks. In Mrs Siderius' motion to item No. 283 is requested by the government to allow parents to apply for childcare allowance as of 1 January 2016. I don't recommend that motion. The motion is, first of all, not enforceable on such short notice. Secondly, for the children's playrooms, we will first equalise the quality requirements from 1 January 2017 and then the financial structure will be aligned as of 1 January 2018. That's a real timeline. Then I come to Mrs Yücel's question.
ParlaMint-NL_2015-09-29-tweedekamer-27.u17	I'm getting the floor a little late, but it's my first motion. The minister says he doesn't want to burden the ICT systems with multiple scenarios. I think he's jumping to a very strange conclusion from this motion. In this motion, the government is asked to do better research and also to see if it can be done even more easily, by including this other flow of funding in the simple, flexible, effective funding system advocated by the Minister. So I'm just asking for research. I am not asking for ICT systems or anything like that to be burdened.
ParlaMint-NL_2015-09-29-tweedekamer-27.u18	I believe that the motion calls for multiple scenarios, backed up by opportunities, risks and financial transfers. So that's not just anything. The speaker should therefore not be surprised that I am against it. The debate already showed that I was against it. Mrs Siderius now wishes to refer this to the Chamber. That's her right. I'm just dissuading the adoption of that motion.
ParlaMint-NL_2015-09-29-tweedekamer-27.u19	That's clear. Mrs Siderius, do you have another question on the motion for a resolution? 283 dissuaded by the minister?
ParlaMint-NL_2015-09-29-tweedekamer-27.u20	If I could, Mr. Chairman. This motion concerns the child care allowance for the preschool playroom. The Minister says that it has been decided that the financing structure will not start until late. The parents who let their children go to the playground apparently do not need that child care allowance now. However, that money is reserved. I am therefore curious to know exactly where the money is going. Can the Minister explain that?
ParlaMint-NL_2015-09-29-tweedekamer-27.u21	The money is now in the municipalities, which partly also buy places for toddlers. Mrs. Yücel asked about the 60 million for toddlers. In order to ensure that that money is spent properly, I want to make agreements with the UNG on this. We do not want to impose a blueprint, but rather to give municipalities room for local customization. The starting point is that municipalities can make choices that fit the local situation. Of course, I will inform the House of Representatives at the important moments.
ParlaMint-NL_2015-09-29-tweedekamer-27.u22	I think Mrs Yücel asked: can this money reach all toddlers from the moment it is released? I did not get out of that entirely in the interrupting debate with Mrs Yücel, but I think she asked the Minister that question at the time. In any case, I am curious about the Minister's answer to that.
ParlaMint-NL_2015-09-29-tweedekamer-27.u23	I understand. The answer will therefore come as soon as I have more to say about the agreements with the UNG.
ParlaMint-NL_2015-09-29-tweedekamer-27.u24	Mr Van Weyenberg, we are not going to reopen the debate. If you have a very short question, I'll allow it. Otherwise, we're gonna have to move on.
ParlaMint-NL_2015-09-29-tweedekamer-27.u25	If the cabinet makes money available in a budget, does it have any idea how many young children can achieve it? I understand that there's still a discussion going on, but can't the Minister really give an indication of it?
ParlaMint-NL_2015-09-29-tweedekamer-27.u26	Sure, we have an idea. That is also in the budget. This needs to be worked out in agreements with the VNG. That was also my answer to the question.
ParlaMint-NL_2015-09-29-tweedekamer-27.u27	Mrs Siderius, I'd like a very brief question. We have had the debate and it is not customary to debate it or reopen it.
ParlaMint-NL_2015-09-29-tweedekamer-27.u28	I understand that, but the Minister's answer is special. The budget states that development law allows all toddlers to go to the preschool playroom free of charge. So I don't know what the Minister's so hard on about. Or is he pulling out now and saying that maybe not all toddlers can go to the preschool for two free day trips?
ParlaMint-NL_2015-09-29-tweedekamer-27.u29	I'm not being difficult. The question was how am I gonna spend that $60 million? That's what I want to make arrangements with the municipalities and then I'll come back to the Chamber. I do not see her anymore, Mrs Voortman, said that she might want to have the Central Planning Office pass on other scenarios for the additional 290 million for childcare. Of course, you can always do that. The Chamber can do that. If she asks me for scenarios, I can pass on that question. It is good to realize that this is no longer possible for the year 2016. The Tax Administration really has to work with the schedules that have already been made. That's why I've been discussing things with the Chamber for Princess' Day. It may be important for later years, because that amount of 290 million is structural. However, this warning is part of that. It is not realistic to think that all kinds of scenarios can still be passed on, which may then be processed by the Tax Administration.
ParlaMint-NL_2015-09-29-tweedekamer-27.u30	I thank the Minister. The motions tabled will be put to the vote on Tuesday. I'm gonna suspend the meeting, but I don't know for how long. The settlement talks about having an extra debate today. It is not yet clear what the schedule will look like.
