ParlaMint-NL_2015-10-01-tweedekamer-9.u1	I give the floor to the Minister for Security and Justice for his first answer.
ParlaMint-NL_2015-10-01-tweedekamer-9.u72	From the facts you can see that sixteen times there has been talk of a photo moment. In this respect, it is incomprehensible that this is not sufficiently understood by this Minister in the preparation of Question Time, given that it is a politically very sensitive issue. Just a little more precise, though. Between the broadcast of Brandpoint Reporter on Sunday evening and Question Time there is quite a while. What has the Minister himself been doing to really call everyone together, drum up and say: people, I want to know the seam of the stocking? It is not yet clear to me what effort the Minister himself has actively made in this regard, given that it was such a politically extremely sensitive issue, which this Minister was aware of.
ParlaMint-NL_2015-10-01-tweedekamer-9.u73	I just said that. I've called together all the people who were supposed to be there. I said, what's going on? How are we gonna do this? I had received the D.A.'s notice by now. The discussion was about whether there was a violation of the media ban. Everyone involved informed me about this, about the media ban. It was discussed in the discussion that a lot of scenarios, as well as the scenario of taking a picture, had been discussed in the preliminary stage. As I have already said, I have simply failed to assess the nature and scope of these communications. As a result, I did not ask about it myself. However, I did not realize that there was anything to ask, except that I wanted to know exactly what was going on. I then promised that in Question Time, also because it was not clear to me which of my predecessors was aware of at that time, although I knew by now that everyone assumed that they were not aware that that picture would be published on 17 June, as stated in the letter I sent to the Chamber.
ParlaMint-NL_2015-10-01-tweedekamer-9.u74	A little more precise, though. This Minister was informed orally and did not appreciate the scope of that communication. We can find anything we want. But what is still lacking in this piece, the preparation for Question Time in which it did not go well, is the lawyer's warning. The lawyer warned the state's attorney that if the whole story didn't come up, he'd make it public himself. That's what happened in the end. The Minister has also reached that communication.
ParlaMint-NL_2015-10-01-tweedekamer-9.u75	Yes.
ParlaMint-NL_2015-10-01-tweedekamer-9.u76	Did he underestimate the value of this communication too? How exactly did that go? I think that is also an important point.
ParlaMint-NL_2015-10-01-tweedekamer-9.u77	The President of the College of Attorney General reported in that consultation, in front of him, that... no, he did it afterwards. When we were standing there he reported: by the way, his lawyer is very angry. I have been completely unaware of why that would be the case. As Mr Van Nispen rightly says, I would normally like to know the seam of the stocking. In this case, however, I did not know that the stocking had a seam. That's what I've been blaming myself for. I also regret that I did not think enough at the time: wait, preliminary and photo-scenarios, I need to know that before I go into Question Time. Question Time's approach was still the question of whether the publication of that photograph was a violation of the media ban. That was ultimately the focus. The information provided by the D.A. and the discussion with my officials focused on whether there has been a violation of the media ban. That was the limited focus. That was also the essence of the story in focal point, along with two other points, namely the welfare allowance and the question of whether or not he wanted to have a job.
ParlaMint-NL_2015-10-01-tweedekamer-9.u78	Did the minister himself see that broadcast on Sunday night?
ParlaMint-NL_2015-10-01-tweedekamer-9.u79	No. The Minister was very hard at work at the time. He had two bags full of pieces he had to read. Moreover, the Minister was not aware that the broadcast would come.
ParlaMint-NL_2015-10-01-tweedekamer-9.u80	Then I assume that the Minister was informed about it at the latest on Monday morning. By the way, you would expect a communication department to inform the Minister about that. After all, the Prime Minister also made a rather strong statement on this matter towards Ministers of Justice. So on Monday morning it is known that the broadcast was there. It seems to me that then all the alarm bells go off at the Justice Department, because this is a very fragile file. Even so, the minister won't be updated until Tuesday. What was done all Monday at the Ministry to at least inform the Minister of the progress of the matter?
ParlaMint-NL_2015-10-01-tweedekamer-9.u81	The question has just been asked: when did you all come together? The answer to that is Tuesday morning. I am assuming that I have looked at my agenda for a while; I had about fifteen appointments in a row on Monday that I was also working on this in between. I don't remember that, but I'm sure it will. On Tuesday morning we discussed the way in which I would reply in Question Time. In my opinion, I had more than enough information for that at the time. After all, the question that was raised was whether or not Van der G. had violated his media ban with that photograph. The answer according to the D.A.'s office was no. That is the way I went about Question Time. I admit once again that I did not look enough at the stocking to discover the seam in it, which had been communicated to me, albeit for another purpose, namely that it had been discussed in the preliminary stage. I should have concluded at that point: then I want to know the how, what, who and where exactly. Now it also turns out that we only knew exactly after five days. So that wasn't ready in the department either.
ParlaMint-NL_2015-10-01-tweedekamer-9.u82	Before the Minister came to Question Time, he knew that the photo option had been discussed for many months before.
ParlaMint-NL_2015-10-01-tweedekamer-9.u83	No.
ParlaMint-NL_2015-10-01-tweedekamer-9.u84	The Minister was aware of this. That's what his letter says. There was direction and the photo option was discussed within his ministry and within the DA's office. The Minister knew that. The Minister also knew that Volkert van der Graaf's former lawyer had been in contact with the prosecution: the truth must come out, there must be good information, or else I will. The Minister knew that before he came to Question Time. The Minister has chosen to say that the Public Prosecutor knew one day in advance that a photograph would be taken. That's not "not knowing exactly the seam of the stocking." That is not a lack of focus either. That's putting the Chamber on the wrong foot. That is incorrect information to the Chamber. That is incomplete information to the Chamber. I'd like to get a response from the Minister.
ParlaMint-NL_2015-10-01-tweedekamer-9.u85	First of all, I didn't know about steering committees and all these months. If I had known that, I would have answered the questions differently, as it says in my letter. That goes without saying. What I knew was that the question was: is the media ban broken, yes or no? I knew that there was a notice saying: no, the media ban has not been broken. I had heard verbally that there had been some talk about a photo. I didn't get enough of that. That is what I said in the letter, which says that I should have done otherwise. In future, I will do the same differently if one of these things happens again. So I didn't know what I know now. If I had known what I now know from the investigation, I would of course have answered the questions differently. So does the D.A.'s office. This states that it should have included the context of the history of the post, so that I would have been fully informed about it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u86	The minister knew that the photo-option had been the subject of discussion. He got that information from the state's attorney's office before he came to the chamber. That's what the letter said. He also learned from the prosecution that the lawyer was pissed off and had said: if the truth doesn't come on the table, then I'm going to tell it. Then you can't just stand here and say with dry eyes that the D.A. was surprised that it heard a day before a photo was going to be published? That's really, really throwing the Chamber completely on the wrong track. I'm sorry.
