ParlaMint-NL_2015-02-10-tweedekamer-25.u1	I would like to welcome the Minister of Finance.
ParlaMint-NL_2015-02-10-tweedekamer-25.u12	Finally, Mr Merkies.
ParlaMint-NL_2015-02-10-tweedekamer-25.u13	I'm trying to make it concrete. Take, for example, a balance sheet total. Does what Mr Koolmees says then mean: the bank that comes out of here has too large a balance sheet total? Mr Koolmees does not need to mention a specific number, but does he want a specific number to be mentioned in the end?
ParlaMint-NL_2015-02-10-tweedekamer-25.u14	We also had this discussion a few months ago. I was then corrected by the Minister, who said it was ultimately about the risk. I agree with him; in the end you also have to look at the composition of the balance sheet and see how much risk there is on the balance sheet. That is why the Antonveneta Directive would be the right way to consider the criteria to be laid down in the law in order to prevent the emergence of these large banks. I think Mr Merkies and I are very much in agreement on this.
ParlaMint-NL_2015-02-10-tweedekamer-25.u15	I suggest you move on.
ParlaMint-NL_2015-02-10-tweedekamer-25.u16	My third point is the role and position of the AFM. Mrs De Vries has also drawn attention to this. The Netherlands is the only Member State with the so-called twin peaks model. This requires some customisation in the application of this Regulation. My specific question is how to avoid duplication of tasks, resulting in double supervisory burdens. The ECB and the AFM may also conclude a cooperation agreement, a MoU. How's this going? Finally. Colleagues have already mentioned the role of the European Court of Auditors. We have had a long discussion in Parliament about the role of the Dutch General Court and the supervision of the banks, and the ability to understand supervisory confidential files. The Minister has promised to work for this in Europe as well. A letter was issued at 6:08 p.m. clearly stating that the Minister still thinks this is an important item and that he wants to commit himself to it. However, the question is who is really bothering and why. Can this be repaired at a later date, so that the European Court of Auditors does indeed have control over this information?
ParlaMint-NL_2015-02-10-tweedekamer-25.u17	Mr. Chairman. The PvdA strongly supports the European Banking Union. The financial malaise of the major banks and the "too big to fail" problem, which ultimately led to a financial and European crisis, can only be tackled on a European scale. Today, a part of the legislation is in place to make this possible further: European banking supervision. I have three points today. The first concerns the national head of European legislation. Not all parties in this Chamber are always happy about this, but the PvdA Group is strongly in favour of at least setting up two different issues than European legislation. The first is the bonus legislation, which just entered into force last week. This is Europe's strictest bonus legislation. The question is how and to what extent our national regulations will soon be monitored. Is it going to be as strict as we had foreseen, as the Dutch Bank would have otherwise planned? How was that secured? The second is perhaps even more important for the health of the financial sector: the buffers, the leverage ratio. As previous speakers have already pointed out, a letter will shortly be sent to the Parliament, stating how the 4% leverage ratio, which differs from the 3% European agreed leverage ratio, will be introduced in the Netherlands. Will it be maintained, too? Is that something that's being watched out for? How does that happen? My second point concerns the role of the AFM, or rather the supervision of behaviour. We monitor the way in which institutions operate, both micro-prudentially and macro-prudentially; the latter is about whether they are not putting the system at risk. We also supervise behavior: do financial institutions not sell garbage? In fact, the Netherlands has a system that is unique in Europe. It is therefore understandable that a relationship has been agreed with the AFM, as clearly explained in the answer to the parliamentary questions. The question is whether there is nothing in Europe to learn from the AFM and the Dutch situation. I know, for example, that a very strict behavior monitor is also active in England, but in other countries of Europe that is regulated differently. Are there not agreements at European level in developed products that could be harmful in all countries? What's the affair? Can we not learn lessons from the functioning of our AFM in Europe? It's working pretty well. Well, that's a good thing to say. We often have discussions about bodies that are not working as well, but the AFM is acting fairly adequately. What are the possibilities of using this also in the financial sector in the rest of Europe? A great deal has already been said about the third point, the accounting function. We have arranged this well at national level; Mr Koolmees is already looking forward to it. It is somewhat regulated at European level, according to the Minister's letter, but not with full access and a full mandate. That'd be good. The PvdA Group therefore calls on the Minister to make a commitment to this in Europe. Finally, I would like to endorse two good points made by my fellow Members. Mr Merkies was committed to providing information to the Chamber, including the information channel, as you might call it, between the Chamber and the Central Bank. I thought those were good and rightful questions. Mr Koolmees and Mrs De Vries said that the time limit for granting licences is being extended for a very long time. They asked whether this is really necessary, as we have an interest in a prudent, careful, but also rapid supervisor. Can the Minister answer that?
ParlaMint-NL_2015-02-10-tweedekamer-25.u18	Mr. Chairman. Banking supervision is an important step for the stability of the financial sector. Risks are transferred from individual Member States and taxpayers to the sector itself. This does not mean that all risks to the taxpayer have been averted; I will come back to that later. Although the CDA supports the banking union, there are still quite a few fragrant edges to this step. That is what I am thinking now, or I agree with colleagues. First of all, I come to the interlinkage between the ECB's supervisory tasks and its monetary tasks. Although the government indicates that the separation of powers is well arranged, the CDA still has questions about this. In the end, the decision-making power for both tasks rests with the same body. Officially this problem is addressed by "strictly separated meetings and agendas." Furthermore, there are all kinds of safeguards with possibilities for appeal and appeal. Nevertheless, the CDA envisages that the ECB's dual role in the future will pose problems in the future and, in all honesty, even How, for example, can it be that bank stability requires additional risk buffers? The ECB's supervisory branch may decide to do so. However, this can be quite negative for lending and thus for the economy and the inflation target. The monetary branch of the ECB has an interest in increasing the amount of credit granted by banks. It's the same organization that has different interests. It's waiting for this to twist, despite all the Chinese walls. Now there's nothing we can do about this. The Lower House will have to be particularly sharp when the ECB is accountable to the European Council and the European Parliament. The Lower House may also invite someone from the ECB's supervisory board to ask questions. The President of DNB, Mr Klaas Knot, came by last week for the monetary section. Furthermore, a mediation panel has been set up that can mediate in cases where DNB and the ECB disagree. Can the cabinet indicate who should be on the mediation panel and how decision-making is to take place? What happens if that mediation process gets stuck? The CDA's concerns about the intertwinedness of tasks and how this is reflected in the supervision of banks could still be removed if there were a body that could exercise independent control of them, such as the National General Court in the Netherlands could have done for a few years, until the Banking Union was introduced. We have seen in the Netherlands that this is very important. We went to the Netherlands just because Vie d'Or broke down. I would like to thank the Minister for the letter which states that the relatively small proportion of expenditure which is not only about pens but also about the slightly too large towers that are sometimes built at the ECB can be controlled by the European Court of Auditors. However, the taxpayer has only really gotten wet on the need to recapitalise banks, for tens of billions, in Ireland, Spain and the Netherlands. The European Court of Auditors cannot check whether that has been a good thing. That has been discussed before. Colleagues have already referred to this. In July, there was a letter of fire from the General Court of Auditors on improving the ECB's powers of control. The Minister has agreed to commit himself to this. When can we see the step of a concrete treaty change? That is what is required. The Germans also had this opportunity, so maybe they want to participate in it. Is the Minister or the Deputy Finance Minister prepared to put this issue on the table on behalf of the Netherlands at the next Eurogroup meeting in February or whenever it is taking place? I now hear that I am confusing the Eurogroup meeting with Ecofin. Is the Minister prepared to put this issue on the table at Ecofin on behalf of the Netherlands and to obtain support for it? This is exactly a point on which countries such as Ireland and Spain, which have had to invest a lot of money to capitalize their banks, should agree. I suspect that this does not have to be a political point from North to South or from the weaker ones towards the strong euro countries. This is a public interest for an enormous amount of public money. I come to talk about the role of DNB. The answer given by the cabinet shows that the role of DNB is seen differently. The ECB has the vast majority of decision-making powers and can therefore overrule DNB. The example has already been mentioned: the statement of no objection. DNB makes a draft decision, but the ECB may take a different decision. This is the result of a banking union, but we are questioning this. The risks of banking no longer lie with the taxpayer but with the banks. How does the Minister see the process if he considers such a merger to be highly undesirable and if the ECB does allow it to continue? We would point out that the CDA group, like the D66 group, has repeatedly argued in the Chamber for a merger stop, at least for a temporary merger stop for megabanks. We do see mergers of this kind as a danger. I refer to the motion in part No. 71 (32013) and to a number of other motions that we have tabled. I agree with what Mrs De Vries said about the AFM. Her speech was perfectly clear on this point. We are also wondering how valid this twin peaks model is if the rest of Europe does it completely differently. We may find that model ideal in the Netherlands, but if you do it together, you can reconsider it. Also the Financial Supervision Act more generally, is something that can be reconsidered. There are now quite radical changes in the Wft, but is that law still working? I thought that was a little for integrated bank insurers. I do not think we have much of that at the moment, after all that has happened. That law is therefore intended precisely for a development which is not actually taking place anymore. Will a plan be drawn up to deal with a systemic crisis in the banking union? At the moment, the banking union assumes that every now and then a bank is going down. There are solutions and funds for that. However, resolving a systemic crisis with current capital does not seem to be one of its capabilities. What happens if, for example, the derivatives market collapses as such? I would like to receive the Minister's commitment to this in another section on the Banking Union, and to have a stress test carried out on this. In that case, the banking union will really be tested. Colleagues have already addressed the question of whether you can also join a banking union voluntarily. How long, and until when, is a country formally in the Banking Union, with all the things that go with it? Let us take the totally fictional example of a country that would leave the euro. Does such a country, as soon as it leaves the euro, immediately pay attention to the problems with its own banks? Or does that country still fall back on the backstops and guarantees contained in this system? This does not seem to be regulated. It is therefore possible for banks from outside the euro area to join the banking union, but my group would like to know what is happening at the time of exit. That can be a very expensive moment. I come to monetary policy. We have just discussed a problem between banks, general supervisory policy and macroeconomic policy. There may be a collision between them. However, the CDA Group points out that the current policy of the ECB transfers the cost of the crisis to savers. Dutch pension funds are the biggest saver in the euro area. They have the greatest power. Because of low interest rate policy, we can safely call it a zero interest rate policy. A pension fund can no longer buy a government bond with a ten-year maturity over which it receives more than 1% interest. In fact, if a pension fund buys a five-year Finnish government bond, the fund has to pay to Finland to lend money. That's not going very well. This means, in fact, that there is a shift in costs and that the costs are borne by pension funds. Who in the European Union is going to defend the interests of pension funds and savers? So I am not talking about the billionaires, I say while I look at Mr Merkies. I see him reacting, but I'm just looking at him and I'm not saying anything else. But I do mean something by it. I'm talking about the ordinary savers, the ordinary pensioners. It is not a question of imposing additional taxes, but it is implicitly imposing a huge tax on pensioners. My group would like to know who is going to take care in this monetary policy field in this banking union that they will not ultimately, in an indirect way, bear the costs of the current financial crisis disproportionately.
ParlaMint-NL_2015-02-10-tweedekamer-25.u19	Mr. Chairman. A multitude of questions have been asked in response to this bill. I'd better go straight to the answer without too much introduction and fuss. The first question concerns the division of roles, not only between the European regulator and DNB, but also the relationship with the AFM. Mrs De Vries said that she assumed that there would be no duplication of supervision. That's up to her. That wasn't the case in the old model either. There was a demarcation: what did DNB do and what did the AFM do? In any case, there was one specific point on which we were working together. Those were the driver's tests for fitness. A procedure is now being agreed for this. That power goes to the ECB. The ECB shall decide on this at the end of the day. However, an agreement is made on how the AFM is to be heard. To that end, excuse me, I have to blow through my nose... a MoU is being developed that's going to be shut down. There isn't yet, but it's about to close. That's for sure. Moreover, the ECB may decide independently in the driver review, but may also request DNB to prepare a review. The AFM may then give a binding opinion to DNB for a draft decision and may also give its own findings to the ECB. In the case of so-called "less significant banks', the AFM may also issue a binding opinion on the decision taken by DNB. In all cases, the ECB shall have the last word. It's exactly laid down in a protocol. The AFM is talking to the ECB about this. It seems to me to be a very good idea to lay it down in a protocol. I can assure your Chamber that she will be informed of this, so that everyone will know how that is done. An important point for your Chamber and for myself is supervision. There are a few points to make. We did indeed send another letter to your Chamber at the end of the day. That was also because another request came my way at the last minute. However, I have made a distinction between those cases in which auditors have jurisdiction and what they supervise. It is not the case that the European Court of Auditors has no powers over the ECB. He does. However, it is a question of effectiveness in particular. Does it work? Is there any timely intervention? Are the good requirements and the risks recognised in good time? It is therefore a question of effectiveness, not of legality or efficiency of the means employed and so on. To this end, the European Court of Auditors simply has powers. In Dutch law, we have very recently regulated that the General Court may even look into supervisory confidential files in order to form an image of the effectiveness of the policy. This aspect has not yet been settled in Europe and European legislation. Your Chamber attaches great importance to this, the Dutch Court of Auditors attaches great importance to it and I attach great importance to it. So that's what I'm gonna do. I've had a question about the advisory panel. I believe that was a question from Mrs De Vries. In the Netherlands, the financial sector, represented in an advisory panel, can express its views on the supervisory budget and policy. He has no formal powers or direct influence on this, but he can share his views on it. There is no such panel at European level. There are, of course, all kinds of possibilities to exert influence. For example, in ECB policy, policy documents are consulted and there are public consultations, where the sector has ample opportunity to express its opinion. Furthermore, there is, of course, the possibility of exerting national or European influence towards Parliament and commenting on policies where that is at issue. The same applies to the material standards of ECB supervision, including those resulting from EBA technical standards. They are also consulted with the sector and there too the sector can make its voice heard. There is therefore no permanent panel in which policy can be discussed over and over again, but there are established procedures for consulting and taking the comments of the sector. Furthermore, accountability to the European Parliament and the Council for what the ECB supervisory leg does is crucial. It shall forward the ECB's annual monitoring report to the Council and the European Parliament, as well as to the Commission and the Eurogroup. That can all be discussed there. The ECB may also be heard by the euro group. It may be invited to hearings in the European Parliament to further account for ECB supervisory tasks. The ECB may also be questioned by the EP as to how it actually applies its policy in practice. The EP can also carry out an inquiry into this subject within its scope. The agreement is now that the Commission will review the SPS every three years. I thought Mrs De Vries asked if it could be followed for two years. In any case, a three-year evaluation period has been agreed at European level. And then I'll wait for the interruption.
ParlaMint-NL_2015-02-10-tweedekamer-25.u20	You'd better finish your sentence first.
ParlaMint-NL_2015-02-10-tweedekamer-25.u21	The sentence is finished.
ParlaMint-NL_2015-02-10-tweedekamer-25.u22	Indeed, the ECB should be primarily accountable to the European Parliament, but a guiding statement was requested here. Maybe the Minister can make that statement. When it comes to a statement of no objection or something that affects exclusively one of the seven Dutch banks, does the Minister think that the ECB should be prepared to attend a hearing at that time? After all, the Dutch taxpayer also bears a part of the risk. Now I am not talking about all the circumstances, but about the moment when an important decision is being taken that affects the Dutch financial sector. Is the Minister prepared, under these circumstances, to make an effort to ensure that DNB wants to be heard here? Sorry, I mean the ECB.
ParlaMint-NL_2015-02-10-tweedekamer-25.u23	DNB can also, because DNB does not disappear from the picture. I'll get back to you on that. DNB shall become one of the main performers under the responsibility of the ECB. In those supervisory teams also under the ECB's responsibility, primary DNB people will do the work. Having said that, both representatives of DNB and representatives of the ECB are prepared to appear if the Dutch Parliament or any other national parliament so requests. If Mr Omtzigt means 'before decisions are taken', then that is not possible. Powers are simply laid down, for example resolution decisions. That could also be supervisory decisions. They have been mandated to an independent supervisor. But accountability is always possible, except for supervisory confidential information. However, certainly at the level of policy how did you apply your policy or how do you deal with it with the Dutch banks? I think that's just settled. Let me say here that I also think it is desirable and will insist on it if it is necessary for representatives of the SPS/ECB to come to the Dutch Parliament as well. Take, for example, the point of cost. In the Dutch Parliament we often talk about the costs of supervision, which have increased considerably. How is this going to be under European competence? People from the ECB have said to me that they are willing to come to the Dutch Parliament to tell us how they will deal with this, how they will get to that cost-building in the budget, how they will justify it and how they will try to keep it under control. On these issues there is a willingness to inform the parliaments.
ParlaMint-NL_2015-02-10-tweedekamer-25.u24	I'd like to have it a little more sharper. It is very good if the ECB says that it is prepared to come. In a while, there might be other people there. I am concerned that we, as well as other national parliaments, have an information right. So do we also have the right to have the ECB's management come along if we ask for it?
ParlaMint-NL_2015-02-10-tweedekamer-25.u25	I do not know to what extent this question differs from Mr Omtzigt's. A number of things are simply explicitly regulated. For example, the monitoring report will also simply be sent to the national parliaments. That happens unsolicited, and Parliament has a right to do so. That will happen every year. If the Chamber then invites the ECB/SSM representative to a hearing or a closed conversation, that hearing or conversation will take place, whatever its nature and subject matter. It has been explicitly stated that this possibility exists.
