ParlaMint-NL_2015-04-21-eerstekamer-7.u1	I give the floor to Mr Schouw.
ParlaMint-NL_2015-04-21-eerstekamer-7.u12	I'll get to that in a minute. My firm conviction is that the appointment of the mayor does not belong in the Constitution, but can be properly regulated in an ordinary law. The same applies to the appointment of the King's Commissioner.
ParlaMint-NL_2015-04-21-eerstekamer-7.u13	I hear you say that, but say that the appointment remains in the Constitution and that there is a politically broad-based idea of modernising the method of appointment, for example by analogy with the practice that has been established since 2001-2002. This could then be regulated by ordinary legislation. Does that not contradict the fact that the appointment remains in the Constitution?
ParlaMint-NL_2015-04-21-eerstekamer-7.u14	I don't know. I hope that, in this Chamber too, the idea of getting the appointment out of the Constitution and regulating it by ordinary law is widely supported. That's what I'm here for. I do not think I have entirely helped Mr Thissen.
ParlaMint-NL_2015-04-21-eerstekamer-7.u15	No, but it could happen.
ParlaMint-NL_2015-04-21-eerstekamer-7.u16	I'm gonna finish the block on history. I was at March 22, 2005. The way things went back then, I leave everyone's own memory. As initiator, I took up the proposal again in 2012. In 2013 it was dealt with in the Lower House. I come to the block on the issue of ordinary law or constitution. This morning, many questions were raised on this subject. Does the Constitution include the way in which the Constitution is appointed? Is there sufficient need for a constitutional change? I am very clear about that: there is good reason to change the Constitution. The provision on appointment does not really belong in the Constitution. I'm flying it on two routes. The first is that the appointment of the mayor and the king's commissioner is not a key element in the state establishment. The second approach to look at it is that it contains no safeguards for citizens' rights. That is the basis of the proposal for an initiative: the method of appointment does not belong in the Constitution. I shall deal with four questions on this point. Where's it supposed to be? When are you going to change the Constitution? Is there a big interest? This question has also been asked by a number of Members. What's the biggest barrier?
ParlaMint-NL_2015-04-21-eerstekamer-7.u17	I have listened carefully to what Mr Schouw has just said, namely that it is not necessary to establish the method of appointment of the mayor in the Constitution. I was just thinking about the way ministers were appointed. Every time "Mayor" was said, I filled in "Minister." I came to the conclusion that if that reasoning stands up for the mayor, she will stand up for the minister. Is Mr Schouw therefore in favour of the constitutionalisation of the appointment of ministers at KB?
ParlaMint-NL_2015-04-21-eerstekamer-7.u18	I thank Mrs Van Bijsterveld for the question. But I am standing here today with an own-initiative proposal on the deconstitutionalisation of the mayor's method of appointment. I'm not here to deconstitutionize all kinds of other things. If there was a broad constitutional review on this point, your Chamber often talks about it, then you could take it with you. I would like to draw Mrs Van Bijsterveld's attention to the following. One might wonder why the Constitution does contain the method of appointment, but not the tasks, and why, for example, there is nothing in it about dismissal. My view is: it doesn't belong there. This was also reflected in Mr Engels' contribution.
ParlaMint-NL_2015-04-21-eerstekamer-7.u19	I am not, of course, interested in discussing the system of government at national level. I am concerned about how consistent Mr Schouw's reasoning is. But I understand he doesn't want to go into that further.
ParlaMint-NL_2015-04-21-eerstekamer-7.u20	Mrs Van Bijsterveld understood that correctly. I am dealing with this initiative proposal. I try to defend that as best I can, on behalf of a large part of the House of Representatives. I am not free to philosophize about other matters that Mrs Van Bijsterveld might propose to take them out of the Constitution. I think she understands that this doesn't fit in with my role. But it might be appropriate for the government to say something about this. With that I hope to be able to serve Mrs Van Bijsterveld a little bit. Where should the appointment be? In order to conclude that the method of appointment can be deconsulated, there are two questions to be asked. The first question is whether the method of appointment is essential for the organisation of the main state institutions. The second question is whether the method of appointment is essential for citizens' rights and obligations. In my view, the answer to both questions is a clear no. The Constitution does not govern the way in which many other state institutions are appointed either. Look, for example, at the Presidency of the Water Boards. That is not in the Constitution either. With regard to these posts, regulations are always sufficient by law. Nor is it clear why the mayor and the king's commissioner should make an exception here. The applicant's position is therefore that the method of appointment of the mayor and the King's Commissioner is not of such importance that it should remain enshrined in the Constitution. The current constitutional provision is also an article addressed to the administration. It is a procedural article that does not create any substantive rights or obligations for the ordinary Dutchman or..... to put it into a framework that is common for the passage of treaties nowadays........................................................................................................................................................................................................................................ What is the reason why you would change the Constitution? Mr De Vries also asked very strongly about this. Is there sufficient need to amend that Constitution? Mr De Vries said that more people, including Mrs Van Bijsterveld, did that there should be an urgent legal or social need for an amendment to the Constitution. My view is quite frankly that such a very sharp and necessary criterion is perhaps very difficult to apply. I would remind Members that the procedure for amending the Constitution is already very difficult. Two readings are required, the second reading being carried out by a two-thirds majority in both the Second and First Chambers. This provides sufficient guarantees and guarantees to prevent a frivolous handling of the Constitution. I would point out in abundance, but I would like to say it here: it is only the first reading today. The proposal does not, therefore, explain the need for de-constitutionalisation, but I quote 'that there is reason to consider a proposal to change the Constitution to de-constitutionalise the appointment of the Commissioner of the King and the Mayor'.
ParlaMint-NL_2015-04-21-eerstekamer-7.u21	I see that Mr De Vries is trying to interrupt. I would point out to him, however, that there are also interruptions through the chairman.
ParlaMint-NL_2015-04-21-eerstekamer-7.u22	Mr President, I am aware of that. Maybe I did it wrong. I would like to ask Mr Schouw whether he is not saying the same thing twice. He says that there is a heavy procedure for the Constitution, and that is actually the legal and social necessity. Or does he say that this procedure is so difficult that you no longer have to prove a legal or social necessity?
ParlaMint-NL_2015-04-21-eerstekamer-7.u23	I am trying to explain that the criterion of legal and social necessity is not to cut with scissors. You cannot say: when the vessel is so full, the legal or social necessity has been sufficiently demonstrated. It's also a matter of appreciation. I think you should see it in conjunction with my first point, and that was that it does not belong in the Constitution, because it is not essential for the establishment of the state and citizens cannot derive any rights from it. You can do it perfectly by ordinary law. That is where it belongs, I say to Mr De Vries. Secondly, and in fact a plethora: a constitutional change requires an extremely difficult procedure and then no one, not in the Lower House and not here in the Upper Chamber, goes ice-cream over one night.
ParlaMint-NL_2015-04-21-eerstekamer-7.u24	That is true, but in most cases there is also a serious reason for such a difficult procedure to enter into that procedure. I would remind you that Mr Plasterk, in a debate recently following the English motion, said very emphatically on behalf of the government: it may be desirable, but there really must be a legal or social need to do so. You do not give rise to a need for legal or social action. What you are actually saying is that if the draft law is adopted, the need has been demonstrated.
ParlaMint-NL_2015-04-21-eerstekamer-7.u25	Once again, there is a legal need because this is not part of the Constitution. That's my belief. You can also settle this fine by ordinary law. However, if you do not support that first argument, you do not see the legal need either. I understand that very well from Mr De Vries' point of view, but I also ask you to understand my position. The legal necessity lies in the fact that the method of appointment does not belong in the Constitution. I would also like to say a few words about the social need, as Mrs Huijbregst also spoke about this. There are parties, I have heard them here today, who say: it is good to look at the position and role of the mayor, but in his whole context. The same can be seen in the report of the Society and its conclusions. The Society says: we would like to talk about the changing role of the mayor in the local government, provided that you include the whole context. This indicates that there is a certain social need to have that discussion. However, when this social need turns into social necessity, it is arbitrary. That is my view.
ParlaMint-NL_2015-04-21-eerstekamer-7.u26	I would like to take a look back at previous statements by Mr Schouw. He talked about the social necessity and said that the feeling that there is reason to change also depends on the appreciation. I was already muttering into myself: you see, so still politics. He sketches how complicated and heavy a constitutional change is. I'm very simple in that sort of thing. Can't he explain something? You don't go into these kinds of trajectories if you don't want something to change. I can hardly imagine that he alone thinks that the appointment of the mayor or the way in which the mayor is appointed should be removed from the Constitution, because he wants to write pure law.
ParlaMint-NL_2015-04-21-eerstekamer-7.u27	It is good that Mrs Huijbregts asks that question. I have heard the First Chamber correctly, but of course I have also heard the House of Representatives well. I've also seen what the Society thinks. That says: it is good to conduct the discussion about the mayor's method of appointment, but in a broader context. In addition, this bill can help. I can't anticipate models or anything. I will come back in a moment to the question of what this process might look like. You see in society, in society, a good substantive discussion. I believe that the Group of the European People's Party (Christian Democrats) and European Democrats in this House strongly insisted on this. Mrs Huijbregts and I agree. There has also been talk of whether there is a major interest in resisting the decentralisation of the level of appointment regulation. As many of you know, the mayor hasn't been a rich organ since 1962. Article 125 of the Constitution therefore only refers to him as a municipal body. There may be something interesting going on with the King's Commissioner, but I have to say that he is primarily a provincial body and Article 126 of the Constitution gives him the opportunity to act as a rich body. There is therefore a possibility to give to the King's Commissioner, but that possibility is not a cornerstone. So there is no question of breaking continuity in that respect. Nor do I see a compelling link between the possibility given and the method of appointment.
ParlaMint-NL_2015-04-21-eerstekamer-7.u28	Mr Schouw mentioned the position of the King's Commissioner. Would he not make his proposal more acceptable if he looked at the Belgian situation in this respect, where it is not so differentiated in the legislation, but where the practice is that the mayor is elected by the Council and the Commissioner of the King, who is called the Governor, in the same way as in the Netherlands? Those functions are handed out as a power of the government, with all the party political struggle around them, as recently between VLD and N-VA around the governorship of the province of East Flanders? That is where the King's Commissioner is dealing with an appointment from the top and for the mayor an appointment from the bottom. Perhaps that differentiation can allow you to refute that point of criticism at least.
ParlaMint-NL_2015-04-21-eerstekamer-7.u29	Mr Meijer raised a very interesting point, which was also raised by the VVD Group. If I sum up very briefly, the question is: can the outcome of a wide-ranging discussion on the methods of appointment and organisation of the board lead to a differentiated outcome for the mayor on the one hand and the Commissioner on the other? Yes, that seems quite possible to me. But the most important task is, I think, that the political parties, the mayors, the aldermen but also the scientists will use each other in the coming time to have a good discussion with each other. The fourth point I would like to mention here is the question of what the biggest barrier is to have a good discussion about the future. There's a pretty brilliant response to that. However, that is a response that I take from the defence of this same bill in 2002 by then Minister De Vries. Just give me a minute to quote that reaction. "A meaningful debate on the appointment of the mayor should be possible without the shadow of a long and uncertain procedure of constitutional revision. The Constitution is wrongly too high a barrier." Those were the words of the then government, in 2002. I also hear from many members of the House today that it is a high barrier. So if we now take a step towards removing that barrier, we can also have a good discussion with each other.
ParlaMint-NL_2015-04-21-eerstekamer-7.u30	Mr Schouw cites Minister De Vries, whom I find an honor. However, he is debating today with the Member of Parliament, Mr De Vries, who has explained the development he has experienced in his thinking since then, namely that this was a major mistake. I honestly confessed to that. Why don't you take that with you, Mr Schouw?
ParlaMint-NL_2015-04-21-eerstekamer-7.u31	What I am saying is that there are four things involved in the change. I belonged to the discussion in the Lower House and now also in the Upper Chamber. This is such a point. Basically, if you want to have a good discussion with each other about the position of the mayor and the relationship with the other bodies in the local government, you will have to take a first step in that constitutional change.
ParlaMint-NL_2015-04-21-eerstekamer-7.u32	I am not a De Vriesexegeet and I do not want to pretend that I want to be one. I do not know how many more mistakes he has made; if we have to talk about this, perhaps this debate will take much longer... But did Mr De Vries, as Minister De Vries, not mean exactly the same as what I have just asked the initiator in the event of interruption? I am referring to the question of what would stand in the way of a normal, ordinary law in which we change or anchor the way in which the mayor is appointed as it has grown in practice, while leaving the appointment of the mayor in the Constitution.
ParlaMint-NL_2015-04-21-eerstekamer-7.u33	I would ask Mr Thissen to reply to his question so that I can understand it. What exactly does Mr Thissen mean by his question?
ParlaMint-NL_2015-04-21-eerstekamer-7.u34	What if we don't change the Constitution? Suppose we leave the appointment of the mayor as it stands in the Constitution, but by ordinary law we regulate the way in which the political, administrative and social support may arise or will arise in society. Perhaps that has grown in practice as it has now. Isn't that what Minister De Vries might have meant? Not that I have the pretence of being a De Vries exeget.
ParlaMint-NL_2015-04-21-eerstekamer-7.u35	Now I understand very well what Mr Thissen means. If we...
ParlaMint-NL_2015-04-21-eerstekamer-7.u36	One moment. Does your question follow, Mr Meijer? Then maybe they can be taken right away.
ParlaMint-NL_2015-04-21-eerstekamer-7.u37	I would remind Mr Schouw that in my first term I have already pointed out the possibility that, if necessary, we shall not have my preference, while retaining the current text of Article 131, exactly what is being said either by the advocates of the mayor elected by the Council or by the supporters of the directly elected mayor. Such legislation does not necessarily have to be contrary to the Constitution. Indeed, if it is contrary to that, the current regime, which, even if it comes between the powers that exist for the King's Commissioner and the Minister for the Interior, would already be contrary to the Constitution. The question is, therefore, if the constitutional change does not take place, to what extent this is a blockade to do what Mr Schouw and I want.
ParlaMint-NL_2015-04-21-eerstekamer-7.u38	Of course, I'm very difficult to see in the future. But if you look at the whole dossier, you will see that if there is no first step towards constitutional change, a discussion about how we are going to do it in the future is not going to be enough, because there is no confidence that this constitutional change will happen. If a first step is taken now, you will see that the discussion will start in full force. That was the reasoning at the time, and I believe in it, which is why I quoted the government at the time. That debate is also necessary. We have already seen some evidence of this: the society has come up with a good model discussion and the minister has come up with a number of variants and has even said that he wants to facilitate the discussion in the future. That's the end of the matter, to say it unparliamentary.
ParlaMint-NL_2015-04-21-eerstekamer-7.u39	Mr Schouw does not answer my question directly. My question is whether the amendment he is advocating and which I am also advocating could also be possible within the existing constitutional article. I have already asked this question in the first term. I understand that Mr Schouw is defending his constitutional initiative. I agree with him on this; let there be no disagreement. But the question is whether you could achieve the same effect in another way, a question also raised by Mr Thissen.
ParlaMint-NL_2015-04-21-eerstekamer-7.u40	I should like to say the following: it is not a good solution. Indeed, as many have argued in the first term, we have a bit of a hybrid situation at the moment. On top of that, I would argue that the method of appointment does not belong in the Constitution. So get rid of it now. You can also take the pragmatic path, as the representative of the SP suggests. But I'm giving him a note that if we settle it by ordinary law, others in this house will say: yes, but, really, it can't, because it can't be done by the Constitution. That's how everyone keeps each other on this subject. I therefore thought it right to take it very gradually. First the constitutional change in the first round in Lower House and Upper Chamber. Then round two. In the meantime, the government can facilitate discussion with society about future models. That seems to me to be the most orderly way of doing things.
ParlaMint-NL_2015-04-21-eerstekamer-7.u41	I would like to put one more argument in the middle, precisely about this case. If the Constitution were to remain intact in terms of appointments, would it not mean limiting the ideas that a person might have about the best solution to this problem, while at the same time remaining above the market, and constantly entering into debate, that those possible best solutions might be contrary to the Constitution? That's what I'd be worried about. That's why I think it's very sensible to listen to the initiator of this so that I can first make a free pass for all possible variants and then start talking about all these variants.
ParlaMint-NL_2015-04-21-eerstekamer-7.u42	The initiator fully agrees with what Mr De Lange says. The order of things such as the initiator and the government that are before them is by far preferable to the maintenance of the current constitutional article. We need to get rid of that. In the meantime, we need to facilitate a good discussion. I come to my third block, which I have just referred to as "the actuality." This is actually outside this bill, but questions have been asked about it. A note from the Minister and the Society has also been published, as has already been mentioned. It is good to take a look at the problems that are currently taking place in local government, or, more positively and enthusiastically, the challenge. I would, of course, also like to point out that I do not want to anticipate any discussion about any form of appointment. It has already been quoted from the much mentioned study of the Dutch Society of Mayors. This study was carried out by the University of Tilburg. Their opinion shows that this mayor's role should be seen in the light of the whole system, with all actors and mutual relationships, with a view to ensuring good governance. That's how the society writes it down. Questions have also been asked about this; it has been asked whether the applicant also believes that the method of appointment of the mayor should be seen in isolation or in conjunction in the future. The answer to that is: you must, of course, see this in conjunction with the other organs. In my opinion, this is in line with the wishes of the society. There are some relevant developments in the office that I would like to share with this Chamber. In abundance, I note that it is not my observations but comments from the study that have been made. My comments are based on a recent review of the position by Professor Pieter Tops, Professor Fijnaut, but also a practicer like Dick de Cloe. They shared some observations in January 2015. Actually, it comes down to three points. One has to do with the changing social environment; many members have already talked about it. From a passive attitude of citizens, we move towards a much more active attitude. Local government has become more of a cooperative government. Mr Thissen already mentioned the horizontal nature of the board. This also has significance for the role and function of the mayor, because a self-evident acceptance of the mayor's short term "positional authority" decreases. Professor Tops writes that a mayor must earn the authority in terms of content and style all the time; it is no longer automatic. The second point relates to the growing task of the mayor. Look, for example, at the safety book, the licensing or the deprivation of liberty of people; the identification of areas where preventive searches are required. It'll give us a lot of discussion and tension. Mayors say so, by the way. There is a tension between, on the one hand, the friendly bourgeois father or mother and, on the other hand, the strict role of decision-maker. The mayor comes to this point more and more often in a spagate and under a magnifying glass. The third point relates to the dualisation of the influence of the council which sometimes limits the relatively independent role of the mayor vis-à-vis local politics. There is much more to be said about it, but I think that in a utility shell this is the three challenges that local government faces, including this Chamber, the political parties and the minister.
ParlaMint-NL_2015-04-21-eerstekamer-7.u43	Mr Schouw just mentioned the tension area, namely the role of the mayor as a citizen's father and as the one who must be strict. How's he gonna do that in the ordinary law?
