ParlaMint-NL_2015-03-24-eerstekamer-8.u1	I give the floor to the Foreign Minister.
ParlaMint-NL_2015-03-24-eerstekamer-8.u12	Mr. Franken next.
ParlaMint-NL_2015-03-24-eerstekamer-8.u13	My interruption relates to Mr Kox's first point. It's the procedure that matters to me. If you want to stop financial flows, you need to take action through banks, through legal entities and through all kinds of persons. That is not only with bombs, but also with the executive tasks of the financial institutions. I assume they're working with blacklists. What kind of lists are those? Is that the black list originally drawn up by the United Nations? Are there any legal measures against this? Can you object? Or does this happen to people without them knowing where it came from? We have seen this happen a few times in Europe. How is this implemented?
ParlaMint-NL_2015-03-24-eerstekamer-8.u14	I'll start with the question of effectiveness. There are a number of positive developments to be observed in the fight against ISIS. Firstly, there is an intensive coalition and an intensive coalition consultation. There is broad agreement on how to combat ISIS. This agreement exists between countries which are not normally on the same lines. Secondly, on the question of financial resources, I should like to come back to the question that was specifically asked about this, and the reports I have seen, from the coalition, indicate that there will be a prohibition of ISIS. This concerns oil revenues and what is drawn from the local population. That will also be less, so that can also have a dramatic effect. At the same time, the financial institutions work very closely together. In the Netherlands this concerns the Dutch Financial Intelligence Unit. This gives priority to the financial identification of possible jihadists and what they call "facilitators" for the benefit of the prosecution and the investigation services. To detect such transactions, the Financial Intelligence Unit prepares profiles with risk indicators for banks. Then you can see what kind of transactions are risky, and that is of course done in other countries as well. Cooperation has intensified, including between the authorities involved in the Netherlands. Among other things, it concerns the prosecution, the FIOD and DNB. As far as the lists are concerned, of course, the United Nations lists also depend on the information provided by Member States. This can also be information from the Netherlands as a Member State. That is, of course, looked very closely at. The Public Prosecutor's Office has to do with this, as well as the investigation services and the NCTV. On the basis of the law, a decision is taken at some point, for example on the freezing of financial assets. This is also taken up by the Minister for Foreign Affairs, on the basis of the opinions he receives. Indeed, in relation to the European terrorism lists, there has always been a discussion about the question: if you insist, how do you get off? That is a very real question. I would like to inform the Chamber again about what exactly is going on; there are opportunities to do so. I could do so in writing, if the Chamber would like to do so. On the question of the peace coalition, I think I said something. There are a number of proposals for this political strategy.
ParlaMint-NL_2015-03-24-eerstekamer-8.u15	I also had a question about measuring the effectiveness of a six-month bombing. Does this actually lead to problems for ISIS or is it creating a new breeding ground for people who say: now we are being bombarded from the air?
ParlaMint-NL_2015-03-24-eerstekamer-8.u16	I think that the Secretary of Defense will be able to discuss more about her responsibility and how that happens. She knows a lot more about that than I do. I say immediately that based on the information we have from the alliance, there is certainly containment in Iraq. Together with the peshmergas, a number of areas have also been liberated, giving the population new opportunities. There are no bombs thrown on the population. So it is not the case that the people are being bombed. It's about strategic targets. I think the Secretary of Defense will be able to inform you about this later. Mr Schrijver asked whether it would be possible to have a UN peacekeeping operation in Syria. I understand the feelings of wanting to do something, as we do, about this hopeless situation. I myself worked for a UN peacekeeping mission and I know that there should be a very robust UN peacekeeping mission in Syria for that. Then at the beginning you have the problem that there is no UN Security Council resolution. The Russian and Chinese veto depend on that. So there is simply no consensus on that. The question then is: if there were and there would be opportunities to achieve a protection task, then you must know very well what the mission's purpose is. Is that fighting ISIS? Is that fighting Assad? Or is such a mission going to be completely stuck on what should actually be combated? The high risk is that this would lead to greater differences of opinion in the international community rather than smaller ones. Should there be a mandate, such a mission will have to stand in a very dangerous and unstable environment. The question is how effective such a mission can be. If a mandate were to be given in the Security Council and the parties would agree on this, then I do not think that the Netherlands is in principle opposed to such a mission, regardless of our own role in it.
ParlaMint-NL_2015-03-24-eerstekamer-8.u17	I did have a question about the possibility of such a mandate. The minister says that Russia and China are going to veto it. What exactly is he distracting from? I have said in my speech that there is no sign that these two permanent members have any sympathy for ISIS or other radicalised groups in that area. I know they still have links with the Assad regime, but perhaps the Assad regime will also benefit from a blue helmet operation in certain parts of Syria. We are not a little caught up in the view that the Russians and the Chinese are holding everything back, while they have the impression: look, they are going unilaterally again, as they did in 2002 and 2003, and they are being bombarded without any proper international mandate in any case vis-à-vis Syria.
ParlaMint-NL_2015-03-24-eerstekamer-8.u18	The talks we have had with Mr De Mistura and the diplomatic contacts we have made have clearly shown that there is no support for a UN peacekeeping mission. I do not think it is out of the question that if we continue, on the basis of the plan of De Mistura's freezes, which is not so easy to implement and which is not doing well now but can come back again, and on the basis of Geneva I, if bottom-up and top-down come together, consensus will be reached on a UN Security Council resolution. It is therefore not a principled position against or an appreciation that it could not or would not be desirable. However, in the view of the Dutch Government, it would be a non-starter if it were proposed now. However, we are, of course, working with others to see if we can reach agreement on a solution in which a peacekeeping force could play a role.
ParlaMint-NL_2015-03-24-eerstekamer-8.u19	How does the Minister assess Turkey's attitude in this area? Turkey has proposed this on several occasions. Isn't that a logical ally?
ParlaMint-NL_2015-03-24-eerstekamer-8.u20	Turkey has proposed a number of things, but not a UN peacekeeping force. Turkey has proposed, among other things, a no-fly zone. That was actually an idea that was not seen by the players I just mentioned as a possible or feasible mission that could be based on a UN Security Council resolution. They wanted to do so unilaterally. There's a lot of discussion about that. That too is something we should not rule out. I wouldn't want to do that right now. I wouldn't rule out any means. It is indeed easy to reject something. The Turkish Government must also be involved in resolving this problem. You are also gradually seeing a shift in the Turkish position. First of all, it was primarily directed against the Assad regime, which may have led it to charge itself with wrongly guarding the border insufficiently in terms of funding and smuggling towards ISIS. Now you see a different position, where training and equipment is used to work with the Americans. The Incirlik base is open. So I do see opportunities for a diplomatic solution. However, I am beyond all naivety as far as Syria is concerned. In addition, I say that we really need to invest in this. The criticism of the Dutch government so far has also been: you must invest as much in that political strategy as in that military strategy. Those who say that balance was insufficient at first, I am right. I've already answered a number of questions about dealing with Assad. A number of questions have also been asked about Mr Kerr's statements on the Responsibility to Protect. The same applies to the situation in Syria. There's no doubt about that. It is about protecting citizens from genocide, crimes against humanity, war crimes and ethnic cleansing. There is certainly international crime in Syria. This is particularly true of war crimes, as the UN Commission of Inquiry on Syria recently pointed out. The Dutch Government too is already involved in the mapping now of all these human rights violations, as cynical as that may be, it is necessary to do so so that justice can have its place, as soon as possible. As a last resort, the Responsibility to Protect also provides for military intervention on the basis of a UN Security Council mandate. I believe that it is particularly important in a preventive way that various measures can still be made available during a conflict. The Netherlands has already taken a number of bilateral measures, including sanctions, closure of the embassy and supporting NGOs documenting human rights violations for possible use in a future legal process. We are also active in supporting the Syrian opposition, which is so beautifully called non-lethal aid. Well, that's a little complicated, but we're working on it pretty fanatically. I mentioned a number of other initiatives, for example the special representative of the Netherlands, Mr Van Dam. We are indeed active in the field of deradicalisation. In essence, this is happening in the Netherlands and not in the rest of the world. However, you should not forget that it is important to identify international links between extremists and jihadists, even when it comes to deradicalisation. In addition, you need the postal network and international contacts. Besides, there is sometimes something to learn. For example, in Morocco, you can see how young people are effectively deradicalized. I have been there recently; the Minister for Social Affairs is here today. There are really interesting things there that we can learn to prevent young people going to Syria or Iraq. There is more to be said about it, but this is being done abroad, for example by making radio programmes. This can be considered very cynically, but that is essential, especially in countries where there is only one medium, where there is an authoritarian regime, where there is no possibility of knowing freely, other than via the Internet, of programmes that also appeal to young people. In addition, interreligious tolerance is very important. I have already pointed out: anti-Semitism, anti-Islam, anti-Christianity; we see all these old religious wars coming back to the Middle East. We are already quite active in a number of programmes in this area. There is, of course, more to be said about this, but I would like to leave it at that.
ParlaMint-NL_2015-03-24-eerstekamer-8.u21	In this context, I have asked a question about the responsibility the government sees in the Netherlands to talk about this religious diversity, in addition to the conversation that sometimes takes place in political areas. Does the government see for itself a responsibility to adapt to this?
