ParlaMint-NL_2015-05-19-eerstekamer-9.u1	I have already welcomed the Minister for Economic Affairs.
ParlaMint-NL_2015-05-19-eerstekamer-9.u12	No. Of course, I recognise the underlying trend, namely that fewer letters are sent. However, we maintain a public network, including a letterbox network, for citizens. On average, there may be a reduction in postal services, but there are also citizens who never send e-mails. Mr Terpstra's postmen do, but there are also citizens who do not. So we have to consider: who are we maintaining the mailbox network for? Then more needs to be looked at than just PostNL's economic return. Fortunately, I say to Mr Terpstra, that analysis was carried out together in the committee to which he referred. This bill takes account of PostNL's seemingly plightful position as a privatised company. How benard is that position anyway? I think now is the time to question that critically. We read figures about a much improved operating result. In the past period PostNL has benefited from the increase in the stamp rate from 46 cents to 69 cents, with a yield of 125 million. The management of Sandd, the competitor, rightly asks, in a letter to the Eerste Kamer, dated 9 April 2015, how can the executive of the UPD attribute so much cost to the collection of mail. These costs are also spread over other companies. I think with Sandd we need to hear more about PostNL's under pressure. What about the profit distribution to shareholders? What exactly is the relationship between the increase in the tariff and the reduced supply of letter mail? What exactly is happening in the postal market? There is a dynamic of supply and demand, and the reduced supply of mailboxes will also do something about the possibility of sending letters, I say to Mr Terpstra. Has the Ministry been called upon by PostNL under Article 30 of the Postal Act? How many times has this happened? What exactly is the nature of that relationship? Can the Minister provide us with a more accurate picture of what is going on in the PostNL company in particular? How should we put the Minister's remark that cross-subsidisation is not at all out of order? If so, PostNL could also be asked to maintain the delivery of mail from the point of view of the public interest with the profits made in the parcel delivery. How does the Minister view this? The Christian Union Group prefers that we draw lessons from the past and do not take any further steps towards the liberalisation of the postal market. These steps will lead to further deterioration of quality and a dismantling of public infrastructure in this area. Of course, we must adapt to changing circumstances, including a reduced supply of letters, but we do not like the narrowed economic outlook projected at our postal system. Let the government return to this front, guarantee the public interest that is at stake here and do not allow us to go further into quality. I look forward to the Minister's answers and reactions with interest.
ParlaMint-NL_2015-05-19-eerstekamer-9.u13	Thank you very much, Mr Kuiper. I ask the Minister if he is able and willing to answer directly. That's the case. Then I immediately ask the Minister and the spokesmen whether it is possible to cancel the Minister's first term, the second term of the spokesmen and the second term of the Minister in half an hour, in 30 minutes. I see that this is the case. Fine.
ParlaMint-NL_2015-05-19-eerstekamer-9.u14	Mr. Chairman. In the light of your introduction, I will address the specific points raised by the spokesmen as soon as possible; for which I thank you. I would like to make a few preliminary remarks. The universal postal service is the obligation imposed by the State on PostNL to provide the postal services offered at single-part rates. The company has no choice; it has to do this. The company no longer has a monopoly. This used to be the case. It was a so-called "reserved service." This means that only PostNL was allowed to offer that service in the Netherlands. Now it's not. Anyone may offer that service, but I fully understand that this is not the case. There will be good reasons for that. However, if a company sees opportunities in this market, it can take advantage of these opportunities. This service is imposed on PostNL. When I came to the Ministry at the end of 2012, I saw the numbers one of the spokesmen just asked about. It wondered what turned out in 2013 with regard to PostNL's profit on the universal postal service. ACM looked into it then. I also looked at the universal postal service at the time. What were the effects on PostNL? There was a loss of 9% that year. So there was not profit but loss. The company was given an obligation to do something and then made a loss on it. Of course, that doesn't make any sense and it doesn't make any sense. It wasn't good for the company, but it wasn't good for other companies either, because there was a legislation that could ask the company to share in the loss if lost to other companies. Especially for Sandd, that was a problem. I pronounce it 'Sendd' but Mr Terpstra does not pronounce it 'Sandd' without reason. You might as well put it that way, but I'm used to saying "Sendd." It was a problem, because there was a constant claim on the company that it could possibly have to pay for the losses PostNL made on the universal postal service. As a result, the company was less financially viable. So I thought it was twice as bad. I thought it was bad for PostNL, because it made a loss on an obligation imposed by the government. In addition, I found it bad for Sandd, because as a result it could not fund the company properly. I went through with that then. I came to the conclusion for myself that we had to make sure that universal postal service was no longer loss-making. The legislation which had been adopted and which was applicable meant that the company had to be able to cover costs and make up to 10% of the turnover in profits. I thought I'd act in the spirit of the law by making sure that the losses could be eliminated and thereby simultaneously achieving that the company Sandd was no longer above that claim.
ParlaMint-NL_2015-05-19-eerstekamer-9.u15	I would like to ask the Minister if he can place the losses in a multiannual perspective. He's giving one digit of one year now. But we also see other figures, although of the operating result, which look very different. So what's the trend?
ParlaMint-NL_2015-05-19-eerstekamer-9.u16	The trend was loss. It was a non-profitable service for PostNL, i.e. a loss-making activity. I've been digging in to see exactly what the causes of that were and what possibilities there were to eliminate the loss. I have tried to find a mix of measures and achieve that activity in such a way that it would no longer be loss-making, against the background of this, I am going to get there from a constantly shrinking market. Despite the measures, the situation continues to be under constant pressure.
ParlaMint-NL_2015-05-19-eerstekamer-9.u17	The company has taken measures in relation to that shrinking market. That's what we're witnessing. Sandd makes the remark that a lot of costs are attributed to the collection of mail, and that they are smeared. Did the minister dig into those numbers a little further? The company has already adapted, but why is it logical that it should be said now: it is loss-making, so we should also look at the mailbox points and so on?
ParlaMint-NL_2015-05-19-eerstekamer-9.u18	Sure, I've dived further into it. I would have come to this point, but as a courtesy to Mr Kuiper, I will go straight to it. As a result of the loss-making activity, several measures had to be taken by the company. The first measure I outlined was the price paid for the service. The second measure I looked at was the level of service provision. What could you reasonably do about that? I have always seen this in the context of the shrinking market. Perhaps Mr Kuiper can help me for a moment and tell me what point he just made...
ParlaMint-NL_2015-05-19-eerstekamer-9.u19	Sandd indicates that PostNL also does things in his accounting, especially by due a lot of costs to the collection of mail.
ParlaMint-NL_2015-05-19-eerstekamer-9.u20	I apologise; I thank Mr Kuiper. Then I changed the Postal Regulations, which dates from the year 2009, on 23 January 2014. This change meant that PostNL had to make clear to the ACM, to the supervisor, how it had allocated its costs. PostNL had to keep track of this in such a detailed manner and make it clear that there could no longer be any misunderstanding at the ACM. There was therefore an obligation for PostNL to keep a very detailed record of all cost allocation, to motivate it and to hand it over to the ACM, so that it could control it. That obligation is still there. The ACM is right there on top. The ACM said at the time that this tightening was necessary and she received it. Therefore, following the amendment of the Postal Scheme as of 23 January 2014, a new situation arose for the cost allocation of the company. This had to be made completely clear to the ACM by the company as a whole. Since then, the ACM has been working to deepen itself in this respect, to see if it can reach a conclusion and then consider whether that conclusion can be made public. That process is going on right now. If findings are available and can be made public, I will be happy to share them with the Chamber. But it is true that the ACM in the supervisory position is keen to ensure that there is no wrong allocation of costs, but a very pure one. The aim is to be able to assess how PostNL's business case is in practice for the UPD.
ParlaMint-NL_2015-05-19-eerstekamer-9.u21	I hear the Minister say in a subtle way that the ACM is currently working not only to examine the cost structure, but also to see if it can be made public. Why should these findings not be made public? At the very least, I can imagine that it will be made clear to parliamentarians, possibly confidentially. Can the Minister comment on that?
ParlaMint-NL_2015-05-19-eerstekamer-9.u22	It is quite conceivable that the business case will be judged by the First and Second Chambers and by me, but we have chosen to do so differently. We have said: we are going to involve an independent supervisor, who we are giving the powers and the means to do so. More than 500 people work at the ACM. They're on top of us. They shall ensure that they receive all information. They are therefore monitoring us to see whether what we have laid down and intended to do is being implemented in practice. I think that we have rightly chosen this path, and that it also works well. The information, which is to be supplied very detailed by the company to the ACM, is business confidential and competitively sensitive information. For that reason, that information does not come to me or the Chamber of Commerce that is not going to be lying on the street, but remains with the independent supervisor. It is the supervisory authority's responsibility to follow that. The supervisory authority also follows the provision that the Chamber and I, as legislators, have laid down in the law, namely that the costs can be recovered and a maximum return on turnover of 10% can be achieved. That's what the ACM oversees.
ParlaMint-NL_2015-05-19-eerstekamer-9.u23	The fact that the company is confidential information is also reflected in the reply. Only one company has been assigned the UPD. I find it strange, then, that the charging of costs is just as simple as 'the business case'. After all, it is clearly one company that carries out this service. The Minister states that the law has opted for supervision by the ACM. I have also expressed on behalf of GroenLinks that it is very difficult for us as parliamentarians to reason, especially when we are faced with questions from the world and want answers to those questions ourselves, if every argument is made that there is insufficient profit or even a loss in 2013. In short, I am still not convinced that the business case for the UPD contains such business confidential information, as only one organisation performs it. Each time, the argument for austerity in the postal network is that there is insufficient profit. It seems to me appropriate that Parliament should be able to take note of this, at least confidentially. So I would like to repeat my question.
ParlaMint-NL_2015-05-19-eerstekamer-9.u24	Mrs. King said insufficient profit. However, in response to her question, which conclusion was reached by the ACM in 2012 in 2013, I indicated that there was a loss of 9%. In response to the interruption I also said that this was the trend and that it was a loss-making activity. Mrs King rightly says that one company carries out this activity, but so can other companies. But they don't. This one company has to do it and has no choice. Other companies are allowed to do it. Mrs King must also imagine that the total market consists of 14% of the UPD and 86% of other activities. Moreover, there is not only the postal market, but also the parcel market. An organisation such as PostNL has a lot of activities, the costs of which need to be analysed. The UPD then allocates part of these costs to the UPD. The ACM should look at the total cost of the different activities. It must then consider which part is allocated to the UPD, and whether all that is right. This means that there is a lot of business confidential, competitively sensitive information from the large company PostNL which deals with 86% of things in the postal market other than the UPD, and in addition with the packages......................................................................................................................................................................................................................................... The supervisory authority should ensure responsible handling of that information. The ACM does this not only with PostNL, but also with other companies it supervises. We could have chosen something else, but as a legislator, we chose to have the supervision done by an independent supervisor. I think this is working. That supervisor will certainly monitor whether profits are being made and whether too much profit is being made. Should too much profit be made once, this will be corrected immediately in the following year by lowering the rates. Mrs King spoke further about the shrinkage in the market. That is, of course, the most decisive of what is happening here. It also makes sense that the market is shrinking. If you took a picture of your garden in the non-digital era and wanted to send it to your daughter in New Zealand, that meant quite a bit. A picture had to be taken. Then the film had to be removed to print the photos. Then the picture was put in a letter. The letter then went to the post office and had to be franked for New Zealand. All in all, that took a few euros and lasted two or three weeks. Right now, you're taking one of those photos with your cell phone. By text, WhatsApp or an e-mail, that photo goes out. You do everything in one minute and it costs almost nothing. That difference is unprecedented with the way it was in the pre-digital era. It is therefore very logical that the postal market is currently shrinking. As a government, we are committed to doing everything digitally. This means that any company wishing to do digital business with the government will also be given the opportunity to do so as soon as possible. The whole of digitalisation is leading to an improvement in quality and speed, which the consumer has also chosen to do and for which a very separate infrastructure is being built for that consumer. That has enormous effects for the company. The company took into account that the UPD would decrease by 3% to 6% per year. In practice, it appears to be at 9% per year, i.e. a decrease of 9% per year. Of course, we are also in a country where the coverage of the digital network is almost the strongest in the world, if not the strongest. There is a high speed of internet. 95% of people are connected to broadband Internet. Amsterdam is the world's largest internet hub. Almost all connections with America run into Europe via the Netherlands. That's really the Netherlands in 2015. This means that, as a result, there is a constant contraction. Mrs King said that there was not enough profit to be made and that therefore the company was given the opportunity to make more profit. I have already indicated that the starting point for my activities was here to avoid constant loss there. PostNL is a company that employs more than 50,000 people and I would like this company to stay alive and that what we as a government impose on that company can also reasonably be realised by that company. That is why for me the question is not how to make the company make more profit but how to prevent the company from continuing to lose on the UPD. I have already answered Mrs. King's question about the business case. She started it, and she ended it. I think that is very legitimate. I also think that all the information should be looked at, as Mrs King wishes. Only, we've chosen to get the ACM to do that. I believe that this is also a good way of fulfilling the responsibility we have to ensure that everything is done in a responsible way. We've put things well into the law, and we've created a good supervisor. In the end, that business case is also assessed on the outcome, namely whether more profit is made than is allowed. If so, action will be taken. With each other we are now creating a situation in which making loss belongs to the past. With that we also removed a cloud above the company Sandd. That's what's right for that company. As far as I am concerned, there is no question of transparency. However, we have said that transparency must be there for the ACM. The ACM has 100% transparency. We have already taken a number of measures, such as allowing for an increase in the price of stamps and a reduction in the provision of services. What we are about to do is to follow up and, in my opinion, to maintain this service which is still important in a responsible way. In the new situation that will eventually be created, there are still around 10,000 mailboxes and about 1,000 post offices scattered in the country. Despite the shrinkage to 9% per year at present, this service can still be continued. I also note with regard to the PostNL company that this is what we are trying to do and that this is what is being done very conscientiously. There, too, we are well aware of the responsibility that one has as a company for the rural area as well. If changes are made, it will be examined whether they can be done in such a way that they do not impose unnecessary restrictions on people. It is also said by PostNL: we will not remove those mailboxes from the nursing homes and we will first consult with the consumer organisations. The law stipulates that the opinions of these consumer organisations must be answered in writing and that there should only be an argument for a derogation. This way of working, as shown by the legislative proposal, is a way of working that corresponds to the approach of the PostNL company, which also has a very good eye for it. When reducing the number of mailboxes and post offices, the cost effect and impact on the result of the UPD for the company PostNL were taken into account. We have also looked at how to ensure that, in this shrinking market, where there is a large and good alternative to an old form of service, services can be maintained. Ms. Koning further asked if the service provided by PostNL with regard to the UPD is being reviewed. That's what's happening. We have laid down the important aspects of the service provision in the law and in the AMvB. The ACM shall ensure that this is done. In this way it is also monitored whether the quality that the company has to deliver is also delivered. Mrs King suspected that it would be possible that fewer letterboxes and fewer post offices would also result in fewer letters. Those aren't the clues I have right now. Of the 2,000 post offices, a thousand are uneconomic at the moment. Of the about 20,000 mailboxes we have now, there are many where some letters come in a week and where PostNL has to go five days a week to see if there might be a letter in it. I think that's a situation that's not sustainable. So the situation is not that people have to learn from their letter in order to get rid of it. No, the situation is that people choose with their feet. This means that in practice they say farewell to the post on a large scale and that they move on to the digital mail. That does not alter the fact that the classic post is still being used. That is what we want to maintain. With the measures that we have taken and which we are taking on the basis of this bill and will be able to take if the AMvB is to be adapted, we think we can maintain this service.
ParlaMint-NL_2015-05-19-eerstekamer-9.u25	According to the groups of the PvdA and GroenLinks, it is quite possible that those letters that end up in that mailbox, which is not profitable at all, will no longer be posted at all. If people have to walk twice as far as bad weather, as Mr Terpstra said, but also in good weather, and they are going to see it as an obstacle and therefore they are going to post fewer letters, those farther away mailboxes may also become uneconomic. It is precisely when it comes to this relationship, as well as the relationship between making the stamp more expensive, which may also make it less easy to send a postcard, that we would like to keep our finger on the wrist, because it ultimately undermines the system of public networks, universal postal services. Can the Minister respond to that?
ParlaMint-NL_2015-05-19-eerstekamer-9.u26	Yes, but with respect to Mrs King, it is true that we can think of this from behind our desk, but that in practice, year after year, there is a sharp contraction in the supply of mail. The number of post offices and mailboxes remained the same, but every year there was a huge contraction in the supply of mail. So there is something really different going on than Mrs King is now putting forward. However, that does not mean that what she says should not be a point of attention. In the three-yearly evaluation of the postal market, therefore, I will make Mrs Koning's point very clear.
ParlaMint-NL_2015-05-19-eerstekamer-9.u27	How much longer do you think you'll need?
ParlaMint-NL_2015-05-19-eerstekamer-9.u28	I'm just getting started, Madam President.
ParlaMint-NL_2015-05-19-eerstekamer-9.u29	I was hoping you could get the first and second term together in half an hour. 'Cause I'm just looking at the clock.
ParlaMint-NL_2015-05-19-eerstekamer-9.u30	The last time I stood here, I was. You call me and I'm asked 80 questions. Then, after six questions, you say: are you not finished yet?
