ParlaMint-NL_2015-03-11-tweedekamer-6.u1	I would like to welcome the Foreign Minister. I call Mr Taverne, on behalf of the VVD.
ParlaMint-NL_2015-03-11-tweedekamer-6.u16	I am not just here to exchange views with my colleagues, but in particular to get answers to the questions I have put to the cabinet, which is represented by the Foreign Minister. The VVD will of course always agree with the majority opinion in the Chamber. The VVD has never been against the ECHR or the judgments, but the VVD believes that we have an expensive duty here to ensure that there is support for those judgments of the Court, and thus for the rights enshrined in the Treaty. I think there is a debate on this, not only in the Netherlands, but also outside the UK, for example. Mr Servaes cannot have escaped this either. At the moment, he tells me that he does not seem to be of the opinion, but then he ignores the debate in the United Kingdom. For this reason, I think it is important that we once again highlight the fact that this margin exists and that it should be properly applied. I am curious to see how the "erga omnes" effect is brought into line with this principle. That's my question.
ParlaMint-NL_2015-03-11-tweedekamer-6.u17	Does the VVD bury the hatchet on the ECHR and the European Court because of the text in the preamble? Let me get this straight. If that's the case, it's cleared up. Mr Taverne just needs to nod in the affirmative.
ParlaMint-NL_2015-03-11-tweedekamer-6.u18	The VVD will continue to work for the correct implementation of European human rights, the use of margin of appreciation and the continued consideration of national circumstances.
ParlaMint-NL_2015-03-11-tweedekamer-6.u19	Mr Taverne will not blame me for taking that as being buried by the VVD group of the hatchet. I commend that group for that.
ParlaMint-NL_2015-03-11-tweedekamer-6.u20	Mr Schouw chooses his own word.
ParlaMint-NL_2015-03-11-tweedekamer-6.u21	Mr. Chairman. Most treaties leave our Parliament with tacit approval. That today we are considering Protocol No. 15 amending the ECHR is therefore special. I thank Mr Taverne for the initiative, because without it we might not have talked about it today. The important announcement by the VVD Group alone, the whole of the VVD group, I assume, is buried, makes this a significant debate, also in view of history. That is what is happening under your leadership, Mr President, and you are witnessing this historic moment.
ParlaMint-NL_2015-03-11-tweedekamer-6.u22	Everything is in the Acts.
ParlaMint-NL_2015-03-11-tweedekamer-6.u23	As Mr Schouw said that he himself chooses his words, I would not like him to put his words in my mouth or the entire VVD group. For the record, the VVD remains committed to a more precise interpretation of the margin of appreciation and thus to increasing the support for judgments of the Court.
ParlaMint-NL_2015-03-11-tweedekamer-6.u24	Please continue, Mr Schouw.
ParlaMint-NL_2015-03-11-tweedekamer-6.u25	Of course, I have taken note of that. But Mr Taverne should not blame me for translating that somewhat politically, and for noticing that the clap of arms that used to sound like the VVD has disappeared, for which I congratulate him. What's it about today? Among other things, the definition in the preamble to the Treaty of the margin of appreciation and the threshold of admissibility. On both points, the D66 Group would like to ask a few questions. The European Court regularly faces a difficult task. On the one hand, it wants to safeguard the rights of the Treaty and, on the other hand, it has to do with traditions, customs and legal systems which have different views on the scope of those rights. What is completely normal in the Netherlands can be completely unthinkable for a Pole. It is a good thing that a doctrine has been developed for this, the margin of appreciation, that is, the policy space that a state receives from the Court. That sometimes remains a natural cord dance, an exercise in balance for advanced people. But the Court is particularly successful in this respect. My group therefore particularly wishes to confirm to the Minister that the codification of subsidiarity and the margin of appreciation does not affect the interpretation given by the Court. Not now, and not in the future, so that the most appropriate scope can always be chosen and the cabinet informs the Chamber itself of the first signals it receives that it would be different. Please confirm from the Minister on this point. In order to be admissible before the Court in order to lodge a complaint, the applicant must have exhausted all national remedies. An exception has been made in practice: this does not apply if a remedy is not effective. But that exception is not provided for in the Treaty. What is laid down in it, but is now deleted, is the phrase in Article 35 (3) (b): the requirement of substantial disadvantage is narrowed. Because without a substantial disadvantage, there is no judicial procedure with the ECHR, unless the case has not been properly dealt with by a national court. How do these two exceptions relate to each other? Does the deletion of the phrase on the course of justice in a national court have any effect on the practice arising under the main rule that only effective remedies have been exhausted? As far as the 74 years are concerned, I actually have the same enlightening questions as Mr Taverne so excellently asked. What is the problem to be solved here? What rational is behind a nine-year term of office?
ParlaMint-NL_2015-03-11-tweedekamer-6.u26	Mr. Chairman. In front of us is Protocol No. 15 which is really much less controversial than Protocol No. 14. It was a agony to accept it; we also have Protocol No. 14a had. The main "subsidiarity" and "margin of appreciation" are set out in the preamble. The CDA Group is very much in favour of this. I would remind you of the Çörüz/Omtzit motion. Sometimes we see cases where the Court is very close to the Member States. I mention the example that Mr Knops presented to the government in Parliamentary questions (2014Z22508). These are Somali pirates arrested by the French Navy in an anti-piracy mission under the UN flag. In addition, many French soldiers fall into the water and one of the hostages is shot. All hostages are taken alive; they are imprisoned and transported from Somalia to France. Once they have arrived in France, it will take three days for them to be arraigned to the court commissioner for remand. That is indeed a violation of the requirement to bring people to justice as quickly as possible, but we believe that the imposition of compensation amounting to €5,000 that is more than a Somali earns on average in his entire life is going a little far. Then it can be said: this is a court ruling and why should you criticize it as a politician? The whole idea of the ECHR is that it is a treaty that you conclude with 47 Member States. In the Netherlands you have the right and if you do not like the right, you can submit an initiative law in the Lower House. Almost everyone I look at here likes to file own-initiative laws. And rightly so, but that's not possible with the ECHR. That is why it is good to discuss how far that margin of appreciation goes. The government rightly writes that the margin is zero in the cases where it is right to live and that it may be somewhat larger in Protocol No. 1, on the right of ownership. There must be a fundamental margin before you get to the ECHR, even if it is only because this is a Court with only 47 judges, which of course cannot solve every little thing in this world. For that, the waiting list of tens of thousands of cases is too long. It is good that subsidiarity is laid down. Countries themselves are responsible for resolving this problem and the Court in Strasbourg is only in second line; otherwise we should have a much larger institution. The main problem of the Court is the delays. This is painful in the case of human rights violations. Sometimes people are in prison for ten years before their case is brought before the Court and the substance of the matter is examined as to whether they have been rightly convicted. There is real pain there, because if the final judgment is that they do not belong in prison, they have been there for ten years. How can we ensure that these delays are really eliminated so that normal treatment periods of one or two years are created and treatment periods of seven to eight years will no longer be considered normal? When will the Court, for example, Protocol No. 14 use? It stipulates that the Small Chamber can be reduced from seven to five judges, creating more Small Chambers and thus more capacity to speak justice. Will the Netherlands Protocol No. 16 ratification? This was partly a Dutch idea: applying for preliminary advice. This has been opened together with Protocol No. 15. What are the government's plans? My group thinks it makes sense to go from 70 years to 74 years. After all, you do not go to 74 years, but to a maximum age of 65 years on taking up employment. You must not be older than 65 years and this means that you may be able to sit up to 74 years. Most people won't make it, because few people are 65 years old when they submit that application. There is therefore no automatic discharge at 74 years; the limit is much lower. By Protocol No. We need many new judges this year. There is another problem now, namely that many judges resign at the same time. These are all Presidents of the Small Chamber, including the President of the Court. You used to get two six-year terms, now only one of nine years. Now suddenly many judges disappear from the Court and with that a lot of memory disappears. Will the Minister make an effort to ensure that memory does not disappear from the Court as quickly as possible? If someone becomes President of the Court, should a longer period not be allowed? After all, you usually become President of the Court after seven or eight years in the Court. Then it makes sense that you will be a few years before you say goodbye. While we are here in the framework of the Council of Europe, I am happy to do so, and the President is, in another role, also a Member of the Parliamentary Assembly, I would like to ask two more questions. The first question is about the Storimans case. The Netherlands has been called in as a witness. In what way does the Netherlands intervene? The war in Georgia/Russia was a long time ago. This case was opened in 2010 and little progress has been made. The verdict is still pending. In 2013, the ruling was due to be delivered in 2014. It is now 2015 and it could be 2017 or 2018. This is just an example of a statement that is taking far too long. What means are at the disposal of the government to ensure that the twelve Georgian victims, the Israeli journalist and, of course, Mr Storimans and his relatives are justiced? The second question is about MH17. In the Council of Europe, I asked the Council of Ministers whether they all believe that Minsk II means that there should be no amnesty for the perpetrators of the attack on MH17. You know, of course, why we are putting the question there. If the answer is 'yes', that means that all countries have said it, so unanimity, including Ukraine and Russia and including the Netherlands, the UK and Germany, all parties to the Minsk Protocol. It is essential for the CDA to know that no one will say: there is amnesty, we do not need to have the perpetrators of the attack on MH17. Does the Dutch Government intend to promote the prompt response to this question, i.e. within the normal two to three months period, and that the answer should also explicitly state whether the answer has been adopted unanimously or by majority? Then we also know whether Russia believes that the perpetrators should be caught.
ParlaMint-NL_2015-03-11-tweedekamer-6.u27	Mr. Chairman. The importance of safeguarding human rights is particularly important, and we cannot stress that enough. The ECHR has been in operation since 1953 and since 1959, fortunately, we have a European Court of Human Rights, which can make final and binding rulings on complaints about human rights violations. This is not only important for countries that receive many complaints, such as Russia, Turkey and Italy. For the Netherlands, too, this Court has had some significance. As far as my group is concerned, the European Court of Human Rights is the critic of power, and that is what the Court should, above all, remain. But for years there has been a large pile of complaints about possible violations of human rights waiting for substantive treatment, and that is a problem. The SP shares the government's concerns about this disadvantage and the duration of the proceedings as a result. Protocol No 15 which we are discussing today makes a number of procedural changes to the ECHR, among other things. This should partly contribute to solving the problems. The objectives are good, namely to strengthen the authority of the European Court of Human Rights, to increase the effectiveness of judgments and to streamline the complaint procedure. I still have a few questions. The protocol also ensures that the famous margin of appreciation, i.e. the margin of discretion of the Member States, is included in the preamble to the ECHR. There are sometimes noises to advocate more room for Member States, including in response to difficult judgments by critical judges. According to the Government, the inclusion of this margin of appreciation in the Treaty can be seen as a codification. The scope of the concept is not affected. The government also agrees with the way in which the Court deals with this doctrine. That is what the government explicitly asks in response to questions from the Chamber. That has reassured my group. Another point is the time limit for lodging a complaint. The SP asked in its preparation whether shortening the deadline could not cause problems for the complainants. From now on, they will have to do so within four months instead of six months. Now I understand that there are faster means of communication nowadays, but they are not suddenly two months faster than they used to be. Let's be honest about that. So I asked for an explanation. On what basis was it chosen to shorten that period by two months? Can there be any problems? I do not expect that directly, but I can imagine that certain complaints are so complicated and complicated that this shorter period could lead to problems. That is why my group has asked the question whether there is any possibility of making a complaint pro forma. I do not think that question has been answered clearly. I mean by pro-forma submission that the complaint is notified within the right time limit, but is subsequently supplemented by the complainant's substantive arguments and grievances. Can we do this on the basis of the treaty? Is shortening the deadline leading to problems or will it be easy? I'm curious to see the Minister's assessment. I have already asked my question about Mr Taverne's own-initiative proposal in an interruption, but I also ask the Minister. Is the condition that national remedies must first be exhausted? Of course, we are going to discuss Mr Taverne's own-initiative proposal. He makes it impossible for the Dutch court to judge laws by international treaties. My group was now informed by experts at a meeting attended by a colleague of Mr Taverne that this would remove the threshold of admissibility. My group estimates that this will lead to an influx of cases at the European Court of Human Rights, as it will no longer be possible to complain about the ECHR in the Netherlands. What's the Minister's assessment? I like to hear it, also because I already think this is relevant. We should not move this point forward until the initiative proposal is discussed. After all, we are talking about the European Court of Human Rights and the condition that national remedies must be exhausted. Does the Minister share the fear on this point? If I see correctly, the protocol we are discussing today makes a modest contribution to reducing the workload and delays. This raises the question of whether we can no longer deal with cases within an acceptable time limit. For example, we could think of tackling frequent complaints. It is important to realise that 60% of complaints come from only five countries, while most violations are committed by almost the same countries. Turkey and Russia are frontrunners in the negative. What is the government doing to tackle the problem at source, which means that the major human rights criminals must adapt their legislation and be called upon to do so if they fail? Does the Dutch Government do that enough? Like Mr Schouw, I have a question about the admissibility threshold. A complaint by a complainant with a minor disadvantage can now be dismissed and therefore declared inadmissible, even if the national court has not properly dealt with the case. This seems to me to be debatable and perhaps the wrong message. Surely the ECHR is there to finger national judges or countries if they do not comply with the ECHR, even if it is a relatively minor violation of human rights? I'd like to get a response from the Minister. Finally, I would like to make a few comments on the budget of the ECHR. There are 47 States Parties to the ECHR. The total budget for the European Court of Human Rights amounted to almost €70 million in 2014. For comparison, the Court of Justice of the European Union has more than five times as much each year. Anyway, back to the ECHR. The average budget allocated per country is less than 2 million. I don't think that's an amount of money to kick back. The differences are also considerable for each country. The SP would welcome a small transfer of funds from the European Union to the Council of Europe and its associated bodies, including the Court. The European Union would not even stand out, while the Council of Europe and the Court of Justice would have been greatly helped. National contributions should also be slightly adjusted. Are there still Member States in the Council of Europe that contribute less annually than the amount corresponding to the salary of their own judges at that Court? That would be an undesirable situation. Does the Minister share the view of the SP that this should be looked at again? Finally, as far as my group is concerned, the European Court of Human Rights is the critic of power. And that's what it's supposed to be.
ParlaMint-NL_2015-03-11-tweedekamer-6.u28	Mr. Chairman. Yesterday, the European Court of Human Rights in Strasbourg ruled on a case brought by a transgender man against the Turkish state. According to Turkish legislation, he should be forced to be sterilized. The Court ruled that Turkey had thereby violated the right to respect for private life and therefore had to amend the legislation in question. That is an important statement, for the man in question and for the LGBT community, who is in the process of obtaining equal rights everywhere. This ruling illustrates the role of the Court in monitoring and strengthening the European community of values. That's what it's about in the end. The European Convention on Human Rights is the basis on which the Court can do its important work. It is precisely at a time when the European community of values is under pressure, from outside, but unfortunately sometimes also from within, that we must be extremely careful about this foundation. We must give a firm counterweight to attempts to undermine or relativise the jurisdiction of the Court. It is precisely at this time that we must stand for the international legal order, as we are asked to do in Article 90 of the Constitution. The purpose of the present amendment to the ECHR is two things. Firstly, there are a number of procedural changes, so that the Court is more able to cope with the increased workload. Secondly, it is not more, but not less, about naming the so-called'margin of appreciation'. Let me start with the first point. It is, of course, essential that the Court be streamlined and that the backlogs be eliminated. The Court must not perish from its own success. The Minister states in the note following the report that the amendments to the Protocol are part of a broader package of measures to achieve this. Can the Minister state what the current situation is with regard to the workload and delays of the Court? What impact has the other measures already had? What impact does the Minister expect from the amendments contained in the Protocol? Then I get to the margin of appreciation. We have just seen in the little debate on the interruption that nothing has come of the desire to broaden that margin, of the plea to give political guidance to independent judges and of the proposal to restrict the Court. I note that not so much triumphant, but with great satisfaction. I am pleased that the cabinet, supported by the excellent Franken c.s motion. (32735, C), has been committed not to undermine the independence of the Court but to firmly anchor it. I am pleased that the cabinet has succeeded in this. Today, I am pleased to note that a very large majority of the House is showing its support for this idea and its outcome. I do have a question about that margin of appreciation. In my group's view, fundamental human rights, such as the right to life and the prohibition of torture, cannot at all afford interpretation or national policy freedom. I ask the Cabinet to confirm that it shares that view. Does the Cabinet consider that this principle is sufficiently explicitly laid down in the amended Treaty or in its explanatory memorandum?
ParlaMint-NL_2015-03-11-tweedekamer-6.u29	I hear Mr Servaes say that he also considers it important that the rights laid down in the European Treaty should not be undermined. He then says that he is pleased that the margin of appreciation is not filled in more widely. The Court itself introduced the doctrine of margin of appreciation, with the aim of making better-behaved judgments and thus gaining greater support. How, then, can Mr Servaes be pleased that this instrument can fortunately not be used more widely? That is contrary to his intention that he does not want those rights to be undermined.
ParlaMint-NL_2015-03-11-tweedekamer-6.u30	We have already reflected on the proposals made by the VVD Group four years ago in the interrupting debate just now, when we were exactly the other way round. These proposals included giving more power to the Committee of Ministers versus the independent judges and setting political frameworks for the Court's rulings. My observation is that none of these proposals have been made, apart from a small political discussion in some of the 49 Member States. The phrase "they drank a glass, they did a puddle, and everything remained as it was" could apply here.
ParlaMint-NL_2015-03-11-tweedekamer-6.u31	I hear Mr Servaes say this. I also hear he's happy that nothing else happened. However, to go hink-step-jumping to the proposal to safeguard a number of rights from policy influence, including the right to life...
ParlaMint-NL_2015-03-11-tweedekamer-6.u32	Sure.
ParlaMint-NL_2015-03-11-tweedekamer-6.u33	How does Mr Servaes then judge abortion, for example? That seems to me to be a matter of life or death. This is an extremely political matter. Does Mr Servaes believe that the European Court of Human Rights should now allow abortion in all states of the Treaty? I am therefore looking forward to the discussion that will be held by the Member States.
ParlaMint-NL_2015-03-11-tweedekamer-6.u34	I do not know if this is the time to start a debate on abortion in a second round of interruptions. My party's views on this are well known. I don't think they differ a lot from those of the VVD. I do not think it is the intention to start this discussion. The right as laid down in Articles 2 and 3 of the Treaty, I have referred to torture and the right to life, I believe, has always been safeguarded, precisely in the way in which the Court itself has always done so. I am now asking for confirmation, now that the margin of appreciation is also explicitly mentioned in the preamble to the Treaty. The principle that these two fundamental rights cannot in any way be compromised at national level is still valid? That's my question. I would like to have the debate on abortion at another time with Mr Taverne; I do not think this is the time.
ParlaMint-NL_2015-03-11-tweedekamer-6.u35	A short third remark. Mr Servaes needs a long answer to say that abortion, for example, can be considered differently, not only in the Netherlands, but also in the Member States which recognise the ECHR. This simply shows that there must be a policy freedom, which must also be able to be filled in, because otherwise the support for statements, for example on abortion, will not fly. If Mr Servaes denies this, he denies the functioning of the European Court of Human Rights at European level.
ParlaMint-NL_2015-03-11-tweedekamer-6.u36	I have no need to reflect extensively on these kinds of issues. My argument is that the Court had defined a margin of appreciation for itself and that it had also made an exception for two fundamental rights. This is now mentioned in the preamble. I have no problem with that. It's fine to name this. I merely ask for confirmation that this is not indeed a widening or changing of the margin or appreciation on the two points mentioned. It means nothing more and nothing less.
ParlaMint-NL_2015-03-11-tweedekamer-6.u37	Mr. Chairman. Let me begin by saying that Mr Omtzig's comment in his own term on the prevention of amnesty and pardon for possible perpetrators of the shooting of MH17 is very appealing to me. That remark has been taken from my heart. I hope that the Minister will take this seriously and follow it up as far as he can. The aim of the Protocol currently before us is to improve the functioning of the European Court of Human Rights. Although, as we know, the PVV is not the biggest fan of the European Convention on Human Rights, we are of course in favour of measures which will enable the European Court of Human Rights to improve justice. In my preliminary opinion, this is actually the case in Protocol No. 15. In fact, the judges can count on a final judgment of the European Court of Human Rights to be reached more quickly by at least two parts of that protocol. That is, firstly, the removal of that objection in the case of referral to the Grand Chamber and, secondly, the shortening of the period during which an appeal to the European Court of Human Rights can be brought from six to four months after the judgment of the highest national court has become final. I do have some questions about the possible speed improvement that could be achieved by removing the objection to referral. For me, however, the question remains as to whether this will actually lead to a reduction in the final overall duration of treatment of a matter. Or is it likely to increase the length of treatment? I will explain this on the basis of three questions. Can the Minister tell us how often an objection to referral is actually accepted and how often that is rejected? If it is almost always rejected because such an objection may almost always be wrongly made, then the possibility of objection can of course be more easily missed. How long is the average period for dealing with a referral objection? How much delay can such an objection lead to, on average? Can the Minister also clarify what is actually the average time for dealing with cases by, what I call, the Small Chamber and cases dealt with by the Grand Chamber? If it lasts longer in the Grand Chamber, it may take considerably longer than in the Small Chamber, then it is possible to expect an acceleration effect in the event of removal of the objections against referral. Then there is the question of the organisational change which will allow a judge who will be on a nomination after his 61st birthday to remain in office until after his 70th year and in some cases until his 74th year as judge of the European Court of Human Rights. A judge shall be appointed for a period of nine years. Its purpose is to prevent experienced judges from leaving in the meantime. I can certainly endorse that aim and I also think that we should not be afraid of American situations, where some Supreme Court judges sit in that seat for 40 years, until far after they are 80 years; that is not the case here and there is no threat of such a situation here either. My final point concerns the margin of appreciation. As far as I am concerned, it is a good thing that the existence of the margin of appreciation in the application of the European Convention on Human Rights is explicitly laid down. This margin of appreciation gives Member States a certain degree of policy freedom in the way they interpret the rights recognised in the Convention on Human Rights, while respecting national circumstances. The margin of appreciation thus also gives a certain margin of discretion which allows States to interpret such rights according to national circumstances. And we think that is a good thing.
ParlaMint-NL_2015-03-11-tweedekamer-6.u38	This brings us to the end of the first term of office.
