ParlaMint-NL_2015-10-08-tweedekamer-7.u1	I would like to welcome the Minister. He will now respond in the first term.
ParlaMint-NL_2015-10-08-tweedekamer-7.u12	I'm meeting my people right now to do that before the summer. That's not exactly six months, but what's the matter? It's June and otherwise it's April. I'll do my best to do it sooner, if I can. I would like to limit the commitment to this, because that is how I have discussed it with others. We will have to coordinate this policy response with the other islands and with the other departments, so it really is not a question of sending a letter. I'm gonna need some time. I've taken that back from a year to a half-year. Thank you for taking note of those words. It's nice that we agree on that, but I don't agree that we're doing nothing. We have just launched a whole programme on St.Maarten to invest 22 million in strengthening law enforcement, focusing on integrity and all kinds of other areas. We'll get to that in a minute. We do a lot of things. I also do not agree with the fact that we are simply resorting to blunt instruments, but perhaps we should move that discussion to the time when we are discussing the opinion of the Council of State.
ParlaMint-NL_2015-10-08-tweedekamer-7.u13	We will certainly be discussing this in the opinion of the Council of State and in the request for information. I care about how we deal with each other within the Kingdom. Yes, steps are being taken now, but I would nevertheless like to see the words that the Minister is doing here again in practice. This means that we do not abandon signals from the islands in terms of aid, capacity, knowledge and skill to come up with a clue months later. That's the signal I'd like to send to this minister. It would be nice if the Chamber had been able to discuss the evaluation with the Minister before the summer; hence the proposed deadline.
ParlaMint-NL_2015-10-08-tweedekamer-7.u14	I fully agree with Mrs Hachchi, except for the implication that we would not agree when asked to do so. We'll be on Isla soon, where we've gained expertise. The Ministry of Finance is ready to strengthen the tax authorities in Aruba where they can and when requested. We do this all the time, but I agree with the spirit of her words.
ParlaMint-NL_2015-10-08-tweedekamer-7.u15	The Minister spoke of referenda. He said that options are being presented to the people of the islands and that not every option can just happen. So far, referendums have been organised without consultation. At Saint-Eustatius there was such a referendum. In my opinion, there has been no consultation with the Netherlands or with the National Council of Ministers on the options that have been put forward. Shouldn't there be a procedure, an elaborate way of working? Sint-Maarten talks about independence in 2020. A referendum will be held on Bonaire. Should we not first look at the options and not just present real options to the population? Otherwise, such a referendum is very difficult to point at.
ParlaMint-NL_2015-10-08-tweedekamer-7.u16	There is a difference between Bonaire, which is part of the Netherlands, and Sint-Maarten, which is really another country with another government. I share Mr Van Laar's consideration, but I think that the best way to get democracy to do its job as much as possible and not to interfere unnecessarily with it is to do what I do now and say: remember that when options are chosen that have not been discussed in advance, in the case of Bonaire with the Dutch Government, such a referendum cannot bind the Dutch Government. If one does not choose any real variants, that is the commitment of the board of directors of Bonaire and should then be discussed. This must be borne in mind when choosing those options. I do not think it would be wise for the Dutch Government to say: these are the options.
ParlaMint-NL_2015-10-08-tweedekamer-7.u17	These are often two options: the current situation or a new relationship, closer to or further away from the Netherlands. Such a referendum is a great moment. You will not go into a referendum with an option that is not feasible, give the people all kinds of wrong information and create all kinds of expectations and then confirm the image "the big brother Netherlands does not allow what we really want," because an option has been presented that could not at all. In order to avoid that, it would be nice to have a prior consultation. So maybe it's an idea to agree with the islands that at least they're trying to do so or to ask them to do so at least.
ParlaMint-NL_2015-10-08-tweedekamer-7.u18	I agree with the spirit. In the case of Bonaire, there has of course been a political campaign by parties that have promised their voters: when we come to power, there will be a referendum. That is now cut in half by first asking "are you satisfied with the constellation today?', With the communication that if the answer were to be no in the majority, there would be alternatives. I would like to say that, should that first referendum lead me to vote for alternatives, I will have an intrusive conversation with Bonaire's board to hear from them what they consider to be alternatives. I say it somewhat reluctantly, because as soon as we get the impression that we are going to decide from The Hague what we can vote on and from which one may choose, that might raise resistance. It is therefore primarily up to the political government of Bonaire.
ParlaMint-NL_2015-10-08-tweedekamer-7.u19	I have a question about the commonwealth. Mr Van Raak and I made that note precisely because we, as representatives of our constituents, believe that the people should have some choice. One must be able to say which way one wants to go. We did not specifically give the note to the cabinet, because we do not think that the cabinet is about it either, because it has no control over it. That is why we have said that we are doing this together. I do not understand Mr Segers' reaction. He says we have to put an end to it. Once again, the cabinet is not about that. I still think we should start talking about that. I heard the Minister say in his own words that he would find independence unwise and that it would not be his choice. But those are also comments that are not really appropriate to this minister. It is up to the parties and countries to make choices as to the possible desire for independence. Otherwise, we look with our Dutch glasses at the wishes of the islands, and they may be in a very different way. I do not think it is right for us to judge that. Is that right?
ParlaMint-NL_2015-10-08-tweedekamer-7.u20	First of all, I did not accept Mr Segers' words that there should be an end to it. I'll leave it in the middle. In doing so, I respond to Mr Bosman's wishes. He then asked whether it was up to me to determine whether it would be unwise for the countries to want to leave the Kingdom. I believe that this fits within my responsibility as Minister of Kingdom Relations. Technically, a country only has to call and can get it out. That's been said. The same goes for marriages, of course. If you go home tonight, Madam President, and you say to your husband, "you just have to call and you can go," you're almost gone. That's not the way you deal with each other in a stable relationship. As Minister of Kingdom Relations, I therefore assume that is my observation; I have also explained that it is good for the countries on the other side of the ocean that they are in the Kingdom. At the same time, I note that they do have the right to choose a greater distance. I agree with that, but I also note that there are political parties who are opposed to different views, and that is possible.
ParlaMint-NL_2015-10-08-tweedekamer-7.u21	I think the essence of the decolonization process was to "come to." Then it is not convenient to say that it is not wise to become independent. In my opinion, it is the task of the Netherlands to ensure that these people are given as much space as possible to become independent. Nor should we pretend that keeping within the Kingdom is the best thing. In my view, it is the decolonisation mission to ensure that people get so far that they are able to strike a balanced balance in complete freedom and space. The Minister makes his own comments, but I do think he should be reluctant to say whether that is wise or not.
ParlaMint-NL_2015-10-08-tweedekamer-7.u22	I'm trying to avoid the word independence. We're talking about autonomy. The countries are already autonomous within the Kingdom, with a number of comments. I have been with the King and the Queen on a journey of introduction to the Caribbean part of the Kingdom. People there really experience that as their king and queen, as much as here. They feel, however symbolic, part of one stately connection, the Kingdom of the Netherlands. I think that as Minister of Kingdom Relations, I should really have the space to stand for that constellation, with respect for political parties who say that they want it to be different in the long term.
ParlaMint-NL_2015-10-08-tweedekamer-7.u23	That's right. Our king is also the king of Aruba, is also the king of Curaçao and also the king of Saint Martin. He is the king of four countries. On the contrary, I am incredibly positive in the discussion on the commonwealth. Mr Bosman and I have started a discussion in this Chamber. This is also being considered within the parties. I also notice, in particular, that there is a great deal of thought on Aruba, Curaçao and Saint Martin, perhaps not in the States, perhaps not immediately with a whole debate, but a lot of thought is being given to this in political parties. That's what happens in the media. Very prominent politicians on the islands take the idea seriously. I do not see the need to close the debate, but I see the beginning of a debate, which is also taking place in the other countries.
ParlaMint-NL_2015-10-08-tweedekamer-7.u24	I do not contradict that; I believe that I have just confirmed this. At the same time, I believe that there are political forces on both sides of the ocean who want to move away from a Kingdom alliance, which, as Minister of Kingdom Relations, make it possible for me, once in a while, to take the opportunity to explain the benefits of the link for all four countries.
ParlaMint-NL_2015-10-08-tweedekamer-7.u25	This minister is also the Minister of Relations, that's right. I immediately acknowledge that this is sometimes quite difficult, especially within the Kingdom. I'll come back to the Bonaire referendum. It has just been said that we need to ensure that people ask real questions and put real things, not things that can't. I'd be very much in favour of leaving that to the people at Bonaire. I think it is most purely that if the people on Bonaire or on Statia want to make a statement, they do so mostly. Whether it can or can't, it's up to them. That is a responsibility they want to take on themselves. A people always has the right to choose their own future. A choice of a future is also a choice of a particular responsibility. I would let that go as far as I can, and I shall try to do so in the words of the Dutch Minister, Mr Delors, as little interference as possible from the Netherlands.
ParlaMint-NL_2015-10-08-tweedekamer-7.u26	Now Mr Van Raak is forcing me to hang a little bit to keep that course. The word "people" is difficult in this context. People on Bonaire, Statia and Saba are Dutch, residents of the country Netherlands, although on the other side of the ocean. I therefore agree with Mr Van Raak that they can organise a referendum themselves and that their political governance can decide what the commitment of the referendum will be. I would like to make a few comments. Whether they are realistic options will have to be demonstrated afterwards. But I agree with what Mr Van Laar has just said: it is annoying for the population to have to choose between alternatives without knowing whether this is a realistic option in the context of the Netherlands. If alternatives are mentioned, I am prepared to discuss them. I will not do that until after, because the lead is in the political administration there.
ParlaMint-NL_2015-10-08-tweedekamer-7.u27	The Minister continues his speech. At the end of each block, let us check whether there is a need to ask questions.
ParlaMint-NL_2015-10-08-tweedekamer-7.u28	Mr. Chairman. Not all cubes are the same length. The following is rather brief and concerns the point made by Mrs Van Toorenburg, but I would like to discuss it separately because it is important. Mrs Van Toorenburg asked why we are not letting all these countries borrow at the low interest rate at which the Netherlands can borrow. Two of the three countries do. Curaçao and Sint-Maarten are eligible for the current registration. I've just been looking at the latest figures: about 1.5% interest. Aruba itself borrows on the capital market at 6% interest. That's four times as much. The interest charges on Curaçao and Saint Martin are in the order of 3%, while those on Aruba are 15%. Of every euro received there, a seventh goes to the interest costs of the old debt. This puts you in a kind of chicken or egg situation: how do you get the budget in order when you have to use 15% of it each time to pay off your old debts? For this reason, in the White Thursday agreement, we agreed that there would be a form of separate financial supervision for Aruba: the CAft. Its objective is to balance the budget on a sustainable basis. The agreement is that, if so, current tenders will be eligible, i.e. for much lower interest rates. I would like to add that the chicken or egg problem is never going to bring it up on its own. That is why I would like to go so far as to say that, when the supervisor's conclusion, the CAft, is that there is a sustainable approach to bringing the budget into balance, even if it is not yet fully balanced, I am prepared to take the advice of the CAft to Mr Dijsselbloem and say: this is going so far as to ensure that we should now be able to give the last push to make Aruba eligible for the current registration. But it's not that. I therefore agree with Mrs Van Toorenburg that it is ultimately sin money to pay that high interest. However, the market rightly praises it, so apparently one still sees a risk. We are not just gonna take over, so that needs to be reduced first. After that, we can indeed consider the current registration.
ParlaMint-NL_2015-10-08-tweedekamer-7.u29	Was this the end of the block?
ParlaMint-NL_2015-10-08-tweedekamer-7.u30	This is the end of the block.
ParlaMint-NL_2015-10-08-tweedekamer-7.u31	I shall then give the floor to Mrs Van Toorenburg.
ParlaMint-NL_2015-10-08-tweedekamer-7.u32	I think this is a hopeful sound, because I agree with the Minister that agreements that have been made before should not just be abandoned. However, I would ask the Minister to take one step further. Let's say we really get a good look at everything being put on everything. Sometimes it's hard. On the Dutch side it is sometimes disappointing; then something happens that the net does not succeed. But if we really see that a country is doing everything it can to get to a good point, wouldn't it be a very good encouragement and really help people if we do everything we can to get to a good point?
ParlaMint-NL_2015-10-08-tweedekamer-7.u33	Perhaps we are saying the same thing, because I believe Mrs Van Toorenburg also wants to see that order. First of all, we want to see the budget improve. Now there is 9% deficit and an 80% public debt. That is more than double compared to the other countries, because there it is 35%. There is something that needs to be significantly improved first. If things are really moving in the right direction, maybe at some point you can try the current registration to push it further in the right direction. But that must be the order.
ParlaMint-NL_2015-10-08-tweedekamer-7.u34	Can the Minister at least inform the Chamber as soon as he sees reason to speak about it? Then we can see if we can find each other that the time is right there to try and help a country that is doing its best.
ParlaMint-NL_2015-10-08-tweedekamer-7.u35	That's what I'm telling you. I would add that, of course, the CAft is among them. We'll never do anything against the advice of the CAft. However, the CAft is in the process of thinking; we have also noticed this in other countries. The CAft is also inclined to say at a decisive moment: it must be possible under conditions. That's what we're waiting for.
ParlaMint-NL_2015-10-08-tweedekamer-7.u36	I'm happy about that. It's really an expression of good will. It helps Aruba. My question concerns the intermediate step of the CAft. I understand that the CAft has now been asked to look at whether the situation is moving in the right direction, towards sustainable, sustainable public finances. If the light goes green, the Dutch government will borrow at lower interest rates. Do I understand the Minister that well?
ParlaMint-NL_2015-10-08-tweedekamer-7.u37	Yeah, and that's not a question at one time. It's not a snapshot. From now on, just as the Cft does in Curaçao and St.Maarten, the CAft will periodically review the budget and the account. That is a trajectory, and it will never be the case that on the next occasion they say: do it now. So I do not want to create excessive expectations either. There is still a great deal to be done with the budget and the bill of Aruba before we get close to something that is even remotely balanced in the budget. I hope, however, that somewhere in that route it will get to the point where the CAft signals that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u38	Then we'll have to be a little more specific. What is the perspective that the minister presents in time? Are these certain percentages that need to be met? Is that the insight of the CAft: now it's really going the right way and we're giving it an extra push so the interest rate can go down? At what time could the choice be made? That's what we need to be very specific about.
ParlaMint-NL_2015-10-08-tweedekamer-7.u39	I can't tie it to numbers. I'm gonna stick with the choice of words I used. There is a structural, sustainable approach to budgetary balance. I also leave the discretion to the CAft to assess whether this is the case. It's not weeks or months. We are now in the budget for this year and it has yet to be implemented. So I do not want to create excessive expectations.
ParlaMint-NL_2015-10-08-tweedekamer-7.u40	I'm a little freaked out because the Minister says that the CAft is sometimes in the mood. In my view, we have hard agreements in the National Financial Supervision Act which budgets have to comply with. It's as simple as that. The same goes for Aruba. There's a white thursday chord that one just has to comply with. I can imagine that, if there is a moment in the future when we find that there is a long and careful movement in the right direction, the CAft will not take that decision. This must comply with those strict standards within the agreed laws. I can imagine that the request will then come to the Chamber, as Mrs Van Toorenburg also said, to make the request here. Once again, it is not the task of the CAft to make the discretional judgment that one goes in the right direction. I'd like that confirmed by the Minister.
ParlaMint-NL_2015-10-08-tweedekamer-7.u41	I confirm that the CAft doesn't decide. The College advises the National Council of Ministers. The Chamber can hold me to account here for the decisions taken in the National Council of Ministers. There is, however, a window of interpretation, on which we have previously had an exchange of views. I know that Mr Bosman is on the side where it is said that as little as possible should be done away with the extremely strict and strict criteria. I'll pass those signals on to the people at the CAft. I must say that I have the greatest confidence in what is being done there. They also regularly reject plans, criticise them or say they need to be improved. We have seen this recently at St Martin's. It is therefore a strict regulator, but it is also one that properly excludes the circumstances in the judgment.
ParlaMint-NL_2015-10-08-tweedekamer-7.u42	But that's not the intention, because discounting creates a black box from which ultimately comes the view that the loan is allowed at a Dutch interest rate. That brings that loan to our budget. That's not the deal. The deal is, they either meet or they don't. If they do not meet, one can always discuss whether a loan at Dutch rate is possible, but that is what we decide here. That is then a political choice. If they don't meet, they don't meet. It's as simple as that. In the opinion of the VVD, the space to create all kinds of grey areas and to put the CAft in the mindset is not there.
ParlaMint-NL_2015-10-08-tweedekamer-7.u43	And your question is?
ParlaMint-NL_2015-10-08-tweedekamer-7.u44	The question is, how do I feel about that?
ParlaMint-NL_2015-10-08-tweedekamer-7.u45	Yes.
ParlaMint-NL_2015-10-08-tweedekamer-7.u46	Well, that was one question after all.
ParlaMint-NL_2015-10-08-tweedekamer-7.u47	I'm just in the mood.
ParlaMint-NL_2015-10-08-tweedekamer-7.u48	Yes.
ParlaMint-NL_2015-10-08-tweedekamer-7.u49	First of all, for the record, I would like to point out that the CAft is giving an opinion. It's the National Council of Ministers that decides that. I can answer here if I wish. If a loan is granted to Curaçao and Sint-Maarten, a loan is now granted to Curaçao and Sint-Maarten. That is also why we do not agree in advance, because then you will of course guarantee that loan, and that could, in the worst case, mean that the Netherlands is left with the problem if something goes wrong in such a country. That's exactly why we don't just say, "Oh, why don't you take our low loan?'. After all, you take the risk and we do not want it to be covered by financial supervision. That is what we have done with the White Thursday agreement.
ParlaMint-NL_2015-10-08-tweedekamer-7.u50	We asked for this. I therefore thank the Minister for this line. We wholeheartedly support them. I wonder if the Minister shares my feeling that there is less hope that this will happen soon. Two years or one and a half years ago, and last year in fact, I had the hope that Aruba really was putting its own house in order. However, the new plans refer to a kind of private partner or public-private construction in which Aruba lends a billion guilders for the future to build four-lane roads and so on. When you see that, it does not seem that the country is very much aware of the fact that it is almost bankrupt, that money needs to be handled in a sparing manner and that it needs to be put in order quickly. I'm hoping the country will see that for itself, losing a little bit. I wonder how the Minister looks at that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u51	I hope Mr Van Laar understands that I want to stay away from that. The CAft is in the middle of judging that. Mr Van Laar has the room to express his hopes and expectations. However, I do not think that is up to me, also because others, including investors and people in financial markets, are listening. So I don't want to go into that right now. I hear what Mr Van Laar is saying and leave it with him. It would be a good idea to bring the budget closer to balance as quickly as possible. We agree on that.
ParlaMint-NL_2015-10-08-tweedekamer-7.u52	It would be a good idea for the Council of Ministers to give an opinion on this construction in due course as a result of the reporting of the CAft. The fact that you can borrow a huge amount of money through constructions in the future without counting for the current budget because this loan does not happen to fall down in those years is difficult to reconcile with financial supervision, isn't it? That will have to be clarified at some point.
ParlaMint-NL_2015-10-08-tweedekamer-7.u53	I think that's a reasonable question. I'll lead it to the CAft. I refer to previous discussions with Mr Bosman on whether budgetary surveillance, which is strictly the responsibility of the CAft, means that it also looks at loans. The answer was affirmative at the time. So it is now, because that is, of course, the context in which such a budget has to be assessed. I come to the next block, which has been discussed quite a lot: the Council of State's information on state relations and, in particular, on the guidance that can be given from the National Council of Ministers. First of all, I think it is a good, clear statement and also a framework in which I fully agree. This information does not assess cases against that framework. This naturally means that everyone can start looking for case X or Y and what might be the view of the Council of State in this context, but that is the explanation we must give. For the record: an individual case is not tested against anything. Specific questions have been asked about the designation given to the Governor of Aruba to have the budget examined before approving it. I have previously written to the Chamber that I believe that this indication is perfectly legitimate in this case too. I found support on a number of points. I'd like to highlight two. Firstly, there is the alert, and this has never been put on paper in such a way that the guarantee function not only means that the State Council can intervene if good governance, human rights or democracy are no longer the case, or if something disastrous has happened, but also if there is, and I quote, 'a real threat of unacceptable degradation'. So there must be a threat, and it must be real. If that's the case, there's a basis for a clue. Mrs Hachchi rightly summarized this as: you must not wait to dampen the well until the calf has drowned. That's what it says here. So you can say in the route to it that there must be an indication in the context of the guarantee function. Next, the framework states that those indications should not confer powers that are not there. So you have to confine yourself to the existing powers. An explanation of this is, for example, "focused on research and temporary measures aimed at combating or preventing situations" with a reference to Article 43, second paragraph. Research and a temporary measure are therefore permitted under the governor's regulations. That's exactly what happened. There was a budget for which the IMF, the advisory board and ourselves here in the Netherlands said it was not real and not going in the right direction. Aruba's government debt had doubled by now. The budget was adopted by the States, which is also a relevant political fact. We then told the governor: we advise you, we give you an indication that, before you decide whether or not to sign, you are fully aware of and are investigating the reality of this budget. That is the least far-reaching intervention that can be done from the Trêveszaal. Any other intervention goes much further: to reject the budget or, in a different context, to reverse the appointment of a minister. These are far-reaching interventions in autonomy. We have deliberately chosen to do the minimal intervention: to give the governor a lead. In my opinion, this is fully covered by the frameworks provided by the Council of State. And yet I agree with everyone who says that this must be done only when there is a real threat of an unacceptable violation of the principles set out in Article 43. This is the case, for example, where a country is likely to find itself financially in danger.
ParlaMint-NL_2015-10-08-tweedekamer-7.u54	Being right and right are two different things, especially in politics. I think that is what the Minister means when he says that there are no cases in the information request, which has a little to do with this. Without mentioning cases, I think the information request is so clear that you can put it next to the cases we have seen in recent years. I have two questions. I'll come back to the dispute settlement, but I'll start with the guarantee function. The Minister can quote the phrase, but he does not do it in full. When it comes to threats, it must be a systematic and in-depth structural breach of the protective values we have in the Statute. Was that what you were talking about? The Minister does not have to deal with all cases, but I would like to hear whether the Minister is taking lessons from the way in which it has gone so far in relation to the words of the Council of State. As far as the governor is concerned, too, I would like to hear whether the Minister is taking lessons on the basis of what is stated in the request for information.
ParlaMint-NL_2015-10-08-tweedekamer-7.u55	My answer to the first question is very brief, namely: yes. I believe that there has been a systematic and in-depth breach of Aruba's financial stability, as budgetary debt continued to increase in successive years, despite warnings and previous agreements. Now all the facts are on the table. I have seen that Mr Van Laar asked Mrs Hachchi in the first place whether, in view of these facts and what is ahead, there was a real threat of unacceptable deterioration. It all ended well on its feet. I don't want to make it bigger either. I am glad that we are now on a good path with the Aft (Aruban financial supervision). It has been decided in common. Looking back, however, I do not think it is wrong that we did this. I wonder if Mrs Hachchi sees this differently, but I can't ask questions, I think.
ParlaMint-NL_2015-10-08-tweedekamer-7.u56	I do not wish to waste my second interruption by repeating that I also pointed out the direction to the governor.
ParlaMint-NL_2015-10-08-tweedekamer-7.u57	I think the governor of Aruba was also strengthened by this clue. He's in a complicated field of forces and can now say he's been given a lead to investigate this. In general terms, I certainly agree that we must be extremely careful about the role of the governor. On the following subject, the political situation in Saint Martin, this will also be one of the building blocks of my speech.
ParlaMint-NL_2015-10-08-tweedekamer-7.u58	I did not expect this minister to say now that what we have done so far is wrong. So I could have expected his answer. However, I did not ask for nothing whether the Minister would draw lessons from the request for information on how he will apply Article 43 on the guarantee function in the future. That guarantee function is an ultimatum remedium. In my view, these two words are also oblique in the request for information. All other roads must have been walked, in cooperation with the country in question, before you intervene with a clue. That is my first point. My second point concerns the directions to governors. I have given two concrete examples. You can't give a governor new powers through a lead. That's what happened. A governor may not hold a budget provided by a country regulation. The rules say you can't. He must fix the budget or forward it to the Kingdom Government. Those are the procedures, but in either case they have not been followed. I do not expect this Minister to say that this was illegal, but I do expect him to learn some lessons for the future from the request for information.
