ParlaMint-NL_2015-02-10-eerstekamer-6.u1	I have already welcomed the Minister for Economic Affairs. I call Mrs Vos.
ParlaMint-NL_2015-02-10-eerstekamer-6.u12	Mr. Chairman. The Energy Efficiency Directive follows a broader package of measures to minimise climate change. Every year, the use of fossil energy brings global CO emissions to record levels, partly because these fuels are still often subsidised. More than 85% of the total energy comes from oil, coal and gas, compared with 1.1% from wind and 0.2% from solar energy. Emerging economies such as Brazil and China will increase energy demand by as much as 37% over the next 25 years, according to the International Energy Agency (IEA). Over the past ten years, extensive research has been carried out into the impact of global greenhouse gas emissions on Dutch society. The government has already commissioned more than 25 vulnerability analyses and reports on climate change; it is an entire industry in itself. These reports tend to focus on specific policy areas, but all these reports strongly highlight the need for greening. On the basis of these studies, several agreements and agreements have been concluded at national and international level. The latest example is, of course, the energy agreement. However, it is important that the government adheres to the commitments to prevent the depletion of natural resources and raw materials and to reduce emissions of harmful substances and thus maintain a viable climate for future generations. It is also an excellent opportunity to make the European Union self-sufficient. By generating more renewable energies, we can limit our energy dependence on unstable and authoritarian regimes as much as possible. In addition, as it turned out this weekend, we can reduce the rate of gas drilling in Groningen. A compliment, by the way, from my side to Minister Kamp. After all, he goes to Groningen every time and confronts the people. However, it is becoming clear to the whole of the Netherlands that people are being seriously affected and that it is really a problem for them. I am pleased that the measures have been taken. I would also say to Mrs Koning of the PvdA Group that I like the halving in itself, but I do hope that it will lead to something and not that it will prove to be a measure that will just as conveniently bridge an election date. Technological developments in the field of renewable energy offer many opportunities. Think of the award-winning Stella solar car, the family car that runs on solar energy, designed by students from TU Eindhoven. My group therefore believes that these opportunities should be tackled with both hands. Although the EU is still one of the top three CO emitters, European energy policy is slowly starting to bear fruit. CO emissions in Europe have been falling for years and renewable sources are gaining ground. In the vast majority of Europe, renewable energy already accounts for more than 10% of total energy consumption. According to Eurostat, this percentage is even above 50% in Norway and Sweden. Unfortunately, my group has to note that the Netherlands is far behind in this area, with only 5% consumption of renewable energy. As a result, the cabinet is miles away from the ambition to use 14% renewable energy by 2020. Moreover, this objective is already not ambitious compared to that of other European countries. It is not for nothing that the Netherlands, of all EU countries, is at the second last place on the annual climate ranking list. There is therefore criticism from different angles. At the end of 2012, the General Court expressed its concern about the climate policy of the Netherlands, which is far from being linked to European developments. The then Secretary of State for Infrastructure and the Environment did not fully agree. He pointed out that the Netherlands is seen both by the European Commission and by many EU Member States as an advanced country in its strategic and practical approach to climate change adaptation. My group would like to hear from the Minister whether this observation is still applicable and on which the positive image of Dutch climate policy is based. My group is particularly curious as to whether this strategic and practical approach will lead to the 14% renewable energy by 2020, the agreement made in the Energy Agreement. But that hole seems unbridgeable without any additional measures. However, the Minister would like to wait for an evaluation report of the Energy Agreement in October 2016. Is the Minister aware that postponing measures makes adaptation to climate change more expensive and more difficult? What kind of financial resources does the Minister have if it turns out that the Netherlands is lagging behind schedule? My group also has a few questions about biomass. It is important that the biomass grant goes to projects that are certified sustainable. This demand is also mentioned in the energy agreement. My group has received signals that energy companies do not have to meet the certification requirements. I refer to Het Financieele Dagblad, in which on 12 January the article "Second Chamber is dealing with sustainable by-products of biomass." Can the Minister clarify this? Can he guarantee that grants will not be paid to projects that are not certified sustainable? Does he believe that this would accelerate the transition to a more biobased economy? In addition to concluding energy agreements, the government could impose a heavier burden on the consumption of fossil fuels. According to the IMF, this is the most effective way to deal with environmental damage in energy prices. At the same time, this tax can promote the use of renewable energy. Does a higher tax on fossil fuels include options as far as the Minister is concerned? Or does he leave this whole thing to Secretary of State Wiebes for the new Tax Plan? The directive we are discussing today aims at achieving the European target of 20% energy savings by 2020 compared to consumption in 2010. The Netherlands has committed itself to reducing final energy consumption by an average of 1.5% per year by 2020 and by 100 petajoules. The pace of energy saving in the Netherlands was around 1.1% per year between 2010 and 2013. Due to the agreements in the Energy Agreement, the pace according to the National Energy Exploratory (NEV) will be on average 1.2% in the coming years. This is a particularly slight increase and not enough to meet the savings targets, the researchers conclude. Does the Minister share the findings of the National Energy Exploratory? If so, does the Minister consider that the Netherlands should make up for the delays? How's he gonna get there? The Minister expects the energy saving rate to rise to around 1.2% to 1.7% per year. Can the Minister explain what this expectation is based on? The researchers of the NEV do not have this expectation. The energy label should be an important incentive for homeowners to make their home more energy efficient. However, the introduction of the provisional label is accompanied by problems. I refer here to the broadcast of Kassa last night, which caused a great deal of suffering. The provisional label is often classified as "amateuristic" because only the year of construction and type of home has been looked at. Does this provisional energy label meet the requirements of the European Commission? What additional criteria are used to establish a definitive label? My group is not yet satisfied that we are going to comply with the EU agreements with the current policy and that the cabinet has the agreements high on the list of priorities. The lack of energy savings will be more than 40 petajoule compared to the objective with the existing measures. The heat vision has to fill this hole, but there is still little clarity about this. That is why it is good to see how efficiency can be achieved within the current agreements. For example, Article 6 of the Directive contains rules on public procurement. In the note following the report, the Minister writes that this obligation is fulfilled by the Sustainable Procurement Policy Framework. According to the explanatory memorandum to this directive, the government has been purchasing even 100% sustainable since 2010. Six civil society organisations, including VNO-NCW, indicate that the government cannot deliver this percentage. According to them, the gap between word and deed is worrying and the government opts for economical rather than green. They believe that sustainable purchasing is becoming an increasingly lower priority, which is not only bad for the environment but also costs the government millions. They therefore advocate a one-stop shop for sustainable procurement with a clear allocation of tasks and responsibilities. How does the Minister respond to this message? What does he think of the proposal to create a one-stop shop for sustainable procurement and thus address the fragmentation of procurement? A number of highly polluting coal plants are still in operation in the Netherlands. What measures does the government take to make these power stations more energy efficient? What is the government doing, for example, to make better use of the heat released by coal-fired power stations? Are there other ways to make coal plants more energy efficient? In addition, my group sees a role for the government in stimulating innovation projects. The search for new sources, the better storage of renewable energy and the more efficient establishment of energy networks are essential for the longer term energy transition. The blue power station on the Afsluitdijk, with energy from osmosis, is a good example of an innovative project. However, many projects seem to be stranded due to a lack of funding. Does the Minister explain, for example, that banks are reluctant to invest in renewable energy? What is the Minister's view of a government guarantee scheme? Such a scheme could provide greater security for financiers, thus increasing the number of innovative projects. The introduction of a feed-in rate could have a similar effect. Does the Minister feel that this measure should be taken? My group is concerned about the progress of the Netherlands in the climate issue, but also has some cause for optimism. Tens of thousands of individuals have switched to solar energy in recent years, we see more and more electric cars on the Dutch roads and there is a growing number of zero on the meter houses. Of course, some regulations and taxes.................................................................................................................................................................................................. Energy efficiency must be given high priority, not only in the public sector, but especially in the case of architects, energy companies and homeowners. With a clear long-term vision and greater certainty, the cabinet can draw these parties over the line. The International Energy Agency expects the price of solar energy to halve in the next 20 years. Innovations also make other renewable energy sources increasingly cheaper. Moreover, the price of renewable energy fluctuates less than the price of oil, although it is now, of course, pleasantly low again, and renewable energy provides a higher degree of self-sufficiency. D66 therefore believes that the energy transition will not only improve the climate, but can also make a valuable contribution to our economy. My group awaits the Minister's response with great interest, but would like to ask him to respond to the following. Yesterday, in a large opening article of the Dutch Financial Journal, it was stated that the tax advantages of green investments are under attack. I assume that the Minister will involve this issue with Mr Wiebes, Secretary of State for Finance, in the revision of the Tax Plan.
ParlaMint-NL_2015-02-10-eerstekamer-6.u13	There is an increasing energy demand in the world. To what extent does Mr Van Boxtel think that we will be able to absorb them in the future with so-called renewable energy? Or do we shoot ourselves in the foot by making it all very expensive and probably technically impossible to achieve the objectives?
ParlaMint-NL_2015-02-10-eerstekamer-6.u14	Mr Van Beek, we're pulling right on the other side of the rope. You say we shouldn't do anything for a while, because the rest of the world is still making a mess of it. My reasoning is: if we start doing something about it, perhaps the rest of the world will follow. I think that is a more sensible attitude. Your reasoning is, in fact, that there is a great deal of terrible human trafficking in the Third World and that is why we should not do anything about it here. That was actually the core of your input just before the PVV. I really have a whole different setup. I assume that in the coming years we will still need fossil energy, but that we will also have to make a real turn to keep this earth viable in the longer term and continue to provide sufficient energy for future generations. You are much more on the line: I am looking at it at the moment, I am not concerned at what is going to happen in the years to come and as long as other countries do nothing, we do not have to do anything. That is not my political stance.
ParlaMint-NL_2015-02-10-eerstekamer-6.u15	That is clearly the view of Mr Van Boxtel. I also stated in my speech that the environmental problem, as we know it, is mainly on a global scale. If, with all our efforts in Europe, we do not have a level playing field in relation to regions and agreements cannot be made internationally, we give ourselves a wonderful feeling. Look what we are doing! Oh, but that doesn't help. It's pointless.
ParlaMint-NL_2015-02-10-eerstekamer-6.u16	No, I don't agree with you. It's absolutely not pointless. It is always good if the modern economies do something when the United States and Europe do something. You see what they do in the United States with shifting to shale gas. Ten or fifteen years ago, the country was still an energy importer and now again an exporter. There, too, huge innovations are being promoted. We in Europe can do the same. I have mentioned a few good examples. We could perhaps do a lot more with energy from water and from tides. This country has shown on all these fronts that it can innovate tremendously in this area. We could then help other areas of the world to sometimes "leapfrog": to switch to new forms at once. This has also been done with other examples, for example in telecommunications. You see people in Africa now using a mobile phone to trade, when they never had to make the years of investment in all kinds of big, expensive cable networks. I would just like to point out that I find your attitude an attitude of: after me the flood. I'd rather we just stop that flood. I'm not a doomthinker. I'm not going anywhere with the judges you mentioned in your speech. I am not from that school at all, but I am truly convinced that if we use full energy to develop and use alternative energy sources, we will be of enormous service to this earth and to our future generations.
ParlaMint-NL_2015-02-10-eerstekamer-6.u17	Finally, a very short...
ParlaMint-NL_2015-02-10-eerstekamer-6.u18	Yes, finally, Mr Van Beek.
ParlaMint-NL_2015-02-10-eerstekamer-6.u19	I am encouraged that Mr Van Boxtel and Mr D66 see other fuels, whether fossil or not, as a necessary source to meet our energy needs in the future.
ParlaMint-NL_2015-02-10-eerstekamer-6.u20	If you have listened carefully to my answer, have you heard that I am not so naive to say: will we stop with oil and gas tomorrow? You can't do that. However, the urgency to make covers can be more strongly stimulated. That is what I am addressing the cabinet to, and that is what I am calling this minister in his capacity in this debate, and that is what I really think is 'noblesse obligation'. You will know that oil will end sometime and gas will not go on forever. You will also see our own problems in the Groningen region that need to experience urgency. And then I'm not gonna hide behind the theorem: yes, but in other parts of the world they don't do anything about it. No, we just have a duty of our own to make new successes. I see good examples of this, which I have all mentioned. There is also a lot of innovation in this country, but it can be even faster and even harder. This will have to be done in good consultation with the major industries in this country, including the polluting ones. Look at what Germany does. That country has taken far more stringent measures on the energy dossier than we have. We are still at the bottom and I just don't like that for the Netherlands. We must have the ambition to get higher on that ranking, even when it comes to energy renewal.
ParlaMint-NL_2015-02-10-eerstekamer-6.u21	Mr. Chairman. Let me make a few preliminary remarks. I received a number of carefully appreciated comments on the decision-making on gas extraction in Groningen. However, the suggestion was also made, particularly by Mr Van Boxtel, and I do not think it should be an election stunt so that in six months' time it all goes back to normal. If you want to hit me as a politician, you have to say things like that. There is no way that, when I deal with the problem in Groningen, I'm going to look at what kind of election stunts could be taken out of it. There are tens and tens of thousands of people who are very concerned about a problem that has been going on for years and will continue to play for years and which concerns their own home and environment. It is a problem that remains and with which the government also struggles. It is, of course, unthinkable that you, as a politician, should deal with this as suggested unintentionally by Mr Van Boxtel. I'm well aware of the relationship between natural gas extraction and earthquakes. I am in the process of reducing the level of natural gas extraction, which was 47 billion m in 2012 and 54 billion m in the following year, to 42.5 billion m. A year later, I will reduce it to 39.4 billion m. Now we are going to see on 1 July next whether it should be 35 or 39.4 billion m. I have already announced that before 1 January 2015 we are going to look at whether it is justified to move to a new system, which would result in an average of 30 billion m per year, but where you do have large fluctuations from year to year. I need to find out what the safety effects of that are. So I am in a consistent line of action to do what I believe is necessary for the inhabitants of Groningen. I wouldn't dare do it any other way. I wouldn't dare pull election stunts on that.
ParlaMint-NL_2015-02-10-eerstekamer-6.u22	I am pleased with this response. I also said that it was the cynical comments I heard on the radio this morning. It wasn't my own words. I think it would be a good idea to exchange this in any public debate. I have no doubt whatsoever of the integrity of this minister, and he knows it. I am concerned that this affects a lot of sentiments. Not only is it important to reduce the level, but also the way in which the cabinet, and indeed all of us, have been held to meet the people in their suffering. As the Minister knows, I also work permanently with one leg in Groningen and in another way I have to deal with it all the time. I am only pleased that it has been refuted in this way, so that those cynical commentators can stay away.
ParlaMint-NL_2015-02-10-eerstekamer-6.u23	I thank Mr Van Boxtel for that opportunity. I think it is right that the spokesmen have brought it up, because they are representatives of the people, and this affects the people. Then it is right that I should be addressed on this occasion. The safety aspect of natural gas extraction has been treated in such a way for many years that we have not been sufficiently prepared for the situation there. The safety aspect is first and foremost, but security of supply also deserves attention. Of course, it would be a bad thing if we were to take measures now which would suddenly result in a build-up of setbacks that electricity production would not be able to go ahead and that some of the houses in the country would no longer be heated. That would also be unacceptable. So that is also a form of safety. In addition to security, I have to keep an eye on security of supply. Nor can I be expected to completely ignore the effects on the state budget. A reduction to 39.4 billion m will cost 0.7 billion in the current financial year. Any reduction to 35 billion m will cost an additional billion in the current financial year. I myself estimate that the impact of the reduction in gas prices on the budget is between 1.5 and 2 billion a year. And I am talking about the current budget. I'm not saying that's my first priority. It is precisely not, because security is the first priority, and then the security of supply comes. Yet I am just expected to take note of all the relevant things and to weigh them up. This information is part of that. Mr Van Boxtel spoke critically about what the Netherlands is doing about renewable energy. He mentioned the 4% in the Netherlands and the 50% in the Scandinavian countries. Mr Van Boxtel may know the Scandinavian countries better than I do. You have big height differences and lots of water. You use these height differences and that water to generate renewable energy. That is why they have a lot of renewable energy there. We don't have those height differences. We don't have that much sun. The amount of wind is only one third of what they have in Ireland, for example. This means that we have to do very much to get this renewable energy. We have the absolute conviction that we must. We work on it every day, against the current, so I can assure the members. 14% is the 2020 target, 16% for 2023. This means that by 2020 35% of electricity production will have to come from renewable energy. If you see what has to be done for this purpose, windmills scattered all over the country and in the sea not too far from the coast, then that is a very big task. We must also realise that there is a tension between the fact that I am constantly, rightly, being addressed to the achievement of objectives and, on the other hand, the feeling in practice when it comes to implementation. We all know that in the Netherlands we should not have too much of nuclear energy. We should not have too much of the underground storage of CO coming from the coal plants. We don't need much of shale gas. We are convinced that the extraction of gas in Groningen should be reduced. Windmills on land, we're against that. Windmills at sea, we shouldn't have too much of that either. Biomass smoke doesn't seem right to us. The coal-fired power stations must be closed down, at least the old coal-fired power stations. We don't want coal from Colombia. We don't want North Pole oil, nor gas from Russia. We know exactly what we do not want, but in the meantime we say that the objectives must be met. Let's be realistic about that, too. If you want to achieve targets on renewable energy, it is especially necessary to say yes. Then we have to realize that you have to build a whole new capacity, which just costs a lot of money. The capacity for fossil energy is there. If you want to move to renewable energy, then capacity needs to be built up and it costs money. In my introduction, I will also briefly comment on Mr Van Beek's comments. With all due respect to him and his fellow party members in the House of Representatives, I would like to say that it always means that everything we do in the area of renewable energy and environmental policy is bullshit in their eyes or adjacent to it. I really don't see it that way. Let me give you an example. In Eastern European countries, central district heating will start on 1 October. It emits heat in all houses in the same way. If you think that's too hot, open the window. That way, you can fix it. Compared to the Netherlands, I see an endless difference. I am therefore very pleased that we in the European Union agree to this together with 28 countries and that we are trying to implement these agreements in all those countries. We've come a long way. Doing extra things has such an effect compared to the effects you can have when you take the measures that lie ahead in Eastern Europe, where things go so wrong. Let me give you another example of the smallest particles of dust in the air due in particular to the use of fossil fuels. If we have more than 30 of these particles on a given amount of air, then that is a dangerous situation and really must be dealt with immediately by the Dutch government. I've been to cities in the Far East where 300 of those particles are in the air. We already think 30 are dangerous and there are 300 in the air. There were also moments when they had 560 particles in the air there. I believe that it is also found that in the interests of the people there it is wise to pursue policies aimed at limiting the use of fossil energy and to pursue policies that implement all environmental objectives, as we have gathered together over the years, so that there is a healthy environment for the people for whom we are responsible, and for their children and children, as Mr Reuten says, so that they can live in a responsible environment. Mr Van Beek's approach is really not my approach. He says it's unnecessary, too expensive and too compelling. He's against the bill, and then he's done. Then I'll have to finish his input a little sooner, because then there's not so much I can respond to. First of all, let me say in general terms what this bill means. This is the implementation of a directive. Mr Reuten was angry that it took us so long to do so. By the date of adoption of the Directive, 10 out of 28 countries had done so. We are one of the 18 countries that have not yet done so, but we have already fully implemented the policy. In addition, we are already implementing the administrative rules laid down in that directive. We have already sent reports to the European Commission. It does not know what to do with it, because it has not yet received much of those reports. So we haven't had a reaction yet, but it's really not going so bad in the Netherlands with the implementation of that directive. We just think it should happen. We didn't get here in time. If the Chamber can support this bill, we can finish it. Actually, it's a small matter. This European directive is a follow-up to the previous European directive, which we have correctly implemented. After that, we have taken many steps forward with the energy agreement, so what is in it can be carried out quite easily. Actually, there are a few minor points that are being changed into laws. The energy directive we are about to implement has three objectives. The first is a European objective. Europe says how much energy it wants to save by 2020. We're already close. We want 20% and we are at 18% to 19%, so that 20% will also be achieved. The second objective is national, namely 1.5% energy saving. According to Mr Van Boxtel, it is only 1.1% or 1.2% and does not end up with much, but that is a misunderstanding. The ECN has converted what this is into petajoule. If we are to achieve this 1.5% energy saving target between 2014 and 2020, we must save 480 petajoule. The ECN has calculated that what we agreed in the energy agreement is going to be between 432 and 591. Well, then I guess that 480 is easy in between. If we consistently implement what we agreed in the energy agreement, then we will make that happen. I can assure the Chamber that I have no hesitation in implementing the agreements in the energy agreement as quickly and as effectively as possible. I appeal to others to do so, but I am also being addressed by others. Then we have the third, also national, target set in the Energy Directive: we need to renovate 3% of public buildings every year to make them more energy efficient. We will. We even do more than 3% a year. The European objective is thus being met. The energy saving objective is also being met, and in making public buildings more energy efficient we are above the target. What remains in the directive to implement is to amend a few laws on minor points. These are mainly aimed at making the necessary information on energy savings available in different places and in different forms, so that those who can influence them also perform. Mr Reuten asks when this will be done. He says we should have done that by now. These are two regulations and a decision. One of the three changes we have to make has now been implemented. The other two come in spring, i.e. in the first quarter of this year or at the latest at the end of the second quarter. At the end of the second quarter, we also implemented everything in the implementation arrangements.
ParlaMint-NL_2015-02-10-eerstekamer-6.u24	To be clear, is it true that you are going to introduce the whole law, but Article 8b may not be entirely?
ParlaMint-NL_2015-02-10-eerstekamer-6.u25	I do not understand what Mr Reuten means, but that must be my fault.
ParlaMint-NL_2015-02-10-eerstekamer-6.u26	We were talking about Article V, the entry into force.
ParlaMint-NL_2015-02-10-eerstekamer-6.u27	In order to implement this directive, we need to change two regulations and a decision. The decision has been changed and both arrangements will be changed in the first quarter or end of the second quarter.
ParlaMint-NL_2015-02-10-eerstekamer-6.u28	You're talking about the General Measure of Governance.
ParlaMint-NL_2015-02-10-eerstekamer-6.u29	Yes. These are two schemes and one decision or a General Measure of Management.
ParlaMint-NL_2015-02-10-eerstekamer-6.u30	Will you come back to my specific questions?
ParlaMint-NL_2015-02-10-eerstekamer-6.u31	Yeah, I'll get back to you on that.
ParlaMint-NL_2015-02-10-eerstekamer-6.u32	Okay, I'll keep this question.
ParlaMint-NL_2015-02-10-eerstekamer-6.u33	I have already answered Mrs Vos' question about what we need to do for that 1.5% and what we think we can achieve under the energy agreement. With the energy agreement, we have made a huge leap forward in one go. We ourselves have all kinds of ambitions and rules, and we have managed to agree with all the parties involved, such as energy producers, energy consumers, the environmental and nature movement, employers' and workers' associations, 40 different organisations, on our final objectives and on what we can contribute to achieving them. We appeal to each other that we do what we can and what we have agreed. There is a balance in it. Some things were extremely important for the environmental movement and others she did not want. Other things were very important or very negative for the electricity producers, so they absolutely did not want them. That was negotiated, to see if we could agree. Something finally came up that everyone agreed on, and I'm not gonna sit around and argue about it. If the electricity producers say that they wanted something more and that they have good arguments for that, then I say: pity, but that is not in the agreements. I am not going to do that, because if I am going to morter at the agreements, someone else is gonna crush it somewhere else and the energy agreement will eventually collapse. I don't want to, so I'm sticking to the exact terms. I said this recently in a debate in the House of Representatives. It made them very faint at the end of the day, but it really is. If you've been able to make such a comprehensive package of appointments with the whole field, as a driver, you have gold in your hands, I think. You have to hold on to that and, above all, be careful not to let it slip away between your fingers, so that you actually achieve the result that can be achieved now. I'm not going to do anything extra or different, but I intend to do what's in it. Nor do I intend to take any additional interim measures. We agreed in that energy agreement what needs to be done. We have also said when we look at whether this is being realized and, if it is not, what we need to do to achieve it. I'm gonna stick to that, too. We have set up a separate assurance committee, which is going to follow all of this, so that at the time we are going to look at it, we have all the relevant information. I very much support that committee. I'm working intensively on that. That's how I'm gonna handle it, and I want to hold on to it.
ParlaMint-NL_2015-02-10-eerstekamer-6.u34	Is the NEV not saying that the objectives of the energy agreement are not being met? Do you agree?
ParlaMint-NL_2015-02-10-eerstekamer-6.u35	No, I don't agree. It states that 13% by 2020 and 16% by 2023 are feasible. My targets are 14% and 16%, so I have a problem in 2020. Only the policy adopted has been taken into account and there is more than the policy adopted. There is also the policy that has been agreed or is under development. If you add that up, I'll get that 14%; if I can realize those windmills that I have to realize, on land and at sea, and if I can co-incinerate that biomass that I have to co-incinerate according to the energy agreement. If I manage to achieve these things, I assume that with the policy adopted and planned, I will achieve 14% and 16%. And I intend to do that, as you know. I really keep my back straight with the windmills on land and sea and with the biomass, with everything. If a mid-term evaluation shows that I can't make it by parts, I'm going to take additional measures to make it.
ParlaMint-NL_2015-02-10-eerstekamer-6.u36	The Minister is now also saying that that was exactly my question. That is why he is going to take additional measures in this situation. That's my point. Of course, many agreements have been made in broad terms, but in the end they are really about the hard results and the concrete measures. The critical reporting in the context of the NEV shows that too few measures were actually made concrete last year on energy savings. This year there will be another evaluation, which will probably be published in September. If it turns out that too little progress has been made and that too few concrete steps have been taken to see that it is going to succeed, will the Minister tighten up measures or see how he can ensure that they are achieved? I would like to link that with the agreement of the Energy Agreement that should be achieved next year, so in 2016, at least 35 petajoules. So could national energy exploration possibly lead to tightening up this autumn?
ParlaMint-NL_2015-02-10-eerstekamer-6.u37	According to an appointment, in 2016 I'm going to see what the flag is like. Of course, I am not going to train the case until 2016 and then find that it has not succeeded and then take action. No, I just want to get it. I don't want the evaluation to show that I'm off course. So I'm taking all the signals to see if it's going well enough and what I have to do, if it isn't, to do better. That's what I want to make arrangements about. I have the bail board for that. I also have regular consultations with the parties to the energy agreement. One time there's something in the National Energy Exploratory and the other time there's something in something else. All these things I use to make sure that, when it comes to it in 2016, I have the place in order.
ParlaMint-NL_2015-02-10-eerstekamer-6.u38	In fact, the Minister says: I'm holding my finger on the wrist. That's how I hear his words. If he finds in the autumn that it is slower than it should be to have sufficient results in 2016, he is going to intervene earlier or talk about additional measures.
ParlaMint-NL_2015-02-10-eerstekamer-6.u39	In the negotiations on the energy agreement, the natural and environmental movement has said that it is too little and that it needs to be more. Other parties said it's too much and it has to be less. They also had arguments for this. It was then that they negotiated with each other. An energy agreement has come out of that. That's what I'm doing. Some from the nature and environmental movement may still say that it has to be more and sooner; maybe GroenLinks says so too. However, I would like to keep to the agreements. If there are any developments that make me fail to meet the commitments made, I am going to try to do so at that time. That is what I am trying to do with the measures and agreements that have been made. I'm not trying to come up with any additional measures right now. No, I'm gonna stick to what's agreed. I think we can do that. If it turns out that it can't be done in 2016, it's not beautiful and I still have to do something else, but I'm not going to come up with something new right now.
ParlaMint-NL_2015-02-10-eerstekamer-6.u40	I am looking for something more concrete to understand what the Minister will do. This autumn, another National Energy Exploratory will appear. The state of implementation of all agreed measures will be reviewed. What if the report says again that we are not on course and that we are not moving fast enough? Will the Minister say this autumn that we need to speed up because more needs to be done?
ParlaMint-NL_2015-02-10-eerstekamer-6.u41	From the day I conclude this agreement with others, some people from certain circles say to me: it is not going to be fast enough, it is not going to work, it has to be more and it has to be different. It's been said to me since day one. I don't think that's realistic. We have made agreements and agreed on measures. I'm running it. If something goes wrong, I correct it, so that they will be executed and they will yield what they are meant to yield. But I'm not gonna promise that I'm gonna do extra things; I'm not gonna do that. I am going to look in 2016 at whether what we have agreed, other than what we assume, does not lead to the desired result. In this case, new measures are under consideration in accordance with the agreements of the Energy Agreement. And not before.
ParlaMint-NL_2015-02-10-eerstekamer-6.u42	I think the Minister himself has ordered the National Energy Exploratory. Is that right?
ParlaMint-NL_2015-02-10-eerstekamer-6.u43	Yes.
ParlaMint-NL_2015-02-10-eerstekamer-6.u44	This concerns renowned institutions: the ECN, the PBL and the CBS. They say that the objectives set out in the agreement are not met in both policies, i.e. the policy and the policy envisaged. Isn't that a point the Minister should care about? It's not about the people who don't think it's hard enough, as the minister just said. These are the objectives of the Energy Agreement which are not being met. That's important, isn't it? It may also be that the Minister says: they see it all wrong. Then I would like to hear from him later whether he has shared this with them, whether he has information that these institutions do not have, what their reactions have been and so on.
ParlaMint-NL_2015-02-10-eerstekamer-6.u45	This summary of what has been said is not entirely in line with Mr Reuten's intellectual level. He says that the objectives are not being met. But he will have seen, as I have seen, that the report states that the policy adopted will reach nearly 13% by 2020 and 16% by 2023. I say that the policy established in laws and the like is very important, but we have also agreed on a number of things that still had to be transposed into laws and measures. That's what we're working on. They will also have their effect. With that, we will also achieve 2014. That's my point. As Mr Reuten put it, it was a little short with respect for him. Then there is the issue of energy saving, on which Mrs Vos went. We agreed to set up this private system. So the government's not gonna set it up; it's a private system. We have said: we are not going to introduce it at once, we are going to set up pilots to gain experience on the basis of that. We've set up ten pilots by now. So we're getting experiences. At the end of the year, we'll get the results. On the basis of these results, we will decide on a mandatory roll-out. We won't do that until then. And not before. Mrs. Vos has asked what we are going to do to force companies to comply with the MEE agreement. Suppose I have a covenant with Mr Van Boxtel's organization, because I think something should be done and so should he. I can then address Mr Van Boxtel. If he's short, he's willing to do something about it. Then when I say to Mr Van Boxtel: you are obliged to do it, and now you do it, the operation of the covenant is gone. It has been chosen to do it with a covenant, to make agreements with the companies and to ensure that these agreements are also respected. It is therefore not a question of imposing obligations but of making voluntary agreements. In the meantime, we have agreed with the companies that consume 80% of energy in that sector. We all make that transparent. We look at where things are not good enough and we agree on intensification. This always happens in the spirit of making agreements. That is inherent in the means of a covenant. I think this is working very well for this. We have concluded two agreements, one for the ETS and one for the non-ETS companies, the MJA and MEE covenant. That works well, it can be better and we're going to work on that. In the end, we will achieve more results with a great deal of support than with a pure obligation. Let me give you an example. We have an obligation for a company to make an energy investment if it can earn back within five years. That is a legal obligation. That hasn't really gotten off the ground yet. A covenant is therefore a very good means. Businesses have an interest in saving energy, because it is generally more financially advantageous for them and it also increases their competitiveness. I'm sticking to the M.O. with those covenants. The provision of a five-year payback period is in the law, but it is not easy to implement it. Mrs Vos has also experienced this in practice as a driver. What we do is set up the organization to do this. We have now drawn up a list of measures by sector that you could take to comply with the legal provisions. We have made these lists for eight sectors, such as offices, care and education. A large part of the field is covered with it. We then made it clear to everyone what to do. If there is support and if companies have the ability to comply with it, we will proceed to enforcement at a sensible pace, because if you go too hard with it, you will achieve your goal to a lesser extent. However, we want to achieve this goal together.
ParlaMint-NL_2015-02-10-eerstekamer-6.u46	The Minister raised two points on which I have a question. First something about the covenants with the really big companies. Of course, it is a covenant, but it is intended that the agreements will be complied with. If that does not happen, what opportunities does the Minister have to ensure that they are complied with? Frankly, that seems to me to be a legitimate question. It's the minister's job to do that. Then the Environmental Management Act and the agreement that you will do everything in your power to make the money back within five years. It is also crucial that enforcement is in order. We have had years in which that has been difficult. The Minister is well on his way, for example with the list of measures, but he must now go ahead and invest in enforcement. It has to be done now. It's possible. There's a lot of energy to be gained. How is the Minister going to ensure that enforcement is stepped up on all these fronts and that it is going to succeed?
ParlaMint-NL_2015-02-10-eerstekamer-6.u47	Mrs. Vos, you and I here in this Chamber, but everyone in our working environment, the environment that ensures that we get our salary paid every month, wonders why, if you can earn something back in five years as a company, you don't. However, suppose I had gone to V&D last week and I had told the company that it would have to invest a certain amount, but that this money would be recovered within five years. Something like that may be in the law, but it really doesn't happen at a time like this. I've had a period of two or three years with record numbers of bankruptcies. There have never been so many bankruptcies in the Netherlands. There are many more companies that are in trouble or against it. If I tell those companies that if they invest $100,000, they can make that amount back in five years, they'll laugh at me. I think it would be wise to build up these kinds of things properly. You have to allow companies to live up to that. You also have to face them with understanding. You have to try to find a way in here, so that in one case you maintain but in the other case you don't. This requires the development of a systematic approach. That is what we are doing, but it cannot be done faster than we are doing at the moment. I'm coming to the Covenant MEE. I really don't know what else to do than I already do. The companies and we take this covenant very seriously. We have now made agreements with the companies that use 80% of the energy. We are working to tighten things up, also in consultation with business. Why aren't we happy about that?
