ParlaMint-NL_2015-09-29-eerstekamer-8.u1	I have already welcomed the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u12	This can already be done with the legislation in force. That's crucial. That is why I am looking forward to the Minister's reply. However, new procedures, new definitions and new burdens will also be imposed on those who are already working well. That's one of our concerns.
ParlaMint-NL_2015-09-29-eerstekamer-8.u13	It can be partly according to the current law, but at the moment there can be no work without a complaints committee. So you can't work entirely according to this law right now. You need to have a complaint board now. Soon there will be the freedom to have or not to have that committee. The places where things are going well now are places where complaints officers are present. This law regulates precisely that we no longer have to have a complaints committee. Instead one is confronted with a complaint officer, a human being of flesh and blood who can look at and listen to the patient. So it does go well in many places, but those are the places where it happens according to this law. That is therefore a very good reason to support this law.
ParlaMint-NL_2015-09-29-eerstekamer-8.u14	That is why I am curious about the Minister's response, because that is precisely where we have questions. The current complaints committees are low-threshold, cheap and independent, and I come back to this even more precisely, and in many cases I know how to avoid going to court or a dispute committee, to which many institutions are now affiliated. The problem is not that there should be a complaint officer, or that I will come to speak later on, who can mediate; that is a good thing. Low-threshold mediation is one of the things that is very important and deserve attention.
ParlaMint-NL_2015-09-29-eerstekamer-8.u15	I call Mr Bruijn, who will speak later. Maybe he can take his interruption with him in his speech.
ParlaMint-NL_2015-09-29-eerstekamer-8.u16	I'll be brief now. The complaint officer won't be able to get there anytime soon. That is what the present law provides for. Where things are going well, enlargement is taking place. Mrs Martens spoke of bureaucracy. She made one point: if you yourself exceed the agreed time limit under your own responsibility, you have to discuss whether you will get the room for it. The law gives all the room for that, by the way. If we want to look at bureaucracy, we have to compare the total of this law with the total of the current legislation after it has been introduced. That's what Sira's been investigating. This shows that the total charge increase is €100 per healthcare provider. That seems to me to be an acceptable price, given the quality that comes back. How does Mrs Martens view that?
ParlaMint-NL_2015-09-29-eerstekamer-8.u17	Sira Consulting made a reading. That was the measurement that was also discussed in the Lower House. Then there were two updates. Actal also reviewed the second update and found that not everything was included. The estimate is that the costs and charges will be much higher than €100.
ParlaMint-NL_2015-09-29-eerstekamer-8.u18	Not so much higher that we should refuse this quality improvement on that basis?
ParlaMint-NL_2015-09-29-eerstekamer-8.u19	I am curious to hear from the Minister exactly where she sees the improvement in quality when much is going well. I will come back later to discuss what else the Complaints Commission is doing. The aim is to eliminate the legal basis for complaint handling, low-threshold, cheap and with a learning capability aspect. A dispute committee, which is at a greater distance, may give a binding opinion, but a course to the judge I shall also come to speak about it, which is limited to a purely procedural one.
ParlaMint-NL_2015-09-29-eerstekamer-8.u20	So if it is a quality improvement, could it cost a little more? I understand that from the words of Mrs Martens.
ParlaMint-NL_2015-09-29-eerstekamer-8.u21	Depends on the proportions. I will continue my speech. The new law leads to obligations for only a limited part of the sector and increases the burden on those who are already working well. The question is why a new law is necessary if the Minister is to encourage, above all, low-threshold informal mediation procedures. We would also like to know what is not possible now, which is made possible by the legislative proposal before us. Can the Minister explain again why she does not want to embrace the proposal of the National General Medical Association? It proposes first to follow a mandatory route of complaint mediation. If the mediation fails, a course will follow to a complaints committee, which gives binding advice on the health complaint. If the complaint is justified, a course may follow to the Disputes Commission, which makes a binding ruling on the claim. Afterwards, the possibility of appeal to the judge and disciplinary board remains open. In addition, there is, of course, an independent complaint officer in support of clients. We should like to receive a response from the Minister on this point. Is the Minister prepared to make an exception for first-line care, now that the complaint handling has been evaluated in 2013 and has been found to be more than sufficient, and has Actal also had questions about the proportionality of the burden increase for first-line care? On two points, we would like to draw attention to the impact on clients and the coherence of the regulation. First, a comment on the securities for the clients. The Council of State considers that the rights of clients are not strengthened by the Wkkgz and that the relationship of trust between the physician and the patient is under pressure. We support the arrival of a mandatory mediator. In the bill, that's the complaint officer. However, if it is presented at the same time as someone who is mainly there to assist the client, we wonder whether this will not make the mediation task more difficult. Intermediaries are supposed to be neutral. Why has it not been chosen that clients should be entitled to an expert, independent trust, as in psychiatry? How customer-friendly is it if a client is left alone after a failed mediation attempt? After that, the role of the complaint officer was played out, although he may still be able to advise on the possibilities for a further procedure. How customer-friendly is it if, after a binding advice, a client no longer has a de facto appeal option, because the court is supposed to check the binding advice only on a procedural basis? How customer-friendly is it if the Wkkgz de facto abolishes the current legal basis for a mandatory, accessible, inexpensive, internal, independent complaint procedure through the complaint committees, close care provider and client? This procedure often appears to prevent escalation in practice, as is evident from the small number of cases where the step is now taken to a dispute settlement committee or the judge. Why does the Minister consider external disputes committees, possibly regional ones, to be more low-threshold than the current complaints committees? In addition, the complaints committees are now making recommendations whereby the healthcare professional is legally obliged to indicate within one month what measures he has taken. With the Wkkgz, this legal basis for an organisation's learning ability or a health care provider lapses. Dispute authorities do not make recommendations, while clients like to be heard and want to prevent the same from happening to others. The bill aims to provide an impetus for improving care, but deletes a legal basis for learning ability. The second point that we are calling for attention to be made is the coherence of legislation. The proposal aims to bring greater coherence into the legislation, but the members of the CDA Group see more fragmentation than coherence. After all, the Wkkgz does not apply to the whole healthcare sector and in relation to chain care there is still much unclear. With the Wkkgz different definitions apply in the different areas of care, for example those for "client supporter" and "good care." With the Wkkgz, "good care" is no longer based solely on the duties of the healthcare provider or on the professional standard, but also on the rights of the client. Good care should also be provided through the Wkkgz "in line with the client's real needs." This is a subjective dimension, which may even sometimes run counter to a professional standard. The legislative proposal also does not clarify the meaning and definition of this concept. Is the Minister prepared to formulate the definition in such a way that it will automatically conform to the definition developed by the Healthcare Institute in due course, so that the same definitions will apply throughout the healthcare sector? Can the Minister also ensure that client organisations are involved in the development of future definitions? With the Wkkgz there will be a mandatory complaint officer. In other legislation, names are used as a "compulsory client confidence person," a "complaint intermediary" and a "patient confidence person." The Minister felt that these functions could be combined. It is said from patient organisations that this is not possible and desirable because of the different interests and requirements that are imposed on it. With the Wkkgz, various healthcare providers are therefore subject to different complaint laws. What do you mean, more coherence? The members are also very curious to see how the Minister sees the supervision of the IGZ over the 40,000 new caregivers of so-called "other care." Can IGZ take action in case of malicious alternative care providers? Does the IGZ have sufficient expertise and adequate testing criteria in this area? The providers of "other care" do not have to provide "good care," but only "care that does not harm." Does this definition provide sufficient targets for a real assessment? And does the IGZ get more money and more resources? A register will be created which will include all healthcare providers, including the providers of the so-called "other care." The register is explicitly not intended as a guarantee of quality. Members would like to see the function of the register clarified once again. Finally, Mr President, as has already been said, the members of the CDA Group wholeheartedly support the intention of the legislative proposal. Our group is also keen to see customer-oriented care and easy-to-access, informal complaint and dispute settlement. MEPs also support the desire to encourage improvements in health care. An important tool for this is learning ability. We have read the bill, the Minister's answers, all reactions and documents with attention and have spoken with many interested parties. Now that much is going well and there is so much criticism of the bill, Members are concerned whether the bill will not throw the child away with the bath water. Doesn't the cure get worse than the ailment? Mr President, I am well within my time, because my last sentence is: Members are looking forward to the Minister's response with interest.
ParlaMint-NL_2015-09-29-eerstekamer-8.u22	Mrs Martens says in her contribution that the Disputes Committee is not more easily accessible than the Complaints Committee. I certainly agree with parts of this and I will agree with them. However, I wonder whether she is not creating a bit of a deception, because it is not claimed anywhere that the Committee on Disputes would be more low-threshold than the Committee on Complaints. That would be the same as saying: the judge we have now is no more low-threshold than the complaints committee. Nor is that the step taken by this bill, as far as I understand it. Instead of the compulsory complaints committee, we get a complaint officer, who is of course more low-threshold than the complaints committee. Apart from the course to the court, which always remains possible, we get an extra choice for the client, the consumer, I always like to call him patient, namely the Disputes Committee, which the patient might consider to be his preference, because there is expertise behind the table. If you say that the Committee on Disputes is not more low-threshold than the Committee on Complaints, then I think you are wrong about this law and you are actually creating the wrong picture of the law. How does Mrs Martens feel about that?
ParlaMint-NL_2015-09-29-eerstekamer-8.u23	This law is intended for a more accessible resolution of complaints. It can only be that the course to the Disputes Committee is intended for this purpose. That's how it can be read in the pieces. The Minister may be able to explain that. In any case, the settlement of complaints as it is at present is at a very low level. That's also a very good thing for clients. As far as the complaint officer is concerned, many complaints committees already work with mediation. Someone's already in there, so that's not a problem. But the complaints committee is already saying a little bit more about the complaint itself. So it's not just mediation. That seems to me to be a good thing.
ParlaMint-NL_2015-09-29-eerstekamer-8.u24	Mr Bruijn, this is your last interruption, I presume.
ParlaMint-NL_2015-09-29-eerstekamer-8.u25	Yes, Mr. Chairman. In any case, we agree that the complaint officer is more low-threshold than the complaints committee. We also agree that options are now being extended to the courts. This is the next step. There is not only the possibility of going from court to court, but on top of that the choice to go to the Disputes Committee.
ParlaMint-NL_2015-09-29-eerstekamer-8.u26	We disagree on this, because the step to the judge actually becomes a wash nose. In fact, the judge is only allowed to carry out a procedural review after a binding opinion. So the hallway to the judge stays open, but what's the judge gonna test? The procedure. Otherwise, the Minister will have to explain it again. That is how I understood it.
ParlaMint-NL_2015-09-29-eerstekamer-8.u27	No, the process to court remains completely open, but the consumer can also choose not to go to court, but to a dispute committee. Of course, once you choose to go to a dispute committee, you cannot also refer the same matter to the judge. That has been the case for a long time in the whole of justice. That's not the issue here. The issue is that in addition to going to court, which is now the only option, you now also have the option of choosing from the course to the Disputes Committee. The case as a whole becomes more low-threshold, because you get a complaint officer instead of a complaints committee. That's the move.
ParlaMint-NL_2015-09-29-eerstekamer-8.u28	I'd like to hear the Minister's answers.
ParlaMint-NL_2015-09-29-eerstekamer-8.u29	I would like to join in on this. In my view, the complaint intermediary or official is more low-threshold than the complaints committee. The Disputes Committee is more accessible than the judge. It is a question of simplifying legislation twice, rather than making it more complex. Of course it goes well in many places, but it also leads to clarity. Mrs Martens says that everything is going very well, but at the same time client organisations say that things are not always going well everywhere. They would like a clear regulation for all caregivers.
ParlaMint-NL_2015-09-29-eerstekamer-8.u30	What's your question?
ParlaMint-NL_2015-09-29-eerstekamer-8.u31	My question to Mrs Martens is: why do you find the bill more complex?
ParlaMint-NL_2015-09-29-eerstekamer-8.u32	It makes the case more complex because it works with new definitions and new procedures. Moreover, I mention the combination of complaint and claim. It also becomes more complex because of the pressure of regulation. All that while in many cases things are going well. The crucial question is whether the existing instruments do not already provide sufficient basis for good, easily accessible complaints. Does it offer sufficient leads for the improvement of care? Learning ability and reducing the claim culture are important aspects when it comes to the quality of care.
ParlaMint-NL_2015-09-29-eerstekamer-8.u33	Mr. Chairman. Today we are discussing a legislative proposal which, in its current form, is the result of the parliamentary treatment of the Client Rights Care Bill (Wcz) submitted in 2010. The Wcz was in preparation since 2007, partly following a call from the Patient Federation NPCF. That was the base. The members of the VVD Group agree with the aim of the bill, which is to make the care more client-oriented, provide for a low-threshold complaint procedure through informal complaint handling and mediation, and increase the quality of care through greater openness on rapport and learning of rapport incidents and complaints. The members of my group and those of other groups have asked questions about the need for this law. The government has given several reasons to adapt the legal framework aimed at quality of care and complaints and disputes. The current complaint law clients care sector (Wklcz) has been negatively evaluated in a large number of evaluations. In particular, clients experience complaints committees as biased. The handling of a complaint takes too long and the judgment "grounded" or "ungrounded" is perceived as unsatisfactory. The course to civil justice is often not an alternative for financial and procedural reasons, according to these studies. The "Quality of professional activity" chapter of the BIG Act does not apply to solo-working healthcare providers without a protected title, while this number is growing sharply. There are also no legal requirements regarding quality, complaints and disputes for providers of cosmetic interventions and alternative medicinal products. The IGZ has too few powers here. There are insufficient safeguards to protect the health care provider himself. The definition of responsible care is outdated. The reporting obligations for healthcare providers at the IGZ are too limited. This also applies to the file obligation in the WGBO, which does not regulate the note of an incident. The government has all supported the fact that better use of available instruments, rather than a legislative amendment, is not sufficient, as it concerns non-existent obligations and safeguards in current legislation and suppliers that do not fall within the scope of current legislation. The members of the VVD Group thank the Minister for his written reply. The members of my group also thank the involved field parties, some of whom are present, including both supporters and opponents, such as the Consumers' Union, the KNMG and many others, for their valuable discussions and contributions. We have taken good note of their arguments. The members of my group still have a few additional questions. Our first question concerns the regulatory burden. The regulatory burden and position of small-scale healthcare providers have been discussed extensively in the written procedure. It is clear that several industry organisations of small healthcare providers have now jointly organised a complaints committee for their members. Following the entry into force of the Wkkgz, these members may also establish the compulsory complaint officer and the connection with the dispute body through their interbranch organisation. In the further reply, the Minister indicated that in the implementation path for the Wkkgz, it will explicitly take into account how small-scale healthcare providers can meet the requirements of the Wkkgz and how they can minimise the administrative burden. This can be done, for example, by jointly organising a complaint officer with other providers or by providing a model for the safe reporting of incidents for small healthcare providers, which minimises the administrative burden. How does the Minister expect, with all due respect, that the implementation costs for the small healthcare provider in particular will develop? Is it prepared to include this aspect in the review of this law, which was announced five years after its entry into force, and to inform this Chamber accordingly? I'd like a commitment. My next point concerns judicialisation. In the written preparation, the members of my group have asked questions about possible judicialisation and increasing the number of claims, as pointed out by, among others, the Royal Netherlands Society for the Promotion of Medicine (KNMG). There are fears that a risk of judicialisation of the doctor-patient contact may arise if a financial compensation of a failure in the provision of care becomes possible or even a habit. On the other hand, the judge can already impose financial compensation and the now functioning complaints officers are more likely to dejure themselves, by resolving cases by mutual agreement. Moreover, thanks to an article in Medical Contact, our specialist journal, dated 10 September last, it was revealed that the fear of judicialisation was based on the assumption that a dispute settlement committee could issue fines. That assumption seems wrong. This also remained undisputed in further consultation with the author, who, by the way, has been corrected very correctly by my group. If this inaccuracies can be confirmed, it is clear that at least part of the care for judicialisation can be taken away by virtue of that article. I shall come back to that later when I talk about the powers of the arbitration body.
ParlaMint-NL_2015-09-29-eerstekamer-8.u34	Isn't "juridate" and "fee" meant to be a speech error, because it's about the claim? This therefore remains the risk of legalisation: a fine cannot, but the claim allocation does, and it remains.
ParlaMint-NL_2015-09-29-eerstekamer-8.u35	I would have thought so, too, but in the article, an important article in an important journal, the very first word in the head of the article was "fine." There is therefore no doubt that it is indeed a question of fines, not of claims, not of complaints and not of other procedures. It's about fines. Fortunately, we can take care away, because further research shows that the Disputes Committee cannot issue fines. That's good news for everyone. The concern which was based on the assumption that litigation committees can issue fines, quod non, can therefore be eliminated in any case. I think we are all happy about that as we are here. You too, Mrs. Martens.
ParlaMint-NL_2015-09-29-eerstekamer-8.u36	Then the claim will stand. And you also know that headliners in the newspapers sometimes put something different than the text actually means to say. That is no longer a question, Mr President, but an observation.
ParlaMint-NL_2015-09-29-eerstekamer-8.u37	I'd like to go through the chairman. The procedure is the same.
ParlaMint-NL_2015-09-29-eerstekamer-8.u38	What Mrs Martens says is true. That is why we have contacted the author in question. At that time, the word "fine" turned out to be the way it was meant to be. It was not only the first word in the head, but also later in the article. Fortunately, the discussions we had with the author and a number of lawyers showed that the dispute committees cannot issue fines. Fortunately, this concern, on which this whole article was based, has been removed for at least a large part. I think we should all be very happy about that and that Mrs Martens should certainly be happy about that. We can sob each other in the arms about that, I'd almost say. The government has explained why it does not fear legalisation. Various studies show that people appreciate informal dispute resolution positively. In adjacent policy areas, the application of informal dispute resolution leads to a situation in which a large majority of clients are satisfied with the outcome of the settlement. In care, nursing, home and maternity care, and in mental health care, the dispute committees started in 2011 and 2013 respectively and so far there are no signs of claim culture or legalisation. In the construction sector, for example, it is interesting that it is precisely providers who explicitly include informal dispute resolution in their regular contract terms. In the case of enquiries, this appears to be the case, for example, because of the substantive expertise and often faster handling in those councils. There is no evidence that a committee of peers would award a claim more quickly than a judge. The question is also whether it would make sense to fear that. Some say the opposite is even more obvious. How does the Minister view this? Notwithstanding the above, the government has indicated its willingness to take this aspect into account in the review of this law five years after its entry into force, due to the number of questions raised about jurisdiction and the concerns that it raises in the field. I would like to ask the Minister to confirm this. I would also like to ask the Minister to forward the evaluation to this Chamber and to inform us in advance of the design of this evaluation. I would also like to ask the Minister what exactly will be measured in the zero measurement announced. Is this only about the number of claims per unit of time, or is it also looking at notifications, procedures, patient satisfaction and satisfaction among healthcare providers and healthcare providers? Finally, how does the Minister view the variant put forward by the National Family Doctors Association (LHV) and other means that the Complaints Committee makes a binding ruling after which the Disputes Committee determines the level of the claim? In this way, would it not be compulsory to allow the two bodies to co-exist, or even much more, in the interests of bureaucracy? Finally, I would like to ask the Minister to address in this debate the fear of undermining the willingness to report and the guarantees of the position of the caregivers, as highlighted by the KNMG and the Branch organisations in particular. For the moment, my group does not share that fear. My group does not think that a doctor acting according to his professional standard would change his actions because we get the Wkkgz. The question is also whether the doctor would be worth a snipe in front of him. I'm here to talk about the dispute settlement. In response to questions from my group, the government states in the further reply that a dispute settlement body offers a low-threshold alternative to the process of civil justice, which is perceived by many clients as too high a threshold. A step towards a more accessible provision. My group understands from the reply that the term 'alternative' must be read here in such a way that the existence of a complaint officer and a dispute body required by the Wkkgz for the care provider does not in any way affect the possibility of direct access to justice if the client chooses to do so. Can the Minister confirm this? I would also like to refer to the previous debate that I had with Mrs Martens on this subject. In order for this option to be de facto real, it is important that the client is explicitly given and explained this option, according to the members of my group. Does the Minister share this view? Can the Minister indicate how this will take shape?
ParlaMint-NL_2015-09-29-eerstekamer-8.u39	Do I understand that Mr Bruijn continues to refer to the Disputes Committee as being more low-threshold and that he also thinks that the course to court after conciliation is pleasant for the client? It's all meant to make it more low-threshold and bring it closer to the client. After the conciliation, the court will immediately proceed as an alternative to the dispute committees. In my view, the complaints committees allow for a low-threshold, internal and independent judgment, and the judge remains only for the passers-by. That's still something crazy.
ParlaMint-NL_2015-09-29-eerstekamer-8.u40	I have said that the reply states that the Disputes Commission offers a low-threshold alternative to the course of civil proceedings.
