ParlaMint-NL_2015-09-22-eerstekamer-9.u1	I give the floor to the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-09-22-eerstekamer-9.u12	I'll be very brief. I had also asked the Secretary of State about the role of the shareholder. Maybe she'll come back to that later.
ParlaMint-NL_2015-09-22-eerstekamer-9.u13	The gentlemen tempted me to keep my speech in a slightly different order, but I will come back to it all.
ParlaMint-NL_2015-09-22-eerstekamer-9.u14	Also briefly, because this is the point. We are talking about the split between ProRail and the NS. In the 1990s, we took a very firm step in this direction, which other countries did not take. Integration has remained stronger there. I was referring to the fact that this choice was not made in Germany and France. The Secretary of State is now taking steps to achieve integration. ProRail and the NS should work together mainly on long-term rail infrastructure investments. But should we not also learn that the split has gone too fast? In fact, the Secretary of State is again protecting the current construction, but then we have to manage the gap between ProRail and the NS constantly close, while there is still a deep looming error. A different order, however, is certainly possible. Other countries protect them, too. Germany does that, too. This is also the way it is reflected in the directive. I quoted that. You can have two departments within one company. I would like the Secretary of State to respond to this in this debate.
ParlaMint-NL_2015-09-22-eerstekamer-9.u15	The analysis of the different scenarios also looked at the scenario of a holding company with underneath ProRail and the NS. The question is, however, what a holding model adds if you want to enforce that cooperation, for example through the concessions. I will finish my speech on the Fourth Railway Package in that context, because another element of the Fourth Railway Package concerns the question of whether the existing possibility of holding structure, management and rail transport in a holding company remains. The key point in the Fourth Railway Package remains that independence between management, such as capacity sharing, and transport must remain guaranteed. The holding structure is mainly an item for Germany and France. The negotiations are still in full swing. The European Commission stands for a Chinese wall between the parts of the companies, but I am a little less rigid in that discussion than France and Germany. I know that the debate between these two countries and the European Commission is currently taking place.
ParlaMint-NL_2015-09-22-eerstekamer-9.u16	Very briefly now, Mr Kuiper.
ParlaMint-NL_2015-09-22-eerstekamer-9.u17	Thank you, Mr. Chairman. The Secretary of State asks what you win with it. You win by having one captain on the ship. That's what you win with it. By definition, these are long-term projects. What kind of trains do you have in 20 years? What kind of tracks do you need for that in 20 years? How's that gonna work? That calls for one captain on the ship. That's what you win with it. I believe that Germany will continue to defend the need to remain a holding company there. That Chinese wall probably won't get there.
ParlaMint-NL_2015-09-22-eerstekamer-9.u18	I'm afraid I can't see into the future. I don't know how that's gonna work out in the package. Let me give you an example. A new train protection system must be installed. It's called ERTMS. That's the abbreviation of a very long term concept. This means that we need to organise both jobs and trains in order to ensure that the new security system will be in place soon throughout Europe. This should be done in close cooperation between the NS and ProRail. That is why we have set up a specific project organisation for this purpose. That project will run for a long time, at least until 2030. We've looked at where cooperation is needed. In this context, we follow the programme Better and More. First, it needs to be better tracked, because there are too many disturbances that take too long. We have to deal with that. After that, we want more to drive. That's what we need that security system for. One of the side effects I call it a side kick of the security system is that there can be shorter drives on each other, because software is used to steer. That means the trains can run closer together. Do you need a holding company with two companies for that? We have said: no, we are creating an environment for the project. This was also a major project in the Lower House. We ensure that we manage things in this way, so that we know that there is optimal cooperation with the parties that are needed. We can also connect with Europe. Would it be different with a holding company? No, because even then we would have opted for a project organisation. The analysis carried out a year and a half ago was very thorough. Bringing the NS and ProRail into a holding company has no added value if we can direct both organisations through a project organisation and management concessions. In particular, the management concession and the transport concession are based on a completely different set-up, with common objectives. That's totally different than before. I'm defending this because I think it's been a good choice. That's how I got the Fourth Track package. Mrs Meijer asks how I have taken account of the results of the examination of the Upper House. In drawing up the Long Term Track Agenda and the analysis of how we want to organise the organisation, the report of this Chamber has served as input. That report has therefore been taken into account. Then the control on ProRail. Questions have been asked about that. With the Long Term Track Agenda, I also used a different direction on ProRail. ProRail should become the public implementation organisation of the railway. To do that, I work along three lines. The first relates to shareholdership. As the owner of the property relationship, I am at a distance, while the supervisory board is responsible for steering the organisation to improve its quality, so that it is able to carry out its social task. That is why, in the appointment of new Commissioners and subsequently in the appointment of the new directors, I have focused on a greater affinity with the public tasks and the social role of ProRail. I have already gone into the management concession in detail. In this respect, I will send to ProRail's public service, such as reliability and availability of the rail system. In addition, the new ProRail concession requires greater transparency. Things that don't go well should be reported earlier. I have already said a few words about the granting of subsidies. In this respect, I make demands on the quality and implementation of projects and agree on the reporting obligations. So I use external audits more often, from gate reviews, so we can see if we're doing the right thing. Because things are now being put into motion, things are also coming out. That is annoying, but that is the only way to put things in order. I think it is very good that a culture is being created within the organisation in which people dare to say that something has not gone well, that it is then being checked whether that is true and that it is being acted upon. I think it's a reward for people to work in a safe culture, in which they can mention things that they don't think are going well, that they see that the organization picks up those things and that something happens to them. Both at ProRail and at me the drive is very big to make it better for the traveler. Performance needs to rise steadily and steadily. That is also the purpose of this change. ProRail is also working on the desired change. Examples of this are the new top structure coming up and the action plan to improve compliance culture. In freight transport we have positioned the goods differently: no longer outside the organisation. In many places in the organization, changes are made by steering differently.
ParlaMint-NL_2015-09-22-eerstekamer-9.u19	I would like to come back to the relationship between the Secretary of State as shareholder and ProRail. Moreover, we had asked why the shareholdership does not lie with the Minister of Finance, as is the case with the NS. Perhaps the Secretary of State will answer this question. What I just heard intrigued me. The Secretary of State said that a new Supervisory Board has been appointed, including a chairman. She then discussed things she does as Secretary of State for ProRail. I always thought that this was typical of the work of the Commissioners. That is where I think the problem lies: it is not clear what the Supervisory Board is doing and what the Secretary of State is doing for the company. This could be the source of a great deal of unrest and uncertainty.
ParlaMint-NL_2015-09-22-eerstekamer-9.u20	Changes have been made in the different roles. An order has been given to the organisation from the shareholdership. That is a property relationship which I believe the board of directors and the supervisory board should be involved in. They send the organisation and must ensure that the organisation continues. As a shareholder, I stand at a distance. We have a shareholders' meeting once or twice a year. It is customary to discuss the annual accounts and the finances in the spring. In the autumn you can talk about the strategy or wishes for the next year or several years. However, Mr Flierman refers to the management concession. That is where I will focus on the quality of public services. That must be in the concession and that is the quality that is delivered to the traveller, the buyer of ProRail. That's different from the ownership ratio as a shareholder. In addition, we have the grant. In the case of large projects, I believe that we should ensure the role of funding. I have said that I want an investment committee to assess new investments on a number of technical, economic or financial criteria. By the way, we are working hard on the road, because the number of stations we produce is large. I try to put those three roles very purely, but I notice that I almost come back to the quotes I got from the report, which is quite complicated for the outside world, such as the First and Second Chambers, to know what role you are monitoring. In the shareholder role, that is a great distance.
ParlaMint-NL_2015-09-22-eerstekamer-9.u21	I could well imagine that the Secretary of State will take on the what-question from different roles, but that the how-question is a par excellence for ProRail's board of directors and board of directors. However, I sometimes find in the State Secretary's speech that in the steering relationship between the Ministry and ProRail the question of how to do so is also regularly discussed.
ParlaMint-NL_2015-09-22-eerstekamer-9.u22	In that case, I sincerely apologize for the lack of clarity. I'm just trying to get rid of a lot of confusion, especially for the ProRail organization. Asked how I separate the different roles. We've placed the roles in the organization with other executives. They're in the department separate. Mr Flierman asked why the shareholdership was not deposited with the Ministry of Finance. In State participation policy, we have made a very conscious choice. The reason is that ProRail has been identified as a policy participation. In a policy participation there is no proper distinction between an independent organisation and the policy aspects of the company's work. Policy participations are also financially dependent on the relevant policy department. In this sense, ProRail actually functions as an extension of the policy. That is why we have positioned ProRail as a public implementation organisation in the Long Term Track Agenda. Separation of the two roles is not effective in that case. You have to deal with it very transparently and not take the wrong role at the wrong time. As a shareholder, I'm remote. The Management Board and the Supervisory Board shall be in charge. ProRail is also an e.g. How will ProRail's independence be secured? We have secured independence in laws and regulations. The decision on capacity allocation shall ensure that it is assessed non-discriminatory. Within ProRail, the capacity distribution is organized separately. ProRail consists of three cases. The capacity distribution, the traffic control and the very large carpentry company. Those are the elements of ProRail. Then there's the grant. I've already indicated that I'm pushing it tighter too. Additional capacity is being deployed and I have already mentioned the committee. The Committee also helps to better understand the complexity of the large investment projects. A large investment project such as station Arnhem runs for twenty years. It's often about executives and directors. I believe that we need to make this transparent. Now it seems that people are surprised by an adjustment of the budget. When a judge or the Security Research Council decides on another project, we may have to make technical adjustments. It may also be that the environment has a nuisance and is being built at a different pace. This needs to be transparent and insightful, so that people who are new to a job get an overview of the project. In the Eerste Kamerondere onderzoek entitled Disconnected? The Chamber has examined the Dutch privatisation and independence policies of the past decades. It also looked at the parliamentary debate and the arguments put forward for privatisation and self-determination, and its impact on the relationship between citizens and government. I think this has produced very useful insights and lessons for future discussion. I have already given a number of quotes that hit me most at the moment. One of the cases examined was the independence of the Dutch Railways. The research conclusion, which I think is most obvious, is that the citizen was seen as a customer in the discussion on the independence of the NS. That is a conclusion that fits in with my policy, because I believe that the traveller should be at the centre: not the stations, not the journey, but the traveller. This traveller goes door to door and we want a safe, affordable and reliable product, so that the traveller wants to use public transport. In this way, the objective of the Long Term Track Agenda can be achieved that the traveller is tempted to travel by train. The report also contains a piece of history. Mrs. Meijer asked about the divorce. In 1993 the parliament and the cabinet elected for that divorce. Other countries have made their own choices. That was a question from Mr Kuiper. What are the actions for the future for the Dutch Railways? Together with the Minister of Finance, I started an investigation into the current positioning of the Dutch Railways throughout the railway's playing field. We identify the advantages and disadvantages of the current positioning and what optimizations and alternatives the cabinet sees for improvement. Then we look at the issues where the NS must cooperate with other carriers and where other carriers depend on the NS. How is it currently regulated, there are vulnerabilities, how is these issues handled abroad and what does this mean for the position of the stations? This study looks at this widely. In the autumn we will come up with the results of the survey. Mr Kuiper asked how I looked at the interesting idea that we read in Socialism and Democracy. The aforementioned research with Finance is being looked at in a broad way. It is precisely this broad and open vision that matters to me. This article more or less makes a choice for national carriers. I see an answer not so much in structure, but above all in cooperation. That's how I looked at that article. How does the Recast Directive fit into all this? The implementation of the Recast Directive further strengthens and clarifies the rules surrounding the organisation of the Dutch railway market. In Mr Flierman's words, we are looking at fair and equal access. This is important because in the Netherlands the main rail network has been awarded to the NS and the regional railways are competitive. Many of the rules in the legislative proposal strengthen the guarantee of a level playing field, especially in these regional tenders. The draft law increases transparency on tariffs and access conditions for services and services, allows operators to refuse access to services and services only if there is an economically viable alternative elsewhere, requires organisational and accounting separation if there is a dominant position on the market, strengthens the role of the ACM and introduces the ex ante review by the ACM on the calculation method and remuneration for the minimum access package. The Recast Directive further improves the level playing field. I am convinced that the implementation of the Recast Directive is an important step, because market organisation on the track in the current dynamic times requires alertness and commitment. The Chamber can expect both of me. I welcome Mrs Meijer's suggestion on the inclusion of additions in the explanatory memorandum. Then I come to implementation in other countries. Each Member State has its own parliamentary route to implement a European directive. The European Commission is actually the only body to check whether the Member States have implemented the European rules in good time. There is no record of how far each country is actually going with the implementation. I have been informed informally that Sweden is ready for implementation in time and that the following countries are not yet ready: Belgium, Greece, Spain, Luxembourg, Austria, Lithuania, Poland, Slovenia, Finland, the United Kingdom, Bulgaria, Denmark, Germany and Estonia. I hope I have answered Mr Flierman's question as closely as possible. I come to the usage fee or, as it is now called, the fee for the minimum access package, which then leads to the abbreviation VMT. I am still in the "use fee" position myself; it is always getting used to new abbreviations. The Directive states on the VMT that the operator shall pass on the costs directly related to the operation of the train service to rail transport operators and that the operator shall establish a method for allocating those costs. It also states that the supervisor must approve this method of calculation. Mr Flierman asked why the bill did not include the ACM's monitoring of the efficiency of management costs. The monitoring of costs is not part of the Directive. Moreover, the ACM is mainly concerned with the market organisation and not with the efficiency of businesses in the market, but that does not mean that it is not working efficiently. As a shareholder of ProRail and as a grantor, I have an interest in ensuring that ProRail operates efficiently. The budget allocated to ProRail is part of my budget. More specifically, Article 5 of the management concession states that ProRail must operate efficiently. I can be very specific about imposing on ProRail the task of management and maintenance and the equipment costs. ProRail should aim to minimise life cycle costs and compare management and maintenance costs with other European rail operators once every four years in a benchmark. Mr Van Hattem has asked whether, for reasons of transparency, I see a need to lay down detailed rules for ministerial arrangements. Article 10 of the AMvB fee includes minimum access package that the ACM performs a test on the allocation methodology by which ProRail determines the fees for the usage fee. The same article states that ministerial rules may lay down detailed rules for the approval of the allocation method. The ACM has carried out a feasibility test on the General Management Measures. The ACM indicated in the execution test that the method for allocating ProRail can be assessed on the basis of the draft decision for this AMvB. Therefore, according to the ACM, there is no need for additional rules at the moment.
ParlaMint-NL_2015-09-22-eerstekamer-9.u23	I didn't ask what the ACM thought. I have asked whether the Secretary of State thinks that there is at present sufficient guidance on efficiency, on costs. According to media reports, there are apparently a lot of problems with ProRail's financial records. Isn't that why it's important to send extra?
ParlaMint-NL_2015-09-22-eerstekamer-9.u24	I have not read all the articles, but I think Mr Van Hattem's underlying question is whether I can have confidence in the organisation of ProRail. Yes, I have faith in the organization of ProRail, but improvements need to be made. We'll make a deal about that, and I'll send it over. On efficiency I send through the management concession as I have just indicated.
ParlaMint-NL_2015-09-22-eerstekamer-9.u25	I do not think that is enough concrete. There is now a legislative proposal in which the methodology is indeed tested by the ACM. There is little to be said of that in itself. There's a logic in that. If the input of data is not correct, if the figures that are going to be correct are not due to a failing financial administration or perhaps even to fraud as suggested, then we still have a problem of costs that are ultimately passed on in the price of train tickets and in the cost to freighters. That is the weakness of this proposal. How can the Secretary of State, with concrete measures, ensure greater efficiency, regardless of the direction of the method?
ParlaMint-NL_2015-09-22-eerstekamer-9.u26	As I have just said, once in a while there is a benchmark of tariffs. When I look at the usage fees and pricing, I have very alert viewers, namely the users of the track. I have no reason to believe that that's not going well with ProRail.
ParlaMint-NL_2015-09-22-eerstekamer-9.u27	I heard a new thing in the State Secretary's speech that intrigued me, namely the benchmark. Maybe I didn't read everything correctly, but at least that was new to me. It is a partial answer to my question about the efficiency test. I wonder if such a benchmark is public. Is it shared with the users of the track? Is there a possibility for discussion, so that this benchmark can be used as an effective means of pressure to promote efficiency at ProRail?
ParlaMint-NL_2015-09-22-eerstekamer-9.u28	Yes, the benchmark is public. I can assure you that some of the rail users are waiting by the mailbox for it to enter. I came to the end of my answer.
ParlaMint-NL_2015-09-22-eerstekamer-9.u29	I still have a brief interruption. Such a benchmark is nice and nice, but it is the same as for the calculation methodology. If corrupted figures go in there, figures that just don't add up, that benchmark doesn't stay adequate. My question is once again: what does the Secretary of State intend to do to improve the financial administration of ProRail and at least to make it more fraud-proof?
ParlaMint-NL_2015-09-22-eerstekamer-9.u30	I do not share Mr Van Hattem's words. I do not have any justification for using it at the moment. The questions about the articles that I have been asked have been put to me by the Supervisory Board.
ParlaMint-NL_2015-09-22-eerstekamer-9.u31	Finally, Mr Van Hattem.
ParlaMint-NL_2015-09-22-eerstekamer-9.u32	This was one of the questions I asked. The Secretary of State is therefore not familiar with internal reports that appear to be at ProRail which state that there would be a poor financial administration and possibly even fraud?
ParlaMint-NL_2015-09-22-eerstekamer-9.u33	As I said, I have not read a number of articles. I can't read everything. I have put the questions to the Supervisory Board and I expect the answers to them in the near future.
ParlaMint-NL_2015-09-22-eerstekamer-9.u34	I understand you were at the end of your speech, Secretary of State. Thank you. We have now reached the second term of office.
ParlaMint-NL_2015-09-22-eerstekamer-9.u35	Mr. Chairman. I would like to thank the Secretary of State for her reply. As far as I am concerned, it has really clarified a number of things. We have asked a number of critical questions, but I would like to stress once again that the CDA Group is not against the principles of European policy. In our view, the fact that Europe is trying to make monopolistic state-owned companies more customer-oriented by allowing more providers on the rail network is a good development. We in this country often tend to place a great deal of emphasis on everything that is not going well. However, this is without prejudice to the fact that in relation to many other European countries, not to mention the rest of the world, the Netherlands has a very well-functioning rail network on which much is going well and which is being used intensively. As a resident of a part of the country where suppliers other than NS are also active, I can say that this regional concession is really appreciated and that the blessings of it are counted. As a smalltalk: the railway line on which my mother-in-law lives has been threatened by NS for twenty years and is now operated to the full satisfaction of Syntus. So there's a lot going well, too. We have received from the Secretary of State a number of acceptable and convincing answers about the formal structures and, in particular, how concessions to NS and ProRail are interrelated. The starting point is that the Secretary of State and the Ministry mainly look at the what-question, but that the how-question is really up to the directors and supervisors of ProRail himself. That's important. It remains complicated, these three relationships: the grant relationship, the management relationship and the shareholder relationship. Therefore, my impression remains that where it might be possible to explain it formally, it is important to make it work in practice as well. This often has more to do with culture and handling than with formal rules. I think that remains a task for the government. I have one more question about shareholdership. The Secretary of State said: ProRail is what we call "policy participation," hence the shareholdership lies with the Ministry. She can of course see the question coming: isn't NS a policy participation? I do not have that impression, however, that the Secretary of State does not pursue a policy with regard to NS. Then I will come to the directions, also in the direction of the region. It is good to emphasise once again, precisely because there is a lot going on there, that this is a task that lies not only with the Secretary of State, but also with the other concession providers. It is a task of cooperation and not a task in which mainly from The Hague should be sent. I think the Secretary of State will soon agree with me on that with her Groningen background. I found it interesting to hear about the benchmark. I assume that this benchmark is not being carried out by ProRail itself, but that there is an external test by independent experts, so that the figures that are placed next to each other are indeed verified and give a reliable picture of the relationship between ProRail and other railway operators in other countries for the efficiency of services. I see the Secretary of State nodding. I think she will confirm this later.
