ParlaMint-NL_2015-03-10-eerstekamer-3.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2015-03-10-eerstekamer-3.u12	I read in the newspaper this morning that there is something different going on across the street about that 95% in three years. Anyway, maybe we shouldn't care too much from across the street. Should this, precisely because it is a primary task or even the main task of the corporations, not be a reason for the corporations to work on this and to deal with it? Then they can see how far they'll get in three years, and then it's still early enough to see if things need to be adjusted.
ParlaMint-NL_2015-03-10-eerstekamer-3.u13	Yes, provided you have an eye for possible adverse side effects. And that's what my questions are about. My questions are not about the starting point, but about possible adverse side effects. If the effect is that housing corporations to keep their own household books in order, the rent of all homes that are now offered really cheaply, raise to just below the capping limit, it is the question whether you achieve your goal. So the call is actually to focus on the goal you want to achieve. And the question is whether you do not need a slightly more flexible mechanism than to really record that 95%. We understand that Platform31, a knowledge and network organisation for urban and regional development, is appropriately allocating what it calls an experiment. This experiment consists of conducting research into possibilities and impacts and supporting policy design. Has the minister been in contact with this platform? Is he prepared to engage in further consultation with this platform, the housing corporations, the municipalities and, of course, the tenant organisations in order to review the desired and undesirable effects of the currently proposed adequacy rules, and to adapt these rules where necessary or to allow for more flexible application? While we are talking about the affordability of social housing, I would like to take this opportunity to ask two questions that do not directly relate to this bill, but do deal with that affordability. The first concerns the annual rent increase that landlords in the social sector are allowed to pass on. This year is 1.5% above inflation. For years, rents have been allowed to rise faster than inflation, while inflation is largely caused by rent increases, but that aside. The ratio of this above-inflationary rent increase escapes me, quite frankly. Can the Minister explain why it is necessary to increase rents by more than inflation, and why it is reasonable that lower-income tenants should not, after all, be required to pay this additional contribution in relation to the income-dependent rent increase and thereby be reduced in their purchasing power? The second question concerns the future system of rent fixing on the basis of rents, rents and taxation of rents. From the written answers, we say that the Minister will come forward with proposals for this in spring 2015. Now that spring has finally arrived last weekend, I ask the Minister whether the time has come for us to be able to look forward to these proposals. I also like to hear whether it is possible to develop a proposal that is widely supported by organisations of landlords and tenants. Can the Minister further indicate whether the design of the future rent policy will also consider that a system will not inhibit energy savings and that it may look at the total housing costs rather than just the bare rent. Finally, a single word about the exemption from the market test in situations of market failure. I have also asked for this in the written rounds, but I find the Minister's answers extremely unsatisfactory and legally questionable. And I'm not alone in that, according to the letters we received from Aedes and from F4, the corporations in the big cities. They also rely on advice from the law firm Kennedy van der Laan, an office specialising in real estate and rental business. What's it about? The bill allows corporations to invest under strict conditions outside their primary tasks, for example in urban restructuring. A market test must show that market players are not interested. Under the Knops amendment, that market test does not have to take place if the corporation invests on its own land, as a market participant cannot claim ownership of the corporation. That would be contrary to property law. The amendment did not make the same exception to the mandatory market test explicit for long-term debt securities, which, in the Minister's reasoning, would require a market test for long-term debt securities. The distinction that is made here between property and property is illogical and, moreover, legally unjustified, according to law firm Kennedy Van der Laan. In principle, a municipality always issues land continuously or even perpetually in leases; temporary leases are hardly present. For the purposes of the Law, in the case of permanent leases, the leaseholder has almost the same rights as an owner when it comes to using the land. A housing corporation cannot be forced to transfer the lease right to a market participant. The principle of equality should therefore require that the exception to the obligation to carry out a market test for non-DAE investments should also apply to land on land issued by municipalities on a permanent or perpetual basis. Inheritance is common in cities with large restructuring targets, including the G4. Housing corporations can mean a lot to the quality of the living environment and prevent segregation in neighbourhoods where this is urgently needed. A mandatory market test for that property that should not be forced to transfer housing corporations makes restructuring unnecessarily complicated and time-consuming. Does the Minister share our analysis that someone who has land in permanent or perpetual leases has almost the same rights and obligations as someone who owns land and should therefore, in principle, be treated equally? If not, where is the legal difference, and why is that difference relevant in this case? Is the Minister prepared to settle, as soon as possible, the tie-up between ownership and permanent leases, if possible via the AMvB and if necessary by means of a repair law? I await with interest the answer to these and our other questions.
ParlaMint-NL_2015-03-10-eerstekamer-3.u14	Mr. Chairman. The present legislative proposals involve substantial changes to the Housing Act in terms of the position of the approved institutions and the influence of the tenants within those institutions. In my contribution, the emphasis will be on the position of the tenants. The majority of the proposed amendments are acceptable to our group. That is why my party in the Lower House voted in favour of these legislative proposals. We welcome the fact that the influence of tenants on the policy of housing corporations is being improved. I am thinking in particular of the greater influence of the tenant organisations in the now mandatory performance agreements and the right of consent in the case of mergers and connections. In addition, we consider the strengthening of the municipalities' position vis-à-vis the corporations to be very important. In addition to this agreement, however, we also have a number of questions and criticisms. I would like to explain this to you, but I would like to highlight it differently from the previous speakers. I welcome that, because they have already discussed a number of aspects that I do not need to discuss. The House of Representatives adopted a large number of amendments in the examination of the legislative proposals. I refer briefly to the list of these amendments in the letter from the Minister to this Chamber of 17 December. I would like to draw particular attention to the amendments to the documents. 48, 59, 61 and 63, which reflect the position and rights of tenants and tenant organisations. The amendment in part No. 48 by Mr Monasch and others concerns the role of tenant organisations in the establishment of performance agreements and the equivalent information position for municipalities with regard to finance and investment. A recent publication of Aedes notes that a significant change in the law is found in the fact that the tenant organisations are given a full role in the performance agreements, a situation which, according to the same publication, does not exist at the moment. The question then lies in who has the ultimate decisive control in determining the content of those agreements. The Minister wrote to us on 17 December. that the performance arrangements should be made jointly by the housing corporations, the municipality and the tenant organisations. I ask the Minister the following question: if these three parties do not reach agreement by mutual agreement and therefore no performance agreements can be reached, for example because the vision of the corporation differs from the view of the tenant organisation, how should we proceed to reach these agreements? If we can derive from the Minister's proposals that the parties can then appeal to the Minister, I would like to hear from him whether that is the right vision. What powers and possibilities does the Minister have at his disposal to reach these agreements, and what criteria does the Minister apply to them? And what does the Minister mean in this context by a full-fledged role of the tenant organisations? We like to hear it. As a follow-up to this, we point to the bottlenecks in current practice. It is true that performance agreements have already been made between a municipality and a corporation, for example in large cities, but that the corporation does not want to comply with these agreements, relying on its poor or insufficient financial position, which according to the corporation is mainly the result of the landlord levy. Practice shows that the municipality is empty-handed in this situation. Will this change after the introduction of the new legal provisions? I'd like to hear that from the Minister. In the current situation, for financial reasons, a corporation may decide to demolish homes belonging to the core stock, with tenants having serious objections to the demolition. Nevertheless, such a corporation can continue its demolition plan because neither the municipality nor the tenants' organisation has an effective means of stopping the demolition. We ask the Minister whether this situation changes under the new law, and if so, in any way and whether, in the view of the Minister, this is a full role for the tenant organisation. I would also like to refer to the no less than 286 questions put by the House of Representatives in connection with the present draft decision. I have seen that quite a few answers have already been received in recent days; a lot of work has been done. Number 79 of this list asks the Minister whether he considers that it would be in line with the recommendations and findings of the parliamentary committee of inquiry as tenant organisations should agree to a reorganisation plan. My supplementary question is whether tenants should or should agree to a demolition plan for their homes. If there is a difference of opinion between a corporation and the tenants and if the corporation continues to demolish, can the tenants' organisation then stop it under the new law, or does it remain the old one and does it not have the power to stop it? I also note that many of the 286 questions relate to essential aspects of the proposed legislative amendment and that it is therefore also important for this Chamber to take note of the outcome of the exchange of views in the House of Representatives. We have seen a number of pieces by now. Is the Minister prepared to inform this Chamber of those results before the decision is taken? The draft law before us has been extended, but on a number of points it is also very global. Many good amendments have been adopted. They are now being worked out, but their elaboration is, of course, very essential for our assessment of the whole. I would like this Chamber to be able to say something about that. It is therefore my preference that the Minister should first refer the result he has achieved on the other side to this Chamber. Finally, on behalf of my group, I would like to hear the Minister's opinion on the Verhoeven and others amendment. in piece No. 59, which provides for a strengthening of the training and professionalisation of tenant organisations through the Act on the consultation of tenants and the compulsory financial support by the corporations. Under the current consultation law, I come back to today's practice, it happens that tenant organisations ask a corporation for financial support for the use of experts, but that such a request is simply rejected because the corporation does not consider it necessary to engage an expert by the tenant organisation. At that time there is no money, the tenants cannot hire an expert and cannot continue. According to the Minister, is this an acceptable concept of the corporation in the context of the current consultation law? And how, according to the Minister, should that question be answered under the new law? We look forward to the Minister's answers with interest.
ParlaMint-NL_2015-03-10-eerstekamer-3.u15	Mr. Chairman. In 1994, a little while ago, as spokesperson of the Dutch Parliamentary Group of the Party of European Socialists, I was allowed to deal with the law on the reduction of the balance sheet financial support for housing or the so-called brutal operation of housing. You can imagine that it is a special time for me now, twenty years after the independence of the housing corporations, to be able to re-enter the institutions admitted to the review law as spokesperson, but now of the PvdA group in the First Chamber. It was then a week-long intensive debate with the Secretary of State Enneus Heerma and, after the entry of Purple I, with Secretary of State Dick Tommel. Both are politically responsible for the independence of the social rental sector. With this technical operation, the government freed itself and the social rental sector from a complicated web of residential subsidies and capital loans. This involved a multiple of commitments made per project linked to the construction and operation of new buildings and renovations at the time of the reconstruction and urban renewal. The liberalization of this vast bureaucracy was undoubtedly a blessing both for the government and for the social rental sector. The political debates therefore focused not so much on the technical and financial operation, but on the question of its possible effects. Was the financially independent social rental sector as a public sector sufficiently embedded in a good, clear legal framework? Was the public task sufficiently defined and therefore sufficiently anchored? Was there a balance in the relationship between the municipality and the individual housing corporations? Did the tenants have any influence on the policy to be pursued by their own housing corporation? Last but not least, was financial supervision guaranteed in one of the most sensitive sectors? Between the government and various parliamentary groups, there was a great division at that time as to whether and, if so, how the housing corporations as a public sector should be embedded in a good and transparent legal framework. I dare say that within the social housing sector there was a deep repulsion against the influence of politics on its own functioning. In the sector, the ideal of a self-regulatory housing sector had gradually emerged; a sector which within the concept of "social enterprise" itself, so passionately expressed by Aedes president Willem van Leeuwen, would be responsible for housing. The government would be remote. Politics was still allowed to formulate goals for living, but the question of how to take care of living this public task, with in particular the living of the lower income groups to give substance to the social rental sector itself, was in the future. In 1994, the government's short-term outcome was particularly important. The brutality of subsidies and loans, in addition to ending a large and complex bureaucracy, would also reduce the EMU deficit in technical terms. A fundamental debate on a legal framework would prevent an agreement on the brutal operation with the social rental sector, and so the magic spell became "trusting the sector'. The two Secretary of State therefore defended the need for political confidence in the sector. A call for regulation The embedding into a good public system... was an expression of distrust and was seen as politically incorrect. Nevertheless, the House of Representatives strongly insisted that a proper legal framework for the social rental sector should be provided. I would remind you that the debates on legislative proposal 23817 on 6 April 1995 were concluded with the adoption of no less than seven motions, all from the hands of Machteld Versnel-Schmitz of D66 and yours truly. All these motions concerned the creation of a sound legal framework, aiming at checks and balances that are appropriate for a public sector; a framework that has a high level of responsibility towards society and is financial manager of an unimaginably large social capacity. I cannot, of course, fail to point out here the motion for a resolution on item No. 31, which declares that "in consultation with the General Court, an independent institute will be set up, which will be responsible for the financial supervision of authorised institutions and the associated other legal forms." The report of the Parliamentary Committee of Inquiry on Housing Companies and the present Revision Act allows institutions to use housing almost the same texts and explanations as were at the heart of the debate. But things have not been done and so, twenty years later, we can now take stock of the autonomy of a public sector. There is no doubt that many beautiful and special results have been achieved in the policy area of residence. The Netherlands can be proud of the fact that its cities, but also the housing of lower income groups, are at a high level in general terms. We have decent housing and no no-goareas here.This is the result of a joint effort by the political and social rental sector, and thus a great achievement. But when we look at the self-regulation of the social rental sector and also the supervision of the government, the outcome is downright negative. The systematic lack of an adequate system of checks and balances within a legal framework in which the roles between political leaders and the social rental sector are well defined has contributed to a series of incidents, excesses and mismanagement. The findings of the Parliamentary Committee of Inquiry into Housing Corporations on this matter are clear. The result is that there is a material loss of social capacity. The price of this failure due to the mutual solidarity of housing corporations within the system has actually been passed on to the tenants. As a result, they cannot benefit from a more moderate rent policy, suffer the burden of the shortage of social housing and also run the risk of being sold to another private investor as a result of a clean-up. It is actually cynical how managers' own failures are passed on to the target group for which they claim to work. In moral terms, this is the bankruptcy of a public sector. This sector has therefore lost public confidence and, in fact, there is no political party that really identifies itself with this part of our public system in the old-fashioned way. And that's actually a shame. The reaction is clear. In the present legislative proposal, Parliament is doing what I believe has been left behind for years, i.e. embedding a public sector within a real legal framework, which should ensure that the shoemaker keeps up this time. Not only can the legislative proposal be seen as a loss of a sector which has failed to fulfil its own self-regulation ambition, but it is certainly also a sad conclusion to a misplaced political confidence in the self-regulation of the social rental sector in 1994/1995.
ParlaMint-NL_2015-03-10-eerstekamer-3.u16	I welcome the fact that Mr Duijvestein is going back to the period in which this was created. I'd like to give him my heartfelt thanks. He has been passionately involved in the development of the housing sector from the outset. With that, the circle seems to be almost complete. Mr Duivetteijn has rightly referred to a number of motions which have already been tabled during the period 1994-1998, i.e. after the brutal operation and under the new system. What is the point of never having a follow-up to this? We have had a parliamentary survey and it is only now that that thought will come back on the table. We've been 20 years. Mr Duijvesteijn said that there is no political party that has taken this on board. If a motion is passed, you also expect it to be carried out. That didn't happen.
ParlaMint-NL_2015-03-10-eerstekamer-3.u17	That didn't happen one-on-one. However, there have been constant repairs to the system. In that sense, there was an on-going process. The political parties were often strongly interwoven with the social rental sector, including in terms of staff. There were a lot of people's unions. The distance between many political parties and the social sector may not have been large enough. Part of it was also about opportunism. A ruler can only succeed if he concludes a coalition with a public sector that has to realize a lot of its performance. As alderman, I've been through two situations. In the first period, we were in charge. In the second period we were dependent. When we were in charge, we had money and quotas. The municipality then had the lead and the corporations were actually implementing organisations. In self-employment, the corporations received a lot of money. They didn't have to work for their own money. They got that bag of money at once instead of being paid in annual instalments. As a result, the positions have fundamentally changed. The checks and balances were important. I can say from my own experience that the alderman no longer exists. There's only one asking party left. In that sense, this revision law is very important. This will make a substantial correction to the structure of the social rental sector.
ParlaMint-NL_2015-03-10-eerstekamer-3.u18	Thank you for this historic review. Mr Duivetteijn can lean on a double experience as a local driver. My question was more focused on another aspect. An approved motion calls for a proper supervisory framework, but it does not seem that this has been achieved. What's the cause of that? This is something that everyone can care about. It is only more than 20 years after this major change in the system has been made.
ParlaMint-NL_2015-03-10-eerstekamer-3.u19	I could now continue my speech because I wanted to say that perhaps the most important lesson today is that we realise that what happened to the social rental sector is not unique. We must realise that there used to be a public sector that was strongly linked to the citizens' initiative from which it came; that was the basis. The result was that there was an internal correction, but with the removal, professionalisation and institutionalisation we see that the citizen has lost the initiative. Therefore, if politics is placed at a great distance, as is the case with the social rental sector, the public sector is, in my opinion, in fact footless. The necessary contradiction has disappeared and in this vacuum we see that "the doctor has become more important than the patient." The institute, the professional's own dynamics, becomes more decisive for the direction of development than the social task. In essence, therefore, it is a question of how we in our country can restore the relationship between politics and government on the one hand and the public sector on the other. As far as I am concerned, this is the core. If, in the future too, public tasks are carried out by private organisations in accordance with our Dutch tradition, their public embedding and direction are essential to the public authority and its public control. The special feature of the public sector is that it fulfils its task in the physical space between government and market. This brings with it a completely unique dynamic. In the case of the social rental sector, there is even a target group that has no choice but to rent. Where you can still change insurance in the care, there is no real alternative within the housing system for low-income tenants. It is precisely this dependence that requires service rather than an attitude as a market-based entrepreneur. The market thinking of many of the social rental professionals has alienated the sector over the last twenty years from a part of politics, citizens and its own tenants. Many of the internal debates that I was allowed to experience are hardly yet about the intrinsic objectives of what was once an idealistic sector. The sector, the company, the value of the property and the strategic positions seem to be becoming increasingly central. The institute has become more and more an objective within itself. Those directors of housing corporations who advocate retirement are the ultimate illustration of this. In my opinion, therefore, the crisis in this part of the public sector is above all a moral crisis, in which the importance and development of the institute has become more dominant than the public objectives. This analysis also appears in the report of the Committee of Inquiry. The debacle of the social rental sector is therefore a tough lesson for politics, parliament and the sector. I would be happy if we could learn from that. Therefore, this somewhat general reflection. It would be good if we looked again at the objective and what the organising principles of a public sector should be. A return from the social rental sector to the heart of its public mission is crucial. The approved institution is by definition not a commercial sector! It fulfils a strictly public task and should therefore organise its services in such a way that it focuses on those activities which cannot or will not be carried out either by the public authorities or by the market. The social rental sector is therefore not an investor in real estate, not a real estate company, but an association or foundation that provides services that are primarily social through the housing and living environment. This must of course be financially justified, but in this case citizens are particularly at the centre of the tenants of the housing corporations and the residents of often vulnerable neighbourhoods. The scale of an organisation and the degree of professionalisation are derived from the objective itself. At the heart of the matter is the work on public targets, formulated by the Empire and municipalities, a serviceable attitude towards the tenants, full transparency and, not insignificantly, organisations that must be essentially democratic. In this sense, Mr Schouwenaar's suggestion for a WOB for the semi-public sector is interesting. The question is whether the ingredients are present, with this law. Like many people involved in living in the Netherlands, we have been anxiously looking forward to the conclusions of the parliamentary committee of inquiry into the future of our housing system. The Committee outlines three variants: (a) the organisation of social housing by the market; (b) the organisation of social housing by the public authorities; and (c) the organisation of social housing by citizens. Although we would like to move on to another housing system, we appreciate the fact that the parliamentary committee of inquiry has given priority to repairing the legal framework of the current social rental sector. It is, as the Committee of Inquiry points out in its report, a matter of 'ordering matters' first. It inevitably focuses on a certain restoration of the historically grown public system. However, institutions authorised under the Revision Act run the risk of being or becoming standstill. In particular, it orders what has not been or has not been sufficiently organized in the past. In it, a "return to core tasks" can be read as an undesirable containment of a real estate sector that wanted to spread its wings. However, you can also read it as the rehabilitation of the original ideas of a public sector. I choose that last interpretation. I believe that our housing system benefits from a social housing sector that focuses primarily on its social task. This concerns both the housing of policy target groups and the living and living conditions of these target groups. This is more complex than ever, because the transformation into a multi-ethnic society requires more attention to the social challenge facing the sector. A society in which different cultures live together begins in the neighbourhoods and neighbourhoods. In my opinion, bringing harmony into this process falls within the core tasks of the corporations. It is up to the social rental sector to rediscover itself as a public sector, precisely in view of this challenge. Against this background, the PvdA Group is therefore positive about the present legislative proposal. The legal framework that is now being presented to us should have been there before now. Now we are, rightly, repairing the checks and balances between the social rental sector, the government and the partners in the field, including the municipal government, the tenant organisations and the people who are part of the target group.
ParlaMint-NL_2015-03-10-eerstekamer-3.u20	I think this is a wonderful speech that shows the history of twenty to thirty years of housing in the Netherlands. I have, of course, also followed the survey and read the committee's report. There have been major incidents with real excrement. However, Mr Duivetteijn's speech suggests that the whole sector did not succeed. I would like that impression to be somewhat nuanced. Especially in the last sentence sounded a bit by that it was all not good or not good. I'd like to distance myself from that. In the past, I have seen very good examples in urban renewal and the major cities policy of corporations that did take responsibility, not only for housing and the maintenance of that home, but also for its wider viability. It seems appropriate to me that we should concentrate on the question of where it went wrong and what we should correct now. We must not give rise to the suggestion that it was all sorrow and torment. I expect Mr Duivetteijn to agree with me.
ParlaMint-NL_2015-03-10-eerstekamer-3.u21	I have made a very clear distinction between the performance that has been achieved and self-regulation. Of course, fantastic achievements have been achieved for the reconstruction and urban renewal. There are billions invested in this sector and many ideals have been fulfilled. I remember that very well from my urban renewal period. I have literally said that we have good things for each other in the Netherlands and that we do not have no go areas. However, self-regulation has completely failed and that is, of course, what this is all about. Fortunately, the fact that many corporations have organised themselves well and behaved properly within the framework of self-regulation is of course fine. At the time, the principle of social enterprise was strongly promoted ideologically by Van Leeuwen, the then Aedes chairman: we take responsibility for living in the Netherlands and politics must remain at a distance. We simply have to note that this has really failed. That is not my conclusion, but also the conclusion of the parliamentary committee of inquiry, in all intensity. Of course, the criticism may be a little sharper. I would like to deal with two more points, namely a few parts of the law and something about the near future. When it comes to the law, we find it incredibly important that what I call the socialisation of the social rental sector. In this sense, it is very important that the relationship with the tenants will be strengthened. It's actually very sad and unfortunate that that relationship is so thin. We think it is important, and we would very much like to support it, for corporations to focus on the area within one housing region, so that you really get a direct link between a housing company and the people who live in a housing region, such as a municipality linked to a border area. That anchoring is extremely important for the focus. In this sense, we do find defuses something that should be pursued, albeit in a decent way. But that socialization is essential. We would therefore welcome the change in the concept of 'clients' within the social rental sector to 'our target group', 'our tenants' and 'our members', which could restore the public character of the sector. This also fits the return to the essence, the right of the corporations to exist. The issue of SGEIs and non-DAEB has already been discussed. At times it is of course good to carry out certain activities that are necessary, for example in an urban renewal or restructuring area, when the market does not occur. But we support the basic idea that the sector deals with these core tasks and focuses on them. It's not a commercial...
ParlaMint-NL_2015-03-10-eerstekamer-3.u22	I would like to go back a bit, because we are going to the other subject very quickly. I can follow Mr Duivetteijn's whole speech and even embrace it on certain points. I pointed out theory and practice. I have mentioned a municipality like Amersfoort as an example, which is currently implementing its total housing policy with two housing corporations. If you just follow the rules, Amersfoort would no longer be able to do so because those housing corporations have to withdraw in their core area, so where they realize most homes. That would mean that Amersfoort, at least temporarily if you claim to be in favour of defuse, would be out of corporations. In theory, that could mean that you haven't got your housing policy in order for a number of years. What do you think of that?
ParlaMint-NL_2015-03-10-eerstekamer-3.u23	First of all, it is not proposed to defuse, unfortunately. As far as we are concerned, the Minister should be more radical and should actually be. The strange thing is that in the social housing sector there is an incredible increase in scale that has no rational basis. Many corporations have only 1,000, 2,000, 3,000, 5,000 or 6,000 homes and function fantastic, even in the big cities, except for the driver's salary, of course, which in turn is inappropriately high, but quite aside. Defuse could mean that more units would be created on a tailor-made basis. For this, it is necessary, for example, for the sector to organise solidarity in a different way. Then you come to the question of whether the sector is a real estate company or a linked organisation that performs a public interest as an authorised institution for the benefit of a very specific group in society. Of course, it cannot be that a city would run out of housing corporations, but the question is how can we organise it in such a way that there is another direct contact. In my opinion, that is essential. In Almere myself, I have only been able to experience, in brackets, that the relationship with the Alliance and Ymere was generally good and that there was a direct contact at the time they were still housed in Almere. When they then began to centralize, all this was put at a distance and suddenly a whole interlayer came along. Now I personally didn't have that much trouble; I don't want to meet everyone, but that aside. That's my answer. With regard to SGEIs and non-DAEBs, referring to my text for a more detailed explanation, I say to the Minister, we support, in essence, the basic idea of concentration. However, corporations must be able to invest in improving the viability of vulnerable neighbourhoods. We will soon see that the market players often do not operate there. Then that space must be there. The question is how supervision takes shape. There will now be one Authority housing corporations. Embedding, independence and the link to the people's housing challenge are essential. Finally, when it comes to individual issues, we are very concerned about the unfocused sale of the social housing stock. That's a really big concern. We know that when a private investor wants to take over social housing, you have to trust that in advance. I say this not from a negative basic point of view, but from the experience of how the market works, namely that after ten or fifteen years investors rejected and paid off good returns, and then again made a substantial amount of money. So an investor taking over existing assets has the main aim of making capital gains at a later date. We are very concerned about this. That is why we are constantly asking whether the system as we know it is not simply outdated in the way we operate. Then I'll get to the last part.
ParlaMint-NL_2015-03-10-eerstekamer-3.u24	I apologize for interrupting Mr Duivetteijn, because he just started a higher gear.
ParlaMint-NL_2015-03-10-eerstekamer-3.u25	That's just for time's sakes.
ParlaMint-NL_2015-03-10-eerstekamer-3.u26	He is not very positive about the transfer of ownership from the corporation sector to the private sector. I assume he'll be talking about regulated homes. He also mentioned this at the beginning of his speech one of the bad consequences for tenants as a result of the company's missteps. I wonder why he is so concerned about this and what these concerns consist of. Because there is also a whole range of guarantees provided in the law when selling regulated homes to a resident tenant or to a fellow corporation? If it is a private individual, there must be an explanation of the behaviour and a Bibob test and it must be stated in the performance agreements. So this is surrounded by a lot of safeguards. In addition, the sale will generate money that will enable new investments to be made in suitable housing. So I don't understand why it would make the housing of the people worse. A concrete example is Patricia, who has now taken over 5,700 homes from Vestia. Let's be glad that Patricia did, because Vestia had to be helped out of trouble. I also read this in the Aedes-Magazine, I think we all read it, because everyone quotes from it that Patricia is overflowing with good intentions to meet the tenants in a pleasant way. So I do not understand Mr Duivetteijn's concerns very well.
ParlaMint-NL_2015-03-10-eerstekamer-3.u27	The concerns are twofold. 1. What is the view of the future of the system? 2. What's the practice? If we look at the houses that have been sold in the past by the ABP and the PGGM that are private investors, investors, we see that that property has become highly fragmented and that its management has become problematic. So you're actually creating your own urban renewal assignment. That brings me to another rather fundamental subject. We have neatly divided everything into rent and purchase in the Netherlands. Those are two different worlds. When we look at buying, everything is individual and the risks are also individually defined. The big question is how to use the qualities of the social rental sector, that protective structure, to create comparable conditions when transferring property when it is owned by institutional parties. So we're mainly concerned about the unfocused outpouring, speculation and profit making. We are not talking about the period Mr Schouwenaar is talking about. There is a certain level of protection for that. There's a rent bill. It's about a look-through in time and the question of what's gonna happen next. In the Netherlands, we can already identify many places that are problematic, simply because of the outpouring of property.
ParlaMint-NL_2015-03-10-eerstekamer-3.u28	I have another supplementary question. There is also talk, thought and written about a large trade-out of regulated homes which are now privately owned with some more expensive homes over the liberalisation limit, which are now owned by the corporation sector, so that people can move better in an area where they are best at home. Should I understand from the words of Mr Duivetteijn that he considers such an exchange to be positive?
ParlaMint-NL_2015-03-10-eerstekamer-3.u29	We are talking about a sector that is incredibly capital-intensive. The real estate value is 285 billion and the debt position is 90 billion. In other words, a great deal of capital can be released in this sector at the time the assets are transferred, in whatever form. Nor are we fundamentally opposed to the fact that the sector is becoming more concentrated than it is at present. The sector has become so large, it has already been mentioned, because we have set ourselves an objective in the context of the elimination of housing shortages and of reconstruction and urban renewal. That's what corporations have been the vehicle for, and that's why the sector is so big. If you literally link it to the target group, it could be smaller. The question is, how can you do that intelligently? So we are not necessarily opposed to the transfer of property; we are only very concerned that we do not throw the child away with the bath water. We can show in many places in our own country that in fact new problems have already arisen, particularly in the post-war neighbourhoods, where there has been talk of exorcising property and not creating a new structure. I see that I have convinced Mr Schouwenaar.
ParlaMint-NL_2015-03-10-eerstekamer-3.u30	This is really an interesting theme. With my party political background, I do not object a priori to the marketing of social housing, as the owner also continues to behave like a good housekeeper and the rules are respected, no matter what legal remedies are available to enforce it. I would therefore prefer to stay a little away from too much moral judgment. The word "outpoken" does not always have a pleasant sound. I'd almost say, give me names and numbers. Let us therefore see where it threatens to derail and then ask the Minister what to do about it. I read that at the moment in the better housing segments even German and English private companies have come forward to buy large-scale houses, which does not necessarily mean that they are not good family fathers. But at the moment when an individual buyer then makes a pot of it or an institutional investor does it solely because of profit expectations and leaves nothing to be done about existing legislation, it also comes down to supervision, sanctions and remedies to turn that behavior into good behavior. Does Mr Duijvestein share that?
