ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u12	That seems to me to be a reasonable request from Mr Vos. I will give some thought to where it is and what exactly I am going to do when. If the President gives me permission to do so, I shall return to that in the second term. Mrs Van Veldhoven spoke about coal power stations. She said: "These coal-fired power plants receive EUR 3 to 4 billion in subsidies for the up-and-up-and-up of biomass. Biosteam is much more efficient. If we replace it with biosteam for half of it, we will have 750 million euros left." It wants to use this money to reduce storage in the energy account for extra money for energy innovation and for a contribution to the ROAD. These objectives are all sympathetic, but I am not happy that they want to do less at the same time. I don't want to. The large amount of heat that the heat supply places on our energy consumption means that the sustainability and reduction of that heat supply is crucial in order to achieve a fully sustainable energy system. In the heat vision, I indicated that there is a lot of potential in sustainable potential for heat in industry and that there are also many opportunities to meet the heat demand of the energy-intensive industry with biosteam. One time the industry has heat left over and can be used for households, offices and the like, the other time the heat is needed. You can provide for this in a sustainable way by using biomass and biosteam. I'm very interested in that. A separate biomass plant is already being built in a cluster around Delfzijl. At the beginning of this year, the SDE+ scheme opened up a separate category for the production of biosteam with biomass, with wood pallets. In this way, industry is given the opportunity to make operations with wood pallets and steam production more sustainable. I look with the chemical industry and the energy sector at what is happening in Groningen and at how this can be applied elsewhere. I really intend to continue to stimulate biosteam in the coming period, but I do not want to do that instead of co-incineration with biomass. Biomass co-incineration is, according to the European Commission's definition, renewable energy. We have limited this to 25 petajoule in consultation with the parties to the energy agreement. This 25 petajoule accounts for 1.2 percentage points of our target: of the 14%, 1.2 percentage points must be produced by biomass. My ambition is: so, so. I want the biomass to be re- and re-socked and thereby to reach 1.2 percentage points, and I want to stimulate the biosteam to the maximum and to ensure that it is applied.
ParlaMint-NL_2015-10-15-tweedekamer-14.u13	I am very pleased that the Minister is in favour of exploiting the benefits of biosteam; that is where we find each other. He wants both, but I believe that there are other things that we as a cabinet and chamber should want, namely to invest extra in innovation and energy saving. We also want the CCS project. I understand the Minister doesn't want to break the energy agreement. But if he sees, looking at the shorter period, that there is now an opportunity to go ahead with more biosteam, would he not want to think together with the partners about whether this could be a more detailed explanation of the agreements within the energy agreement? The Minister knows how big the gap in energy saving is. Biosteam is more efficient and saves money in the short term, allowing us to draw hard on the other objectives.
ParlaMint-NL_2015-10-15-tweedekamer-14.u14	I have been told, among other things, by Mrs Van Veldhoven that the 14% target for 2020 is not going well. She thinks that I should achieve that objective, and she urges me to do so in every way possible. Now she says: an important part of the 14% is that 1.2%, but just calm down and try to make a difference. I'm not in the mood for that, because I'm gonna take a risk. I've got to get that 14%. The co-incineration of biomass in coal-fired power stations should contribute to this. So I need that. And if there are any other options, I'm gonna take advantage of them, too. Perhaps by 2020 we will see Mrs Van Veldhoven, and perhaps I will also say that we have indeed achieved more than that 14%. We'll both be happy about that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u15	Of course, I can only agree with the latter. I would certainly be pleased with that, but so would the Minister, because he was still aiming for 16% renewable energy in the coalition agreement. I imagine he still sees that as a beckoning perspective. If industry replaces gas with biomass and starts working with biosteam, this will contribute to the amount of renewable energy. So it is not the case that you are abandoning the renewable energy objective. No, you're going to achieve this more efficiently. We are therefore leaving money for that other big gap in the energy agreement, which is half our energy saving objective. That is why I ask the Minister once again whether he would like to see whether, in the short term, perhaps in the phase, perhaps in another way, there is an opportunity to bring those other objectives closer too.
ParlaMint-NL_2015-10-15-tweedekamer-14.u16	I am very prepared to go so far as to discuss energy saving. I'm gonna do that anyway. I'm also willing to stimulate biosteam. I would like to take advantage of the opportunities I see for this, and I am very active in doing so. However, I am not prepared to do any less with biomass co-incineration. We have ten coal plants in the Netherlands. The five oldest power stations are closed down and five modern power stations remain. Of those five plants, two were opened this year. One power plant still needs to be opened. We intend to connect two of these plants with a project for storing CO2 in an empty field in the North Sea, the ROAD project. Mrs Van Veldhoven has already spoken about this. We also intend to use the remaining modern coal plants to further and mostly achieve that 1.2 percentage point of that 14% by 2020. I really don't want to take any chances on that point. If I get more than that 14%, I'm okay with it. If I make it less, it's not good. The 14% is the lower limit for me. I really don't want to take any chances with that. I'll be right back on energy saving. Mrs van Veldhoven throws large sums of money when she talks about coal power stations. I heard her say that we would spend 5 billion on coal plants. I don't know where that amount comes from. I only know that a few years ago it was decided at some point to introduce a coal tax. It was supposed to make 189 million a year. This coal tax is now being released, in accordance with the agreement we made in the Energy Agreement with 47 parties. That 189 million euros a year will therefore lapse. This was also one of the considerations for electricity producers to participate in the energy agreement. That has been important. So the relationship between 5 billion and 189 million escapes me. I believe that we have had the proceeds of the coal tax for about two years. We are going to miss them now, but we have made that choice in the context of the energy agreement.
ParlaMint-NL_2015-10-15-tweedekamer-14.u17	Your fourth interruption, Mrs Van Veldhoven.
ParlaMint-NL_2015-10-15-tweedekamer-14.u18	No, the Minister has a big question. He wants to know where the amount comes from. I just want to clarify where the figures come from.
ParlaMint-NL_2015-10-15-tweedekamer-14.u19	Short.
ParlaMint-NL_2015-10-15-tweedekamer-14.u20	The 5 billion is indeed made up of the coal tax on the duration of the energy agreement, which means that I am well above 1 billion, but let me finish it at 1 billion. In addition, the 3 to 4 billion of biomass in coal-fired power stations is being stubbed up.
ParlaMint-NL_2015-10-15-tweedekamer-14.u21	Thanks for the explanation. A revenue of EUR 189 million a year in coal tax is going down, but on the other hand the five oldest coal plants are being closed down. According to the European Commission, biomass is renewable energy. We are the only country in Europe that has set sustainability criteria for this. We are the only country in the world that has put in place a definitive system of control of this. I therefore believe that we are dealing with this in a very responsible way. I come now to the issue of energy saving. Mrs Schouten, Mrs Van Tongeren, Mrs Van Veldhoven and Mr Vos spoke about the energy saving objectives contained in the energy agreement. The original, most important objective that we had in the European Energy Efficiency Directive, which has also been implemented by the Netherlands, is that every year we should achieve 1.1% energy savings in our country. In the energy agreement, we increased this by 0.4%. This means that 1.5% additional energy savings are to be achieved every year. If you translate this according to the system of the European directive, 480 petajoule of energy savings should be achieved cumulatively over the period from 2014 to 2020. In the National Energy Exploratory we can read that a cumulative 540 petajoule is expected to be realized, not 480 but 540 petajoule. That's an overrun of 60 petajoules. Moreover, it is said that we are going to make it 1.5%. Europe is asking for 1.1%, but we are achieving 1.5%, even by exceeding the European system. The Energy Agreement also states that a number of measures included in the Energy Agreement are expected to generate 100 petajoules of additional energy savings by 2020. In the meantime, we have learned from the National Energy Exploratory that this is not the current expectation. At present, measures under the Energy Agreement are expected to yield 55 petajoule. That is where we have a problem. That problem needs to be solved. We have a committee of assurance for this, which has been set up by the Economic and Social Committee and is headed by Mr Nijpels. All 47 parties to the Energy Agreement are involved. That is where we shall be discussing this problem. We need to look at what exactly is happening with the energy agreement measures. Which ones do they count, which ones don't? Is that all reasonable? We also need to look at whether we can make the most of these measures and whether some extras are possible or necessary. I am thinking, for example, of an additional financial incentive for energy saving in energy-intensive industries. I am also thinking of making energy saving more enforceable in the built environment through the energy suppliers. You can see that this is happening in other countries, with varying success, but still with success in majority. It would also be possible for energy suppliers to be given an incentive to support homeowners and the services sector in taking energy-saving measures. Those things may also be discussed in the committee's consultation on the energy agreement, but I would just like to say to the Chamber that the picture of energy saving is not as bleak as some people think. For example, the industry itself reports that it is making 2% savings per year as a whole. In the metal industry, it is said that it already achieves 3% a year. So we're in the middle of energy saving. Mr Vos just mentioned that. This will have to be our focus in the years to come. As a means of exerting pressure, we also have the agreement on the extra 100 petajoules that we made in the energy agreement.
ParlaMint-NL_2015-10-15-tweedekamer-14.u22	Does the Minister still have the ambition to achieve additional 100 petajoules of energy savings?
ParlaMint-NL_2015-10-15-tweedekamer-14.u23	Yes, I have the ambition to stick to the energy agreement, including this one.
ParlaMint-NL_2015-10-15-tweedekamer-14.u24	In the short term, then, there is still a lot to be done, including in industry. That is what the National Energy Exploratory notes, and that is what the Minister himself stated. As I know, agreements will soon be agreed with industry again. Does the Minister intend to make even stricter agreements in these agreements on how we can comply with the conditions of the energy agreement, including in the field of industry?
ParlaMint-NL_2015-10-15-tweedekamer-14.u25	Yeah, that's definitely discussable. In any case, we have the framework ready for the one-on-one agreements that we want to conclude with the large, energy-intensive industries. The conversations with these companies are going on. I'll see what can reasonably be contributed. We must realise that I can never have one thing in mind and then realize it with blinders. When I deal with Tata in IJmuiden, the story is not only energy saving, but also his competitive position. That company, where many thousands of people work, must compete on the world market. I must ensure that employment is maintained. This means that we have to consider how energy savings can also be a positive thing for the company, what is reasonably possible, how this can be done and what the government can possibly contribute to it. All these things will come into view. My intention is now twofold. Part of it is to indicate what is already happening about energy saving, how important it is, where more needs to be done and how we are trying to achieve it. Mr Vos spoke about electric cars. He said that in 25 years the Netherlands should be made a country where cars drive electric. He even mentioned self-driving electric cars. When I think about how we were in the car 25 years ago and how we are in the car now, the differences, apart from the navigation system and air conditioning, are still limited. But it's all going much faster, so maybe the image of self-driving electric cars that Mr Vos has in mind will be real in five years' time. At least he's not the only one who has that idea. In the Netherlands, we have already taken initiatives in this area in order to be able to drive self-propelled cars on public roads. We have already, with the necessary success, made agreements to stimulate electric cars in the Netherlands. We also see in the world around us that we are not alone in doing so. The German Environment Minister said that the German government wants to meet the target of 1 million electric cars by 2020. Right now they've got 10,000, so they've got something to do there. But the ambition is definitely there. It is important for Germany to do so. This also has an impact on the Netherlands. Mr Uchiyamada, the boss of Toyota, Japan's largest automobile group, and almost as large as Volkswagen, has said that we are losing the planet faster than the sustainable innovations are being implemented. He says it has to be better. He says that the climate issue is of such a large order that a vision is needed for the next 20, 30 years. Of course, that is in line with what Mr Vos says: in 25 years' time the standard, the standard, electric cars must be. We have included in the energy agreement that only zero-emission cars will be sold in 2035 in 20 years' time. We now believe that these will be electric cars, but they can also be cars with a fuel cell, hydrogen cars. If from the year 2035 you only sell electric at least zero emission cars, it goes very quickly. At the moment, the ambition is that by 2050 the total fleet will be made up of zero-emission cars. However, it is quite conceivable that once that process has started, it will be faster and that Mr Vos' ambition will become a reality in 25 years' time. The Cabinet is doing all it takes. I think that Mr Vos has seen the measures we have all taken to that end, but otherwise I would be happy to go through them again with him and the rest of the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u26	I think that the views of the cabinet, of the minister, and of the Labour Party are very similar. It is also of course nice to hear that the Netherlands is ahead in Europe. It is often said that we do not lead the way; it is sometimes good to say that we are really the frontrunner in Europe on this point. For example, there are four times as many electric cars in absolute terms as in Germany. The Minister speaks of 'zero emission'; that is, of course, much better than talking about 'electric cars', because you also have green gas and hydrogen cars. Yesterday, a large oil and gas company announced that there will be a network that will allow motorists throughout Germany to refuel hydrogen. It was announced that we can also look forward to such plans in the Netherlands. I wonder if the cabinet will take that. I wonder more about how these steps have been concretely completed until 2035 or I want to get rid of the exact year 2040. That does not seem clear to me. We can also talk about this later in an AO on the basis of a letter from the cabinet, but I would be very pleased to go further into this with the Minister.
ParlaMint-NL_2015-10-15-tweedekamer-14.u27	I think that this is such an important development and that this development also requires so much that it is good to discuss it separately with the Chamber. We have already taken a large number of measures, for example in the area of fiscal policy. There is also European policy, we have our own environmental policy, we have six green deals and there are campaigns going on in this area. You know I made arrangements with Elon Musk of Tesla. So I think it would be very useful, together with Mrs Mansveld, my colleague from Infrastructure and the Environment, to present the various things that are going to play and play, the future perspective and the timetable for that, also in an international context, and to exchange views with the Chamber. I shall therefore do as Mr Vos wishes. Mr Dijkgraaf asked me whether the policy on renewable energy is not too short-term. In particular, he asked for attention to be paid to the innovation budget and to how we can achieve the sustainability challenge in the long term. Long-term sustainability requires innovation. We are still dealing with the situation in which we want to replace the capacity of fossil energy, which we have built over the last few centuries and which we want to get rid of, with sustainable capacity. If your old capacity is out of use, you suffer quarterly losses and something new needs to be built up in which you have to invest a lot. If you can achieve with innovation that you need to invest less because you can do smart, new things and find new solutions, that's much better. That is why we have a separate top sector that focuses entirely on this energy and which also includes resources for innovation. That is why we keep part of the SDE+ money separate and put it into innovation. And that's why, in the activities that we finance under the SDE+ scheme, we allow pilot settings, including for windmills, to see how we can stimulate the whole process of innovation and cost reduction. Innovation is crucial here. The resources I have at the moment, I believe, are the resources I need. If I get the impression that there is too little budget somewhere and that there is more to it, I will certainly not fail to report to the Chamber, but at the moment, in terms of innovation in the energy sector, I can get rid of the existing subsidy schemes, with the way we apply the SDE+ scheme and with what is available at European level for this purpose. That was my answer to Mr Dijkgraaf's question. Mrs Van Veldhoven, Mrs Mulder and Mr Vos have drawn attention to ECN. The first two spokesmen asked me if I could use some money from the SDE+ scheme for the year 2016 for ECN. ECN is one of our TO2 institutions and is therefore aimed at doing applied scientific research and ensuring that we as a society can benefit from its results. It is clear that the cuts that are being made across the board at TO2 institutions are hurting. Those institutions need to adapt. They all have to, including the ECN. Moreover, as far as the ECN is concerned, I think it is time to take a closer look at the three important functions it performs. The ECN has an important role in what we do in the field of nuclear energy, including with NRG, an ECN-related company dealing with this issue in Petten. In addition, the ECN conducts policy studies, e.g. the NEV, together with the Planning Office for the Environment. The ECN also deals with renewable energy, just like TNO and others. I think it is good to look at those three different functions of the ECN, and how those functions can best be filled in for the future. I intend to do that in the year 2016. Actually, we're already working on that. While we are working on this, we must avoid accidents at the ECN. This means that the ECN must fulfil the normal task that the other TO2 institutions must also fulfil. A number of things need to be changed and cheaper there and more external money must be attracted, but I cannot have anything on top of that that will cause the ECN to get into even more trouble. So I'll take a good look at that. Together with the ECN and others that I might bring in for analysis, I will look into how we can keep things going in a responsible way for the year 2016, so that we can finally take decisions on the longer term in the context of the 2017 budget.
ParlaMint-NL_2015-10-15-tweedekamer-14.u28	Is the Minister saying that forced dismissals for 2016 are therefore excluded in the North Holland Heads of State?
ParlaMint-NL_2015-10-15-tweedekamer-14.u29	No. Depends on how the company fills that out. This is happening with all TO2 institutions, including at TNO. A reduction in staff has also been announced there. It is not excluded that this will also require redundancies. I don't know how it's gonna turn out with the ECN. It is primarily up to the management of the company itself to implement this. So I can't guarantee that.
ParlaMint-NL_2015-10-15-tweedekamer-14.u30	Can the Minister guarantee that knowledge will be preserved at the ECN and that, in principle, employment in North Holland and the North Holland Head will remain?
ParlaMint-NL_2015-10-15-tweedekamer-14.u31	It is important, however, to preserve the necessary knowledge. That is what decisions will have to be taken. Should the various aspects of nuclear, policy and renewable energy be taken together, or can it be taken separately or possibly in another context? We're gonna have to look into that. I would not like to see, as a result of the preparatory work that we are going to do, the flow of knowledge that we want to preserve for the future. We will therefore have to look at how we can create a situation for 2016 in which, on the one hand, the necessary reversals and cuts are realised and, on the other hand, no accidents occur in anticipation of what we are going to decide for 2017.
ParlaMint-NL_2015-10-15-tweedekamer-14.u32	Mr President,......................................................................................
ParlaMint-NL_2015-10-15-tweedekamer-14.u33	You've been there twice, Mrs. Mulder.
ParlaMint-NL_2015-10-15-tweedekamer-14.u34	Could I perhaps ask a small supplementary question on this subject?
ParlaMint-NL_2015-10-15-tweedekamer-14.u35	After your next interruption. It's possible.
ParlaMint-NL_2015-10-15-tweedekamer-14.u36	Then I'll wait.
ParlaMint-NL_2015-10-15-tweedekamer-14.u37	Then wait a minute. Very good.
ParlaMint-NL_2015-10-15-tweedekamer-14.u38	Mr Bosman and Mr Dijkgraaf have asked me a question about thorium. I notice that many Members of Parliament are interested in this. The subject has been discussed in depth between the spokesmen in the Chamber, and that is a good thing, because it is an important subject. Thorium has advantages over uranium as a fuel. Thorium produces less waste. And that waste remains radioactive over a shorter period compared to uranium. That's important, too. In addition, thorium is much more present than the raw material needed to produce nuclear energy through uranium. Those are advantages. On the other hand, thorium can only be used meaningfully in combination with enriched uranium. To date, there is no other technique than to process it in combination. Moreover, the infrastructure for the large-scale production of thorium is not yet in place. We're still working on basic research. In the process of reprocessing thorium releases more radiation than uranium fuel, as far as we can see now, so it is not that thorium is going to solve all the problems and that we can trust that it will all work out. There are also things that need to be controlled. We have to deal with the risks that need to be taken in a sensible way. It's a long-term thing. The research into the use of thorium in the so-called molten salt reactors, the molten salt fast reactors, is still at its fundamental stage. The Netherlands contributes to this. We do that in two ways. At the NRG in Petten, which I just talked about, linked to ECN, a contribution to that fundamental research can be made. TU Delft is also working on this, also in the framework of Horizon 2020, from which proper funding is received. I support that, too. A total of 1.6 million has been allocated to this policy area. So there is an international development going on, which the Netherlands is contributing to. It is interesting for the long term, but in the short term there is no immediate result to be expected. I think that what we are contributing to this fundamental research in the short term is a reasonable effort at international level.
ParlaMint-NL_2015-10-15-tweedekamer-14.u39	That's good to hear. We note that the discussions are mainly about sustainability, and that is related to a number of criteria, which unfortunately do not include nuclear energy. This may mean that the future discussions on CO reduction, improvements related to climate goals and that kind of thing will not include thorium. I am not concerned that this is a silver bullet, but that we do not leave things out in the discussion about all the potential possibilities.
