ParlaMint-NL_2015-10-14-tweedekamer-5.u1	I can see the minister at the microphone. He's ready to give his first-term response.
ParlaMint-NL_2015-10-14-tweedekamer-5.u12	Mr Roemer is really confusing two things. On the one hand, we have the municipal self-care arrangements. The ambition is to create up to 10,000 homes, so that the first pressure on asylum seekers' centres and the COA can be reduced. When people are in that shelter, the financial arrangements of the COA also apply. You want people to be able to flow through those six months. The reality is that there is not expected to be social housing, but rather semi-permanent housing. We didn't talk about 10,000. The ambition for this is, of course, higher. We don't have any numbers yet because we really want to discuss this with the corporations and the municipalities. We're gonna do that, too. Those 10,000 account for the number of gzzas, not the number of semi-permanent homes through semi-permanent housing.
ParlaMint-NL_2015-10-14-tweedekamer-5.u13	That's obvious. However, corporations remain constrained in their investments by a landlord's fine of 1.75 billion annually. Turn it into an investment obligation. A lot of Dutch people are on a waiting list for seven, eight, nine, ten years. If there are too few properties, you shouldn't sell 10,000 social housing. That's what I'm arguing about, but that's what the Prime Minister's always been about. If you want to help those people on the waiting lists, then building must be done and corporations must be given space to build.
ParlaMint-NL_2015-10-14-tweedekamer-5.u14	I understand this plea, but this is a political difference of opinion between the coalition and the Socialist Party that has been visible for a long time. I do not want to repeat the debate on this at length that we have had a few times in the General Reviews. But if you were already willing to think about adjusting the arrangements that have already been chosen, I think that would, paradoxically, lead to a delay rather than an acceleration. For that reason, I am not in favour of this, so apart from financial coverage and all kinds of political issues and policy objectives. I would also like to draw attention to the paradoxical effect that this will lead to delays.
ParlaMint-NL_2015-10-14-tweedekamer-5.u15	The Prime Minister mentions a lot of things that need to be done. When will the Chamber be clear about the content of the proposals and, in particular, their financial implications? I think there are still many questions to ask. This costs a lot.
ParlaMint-NL_2015-10-14-tweedekamer-5.u16	We'll do that as soon as we can. By choosing these semi-permanent housing and the social security arrangements that go with it, you also free up a little money for municipalities to invest in housing together with corporations. If the cost sharing standard is applicable and the rental fee is not necessary, then you will free up some money. It is still verse two to what extent the latter can be used, but this gives some extra investment space. This also fits in with the letter sent to the Chamber by Minister Blok voor Wonen and Rijksdienst at the beginning of October.
ParlaMint-NL_2015-10-14-tweedekamer-5.u17	Thank you for these answers. How does this whole proposal deal with the 7,000 reconfirmers? We have a number of people in the asylum-seekers' centres here, but I think there are also many people from outside Europe who will soon be given a status. Are they covered by the same scheme or are they suddenly given a home?
ParlaMint-NL_2015-10-14-tweedekamer-5.u18	Anyone who has or gets a status, of course, we want to get out of the asylum seekers' centres of the COA as soon as possible. Again, it is inevitable that we will first work towards this intermediate form of the municipal self-care arrangement. That doesn't mean that people are immediately eligible for a rental. Unfortunately, that just can't happen, regardless of what you think of that now and how desirable you think it is. It's just not gonna work to get people into a rental house. There aren't enough available for that. That's why we're working on an interim facility. Municipalities are very motivated to do so. We talked to them about this on Friday. Although it concerns status holders, it does have its effects on the financial resources available to you at that stage. Those are just the rules. Then these people flow to such a semi-permanent home. As far as we are concerned, this happens as soon as possible after that six months. That's when the assistance comes in. We want to organise them in such a way that we also have money to invest in those homes. In this way we try to address this whole in a just but also sober manner.
ParlaMint-NL_2015-10-14-tweedekamer-5.u19	Perhaps later it will be possible to indicate how those 7,000 relocation refugees relate to this. I take it they don't get a self-care arrangement or anything like that. That does not need to be stated now, but I would like to hear it again later. One thing has not become clear to me this morning. There will also be an amendment to the Housing Act to abolish the priority regime. Is there a political agreement that a number of houses should be built before that law enters into force? Or can work on completing the amendment of the Housing Act as soon as possible, and this is the CDA's preference? Then that priority arrangement is gone without a political deal in the background that at least a number of houses should be ready.
ParlaMint-NL_2015-10-14-tweedekamer-5.u20	No, we're doing everything as fast as we can. We're not gonna keep these things waiting for each other.
ParlaMint-NL_2015-10-14-tweedekamer-5.u21	I recall that almost two years ago, in a debate in preparation for such a Council, I asked the Prime Minister what we were doing with the refugees. Then he said it wasn't on the agenda and the cabinet would keep an eye on it. Today's question is, of course, whether we were well prepared. I also went through it with colleagues: last year we were told big numbers from the cabinet. I'll give you the number of 65,000. Now the system is wall-locked the moment we reach half that number. Does the Prime Minister think he was well prepared with the cabinet?
ParlaMint-NL_2015-10-14-tweedekamer-5.u22	I think we did the best we could. The numbers mentioned then had to do with the influx of Eritreans. Secretary of State Teeven then extrapolated on that. In my view, Mr Zijlstra has just pointed this out in an interruption by Mr Pechtold. Eventually, we managed to reset that inflow, so that those numbers didn't materialize. Now, however, we see the impact of a conflict in another part of the region, namely in the Middle East, in Syria. I just outlined some of the effects of this and some of the causes of this increased migration. Of course, the conflict has been going on for a long time, but there are a number of triggers in it which are now increasing this migration. I just outlined it. I also said that the inflow rates were up in July and August, but there's really a nod, a hockey stick up, starting at the end of August. I really can't make it prettier. In addition, I have drawn attention to the following. If you want to reserve homes for emergencies, I think it's politically illusory to leave 10,000 homes empty for that standard. We also don't leave azc locations empty in case they turn out to be necessary. I think we should be very real about that. That's politically impossible to chef.
ParlaMint-NL_2015-10-14-tweedekamer-5.u23	Can the Prime Minister explain to me the difference in problem between catching 65,000 Eritreans and as many Syrians?
ParlaMint-NL_2015-10-14-tweedekamer-5.u24	The difference is that we managed to stem the influx of Eritreans. That influx was May last year. I remember a number of times when we talked to the most concerned rulers about this. The Minister for Social Affairs, the Secretary of State and myself have been on top of it in order to examine with each other what measures we should take. At that time, border control and other measures have helped to reduce this influx. In the end, these flows have thus been moved to other countries.
ParlaMint-NL_2015-10-14-tweedekamer-5.u25	So the story is that we were expecting 65,000 Eritreans. Were we prepared for that or not? It's still unclear. Now we are dealing with less than half of Syrians and others and the system is so stuck that we have a problem every night. It's bullshit what the Prime Minister is saying here, isn't it? He probably thinks that if he keeps talking very quietly, everyone will believe what he's saying. Last year, the cabinet was talking about 65,000 people. Apparently, the big difference is that they were Eritreans. Now that they are mainly Syrians, the system is already completely confused in October with about 30,000 people. Who's gonna believe this? We were badly prepared. The panic comes largely from that 72-hour shelter, from dragging people from one place to another. That's what makes us feel like we can't handle it. The figures were much higher 10 or 15 years ago. That's when we could handle it. That's the problem, Prime Minister. That has nothing to do with the hassle of searching for a difference between the shelter of Eritreans and Syrians.
ParlaMint-NL_2015-10-14-tweedekamer-5.u26	And to think I have to talk to Mr. Pechtold all night about the Green Draeck... wish me luck.
ParlaMint-NL_2015-10-14-tweedekamer-5.u27	I did learn a word.
ParlaMint-NL_2015-10-14-tweedekamer-5.u28	The Prime Minister has the floor.
ParlaMint-NL_2015-10-14-tweedekamer-5.u29	Then I come to the answer to this question. With all due respect, Mr. Pechtold is really wrong. That's what I say in great friendship. Last year there was a very different issue. That had to do with the increasing influx in May. If you extrapolated it, you'd have reached 65,000. Soon it was possible to stop that influx. So we have never come close to such numbers and have not had to take any measures. You can now see that the numbers have increased somewhat since about June, July. However, it is still very manageable. I have already said it a few times in the debate: the nod in the figures will only be really visible from August onwards. We could almost show here the graph we looked at in a ministerial steering committee the other day. From August onwards, you will see a huge increase in the influx. This also translates into very high figures for the month of September.
ParlaMint-NL_2015-10-14-tweedekamer-5.u30	I look forward to tonight's debate on the king's budget. Let me say that I learned from this debate from the Prime Minister that you treat people who get a home and benefit from the state soberly.
ParlaMint-NL_2015-10-14-tweedekamer-5.u31	There is a bridge here between two debates that are dangerously dangerous.
ParlaMint-NL_2015-10-14-tweedekamer-5.u32	It was an advance on tonight's debate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u33	I hope to be there tonight, too, so I'm curious. I am now a little surprised by the fact that there is a great deal of fog in the agreements that have been made and the question of how to interpret them. I asked Mr Samsom exactly how I should read the expiry of the priority position for marketing authorisation holders. That is quite a step forward for the Labour Party. He specifically linked it to the fact that accommodation had to be provided first. Now I hear the Prime Minister say to Mr Buma: no, we are going to do it as soon as possible. It can't all be true. In the context of the question of whether we can create a little support for this big issue, not only in the Chamber but also outside, I think it is important that it is completely clear what the cabinet is doing. We need to know about each other so we can go for it with each other if we can wear it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u34	I have attended all the discussions in the coalition and I have been allowed to preside over some of them. I believe that the differences of opinion have been served in the first term of the Chamber. For example, it concerns questions like what purpose you have with austerity, whether it is a purpose or an effect and how you look at it. There are differences of opinion; that is true. But on all the kinds of themes we're talking about right now, there aren't any. For people with status who have passed from the asylum centre to the intermediate provision, i.e. self-care arrangements, both parties want to ensure that they can move as quickly as possible to housing that will be semi-permanent, simply because of the shortages. You have to deal with this very pragmatically, and you have to have municipalities doing customised work. It makes perfect sense if four or five single guys with superiors are housed. With a family with children, where there may also be problems in the family, you may do so differently. You want to make customization possible with the municipalities. That's why you need to get rid of that priority position, so you need to do both. The realization of the temporary accommodation facilities follows the self-care arrangements. This is not about building whole houses, but mainly about remodeling and making suitable, for example, vacant government offices. It's not something you realize tomorrow, but it doesn't take years; that can be quite fast. That's why we think you can do both at the same time.
ParlaMint-NL_2015-10-14-tweedekamer-5.u35	However, I note a different explanation than when I asked Mr Samsom a very specific question. I think it is important that we not only know about each other what is going to happen in the elaboration, but also what is the basis of what we agree with each other. I find it annoying when there's fog around it and it's going to be some kind of word game. It seems to me, for the support of the Chamber and beyond, bad to deal with such a subject in this way.
ParlaMint-NL_2015-10-14-tweedekamer-5.u36	I believe that Mr Samsom has said the same thing I heard him say in the talks in the coalition, namely that he can live with it very much if there are more houses. That's what we're gonna do. But if homes are available to people on the waiting list, you have to realize at the same time that you also have to solve the problem of the people who have to flow through the interim provision of the care arrangement. So you also have to make a sensible weighting for that. But you have to want to get rid of the right of priority, so municipalities can actually apply customization. I think this is the strength of this coalition agreement.
ParlaMint-NL_2015-10-14-tweedekamer-5.u37	It is, of course, a question of misery if I am going to try to clarify it here, but I am doing it because Mr Slob is so committed to clarity. I understand that, but Mr Slob has left this question behind. Let me try to explain again what I just said. I referred to the motion of the VVD. It states that priority status should be removed, taking into account the need to continue to guarantee flow, because if it gets stuck somewhere else, it is not going well. So the timing seems pretty obvious to me. The bill's coming this way. That always takes a while, but it's okay to start right away. At the same time, starting tomorrow, as far as I am concerned, from yesterday onwards, I am looking at the Secretary of State for the construction of new homes.
ParlaMint-NL_2015-10-14-tweedekamer-5.u38	Exactly.
ParlaMint-NL_2015-10-14-tweedekamer-5.u39	So we'll do both at the same time. Then one doesn't compromise the other. I said at the time that it is not a matter of time, because you can do both at the same time to make sure that one does not get in the way of another.
ParlaMint-NL_2015-10-14-tweedekamer-5.u40	If the Prime Minister agrees, the question was.
ParlaMint-NL_2015-10-14-tweedekamer-5.u41	Yes, 100%, I can tell Mr Samsom through you, Mr President.
ParlaMint-NL_2015-10-14-tweedekamer-5.u42	Then let's get back to the first term. I have not yet read the shorthand report, but Mr Samsom said very clearly at the time: then there will be those homes, then there will be no need for them. That's really different from what he's saying here. He's about his own words. If this party wants to do so, that is her choice, but if she chooses to follow the VVD in this to do so, then I think she should just say so. It should not then become a game of words on a rather crucial part of these plans when it comes to the impact on housing, because then I will also hesitate about the words that have been spoken here that the foundations of our foreign policy are still in place and that we will stick to international agreements on refugee treaties and so on. If that's the way it is...
ParlaMint-NL_2015-10-14-tweedekamer-5.u43	I didn't hear any further questions. If the Chamber is going to look for differences between the Labour Party and the VVD, then I'd like to give you a hand, because there are a lot of them. However, in the context of this particular issue and the coalition agreements, it is precisely as far as austerity is concerned in the first term of the Chamber. There is a difference of opinion about the purpose of the policy but not about the measures. That's the way it is in a coalition. There will be more times when we come to common action from different policy perspectives.
ParlaMint-NL_2015-10-14-tweedekamer-5.u44	The CDA wants to know what it's doing now. Mr Samsom is now coming forward with a very clear message: the path of the law may be used. He clearly does not say: that law must be dealt with as soon as possible. And it needs to be dealt with as soon as possible.
ParlaMint-NL_2015-10-14-tweedekamer-5.u45	Yeah, that's what he says.
ParlaMint-NL_2015-10-14-tweedekamer-5.u46	No, that's the point. The Prime Minister and Mr Samsom can try to discuss the same thing, but Mr Samsom clearly states that we need to build first, but the point is that this is not going so fast. There is no reason why people who are already on a waiting list in the Netherlands should not be given the same opportunity as asylum seekers. So that change of law has to come. The CDA's willing to cooperate, but they're willing to cooperate with something we can support. You can have that law done in a week. It's a word that needs to be out of that law. To the Chamber, the Council of State, deal with and introduce and so do not gradually deploy that route and then build it. I just want it to be disconnected, and I want the Prime Minister to say so now.
ParlaMint-NL_2015-10-14-tweedekamer-5.u47	It's two tracks that aren't linked, but both are done with great urgency. On the one hand, the approximation of the law. On the other hand, work very quickly now to realize those semi-permanent housing facilities in, for example, vacant offices or other real estate and possibly also demountable construction. We can do that soon. So we're not talking about bounty-A housing here, like we developed in the 1980s, where you first needed a plan decision. Since Melanie Schultz's beautiful legislation it will be a lot simpler, but that took a lot of time. This can all be done very quickly. So both that legislation can quickly, as can working on that semipermanent housing. And you should. It is important in view of the agreements with the municipalities to transfer around 10,000 people to these self-care arrangements. That's basically six months. Then you also want to be able to solve these problems after that six-month period, and there is another pressure on the housing market. But I can see that Mr Buma has already been reassured.
ParlaMint-NL_2015-10-14-tweedekamer-5.u48	What is the purpose of these agreements?
ParlaMint-NL_2015-10-14-tweedekamer-5.u49	The aim is to ensure that we achieve more housing opportunities for people with urgent needs in the Netherlands as soon as possible. There are people on the waiting list where it is urgent, even from a municipal perspective, to help them get housing. By the way, the current law leaves room for that. It is not the case that asylum seekers always go first. That image doesn't add up. It is true that there is a customization in it. What you really want is that you can make that customization much bigger and wider. I can assure Mr Klaver that there is certainly no ideology behind it in the sense of 'as many houses as possible' or 'the people looking for their own homes first'. It's really meant to be pragmatic so that you get enough places where people can live and to make sure corporations and municipalities can build customised work.
ParlaMint-NL_2015-10-14-tweedekamer-5.u50	This is important. The objective that the Prime Minister is now pointing out is to increase housing, to ensure that there is a flow from the azc's. The key question then is: how many additional places will be created next year for status holders and for asylum seekers? We can have a big debate here about why we were not prepared, about why it went wrong in the Orange, but how do we ensure that we do not face the same problems in 2016? I compliment the Secretary of State; I think it's great how it's managed every night so far to give people a roof over their heads. There was talk of 10,000 additional homes that should be there, but with the influx of these weeks they are full after about three weeks. How many extra spots will there be in 2016?
ParlaMint-NL_2015-10-14-tweedekamer-5.u51	Now Mr Klaver is confusing the same things. I get that, because it's extremely complex. I'll sort it out again exactly. That number of 10,000 concerns the self-care arrangements, the transfer of status holders who are still housed in asylum seekers' centres. That is in principle for six months, because the municipality is strictly formally held to help a status holder to a house. Dijkhoff can say: I'll put them on the sidewalk at City Hall. But of course, that doesn't lead to anything. We all know there's just a shortage of homes. That is why we want to leave the formal rules to the formal rules. We are aware that we must look for unorthodox solutions. First of all, we have this intermediate form of self-care arrangements. We could do that for about six months. In the financial sense, you are still covered by the azc regime. Then one goes to such a semipermanent shelter. The ambition is, of course, to achieve a lot, but we want to talk to the corporations first. It is not the case that we decide that. It really is a joint decision, at least tripartite with municipalities, corporations and cabinet. I'm not going to name numbers for that. We'll talk first.
ParlaMint-NL_2015-10-14-tweedekamer-5.u52	I get it. I get it. It is fine that the Prime Minister will explain it again, but I understand that in the first half of the year there will be a little more "slightly more" space with 10,000 places. The question is, what's next? How many extra semi-permanent spots are going to be built? The Prime Minister speaks of a strong ambition, but cannot name numbers. When are we gonna know about this? I understand you need multiple parties to realize this, I understand the Prime Minister can't promise that he'll build 50,000, 80,000 or 100,000, but what's the ambition? What does the cabinet see as necessary to ensure that we do not face the same acute reception problems next year? How many are there?
ParlaMint-NL_2015-10-14-tweedekamer-5.u53	One of the advantages of my first lustrum celebration in this job is that I am even more aware that words have their meaning. If I were to mention numbers here as a commitment or as an objective but not as an obligation to achieve results, they would still have their own lives. With this I do not promote a successful consultation with municipalities and corporations. I really don't do that. I agree with Mr Klaver that we want to tackle not only the problem now, but also that of the coming months and the coming year. We are in complete agreement on that. But he wants to hear me say a number of things, and I say: don't do that, because that doesn't help us find the right solution.
ParlaMint-NL_2015-10-14-tweedekamer-5.u54	This is the case in many complex cases: we should not ask too much for that, we should give the Prime Minister room for manoeuvre. The central question is: how much is needed? That information should be shared by the Cabinet with the Chamber. How many extra homes do you need? I'm not asking for ambition, I'm just asking how many extra homes are needed.
ParlaMint-NL_2015-10-14-tweedekamer-5.u55	It's in the letter sent yesterday. That's exactly what it says.
ParlaMint-NL_2015-10-14-tweedekamer-5.u56	What's that? The Prime Minister likes to refer to it, but what are we talking about?
ParlaMint-NL_2015-10-14-tweedekamer-5.u57	It's in the letter you received yesterday. I don't have it right here.
ParlaMint-NL_2015-10-14-tweedekamer-5.u58	I'm asking the Prime Minister. I probably can't read well, but the Prime Minister's referring to it. Then there's the number. He does this all the time...
ParlaMint-NL_2015-10-14-tweedekamer-5.u59	That's what you'll get in second term. I will reread the letter you received yesterday on this point.
ParlaMint-NL_2015-10-14-tweedekamer-5.u60	Not in the second term, I want it in the first term. I understand that this has to be looked up, but it is important for me to be able to carry out a good second term.
ParlaMint-NL_2015-10-14-tweedekamer-5.u61	Don't be so grumpy.
ParlaMint-NL_2015-10-14-tweedekamer-5.u62	Chairman...
ParlaMint-NL_2015-10-14-tweedekamer-5.u63	Prime Minister, Mr Klaver has another question.
ParlaMint-NL_2015-10-14-tweedekamer-5.u64	Mr President, I am asking for a figure. The Prime Minister is referring to a letter. He doesn't even know what grade it is. Then he says: I will return to it in the second term. I'm trying to point out that I care that I hear this from him in the first term. And then he talks about bickering and he goes on with his story. No, I'm asking a question. And I'd like an answer to that. Is it possible for me to hear that figure from the Prime Minister in the first term?
ParlaMint-NL_2015-10-14-tweedekamer-5.u65	I'm gonna do my best. I responded more to Mr Klaver's somewhat crippled tone. The discussion before that was very pleasant.
ParlaMint-NL_2015-10-14-tweedekamer-5.u66	It's another debate like bed-bath-bath-bread. There is uncertainty and hassle again, then we stand here and we get a letter very shortly in advance that you can go all the way with. We ask through this, that is our job. I would like to say: let's just take a moment, and then we'll hear that number. A two or three-minute break and then we'll hear it.
ParlaMint-NL_2015-10-14-tweedekamer-5.u67	No.
ParlaMint-NL_2015-10-14-tweedekamer-5.u68	Yes!
ParlaMint-NL_2015-10-14-tweedekamer-5.u69	Mr Pechtold, the Prime Minister has said that he will return to it in the second term. After further questions from Mr Klaver, he said he would do it as soon as possible. He also said in the past that he would reply in the second term, but then those answers came in the first period. You want it as soon as possible and the Prime Minister has heard it. It's the most practical thing he's gonna do, the answers are coming as soon as possible.
ParlaMint-NL_2015-10-14-tweedekamer-5.u70	It's just a pattern. If you ask if we're well prepared, you get a monologue, but you don't get an answer. If Klaver asks about those houses, he gets a monologue, but he doesn't get an answer.
ParlaMint-NL_2015-10-14-tweedekamer-5.u71	In this case, the Prime Minister has promised an answer. You have expressly asked for it, he has promised it, and I will see to it that it comes as soon as possible. It seems pragmatic to me that we should continue with this debate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u72	This is not necessarily the answer to Mr Klaver's question about the number of houses and the number of places we seek. I insist that it is important to wait for Friday's consultation of the corporations, municipalities and cabinet. The letter from the Secretary of State to the Chamber does mention the numbers related to it. On October 1st, that's the famous 14,000. Those are the people who are now in the COA and should actually continue to flow. That's where the 10,000 places at the self-care arangements are focused. I believe that there were other figures in that letter, which we will mention here in the first term. You will. Mr Slob asked about the resources. I discussed this yesterday in the First Chamber with his colleagues in the political groups and with other parties, and two things are important. With regard to ODA, we stick to the existing agreements. In principle, the first year is paid because it is covered by ODA. We will continue to pay that out of these budgets. This has not so far led to any kind of austerity elsewhere, because the economy is also growing and therefore the ODA budget has more room for manoeuvre. The second point is the question of when the adjustments will be made. Other questions have been asked about this. We intend to come to the Autumn note with further information on what this means in financial terms with regard to the asylum influx, both in 2015 and through to 2016. We are talking about both direct costs and a number of additional costs. This is in line with the commitment I made in the general political considerations.
ParlaMint-NL_2015-10-14-tweedekamer-5.u73	Do you account for 300,000 asylum seekers for 2016?
ParlaMint-NL_2015-10-14-tweedekamer-5.u74	I don't have numbers for 2016. In this letter we mentioned the number for 2015, but not yet for 2016.
ParlaMint-NL_2015-10-14-tweedekamer-5.u75	The group chairman of the largest party says on TV and in this debate that it is possible that we will be able to get 300 000 people this way in a year, that a city the size of Utrecht should be built up. The Prime Minister announces that the figures will be adjusted. This year, the budget was cut back on reception. Many groups have said that this was not sensible. Now someone is asking us that there could be 300,000, and that is quite an attack on the budgets. Do you consider numbers of that size?
ParlaMint-NL_2015-10-14-tweedekamer-5.u76	Again, I don't have any new updates for 2016, only for 2015.
ParlaMint-NL_2015-10-14-tweedekamer-5.u77	So that's running away from something that's happening here. The VVD throws a bomb, panic, 300,000, and then the PM says he doesn't have any numbers. Either he says: they are real figures; it can come close to that. We are now at only 10% of what is predicted. So I am asking about the reality of the figure of 300,000. Can the Prime Minister say that? Does he think it's possible for 300,000 people to come this way?
