ParlaMint-NL_2015-01-20-tweedekamer-19.u1	I welcome the Secretary of State for Economic Affairs in our midst.
ParlaMint-NL_2015-01-20-tweedekamer-19.u12	Yeah, I'd like that.
ParlaMint-NL_2015-01-20-tweedekamer-19.u13	Thank you very much. As far as Mrs Dikkers is concerned, does this also apply to the standards that we apply here, but which have not yet been explicitly imposed on exporters, or to importers if we look at them from this point of view?
ParlaMint-NL_2015-01-20-tweedekamer-19.u14	I find it extremely difficult to meet no explicit requirements. I find that very difficult in daily traffic. So it seems to me to be very complicated for exporters of meat.
ParlaMint-NL_2015-01-20-tweedekamer-19.u15	I would like to ask a brief final question. Is that okay, Mr. Chairman?
ParlaMint-NL_2015-01-20-tweedekamer-19.u16	You've already put three or four. Very briefly, please.
ParlaMint-NL_2015-01-20-tweedekamer-19.u17	I've been talking for a while. I apologize for that. I'll get to the transport requirements. Should we also impose the standards we apply in Europe for the transport of animals as a requirement for the import of meat? It's all about abattoirs now. Actually, I think that's too skinny.
ParlaMint-NL_2015-01-20-tweedekamer-19.u18	I think that's too skinny. I would very much like the transport requirements to be used in the import. We understand that there are legal obstacles. We are very keen to see what legal obstacles are involved.
ParlaMint-NL_2015-01-20-tweedekamer-19.u19	Mr Bashir of the SP would like to speak. Anything else you'd like to say about a special kind of bitterball picker?
ParlaMint-NL_2015-01-20-tweedekamer-19.u20	No, I've heard good news. I have heard that the PvdA Group is in favour of a moratorium. Will it table a motion or at least a proposal on this in the second term? Let me get this straight.
ParlaMint-NL_2015-01-20-tweedekamer-19.u21	We have to wait and see what the Secretary of State has to say about it. Then we'll see in second term.
ParlaMint-NL_2015-01-20-tweedekamer-19.u22	That'd be great. I am also curious to hear the answer from the Secretary of State, but if she does not agree, I expect action from the PvdA Group.
ParlaMint-NL_2015-01-20-tweedekamer-19.u23	I didn't hear a question, Mr. Chairman.
ParlaMint-NL_2015-01-20-tweedekamer-19.u24	Very good. Thank you very much. I shall now give the floor to Mr Bashir, who is now giving his light to matters from another place.
ParlaMint-NL_2015-01-20-tweedekamer-19.u25	Mr. Chairman. Horses traveling thousands of miles without drinking water. Horses going on transport for days. Horses so broken they can literally no longer stand on their feet. Dying and wounded horses. In March 2014 there was a broadcast by Radar about the strange way in which horses were treated in Mexico, Canada, Argentina and Uruguay. The whole of the Netherlands was shocked. Eyes on Animals revealed that horse meat lands on the plate of Dutch consumers, consumers who do not want it this way. Two days after the publication of the research report, more than 65,000 people had already made their call to Dutch snack producers and supermarkets to stop selling this kind of horse meat. The European Food and Veterinary Office, the FVO, has now investigated malpractice in Mexico, following which an import ban has been imposed on horse meat from that country. Way to go! But in Canada, Argentina and Uruguay, it's just as bad. I therefore ask the Secretary of State why horse meat can be imported from these countries. For example, the FVO has said about Canada that the situation at Canadian horse slaughter is unacceptable. Is the cabinet sufficiently aware of the facts, as laid down by the FVO? After all, the letters of the cabinet do not correspond at all to what the FVO says. Is the cabinet prepared to argue in Europe for a moratorium on imports of meat from these countries? Would the cabinet like to set this up for the next LNV Council? Dutch horse meat is subject to a lifetime registration of drug use. In the case of the import horses this need only be kept for the last six months. Is there not an uneven playing field here? This is not only detrimental to European entrepreneurs, but it is also a risk to public health because horses are regularly injected with phenylbutazone. This medicine is dangerous for people's health and can cause leukaemia. There is a zero tolerance policy in Europe. Why should meat be imported which may contain phenylbutazone? Why can it not be established that horses cannot be imported if the use of drugs has not been kept for life? Dutch and European entrepreneurs suffer from competition from meat importers who have poorer animal welfare and food safety standards. Our entrepreneurs are under pressure to lower their standards. What is the Secretary of State doing to create a level playing field? In practice, trade agreements are all too often liberalised and standards of food safety, the environment and animal welfare are abandoned. Does the Secretary of State agree with me that this is a bad thing? Will the government put non-trade groups, such as animal welfare and the environment, on the agenda for WTO negotiations? Is the government prepared to get matters such as food safety, consumer interests, the environment and animal welfare into trade agreements? For example, there will be a free trade agreement with Canada. Eyes on Animals reported that animal welfare and food safety in Canada are not as good as horse meat. What has been the government's commitment to this? Will the Secretary of State promise that the government will now work in free trade agreements to maintain European standards and raise foreign standards? In this context, I would also ask the Secretary of State to update the TTIP negotiations with the United States. Can the Secretary of State answer that?
ParlaMint-NL_2015-01-20-tweedekamer-19.u26	Mr. Chairman. This is a debate that goes in all directions if we are not careful. It will be a great challenge for the Secretary of State to respond to this. The debate on the admissibility of horse meat on the Dutch market was requested at the beginning of last year in response to reports on the unclear origin of horse meat and the manner in which horses are kept in the countries concerned. It concerns horse meat from North and South America exported to Europe and which is mainly found in the Netherlands, Belgium and France in the food chain. For the VVD it is clear: food should be safe. The origin of food and the way food is produced must be transparent. In this case, that is how the horses are slaughtered and the meat is processed. I therefore have a number of questions to the Secretary of State on this matter. In the report it was stated at the time that the European Food and Veterinary Office, the FVO, has only announced checks at slaughterhouses once a year and also in advance. In a reaction from the cabinet, we have read that this is correct. Does the Secretary of State consider that the FVO is carrying out its task as a European Food and Veterinary Office in a good and responsible manner? To what extent does this affect food safety? How much attention is paid to this within the European Commission? Where are the responsibilities for managing this service? Is the Secretary of State prepared to discuss with her European colleagues the checks and the way in which they are carried out and the risks to public health? I ask these questions particularly in the light of NVWA and the Dutch controls. In addition to food safety, my group believes that a level playing field is important. Companies that can produce under much less stringent conditions can do this more advantageously and put our Dutch but also our European entrepreneurs at a disadvantage in this case. As an individual country, the Netherlands cannot impose animal welfare requirements and a number of other rules. How can the Secretary of State influence the level playing field for entrepreneurs, both within and outside Europe? I cannot leave it in this debate to dwell briefly on fraud. If meat or other food is not placed on the market properly, or if another product is sold, it must be fought hard. We have rightly talked about the Dutch market a number of times, but to what extent does the European service have sufficient instruments available to tackle countries or slaughterhouses that are failing to comply with European rules? My group wholeheartedly supports Mr Geurts' suggestion. I think it would be good to bring together a number of debates to discuss the issue in a broad sense.
ParlaMint-NL_2015-01-20-tweedekamer-19.u27	I hear Mrs Lodder's fine words about the consumer's freedom of choice. We need to be able to choose what we eat. We must also be well informed about this. That is what Mrs Lodder said, above all: the consumer must be informed about where the meat comes from. Does this mean that I find Mrs Lodders on my side in extending the labelling obligation so that we know where the meat comes from and that the consumer can actually make a balanced choice?
ParlaMint-NL_2015-01-20-tweedekamer-19.u28	I have said the exact words that the origin and the way in which food is produced must be transparent in this case how the meat is slaughtered and processed. This should be clear, particularly for the control bodies. We have spoken before and more often in the Chamber about extending labelling. We've had these interrupting debates with each other. If we are not careful, we will have either a fold-out label with the different products or those ridiculous pricks in the bitterballs in the pub. My group is not in favour of that.
ParlaMint-NL_2015-01-20-tweedekamer-19.u29	So I understand that the VVD Group believes that the origins should be made clear, but that we as consumers should not know that. That's actually what I can conclude.
ParlaMint-NL_2015-01-20-tweedekamer-19.u30	When we see how things are organized in our own country, we can trace back meat. Meat can be traced very quickly. That transparency is there. I believe that this should also be done abroad. In this context, I have also raised the issue. So it has to be clear and traceable.
ParlaMint-NL_2015-01-20-tweedekamer-19.u31	The VVD and the Party for Animals do not agree very often, but they do agree that when you set standards, everyone has to comply with them. If we abolish the batteries here, we do not think it fair for producers from other countries to be able to enter the European market. That's not fair to the entrepreneurs. Does the VVD think that we should also set the standards for slaughter and transport in Europe at the border? Otherwise we will be flooded by meat from producers who do not have to comply with those rules. That is simply not fair from the point of view of a level playing field.
ParlaMint-NL_2015-01-20-tweedekamer-19.u32	I have responded to this in my text. I have indicated that the Netherlands cannot impose additional requirements individually. I assume that, given all the other questions that have been asked, the Secretary of State will respond to this. We call for a level playing field. We've had this debate with each other before. My group believes that we are making very high demands in the Netherlands, also in relation to fellow countries around us. We would like to see that level playing field. Whatever's in our power should be addressed. However, it must be possible, once again. Mrs Ouwehand proposes that the Netherlands opt for a moratorium individually. If that is not legally feasible, it cannot be done anyway. If one individual country does so, there are still all kinds of other roads along which that meat comes on the market in the Netherlands.
ParlaMint-NL_2015-01-20-tweedekamer-19.u33	We can go a long way with each other. The VVD sees difficulties where the Party for Animals still sees opportunities, but if I call on the Secretary of State to commit to a European import ban, if we cannot ensure that imports of these products meet the same requirements as the requirements we impose on our own entrepreneurs, the VVD can support us in that. That's what I'm deriving from Mrs. Lodder's story.
ParlaMint-NL_2015-01-20-tweedekamer-19.u34	I have mentioned two points. I have asked questions about controls by the European service of the slaughter process and processing in such countries and about the level playing field. I suggest that we await the answer to these questions by the Secretary of State first. I would also like to see how she responds to the other questions that have been asked. Then we'll see each other again in second term.
ParlaMint-NL_2015-01-20-tweedekamer-19.u35	Mr. Chairman. We are discussing an important issue here today, because if you go a little wider than horse meat, you will see how complicated our food chain is currently organised. We regularly eat a bitterball in the Netherlands, at least some of us, but we do not realize that this bitterball was created by treating horses horribly in a very far country. This case shows that very well. Many people were shocked when the broadcast of Radar appeared on television at the end of March. We have asked this Secretary of State and the Minister of VWS for clarification: how can this be done, what about the controls and so on? In addition, I noticed the following, which you also read back in the letter in so many words. The checks, the structures, the schedules and the certifications are all extremely sound on paper, but the practice is very different from the paper reality. That's what the broadcast showed. The cabinet itself wrote that on page 5 of the letter: "The images shown in the media would show that horses are not treated in slaughterhouses of third countries in accordance with European legal requirements for animal welfare. However, this picture is not confirmed by the official reports of the latest inspection missions of the European Commission Audit Service, the FVO." In my view, there is only one reality, the reality we have seen in the images on television. The paper reality is very different. Does the Secretary of State share that view? If we share that view, another key question will emerge. Mrs Lodders already asked this question in so many words: what on earth is the control of the FVO? Quantitatively, the controls do not impress me. They're being announced, for God's sake. Always reminds me of my college days. If my mother called with the announcement that she was coming by again on Sunday, the student house was of course spic and span that Sunday, while Saturday was still a relatively mess. That's what it must have been like here. How does the Secretary of State view these controls? Aren't they too skinny? Does it need a tooth or does it have to be completely different? Is the Secretary of State also prepared to find supporters of this in a European context? Finally, I would like to raise a third issue. I think it would be good to show from the Netherlands that we are serious. Of course, this cannot be done by declaring an import ban, because this leads to all kinds of legal issues. However, the Dutch Government could make an effort to explore the contours of a European import ban. That is an important threat. In this way, we could take a step towards reducing this kind of miserable situation. So, very simple: three questions. One, the paper tiger versus reality: what is the position of the Secretary of State? Two, the controls that actually have nothing to do with really hard controls, and three, the exploration of a contour for a European import ban.
ParlaMint-NL_2015-01-20-tweedekamer-19.u36	I'm suspending the meeting for ten minutes to allow the Secretary of State to prepare her response.
ParlaMint-NL_2015-01-20-tweedekamer-19.u37	Mr. Chairman. Thank you very much. This debate was requested a long time ago. Nevertheless, I will try to answer in three blocks. It should be noted, however, that some of the questions you have asked are the responsibility of other rulers, who have not been invited today. The issue of labelling and everything related to imports are in the VWS field. The TTIP negotiations are the prime responsibility of the Minister of BHOS, but I will try to say something about them. I hope that the Chamber will forgive me for referring in part to these rulers, with whom the debate can continue. The first point of my three blocks is the relationship between horse meat and food safety. The second point concerns the issue of animal welfare and the third part of my response is specifically about control and enforcement. The first questions asked by Mrs Ouwehand were about how to prevent the consumption of horse meat from creating a risk to public health. Meat and also horse meat sold in supermarkets must comply with food safety regulations. These are rules that we have agreed on in the European Union, and NVWA is monitoring them. We have had the horse meat affair and we will undoubtedly talk about it again in some time. Mr Geurts already recalled that. The NVWA considered in 2013 that the public health risk due to the consumption of that horse meat is nil. That is different than that we agreed, because fraud involving meat is unacceptable; let that be absolutely clear. The subsequent monitoring carried out in many EU countries found no traces or risks of certain resources. We didn't find any major forms of drug residue. As I have said, fraud involving meat is unacceptable and I am committed to it. We have the NVWA's improvement plan and we are strengthening cooperation at European level. We will also, together with VWS, look forward to an extensive debate with you on the approval and supervision.
ParlaMint-NL_2015-01-20-tweedekamer-19.u38	Madam Secretary of State, there are people watching this debate at home. May I invite you to say every abbreviation once in full? The NVWA is the Dutch Food and Waren Authority. I've also heard BHOS and TTIP coming by. I'll leave that for what it is. However, I would ask you to pay a little attention to this.
ParlaMint-NL_2015-01-20-tweedekamer-19.u39	You're absolutely right. I'll do my best. Mrs Ouwehand has asked for a Dutch or European ban on imports of horse meat. She would like to hear a promise. Horsemeat from third countries, i.e. countries outside the European Union, must comply with European rules on food safety and animal welfare in the slaughterhouse. I'm just saying it's very specific. This is monitored by the regulators at the external borders. Horse meat, for example, must not contain phenylbutazone, which is a prohibited product. It has already been said that Dutch and European investigations have given no reason to believe that there is a major problem at this point. Mrs Dikkers asked whether we in the European Union would like to make a commitment to the origin labelling of horse meat. The VWS Minister had the debate on this with the Chamber earlier and found that from 1 January of this year compulsory origin labelling applies to meat; pig, chicken and I also believe goat. That doesn't apply to horse. The VWS Minister said about the labelling of meat as an ingredient, that she is in favour of labelling on her own but also calls for attention to be paid to its practical feasibility. The debate on this is still in progress in Brussels. I therefore ask the House to hold that debate at another time. It's just not finished yet. We have had some of this discussion in the Chamber. Mrs Dikkers also asked me if I would like to talk to the supermarkets about abuses of meat coming from South America, for example. Last year, supermarket chain Jumbo took action and even inspected slaughterhouses in South America. It is really up to private parties to talk about purchasing conditions, especially when it comes to requirements that are not part of the legal European import requirements. I'll say something about that later. The tricky thing is that in terms of food safety it is really much better possible to sail sharply than in terms of animal welfare requirements. This is one of the reasons why the Dutch Government is calling on the World Trade Organisation, the WTO, to make animal welfare requirements part of the requirements imposed on other countries. However, that is not the case at the moment. Mrs Dikkers says that traceability of meat needs to be improved. That is indeed very important. Under the General Food Law, companies must be able to trace the meat back and a link forward. That's how we arranged it. In the Netherlands, the NVWA pays much more attention to the monitoring of traceability as a result of the horse meat affair. That is also included in the improvement plan. I come to the issue of animal welfare. I would like to begin by echoing what Minister Schippers said in connection with the images we could see on television of the horses slaughtered in Mexico. In this context, Mrs Ouwehand has asked: what has actually happened and how can we eliminate such practices? Once again, imports of meat into Europe are controlled from the European Union. That control shall be carried out in slaughterhouses exporting meat. The route before slaughterhouses, in particular everything related to animal welfare, including transport, is excluded from those controls. That is something of the World Trade Organisation and animal welfare is not part of it. It is therefore important that private parties also make bilateral agreements to take responsibility in this area. The European Commission does appeal to third countries, for example, to the welfare of horses in transport, although the European Commission cannot legally enforce this. Mr Geurts asked about the current state of animal welfare in so-called third countries. Animal welfare in slaughterhouses and the surrounding parcels in third countries is being investigated by the controlling food authority, the FVO, that is to say the European NVWA. I mentioned just now that the EU Commissioner has suggested that we should focus on animal welfare outside, but there is no power to make demands. Mr Bashir referred to free trade agreements. The European Commission will always raise these animal welfare issues there. It does so, inter alia, at the request of Member States such as the Netherlands. The Netherlands insists on this. The agreement with Canada agreed that the European Union and Canada would cooperate in the field of animal welfare. And several ministers of our cabinet have said several times in this Chamber that, for example, in the negotiations on the treaty with the United States, sustainability and animal welfare are very important values for us, which we want to maintain. The discussions on that free trade agreement are still ongoing. As soon as news is available, Minister Ploumen will, of course, inform the Chamber. Mrs Lodders noted that a level playing field for entrepreneurs within Europe, but also between European entrepreneurs and those outside it, was important. It also indicated that the Netherlands, as an individual country, cannot impose requirements, for example, on animal welfare standards elsewhere, in third countries. This also applies to the European Union as such. In any case, we are trying to make the same demands on animal welfare within the European Union or, where we are at the forefront, we have seen this recently with the summit on which we have drawn attention to what we are doing in the Netherlands to see how we can give it a place in the rest of Europe. For example, intervention in animals. Then I'll come to control and enforcement.
ParlaMint-NL_2015-01-20-tweedekamer-19.u40	The Secretary of State is actually saying that we are not dealing with animal welfare policy in other countries, and I am not getting involved in that either. I get that. I just think the Secretary of State also understands that this leads to distortions of competition. Cheap kilo shots are easier to get through cheaply produced horse meat. I was thinking that it would help to look at what procurement requirements industry is making in relation to animal welfare. Actually, we don't have a visual on that at all. Does the Secretary of State agree with me that it would be helpful if we could get a little more insight and transparency into what kind of procurement requirements companies impose in relation to the relationship between meat from far away and animal welfare?
ParlaMint-NL_2015-01-20-tweedekamer-19.u41	Yes, but that is clearly a task that companies themselves must take on. I used the example of a large supermarket doing inspections in third countries. That shows that this is being taken on board. However, this is clearly a matter of values or demands for which we ourselves do not have a legal title to deal with them. It seems to me that supermarkets can show themselves what their demands are. They are absolutely free to do so.
ParlaMint-NL_2015-01-20-tweedekamer-19.u42	Now I happen to know from a conversation in the Chamber with this Secretary of State that one of these days she's sitting with the supermarkets to talk about the kilo-bullers. Is it prepared to ask how they do that and what purchasing requirements they impose on animal welfare? Is she willing to make a small inventory? Then it can be included in the already promised letter about the course of the conversation about the kilo-bullers.
ParlaMint-NL_2015-01-20-tweedekamer-19.u43	I do have a conversation with the supermarkets about stunting meat. We have also voted extensively on this today, you might say. However, I think it would be wise to concentrate the conversation on that too. That is an issue on which we have a view in the Netherlands. I do not think it is wise to add this topic to that conversation again on this route. I'm sure that conversation will be exciting enough. I do agree with Mr Schouw that it is of course fine if supermarkets would like to show that. But I do not think that we should put the issue of these demands on the table, even though we do not even have a start to be able to enforce anything legally, even within the European Union. I do not want to go beyond the observation that it is very important, including for our Dutch farmers, to have a level playing field.
ParlaMint-NL_2015-01-20-tweedekamer-19.u44	On that last point, I am a little disappointed that the Secretary of State says that it will be very difficult to make those animal welfare demands. I would like to ask her whether she believes, in principle, that the European requirements and the commitment should apply to products we import. That it can't be arranged tomorrow, I get it. This is also about her commitment in the field of transport, for example. My second question concerns the existing rules which must in any case be complied with in the abattoirs. We see that these agreements are not being kept. Is the Secretary of State prepared to use this information under the arms of Europe to say that a moratorium is appropriate until European requirements are met? Does she want to see if she can find support for that, if she can get the legal options in order? I ask this because she herself says that the level playing field is so important.
ParlaMint-NL_2015-01-20-tweedekamer-19.u45	These are a few questions in one. Yes, it is very important that we put pressure on third countries, where that meat comes from, to get their animal welfare agenda in order. What we are doing is to advocate, within the World Trade Organisation, that animal welfare should become a so-called non-trade group. That is indeed a long-term issue, but that does indicate where we stand in principle. That is the first answer to your question. Then you say that a number of things are not in order and that is why you want a moratorium to be advocated. I will explain in a moment how this works with supervision and control. I agree with the Chamber that there are still a number of achievements that can be made to improve this. But it is not feasible to ask for a moratorium, because you see that it is not an easy matter to get an import ban, even if there are residues in the meat, as was the case in Mexico, and you can actually get them on food safety. Countries in the system always have time to put things in order. Starting with a moratorium, when you cannot prove that it is not in order, is therefore an impossible route with the current European rules.
ParlaMint-NL_2015-01-20-tweedekamer-19.u46	That is very acidic, because we do see that the ban...
ParlaMint-NL_2015-01-20-tweedekamer-19.u47	Any comprehensive political conclusions can be drawn in the second term. Do you have a question?
ParlaMint-NL_2015-01-20-tweedekamer-19.u48	Yeah, I have a question. I want to know from the Secretary of State whether she really says here that the European rules are working as follows. We make agreements with third countries and tell them what slaughter conditions must be met and what food safety standards are. However, if they are not achieved, we can hardly perform. And if we do it already, as in the case of Mexico, where we already see that production is moving to Brazil, from which there is no import ban, then we have to run after it with our enforcement authorities; then we have to let these guys, so to speak, constantly check whether they are complying with the commitments that have been made with Europe.
ParlaMint-NL_2015-01-20-tweedekamer-19.u49	I have a whole set of answers to all kinds of questions about how it works exactly. I suspect that I can answer these questions from Mrs Ouwehand and a number of others, such as: what can we do to improve the situation?
ParlaMint-NL_2015-01-20-tweedekamer-19.u50	Then I suggest we wait for that.
ParlaMint-NL_2015-01-20-tweedekamer-19.u51	I would like to return to the interrupting debate that the Secretary of State had with my colleague from D66. She said: I do not have a legal title to talk to retail, because we do not yet have a policy on it. But, of course, we do have policies in Europe on the transport of slaughter cattle. Couldn't that be a topic of conversation?
ParlaMint-NL_2015-01-20-tweedekamer-19.u52	Yes, but it is very far-fetched to link that back to purchasing conditions for third-country slaughtered cattle, where the discussion is not so much about how the cattle were slaughtered as about how it was treated before it was slaughtered. It is precisely on that last route that we in Europe have no influence.
ParlaMint-NL_2015-01-20-tweedekamer-19.u53	I would like to see that changed, because I find it extremely unsatisfactory. Since the Eyes on Animals report shows that there are abuses there, I would very much like us to do something about it.
