ParlaMint-NL_2015-04-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2015-04-28-eerstekamer-6.u12	I listened with interest to Mr Vos' speech. Does the Group of the Greens/European Free Alliance also believe that landboundness has been wrongly separated from the concept of grazing? Groundboundness was initially intended to guarantee grazing, but has actually turned into a pubesque, which can lie far from the farm, even in Germany or Belgium. Does Mr Vos agree with me that landboundness in that legislation should be defined in such a way that there is a relationship with grazing? Does she agree with me that it shouldn't be: if you have a patch of land somewhere, is it okay?
ParlaMint-NL_2015-04-28-eerstekamer-6.u13	I agree with Mr Koffeman. A relationship with pasture must be established. That's what I just said. It's broader, by the way. It is also a question of being able to put its manure on its own round and to produce its roughage on its own soil. As far as we are concerned, it is therefore a broader concept, but it is a basic condition for sustainable livestock farming, of which grazing is a crucial part.
ParlaMint-NL_2015-04-28-eerstekamer-6.u14	Mr. Chairman. On 16 December 2014, the Act responsible growth dairy farming (33979) in the Eerste Kamer was treated as a matter of urgency and was adopted on the same day. This law entered into force on 1 January 2015. In December 2014 there was a long series of last minute urgent legislative proposals. In a letter dated 15 December 2014 to the President of the First Chamber, I wondered, among other things, whether the prescribed timetable offered me sufficient time to prepare as a representative of the people to carry out my controlling role carefully, i.e. properly. Moreover, I asked whether the alleged haste was justified in all cases. As one-man group, I was certainly not in a position to express a responsible opinion on some of those urgent proposals, including 33979. It has now become clear that far from all the legislative proposals presented as urgent in December 2014 were real. If the First Chamber is called upon to act as a matter of urgency on a legislative proposal, the government can of course be expected to proceed with at least the same urgency. Was that the case here? My group has the greatest possible doubt about this. In this case, it was an empty framework law, with the promise to present a General Administrative Measure by 1 March 2015 to further implement the implementation of this Framework Act. This unusual procedure was accepted by the First Chamber under pressure from the loss of derogation. However, the planned deadline for the AMvB for the dairy law of 1 March was not met. At the request of colleague Koffeman, an interview with the State Secretary took place on 17 March 2015 about the situation. During that debate, I myself pointed out that the absence of the promised AMvB, which is intended to have its effect retroactively from 1 January 2015, is problematic. How can all those entrepreneurs who, until the AMvB comes out, do not know where they stand, take account of measures that they cannot yet know? Finally, on 29 March 2015, in a letter to both Chambers, the government made the AMvB world knowledgeable. The AMvB focuses on land-basedness, which is an important social prerequisite for the sector to continue to produce. At least, it seems so. The dairy farmers who are united in Cows & Opportunities see plenty of possibilities for expansion without the purchase of land. Research carried out by the Centre for Agriculture and the Environment shows that the sector has already made an advance on extreme growth through early implementation of enlargement permits. I have a question for the chairman. I would like to make two links to these issues in the report. How do I get those links in the report? I can read them to you, but I don't think that's a very practical method. We can also agree that these links will be included in the report by means of the written annex I have tabled. I would like to hear the President's opinion on this.
ParlaMint-NL_2015-04-28-eerstekamer-6.u15	They are mentioned in your text, which has been submitted and which is also present with the stenographer, I assume. It contains, on page 2, two notes with a website, a site. I assume that this remark will make them an integral part of your speech.
ParlaMint-NL_2015-04-28-eerstekamer-6.u16	That was exactly my intention, Mr. Chairman. Thank you. Mr. Chairman. Where are we now? In any case, my group recognizes two major problems. Firstly, the impression has been given to a large extent that the same haste that has been requested from the First Chamber has not been felt and practiced to a comparable extent by the government itself. It would have been a lot more elegant if the government itself had honoured the willingness of the First Chamber to cooperate as a matter of urgency, with similar urgency, drive and decisiveness. Secondly, there is the fact that an issue as important as the future of dairy farming in the Netherlands is regulated by AMvB and not by law. Such an approach is envisaged by the government in more cases. And let me be painfully honest: in my group, the idea occasionally arises that this government should elect an AMvB to avoid the rather difficult and time-consuming treatment of a bill in both chambers. From the point of view of democratic control, that seems to me to be a bad idea, for which the First Chamber should not lend itself uncritically. In summary. The handling of the bill of lading, and in particular the alleged urgency which has been attributed to the First Chamber, does not seem to be in line with the State Secretary's subsequent pace of work. That raises the question of how seriously the government takes the Upper Chamber. My group also strongly believes that an AMvB is not a preferred approach in this case. Since several colleagues in the First Chamber will discuss the more substantive aspects of the AMvB, I would like to limit myself, in order to save time, to these more procedural questions in the first period. I would like to know from the Secretary of State if she is prepared to settle the content of the present AMvB by law in such a way that that legislation will be in force on 1 January 2016, i.e. on the chosen date of entry into force of the AMvB. The Secretary of State is aware of the fact that 15 members of this house may encounter her AMvB, so she could be forced into legislation if she does not voluntarily choose to do so. Finally, my group of the Secretary of State wants to know whether, should the Netherlands break the European phosphate ceiling, it will introduce a system of animal rights overnight, as is customary with amended VAT rates. Mr Vos has spoken extensively and eloquently about this, and I am happy to endorse it. And if so, is such a system of animal rights for dairy farming already in concept? I await with interest the Secretary of State's response.
ParlaMint-NL_2015-04-28-eerstekamer-6.u17	Thank you very much, Mr De Lange. I now have all kinds of papers before me, because I would like to examine your comment on the fifteen Members who can find an AMvB in writing. I will come back to that later. I call Mr Schaap.
ParlaMint-NL_2015-04-28-eerstekamer-6.u18	Mr. Chairman. I must first apologize for the fact that I have no written text. I come fresh from abroad and was not able to prepare this so punctually, but my speaking time is short. I don't need much either. In dealing with the dairy law, I went into detail together with others on the question of land, which we felt should have been regulated in the law rather than in an AMvB. This is the kind of discussion we have these days. Let me put it this way: there is a higher urgency for me at the moment than this legal systematic. I want the law and the AMvB to be in force as soon as possible, so that the livestock sector knows what it is up to and has a bit of a clear picture of what the sector is facing in the coming years. If there is anything that the agricultural sector in general and the dairy sector in particular needs, it is certainty. It will then be possible to set out a track for our own policies, particularly for the investments to be made in the years to come. There is more to it than just expanding dairy farming for farms that have a good sense of the future. Other environmental investments should also be made, for example in the stables related to the issue of ammonia and animal welfare. There are quite a few dairy farmers who have not only started investing in their stables because of the anticipation of the end of the quota scheme. They also want to comply with other legislation. That's why they started investing in their stables. This is almost always accompanied by enlargement. Much more than half of the farmers in the Netherlands certainly have no successor. The companies that have a sense of the future are always companies that take over the quota of others in terms of land and adapt to the future. Of course, this has now also been accompanied by a view on the expiry of the dairy quota system. And there's a problem. One is faced with the dairy farming law and the AMvB, which means that it is ground bound. There are quite a lot of companies that did not know that with certainty in advance and have therefore started to invest. Those are the so-called troubles. I'd like to hear how the Secretary of State feels about these troubles. Does it intend to compensate for the threat that some of these companies face? We would like to hear about this, because many companies are getting into trouble. Of course, this is more important in the intensive areas than in those with a large base. Contrary to other groups, I am very pleased that the ground-boundness is not legally bound to the grazing. I have said it before and I would like to repeat it once again: we must beware of romance or anthropomorphisms in legislation. In cows, it's very strong. We like 20 ̊ or 30 ̊ above zero very much. That's what we call nice weather, but it's a disaster for a cow. With everything above 20 ̊ a cow feels extremely unhappy. I was in Ukraine for a long weekend. A Dutch farmer who does a great job there and who follows all this, said: what the hell are you doing? He had just built a large stable on a huge arable farm where the cows could walk freely in and out. At 20 degrees below zero, they walk out, but at 20 degrees above zero, they all stay inside. I'm just saying this to make it clear that a cow reacts slightly differently to the physical environment than humans. Another and perhaps new hot item in this romance is the fact that the cows go out again in spring. Then you see all the crawling cows doing the meadow dance. But that's a very frivolous interpretation. In fact, the cows suddenly end up in the light. That's why they get so stressed out and they start jumping around wild. If you put them in another stable, you'll see the same pattern. So it has nothing to do with a joy dance in the meadow, but rather with the deadly fear of what awaits them now. Please beware of regulations based on not too much knowledge and based on anthropomorphism. Unfortunately, people are very good at that. There has already been talk of animal rights, not only for poultry farming and pig farming, but also for dairy farming. Does the Secretary of State, as I have heard this morning in the Netherlands, intend to have legislation ready for the establishment of animal rights in the event of phosphate problems? So it's gonna be plus-plus? Will it then become ground-bound and animal rights? I'm terrified of that. Then there are again unexpected new rules to which one has to react again. Ground-relatedness increases costs. You can already see that everywhere in agriculture. The land price is rising rapidly. That also makes sense, because there is more demand for it. If we get animal rights, another factor will come up. In that case, rights must be acquired by purchasing them. Of course, there is also a price. However, the burden will of course come to an end.
ParlaMint-NL_2015-04-28-eerstekamer-6.u19	I haven't heard from Senator Schaap about the contents of the AMvB. So I assume he has no further objection to that. He said the sector would benefit from security. I totally agree with him. I think we should take care of that. At the same time, the EU phosphate ceiling, as I would like to mention briefly, is in danger of being broken. If that happens, the whole security for the sector will be lost. So it would be good if Senator Schaap would connect those two things. You cannot say that this AMvB is fine and that we let God's water walk over God's field. The certainty which Mr Schaap wants, and which I also wish, is certainly related to the content of this AMvB.
ParlaMint-NL_2015-04-28-eerstekamer-6.u20	I have two comments on the phosphate ceiling. There are also private-law initiatives in dairy farming. The whole sector, the whole chain is involved. This also involves efficient fertilization and reducing mineral use. These initiatives must also have full scope. In addition, we still have the manure processing obligation. If you go over it, the manure processing plants will be ready to absorb the surplus if it's all right. There will be an end to the further imposition of rules on this subject. Indeed, the sector needs security, especially in the long term. It is about investments, in land but also in much better buildings that comply with the legislation.
ParlaMint-NL_2015-04-28-eerstekamer-6.u21	However, I find that Senator Schaap is being rather easy about the phosphate ceiling. He points out the private-law initiatives, but if that ceiling is reached, tough measures will have to be taken. They are contrary to the certainty that is now being offered. This could be a very short-term certainty. Those investments don't fit in with that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u22	If it is exceeded, the manure will have to be disposed of. A method of disposing of manure is to process manure and to ensure that the manure can be disposed of over longer distances. That's what the sector is waiting for. I say that quite easily, but I am well aware that this is not easy for agricultural practice at all. However, all this is regulated by law. I did not hear the industry protest about this. On the contrary, as in the case of land-based industries, the sector itself has embraced all possible initiatives to address this problem.
ParlaMint-NL_2015-04-28-eerstekamer-6.u23	So Mr Schaap does not see animal rights when that phosphate ceiling is reached. He says that the sector itself will then arrange for the manure to be disposed of. But that's really just the question. We all know that the manure processing capacity has not yet been sufficiently developed in the Netherlands. We also know that it all has negative side effects.
ParlaMint-NL_2015-04-28-eerstekamer-6.u24	Which one?
ParlaMint-NL_2015-04-28-eerstekamer-6.u25	It costs space, it is burdensome for the environment, it has environmental effects and it costs extra traffic. So you can't do that endlessly. We really have a problem when the livestock gets out of the pan and we go through the ceiling. Then Europe says: you do not keep the agreement, so you must act now. And I think animal rights are the only option.
ParlaMint-NL_2015-04-28-eerstekamer-6.u26	I certainly didn't agree with that last one. If a manure treatment plant is set up, it will obviously cost space. This applies to all investments. Furthermore, such a treatment plant must comply with a building permit, environmental permits and a Wvo permit, as it used to be called. That's it. If those permits are granted, the legislator can never have any problem with them. In short, this is the route.
ParlaMint-NL_2015-04-28-eerstekamer-6.u27	Suppose, at the end of this year, that's what the Rabobank predicted, and we're already going through that phosphate ceiling. Then you must be able to do something immediately. Mr Schaap agrees with me, doesn't he?
ParlaMint-NL_2015-04-28-eerstekamer-6.u28	Then the sector will have a considerable task to fill in quickly, that is correct. I agree with Mrs. Vos. The legal basis for this is that diptych. All kinds of private-law initiatives are added. On that base, it's just supposed to work. The sector itself has signed up for this.
ParlaMint-NL_2015-04-28-eerstekamer-6.u29	Maybe one last comment. The sector has announced a number of things, but we also know that a number of things have not yet been enough. The fact that the phosphate ceiling is coming into sight so quickly is merely an illustration of that. Apparently now it is not possible to keep that case in place sufficiently and then you will have to intervene immediately.
ParlaMint-NL_2015-04-28-eerstekamer-6.u30	Let us first see what really happens to phosphate production. I believe that there will be sufficient instruments to go further. I wanted to say something about animal rights. There's one more negative point to it. You can produce more milk by keeping more cows on it and you can also produce more milk by hunting the productivity of the animals. I would not like to create an additional impetus through animal rights in order to increase the productivity of animals in a not too natural way. In my words, the Secretary of State may have some difficulty in establishing animal rights for dairy farming. Let me just say it in this rhetorical way.
ParlaMint-NL_2015-04-28-eerstekamer-6.u31	I notice that Mr Schaap, a representative of a liberal party, is advocating a sector that swallows up huge subsidies, €25,000 per dairy farm, and a sector that breaks the law massively.
ParlaMint-NL_2015-04-28-eerstekamer-6.u32	Huh?
ParlaMint-NL_2015-04-28-eerstekamer-6.u33	The manure treatment takes place illegally in the Netherlands for 30% to 40%, according to LTO Netherlands. If I'm lying, I'm lying on commission.
ParlaMint-NL_2015-04-28-eerstekamer-6.u34	No, you don't lie on commission...
ParlaMint-NL_2015-04-28-eerstekamer-6.u35	Sorry, I wanted to finish my question first. Mr Schaap also says that if farmers are to have fewer cows, they are going to hunt down the production by cow. He does not say much about this sector: they will produce either way.
ParlaMint-NL_2015-04-28-eerstekamer-6.u36	No, I didn't say that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u37	Perhaps he could explain it further, because that is how I heard him say it and I understood it.
ParlaMint-NL_2015-04-28-eerstekamer-6.u38	Mr Koffeman is good at interpreting things I say. I said that there would be a threat that we might not want, namely to increase productivity per cow. It is fine if productivity increases, if this is done in a gradual manner through breeding. Then that's a deal. We shouldn't provoke more than that.
ParlaMint-NL_2015-04-28-eerstekamer-6.u39	I hear Mr Schaap say it again. That threat comes from the sector, I have to assume. No one else is threatening.
ParlaMint-NL_2015-04-28-eerstekamer-6.u40	Not at all. I'll think of it here.
ParlaMint-NL_2015-04-28-eerstekamer-6.u41	Okay, it's your own threat.
ParlaMint-NL_2015-04-28-eerstekamer-6.u42	No, it's not a threat. I am saying that it might be possible, as I mean by 'Threatening' that the possibility of not buying more rights to keep animals is to drive productivity. Well, I'd rather not see that happen too much.
ParlaMint-NL_2015-04-28-eerstekamer-6.u43	This has, of course, happened a great deal in the past. By nature, a cow does not give much more than 4,000 litres of milk per year and productivity has been hunted down to 12,000 litres of milk per year. I hear Mr Schaap say that if an animal rights system is introduced, productivity risks being further hunted down. Did I understand him that well?
ParlaMint-NL_2015-04-28-eerstekamer-6.u44	I could put it that way. Yeah, exactly.
ParlaMint-NL_2015-04-28-eerstekamer-6.u45	Thank you.
ParlaMint-NL_2015-04-28-eerstekamer-6.u46	Moreover, the cow by nature does not give at all 4,000 litres of milk, but perhaps not even 1,000 litres. This is about the questionio facti. A wild animal that has never been bred with gives short-lived milk for a calf and that is a little bit per day. I still have to see that she gets the 1,000 gallons a year. However, we do not have anything to do with natural animals in animal husbandry, not even with common pets. They're all bred, bred and adapted. In short, there is no need to refer to nature. Mr. Chairman. With the last thing I said about animal rights, I was finished.
ParlaMint-NL_2015-04-28-eerstekamer-6.u47	Mr. Chairman. My input covers two parts. I first discuss the formal route of how the present AMvB is incorporated into the law. I shall then briefly discuss its content. On 17 December, the Chamber adopted the law on responsible growth in dairy farming. A key element of what should be regulated, namely the land-based growth of dairy farming, was delegated to a scheme per AMvB. The Court considered that that delegation should be temporary and asked the government to "prepare a law amending the substance of the general measure of governance and the importance of ground-basedness in the law" in line with the draft general measure of governance. It recorded this on 17 December in the motion adopted unanimously under letter G (33979). There are now two ways of implementing the Court's wish, namely legislation by law. The first way is to stop the AMvB under Article 21 of the Fertiliserenwet, after which the Secretary of State was held to regulate what is in the AMvB by law. This is not my group's preferred route. The second way is through the implementation of the said motion. For the time being, my group prefers this because it is the wish of the entire Chamber. It is then up to the government to submit the amendment law mentioned in the motion first to the House of Representatives. My group asks the Secretary of State to do so by 1 September 2015. That is not a difficult task, because the AMvB is ready with explanation and can be inserted fairly easily into the current law. I believe that this can be done within three weeks, after which, through the cabinet, the Council of State can be consulted. In short, my group is asking the Secretary of State, and hence the Government, for the 'as of 1 September' commitment I have just mentioned. As far as the formal side of this debate is concerned, we will soon be finished. If the Secretary of State does not make this commitment, I will consider my group to follow the route of stopping the AMvB. The second part of my contribution concerns the content of what is currently contained in the AMvB. The Secretary of State said on 17 December: "I can undertake to do so in the House of Representatives that, if the majority wishes to make changes to it, I will follow it of course." She also mentioned specific numbers for which this would apply. This is the Secretary of State's undertaking. I'd like to leave her to the difficult parolee of the permanence in the Chambers. On 17 December, the Secretary of State treated the members to a little sweetness and especially to the sunny picture of a seemingly happy cow in the meadow. I am showing Members and the President the somewhat enlarged picture at the moment. The Secretary of State will remember. A happy cow does "muuh."
ParlaMint-NL_2015-04-28-eerstekamer-6.u48	I do not know how that should be included in the Acts, Mr Reuten.
