ParlaMint-NL_2015-11-04-tweedekamer-7.u1	The applicant for this VAO is Mrs Vermeij of the Labour Party. I'll give her the floor first.
ParlaMint-NL_2015-11-04-tweedekamer-7.u12	Vouchers aren't free. Who's gonna pay for these vouchers?
ParlaMint-NL_2015-11-04-tweedekamer-7.u13	I made a suggestion to this effect during the general consultation: if there is any money left over from the so-called sector plans, use it! I don't have a picture of that money yet. That's why I'm filing this motion to investigate it in advance. If the money turns out to be there, and if we wanted to do so, then we can make a flying start.
ParlaMint-NL_2015-11-04-tweedekamer-7.u14	So if that money isn't there, the 182 million, is this a balloon that's been pierced for letting up already?
ParlaMint-NL_2015-11-04-tweedekamer-7.u15	No, those are Mr Ulenbelt's words. I'm confident that that money is there. That's why we want a flying start. Hence this motion. If that money isn't there, there's another situation. Then we have to see if we think this is so important that we want to find extra money for it.
ParlaMint-NL_2015-11-04-tweedekamer-7.u16	Please continue, Mr Mulder.
ParlaMint-NL_2015-11-04-tweedekamer-7.u17	Then the Law approach fakes constructions. The Chamber has recently received a number of letters from local directors, such as Alderman Versluijs from Vlaardingen, and I have spoken with Mayor Van der Tak and with the city council of The Hague about deductions on the minimum wage. All of these people fear that if you abolish them, as happened in the False Constructions Act, you will be at risk of abuses, house meltdown and phony constructions. That's why I made a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that:]] [[there is a ban on deductions from the statutory minimum wage in the False Structures Act;]] [[a number of local leaders and civil society organisations such as the VNG argue for an exception to this ban to prevent abuses, miscarriage, phony constructions and exploitation;]] [[Cedris, the national association for social employment and reintegration, for an exception for the target group of the job appointment, sheltered works, Wajong and Wsw employees argues in favour of preventing these workers from getting late payments with all their consequences, such as costly collection procedures, debt restructuring and removal;]] [[the False Structures Act allows for exceptions to this prohibition in the General Measure of Governance;]] [[calls on the Government to make possible, as soon as possible, an exception to the retention ban on the statutory minimum wage in the General Measure of Management for bona fide employers and social workers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Member Anne Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-665]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u18	I believe that the Minister has promised to look into this and inform us about the budget. Mr Mulder has tabled a motion on a point which I also think is important. However, I have faith in this minister and I am waiting. May I conclude from the motion that Mr Mulder does not have that confidence?
ParlaMint-NL_2015-11-04-tweedekamer-7.u19	It will almost be a motion of censure if it is formulated in this way. The point is that this law will enter into force on 1 January. If companies want to anticipate this, they must have certainty quickly. The Minister has said before that he would come with it before the summer. That has been postponed and now he is bringing it up for the budget. However, there is a need for urgency. The operative part thus states "as soon as possible" to provide certainty. There's gonna be a budget. Next thing you know, you'll be at Christmas and you'll be late. That is why I am asking for it to be brought forward as soon as possible, in order to give certainty to companies so that they can take action.
ParlaMint-NL_2015-11-04-tweedekamer-7.u20	I think it's important, but now I don't understand. The Minister comes forward with a proposal for the budget. I thought: then Mr Mulder asked to receive it within three weeks. Otherwise, I don't understand why you're filing a motion. Then it won't be as soon as possible. Now I really do not understand what this motion is asking the Minister to do more than what he has already promised. Again, that's not because I disagree. The Minister made a commitment that we, as a Chamber, nodded in. I'm just trying to figure out where this motion came from.
ParlaMint-NL_2015-11-04-tweedekamer-7.u21	For the budget, that's in four weeks. So that's four weeks, and we don't know exactly what he's gonna do. This motion calls on him to come up with a General Measure of Management, to do that which is important for bona fide companies, so not for crooked companies, because that is exactly what we need to do.
ParlaMint-NL_2015-11-04-tweedekamer-7.u22	I'm intrigued, too. This is a discussion that has been going on for a long time. I think it started with an amendment by the SGP to this legal process. The "yes, if" or "no, unless" was then resolved by the Minister's commitment to look at it. After the summer, we talked about it taking too long. At that time it was promised that it would be for the budget. That's three weeks after this Chamber Week. Does the VVD Group now want more than has already been promised or is this a motion that supports what has already been promised? Which one is it now?
ParlaMint-NL_2015-11-04-tweedekamer-7.u23	It has not been promised that this General Measure of Governance will be implemented. It has only been promised that there will be a response to that proposal. I want this AMvB to get there and fast, because companies are in uncertainty and you have to provide security. If we adopt a motion in December, we are already too late, and that would be a pity.
ParlaMint-NL_2015-11-04-tweedekamer-7.u24	This too was already part of the commitment made in the handling of the Law approach fakes? It was said then that it would be filled in in this way, so that it did not have to be put into the law by means of an amendment. It's always been the way to do it through an AMvB, hasn't it?
ParlaMint-NL_2015-11-04-tweedekamer-7.u25	That's not my experience. We have dealt with the Fake Constructions Act well before the summer. There would then be a response before the summer to the question of whether we would do so. It's been postponed. We are now heading for December. We think it's too late if you really want to do something. That's why there's a motion as soon as possible.
ParlaMint-NL_2015-11-04-tweedekamer-7.u26	This has put an end to the term of office. The Minister has indicated that he would like to consider himself for a moment, one minute, so don't go too far.
ParlaMint-NL_2015-11-04-tweedekamer-7.u27	Mr. Chairman. In her motion in part No. 656 calls on Mrs Vermeij to present a plan to the government on how the UWV can be more human-sized and effectively support job seekers. I'm in favour of that idea. It is important to further improve services. During the general consultation on 7 October, I undertook to return to this point. The motion is in line with that. That motion looks like two drops of water on the Krol motion, the chairman of which knows the number under which it was tabled. I would also like to recommend "judge chamber." Perhaps the proposers could consider combining these motions or making one of them.
ParlaMint-NL_2015-11-04-tweedekamer-7.u28	That seems to me to be an excellent suggestion from the Minister. That is what we are going to do, so that will come back to the voting list.
ParlaMint-NL_2015-11-04-tweedekamer-7.u29	Okay. That's what I'm gonna hear.
ParlaMint-NL_2015-11-04-tweedekamer-7.u30	Thank you. The Vermeij/Krol motion in part No. 657 is about setting up a figurehead. This concerns in particular the fight against prejudices about older people in the workplace. I have indicated in general consultation and also earlier that I find this goal very sympathetic but that you have to be very careful not to fill it in so that it works against it. Now I have the impression that that is not what the proposers want either. They want to try to bring the task of tackling unemployment to the attention of looking employers and workers and to promote it so that the parties concerned are actively involved in it. If I can explain that motion in that way, I can leave the verdict to the Chamber. Then it is also worth complimenting Mr Krol for his perseverance. I do not want to take anything away from the other petitioner, but I think that everyone in this Chamber should acknowledge that this is a stick horse by Mr Krol. That will therefore be 'judge chamber' with the explanation I have given. In the Klever/Vermeij motion in part No. 658 the government is invited to ask the ESC to include a shorter working week and ways to encourage it in the opinion "Working and living in the future." Mr Klaver thus joined the debate on 7 October following an interview by Martijn van Dam. I have already indicated at that time that I believe that the ESC should be given and taken up every opportunity to take this aspect into account in this important opinion. I do not think that the motion is intended to go ahead, but I would like to take a look at Mr Klaver's expression of the face in order to make a separate opinion now or to postpone that opinion, because we want to do something with it. I solemnly promised Mr Heerma that we would organise the first quarter, the family summit II or work and care for II with the opinion in Q1. If the motion were to be adopted, I would put it in the hands of the ESC and ask him to go into this aspect as well. I saw from Mr Klaver's facial expression that I didn't lose him. So I'll leave the verdict on the motion to the Chamber.
ParlaMint-NL_2015-11-04-tweedekamer-7.u31	I think it's very good how well the Minister can read this. Exactly that is the case. A similar kind of request for the Swedish model for paternity leave was made not so long ago. This motion may also be seen in that line.
ParlaMint-NL_2015-11-04-tweedekamer-7.u32	So it's judgment room.
ParlaMint-NL_2015-11-04-tweedekamer-7.u33	Mr. Klaver has a face like an open book, so it's no art at all to read it on his face. In the motion in part No. 659 is asked to ensure that employees always earn minimum statutory minimum wage when purchasing and providing services by the Government. The minimum youth wage is, of course, a big issue. I've talked to the Chamber about that several times. There's a social campaign going on. A motion from D66 was also adopted on this point. I also promised to come forward with a statement on all aspects of the minimum wage for my budget. That means I'm deceiving this motion. It doesn't seem like the right time. If you say that you find it undesirable that people earn under the minimum wage, that would lead to a plea for an increase in the current minimum wage. The motion in part No. 660 asks for this to be reported by the Labour Inspectorate to the Tax Administration when establishing relations of authority, so that it can establish the employment relationship. I like this motion, so I want to see if I can do something with it. I would now like to ask whether Mr Ulenbelt will be satisfied with a letter from my hand on this, because I would like to be able to discuss this with Secretary of State Wiebes. I have not been able to prepare for this in the brief suspension of the matter. I agree to send a letter on that. I ask Mr Ulenbelt to hold the motion until he has that letter. I will send that letter to the Chamber for the budgetary procedure. That sounds like a "sacrifice he can't refuse."
ParlaMint-NL_2015-11-04-tweedekamer-7.u34	Since it sounds so promising, I'll hold this motion.
ParlaMint-NL_2015-11-04-tweedekamer-7.u35	At the request of Mr Ulenbelt, I propose his motion (29544, No. 660). That is what is decided.
ParlaMint-NL_2015-11-04-tweedekamer-7.u36	The Minister also promised a letter for the budget.
ParlaMint-NL_2015-11-04-tweedekamer-7.u37	In the motion in part No. 661 calls for additional actions to improve the labour market opportunities of older jobseekers. Of course, this has been a major theme on 7 October, but it is above all a major theme in society. I also hear that from Mrs Vermeij when she talked about the possibility of a figurehead. I will confess that I was already working on a letter to the Chamber on the subject of long-term unemployment among the elderly. My intention is to inform the Court of Justice of this before the budgetary procedure. That will not be a concrete action plan. It will, however, indicate the direction in which I believe that additional policies could help. If that meets the wish expressed in the motion, I shall leave the motion to the House. It is a subject which I believe Mrs Vermeij said about which the whole Chamber and the cabinet are concerned. I have said before that suggestions are welcome, but I still have some ideas that we might be able to do in the future.
ParlaMint-NL_2015-11-04-tweedekamer-7.u38	Mr Van Weyenberg, I saw you nodding in agreement. You agree that there will be no action plan? This is clearly stated in the request.
ParlaMint-NL_2015-11-04-tweedekamer-7.u39	It says: "Proposals for action." If that is directions in which the cabinet intends to take action, then so be it. I do not expect an action plan to be drawn up to the millimeter. So I agree with the Minister's words.
ParlaMint-NL_2015-11-04-tweedekamer-7.u40	Well, then it's still judgment room.
ParlaMint-NL_2015-11-04-tweedekamer-7.u41	Then I come to the motion on part No. Mr Krol's 662 call for a pilot project to focus more on the training and adoption of older people. That motion should be held by the Minister for Housing and National Service. However, I can tell Mr Krol that the various departments have decided, nationwide, to join the diversity charter. Diversity looks on black and white, straight and gay, but also on old and young. The organisations that sign up make a promise and make themselves reckonable on how they will improve the diversity in their organisation. The same applies to all departments. In fact, that is partly in line with the idea laid down in this motion. The form of this motion should be discouraged, but perhaps with this explanation I can make it clear that we are on the same side in this respect.
ParlaMint-NL_2015-11-04-tweedekamer-7.u42	I understand very well what the Minister is saying and I would very much like to wait and see. That's why I'm holding the motion.
ParlaMint-NL_2015-11-04-tweedekamer-7.u43	At the request of Mr Krol, I propose his motion (29544, No. 662). That is what is decided.
ParlaMint-NL_2015-11-04-tweedekamer-7.u44	The Vermeij motion in part No. 656 and the Krol motion in part No. 663 are merged, as the proposers have just said. For the Krol motion in part No. 663, which is about the UWV, holds in itself that I would have left the judgment to the Chamber. The motion-Anne Mulder/Vermeij in part No. 664 is about training vouchers for workers and flex workers who want to become cross-sectoral mobile. I think we have already talked about this goal in the Work and Security Act and the Social Agreement. I leave this motion to the Chamber because it is entirely in line with what the cabinet would like to see: people who go more from work to work rather than into benefits. Sometimes they will need training. We designed the bridge-WW for this, but this is also an important element. Mr Van Weyenberg asked about the sector plans. I do not have the figures ready, but there is indeed a request for less than is available. I can see why he's starting to want numbers. I said that they would be there for the budget, but we should be able to send them to the Chamber within a week. I see that this doesn't panic anyone in the civil servant's lodge. So the question is correct. Maybe it could've been done before. So that's what we're gonna do. The motion-Anne Mulder in part No. 665 is about the restraining order. We have discussed this issue before. There are two elements in the balance of interests: on the one hand, to prevent malicious organisations from using it and, on the other hand, to allow bona fide organisations to use it. Mr Mulder has spoken to a number of local directors who point to this second interest. However, there is also the first interest. In addition, there is the legal question as to whether, in the light of recent judgments by the Court of Justice, such a prohibition is justified and can be imposed. I think it is perfectly understandable that there should be an urgent debate. I can very well follow Mr Mulder's plea for urgency, but I have already promised to inform the House of this before the budget procedure. It is also true that I did not promise that this would always be in the form of an AMvB. In that sense, I see that Mr Mulder has actually already expressed his mind, not yet knowing whether it is legal, and apparently submitting his balance of interests to the Chamber in this way. I would ask Mr Mulder to hold his motion. Of course, the balance of interests can always be judged by the Chamber. If he does not wish to continue his motion, I must dissuade her at this time, however sorry I am, as I understand his thought and the plea for urgency in itself.
ParlaMint-NL_2015-11-04-tweedekamer-7.u45	This raises a like-dan question. What if it's legal? Will the Minister do this?
ParlaMint-NL_2015-11-04-tweedekamer-7.u46	Even then, this balance of interests follows. If I'd already made it, I'd have told the Chamber about it before. I will forward it to the Chamber for the budgetary procedure. But it's true there's a conditionality in it. If you can't, you don't have to wonder if you want to. If it is possible, the question will be addressed. I understand all the arguments for that. I can reassure Mr Mulder that if we chose to do it, homework would have been done in the department. We don't have to ask ourselves how we should do that anymore. It is not intended to chicanise against Mr Mulder or the parties concerned. On the contrary. But it is also related to the whole system of the Dutch minimum wage. This raises the question of whether there should be a minimum statutory hourly wage. With Mr Van Weyenberg, I have debated this week in a WHO on the wage cost advantage for low incomes. There is the question of how we deal with piecework in the light of a number of painful cases where underpayment by piecework takes place. Furthermore, there is the question of how we deal with the minimum youth wage. There may be different views in the Chamber, but that question is on my plate. There is also the question of how to make the minimum wage as such enforceable. The latter category also raises the question of whether you would like an exception to the retention ban.
ParlaMint-NL_2015-11-04-tweedekamer-7.u47	I understand what the Minister is saying about the balancing of interests. With the letters we received, there was also a letter saying: postpone this provision of law by six months, because if it is still decided on the AMvB, it is almost too late. I can also ask the Minister to postpone the date of entry into force of this part of that law. I don't think so. At least, I don't know; I'm talking a little for him. If that's not the case, then we're gonna need an emergency, right? The tide has expired. If we wait too long, it doesn't make any sense at all, no matter what we think. That would be a shame. That is why I would like to table this motion.
ParlaMint-NL_2015-11-04-tweedekamer-7.u48	I am much more optimistic than Mr Mulder. I think it makes sense what we find. After all, this is the House of Representatives of the States-General. I had promised: for the budget. The budget is usually dealt with approximately on the eve of sintering. That's in a little month. I won't wait until I get my pieces back. I have heard Mr Mulder clearly. I think we can see that I do not agree with him on this point. Sometimes you do.
ParlaMint-NL_2015-11-04-tweedekamer-7.u49	I have a question for clarification. It's not about the will for a while. Do I hear the Minister say that an AMvB for bona fide companies could not in this form either? Or did I misunderstand him? I meant legal.
ParlaMint-NL_2015-11-04-tweedekamer-7.u50	I think it's possible in terms of design. I tried to reassure Mr Mulder by saying that the homework on how to do it is done. Because I understand the urgency very well. Another question is how you will ultimately weigh the Court's ruling. What risk do you take? I am referring to the risk that a judge at European level or a Dutch judge assessing European law will find that such a deduction from the minimum wage should not be allowed at all. That question came up after the WAS was treated. We didn't make that up. It came up later. This is without prejudice to the fact that even if that obstacle is not there at all, you're still dealing with the balancing of interests. It is completely transparent. We have also shared these in the treatment of the Fake Constructions Act. Mr Mulder made it very clear that the balance of interests should fall for him in favour of an exception to the retention ban. I understand. Only, my request is: wait until the cabinet has made its proposals. However, I have heard him clearly: he is putting the motion to the vote. I'll wait and see.
ParlaMint-NL_2015-11-04-tweedekamer-7.u51	Can the Minister indicate when he expects that letter to come? Does he expect that to be in the week before the budget debate? Or does he expect it to be next week? My group, in dealing with the Law on Fake Constructions, has advocated the content of this motion. Only, in the previous discussion, we gave the Minister the opportunity to come up with this as soon as possible. For my group to consider the motion, it is relevant to know when we will receive the letter explaining everything, including the legal possibility.
ParlaMint-NL_2015-11-04-tweedekamer-7.u52	That will, as it now seems, be the week before the budget debate. If I can do it sooner, I'll do it, but there's still a lot of work to be done.
ParlaMint-NL_2015-11-04-tweedekamer-7.u53	Vote on the motions tabled will take place next Tuesday. This has also brought an end to today's sitting. I wish you all a good night.
