ParlaMint-NL_2015-05-26-eerstekamer-11.u1	Minister Asscher, I invite you to begin your speech.
ParlaMint-NL_2015-05-26-eerstekamer-11.u12	It could be. So you could have that discussion, but I was referring to other agreements following Mrs Sent's question. The Labour Party and other parties have asked whether the sectors have sufficient time to develop the sectoral mark in connection with the entry into force of the Act on 1 July. That is of course an important question, but it is also an incredibly important issue, because you want to introduce that law as soon as possible to deal with abuses. The bill requires employers and clients to behave as a decent employer or client. That is nothing new in itself, and it should be nothing new. Nor should the significance of the label be exaggerated in this light. The label is an option for clients or employers to shape the non-disclosure, the disapproval, and thus to give each other more clarity. However, even with that label, even with that form of clarity, an employer or a client, Mr Backer, still described that, in a possible course of law, he could still be held to be culpable. After all, if such a mark is only a paper tiger, if you don't act like it or if there are other circumstances that make a judge hold everything accountable to you, you can't hide behind such a mark. In the same way, before there is such a mark, it is possible not to be reproachable, to dissuade yourself if you have behaved properly as an employer or client and can show that. Moreover, precisely because it is important to bring the law into force quickly, information has already begun. There have been extensive discussions with different sectors. I'll give you an overview so that everyone knows what they can count on. I think that many employers and clients, when this law was adopted unanimously in the House of Representatives, have taken into account the possibility that the law might pass here.
ParlaMint-NL_2015-05-26-eerstekamer-11.u13	The law is of course not passed by the law until this Chamber votes in favour. Only then will there be certainty for the employers. It concerns not only the introduction of a label, but also the whole list of handles which is very helpful in the explanatory memorandum. Is there enough time to process them all in the administrations to comply with the law as soon as it enters into force?
ParlaMint-NL_2015-05-26-eerstekamer-11.u14	That's true. In the case of chain liability in particular, we have a huge interest in bringing it into effect on 1 July. We did not opt for a later entry into force of the retention ban for nothing, because we realise that this can also have consequences in the administration. I am therefore very committed to ensuring that this chain liability is not dependent on the labels. However, if the Court states that it is concerned, in particular, about the administrative aspects of some of those handles relating to the technical processing of the statutory minimum wage, I would certainly like to look again at this to see whether those legal provisions are eligible for later entry into force. I heard the Chamber right about that. The political key point, the obligation to act as a decent employer and client, does not tolerate any delay. If I may take your speech in such a way that you are concerned about the technical processing of certain rules on pay slips and so on, I must admit that there is a certain degree of reasonableness in this. They also asked about the chain liability and the role of the government as the client. As a client, the government has a special responsibility, precisely because of its public function. All clients and government contractors, such as Rijkswaterstaat, are responsible for preventing or correcting abuses, such as underpayment in the procurement chain. In the case of liability, the public authority may also rely on non-disclaimability. If the government contractor makes sufficient efforts to stimulate bona fide behavior and deter malicious behavior, it will not be the case that the client will pay for shortcomings of an entrepreneur in the chain. But the law is meant for all clients, whether they belong to the public sector or not. The VVD asks how a distinction is made between an employee and azzp'er. A client may not always see whether he is dealing with an employee orzzp'er, Mrs Kneppers noted. Only employees can indeed make use of the chain liability for wages. That is at the heart of the proposed regulation. Only if there is a contract of employment and underpayment can it be held liable. Azzp'er can't do that. The nature of the employment relationship is still to be determined on the basis of the employment relationship declaration. If this system has been adapted, model agreements will be used. In doing so, the Tax Administration has a role, to which clients can have a hold. In fact, however, that is perhaps less important in Mrs Knippers' speech. It is the employee who makes an employer or client liable. The judge shall, where appropriate, give an opinion on the level of underpayment. If there is any doubt as to the nature of the employment relationship, the court may also rule on the nature of the employment relationship. The judge then looks at the specific circumstances of the case. This was also discussed in the oral consultation I had with the First Chamber. It is now possible that a lawyer may appeal to the court to suspect the existence of a contract of employment. If the court finds that there is an employment contract, that person may make use of the chain liability for remuneration. If the judge finds that there is self-employment, there are other ways available to collect not the salary but the rate or the take-up sum. For example, interested parties can insure themselves against paying clients or request part of the contract amount as an advance. GroenLinks asks how we can help employees who are underpaid. In the context of compliance monitoring, the inspection shall impose a penalty charge on underpayment in order to enforce post-payment. That's a pretty strong leverage to still pay. In addition, this legislative proposal makes it possible for collective bargaining officers to be given the name and place of business of the employer if information necessary for the monitoring of collective agreements is obtained. If our inspection finds that there is no payment in accordance with the collective agreement, we can pass on the name and back number to the responsible collective agreement enforcers, in order to ensure that pay is made there as well. The Wet approach also gives more possibilities to achieve your own justice. It concerns the bottom two links in the chain, directly through joint and several liability and then step by step. Trade unions can also play a role in this. I do not object to Mrs Sent's state-law interpretation. That's why I'm standing here today with fire defending this law. I realize and have experienced before I come up with the WML and the contract agreement that if a bill is not accepted here, it is not there either. Precisely because this serves such a great social interest and we have to take into account the possibility of the law making it, we have been informed through the website reichsoverheid.nl, the Entrepreneur's Square, a newsletter and social media. If the First Chamber agrees, it will be extended. The various sectors and trade associations have worked on a series of articles in trade journals, magazines of trade associations, home-to-home magazines and other relevant magazines. All this for the sake of cultivating a good understanding of the functioning of the law in order to promote its proper use.
ParlaMint-NL_2015-05-26-eerstekamer-11.u15	This Chamber may be prickly if information campaigns start before a law is passed. In consistency with my argument, I believe that the functioning of this law will have an effect mainly because it is known that the law is there and not so much because of its actual system. In this case, therefore, the Chamber should allow that to happen. That's different from the technical preparation of pay slips and all that more. After all, as I have just listened to the Minister, 80% of employers are bona fide, but 100% have to prepare it. In that light, apart from the preparatory work now, the date of 1 July is very tight.
ParlaMint-NL_2015-05-26-eerstekamer-11.u16	First of all, thank you for recognising the fact that in some cases some form of information can be obtained in order to increase the impact of a law. I agree with Mr Backer that this is certainly the issue here. That's not unique to this law either. Not for nothing have we forbidden theft in the law and we hope that people will abide by it. The article is really meant not only to punish the thief, but also to set a standard. Clients and employers also have to deal with a standard set by the legislator. There's nothing wrong with that. Furthermore, it is crucial that we make it clear on 1 July that that responsibility is there. In the interrupting debate with Mrs Sent, I indicated that I was sensitive to those parts of the law which indeed require a technical adjustment in the payroll administration. Secondly, I will make a more precise commitment to the Court on this point to remove that legitimate concern from the Chamber. Indeed, employers and clients should be able to prepare themselves for this, which does not affect the responsibility they actually already have to pose as a decent employer and client. Mrs Sent has a point with regard to salary administration. I am going to make this a little more precise later, so that I can make it clear to those concerned at once. However, it will amount to the entry into force of those provisions containing rules on the technical aspects of labour cost specifications around the WML as of 1 January instead of 1 July. I had not gotten to the ban on deductions, a much discussed subject, also because it looks very differently at what it will bring about in practice. That, of course, is seen on the one hand in insane, yes hideous examples of deductions we have seen, in which people paid for the wear and tear of the road they drove across and in which people paid crazy amounts for food that they were obliged to take. On the other hand, it has rightly been said that there are decent employers who want to arrange decent housing or decent health insurance for their employees. With this bill we want to ensure that at least the statutory minimum wage is paid. Therefore, there should be no uncertainty as to the amounts withheld. It is, of course, not acceptable to obtain financial benefits at the expense of employees by withholding unreasonable amounts or by withholding amounts on unreasonable grounds, while in fact reducing wages for an employee. Of course, employers can mediate in the development of health insurance. This is also possible because the employer agrees with the employee that the employee pays the cost of the premium per direct debit. The law provides the possibility to allow deductions on the minimum wage for AMvB. I have promised the House of Representatives to send a letter with the terms and the mares and the pros and cons before 1 June. I have also indicated the involvement of a number of elements in its assessment. What would be a maximum amount? What is the quality of the housing and health insurance you would like to record? How do you ensure transparency in order to prevent all kinds of things from happening that cannot stand the light of day? How can you guarantee that, for example, the housekeeper and the location are known so that they are also subject to supervision? A focus on the development is the recent European case law on pay to posted workers and the reimbursement of housing costs. The ruling of the European Court of Justice last February makes it clear once again that the employer may not include housing amounts on the minimum wage in respect of posted workers if he is obliged to reimburse such costs, for example under the collective agreement. On the one hand, this shows that the European Court of Justice, too, makes the worker's right to always receive the minimum wage heavy. On the other hand, it points to the complexity you face if you wanted to settle it in an AMvB. However, as stated by the VVD, it is also a risk if employees would be uninsured as the health insurance premium should no longer be withheld. If employers feel involved in the workers' stay and are helping them in a fair way in arranging health insurance, they may be expected to continue to do so. They can make clear agreements with employees on the payment of the premium, for example by collecting it by direct collection. In addition, there is the possibility to keep amounts above the minimum wage. This will in any case be the minimum holiday allowance, which is at least 8% of the wage. This is, in most cases, sufficient to cover sickness insurance contributions. However, this does not rule out the fact that in some cases the minimum holiday allowance is not sufficient to cover the premium, for example in the case of a number of youth workers or in the case of people who work very few hours. That is one of the reasons why I made the commitment to the Chamber. I am going to take this particular point into account. Of course, I will send that letter to the Chamber and I will do everything in my power to ensure that it is before the votes. I would also like to consider the outcome of this debate and the contribution of these groups to that letter so that it can be fully taken into account.
ParlaMint-NL_2015-05-26-eerstekamer-11.u17	In these sectors in particular, temporary work and temporary projects often occur. For example, if you work for six months, your holiday allowance is based on only six months. I guess you'll get in trouble soon because it's not enough. I imagine employers don't want to run that risk of default.
ParlaMint-NL_2015-05-26-eerstekamer-11.u18	That is why I indicated that it is not sufficient in all cases to be able to do it by deduction. It is important, however, to point out that deduction, at least of the holiday money, is possible and that not all but in many cases part of the debtor risk can be averted. But, once again, it is a legitimate argument that you can have a discussion, from the point of view of the insured employee, about whether or not to be withheld in that respect. Let me make another comment about this in connection with Mrs Knippers' interruption. There's no AMvB yet before the bill comes to the vote. That is also a point which Mrs Knippers pointed out in her speech. That's true. The legislative proposal allows for an AMvB to be created on this point, which contains certain commitments that could also be made by written authorisation. It should be noted that the substantive assessment of whether or not to make use of this possibility is separate from the legislative proposal under which deductions and adjustments with the WML are in principle no longer possible. So the law puts this as a principle. That's how this is now being recorded. However, he has an exception at AMvB. Before the vote, I would like to make it clear whether and in what way the AMvB will be used. If that is not yet satisfactory, the AMvB itself will certainly not be there yet, then it remains that this is the principle and that, in my opinion, we are now recording it for good reasons. Here's another thing. If we opted for an AMvB, we would still have enough time to make it possible for AMvB to enter into force, due to the later entry into force of this part of the law. After all, that is only on 1 January. Mrs Kneppers also pointed out that representatives of the temporary agency industry indicated that the ban on deductions would reduce their incentive to provide housing, precisely because of the risk of default. The WML is of course there to support employees and guarantee them that minimum income. It should be avoided that they are actually underpaid by unreasonable deductions and offsets. The employee must be given what he is entitled to. Surely that is the purpose of the Law's approach to bogus constructions. I find it curious that bona fide housevards would simply suspend their support in housing if they no longer have the deduction from the statutory minimum wage at their disposal. For example, they can secure rentals via direct debit. They can be helpful in ensuring that the employee pays the rent via collection to the landlord, because that is the most normal situation, even further in society. It is also true, of course, that migrant workers are quite willing to pay rent if that is a reasonable amount and it is about decent housing. They themselves have a very great interest in this. You sometimes see the right thing, I say with emphasis'sometimes'; the good things do not arise too much after speaking 'a dependency relationship' because one is dependent on an employer for both housing and work. You can't open your mouth to the employer, because then you'll lose not only your job but also your home and vice versa. We want to break that dependency. For the time being, therefore, I am not so afraid that employers on a large scale will deduct their hands from supporting workers in renting housing. Mrs Sent asked whether the exception to the obligation to pay in the case of house services could not lead to new constructions. The obligation to pay the minimum wage is intended to ensure that the minimum wage is paid better than is currently the case. However, we must bear in mind that this obligation remains proportionate in view of the relationship between employer and employee, the employment relationship. It is precisely the exception for home personal services that concerns natural persons who provide and take away these services. These are payments between individuals. For many years now it has been used and allowed to be done in cash. Think of the help in the housekeeping and the babysitter who comes in at night. In such situations, in my view, overnight payments are too complicated for those concerned. Such an obligation is also administratively to be implemented and cannot be properly enforced through supervision. However, in her speech, Mrs Sent anticipated possible consequences from the use of home-care services, for example around the pgb. There may be another issue. That's right. That is not for nothing one of the reasons why Secretary of State Van Rijn has announced that he might tighten up the legal provisions that he sees. Such structures should not be used to take away workers' rights or to give them less rights. I think it would go too far to allow the obligation to make overnight payments on all these other industrial relations to take account of the nanny, the worker and what is more they should apply, but we do take into account the risk that the spokesman of the Labour Party has just pointed out. An important issue also in relation to this bill is the approach to bogus self-employment. Many spokesmen have mentioned this subject. The bill's approach to bogus constructions is to encourage workers to receive valid wages. So they are not getting any more expensive, let me just say to those who have given rise to this suggestion. I therefore do not expect people to employ many more bogus self-employed as a result of this law. However, the pressure to engagezzp'ers in an improper way will be considered. In many areas we see that pressure exists. This legislative proposal does not contain any measures to address bogus self-employment as such. Apart from this legislative proposal, there are a number of routes which are also very important. For example, the legislative proposal to simplify and digitize V and J's procedural law will make it easier to invoke the legal presumption of the existence of a contract of employment in court. The replacement of the VAR removes an important disadvantage of the current system of safeguarding clients, which allows the Tax Administration to better maintain false self-employment. In the new system, clients can submit an agreement to the Tax Administration with the question whether it can be qualified as work outside the scope of the employment under case law. Such agreements can also be developed in a model form at sectoral level and assessed on enforcement and on compliance with the agreement. If that is the case, the contraaing authority shall be liable for the payment of wages, otherwise it shall not. In addition, the Tax Administration will carry out a review of market practices in the parcel services sector. That review will be used for the envisaged assessment of contracts in the context of whether or not they entail a deduction from the levy on wages and thus an independent entrepreneurship or an employment relationship. In addition, and perhaps in addition, the cabinet comes with a response to the ibo about zzp. It also looks at the difference in wage costs between employees andzzp'ers, also taking into account the tax facilities for the self-employed. This was also part of the SP's argument, pointing to the huge cost differences that you now see between self-employed and employees on the one hand. That's something we're going through in that ibozzp. That is not so much a question of false self-employment as simply a huge cost difference. This also makes it very difficult to demand in all cases from a work or client that he does not use it. It is very important that, in the short term, the cabinet brings forward proposals which, on the one hand, do justice to the tax fairness of workers and, on the other hand, take into account the real and perceived risks of employers in the employment of workers. Think, for example, of the subject of pay-as-you-go payments in case of illness, which is a huge risk, especially for smaller companies. It is, on the one hand, a balance between the good aspects of self-employment, the freedom and flexibility it brings and the innovation it can bring, and, on the other hand, does something about the currently very different costs and perceptions of employment and self-employment. In addition to a number of measures against bogus self-employment, we must therefore simply look at the economic reality between independence and workerhood. Mr Terpstra asks whether I can still see the possibility of resolving problems relating to transitional rights in seasonal work with the social partners. In the Lower House the question was raised as to whether the transition fee should not have been settled by collective agreement. At the time, I did not think that this was the right way to go, because speed was required. That would have put incredibly pressure on the conclusion of these collective agreements. After all, from 1 July that part of the Work and Security Act will come into force; it will not go unnoticed. That means that I, if you want to do something about that retroactivity, thought it was too big a risk to say: that would be something for collective agreements. Workers' associations would have preferred this, as I should mention, but in this case I have allowed the employers' interest to prevail on timely clarity. However, in the further application of the law, there are, of course, all kinds of three-quarters of binding law, all kinds of opportunities for employers and employees to work together, for example in relation to the definition of chains. If workers and employers have a common interest and express it in my direction, they can therefore work together. I have also indicated that I have always been open to this and that I will look closely at it if I could reach that kind of request. That's what I told LTO's foreman.
ParlaMint-NL_2015-05-26-eerstekamer-11.u19	Mr. Secretary, may I ask you how much longer you think you need?
ParlaMint-NL_2015-05-26-eerstekamer-11.u20	I'm guessing six and a half minutes.
ParlaMint-NL_2015-05-26-eerstekamer-11.u21	Great. That's the "fallacy of concreteness."
ParlaMint-NL_2015-05-26-eerstekamer-11.u22	I also know you'll forgive me if it's 6 minutes and 40 seconds. At least that's what I'm assuming right now. Mrs Sent asks what to do in the event of unwanted interference in privacy in disclosure. We will look specifically at this in the AMvB. It has also been announced that interests need to be weighed against each other; this is a relevant interest that needs to be weighed and thus defined in the AMvB that sees that disclosure. Mrs Strik asks whether the disclosure provided for in the law concerns the punitive sanction provided for in the illegal directive. We are talking here about the publication of administrative penalties which are punitive as such. The disclosure takes place as part of those fine decisions and therefore the decisions to disclose themselves are not punitive decisions. The effects are of course similar. We regulate in this law the opening up of a number of decisions, including on labour market discrimination. We all know that this can have a preventive effect by making it public. However, it has no punitive intention as such. I realize that this can be experienced as such by the person concerned. A final broader part is the European effort against bogus constructions. And indeed, it is the cabinet's aim to create a level playing field at European level, so that we can see that bogus structures, the evasion of the minimum wage provision and the undermining of collective agreements can also be effectively combated internationally. This is also in the interest of our business. The first is the Detachment Directive, which, in my view, does not provide sufficient protection against improper wage competition in cross-border employment. The principle of equal pay for equal work in the same place should be better reflected in that directive, which dates back a long time ago, from a period when wage differentials within the European Union were not as formidable as they are today. Equal working conditions in cross-border work are important to prevent workers from being played against each other. Now posting across borders can be used too easily purely to reduce labour costs, as has also been shown by recent research carried out by the Region Plan. That is why we need to make a strong commitment to equal working conditions in Europe. This does not mean 'equal pay throughout Europe' but 'equal pay for equal work in the same place'. This is a prerequisite for ensuring that the European dream is about more prosperity, more prosperity and more quality of work rather than about a race to the bottom. The latter was never the aim of European cooperation, nor should it be. I'll come to a conclusion. With the Law approach, we provide a building block, and take an important step towards promoting a decent labour market and fair competition between entrepreneurs. In addition to the measures taken by the cabinet in the legislative sense but also outside the Chamber, which I have outlined to the Chamber, this fits in with a broad approach to bogus constructions in the Netherlands and in the European context. In the Lower House, all parties represented there were able to support the bill. I very much hope that this may also be the case in this Chamber. The law will certainly not solve all the problems but is very important for improving the balance sheet, for combating these kinds of constructions and for increasing the sense of justice of many Dutch entrepreneurs and employees.
ParlaMint-NL_2015-05-26-eerstekamer-11.u23	In doing so, we have reached the second term of office. I give the floor to Mr Terpstra, who said he needed an hour and a half for his second term. But I think it turns out to be a little shorter.
ParlaMint-NL_2015-05-26-eerstekamer-11.u24	Mr. Chairman. I'm hoping to be a little shorter. First of all, I would like to offer my sincere apologies to the Minister. I would like to begin by thanking Mr Backer for his brilliant words at the end of his first term. I thank the Minister for his answers. We were convinced of the idea of voting in favour of this law, and this conviction has increased in scope as a result of the Minister's reply. In the discussion on deductions from the minimum wage, we were only concerned with the retention of care and housing. What is stated in the General Measure of Management, we await, in full confidence that both the Lower House and the new First Chamber will handle this well. If the coalition parties insist on the idea of introducing the law or parts of the law by 1 January, my opposition role will not go so far as to oppose it. I would also like to thank all the spokesmen for their cooperation. I would like to thank the chairman for the pleasant leadership, the stenography service for the fact that everything was actually more expressed than I have ever said, and the clerk for everything, and that 'everything' refers to the whole apparatus. I wish the Minister all the good in general, but also in particular in the pursuit of a fair labour market at national and European level.
ParlaMint-NL_2015-05-26-eerstekamer-11.u25	Thank you very much, Mr Terpstra. We'll miss you.
